-8.918422e+09 + i 5.849607e+08 ; -1.895868e+07 + i -1.970863e+06 ; -1.896287e+07 + i -1.971436e+06 ; 2.893697e+09 + i -3.169475e+08 ; 1.494109e+08 + i -4.581837e+06 ; 1.494092e+08 + i -4.582846e+06 ; -1.360365e+09 + i 1.497231e+08 ; -7.922623e+07 + i 2.374729e+06 ; -1.392570e+07 + i -4.946020e+05 ; -2.881863e+08 + i -1.366701e+07 ; 7.317007e+08 + i -8.560491e+07 ; 4.022805e+07 + i -3.432604e+06 ; -1.360364e+09 + i 1.497237e+08 ; -1.392413e+07 + i -4.943302e+05 ; -7.922584e+07 + i 2.374666e+06 ; -2.881889e+08 + i -1.366664e+07 ; 4.023915e+07 + i -3.426703e+06 ; 7.317010e+08 + i -8.560468e+07 ; -2.648372e+08 + i 5.005637e+07 ; -4.154401e+07 + i 2.152895e+06 ; -4.153905e+07 + i 2.154810e+06 ; -1.418306e+08 + i 1.659549e+07 ; 2.009692e+08 + i -2.943825e+07 ; 2.009694e+08 + i -2.943800e+07 ; 2.296348e+08 + i -1.765555e+07 ; 1.461887e+06 + i -5.808175e+05 ; 1.462825e+06 + i -5.807162e+05 ; 1.077182e+08 + i -6.503713e+06 ; -8.331845e+05 + i -1.125115e+05 ; -8.332761e+05 + i -1.125290e+05 ; 8.872579e+07 + i -1.293795e+07 ; 3.308793e+07 + i -5.747751e+06 ; -2.351906e+05 + i -3.899552e+05 ; 5.654934e+07 + i -6.842295e+06 ; 7.841977e+06 + i -1.617351e+06 ; -1.008524e+06 + i -6.893986e+04 ; 8.872630e+07 + i -1.293751e+07 ; -2.344891e+05 + i -3.893292e+05 ; 3.308805e+07 + i -5.747711e+06 ; 5.654938e+07 + i -6.842180e+06 ; -1.008220e+06 + i -6.878598e+04 ; 7.841968e+06 + i -1.617357e+06 ; 3.464859e+07 + i -8.120335e+06 ; 2.243222e+07 + i -4.145573e+06 ; 2.243208e+07 + i -4.145648e+06 ; 3.058661e+07 + i -5.578739e+06 ; 6.162618e+06 + i -1.321256e+06 ; 6.162566e+06 + i -1.321255e+06 ; 
4.503466e+07 + i -2.019676e+06 ; 4.363644e+07 + i -1.876193e+06 ; -2.668953e+08 + i 5.010941e+07 ; 1.598581e+07 + i 3.628261e+05 ; 8.365123e+07 + i -1.769004e+06 ; -1.357746e+09 + i 1.495523e+08 ; 8.514436e+07 + i -1.870738e+06 ; 1.445461e+07 + i 6.187905e+05 ; -1.363613e+09 + i 1.496262e+08 ; 2.209785e+07 + i 1.943512e+06 ; 1.987720e+07 + i 2.223702e+06 ; -8.916235e+09 + i 5.846670e+08 ; -2.082093e+08 + i 2.923664e+07 ; -2.120755e+08 + i 2.928374e+07 ; -1.462228e+08 + i 1.697385e+07 ; -3.346661e+07 + i 3.215398e+06 ; -7.712542e+08 + i 8.307324e+07 ; -2.910139e+08 + i -1.331521e+07 ; -7.672535e+08 + i 8.312607e+07 ; -4.154679e+07 + i 3.513242e+06 ; -2.953810e+08 + i -1.338831e+07 ; -1.465413e+08 + i 3.064342e+06 ; -1.575210e+08 + i 3.360713e+06 ; 2.886767e+09 + i -3.168393e+08 ; -2.341939e+07 + i 8.928732e+05 ; 1.705122e+07 + i -5.130178e+05 ; -1.430812e+08 + i 1.905953e+07 ; -1.373017e+07 + i 7.288191e+03 ; 5.397784e+06 + i -3.356263e+05 ; -3.386667e+07 + i 5.852016e+06 ; -3.366969e+07 + i 8.138995e+05 ; 7.548117e+06 + i 1.736353e+05 ; -2.667752e+08 + i 2.947636e+07 ; -1.686122e+07 + i -3.659481e+05 ; 3.186257e+06 + i -9.053633e+04 ; -4.304730e+07 + i 7.292038e+06 ; 1.158482e+08 + i -1.439875e+07 ; -6.399578e+07 + i 8.095491e+06 ; -8.904550e+07 + i 8.911600e+06 ; 5.790470e+07 + i -5.729006e+06 ; -5.862355e+06 + i 1.385217e+06 ; -3.007494e+07 + i 4.716007e+06 ; 2.296010e+08 + i -2.589987e+07 ; -8.542562e+06 + i 4.202703e+05 ; -1.298376e+08 + i 7.941405e+06 ; 9.574838e+07 + i -7.496588e+06 ; 7.923970e+05 + i 1.486090e+05 ; -3.919748e+07 + i 5.633955e+06 ; 
-1.360577e+09 + i 1.496619e+08 ; -1.406658e+07 + i -5.198335e+05 ; 8.159805e+07 + i -2.351094e+06 ; -2.883453e+08 + i -1.374284e+07 ; 4.046422e+07 + i -3.474759e+06 ; -7.629827e+08 + i 8.381023e+07 ; -2.648813e+08 + i 5.005158e+07 ; -4.198787e+07 + i 2.096999e+06 ; 4.321300e+07 + i -1.970569e+06 ; -1.418939e+08 + i 1.658223e+07 ; 2.031779e+08 + i -2.940231e+07 ; -2.095434e+08 + i 2.922111e+07 ; -8.918487e+09 + i 5.849317e+08 ; -1.898553e+07 + i -1.990545e+06 ; 1.948466e+07 + i 2.061270e+06 ; 2.893669e+09 + i -3.169715e+08 ; 1.504131e+08 + i -4.441666e+06 ; -1.547868e+08 + i 4.107652e+06 ; -1.360448e+09 + i 1.497040e+08 ; -7.948801e+07 + i 2.320332e+06 ; 1.443937e+07 + i 5.937899e+05 ; -2.883159e+08 + i -1.368729e+07 ; 7.396578e+08 + i -8.522649e+07 ; -4.169722e+07 + i 3.384658e+06 ; 8.877874e+07 + i -1.292380e+07 ; -2.645885e+05 + i -4.007123e+05 ; -3.450326e+07 + i 5.748820e+06 ; 5.657308e+07 + i -6.835933e+06 ; -1.028551e+06 + i -7.319645e+04 ; -8.176626e+06 + i 1.629306e+06 ; 3.466897e+07 + i -8.115784e+06 ; 2.266703e+07 + i -4.153431e+06 ; -2.338342e+07 + i 4.161554e+06 ; 3.059935e+07 + i -5.575807e+06 ; 6.225387e+06 + i -1.325511e+06 ; -6.422191e+06 + i 1.334488e+06 ; 2.296369e+08 + i -1.765492e+07 ; 1.468395e+06 + i -5.825302e+05 ; -1.489636e+06 + i 6.075686e+05 ; 1.077168e+08 + i -6.503759e+06 ; -8.462196e+05 + i -1.145354e+05 ; 8.779453e+05 + i 1.272067e+05 ; 8.872855e+07 + i -1.293610e+07 ; 3.344716e+07 + i -5.748263e+06 ; 2.827061e+05 + i 4.230206e+05 ; 5.654734e+07 + i -6.841946e+06 ; 7.926212e+06 + i -1.619914e+06 ; 1.063354e+06 + i 8.419694e+04 ; 
-1.288445e+07 + i -5.728599e+05 ; -1.365031e+09 + i 1.497153e+08 ; 8.139480e+07 + i -2.325921e+06 ; -4.035135e+07 + i 1.991501e+06 ; -2.668555e+08 + i 5.011693e+07 ; 4.295307e+07 + i -1.962647e+06 ; 4.286430e+07 + i -3.484621e+06 ; -2.969251e+08 + i -1.341718e+07 ; -7.640149e+08 + i 8.389826e+07 ; 2.081768e+08 + i -2.952559e+07 ; -1.462957e+08 + i 1.695600e+07 ; -2.104355e+08 + i 2.928828e+07 ; -1.763831e+07 + i -2.031669e+06 ; -8.924518e+09 + i 5.848027e+08 ; 1.930406e+07 + i 2.079659e+06 ; -7.747587e+07 + i 2.228078e+06 ; -1.363468e+09 + i 1.496654e+08 ; 1.417762e+07 + i 5.996515e+05 ; 1.531442e+08 + i -4.418628e+06 ; 2.880563e+09 + i -3.169387e+08 ; -1.552167e+08 + i 4.141862e+06 ; 7.456484e+08 + i -8.530608e+07 ; -2.955130e+08 + i -1.340798e+07 ; -4.216176e+07 + i 3.410702e+06 ; -1.860615e+06 + i -4.273931e+05 ; -3.388118e+07 + i 5.847136e+06 ; 6.506710e+06 + i -3.077200e+05 ; 3.346309e+05 + i -4.038533e+05 ; -1.404701e+07 + i 2.421544e+06 ; 2.233501e+06 + i -1.552504e+05 ; 5.901484e+07 + i -5.693107e+06 ; -3.008127e+07 + i 4.715454e+06 ; -8.005646e+06 + i 1.453109e+06 ; 3.139037e+07 + i -2.347508e+06 ; -1.268611e+07 + i 2.128984e+06 ; -1.031919e+06 + i 3.130816e+05 ; 8.924714e+05 + i -5.998891e+05 ; -4.306734e+07 + i 7.284174e+06 ; 3.894460e+06 + i -7.917026e+04 ; 1.857559e+06 + i -4.482248e+05 ; -1.662613e+07 + i 2.728152e+06 ; 1.596309e+06 + i -8.462110e+04 ; 8.970820e+07 + i -7.285232e+06 ; -3.920582e+07 + i 5.632651e+06 ; 1.611164e+06 + i 4.693903e+04 ; 4.251185e+07 + i -2.439153e+06 ; -1.483866e+07 + i 2.376080e+06 ; 1.074800e+06 + i -3.253765e+04 ; 
-1.527891e+08 + i 4.802800e+06 ; -1.504739e+08 + i 4.863134e+06 ; 2.880731e+09 + i -3.168941e+08 ; -7.457418e+08 + i 8.531715e+07 ; -4.093508e+07 + i 3.470011e+06 ; -2.955042e+08 + i -1.345676e+07 ; -4.288995e+07 + i 3.446870e+06 ; -7.407514e+08 + i 8.532935e+07 ; -2.968739e+08 + i -1.340279e+07 ; -2.081528e+08 + i 2.953169e+07 ; -2.040199e+08 + i 2.947802e+07 ; -1.462815e+08 + i 1.695195e+07 ; 1.766032e+07 + i 1.991988e+06 ; 1.883298e+07 + i 1.970485e+06 ; -8.924513e+09 + i 5.848065e+08 ; 7.709661e+07 + i -2.636845e+06 ; 1.373998e+07 + i 5.011759e+05 ; -1.363391e+09 + i 1.496953e+08 ; 1.280940e+07 + i 5.452482e+05 ; 7.891259e+07 + i -2.701033e+06 ; -1.364833e+09 + i 1.497731e+08 ; 4.025543e+07 + i -2.037898e+06 ; 4.164097e+07 + i -2.132365e+06 ; -2.668060e+08 + i 5.012755e+07 ; -8.973953e+07 + i 7.266591e+06 ; 1.560725e+06 + i 3.238358e+04 ; -3.923695e+07 + i 5.617826e+06 ; -4.253048e+07 + i 2.427226e+06 ; 1.041394e+06 + i -3.850948e+04 ; -1.484187e+07 + i 2.374589e+06 ; -5.901727e+07 + i 5.686831e+06 ; -7.758987e+06 + i 1.447090e+06 ; -3.010152e+07 + i 4.706793e+06 ; -3.139488e+07 + i 2.341745e+06 ; -9.994813e+05 + i 3.080423e+05 ; -1.268970e+07 + i 2.127588e+06 ; -9.194716e+05 + i 5.649140e+05 ; 3.779379e+06 + i -9.583291e+04 ; -4.306949e+07 + i 7.282699e+06 ; -1.871195e+06 + i 4.309074e+05 ; 1.548765e+06 + i -8.995450e+04 ; -1.662782e+07 + i 2.727266e+06 ; 1.849274e+06 + i 4.102515e+05 ; 6.311813e+06 + i -3.316337e+05 ; -3.388238e+07 + i 5.845947e+06 ; -3.399946e+05 + i 3.939251e+05 ; 2.166765e+06 + i -1.617359e+05 ; -1.404891e+07 + i 2.420652e+06 ; 
-2.892824e+08 + i -1.390105e+07 ; -4.227418e+07 + i 3.546835e+06 ; 7.735522e+08 + i -8.324402e+07 ; -1.348958e+09 + i 1.488056e+08 ; 1.088433e+07 + i 5.567256e+05 ; -7.075128e+07 + i 2.842628e+06 ; -1.420841e+08 + i 1.657069e+07 ; -2.071502e+08 + i 2.954471e+07 ; 2.139410e+08 + i -2.926245e+07 ; -2.595149e+08 + i 4.930019e+07 ; 3.677998e+07 + i -1.838266e+06 ; -3.740184e+07 + i 1.765651e+06 ; 2.893584e+09 + i -3.169929e+08 ; -1.533527e+08 + i 4.327558e+06 ; 1.530211e+08 + i -4.735289e+06 ; -8.895484e+09 + i 5.840394e+08 ; 1.562973e+07 + i 2.034465e+06 ; -1.613152e+07 + i -2.188478e+06 ; -2.884134e+08 + i -1.369418e+07 ; -7.489369e+08 + i 8.503476e+07 ; 4.317232e+07 + i -3.463134e+06 ; -1.349101e+09 + i 1.487775e+08 ; 7.373351e+07 + i -1.989733e+06 ; -1.119233e+07 + i -6.363404e+05 ; 1.318645e+08 + i -2.317332e+07 ; 2.402552e+07 + i -1.541133e+06 ; -2.298085e+08 + i 2.539549e+07 ; 8.885798e+07 + i -1.290582e+07 ; 3.428819e+06 + i -7.460829e+05 ; -3.008450e+07 + i 5.594576e+06 ; 2.167056e+07 + i -8.643039e+06 ; 1.107606e+08 + i -1.457490e+07 ; -1.146403e+08 + i 1.432080e+07 ; 3.473930e+07 + i -8.101601e+06 ; 2.137249e+07 + i -4.059048e+06 ; -2.218862e+07 + i 4.041005e+06 ; 5.565832e+08 + i -5.999939e+07 ; 4.738095e+07 + i -1.707124e+06 ; -4.999672e+07 + i 1.223085e+06 ; 2.296197e+08 + i -1.765918e+07 ; 5.648272e+06 + i -1.076994e+06 ; -6.013355e+06 + i 1.045858e+06 ; 1.315906e+08 + i -2.323556e+07 ; 2.220142e+08 + i -2.602966e+07 ; -2.527605e+07 + i 1.343145e+06 ; 8.873370e+07 + i -1.293691e+07 ; 2.896819e+07 + i -5.617680e+06 ; -3.676633e+06 + i 7.243126e+05 ; 
4.506482e+07 + i -1.994531e+06 ; -2.668847e+08 + i 5.011408e+07 ; 4.363251e+07 + i -1.860457e+06 ; 1.597556e+07 + i 3.683576e+05 ; -1.357731e+09 + i 1.495615e+08 ; 8.282519e+07 + i -2.206573e+06 ; -2.086858e+08 + i 2.912227e+07 ; -1.462777e+08 + i 1.696188e+07 ; -2.120519e+08 + i 2.927484e+07 ; -3.354057e+07 + i 3.140619e+06 ; -2.911608e+08 + i -1.339096e+07 ; -7.710165e+08 + i 8.320464e+07 ; 8.410948e+07 + i -1.998746e+06 ; -1.363638e+09 + i 1.496207e+08 ; 1.444134e+07 + i 6.223636e+05 ; 2.188069e+07 + i 1.892348e+06 ; -8.916241e+09 + i 5.846611e+08 ; 1.970716e+07 + i 2.114986e+06 ; -7.675235e+08 + i 8.321324e+07 ; -2.954970e+08 + i -1.340022e+07 ; -4.158519e+07 + i 3.461912e+06 ; -1.452183e+08 + i 3.293886e+06 ; 2.886758e+09 + i -3.168541e+08 ; -1.566995e+08 + i 3.797138e+06 ; -2.353011e+07 + i 8.796372e+05 ; -1.430796e+08 + i 1.905905e+07 ; 1.704213e+07 + i -5.185555e+05 ; -1.379280e+07 + i -1.940442e+03 ; -3.386685e+07 + i 5.851865e+06 ; 5.399508e+06 + i -3.353128e+05 ; 1.158959e+08 + i -1.441478e+07 ; -8.903889e+07 + i 8.908198e+06 ; -6.400192e+07 + i 8.100751e+06 ; 5.792513e+07 + i -5.734865e+06 ; -3.007118e+07 + i 4.716411e+06 ; -5.863831e+06 + i 1.386068e+06 ; -3.390407e+07 + i 7.863231e+05 ; -2.667686e+08 + i 2.947739e+07 ; 7.546351e+06 + i 1.703608e+05 ; -1.696090e+07 + i -3.812436e+05 ; -4.304651e+07 + i 7.292095e+06 ; 3.187851e+06 + i -9.046943e+04 ; 2.297912e+08 + i -2.588789e+07 ; -1.298010e+08 + i 7.946392e+06 ; -8.546928e+06 + i 4.286799e+05 ; 9.580933e+07 + i -7.491178e+06 ; -3.918987e+07 + i 5.635233e+06 ; 7.907472e+05 + i 1.495141e+05 ; 
7.678880e+08 + i -8.311362e+07 ; -4.116768e+07 + i 3.388929e+06 ; -2.964208e+08 + i -1.361891e+07 ; 1.402529e+08 + i -4.405649e+06 ; -1.516569e+08 + i 4.618728e+06 ; 2.886646e+09 + i -3.168830e+08 ; 2.087760e+08 + i -2.912298e+07 ; -2.058487e+08 + i 2.942595e+07 ; -1.464404e+08 + i 1.694146e+07 ; 3.385703e+07 + i -3.034462e+06 ; -7.466792e+08 + i 8.490585e+07 ; -2.911892e+08 + i -1.339150e+07 ; -7.887425e+07 + i 3.197687e+06 ; 1.407652e+07 + i 5.367202e+05 ; -1.363306e+09 + i 1.497152e+08 ; -2.206420e+07 + i -1.931365e+06 ; 1.919822e+07 + i 1.989494e+06 ; -8.916155e+09 + i 5.846976e+08 ; -4.447716e+07 + i 2.091966e+06 ; 4.230846e+07 + i -2.029947e+06 ; -2.667683e+08 + i 5.013539e+07 ; -1.584616e+07 + i -3.274625e+05 ; 8.021301e+07 + i -2.623121e+06 ; -1.357526e+09 + i 1.496202e+08 ; -2.294938e+08 + i 2.594594e+07 ; -7.965582e+06 + i 5.366560e+05 ; -1.295338e+08 + i 8.005464e+06 ; -9.561620e+07 + i 7.532542e+06 ; 8.170868e+05 + i 1.495186e+05 ; -3.915381e+07 + i 5.641911e+06 ; -1.156741e+08 + i 1.445548e+07 ; -6.174095e+07 + i 8.265609e+06 ; -8.893341e+07 + i 8.928697e+06 ; -5.777091e+07 + i 5.765703e+06 ; -5.625452e+06 + i 1.385344e+06 ; -3.004845e+07 + i 4.720633e+06 ; 3.495403e+07 + i -5.452862e+05 ; 7.276128e+06 + i 1.102868e+05 ; -2.667957e+08 + i 2.946976e+07 ; 1.740793e+07 + i 4.978182e+05 ; 3.071907e+06 + i -1.106567e+05 ; -4.305741e+07 + i 7.287642e+06 ; 2.397385e+07 + i -7.866881e+05 ; 1.648450e+07 + i -6.077314e+05 ; -1.430879e+08 + i 1.905624e+07 ; 1.404072e+07 + i 5.819250e+04 ; 5.216941e+06 + i -3.594331e+05 ; -3.387799e+07 + i 5.847497e+06 ; 
-2.649119e+08 + i 5.004829e+07 ; 4.374280e+07 + i -1.853878e+06 ; 4.374366e+07 + i -1.853528e+06 ; -1.418802e+08 + i 1.657743e+07 ; -2.117426e+08 + i 2.910905e+07 ; -2.117418e+08 + i 2.910968e+07 ; -1.360583e+09 + i 1.496623e+08 ; 1.451909e+07 + i 6.193977e+05 ; 8.217963e+07 + i -2.225116e+06 ; -2.883135e+08 + i -1.373432e+07 ; -4.135643e+07 + i 3.411438e+06 ; -7.715184e+08 + i 8.320666e+07 ; -1.360583e+09 + i 1.496629e+08 ; 8.217891e+07 + i -2.225344e+06 ; 1.451626e+07 + i 6.185376e+05 ; -2.883169e+08 + i -1.373423e+07 ; -7.715184e+08 + i 8.320678e+07 ; -4.136398e+07 + i 3.406628e+06 ; -8.918550e+09 + i 5.849047e+08 ; 1.961635e+07 + i 2.107339e+06 ; 1.961020e+07 + i 2.106123e+06 ; 2.893640e+09 + i -3.169920e+08 ; -1.559647e+08 + i 3.921253e+06 ; -1.559669e+08 + i 3.919777e+06 ; 3.468668e+07 + i -8.113605e+06 ; -2.360473e+07 + i 4.164326e+06 ; -2.360463e+07 + i 4.164342e+06 ; 3.061235e+07 + i -5.573760e+06 ; -6.480806e+06 + i 1.337299e+06 ; -6.480785e+06 + i 1.337316e+06 ; 8.878124e+07 + i -1.292299e+07 ; 3.445256e+05 + i 4.341476e+05 ; -3.490797e+07 + i 5.737024e+06 ; 5.657342e+07 + i -6.835437e+06 ; 1.092874e+06 + i 8.875549e+04 ; -8.276316e+06 + i 1.628399e+06 ; 8.878172e+07 + i -1.292256e+07 ; -3.490831e+07 + i 5.736905e+06 ; 3.443126e+05 + i 4.336497e+05 ; 5.657343e+07 + i -6.835333e+06 ; -8.276291e+06 + i 1.628408e+06 ; 1.092698e+06 + i 8.862815e+04 ; 2.296425e+08 + i -1.765302e+07 ; -1.516635e+06 + i 6.057769e+05 ; -1.514898e+06 + i 6.061330e+05 ; 1.077171e+08 + i -6.503102e+06 ; 8.825443e+05 + i 1.281318e+05 ; 8.825062e+05 + i 1.281247e+05 ; 
-4.328694e+07 + i 3.438728e+06 ; -2.978577e+08 + i -1.356820e+07 ; 7.729402e+08 + i -8.313135e+07 ; -2.101405e+08 + i 2.947832e+07 ; -1.465058e+08 + i 1.693055e+07 ; 2.129088e+08 + i -2.914084e+07 ; 1.297748e+07 + i 5.896131e+05 ; -1.364770e+09 + i 1.497773e+08 ; -7.700384e+07 + i 3.005715e+06 ; 4.072675e+07 + i -1.941578e+06 ; -2.667738e+08 + i 5.013183e+07 ; -4.293395e+07 + i 1.939569e+06 ; -1.543783e+08 + i 4.557396e+06 ; 2.880419e+09 + i -3.169768e+08 ; 1.516061e+08 + i -4.715582e+06 ; -7.527508e+08 + i 8.494938e+07 ; -2.956525e+08 + i -1.347653e+07 ; 4.209525e+07 + i -3.402645e+06 ; 1.784921e+07 + i 2.048456e+06 ; -8.924475e+09 + i 5.848209e+08 ; -1.971851e+07 + i -2.262501e+06 ; 7.799113e+07 + i -2.474761e+06 ; -1.363381e+09 + i 1.497010e+08 ; -1.434799e+07 + i -6.424124e+05 ; -5.957668e+07 + i 5.647980e+06 ; -3.010611e+07 + i 4.708149e+06 ; 8.085580e+06 + i -1.456408e+06 ; -3.168926e+07 + i 2.315631e+06 ; -1.268994e+07 + i 2.128093e+06 ; 1.040601e+06 + i -3.152916e+05 ; 1.876251e+06 + i 4.246332e+05 ; -3.388038e+07 + i 5.847178e+06 ; -6.575067e+06 + i 2.965657e+05 ; -3.388768e+05 + i 4.007945e+05 ; -1.404795e+07 + i 2.421094e+06 ; -2.258437e+06 + i 1.517802e+05 ; -9.056280e+07 + i 7.200182e+06 ; -3.924463e+07 + i 5.617417e+06 ; -1.654584e+06 + i -5.776948e+04 ; -4.291646e+07 + i 2.387455e+06 ; -1.484296e+07 + i 2.374656e+06 ; -1.091834e+06 + i 2.973219e+04 ; -9.081686e+05 + i 5.784421e+05 ; -4.306916e+07 + i 7.283320e+06 ; -3.940985e+06 + i 6.968579e+04 ; -1.877739e+06 + i 4.373340e+05 ; -1.662649e+07 + i 2.727748e+06 ; -1.615060e+06 + i 8.164164e+04 ; 
-4.329453e+07 + i 3.437632e+06 ; 7.729406e+08 + i -8.313124e+07 ; -2.978553e+08 + i -1.356808e+07 ; -2.101399e+08 + i 2.947843e+07 ; 2.129096e+08 + i -2.914070e+07 ; -1.464999e+08 + i 1.693094e+07 ; -1.543834e+08 + i 4.555858e+06 ; 1.516071e+08 + i -4.714919e+06 ; 2.880437e+09 + i -3.169658e+08 ; -7.527505e+08 + i 8.494953e+07 ; 4.209565e+07 + i -3.402279e+06 ; -2.956375e+08 + i -1.347085e+07 ; 1.297325e+07 + i 5.892046e+05 ; -7.700183e+07 + i 3.007108e+06 ; -1.364736e+09 + i 1.497973e+08 ; 4.073168e+07 + i -1.939765e+06 ; -4.293251e+07 + i 1.940330e+06 ; -2.667617e+08 + i 5.013556e+07 ; 1.783391e+07 + i 2.044513e+06 ; -1.971848e+07 + i -2.262531e+06 ; -8.924476e+09 + i 5.848227e+08 ; 7.799217e+07 + i -2.474360e+06 ; -1.434754e+07 + i -6.423461e+05 ; -1.363360e+09 + i 1.497046e+08 ; -5.957464e+07 + i 5.648288e+06 ; 8.085541e+06 + i -1.456427e+06 ; -3.010523e+07 + i 4.708352e+06 ; -3.168873e+07 + i 2.315744e+06 ; 1.040583e+06 + i -3.153048e+05 ; -1.268956e+07 + i 2.128147e+06 ; -9.056313e+07 + i 7.200102e+06 ; -1.654503e+06 + i -5.769738e+04 ; -3.924304e+07 + i 5.618120e+06 ; -4.291659e+07 + i 2.387426e+06 ; -1.091778e+06 + i 2.976505e+04 ; -1.484246e+07 + i 2.374828e+06 ; 1.879414e+06 + i 4.253105e+05 ; -6.574990e+06 + i 2.966128e+05 ; -3.387898e+07 + i 5.847298e+06 ; -3.372972e+05 + i 4.012251e+05 ; -2.258431e+06 + i 1.517777e+05 ; -1.404789e+07 + i 2.420990e+06 ; -9.056616e+05 + i 5.788950e+05 ; -3.940994e+06 + i 6.969795e+04 ; -4.306755e+07 + i 7.283614e+06 ; -1.877125e+06 + i 4.374549e+05 ; -1.615004e+06 + i 8.166225e+04 ; -1.662647e+07 + i 2.727667e+06 ; 
-1.422296e+08 + i 1.655330e+07 ; 2.159174e+08 + i -2.919619e+07 ; 2.159163e+08 + i -2.919693e+07 ; -2.594651e+08 + i 4.931311e+07 ; -3.830759e+07 + i 1.550637e+06 ; -3.830858e+07 + i 1.550256e+06 ; -2.892741e+08 + i -1.389383e+07 ; 4.323628e+07 + i -3.404047e+06 ; 7.814441e+08 + i -8.270901e+07 ; -1.348938e+09 + i 1.488123e+08 ; -1.122360e+07 + i -6.357215e+05 ; -7.157034e+07 + i 2.666104e+06 ; -2.892812e+08 + i -1.389474e+07 ; 7.814445e+08 + i -8.270898e+07 ; 4.324562e+07 + i -3.398586e+06 ; -1.348930e+09 + i 1.488151e+08 ; -7.156959e+07 + i 2.666296e+06 ; -1.122004e+07 + i -6.346293e+05 ; 2.893285e+09 + i -3.170814e+08 ; 1.544561e+08 + i -4.499651e+06 ; 1.544589e+08 + i -4.497956e+06 ; -8.895453e+09 + i 5.840487e+08 ; -1.628178e+07 + i -2.233552e+06 ; -1.627485e+07 + i -2.231989e+06 ; 2.176389e+07 + i -8.628092e+06 ; -1.155346e+08 + i 1.432445e+07 ; -1.155340e+08 + i 1.432475e+07 ; 3.479544e+07 + i -8.091183e+06 ; -2.235261e+07 + i 4.054305e+06 ; -2.235233e+07 + i 4.054451e+06 ; 1.318462e+08 + i -2.317895e+07 ; -2.508531e+07 + i 1.409959e+06 ; -2.321604e+08 + i 2.524860e+07 ; 8.884899e+07 + i -1.290869e+07 ; -3.641004e+06 + i 7.380369e+05 ; -3.039639e+07 + i 5.599051e+06 ; 1.318527e+08 + i -2.317765e+07 ; -2.321607e+08 + i 2.524846e+07 ; -2.508722e+07 + i 1.408505e+06 ; 8.885193e+07 + i -1.290810e+07 ; -3.039622e+07 + i 5.599093e+06 ; -3.642374e+06 + i 7.373918e+05 ; 5.565944e+08 + i -5.999649e+07 ; -5.047326e+07 + i 1.166212e+06 ; -5.047317e+07 + i 1.165969e+06 ; 2.296204e+08 + i -1.765874e+07 ; -6.072497e+06 + i 1.048306e+06 ; -6.074342e+06 + i 1.047797e+06 ; 
2.106758e+08 + i -2.904543e+07 ; -1.466365e+08 + i 1.692522e+07 ; 2.145673e+08 + i -2.908975e+07 ; 3.389149e+07 + i -3.034647e+06 ; -2.921195e+08 + i -1.354489e+07 ; 7.791003e+08 + i -8.255702e+07 ; -4.547568e+07 + i 1.863010e+06 ; -2.667314e+08 + i 5.014295e+07 ; -4.408463e+07 + i 1.713945e+06 ; -1.610442e+07 + i -3.885912e+05 ; -1.357448e+09 + i 1.496296e+08 ; -7.859786e+07 + i 2.862474e+06 ; 7.750798e+08 + i -8.261182e+07 ; -2.964994e+08 + i -1.362331e+07 ; 4.203571e+07 + i -3.326332e+06 ; 1.418622e+08 + i -4.138610e+06 ; 2.886361e+09 + i -3.169574e+08 ; 1.529189e+08 + i -4.427774e+06 ; -8.007739e+07 + i 2.972087e+06 ; -1.363298e+09 + i 1.497213e+08 ; -1.459414e+07 + i -6.550003e+05 ; -2.225359e+07 + i -1.975945e+06 ; -8.916120e+09 + i 5.847098e+08 ; -2.006422e+07 + i -2.271387e+06 ; -1.168828e+08 + i 1.436972e+07 ; -8.898937e+07 + i 8.921313e+06 ; 6.462246e+07 + i -8.078011e+06 ; -5.837501e+07 + i 5.707060e+06 ; -3.004875e+07 + i 4.721728e+06 ; 5.917089e+06 + i -1.391444e+06 ; 2.405481e+07 + i -7.953635e+05 ; -1.430900e+08 + i 1.905527e+07 ; -1.713217e+07 + i 4.995042e+05 ; 1.410680e+07 + i 6.221972e+04 ; -3.387559e+07 + i 5.848477e+06 ; -5.452278e+06 + i 3.280375e+05 ; -2.316856e+08 + i 2.579649e+07 ; -1.295361e+08 + i 8.001704e+06 ; 8.520664e+06 + i -4.365680e+05 ; -9.653353e+07 + i 7.437221e+06 ; -3.915188e+07 + i 5.641909e+06 ; -8.095706e+05 + i -1.541978e+05 ; 3.514758e+07 + i -5.277146e+05 ; -2.667801e+08 + i 2.947339e+07 ; -7.609155e+06 + i -1.852933e+05 ; 1.750836e+07 + i 5.131917e+05 ; -4.305118e+07 + i 7.289291e+06 ; -3.220422e+06 + i 8.497500e+04 ; 
