-4.960167e+09 + i 2.909118e+10 ; -3.238154e+08 + i 5.980237e+08 ; -3.251733e+08 + i 6.005897e+08 ; -8.591615e+09 + i -8.387720e+09 ; -4.720170e+08 + i -1.553606e+09 ; -4.743966e+08 + i -1.554489e+09 ; 2.797047e+09 + i 3.766045e+09 ; 1.260749e+08 + i 7.840740e+08 ; 1.373867e+08 + i 5.033744e+08 ; -4.810270e+08 + i 4.331695e+09 ; -2.646030e+09 + i -1.509903e+09 ; -5.394331e+08 + i -1.364396e+08 ; 2.798946e+09 + i 3.769386e+09 ; 1.395650e+08 + i 5.000381e+08 ; 1.273893e+08 + i 7.811479e+08 ; -4.824850e+08 + i 4.336084e+09 ; -5.328533e+08 + i -1.323918e+08 ; -2.645376e+09 + i -1.510081e+09 ; 2.474976e+09 + i 5.448939e+07 ; 3.071318e+08 + i 4.790176e+08 ; 3.101420e+08 + i 4.815336e+08 ; 2.799895e+09 + i 5.787975e+08 ; -9.377589e+08 + i 5.799710e+07 ; -9.356368e+08 + i 5.907072e+07 ; -2.953013e+08 + i -1.188652e+09 ; -7.085234e+07 + i 7.649835e+07 ; -7.153926e+07 + i 7.640344e+07 ; 1.049676e+08 + i -6.459490e+08 ; 2.826601e+07 + i 4.275916e+07 ; 2.819643e+07 + i 4.309885e+07 ; -7.259750e+08 + i -1.959906e+07 ; -1.520046e+08 + i 1.070934e+08 ; -1.995332e+07 + i 9.335259e+07 ; -4.998513e+08 + i -1.860796e+08 ; 1.056386e+07 + i 4.858925e+07 ; 4.099957e+07 + i 3.257013e+07 ; -7.255921e+08 + i -1.775628e+07 ; -1.886546e+07 + i 9.361131e+07 ; -1.523500e+08 + i 1.068588e+08 ; -5.001976e+08 + i -1.849119e+08 ; 4.116416e+07 + i 3.219973e+07 ; 1.031457e+07 + i 4.862188e+07 ; -4.063602e+08 + i 6.726842e+08 ; -7.503052e+07 + i 1.118794e+08 ; -7.513887e+07 + i 1.112287e+08 ; -5.231939e+08 + i 4.592194e+08 ; 2.588564e+07 + i 3.737919e+07 ; 2.576305e+07 + i 3.723130e+07 ; 
-8.966874e+08 + i -2.760759e+08 ; -9.006149e+08 + i -3.248852e+08 ; 2.883187e+09 + i 6.737663e+08 ; -4.994933e+08 + i -1.342513e+08 ; -1.788719e+09 + i -2.403752e+09 ; -5.011076e+08 + i 4.329282e+09 ; -1.810909e+09 + i -2.350567e+09 ; -5.203944e+08 + i -1.945196e+08 ; -5.267951e+08 + i 4.412468e+09 ; -3.664741e+08 + i -1.596143e+09 ; -3.686350e+08 + i -1.695586e+09 ; -8.683228e+09 + i -8.430570e+09 ; 1.410135e+08 + i 3.993669e+08 ; 8.230568e+07 + i 3.955280e+08 ; 2.558155e+09 + i 8.778847e+07 ; 2.288825e+07 + i 5.083777e+08 ; 3.287138e+08 + i 8.513733e+08 ; 2.861930e+09 + i 3.750730e+09 ; 3.692429e+08 + i 8.746799e+08 ; -4.184899e+07 + i 5.229422e+08 ; 2.841222e+09 + i 3.834523e+09 ; -4.630672e+08 + i 4.566730e+08 ; -5.208271e+08 + i 4.453036e+08 ; -4.978592e+09 + i 2.904458e+10 ; 3.772635e+08 + i 1.933686e+08 ; -1.939345e+08 + i -9.032825e+07 ; 6.002399e+08 + i 3.342443e+08 ; 2.365340e+08 + i 2.009131e+08 ; -1.900791e+07 + i 3.782411e+07 ; 2.363083e+08 + i -1.919314e+08 ; 6.921987e+08 + i 6.507621e+08 ; -1.755751e+07 + i -3.830126e+07 ; 3.050184e+08 + i 8.395329e+08 ; 2.219000e+08 + i 5.621019e+08 ; -8.735919e+06 + i 2.603078e+07 ; 3.366723e+08 + i -5.824519e+07 ; -7.252031e+07 + i -3.032680e+08 ; 1.464213e+07 + i 1.565018e+08 ; 6.682861e+08 + i 2.460403e+08 ; -5.446495e+06 + i -2.954178e+08 ; 4.918580e+07 + i 5.000112e+07 ; 2.196998e+08 + i -1.925797e+08 ; 9.633146e+07 + i -3.544614e+08 ; -3.373938e+07 + i 1.239686e+08 ; 6.718432e+08 + i 7.547312e+08 ; 1.651326e+08 + i -2.669476e+08 ; 4.041319e+07 + i 5.107702e+07 ; 2.932294e+08 + i -8.693972e+07 ; 
-3.059600e+08 + i -1.171205e+09 ; 1.487074e+08 + i -1.185021e+08 ; 1.488178e+08 + i -1.190384e+08 ; -1.321974e+09 + i -1.614151e+09 ; 2.519990e+08 + i 4.111388e+08 ; 2.522063e+08 + i 4.115531e+08 ; -7.229396e+08 + i -1.059703e+07 ; 1.547741e+08 + i -1.751673e+08 ; 4.981750e+07 + i -1.427197e+08 ; -8.462805e+08 + i 2.371410e+08 ; 8.542525e+08 + i 3.764625e+08 ; 2.502316e+08 + i 1.071285e+08 ; -7.241583e+08 + i -1.018780e+07 ; 4.876983e+07 + i -1.413843e+08 ; 1.540740e+08 + i -1.740978e+08 ; -8.483819e+08 + i 2.375614e+08 ; 2.482633e+08 + i 1.066875e+08 ; 8.538297e+08 + i 3.764669e+08 ; -4.050125e+08 + i 6.744476e+08 ; 6.592899e+07 + i -1.586534e+08 ; 6.462826e+07 + i -1.596389e+08 ; -2.188763e+08 + i 8.343462e+08 ; 4.970879e+08 + i 4.816327e+07 ; 4.963361e+08 + i 4.745688e+07 ; -5.002347e+09 + i 2.891699e+10 ; -3.590625e+08 + i 5.410962e+08 ; -3.603891e+08 + i 5.434569e+08 ; -8.589721e+09 + i -8.393268e+09 ; -4.810066e+08 + i -1.582262e+09 ; -4.834897e+08 + i -1.583360e+09 ; 2.686849e+09 + i 3.731684e+09 ; 7.183353e+07 + i 7.434436e+08 ; 1.141227e+08 + i 4.590996e+08 ; -4.815382e+08 + i 4.336915e+09 ; -2.659454e+09 + i -1.526511e+09 ; -5.795614e+08 + i -1.441978e+08 ; 2.688773e+09 + i 3.734637e+09 ; 1.162234e+08 + i 4.560201e+08 ; 7.330693e+07 + i 7.406399e+08 ; -4.833646e+08 + i 4.340919e+09 ; -5.732217e+08 + i -1.398505e+08 ; -2.658705e+09 + i -1.526729e+09 ; 2.369225e+09 + i 1.268762e+08 ; 2.723992e+08 + i 4.337450e+08 ; 2.752803e+08 + i 4.365446e+08 ; 2.802137e+09 + i 5.797661e+08 ; -9.793627e+08 + i 4.936199e+07 ; -9.771065e+08 + i 5.061193e+07 ; 
-5.786179e+06 + i -3.245818e+08 ; 2.935587e+08 + i -7.210795e+07 ; 6.758468e+07 + i 3.808018e+07 ; -1.512975e+08 + i -3.534087e+08 ; 6.669985e+08 + i 7.564972e+08 ; 1.958131e+07 + i 1.456390e+08 ; 4.115557e+08 + i 4.630725e+08 ; 3.294482e+08 + i -5.821476e+07 ; -4.178408e+06 + i 3.461243e+07 ; 8.862210e+08 + i 3.632084e+08 ; 2.755662e+08 + i 8.312545e+08 ; -6.376077e+07 + i -3.430905e+07 ; -1.437486e+08 + i -2.496545e+08 ; 2.303911e+08 + i -1.819044e+08 ; 7.606116e+07 + i 3.040383e+07 ; -2.147169e+08 + i -2.170342e+08 ; 6.710962e+08 + i 2.567530e+08 ; 8.157400e+07 + i 1.612129e+08 ; 3.124932e+08 + i 1.256234e+08 ; 2.328314e+08 + i -1.934168e+08 ; -8.572440e+06 + i 4.764184e+07 ; 4.495779e+08 + i 5.695697e+07 ; 5.951645e+08 + i 3.362258e+08 ; -2.400666e+08 + i -1.488702e+07 ; -2.618923e+08 + i 5.460110e+08 ; -4.982986e+09 + i 2.903550e+10 ; -3.168780e+08 + i 6.004092e+08 ; 1.593391e+08 + i 7.423483e+08 ; 2.791922e+09 + i 3.815190e+09 ; 1.333930e+08 + i 5.013203e+08 ; -4.205981e+08 + i -1.426561e+09 ; -8.611750e+09 + i -8.376883e+09 ; -4.817787e+08 + i -1.551891e+09 ; -2.660424e+09 + i -1.467982e+09 ; -4.217614e+08 + i 4.413065e+09 ; -5.491208e+08 + i -1.416393e+08 ; 1.714757e+08 + i 4.550137e+08 ; 2.826181e+09 + i 3.753048e+09 ; 1.371235e+08 + i 7.787752e+08 ; 3.423020e+08 + i 4.606730e+08 ; 2.550290e+09 + i 1.155684e+08 ; 3.069818e+08 + i 4.818666e+08 ; -4.953970e+08 + i -6.683080e+07 ; -4.104959e+08 + i 4.331900e+09 ; -2.653205e+09 + i -1.519104e+09 ; -9.373870e+08 + i 1.041748e+08 ; 2.934648e+09 + i 6.007177e+08 ; -9.490331e+08 + i 5.575275e+07 ; 
-5.463248e+06 + i -3.250257e+08 ; 6.737666e+07 + i 3.807158e+07 ; 2.946340e+08 + i -7.160670e+07 ; -1.513599e+08 + i -3.529815e+08 ; 1.925626e+07 + i 1.455379e+08 ; 6.665943e+08 + i 7.572790e+08 ; -1.435693e+08 + i -2.507607e+08 ; 7.607941e+07 + i 3.055990e+07 ; 2.312217e+08 + i -1.819776e+08 ; -2.151352e+08 + i -2.177619e+08 ; 8.139178e+07 + i 1.609899e+08 ; 6.685118e+08 + i 2.581344e+08 ; 4.121067e+08 + i 4.617031e+08 ; -4.622854e+06 + i 3.445209e+07 ; 3.282615e+08 + i -5.635802e+07 ; 8.863367e+08 + i 3.624370e+08 ; -6.420883e+07 + i -3.497477e+07 ; 2.732901e+08 + i 8.323217e+08 ; 3.146998e+08 + i 1.263519e+08 ; -8.599981e+06 + i 4.807691e+07 ; 2.322276e+08 + i -1.934838e+08 ; 4.506383e+08 + i 5.780381e+07 ; -2.397454e+08 + i -1.465536e+07 ; 5.945350e+08 + i 3.367037e+08 ; -2.630181e+08 + i 5.479397e+08 ; -3.174049e+08 + i 6.008301e+08 ; -4.984321e+09 + i 2.902824e+10 ; 1.608137e+08 + i 7.419240e+08 ; 1.326162e+08 + i 5.017549e+08 ; 2.788649e+09 + i 3.825351e+09 ; 1.703196e+08 + i 4.582067e+08 ; 1.361091e+08 + i 7.753384e+08 ; 2.806286e+09 + i 3.739924e+09 ; 3.439284e+08 + i 4.646797e+08 ; 3.050833e+08 + i 4.811739e+08 ; 2.538086e+09 + i 1.286545e+08 ; -4.225560e+08 + i -1.424030e+09 ; -4.827056e+08 + i -1.553846e+09 ; -8.622815e+09 + i -8.386063e+09 ; -2.660745e+09 + i -1.466169e+09 ; -5.506019e+08 + i -1.439512e+08 ; -4.287403e+08 + i 4.411131e+09 ; -5.004485e+08 + i -6.980580e+07 ; -2.652432e+09 + i -1.519004e+09 ; -4.024145e+08 + i 4.330132e+09 ; -9.388296e+08 + i 1.013719e+08 ; -9.497756e+08 + i 5.540328e+07 ; 2.937043e+09 + i 5.995323e+08 ; 
9.297118e+07 + i -6.449035e+08 ; -2.392525e+07 + i -4.802145e+07 ; -2.390199e+07 + i -4.824817e+07 ; -2.911256e+08 + i -1.177267e+09 ; 8.159110e+07 + i -7.072744e+07 ; 8.201944e+07 + i -7.072444e+07 ; -5.025445e+08 + i -1.827475e+08 ; -6.682449e+06 + i -5.070445e+07 ; -3.851408e+07 + i -3.843142e+07 ; -7.138613e+08 + i -1.710633e+07 ; 1.639388e+08 + i -9.523914e+07 ; 3.026227e+07 + i -9.376232e+07 ; -5.034889e+08 + i -1.823029e+08 ; -3.863602e+07 + i -3.811367e+07 ; -6.541560e+06 + i -5.067468e+07 ; -7.148892e+08 + i -1.664068e+07 ; 2.908673e+07 + i -9.359816e+07 ; 1.640752e+08 + i -9.556504e+07 ; -5.246282e+08 + i 4.559230e+08 ; -2.311380e+07 + i -4.038530e+07 ; -2.335217e+07 + i -4.038367e+07 ; -3.969919e+08 + i 6.674146e+08 ; 8.627634e+07 + i -1.067662e+08 ; 8.623434e+07 + i -1.070995e+08 ; -8.599932e+09 + i -8.349135e+09 ; 3.663547e+08 + i 1.608358e+09 ; 3.677934e+08 + i 1.611138e+09 ; -4.941090e+09 + i 2.906064e+10 ; 3.738240e+08 + i -5.977916e+08 ; 3.749041e+08 + i -5.996156e+08 ; -4.789090e+08 + i 4.345714e+09 ; 2.580925e+09 + i 1.742448e+09 ; 5.378730e+08 + i 1.757633e+08 ; 2.798837e+09 + i 3.747972e+09 ; -7.071511e+07 + i -8.024120e+08 ; -1.068794e+08 + i -5.283507e+08 ; -4.781512e+08 + i 4.348745e+09 ; 5.314593e+08 + i 1.730710e+08 ; 2.580950e+09 + i 1.742517e+09 ; 2.800348e+09 + i 3.753288e+09 ; -1.088362e+08 + i -5.246913e+08 ; -7.114379e+07 + i -8.006469e+08 ; 2.805993e+09 + i 5.914683e+08 ; 9.597231e+08 + i 1.307304e+07 ; 9.581262e+08 + i 1.231567e+07 ; 2.470158e+09 + i 3.512752e+07 ; -2.770708e+08 + i -5.122871e+08 ; -2.796954e+08 + i -5.125467e+08 ; 
1.419078e+08 + i 1.915189e+07 ; 3.998322e+07 + i -8.068838e+07 ; 2.677544e+07 + i -1.253074e+06 ; 1.676004e+08 + i -1.946486e+07 ; 2.960480e+08 + i -9.273011e+07 ; 4.852977e+07 + i 4.575388e+07 ; -2.744550e+07 + i 3.465094e+08 ; 2.724017e+07 + i -7.872945e+07 ; 1.610949e+07 + i 1.764081e+06 ; 1.299997e+08 + i 5.373765e+08 ; 3.273907e+08 + i -5.422564e+07 ; 1.885718e+07 + i 3.358996e+07 ; 1.620977e+08 + i -4.629267e+07 ; -3.643391e+06 + i -9.511089e+07 ; 2.900013e+07 + i -1.102699e+06 ; 1.665592e+08 + i -9.625710e+07 ; 2.208012e+08 + i -1.939227e+08 ; 6.364645e+07 + i 5.019025e+07 ; 9.758478e+07 + i 2.604364e+08 ; -9.216358e+06 + i -8.489658e+07 ; 1.028184e+07 + i 4.831133e+06 ; 2.186161e+08 + i 3.252535e+08 ; 2.316795e+08 + i -1.886620e+08 ; -1.057493e+07 + i 3.575774e+07 ; 1.661028e+08 + i -7.828901e+08 ; 2.800302e+09 + i 3.769484e+09 ; 9.827034e+07 + i 5.194985e+08 ; 5.431742e+08 + i -4.693141e+08 ; -4.973366e+09 + i 2.910799e+10 ; -3.842649e+08 + i 5.922591e+08 ; 2.114299e+09 + i 2.451001e+09 ; -4.300152e+08 + i 4.430117e+09 ; -5.554162e+08 + i -1.913101e+08 ; -5.628589e+07 + i 1.744126e+09 ; -8.657302e+09 + i -8.262570e+09 ; -3.825352e+08 + i -1.624756e+09 ; -1.001165e+08 + i -5.412947e+08 ; 2.526894e+09 + i 1.120941e+08 ; 2.777586e+08 + i 5.131130e+08 ; 4.725256e+07 + i -5.169527e+08 ; 2.813875e+09 + i 3.858882e+09 ; 6.652244e+07 + i 8.119836e+08 ; 9.619034e+08 + i 3.280487e+08 ; 2.936547e+09 + i 5.972162e+08 ; -9.749953e+08 + i -1.204219e+07 ; 4.874768e+08 + i 3.528856e+08 ; -4.136113e+08 + i 4.447437e+09 ; -2.605987e+09 + i -1.740459e+09 ; 
1.424184e+08 + i 1.906579e+07 ; 2.666780e+07 + i -1.310209e+06 ; 3.871235e+07 + i -8.106096e+07 ; 1.672482e+08 + i -1.964238e+07 ; 4.830672e+07 + i 4.569504e+07 ; 2.943974e+08 + i -9.180509e+07 ; 1.628473e+08 + i -4.645520e+07 ; 2.903645e+07 + i -1.153016e+06 ; -3.474014e+06 + i -9.637377e+07 ; 1.670177e+08 + i -9.702662e+07 ; 6.347790e+07 + i 5.020284e+07 ; 2.211378e+08 + i -1.949988e+08 ; -2.671063e+07 + i 3.467400e+08 ; 1.599168e+07 + i 1.803027e+06 ; 2.679910e+07 + i -7.802577e+07 ; 1.302904e+08 + i 5.373066e+08 ; 1.857422e+07 + i 3.336170e+07 ; 3.266109e+08 + i -5.385543e+07 ; 9.740473e+07 + i 2.615577e+08 ; 1.041051e+07 + i 4.926959e+06 ; -9.796154e+06 + i -8.555436e+07 ; 2.177281e+08 + i 3.260768e+08 ; -1.050408e+07 + i 3.581416e+07 ; 2.318806e+08 + i -1.900313e+08 ; 1.664466e+08 + i -7.822867e+08 ; 9.739707e+07 + i 5.198023e+08 ; 2.793129e+09 + i 3.781951e+09 ; 5.421402e+08 + i -4.715651e+08 ; -3.850343e+08 + i 5.924172e+08 ; -4.980254e+09 + i 2.910467e+10 ; -9.929949e+07 + i -5.427264e+08 ; 2.760150e+08 + i 5.123261e+08 ; 2.513872e+09 + i 1.215108e+08 ; 4.897892e+07 + i -5.199375e+08 ; 6.591119e+07 + i 8.089615e+08 ; 2.795803e+09 + i 3.837697e+09 ; 2.116699e+09 + i 2.450760e+09 ; -5.570011e+08 + i -1.938634e+08 ; -4.323348e+08 + i 4.426203e+09 ; -5.462212e+07 + i 1.742259e+09 ; -3.828804e+08 + i -1.626768e+09 ; -8.663178e+09 + i -8.270942e+09 ; 9.619109e+08 + i 3.321293e+08 ; -9.764140e+08 + i -1.223287e+07 ; 2.936864e+09 + i 6.062468e+08 ; 4.880997e+08 + i 3.546397e+08 ; -2.605135e+09 + i -1.740060e+09 ; -4.053095e+08 + i 4.449869e+09 ; 
-7.256273e+08 + i -2.201589e+07 ; -1.983048e+08 + i 1.033941e+08 ; 6.117761e+07 + i -1.404594e+08 ; -8.426041e+08 + i 2.418327e+08 ; -7.094344e+08 + i -6.499079e+08 ; 2.467381e+08 + i 1.310259e+08 ; -2.965836e+08 + i -1.179334e+09 ; -1.564234e+08 + i 7.542883e+07 ; 1.599429e+08 + i -1.112013e+08 ; -1.322489e+09 + i -1.609125e+09 ; -6.573595e+07 + i -4.852519e+08 ; 2.254049e+08 + i 4.403129e+08 ; -4.079493e+08 + i 6.668839e+08 ; -1.180413e+08 + i 1.215007e+08 ; 7.772597e+07 + i -1.579148e+08 ; -2.151147e+08 + i 8.295048e+08 ; -4.690894e+08 + i -2.093740e+08 ; 5.033118e+08 + i 8.472639e+07 ; -7.255312e+08 + i -1.631409e+07 ; -7.816734e+07 + i 1.148922e+08 ; 1.702817e+08 + i -1.666505e+08 ; -8.504273e+08 + i 2.393693e+08 ; -1.885026e+08 + i -1.916494e+08 ; 8.462726e+08 + i 4.477144e+08 ; 2.692924e+09 + i 3.686067e+09 ; -1.179064e+08 + i -7.796287e+08 ; 8.499648e+07 + i 4.750500e+08 ; -5.360030e+08 + i 4.351423e+09 ; 2.242303e+09 + i 2.467853e+09 ; -5.914203e+08 + i -1.943304e+08 ; -4.978307e+09 + i 2.885052e+10 ; 4.212603e+08 + i -5.509133e+08 ; -4.040202e+08 + i 5.327417e+08 ; -8.632390e+09 + i -8.419115e+09 ; 2.603937e+08 + i 1.741681e+09 ; -3.870538e+08 + i -1.653368e+09 ; 2.335715e+09 + i 1.227511e+08 ; -1.653870e+08 + i -4.790341e+08 ; 2.563655e+08 + i 4.640038e+08 ; 2.798656e+09 + i 5.794649e+08 ; 1.040417e+09 + i 2.399313e+08 ; -1.006527e+09 + i -1.646963e+07 ; 2.659295e+09 + i 3.736478e+09 ; -3.420035e+07 + i -4.708290e+08 ; 2.879478e+07 + i 7.617861e+08 ; -4.879519e+08 + i 4.353026e+09 ; 5.626579e+08 + i 2.830999e+08 ; -2.619047e+09 + i -1.755570e+09 ; 
-4.058956e+08 + i -4.767373e+08 ; 3.386516e+08 + i -4.380759e+07 ; 6.262512e+06 + i -3.510957e+07 ; -9.035977e+08 + i -4.203887e+08 ; 2.892255e+08 + i 8.415453e+08 ; 6.214173e+07 + i 3.924418e+07 ; -3.457400e+07 + i 3.236949e+08 ; 2.899141e+08 + i -8.941495e+07 ; -6.704657e+07 + i -4.364372e+07 ; 7.252308e+07 + i 3.496680e+08 ; 6.606946e+08 + i 7.386902e+08 ; -1.057732e+07 + i -1.514181e+08 ; -3.120706e+08 + i -1.304410e+08 ; 2.422381e+08 + i -1.862774e+08 ; 1.205045e+07 + i -4.750410e+07 ; -4.642358e+08 + i -7.893305e+07 ; 6.027073e+08 + i 3.400817e+08 ; 2.439728e+08 + i 3.413794e+07 ; 1.183342e+08 + i 2.658832e+08 ; 2.215018e+08 + i -1.924707e+08 ; -7.580920e+07 + i -3.600102e+07 ; 1.722488e+08 + i 2.314399e+08 ; 6.638872e+08 + i 2.468039e+08 ; -7.214460e+07 + i -1.697922e+08 ; 5.886493e+08 + i 1.488382e+09 ; -8.626918e+09 + i -8.347915e+09 ; 3.743478e+08 + i 1.617535e+09 ; 2.585886e+09 + i 1.738435e+09 ; -4.665491e+08 + i 4.439455e+09 ; 5.499870e+08 + i 1.831787e+08 ; 2.831964e+08 + i -6.347416e+08 ; -4.964569e+09 + i 2.900510e+10 ; 3.676698e+08 + i -6.029923e+08 ; -3.747365e+08 + i -7.963603e+08 ; 2.826718e+09 + i 3.818413e+09 ; -1.044428e+08 + i -5.310001e+08 ; 5.148158e+08 + i 7.223183e+07 ; -3.925154e+08 + i 4.358198e+09 ; 2.598380e+09 + i 1.751275e+09 ; 9.902424e+08 + i -4.985779e+07 ; 2.940464e+09 + i 6.318095e+08 ; 9.799281e+08 + i 1.651328e+07 ; -1.957596e+08 + i -4.662854e+08 ; 2.824831e+09 + i 3.728072e+09 ; -8.247738e+07 + i -8.031492e+08 ; -3.438549e+08 + i -4.611343e+08 ; 2.545854e+09 + i 8.087374e+07 ; -2.777544e+08 + i -5.153198e+08 ; 
-1.290032e+08 + i -2.614149e+08 ; -6.183025e+07 + i -5.190378e+07 ; 2.311685e+08 + i -1.793056e+08 ; -2.055946e+08 + i -2.300861e+08 ; -2.616319e+07 + i -1.806387e+08 ; 6.670377e+08 + i 2.584050e+08 ; 1.553181e+07 + i -3.261510e+08 ; -5.433726e+07 + i -5.313012e+07 ; 2.954071e+08 + i -7.129167e+07 ; -1.319821e+08 + i -3.610650e+08 ; 2.801898e+07 + i -1.459285e+08 ; 6.676708e+08 + i 7.549937e+08 ; 3.106901e+08 + i 1.485094e+08 ; 1.796872e+07 + i -4.423200e+07 ; 2.323665e+08 + i -1.921628e+08 ; 4.433385e+08 + i 8.185754e+07 ; 2.221854e+08 + i 9.316629e+07 ; 5.937861e+08 + i 3.382781e+08 ; 3.830102e+08 + i 4.944378e+08 ; 4.692568e+06 + i -3.677185e+07 ; 3.289518e+08 + i -5.612187e+07 ; 8.664861e+08 + i 4.230732e+08 ; 3.502625e+07 + i 5.481267e+07 ; 2.728126e+08 + i 8.336129e+08 ; 1.327923e+08 + i 4.911754e+08 ; 1.002047e+08 + i -8.034447e+08 ; 2.804910e+09 + i 3.701981e+09 ; 3.055540e+08 + i 5.157446e+08 ; -1.416298e+08 + i -5.807926e+08 ; 2.517832e+09 + i 1.162844e+08 ; -3.008352e+08 + i 5.423052e+08 ; 4.875362e+08 + i -5.028363e+08 ; -4.971367e+09 + i 2.899894e+10 ; 1.163770e+08 + i 7.713906e+08 ; 1.318970e+07 + i -5.549622e+08 ; 2.769855e+09 + i 3.815637e+09 ; -5.533354e+08 + i -1.460141e+08 ; 2.135511e+09 + i 2.335306e+09 ; -4.037371e+08 + i 4.343116e+09 ; -9.764996e+08 + i 7.454262e+06 ; 9.948864e+08 + i 2.806889e+08 ; 2.941353e+09 + i 6.048844e+08 ; -3.238203e+08 + i -1.460857e+09 ; -2.066594e+07 + i 1.659725e+09 ; -8.635031e+09 + i -8.375464e+09 ; -2.585016e+09 + i -1.644541e+09 ; 5.507555e+08 + i 3.157049e+08 ; -4.279647e+08 + i 4.425743e+09 ; 
-5.021368e+08 + i -1.838632e+08 ; -4.336858e+07 + i 5.843654e+07 ; -3.655795e+07 + i -4.137328e+07 ; -7.237708e+08 + i -4.083959e+06 ; -2.324980e+08 + i 7.003385e+07 ; 3.708345e+07 + i -9.292167e+07 ; 1.008999e+08 + i -6.425299e+08 ; -4.533750e+06 + i 2.687264e+07 ; -2.188323e+07 + i -5.059110e+07 ; -3.014017e+08 + i -1.168303e+09 ; -1.477844e+08 + i 1.141392e+07 ; 8.678479e+07 + i -6.678238e+07 ; -5.245456e+08 + i 4.521628e+08 ; -5.601025e+06 + i 6.333080e+07 ; -2.124647e+07 + i -4.263220e+07 ; -4.001338e+08 + i 6.710979e+08 ; -1.318092e+08 + i 1.031297e+08 ; 9.417535e+07 + i -1.041963e+08 ; -5.028565e+08 + i -1.843098e+08 ; 9.857293e+06 + i 4.230183e+07 ; -3.742146e+06 + i -5.202897e+07 ; -7.217092e+08 + i -9.622930e+06 ; -8.283910e+07 + i 7.982659e+07 ; 1.728035e+08 + i -8.775353e+07 ; -5.683396e+08 + i 4.294476e+09 ; -1.922841e+09 + i -2.329271e+09 ; 5.385724e+08 + i 2.194022e+08 ; 2.805955e+09 + i 3.761537e+09 ; 4.817056e+08 + i 9.573329e+08 ; -7.507453e+07 + i -5.408628e+08 ; -8.638721e+09 + i -8.439953e+09 ; -5.383529e+08 + i -1.806419e+09 ; 2.760061e+08 + i 1.664264e+09 ; -4.949490e+09 + i 2.906764e+10 ; -5.186655e+08 + i 4.299017e+08 ; 4.192609e+08 + i -5.874201e+08 ; 2.774463e+09 + i 6.124030e+08 ; -9.788998e+08 + i -2.602032e+08 ; 9.728126e+08 + i 6.683928e+07 ; 2.453033e+09 + i 2.366579e+07 ; 1.742157e+08 + i 4.700401e+08 ; -2.552061e+08 + i -5.382476e+08 ; -4.991224e+08 + i 4.368802e+09 ; -5.175391e+08 + i -2.320828e+08 ; 2.524878e+09 + i 1.923427e+09 ; 2.795061e+09 + i 3.765720e+09 ; 3.844541e+07 + i 4.968271e+08 ; -2.422877e+07 + i -8.223120e+08 ; 
7.011487e+07 + i -3.354901e+08 ; 2.900372e+07 + i -9.190305e+07 ; -1.655593e+07 + i -2.579293e+06 ; -4.586369e+07 + i -5.380088e+08 ; 3.209458e+08 + i -7.268863e+07 ; -1.774989e+07 + i -3.514833e+07 ; -1.169899e+08 + i 2.909809e+05 ; 2.989322e+07 + i -7.309169e+07 ; -2.765394e+07 + i 1.777749e+05 ; -1.020061e+08 + i 3.935420e+07 ; 2.890275e+08 + i -7.991305e+07 ; -4.750388e+07 + i -4.892146e+07 ; -6.526002e+07 + i -2.724479e+08 ; -1.282201e+07 + i -9.416810e+07 ; -1.003444e+07 + i -5.170506e+06 ; -1.695169e+08 + i -3.456324e+08 ; 2.236076e+08 + i -1.950448e+08 ; 1.287092e+07 + i -3.496434e+07 ; -1.353264e+08 + i 4.334570e+07 ; -5.341244e+06 + i -8.355823e+07 ; -2.954466e+07 + i -2.048741e+05 ; -1.210188e+08 + i 8.421741e+07 ; 2.242957e+08 + i -1.836020e+08 ; -6.199184e+07 + i -5.395665e+07 ; -1.879590e+09 + i -2.392733e+09 ; -5.175386e+08 + i 4.371189e+09 ; 5.511897e+08 + i 2.259119e+08 ; -4.842889e+08 + i -1.848760e+09 ; -8.672128e+09 + i -8.303484e+09 ; 2.925330e+08 + i 1.669837e+09 ; 4.284516e+08 + i 9.549355e+08 ; 2.837770e+09 + i 3.840584e+09 ; -7.277536e+07 + i -5.402167e+08 ; -5.355656e+08 + i 4.030167e+08 ; -4.993835e+09 + i 2.914288e+10 ; 4.235784e+08 + i -5.901180e+08 ; -9.678730e+08 + i -3.330683e+08 ; 2.911182e+09 + i 6.448210e+08 ; 9.892477e+08 + i 7.310990e+07 ; -5.058180e+08 + i -2.735470e+08 ; -4.105346e+08 + i 4.481236e+09 ; 2.545888e+09 + i 1.928152e+09 ; 1.399009e+08 + i 4.436957e+08 ; 2.540143e+09 + i 7.371658e+07 ; -2.535399e+08 + i -5.365290e+08 ; 1.318900e+07 + i 4.697576e+08 ; 2.829821e+09 + i 3.846036e+09 ; -1.963910e+07 + i -8.261256e+08 ; 
