5.340975e+08 + i 4.387093e+09 ; 5.155150e+07 + i 9.737573e+07 ; 5.243182e+07 + i 9.751481e+07 ; -1.645889e+09 + i -2.534581e+08 ; -2.205049e+08 + i -9.477178e+07 ; -2.204815e+08 + i -9.445743e+07 ; 6.239841e+08 + i 3.240116e+08 ; 1.004960e+08 + i 7.020518e+07 ; 9.144592e+07 + i 2.897106e+06 ; 4.005164e+08 + i 5.745790e+08 ; -3.789573e+08 + i 5.900513e+07 ; -5.711481e+07 + i 6.168501e+07 ; 6.244357e+08 + i 3.230211e+08 ; 9.051289e+07 + i 2.271189e+06 ; 9.946421e+07 + i 7.036803e+07 ; 4.019777e+08 + i 5.750431e+08 ; -5.600654e+07 + i 6.021722e+07 ; -3.791512e+08 + i 5.893810e+07 ; 3.128933e+08 + i -4.077031e+08 ; 9.873597e+07 + i -1.117805e+07 ; 9.920566e+07 + i -1.204677e+07 ; 3.629036e+08 + i -3.993242e+08 ; -7.406436e+07 + i 9.499054e+07 ; -7.389350e+07 + i 9.413500e+07 ; -1.604895e+08 + i -1.370514e+08 ; 5.961218e+06 + i 1.511453e+07 ; 6.105800e+06 + i 1.534848e+07 ; -6.409958e+07 + i -1.177317e+08 ; 6.293306e+06 + i -2.613875e+06 ; 6.406696e+06 + i -2.691689e+06 ; -7.731741e+07 + i 7.834842e+07 ; 1.317598e+06 + i 2.240420e+07 ; 1.279650e+07 + i 8.185359e+06 ; -7.849731e+07 + i 3.794339e+07 ; 4.892877e+06 + i -1.001817e+06 ; 4.464168e+06 + i -6.230381e+06 ; -7.681389e+07 + i 7.797543e+07 ; 1.289778e+07 + i 7.881116e+06 ; 1.387043e+06 + i 2.258773e+07 ; -7.818648e+07 + i 3.781825e+07 ; 4.384026e+06 + i -6.241658e+06 ; 4.988159e+06 + i -1.003519e+06 ; 1.076720e+08 + i 1.177889e+08 ; 9.460831e+06 + i 1.289739e+07 ; 9.253006e+06 + i 1.303730e+07 ; 7.034109e+07 + i 1.216578e+08 ; 3.298080e+06 + i -4.789306e+06 ; 3.296949e+06 + i -4.703558e+06 ; 
-1.316641e+08 + i 5.928274e+07 ; -1.374172e+08 + i 5.377052e+07 ; 3.887144e+08 + i -4.043437e+08 ; -5.794727e+07 + i 6.800932e+07 ; -4.120906e+08 + i -1.765989e+08 ; 3.944213e+08 + i 5.825478e+08 ; -4.082203e+08 + i -1.663386e+08 ; -6.441032e+07 + i 6.137169e+07 ; 4.044563e+08 + i 5.949631e+08 ; -2.373515e+08 + i -1.183351e+08 ; -2.483479e+08 + i -1.322048e+08 ; -1.671735e+09 + i -2.269568e+08 ; 6.272393e+07 + i 1.869053e+07 ; 6.053910e+07 + i 3.004820e+07 ; 3.207460e+08 + i -4.195421e+08 ; 9.468722e+07 + i 3.790707e+07 ; 1.396288e+08 + i 4.043140e+07 ; 6.238051e+08 + i 3.071627e+08 ; 1.462941e+08 + i 3.545549e+07 ; 9.429838e+07 + i 5.123052e+07 ; 6.350303e+08 + i 3.206445e+08 ; 9.787996e+06 + i 1.231762e+08 ; 2.022070e+06 + i 1.312859e+08 ; 5.195064e+08 + i 4.387993e+09 ; 5.228373e+07 + i -5.404592e+06 ; -2.433374e+07 + i 3.617535e+06 ; 9.611395e+07 + i -3.847555e+07 ; 4.086916e+07 + i -3.678724e+05 ; 9.483014e+05 + i 4.101545e+06 ; -2.280314e+07 + i -4.308264e+07 ; 1.348292e+08 + i 1.603168e+07 ; -3.898982e+06 + i -3.898277e+06 ; 1.188440e+08 + i 6.868384e+07 ; 8.645801e+07 + i 4.227270e+07 ; 7.551031e+05 + i 3.078125e+06 ; 1.802703e+07 + i -4.263633e+07 ; -5.219556e+07 + i -1.625512e+07 ; 1.829667e+07 + i 1.737733e+07 ; 9.656382e+07 + i -4.600271e+07 ; -4.744469e+07 + i -2.074811e+07 ; 1.088570e+07 + i -3.156121e+06 ; -2.333538e+07 + i -4.022032e+07 ; -2.913478e+07 + i -6.191418e+07 ; 1.116471e+07 + i 1.802938e+07 ; 1.422717e+08 + i 4.237062e+07 ; -1.499791e+07 + i -5.710593e+07 ; 1.001343e+07 + i -2.574736e+06 ; 1.359615e+07 + i -3.951280e+07 ; 
-1.556009e+08 + i -1.327724e+08 ; -8.164469e+06 + i -2.587908e+07 ; -8.289023e+06 + i -2.579455e+07 ; -2.925114e+08 + i -1.094419e+08 ; 6.405650e+07 + i 7.564470e+06 ; 6.418278e+07 + i 7.645679e+06 ; -7.461067e+07 + i 7.697349e+07 ; -1.090400e+07 + i -2.649817e+07 ; -2.250425e+07 + i -8.906685e+06 ; -6.438828e+07 + i 1.096542e+08 ; 1.080353e+08 + i -3.474374e+07 ; 2.547904e+07 + i -2.289500e+07 ; -7.425269e+07 + i 7.723634e+07 ; -2.207375e+07 + i -8.730316e+06 ; -1.050265e+07 + i -2.655103e+07 ; -6.402750e+07 + i 1.103168e+08 ; 2.543178e+07 + i -2.251656e+07 ; 1.081075e+08 + i -3.470533e+07 ; 1.076290e+08 + i 1.168135e+08 ; -1.994943e+07 + i -9.898698e+06 ; -2.012203e+07 + i -9.510863e+06 ; 1.422789e+08 + i 1.036321e+08 ; 4.168476e+07 + i -4.189933e+07 ; 4.152117e+07 + i -4.161172e+07 ; 5.103986e+08 + i 4.368723e+09 ; 4.250733e+07 + i 9.886672e+07 ; 4.332323e+07 + i 9.906493e+07 ; -1.647030e+09 + i -2.540338e+08 ; -2.238522e+08 + i -9.666617e+07 ; -2.238784e+08 + i -9.623031e+07 ; 6.115904e+08 + i 3.326134e+08 ; 9.270287e+07 + i 7.398833e+07 ; 8.553107e+07 + i 2.635374e+06 ; 4.011508e+08 + i 5.750890e+08 ; -3.809808e+08 + i 5.812439e+07 ; -5.975436e+07 + i 6.751817e+07 ; 6.120700e+08 + i 3.316997e+08 ; 8.468073e+07 + i 2.028199e+06 ; 9.167789e+07 + i 7.406354e+07 ; 4.025981e+08 + i 5.757005e+08 ; -5.851135e+07 + i 6.613764e+07 ; -3.812079e+08 + i 5.804235e+07 ; 3.221021e+08 + i -3.866540e+08 ; 9.206666e+07 + i -1.098211e+07 ; 9.265389e+07 + i -1.182205e+07 ; 3.631020e+08 + i -3.991615e+08 ; -7.688829e+07 + i 1.007123e+08 ; -7.668221e+07 + i 9.980584e+07 ; 
-4.230541e+07 + i -2.521604e+07 ; 1.754353e+07 + i -3.846456e+07 ; 7.893022e+06 + i -8.952092e+06 ; -5.367877e+07 + i -1.264977e+07 ; 1.420678e+08 + i 4.440928e+07 ; 2.057951e+07 + i 8.520031e+06 ; 8.712139e+07 + i -2.735795e+06 ; 1.753775e+07 + i -4.028559e+07 ; 3.041065e+06 + i 3.710238e+06 ; 1.109415e+08 + i -4.262559e+07 ; 1.132149e+08 + i 7.427915e+07 ; -8.520219e+06 + i 4.818841e+06 ; -4.063641e+07 + i 1.043076e+07 ; -2.027558e+07 + i -4.372795e+07 ; 7.524156e+06 + i -9.883703e+06 ; -3.922267e+07 + i 1.752161e+07 ; 1.000958e+08 + i -4.634086e+07 ; 2.606678e+07 + i 4.368206e+06 ; 3.722252e+07 + i -2.340246e+07 ; -2.335536e+07 + i -4.245558e+07 ; 3.371661e+06 + i 4.394545e+06 ; 4.219956e+07 + i -3.394993e+07 ; 9.649460e+07 + i -3.719433e+07 ; -2.044353e+07 + i 1.801160e+07 ; 4.566171e+07 + i 8.730078e+07 ; 5.180154e+08 + i 4.391461e+09 ; 5.353533e+07 + i 9.602612e+07 ; 9.462484e+07 + i 6.484731e+07 ; 6.312056e+08 + i 3.335008e+08 ; 9.055133e+07 + i 3.391434e+06 ; -2.004656e+08 + i -9.032297e+07 ; -1.653920e+09 + i -2.395937e+08 ; -2.203606e+08 + i -9.304112e+07 ; -3.723873e+08 + i 6.459296e+07 ; 4.152533e+08 + i 5.756552e+08 ; -5.733588e+07 + i 6.332046e+07 ; 8.382164e+07 + i -2.901576e+06 ; 6.229123e+08 + i 3.161625e+08 ; 9.980035e+07 + i 6.841724e+07 ; 9.538641e+07 + i -1.622100e+07 ; 3.290431e+08 + i -4.244561e+08 ; 9.876678e+07 + i -1.177039e+07 ; -4.428937e+07 + i 6.273284e+07 ; 4.045998e+08 + i 5.681319e+08 ; -3.809507e+08 + i 5.947610e+07 ; -6.651262e+07 + i 9.895100e+07 ; 3.716719e+08 + i -4.261388e+08 ; -7.417057e+07 + i 9.590035e+07 ; 
-4.238838e+07 + i -2.523288e+07 ; 7.974705e+06 + i -8.877442e+06 ; 1.778720e+07 + i -3.897507e+07 ; -5.342928e+07 + i -1.274701e+07 ; 2.064844e+07 + i 8.645090e+06 ; 1.425213e+08 + i 4.429279e+07 ; -4.099178e+07 + i 1.062065e+07 ; 7.562439e+06 + i -9.908266e+06 ; -2.016026e+07 + i -4.382187e+07 ; -3.943692e+07 + i 1.777746e+07 ; 2.601900e+07 + i 4.416342e+06 ; 1.008447e+08 + i -4.556828e+07 ; 8.660593e+07 + i -2.565146e+06 ; 3.046240e+06 + i 3.869909e+06 ; 1.815596e+07 + i -4.036914e+07 ; 1.106871e+08 + i -4.249497e+07 ; -8.689027e+06 + i 4.989867e+06 ; 1.135495e+08 + i 7.449343e+07 ; 3.725695e+07 + i -2.404778e+07 ; 3.486086e+06 + i 4.363696e+06 ; -2.329776e+07 + i -4.228954e+07 ; 4.228026e+07 + i -3.437600e+07 ; -2.043726e+07 + i 1.788271e+07 ; 9.673131e+07 + i -3.700028e+07 ; 4.623787e+07 + i 8.726276e+07 ; 5.378987e+07 + i 9.604634e+07 ; 5.155798e+08 + i 4.390912e+09 ; 9.406470e+07 + i 6.433406e+07 ; 9.087761e+07 + i 3.535211e+06 ; 6.340038e+08 + i 3.334680e+08 ; 8.495598e+07 + i -2.938008e+06 ; 9.880337e+07 + i 6.883598e+07 ; 6.206405e+08 + i 3.195617e+08 ; 9.653599e+07 + i -1.701584e+07 ; 9.870796e+07 + i -1.123353e+07 ; 3.329866e+08 + i -4.213008e+08 ; -1.992644e+08 + i -9.014176e+07 ; -2.207158e+08 + i -9.268972e+07 ; -1.655939e+09 + i -2.368019e+08 ; -3.717503e+08 + i 6.439284e+07 ; -5.790811e+07 + i 6.403381e+07 ; 4.152979e+08 + i 5.785802e+08 ; -4.506346e+07 + i 6.426595e+07 ; -3.809571e+08 + i 5.907675e+07 ; 4.035413e+08 + i 5.655244e+08 ; -6.735398e+07 + i 9.964166e+07 ; -7.429524e+07 + i 9.597616e+07 ; 3.693045e+08 + i -4.260371e+08 ; 
-6.397484e+07 + i -1.130077e+08 ; -7.596951e+06 + i 1.754691e+06 ; -7.679579e+06 + i 1.826450e+06 ; -1.570219e+08 + i -1.372486e+08 ; -4.599789e+06 + i -1.780388e+07 ; -4.662962e+06 + i -1.780129e+07 ; -7.652437e+07 + i 3.882451e+07 ; -5.492744e+06 + i 7.260816e+05 ; -6.030150e+06 + i 6.064034e+06 ; -7.716104e+07 + i 7.399817e+07 ; 8.835290e+05 + i -2.423229e+07 ; -1.322674e+07 + i -1.054854e+07 ; -7.614655e+07 + i 3.905459e+07 ; -5.937912e+06 + i 6.077965e+06 ; -5.503548e+06 + i 7.049109e+05 ; -7.683700e+07 + i 7.444798e+07 ; -1.308793e+07 + i -1.030125e+07 ; 7.871504e+05 + i -2.420650e+07 ; 6.979317e+07 + i 1.226364e+08 ; -4.099155e+06 + i 4.863337e+06 ; -4.068336e+06 + i 4.907290e+06 ; 1.040501e+08 + i 1.139174e+08 ; -8.710062e+06 + i -1.488133e+07 ; -8.813469e+06 + i -1.486250e+07 ; -1.631860e+09 + i -2.448313e+08 ; 2.232212e+08 + i 1.157041e+08 ; 2.239621e+08 + i 1.154407e+08 ; 5.241566e+08 + i 4.376700e+09 ; -5.290202e+07 + i -1.077476e+08 ; -5.336518e+07 + i -1.078440e+08 ; 4.068781e+08 + i 5.743230e+08 ; 4.085841e+08 + i -3.327945e+07 ; 6.362607e+07 + i -6.046607e+07 ; 6.167191e+08 + i 3.231706e+08 ; -9.937970e+07 + i -8.163867e+07 ; -9.890930e+07 + i -7.723729e+06 ; 4.073401e+08 + i 5.737141e+08 ; 6.316647e+07 + i -5.920695e+07 ; 4.084215e+08 + i -3.336779e+07 ; 6.183931e+08 + i 3.227944e+08 ; -9.780527e+07 + i -7.503356e+06 ; -9.892950e+07 + i -8.185604e+07 ; 3.684285e+08 + i -4.036069e+08 ; 8.642916e+07 + i -9.515889e+07 ; 8.638986e+07 + i -9.480505e+07 ; 3.052851e+08 + i -4.027103e+08 ; -1.058722e+08 + i 4.852546e+06 ; -1.054521e+08 + i 5.384921e+06 ; 
1.503276e+07 + i -2.522768e+07 ; -7.334820e+06 + i -5.055888e+06 ; -8.804241e+05 + i -2.420011e+06 ; 1.090326e+07 + i -3.310266e+07 ; 1.095939e+07 + i -4.152838e+07 ; 6.823186e+06 + i -4.728208e+06 ; 4.097127e+07 + i 5.392476e+07 ; -5.719527e+06 + i -1.537887e+06 ; 2.456897e+05 + i -1.149043e+06 ; 7.625451e+07 + i 5.991563e+07 ; 1.889337e+07 + i -3.967440e+07 ; 4.935350e+06 + i -1.306815e+05 ; -1.285259e+06 + i -4.162829e+07 ; -1.462279e+07 + i 9.400828e+06 ; -2.151951e+05 + i -2.588801e+06 ; -1.007143e+07 + i -4.660768e+07 ; -2.477254e+07 + i -4.100539e+07 ; 8.764907e+06 + i -6.029498e+06 ; 4.598321e+07 + i 1.829352e+07 ; -1.049838e+07 + i 9.844619e+06 ; 4.150801e+05 + i -3.962837e+05 ; 6.365467e+07 + i 1.283995e+07 ; -2.136405e+07 + i -4.209068e+07 ; 3.284499e+06 + i 2.144403e+06 ; -7.794393e+07 + i -1.302929e+08 ; 6.116359e+08 + i 3.235595e+08 ; 9.563341e+07 + i 1.096959e+07 ; -1.724899e+07 + i -1.423181e+08 ; 5.168867e+08 + i 4.393554e+09 ; 4.982924e+07 + i 1.090096e+08 ; 4.834657e+08 + i 1.110311e+08 ; 4.211532e+08 + i 5.770190e+08 ; -6.877312e+07 + i 6.307466e+07 ; 2.200365e+08 + i 2.148874e+08 ; -1.635970e+09 + i -2.172450e+08 ; -2.280952e+08 + i -1.143043e+08 ; -1.124648e+08 + i -4.023506e+07 ; 3.271851e+08 + i -4.131550e+08 ; 1.064292e+08 + i -4.960123e+06 ; -9.941962e+07 + i -4.525517e+07 ; 6.384336e+08 + i 3.342151e+08 ; 1.019377e+08 + i 8.221763e+07 ; 1.409666e+08 + i -7.438885e+07 ; 3.704593e+08 + i -4.268375e+08 ; -8.566960e+07 + i 9.705657e+07 ; 9.804476e+07 + i -4.273950e+07 ; 4.238081e+08 + i 5.782619e+08 ; -4.077598e+08 + i 3.798639e+07 ; 
1.483798e+07 + i -2.534635e+07 ; -8.757872e+05 + i -2.373483e+06 ; -7.250618e+06 + i -4.438193e+06 ; 1.083172e+07 + i -3.273086e+07 ; 6.869920e+06 + i -4.652014e+06 ; 1.149370e+07 + i -4.087500e+07 ; -1.484067e+06 + i -4.201551e+07 ; -2.328332e+05 + i -2.566554e+06 ; -1.514514e+07 + i 9.386353e+06 ; -1.048370e+07 + i -4.676383e+07 ; 8.802372e+06 + i -5.980904e+06 ; -2.539444e+07 + i -4.107673e+07 ; 4.083750e+07 + i 5.353014e+07 ; 2.695566e+05 + i -1.158127e+06 ; -5.460470e+06 + i -1.543843e+06 ; 7.608822e+07 + i 5.979882e+07 ; 4.914824e+06 + i -6.053250e+04 ; 1.910029e+07 + i -3.947601e+07 ; 4.654334e+07 + i 1.836815e+07 ; 3.846196e+05 + i -4.407044e+05 ; -1.078176e+07 + i 1.007864e+07 ; 6.414492e+07 + i 1.316054e+07 ; 3.263335e+06 + i 2.121275e+06 ; -2.198908e+07 + i -4.201284e+07 ; -7.791371e+07 + i -1.303970e+08 ; 9.596627e+07 + i 1.130285e+07 ; 6.166022e+08 + i 3.252132e+08 ; -1.742456e+07 + i -1.412789e+08 ; 4.998825e+07 + i 1.091842e+08 ; 5.167900e+08 + i 4.394920e+09 ; -1.133623e+08 + i -4.065030e+07 ; 1.063662e+08 + i -4.432454e+06 ; 3.291075e+08 + i -4.082790e+08 ; -1.007576e+08 + i -4.560376e+07 ; 1.009402e+08 + i 8.230016e+07 ; 6.323244e+08 + i 3.374369e+08 ; 4.826635e+08 + i 1.101126e+08 ; -6.952399e+07 + i 6.395122e+07 ; 4.193714e+08 + i 5.786173e+08 ; 2.190310e+08 + i 2.147135e+08 ; -2.285107e+08 + i -1.143077e+08 ; -1.639653e+09 + i -2.164589e+08 ; 1.425438e+08 + i -7.470094e+07 ; -8.567462e+07 + i 9.758293e+07 ; 3.727012e+08 + i -4.264577e+08 ; 9.894413e+07 + i -4.287695e+07 ; -4.075743e+08 + i 3.738402e+07 ; 4.249289e+08 + i 5.738551e+08 ; 
-7.772534e+07 + i 7.689068e+07 ; -4.267762e+06 + i 3.479924e+07 ; -2.250168e+07 + i -1.124330e+07 ; -6.143984e+07 + i 1.107721e+08 ; -1.415540e+08 + i -9.037227e+06 ; 2.974353e+07 + i -2.212426e+07 ; -1.583217e+08 + i -1.358996e+08 ; 1.948313e+05 + i 2.743009e+07 ; -7.200335e+06 + i -2.769161e+07 ; -2.906341e+08 + i -1.073215e+08 ; -6.829724e+07 + i -4.753065e+07 ; 6.769519e+07 + i 1.343036e+07 ; 1.042389e+08 + i 1.176423e+08 ; 1.640949e+07 + i 2.271680e+07 ; -2.067086e+07 + i -1.169255e+07 ; 1.410774e+08 + i 1.028665e+08 ; -6.629492e+07 + i 2.952530e+07 ; 4.691575e+07 + i -4.113975e+07 ; -7.639854e+07 + i 7.805141e+07 ; 1.919777e+07 + i 1.672252e+07 ; -9.315460e+06 + i -2.896399e+07 ; -6.228621e+07 + i 1.117160e+08 ; -4.055017e+07 + i 9.693279e+06 ; 1.173672e+08 + i -2.936704e+07 ; 5.959220e+08 + i 3.238073e+08 ; -9.089682e+07 + i -6.833613e+07 ; 8.935761e+07 + i 9.100762e+06 ; 4.061756e+08 + i 5.867803e+08 ; 4.997757e+08 + i 7.765443e+07 ; -7.043466e+07 + i 6.873348e+07 ; 4.871590e+08 + i 4.358555e+09 ; -4.251140e+07 + i -1.107843e+08 ; 4.017219e+07 + i 1.075640e+08 ; -1.652509e+09 + i -2.412988e+08 ; 2.337078e+08 + i 1.506992e+08 ; -2.308067e+08 + i -1.165394e+08 ; 3.202590e+08 + i -3.741664e+08 ; -1.006582e+08 + i -1.711608e+07 ; 9.918029e+07 + i -7.030725e+06 ; 3.608284e+08 + i -3.983580e+08 ; 1.242242e+08 + i -9.839635e+07 ; -8.740347e+07 + i 1.014312e+08 ; 6.133072e+08 + i 3.434504e+08 ; -8.963628e+07 + i -2.158768e+07 ; 9.252932e+07 + i 8.305355e+07 ; 4.073199e+08 + i 5.771990e+08 ; 8.497247e+07 + i -6.324493e+07 ; -4.090235e+08 + i 3.705212e+07 ; 
-8.533960e+07 + i 2.125694e+05 ; 2.228744e+07 + i -4.127437e+07 ; -2.992408e+06 + i -4.034374e+06 ; -1.176150e+08 + i 4.341432e+07 ; 1.176454e+08 + i 7.319320e+07 ; 9.184038e+06 + i -4.533390e+06 ; 4.087280e+07 + i 3.312525e+07 ; 1.282375e+07 + i -3.830983e+07 ; -8.904439e+06 + i 9.159146e+06 ; 4.809789e+07 + i 2.942918e+07 ; 1.370577e+08 + i 4.427563e+07 ; -2.156038e+07 + i -1.031926e+07 ; -3.568749e+07 + i 2.050544e+07 ; -2.040353e+07 + i -4.475081e+07 ; -3.085284e+06 + i -4.929924e+06 ; -4.379606e+07 + i 3.409334e+07 ; 9.892827e+07 + i -3.851084e+07 ; 2.338788e+07 + i -1.757983e+07 ; 4.355683e+07 + i -5.840213e+06 ; -2.341720e+07 + i -4.150345e+07 ; -8.407779e+06 + i 9.953216e+06 ; 4.086612e+07 + i -7.877795e+06 ; 9.679233e+07 + i -4.499811e+07 ; -2.698365e+07 + i -6.396928e+06 ; 2.162467e+08 + i 5.774282e+07 ; -1.640816e+09 + i -2.291674e+08 ; 2.251387e+08 + i 1.146945e+08 ; 4.169343e+08 + i -3.663398e+07 ; 4.236033e+08 + i 5.845733e+08 ; 6.479123e+07 + i -6.254354e+07 ; -7.012191e+07 + i -9.128075e+07 ; 5.072767e+08 + i 4.380669e+09 ; -5.407948e+07 + i -1.060526e+08 ; -1.123863e+08 + i -2.155899e+07 ; 6.273113e+08 + i 3.247085e+08 ; -9.893342e+07 + i -8.013015e+06 ; 4.386518e+07 + i -6.888958e+07 ; 4.128299e+08 + i 5.621627e+08 ; 4.100219e+08 + i -3.501806e+07 ; 7.339733e+07 + i -1.088849e+08 ; 3.814180e+08 + i -4.314178e+08 ; 8.741516e+07 + i -9.817915e+07 ; -8.425136e+07 + i 1.116879e+07 ; 6.149083e+08 + i 3.183862e+08 ; -9.967597e+07 + i -7.976985e+07 ; -9.349206e+07 + i 1.850642e+07 ; 3.167716e+08 + i -4.185464e+08 ; -1.055998e+08 + i 5.056208e+06 ; 
-4.328919e+07 + i 7.329160e+06 ; -1.288805e+07 + i 6.747220e+06 ; -1.904906e+07 + i -4.406421e+07 ; -4.163148e+07 + i 1.591271e+07 ; -2.728141e+07 + i -1.780398e+07 ; 1.007341e+08 + i -4.552611e+07 ; -4.156436e+07 + i -2.991285e+07 ; -1.163616e+07 + i 6.795895e+06 ; 1.773021e+07 + i -3.960040e+07 ; -5.302883e+07 + i -1.715111e+07 ; -1.909607e+07 + i -1.927403e+07 ; 1.414373e+08 + i 4.336068e+07 ; 4.071989e+07 + i -2.232162e+07 ; -1.975981e+06 + i -5.530438e+06 ; -2.268982e+07 + i -4.258689e+07 ; 4.460653e+07 + i -3.068438e+07 ; 3.216724e+07 + i -9.810839e+06 ; 9.720340e+07 + i -3.674215e+07 ; 9.071874e+07 + i 5.009655e+06 ; -3.013474e+06 + i -3.422642e+06 ; 1.818679e+07 + i -4.049266e+07 ; 1.184583e+08 + i -3.443962e+07 ; 1.169231e+07 + i 1.499374e+06 ; 1.139925e+08 + i 7.504822e+07 ; 9.277115e+07 + i 7.273170e+06 ; -8.312876e+07 + i -1.189466e+08 ; 6.077370e+08 + i 3.151060e+08 ; 1.081896e+08 + i -6.964950e+06 ; -1.226644e+08 + i -3.283930e+07 ; 3.274068e+08 + i -4.107596e+08 ; 4.280521e+07 + i 9.330239e+07 ; -2.221832e+07 + i -1.311149e+08 ; 5.050632e+08 + i 4.383410e+09 ; 9.542677e+07 + i 7.202980e+07 ; -1.086198e+08 + i -3.930234e+07 ; 6.296077e+08 + i 3.414794e+08 ; -6.532286e+07 + i 7.373268e+07 ; 4.673551e+08 + i 9.885982e+07 ; 4.080248e+08 + i 5.653272e+08 ; -8.717462e+07 + i 1.034241e+08 ; 1.384477e+08 + i -8.886268e+07 ; 3.710104e+08 + i -4.286989e+08 ; -1.980429e+08 + i -1.115825e+08 ; 2.075518e+08 + i 2.045066e+08 ; -1.651720e+09 + i -2.323717e+08 ; -3.890489e+08 + i 3.754728e+07 ; 9.587616e+07 + i -5.871474e+07 ; 4.211294e+08 + i 5.765945e+08 ; 
-7.677049e+07 + i 3.779112e+07 ; 9.273441e+06 + i 1.274022e+07 ; -6.754604e+06 + i 5.836812e+06 ; -7.273668e+07 + i 7.765302e+07 ; -3.419989e+06 + i 3.969947e+07 ; -1.297057e+07 + i -1.210121e+07 ; -6.375180e+07 + i -1.161519e+08 ; -1.457654e+06 + i 1.306656e+06 ; -8.179418e+06 + i 1.599549e+06 ; -1.538276e+08 + i -1.333101e+08 ; -1.646655e+07 + i 2.890274e+07 ; -3.651382e+06 + i -1.864556e+07 ; 6.697706e+07 + i 1.220971e+08 ; 1.271409e+07 + i -7.024044e+05 ; -4.738639e+06 + i 4.882793e+06 ; 1.046494e+08 + i 1.142776e+08 ; 1.152859e+07 + i 2.243310e+07 ; -8.469942e+06 + i -1.619063e+07 ; -7.747982e+07 + i 3.898402e+07 ; 4.782630e+06 + i -8.405042e+05 ; -5.822646e+06 + i 4.196944e+05 ; -7.361264e+07 + i 7.666415e+07 ; 6.484685e+06 + i 2.184220e+07 ; 2.293920e+06 + i -2.545995e+07 ; 3.809929e+08 + i 5.863697e+08 ; -4.194321e+08 + i -1.554762e+08 ; 7.350179e+07 + i -5.915676e+07 ; 6.222565e+08 + i 3.208202e+08 ; 1.787836e+08 + i -2.963585e+06 ; -1.018974e+08 + i -1.600260e+07 ; -1.662487e+09 + i -2.401943e+08 ; -2.919155e+08 + i -8.670000e+07 ; 2.287481e+08 + i 1.366214e+08 ; 5.277224e+08 + i 4.381522e+09 ; -7.105289e+06 + i 1.363844e+08 ; -4.896420e+07 + i -1.172888e+08 ; 3.717005e+08 + i -3.906779e+08 ; -1.230385e+08 + i 8.627861e+07 ; 9.585542e+07 + i -9.338650e+07 ; 3.009475e+08 + i -3.979411e+08 ; 8.807333e+07 + i 1.986506e+07 ; -1.107816e+08 + i -6.341053e+05 ; 4.135161e+08 + i 5.826958e+08 ; -7.087559e+07 + i 5.784283e+07 ; 4.298269e+08 + i -1.005209e+07 ; 6.239684e+08 + i 3.237472e+08 ; 8.684067e+07 + i 2.338924e+07 ; -9.998541e+07 + i -9.209878e+07 ; 
-3.307956e+07 + i -6.215886e+07 ; -1.067846e+07 + i -3.581034e+06 ; -2.172873e+05 + i 1.329803e+06 ; -6.941905e+07 + i -8.115916e+07 ; 1.171893e+07 + i -4.035042e+07 ; -5.005096e+06 + i 6.819130e+04 ; -7.806765e+06 + i 2.055719e+07 ; -4.438570e+06 + i -1.106300e+06 ; 1.042643e+06 + i 2.642870e+06 ; -3.727073e+06 + i 1.634086e+07 ; 1.526236e+07 + i -3.770012e+07 ; -7.129925e+06 + i 4.739003e+06 ; -4.781335e+07 + i -2.450142e+07 ; -1.501847e+07 + i 1.121276e+07 ; -3.682611e+05 + i 2.544756e+05 ; -6.732288e+07 + i -2.448409e+07 ; -2.495811e+07 + i -3.975987e+07 ; -3.011354e+06 + i -2.555986e+06 ; 6.839297e+05 + i 3.453313e+07 ; -9.502995e+06 + i 9.183107e+06 ; 1.610608e+05 + i 2.614918e+06 ; 5.674297e+06 + i 3.384920e+07 ; -2.034569e+07 + i -4.210829e+07 ; -9.236769e+06 + i 5.747459e+06 ; -4.196794e+08 + i -1.732336e+08 ; 3.918649e+08 + i 5.898666e+08 ; 7.560703e+07 + i -6.088011e+07 ; -2.931106e+08 + i -1.044610e+08 ; -1.652190e+09 + i -2.146517e+08 ; 2.304348e+08 + i 1.340086e+08 ; 1.798036e+08 + i 6.508872e+06 ; 6.352043e+08 + i 3.203584e+08 ; -1.021048e+08 + i -1.629351e+07 ; -1.174910e+07 + i 1.375940e+08 ; 5.328603e+08 + i 4.400799e+09 ; -4.895809e+07 + i -1.176465e+08 ; -1.337164e+08 + i 7.498146e+07 ; 3.836801e+08 + i -4.185941e+08 ; 9.735709e+07 + i -9.586712e+07 ; -7.596431e+07 + i 5.021622e+07 ; 4.332851e+08 + i 5.793849e+08 ; 4.312246e+08 + i -1.365068e+07 ; 8.053499e+07 + i 2.523974e+07 ; 3.143534e+08 + i -4.171326e+08 ; -1.109504e+08 + i -8.777380e+05 ; 8.014970e+07 + i 2.746497e+07 ; 6.362077e+08 + i 3.272412e+08 ; -1.003418e+08 + i -9.274563e+07 ; 
