-3.007789e+09 + i 1.192081e+09 ; -1.450313e+07 + i 4.977048e+06 ; -1.450354e+07 + i 4.980511e+06 ; 5.088686e+08 + i -4.087244e+08 ; 4.679580e+07 + i -2.852941e+07 ; 4.678400e+07 + i -2.853086e+07 ; -2.510243e+08 + i 1.898855e+08 ; -2.587054e+07 + i 1.494259e+07 ; -5.380986e+06 + i 3.771178e+06 ; -1.427504e+08 + i 6.611956e+07 ; 1.142080e+08 + i -1.003695e+08 ; 4.565209e+06 + i -6.699674e+06 ; -2.510147e+08 + i 1.898879e+08 ; -5.389390e+06 + i 3.763070e+06 ; -2.587529e+07 + i 1.493962e+07 ; -1.427365e+08 + i 6.612748e+07 ; 4.624120e+06 + i -6.694318e+06 ; 1.142105e+08 + i -1.003689e+08 ; 5.838495e+06 + i 2.826325e+07 ; -9.337879e+06 + i 7.809761e+06 ; -9.316326e+06 + i 7.812068e+06 ; 2.707196e+06 + i 2.289258e+07 ; 1.890493e+07 + i -2.425535e+07 ; 1.890612e+07 + i -2.425750e+07 ; 5.700802e+07 + i -3.632188e+07 ; -1.215281e+06 + i 3.634130e+04 ; -1.214356e+06 + i 3.645345e+04 ; 3.227030e+07 + i -1.770624e+07 ; -4.280024e+05 + i 2.975893e+05 ; -4.278959e+05 + i 2.977304e+05 ; 4.191633e+06 + i -1.148298e+07 ; 1.569927e+06 + i -3.405181e+06 ; -1.055104e+06 + i 3.578365e+05 ; 4.515347e+06 + i -8.423882e+06 ; 2.952114e+05 + i -6.024296e+05 ; -3.819636e+05 + i 2.876944e+05 ; 4.198031e+06 + i -1.148155e+07 ; -1.050131e+06 + i 3.573749e+05 ; 1.570349e+06 + i -3.405049e+06 ; 4.518098e+06 + i -8.422631e+06 ; -3.813752e+05 + i 2.873336e+05 ; 2.950863e+05 + i -6.024385e+05 ; -2.323155e+06 + i -1.442507e+06 ; 9.403553e+05 + i -2.084551e+06 ; 9.392370e+05 + i -2.084600e+06 ; -4.526624e+05 + i -2.401738e+06 ; 2.084897e+05 + i -4.531804e+05 ; 2.085291e+05 + i -4.531161e+05 ; 
2.326606e+07 + i -2.688690e+07 ; 2.469544e+07 + i -2.768102e+07 ; 2.415042e+06 + i 2.393814e+07 ; 3.300945e+06 + i -5.572076e+06 ; 1.469445e+08 + i -1.109448e+08 ; -1.443071e+08 + i 6.676477e+07 ; 1.449992e+08 + i -1.101187e+08 ; 5.811842e+06 + i -7.073833e+06 ; -1.463467e+08 + i 6.772973e+07 ; 4.463756e+07 + i -2.749997e+07 ; 4.847007e+07 + i -2.957874e+07 ; 5.049010e+08 + i -4.075650e+08 ; -1.330394e+07 + i 8.261993e+06 ; -1.337857e+07 + i 8.034684e+06 ; 5.788429e+06 + i 2.870347e+07 ; -6.156327e+06 + i 4.217308e+06 ; -2.241715e+07 + i 1.507431e+07 ; -2.496704e+08 + i 1.893951e+08 ; -2.244174e+07 + i 1.538826e+07 ; -6.494873e+06 + i 4.045596e+06 ; -2.519098e+08 + i 1.905843e+08 ; -1.721757e+07 + i 5.170635e+06 ; -1.749654e+07 + i 4.805464e+06 ; -3.007796e+09 + i 1.191641e+09 ; -1.746339e+07 + i 1.558419e+07 ; 9.696262e+06 + i -8.475334e+06 ; -1.310914e+07 + i 1.360442e+07 ; -1.073781e+07 + i 8.716243e+06 ; -3.418456e+05 + i -4.145045e+05 ; -1.786656e+06 + i 3.160906e+06 ; -3.981417e+07 + i 3.251087e+07 ; 2.420725e+06 + i -1.436173e+06 ; -3.410513e+07 + i 2.187637e+07 ; -2.288587e+07 + i 1.552365e+07 ; -8.127852e+05 + i 2.351092e+05 ; -2.070618e+06 + i 4.927131e+06 ; 7.154733e+06 + i -4.680915e+06 ; -5.767012e+06 + i 3.193899e+06 ; -1.670871e+07 + i 1.871912e+07 ; 5.546593e+06 + i -3.144564e+06 ; -1.081234e+06 + i 9.968625e+05 ; -1.844788e+06 + i 3.320899e+06 ; 1.386161e+07 + i -6.716099e+06 ; -3.806385e+06 + i 1.641270e+06 ; -4.775048e+07 + i 3.736754e+07 ; 9.568427e+06 + i -3.708652e+06 ; -7.887357e+05 + i 6.901088e+05 ; -1.494089e+06 + i 4.769839e+06 ; 
5.710541e+07 + i -3.626599e+07 ; 1.239002e+06 + i 4.924442e+05 ; 1.240065e+06 + i 4.920666e+05 ; 1.029309e+08 + i -7.864572e+07 ; -1.279834e+07 + i 8.622287e+06 ; -1.279521e+07 + i 8.623352e+06 ; 4.216135e+06 + i -1.148081e+07 ; 4.288299e+03 + i 2.497996e+06 ; 5.525362e+05 + i 1.154453e+05 ; 2.352980e+06 + i -1.428251e+07 ; -3.199428e+07 + i 2.941936e+07 ; -4.340027e+06 + i 4.061362e+06 ; 4.217527e+06 + i -1.148015e+07 ; 5.532501e+05 + i 1.176516e+05 ; 4.937983e+03 + i 2.498919e+06 ; 2.355223e+06 + i -1.428036e+07 ; -4.353317e+06 + i 4.060578e+06 ; -3.199644e+07 + i 2.941905e+07 ; -2.327160e+06 + i -1.444057e+06 ; -6.752868e+05 + i 1.790859e+06 ; -6.827669e+05 + i 1.790350e+06 ; -6.071225e+06 + i 1.741854e+06 ; -1.275188e+07 + i 1.378910e+07 ; -1.275468e+07 + i 1.378913e+07 ; -3.000840e+09 + i 1.187919e+09 ; -1.347685e+07 + i 4.263772e+06 ; -1.347763e+07 + i 4.267268e+06 ; 5.089169e+08 + i -4.087490e+08 ; 4.763469e+07 + i -2.900304e+07 ; 4.762267e+07 + i -2.900431e+07 ; -2.494205e+08 + i 1.880158e+08 ; -2.464198e+07 + i 1.392673e+07 ; -4.293094e+06 + i 3.109208e+06 ; -1.428574e+08 + i 6.616934e+07 ; 1.149897e+08 + i -1.008768e+08 ; 4.673568e+06 + i -6.968700e+06 ; -2.494076e+08 + i 1.880174e+08 ; -4.301065e+06 + i 3.101358e+06 ; -2.464649e+07 + i 1.392365e+07 ; -1.428433e+08 + i 6.617696e+07 ; 4.733663e+06 + i -6.962707e+06 ; 1.149922e+08 + i -1.008763e+08 ; 5.744985e+06 + i 2.770148e+07 ; -7.878297e+06 + i 6.811950e+06 ; -7.855411e+06 + i 6.814679e+06 ; 2.696913e+06 + i 2.291601e+07 ; 1.912737e+07 + i -2.462320e+07 ; 1.912918e+07 + i -2.462534e+07 ; 
6.939949e+06 + i -3.616877e+06 ; -1.380973e+06 + i 4.807567e+06 ; -5.510172e+05 + i 6.175890e+05 ; 9.586399e+06 + i -6.228322e+06 ; -4.779185e+07 + i 3.738813e+07 ; -2.933836e+06 + i 1.620666e+06 ; -1.819051e+07 + i 1.431519e+07 ; -2.146061e+06 + i 4.947043e+06 ; -7.157099e+05 + i 2.743213e+05 ; -3.128633e+07 + i 2.943750e+07 ; -3.468436e+07 + i 2.192076e+07 ; 1.406152e+06 + i -1.302593e+06 ; 4.207367e+06 + i -2.854367e+06 ; -1.781762e+06 + i 3.322424e+06 ; -7.796360e+05 + i 8.845693e+05 ; 5.357116e+06 + i -4.172296e+06 ; -1.666392e+07 + i 1.873224e+07 ; -4.491246e+06 + i 3.046927e+06 ; -8.348781e+06 + i 7.902895e+06 ; -1.840330e+06 + i 3.167148e+06 ; -3.528595e+05 + i -2.953500e+05 ; -1.345785e+07 + i 1.398086e+07 ; -1.320351e+07 + i 1.362184e+07 ; 7.066674e+06 + i -7.563247e+06 ; -1.410763e+07 + i 5.136256e+06 ; -3.007818e+09 + i 1.191631e+09 ; -1.439215e+07 + i 4.978051e+06 ; -2.551401e+07 + i 1.493451e+07 ; -2.521688e+08 + i 1.905881e+08 ; -5.423867e+06 + i 3.757248e+06 ; 4.338855e+07 + i -2.633378e+07 ; 5.059314e+08 + i -4.075169e+08 ; 4.668021e+07 + i -2.851990e+07 ; 1.131863e+08 + i -9.984954e+07 ; -1.443983e+08 + i 6.755476e+07 ; 4.686796e+06 + i -6.781354e+06 ; -5.189387e+06 + i 3.861910e+06 ; -2.498620e+08 + i 1.894474e+08 ; -2.575991e+07 + i 1.494595e+07 ; -9.378318e+06 + i 7.984767e+06 ; 5.587967e+06 + i 2.869104e+07 ; -9.356191e+06 + i 7.802514e+06 ; 2.577323e+06 + i -5.266899e+06 ; -1.425115e+08 + i 6.664233e+07 ; 1.142899e+08 + i -1.004567e+08 ; 1.790601e+07 + i -2.368634e+07 ; 2.420985e+06 + i 2.360518e+07 ; 1.910046e+07 + i -2.441913e+07 ; 
6.942962e+06 + i -3.617858e+06 ; -5.510811e+05 + i 6.176620e+05 ; -1.374595e+06 + i 4.806457e+06 ; 9.587982e+06 + i -6.228157e+06 ; -2.933615e+06 + i 1.620899e+06 ; -4.778180e+07 + i 3.738804e+07 ; 4.207124e+06 + i -2.855214e+06 ; -7.793995e+05 + i 8.846642e+05 ; -1.777916e+06 + i 3.321074e+06 ; 5.353882e+06 + i -4.172239e+06 ; -4.492662e+06 + i 3.046623e+06 ; -1.665640e+07 + i 1.873697e+07 ; -1.819188e+07 + i 1.431438e+07 ; -7.162867e+05 + i 2.745797e+05 ; -2.146370e+06 + i 4.948803e+06 ; -3.128795e+07 + i 2.943714e+07 ; 1.403272e+06 + i -1.302974e+06 ; -3.469483e+07 + i 2.192123e+07 ; -8.338257e+06 + i 7.901772e+06 ; -3.514129e+05 + i -2.948994e+05 ; -1.843499e+06 + i 3.166509e+06 ; -1.345440e+07 + i 1.398073e+07 ; 7.067535e+06 + i -7.563386e+06 ; -1.319632e+07 + i 1.362341e+07 ; -1.411663e+07 + i 5.139586e+06 ; -1.439177e+07 + i 4.978652e+06 ; -3.007868e+09 + i 1.191619e+09 ; -2.551616e+07 + i 1.493299e+07 ; -5.424034e+06 + i 3.757822e+06 ; -2.521685e+08 + i 1.906012e+08 ; -5.187683e+06 + i 3.866043e+06 ; -2.577704e+07 + i 1.494179e+07 ; -2.500665e+08 + i 1.894141e+08 ; -9.359044e+06 + i 7.987449e+06 ; -9.362680e+06 + i 7.802480e+06 ; 5.611371e+06 + i 2.872672e+07 ; 4.339198e+07 + i -2.633110e+07 ; 4.666949e+07 + i -2.852295e+07 ; 5.058352e+08 + i -4.075256e+08 ; 1.131907e+08 + i -9.984839e+07 ; 4.679104e+06 + i -6.781631e+06 ; -1.444272e+08 + i 6.755862e+07 ; 2.540792e+06 + i -5.264854e+06 ; 1.142871e+08 + i -1.004587e+08 ; -1.425318e+08 + i 6.662484e+07 ; 1.789236e+07 + i -2.368706e+07 ; 1.909704e+07 + i -2.441869e+07 ; 2.422673e+06 + i 2.361770e+07 ; 
3.230156e+07 + i -1.767159e+07 ; 4.422625e+05 + i -3.098701e+05 ; 4.416371e+05 + i -3.098368e+05 ; 5.712852e+07 + i -3.630575e+07 ; 1.289194e+06 + i -3.000512e+04 ; 1.289214e+06 + i -2.955779e+04 ; 4.525420e+06 + i -8.423206e+06 ; -3.094136e+05 + i 6.170218e+05 ; 3.941176e+05 + i -2.970578e+05 ; 4.226375e+06 + i -1.150374e+07 ; -1.633718e+06 + i 3.494700e+06 ; 1.109787e+06 + i -3.624074e+05 ; 4.527662e+06 + i -8.422322e+06 ; 3.943106e+05 + i -2.967494e+05 ; -3.091185e+05 + i 6.170440e+05 ; 4.231166e+06 + i -1.150136e+07 ; 1.105802e+06 + i -3.619933e+05 ; -1.634363e+06 + i 3.494327e+06 ; -4.569456e+05 + i -2.406012e+06 ; -2.184505e+05 + i 4.643197e+05 ; -2.191601e+05 + i 4.644211e+05 ; -2.329822e+06 + i -1.457899e+06 ; -9.786627e+05 + i 2.138285e+06 ; -9.802601e+05 + i 2.137756e+06 ; 5.094376e+08 + i -4.086095e+08 ; -4.852353e+07 + i 2.888273e+07 ; -4.850502e+07 + i 2.888671e+07 ; -3.008097e+09 + i 1.191964e+09 ; 1.481077e+07 + i -5.000063e+06 ; 1.481308e+07 + i -5.003112e+06 ; -1.425733e+08 + i 6.612405e+07 ; -1.186130e+08 + i 1.022647e+08 ; -4.793550e+06 + i 6.852719e+06 ; -2.511844e+08 + i 1.898633e+08 ; 2.677975e+07 + i -1.510754e+07 ; 5.523895e+06 + i -3.823484e+06 ; -1.425734e+08 + i 6.612797e+07 ; -4.841413e+06 + i 6.847957e+06 ; -1.186150e+08 + i 1.022643e+08 ; -2.511506e+08 + i 1.898694e+08 ; 5.528578e+06 + i -3.817343e+06 ; 2.678128e+07 + i -1.510609e+07 ; 2.733129e+06 + i 2.287101e+07 ; -1.970479e+07 + i 2.479886e+07 ; -1.971011e+07 + i 2.479888e+07 ; 5.811229e+06 + i 2.828075e+07 ; 9.694360e+06 + i -7.949958e+06 ; 9.687861e+06 + i -7.950649e+06 ; 
1.391673e+06 + i 3.349481e+05 ; -1.493727e+06 + i 1.678327e+06 ; -2.800851e+05 + i 2.762172e+05 ; 2.310381e+06 + i 2.497858e+04 ; -1.577254e+06 + i 4.750077e+06 ; -1.064294e+06 + i 7.608736e+05 ; -1.349953e+07 + i 7.603160e+06 ; -1.263907e+06 + i 1.528923e+06 ; -2.576836e+05 + i 1.928830e+05 ; -2.292200e+07 + i 1.487495e+07 ; -2.098660e+06 + i 4.955559e+06 ; -5.763377e+05 + i 3.780623e+05 ; 1.541889e+06 + i -1.754563e+05 ; -1.054210e+06 + i 1.409524e+06 ; -3.489786e+05 + i 3.580133e+05 ; 2.483558e+06 + i -7.037561e+05 ; -1.862889e+06 + i 3.322730e+06 ; -1.447271e+06 + i 1.137695e+06 ; -7.648132e+06 + i 5.550899e+06 ; -9.399386e+05 + i 1.293007e+06 ; -7.278149e+04 + i -1.893663e+04 ; -1.194331e+07 + i 9.515368e+06 ; -1.812561e+06 + i 3.168685e+06 ; 4.372406e+05 + i -7.016278e+05 ; 2.994728e+07 + i -1.525036e+07 ; -2.528921e+08 + i 1.904754e+08 ; -5.510606e+06 + i 3.790229e+06 ; 1.628132e+07 + i -4.641594e+06 ; -3.011332e+09 + i 1.193160e+09 ; -1.497628e+07 + i 4.966100e+06 ; -1.370868e+08 + i 1.093538e+08 ; -1.444281e+08 + i 6.760988e+07 ; 4.679827e+06 + i -6.956125e+06 ; -5.611137e+07 + i 3.064503e+07 ; 5.031762e+08 + i -4.061465e+08 ; 4.845634e+07 + i -2.900955e+07 ; 1.081313e+07 + i -8.063240e+06 ; 5.605721e+06 + i 2.876319e+07 ; -9.585376e+06 + i 7.911751e+06 ; 6.054469e+06 + i -3.738339e+06 ; -2.522812e+08 + i 1.909708e+08 ; -2.679093e+07 + i 1.510471e+07 ; -2.441527e+07 + i 2.762027e+07 ; 2.380392e+06 + i 2.359875e+07 ; 1.982977e+07 + i -2.494200e+07 ; -6.595427e+06 + i 7.920246e+06 ; -1.447566e+08 + i 6.789472e+07 ; 1.187370e+08 + i -1.024134e+08 ; 
1.393201e+06 + i 3.347702e+05 ; -2.801691e+05 + i 2.762881e+05 ; -1.494666e+06 + i 1.679724e+06 ; 2.309990e+06 + i 2.599606e+04 ; -1.064316e+06 + i 7.609881e+05 ; -1.578257e+06 + i 4.753037e+06 ; 1.540556e+06 + i -1.766149e+05 ; -3.489293e+05 + i 3.580533e+05 ; -1.059849e+06 + i 1.408796e+06 ; 2.477529e+06 + i -7.049347e+05 ; -1.447435e+06 + i 1.137844e+06 ; -1.874844e+06 + i 3.321224e+06 ; -1.350016e+07 + i 7.602504e+06 ; -2.580751e+05 + i 1.928876e+05 ; -1.265116e+06 + i 1.529648e+06 ; -2.292374e+07 + i 1.487470e+07 ; -5.778894e+05 + i 3.778068e+05 ; -2.102651e+06 + i 4.956573e+06 ; -7.640956e+06 + i 5.552070e+06 ; -7.244180e+04 + i -1.883772e+04 ; -9.434169e+05 + i 1.293543e+06 ; -1.194106e+07 + i 9.517057e+06 ; 4.373532e+05 + i -7.016134e+05 ; -1.819672e+06 + i 3.167077e+06 ; 2.995170e+07 + i -1.524961e+07 ; -5.510313e+06 + i 3.790810e+06 ; -2.528779e+08 + i 1.904929e+08 ; 1.628579e+07 + i -4.642405e+06 ; -1.497550e+07 + i 4.967381e+06 ; -3.011358e+09 + i 1.193160e+09 ; 1.080217e+07 + i -8.065835e+06 ; -9.592278e+06 + i 7.911308e+06 ; 5.639365e+06 + i 2.880754e+07 ; 6.045229e+06 + i -3.743041e+06 ; -2.680810e+07 + i 1.510042e+07 ; -2.525414e+08 + i 1.909291e+08 ; -1.370894e+08 + i 1.093516e+08 ; 4.674202e+06 + i -6.955095e+06 ; -1.444674e+08 + i 6.760716e+07 ; -5.611502e+07 + i 3.064284e+07 ; 4.844232e+07 + i -2.901423e+07 ; 5.030815e+08 + i -4.061560e+08 ; -2.439678e+07 + i 2.762349e+07 ; 1.983087e+07 + i -2.493931e+07 ; 2.453543e+06 + i 2.362477e+07 ; -6.577787e+06 + i 7.920938e+06 ; 1.187318e+08 + i -1.024168e+08 ; -1.447881e+08 + i 6.786982e+07 ; 
4.079568e+06 + i -1.151081e+07 ; 1.358595e+05 + i -2.856992e+06 ; 5.712025e+05 + i 1.253742e+05 ; 2.499796e+06 + i -1.425927e+07 ; 3.786528e+07 + i -3.172621e+07 ; -4.503258e+06 + i 4.152034e+06 ; 5.706793e+07 + i -3.629755e+07 ; -1.157147e+06 + i -6.187839e+05 ; 1.259128e+06 + i 5.212476e+05 ; 1.030117e+08 + i -7.861889e+07 ; 1.541734e+07 + i -9.126934e+06 ; -1.330140e+07 + i 8.770542e+06 ; -2.374767e+06 + i -1.441660e+06 ; 8.664500e+05 + i -2.005013e+06 ; -7.267713e+05 + i 1.839713e+06 ; -6.056186e+06 + i 1.734504e+06 ; 1.521423e+07 + i -1.498629e+07 ; -1.329604e+07 + i 1.408983e+07 ; 4.219385e+06 + i -1.147784e+07 ; -5.394003e+05 + i -1.769562e+05 ; -2.256952e+04 + i 2.577096e+06 ; 2.383128e+06 + i -1.427204e+07 ; 5.292997e+06 + i -4.400201e+06 ; -3.327752e+07 + i 3.001048e+07 ; -2.499807e+08 + i 1.878747e+08 ; 2.604905e+07 + i -1.456560e+07 ; -4.430406e+06 + i 3.163901e+06 ; -1.431566e+08 + i 6.619500e+07 ; -1.341872e+08 + i 1.086896e+08 ; 4.677262e+06 + i -7.134645e+06 ; -3.001320e+09 + i 1.187759e+09 ; 1.420988e+07 + i -4.360453e+06 ; -1.387498e+07 + i 4.267574e+06 ; 5.086414e+08 + i -4.087505e+08 ; -5.282345e+07 + i 3.050008e+07 ; 4.925642e+07 + i -2.941467e+07 ; 5.716906e+06 + i 2.776676e+07 ; 9.229227e+06 + i -7.223694e+06 ; -8.060773e+06 + i 6.931806e+06 ; 2.610335e+06 + i 2.292154e+07 ; -2.282164e+07 + i 2.686000e+07 ; 1.995070e+07 + i -2.518812e+07 ; -2.493460e+08 + i 1.880837e+08 ; 4.892165e+06 + i -3.223335e+06 ; -2.544362e+07 + i 1.408850e+07 ; -1.427767e+08 + i 6.619426e+07 ; -5.645127e+06 + i 7.548272e+06 ; 1.194593e+08 + i -1.028405e+08 ; 
1.883481e+07 + i -1.451186e+07 ; -1.943749e+06 + i 4.978949e+06 ; 7.353565e+05 + i -2.750132e+05 ; 3.230600e+07 + i -2.995195e+07 ; -3.441449e+07 + i 2.194875e+07 ; -1.478920e+06 + i 1.328200e+06 ; -7.339890e+06 + i 3.636396e+06 ; -1.516822e+06 + i 4.770866e+06 ; 5.720561e+05 + i -6.297596e+05 ; -1.049689e+07 + i 6.283898e+06 ; -4.796032e+07 + i 3.734524e+07 ; 3.019824e+06 + i -1.642423e+06 ; 8.655794e+06 + i -8.034937e+06 ; -1.744450e+06 + i 3.166270e+06 ; 3.605490e+05 + i 3.086971e+05 ; 1.389604e+07 + i -1.424386e+07 ; -1.310440e+07 + i 1.361966e+07 ; -7.354614e+06 + i 7.729908e+06 ; -4.417231e+06 + i 2.903969e+06 ; -1.850207e+06 + i 3.317168e+06 ; 8.146378e+05 + i -9.035021e+05 ; -5.774385e+06 + i 4.250506e+06 ; -1.673680e+07 + i 1.872387e+07 ; 4.666023e+06 + i -3.094457e+06 ; -4.263149e+07 + i 2.672217e+07 ; 5.065206e+08 + i -4.074260e+08 ; -4.854443e+07 + i 2.893643e+07 ; -1.172997e+08 + i 1.018308e+08 ; -1.446076e+08 + i 6.758273e+07 ; -4.898372e+06 + i 6.945067e+06 ; 1.410395e+07 + i -5.375511e+06 ; -3.008175e+09 + i 1.191513e+09 ; 1.477033e+07 + i -5.011558e+06 ; 2.401281e+07 + i -1.519604e+07 ; -2.521409e+08 + i 1.905967e+08 ; 5.559218e+06 + i -3.820082e+06 ; -2.699023e+06 + i 5.324246e+06 ; -1.422976e+08 + i 6.665918e+07 ; -1.188090e+08 + i 1.024413e+08 ; -1.864554e+07 + i 2.416520e+07 ; 2.419905e+06 + i 2.361014e+07 ; -1.984780e+07 + i 2.497854e+07 ; 5.255724e+06 + i -3.880181e+06 ; -2.499777e+08 + i 1.894216e+08 ; 2.675360e+07 + i -1.514987e+07 ; 9.675932e+06 + i -8.045969e+06 ; 5.524554e+06 + i 2.868966e+07 ; 9.731600e+06 + i -7.954053e+06 ; 
4.346989e+06 + i -2.894712e+06 ; 9.361360e+05 + i -9.634623e+05 ; -1.764062e+06 + i 3.322121e+06 ; 5.528037e+06 + i -4.226313e+06 ; 5.267222e+06 + i -3.222709e+06 ; -1.666318e+07 + i 1.874120e+07 ; 7.172591e+06 + i -3.649892e+06 ; 6.780663e+05 + i -6.618354e+05 ; -1.378504e+06 + i 4.805184e+06 ; 9.916216e+06 + i -6.301256e+06 ; 3.416363e+06 + i -1.681732e+06 ; -4.780422e+07 + i 3.738242e+07 ; -8.652931e+06 + i 8.047273e+06 ; 3.460704e+05 + i 3.510564e+05 ; -1.840192e+06 + i 3.165404e+06 ; -1.408698e+07 + i 1.424458e+07 ; -8.446977e+06 + i 8.218048e+06 ; -1.317805e+07 + i 1.362791e+07 ; -1.887858e+07 + i 1.455441e+07 ; 7.401488e+05 + i -2.800177e+05 ; -2.140588e+06 + i 4.948665e+06 ; -3.252887e+07 + i 2.998201e+07 ; -1.800410e+06 + i 1.406826e+06 ; -3.467608e+07 + i 2.192465e+07 ; -5.363603e+06 + i 3.992367e+06 ; 2.994711e+07 + i -1.559587e+07 ; -2.506341e+08 + i 1.893222e+08 ; -9.750714e+06 + i 8.203061e+06 ; 1.095599e+07 + i -8.395500e+06 ; 5.590899e+06 + i 2.878596e+07 ; -1.460999e+07 + i 5.152837e+06 ; 1.638381e+07 + i -4.926420e+06 ; -3.008169e+09 + i 1.191531e+09 ; -2.649611e+07 + i 1.513312e+07 ; 6.179649e+06 + i -4.001540e+06 ; -2.522162e+08 + i 1.906411e+08 ; 2.076278e+06 + i -5.498159e+06 ; -1.344935e+08 + i 1.080539e+08 ; -1.424421e+08 + i 6.664406e+07 ; 1.839762e+07 + i -2.427441e+07 ; -2.247687e+07 + i 2.674539e+07 ; 2.435437e+06 + i 2.361131e+07 ; 4.510986e+07 + i -2.667105e+07 ; -5.443753e+07 + i 2.990985e+07 ; 5.059207e+08 + i -4.074846e+08 ; 1.176708e+08 + i -1.015974e+08 ; -5.179938e+06 + i 7.455722e+06 ; -1.444113e+08 + i 6.755864e+07 ; 
4.449158e+06 + i -8.437581e+06 ; 2.653486e+05 + i -6.187553e+05 ; 4.080858e+05 + i -3.023059e+05 ; 4.238140e+06 + i -1.145823e+07 ; 1.887018e+06 + i -3.759409e+06 ; 1.153263e+06 + i -3.631302e+05 ; 3.229684e+07 + i -1.768582e+07 ; -9.855377e+05 + i 2.831601e+05 ; 4.538810e+05 + i -3.139319e+05 ; 5.716625e+07 + i -3.627133e+07 ; -2.324897e+06 + i -4.678889e+04 ; 1.321756e+06 + i -1.703372e+04 ; -5.020093e+05 + i -2.401606e+06 ; 2.000513e+05 + i -4.791109e+05 ; -2.305519e+05 + i 4.753709e+05 ; -2.380791e+06 + i -1.444531e+06 ; 1.116324e+06 + i -2.323368e+06 ; -1.030390e+06 + i 2.186942e+06 ; 4.533079e+06 + i -8.417460e+06 ; -6.847081e+05 + i 3.326317e+05 ; -3.235944e+05 + i 6.312303e+05 ; 4.242081e+06 + i -1.148541e+07 ; -1.648562e+06 + i 3.848599e+05 ; -1.711396e+06 + i 3.575030e+06 ; -1.445713e+08 + i 6.613527e+07 ; 1.409190e+08 + i -1.095320e+08 ; -4.865190e+06 + i 7.016854e+06 ; -2.510192e+08 + i 1.898636e+08 ; -2.093743e+07 + i 1.501039e+07 ; 5.716960e+06 + i -3.888902e+06 ; 5.083918e+08 + i -4.087606e+08 ; 4.637813e+07 + i -2.945505e+07 ; -5.007443e+07 + i 2.927274e+07 ; -3.008000e+09 + i 1.192001e+09 ; -1.719746e+07 + i 4.839480e+06 ; 1.526859e+07 + i -5.016313e+06 ; 2.662904e+06 + i 2.301867e+07 ; 2.372913e+07 + i -2.691811e+07 ; -2.047858e+07 + i 2.530690e+07 ; 5.670862e+06 + i 2.828259e+07 ; -1.135922e+07 + i 8.137704e+06 ; 1.002603e+07 + i -8.085871e+06 ; -1.424257e+08 + i 6.621546e+07 ; 5.703540e+06 + i -7.167815e+06 ; -1.227565e+08 + i 1.040301e+08 ; -2.510954e+08 + i 1.898823e+08 ; -6.411766e+06 + i 3.858200e+06 ; 2.764749e+07 + i -1.529250e+07 ; 
1.426408e+07 + i -7.685479e+06 ; -1.432603e+06 + i 1.493702e+06 ; 2.676655e+05 + i -1.953935e+05 ; 2.419456e+07 + i -1.511956e+07 ; -2.408374e+06 + i 4.919363e+06 ; 5.962804e+05 + i -3.829744e+05 ; -9.462500e+05 + i -3.254436e+05 ; -1.435103e+06 + i 1.712093e+06 ; 2.913644e+05 + i -2.807563e+05 ; -1.571892e+06 + i -7.657308e+04 ; -1.459670e+06 + i 4.794155e+06 ; 1.098750e+06 + i -7.714520e+05 ; 8.107497e+06 + i -5.641744e+06 ; -1.015259e+06 + i 1.296214e+06 ; 7.580939e+04 + i 2.014764e+04 ; 1.266834e+07 + i -9.693383e+06 ; -1.919463e+06 + i 3.182201e+06 ; -4.516199e+05 + i 7.176959e+05 ; -1.356659e+06 + i 1.295956e+05 ; -1.019580e+06 + i 1.415005e+06 ; 3.632251e+05 + i -3.645154e+05 ; -2.212641e+06 + i 6.179448e+05 ; -1.804645e+06 + i 3.324361e+06 ; 1.501689e+06 + i -1.155195e+06 ; 1.440441e+08 + i -1.108281e+08 ; -1.464606e+08 + i 6.761368e+07 ; -4.890163e+06 + i 7.108359e+06 ; 4.833902e+07 + i -3.017259e+07 ; 5.027903e+08 + i -4.061925e+08 ; -5.009378e+07 + i 2.937099e+07 ; -2.078609e+07 + i 1.473377e+07 ; -2.519250e+08 + i 1.906104e+08 ; 5.630430e+06 + i -3.844925e+06 ; -1.683689e+07 + i 4.535356e+06 ; -3.011111e+09 + i 1.193233e+09 ; 1.528291e+07 + i -4.991867e+06 ; 2.571727e+07 + i -2.801533e+07 ; 2.387337e+06 + i 2.374661e+07 ; -2.057816e+07 + i 2.545908e+07 ; 6.839174e+06 + i -7.737555e+06 ; -1.444153e+08 + i 6.798014e+07 ; -1.228489e+08 + i 1.041998e+08 ; -1.114822e+07 + i 7.812617e+06 ; 5.420835e+06 + i 2.868506e+07 ; 9.935655e+06 + i -8.040343e+06 ; -6.202600e+06 + i 3.601546e+06 ; -2.524182e+08 + i 1.908947e+08 ; 2.768524e+07 + i -1.528115e+07 ; 
