-3.982047e+10 + i 4.031379e+10 ; 5.108232e+08 + i -8.326014e+08 ; 5.104367e+08 + i -8.318363e+08 ; 1.158600e+10 + i -2.861108e+10 ; 2.568394e+09 + i 1.094336e+09 ; 2.567100e+09 + i 1.093409e+09 ; -2.615434e+09 + i 1.367648e+10 ; -1.320522e+09 + i -3.482465e+08 ; 1.084436e+08 + i -7.757446e+08 ; -7.774681e+09 + i -5.147378e+09 ; 3.315113e+09 + i -8.436868e+09 ; 1.397168e+09 + i -1.637343e+08 ; -2.615331e+09 + i 1.367782e+10 ; 1.088297e+08 + i -7.780351e+08 ; -1.319594e+09 + i -3.486008e+08 ; -7.774421e+09 + i -5.145835e+09 ; 1.401112e+09 + i -1.657655e+08 ; 3.315551e+09 + i -8.436729e+09 ; 2.002724e+09 + i 4.652529e+09 ; -8.509476e+08 + i -2.382012e+07 ; -8.494844e+08 + i -2.298026e+07 ; -5.832625e+09 + i 1.786807e+09 ; 1.772421e+08 + i -3.402966e+09 ; 1.777890e+08 + i -3.402412e+09 ; 1.896773e+09 + i -1.122091e+09 ; 1.964173e+08 + i -1.671260e+08 ; 1.961445e+08 + i -1.674202e+08 ; 8.885157e+08 + i -2.215868e+08 ; 2.010658e+07 + i -1.300551e+08 ; 1.998852e+07 + i -1.300249e+08 ; 9.163928e+08 + i -1.545872e+09 ; -9.654624e+07 + i -7.579107e+08 ; 1.267933e+08 + i -1.878386e+08 ; 8.885707e+08 + i -5.049364e+08 ; -1.260317e+08 + i -2.462556e+08 ; -4.182015e+05 + i -1.260180e+08 ; 9.167274e+08 + i -1.545607e+09 ; 1.273707e+08 + i -1.882931e+08 ; -9.637746e+07 + i -7.580165e+08 ; 8.884047e+08 + i -5.048959e+08 ; -3.002292e+05 + i -1.263716e+08 ; -1.259527e+08 + i -2.463703e+08 ; 2.423706e+08 + i -1.528542e+09 ; -1.400877e+08 + i -5.761869e+08 ; -1.399943e+08 + i -5.762786e+08 ; 7.876083e+08 + i -7.295492e+08 ; -1.238134e+08 + i -2.072019e+08 ; -1.237159e+08 + i -2.072074e+08 ; 
1.036108e+08 + i -3.023460e+09 ; 1.554096e+08 + i -2.960101e+09 ; -5.931736e+09 + i 1.715200e+09 ; 1.228587e+09 + i -2.043426e+08 ; 2.783581e+09 + i -7.384417e+09 ; -7.851453e+09 + i -5.118047e+09 ; 2.757648e+09 + i -7.455197e+09 ; 1.384159e+09 + i -1.697083e+08 ; -7.862719e+09 + i -5.203103e+09 ; 2.383902e+09 + i 1.090442e+09 ; 2.557609e+09 + i 1.147019e+09 ; 1.143954e+10 + i -2.862920e+10 ; -9.025918e+08 + i 8.524784e+06 ; -8.386759e+08 + i 4.222836e+07 ; 1.976021e+09 + i 4.522235e+09 ; 1.005000e+07 + i -6.692947e+08 ; -1.473567e+09 + i -4.877022e+08 ; -2.566252e+09 + i 1.359199e+10 ; -1.522791e+09 + i -5.303398e+08 ; 9.757344e+07 + i -6.919469e+08 ; -2.619702e+09 + i 1.355525e+10 ; 3.461232e+08 + i -7.168383e+08 ; 4.384309e+08 + i -7.371427e+08 ; -3.975585e+10 + i 4.024957e+10 ; -2.702164e+08 + i 1.482513e+09 ; 8.246148e+07 + i -8.356102e+08 ; -1.403277e+09 + i 8.251203e+08 ; -5.917004e+08 + i 4.906529e+08 ; -1.067983e+08 + i -1.932283e+08 ; -3.696668e+08 + i 8.023988e+08 ; -8.902367e+08 + i 2.400142e+09 ; 1.929991e+08 + i -6.511449e+07 ; -1.754739e+09 + i 2.729626e+08 ; -8.936494e+08 + i 3.845242e+08 ; 1.932229e+07 + i -8.879979e+07 ; -5.453558e+08 + i 7.895869e+08 ; 3.884993e+08 + i 1.288076e+08 ; -2.764922e+08 + i -6.416621e+07 ; -2.272361e+08 + i 1.756562e+09 ; 7.510464e+07 + i 3.226257e+08 ; -1.178652e+08 + i -5.302112e+05 ; -6.741346e+06 + i 6.176258e+08 ; 4.381511e+08 + i 1.900230e+08 ; -2.923953e+07 + i -1.981255e+08 ; -7.649497e+08 + i 2.599422e+09 ; 1.013036e+07 + i 3.363767e+08 ; -7.089435e+07 + i -9.745266e+07 ; -2.986018e+06 + i 7.422519e+08 ; 
1.899812e+09 + i -1.112682e+09 ; -4.150230e+08 + i 2.103261e+08 ; -4.149201e+08 + i 2.101872e+08 ; 1.948053e+09 + i -5.403272e+09 ; -9.530852e+08 + i -2.956062e+08 ; -9.528759e+08 + i -2.952624e+08 ; 9.197789e+08 + i -1.541402e+09 ; 1.723716e+08 + i 7.291318e+08 ; -2.974880e+08 + i 2.374249e+08 ; -2.900428e+08 + i -2.669188e+09 ; -9.279776e+08 + i 2.622214e+09 ; -6.998725e+08 + i -2.760840e+07 ; 9.192144e+08 + i -1.541567e+09 ; -2.978717e+08 + i 2.382815e+08 ; 1.719140e+08 + i 7.291525e+08 ; -2.910455e+08 + i -2.669352e+09 ; -7.009946e+08 + i -2.690501e+07 ; -9.282709e+08 + i 2.622086e+09 ; 2.430629e+08 + i -1.526691e+09 ; 1.659017e+08 + i 5.199620e+08 ; 1.654015e+08 + i 5.196035e+08 ; -7.756114e+08 + i -1.317810e+09 ; -2.863617e+08 + i 1.575652e+09 ; -2.865495e+08 + i 1.575370e+09 ; -3.936734e+10 + i 4.032149e+10 ; 5.414130e+08 + i -7.363514e+08 ; 5.411253e+08 + i -7.355331e+08 ; 1.158035e+10 + i -2.861069e+10 ; 2.600056e+09 + i 1.142981e+09 ; 2.598797e+09 + i 1.142089e+09 ; -2.259353e+09 + i 1.357167e+10 ; -1.186524e+09 + i -3.136969e+08 ; 1.477980e+08 + i -6.909266e+08 ; -7.774009e+09 + i -5.153906e+09 ; 3.374116e+09 + i -8.429508e+09 ; 1.451904e+09 + i -1.187821e+08 ; -2.259297e+09 + i 1.357263e+10 ; 1.480904e+08 + i -6.930544e+08 ; -1.185607e+09 + i -3.140287e+08 ; -7.773888e+09 + i -5.152628e+09 ; 1.455814e+09 + i -1.207124e+08 ; 3.374564e+09 + i -8.429337e+09 ; 2.274278e+09 + i 4.480999e+09 ; -7.462643e+08 + i 5.317777e+06 ; -7.448297e+08 + i 6.166240e+06 ; -5.834953e+09 + i 1.780417e+09 ; 2.385630e+08 + i -3.395211e+09 ; 2.390875e+08 + i -3.394630e+09 ; 
1.367511e+07 + i 4.169199e+08 ; 1.484559e+06 + i 7.460450e+08 ; -7.511269e+07 + i -1.117996e+08 ; 5.630451e+08 + i 2.803566e+08 ; -7.624306e+08 + i 2.604456e+09 ; -2.647483e+07 + i -2.220821e+08 ; -1.011731e+09 + i 4.442248e+08 ; -5.409471e+08 + i 7.896418e+08 ; 2.938380e+07 + i -9.608164e+07 ; -1.025567e+09 + i 2.740340e+09 ; -1.737061e+09 + i 2.817133e+08 ; 2.272452e+08 + i -5.383272e+07 ; 9.698602e+07 + i 3.926445e+08 ; -1.432495e+06 + i 6.199973e+08 ; -1.308093e+08 + i -5.669439e+06 ; 4.830694e+08 + i 1.708637e+08 ; -2.232481e+08 + i 1.760000e+09 ; -2.976801e+08 + i -7.994868e+07 ; -6.669575e+08 + i 5.622282e+08 ; -3.676819e+08 + i 8.026548e+08 ; -1.156962e+08 + i -2.212609e+08 ; -3.193002e+08 + i 1.687984e+09 ; -1.397476e+09 + i 8.257835e+08 ; 1.159072e+08 + i -9.505240e+08 ; 3.698397e+08 + i -8.162177e+08 ; -3.975654e+10 + i 4.024737e+10 ; 5.043429e+08 + i -8.394107e+08 ; -1.402019e+09 + i -3.492283e+08 ; -2.640229e+09 + i 1.356904e+10 ; 1.113432e+08 + i -7.731795e+08 ; 2.377308e+09 + i 9.848034e+08 ; 1.146358e+10 + i -2.866216e+10 ; 2.574923e+09 + i 1.094176e+09 ; 3.280225e+09 + i -8.466334e+09 ; -7.923529e+09 + i -5.251061e+09 ; 1.402440e+09 + i -1.498871e+08 ; -1.897666e+06 + i -7.412712e+08 ; -2.575104e+09 + i 1.360717e+10 ; -1.332781e+09 + i -3.441620e+08 ; -9.163389e+08 + i -5.431468e+07 ; 1.971411e+09 + i 4.548823e+09 ; -8.451116e+08 + i -2.201455e+07 ; 1.230652e+09 + i -2.059125e+08 ; -7.908099e+09 + i -5.163401e+09 ; 3.314275e+09 + i -8.424178e+09 ; 1.487481e+08 + i -3.458401e+09 ; -5.990721e+09 + i 1.714382e+09 ; 2.006862e+08 + i -3.396302e+09 ; 
1.372564e+07 + i 4.165622e+08 ; -7.511512e+07 + i -1.117954e+08 ; 1.994291e+06 + i 7.459532e+08 ; 5.631345e+08 + i 2.804018e+08 ; -2.645141e+07 + i -2.221292e+08 ; -7.626801e+08 + i 2.603758e+09 ; 9.701789e+07 + i 3.923535e+08 ; -1.309122e+08 + i -5.619151e+06 ; -5.785403e+05 + i 6.199444e+08 ; 4.830187e+08 + i 1.707764e+08 ; -2.978685e+08 + i -8.004268e+07 ; -2.236529e+08 + i 1.760918e+09 ; -1.011390e+09 + i 4.442102e+08 ; 2.926729e+07 + i -9.615606e+07 ; -5.412581e+08 + i 7.902870e+08 ; -1.025446e+09 + i 2.740374e+09 ; 2.270853e+08 + i -5.405231e+07 ; -1.738181e+09 + i 2.830127e+08 ; -6.664566e+08 + i 5.622643e+08 ; -1.157515e+08 + i -2.212125e+08 ; -3.677362e+08 + i 8.023269e+08 ; -3.191447e+08 + i 1.688230e+09 ; 1.159272e+08 + i -9.505032e+08 ; -1.397613e+09 + i 8.254081e+08 ; 3.699190e+08 + i -8.149346e+08 ; 5.042571e+08 + i -8.394382e+08 ; -3.975899e+10 + i 4.024460e+10 ; -1.401744e+09 + i -3.492275e+08 ; 1.111261e+08 + i -7.732014e+08 ; -2.641786e+09 + i 1.357287e+10 ; -1.860048e+06 + i -7.402239e+08 ; -1.333632e+09 + i -3.451753e+08 ; -2.587360e+09 + i 1.361401e+10 ; -9.156300e+08 + i -5.353746e+07 ; -8.461074e+08 + i -2.255016e+07 ; 1.968901e+09 + i 4.558904e+09 ; 2.376545e+09 + i 9.850126e+08 ; 2.574445e+09 + i 1.093554e+09 ; 1.145904e+10 + i -2.865784e+10 ; 3.280029e+09 + i -8.466200e+09 ; 1.401948e+09 + i -1.503671e+08 ; -7.923830e+09 + i -5.246307e+09 ; 1.229370e+09 + i -2.056308e+08 ; 3.314375e+09 + i -8.424153e+09 ; -7.906424e+09 + i -5.163292e+09 ; 1.485373e+08 + i -3.458774e+09 ; 2.005660e+08 + i -3.396468e+09 ; -5.988946e+09 + i 1.717336e+09 ; 
8.860336e+08 + i -2.195453e+08 ; -1.918023e+07 + i 1.256126e+08 ; -1.915833e+07 + i 1.256555e+08 ; 1.899019e+09 + i -1.121423e+09 ; -1.899601e+08 + i 1.629987e+08 ; -1.896573e+08 + i 1.633710e+08 ; 8.875036e+08 + i -5.036970e+08 ; 1.244327e+08 + i 2.389722e+08 ; 5.722299e+05 + i 1.218296e+08 ; 9.176926e+08 + i -1.546131e+09 ; 9.956663e+07 + i 7.378635e+08 ; -1.221367e+08 + i 1.829147e+08 ; 8.874245e+08 + i -5.039980e+08 ; 5.699563e+05 + i 1.221116e+08 ; 1.243767e+08 + i 2.390785e+08 ; 9.180450e+08 + i -1.546300e+09 ; -1.226649e+08 + i 1.833883e+08 ; 9.955177e+07 + i 7.378678e+08 ; 7.872616e+08 + i -7.298686e+08 ; 1.220525e+08 + i 2.009354e+08 ; 1.218708e+08 + i 2.009400e+08 ; 2.427479e+08 + i -1.529234e+09 ; 1.408671e+08 + i 5.604847e+08 ; 1.407472e+08 + i 5.603610e+08 ; 1.158736e+10 + i -2.861673e+10 ; -2.511408e+09 + i -1.045572e+09 ; -2.510348e+09 + i -1.044397e+09 ; -3.982651e+10 + i 4.030772e+10 ; -4.917315e+08 + i 8.169932e+08 ; -4.912632e+08 + i 8.162545e+08 ; -7.775379e+09 + i -5.148038e+09 ; -3.170694e+09 + i 8.237314e+09 ; -1.360097e+09 + i 1.699335e+08 ; -2.615639e+09 + i 1.367427e+10 ; 1.290336e+09 + i 3.272776e+08 ; -9.950203e+07 + i 7.578979e+08 ; -7.774481e+09 + i -5.146726e+09 ; -1.363773e+09 + i 1.717467e+08 ; -3.171095e+09 + i 8.237295e+09 ; -2.614544e+09 + i 1.367529e+10 ; -1.000541e+08 + i 7.601335e+08 ; 1.289568e+09 + i 3.274952e+08 ; -5.831890e+09 + i 1.787740e+09 ; -1.498636e+08 + i 3.314714e+09 ; -1.503859e+08 + i 3.314231e+09 ; 2.005384e+09 + i 4.647639e+09 ; 8.285093e+08 + i 1.665458e+07 ; 8.275370e+08 + i 1.577765e+07 ; 
-1.533218e+08 + i -2.267705e+07 ; -1.838724e+07 + i 3.461300e+08 ; -5.706809e+07 + i -3.525929e+07 ; -1.658170e+08 + i 5.744580e+07 ; -2.771835e+06 + i 7.437733e+08 ; -7.470841e+07 + i -1.021627e+08 ; -3.588170e+08 + i -5.273977e+07 ; -6.050830e+07 + i 4.333485e+08 ; -3.473962e+07 + i -3.523701e+07 ; -7.320093e+08 + i 3.606392e+08 ; -5.422777e+08 + i 7.897498e+08 ; -1.305862e+07 + i -8.695427e+07 ; -1.486233e+08 + i 8.299188e+06 ; -1.272079e+07 + i 3.307686e+08 ; -6.219482e+07 + i -7.069261e+06 ; -1.100774e+08 + i 8.105445e+07 ; -5.913941e+06 + i 6.194920e+08 ; -1.322323e+08 + i -2.800260e+07 ; -3.395985e+08 + i -3.499256e+05 ; -2.264966e+07 + i 4.119540e+08 ; -5.568023e+07 + i -6.158247e+07 ; -5.224409e+08 + i 3.636374e+08 ; -3.686378e+08 + i 8.032754e+08 ; -7.354331e+07 + i -2.112855e+08 ; 1.162513e+09 + i 2.474171e+08 ; -2.641027e+09 + i 1.357842e+10 ; 1.065878e+08 + i -7.521040e+08 ; -4.572178e+08 + i 7.323559e+08 ; -3.984342e+10 + i 4.018718e+10 ; 5.020489e+08 + i -8.093209e+08 ; -2.844581e+09 + i 7.631491e+09 ; -7.919012e+09 + i -5.252142e+09 ; 1.373797e+09 + i -1.507739e+08 ; -2.352695e+09 + i -9.779988e+08 ; 1.143188e+10 + i -2.877972e+10 ; 2.523959e+09 + i 1.063835e+09 ; 7.345672e+08 + i -3.213753e+07 ; 1.974150e+09 + i 4.552979e+09 ; -8.228198e+08 + i -1.491071e+07 ; -9.729905e+07 + i 6.742630e+08 ; -2.652250e+09 + i 1.355641e+10 ; -1.278171e+09 + i -3.300686e+08 ; -1.381314e+08 + i 3.017083e+09 ; -5.990841e+09 + i 1.711904e+09 ; 1.751263e+08 + i -3.311427e+09 ; -1.275761e+09 + i 1.321101e+08 ; -7.947326e+09 + i -5.277790e+09 ; 3.202459e+09 + i -8.235057e+09 ; 
-1.532352e+08 + i -2.270953e+07 ; -5.706287e+07 + i -3.526667e+07 ; -1.847658e+07 + i 3.460964e+08 ; -1.657800e+08 + i 5.759682e+07 ; -7.470514e+07 + i -1.022008e+08 ; -3.327543e+06 + i 7.443458e+08 ; -1.485116e+08 + i 8.236668e+06 ; -6.220764e+07 + i -7.025809e+06 ; -1.252228e+07 + i 3.305285e+08 ; -1.099833e+08 + i 8.106475e+07 ; -1.323322e+08 + i -2.799633e+07 ; -5.923849e+06 + i 6.199576e+08 ; -3.588033e+08 + i -5.263886e+07 ; -3.480171e+07 + i -3.526723e+07 ; -6.074988e+07 + i 4.336820e+08 ; -7.321046e+08 + i 3.607374e+08 ; -1.316511e+07 + i -8.706752e+07 ; -5.425564e+08 + i 7.905823e+08 ; -3.394963e+08 + i -2.435997e+05 ; -5.570274e+07 + i -6.155243e+07 ; -2.289761e+07 + i 4.117633e+08 ; -5.225026e+08 + i 3.638571e+08 ; -7.356500e+07 + i -2.112848e+08 ; -3.687545e+08 + i 8.030888e+08 ; 1.162562e+09 + i 2.474803e+08 ; 1.064387e+08 + i -7.520781e+08 ; -2.642189e+09 + i 1.358192e+10 ; -4.573449e+08 + i 7.313303e+08 ; 5.019025e+08 + i -8.093728e+08 ; -3.984652e+10 + i 4.018549e+10 ; 7.343413e+08 + i -3.236304e+07 ; -8.237722e+08 + i -1.540355e+07 ; 1.972262e+09 + i 4.562785e+09 ; -9.726685e+07 + i 6.735869e+08 ; -1.279110e+09 + i -3.310176e+08 ; -2.665063e+09 + i 1.356393e+10 ; -2.844421e+09 + i 7.631713e+09 ; 1.373333e+09 + i -1.512133e+08 ; -7.918935e+09 + i -5.247842e+09 ; -2.352243e+09 + i -9.780986e+08 ; 2.523473e+09 + i 1.063212e+09 ; 1.142778e+10 + i -2.877456e+10 ; -1.380358e+08 + i 3.017601e+09 ; 1.749569e+08 + i -3.311492e+09 ; -5.987331e+09 + i 1.714848e+09 ; -1.275324e+09 + i 1.319416e+08 ; 3.202534e+09 + i -8.235123e+09 ; -7.945952e+09 + i -5.277288e+09 ; 
9.149301e+08 + i -1.539718e+09 ; -1.736319e+08 + i -6.707709e+08 ; -2.878669e+08 + i 2.317785e+08 ; -2.957508e+08 + i -2.676819e+09 ; 7.770647e+08 + i -2.406233e+09 ; -6.787503e+08 + i -2.359875e+07 ; 1.900122e+09 + i -1.117731e+09 ; 3.736720e+08 + i -2.148302e+08 ; -4.015401e+08 + i 2.061345e+08 ; 1.951458e+09 + i -5.406863e+09 ; 8.513829e+08 + i 2.050950e+08 ; -9.249024e+08 + i -2.810897e+08 ; 2.404302e+08 + i -1.524777e+09 ; -1.659627e+08 + i -4.779667e+08 ; 1.625898e+08 + i 5.039623e+08 ; -7.806026e+08 + i -1.321149e+09 ; 2.219211e+08 + i -1.440708e+09 ; -2.716357e+08 + i 1.530092e+09 ; 9.180784e+08 + i -1.545127e+09 ; 2.624598e+08 + i -2.344566e+08 ; 1.699526e+08 + i 7.069757e+08 ; -2.897566e+08 + i -2.673068e+09 ; 6.233700e+08 + i -8.720581e+06 ; -8.895636e+08 + i 2.548168e+09 ; -2.269271e+09 + i 1.357979e+10 ; 1.160855e+09 + i 4.720987e+08 ; 1.417401e+08 + i -6.723849e+08 ; -7.759398e+09 + i -5.116712e+09 ; -2.806535e+09 + i 7.659155e+09 ; 1.409913e+09 + i -1.158278e+08 ; -3.937340e+10 + i 4.031044e+10 ; -5.409115e+08 + i 7.074629e+08 ; 5.236797e+08 + i -7.166879e+08 ; 1.156415e+10 + i -2.860411e+10 ; -2.451643e+09 + i -1.191111e+09 ; 2.527754e+09 + i 1.100687e+09 ; 2.268753e+09 + i 4.490671e+09 ; 7.126426e+08 + i -2.234456e+06 ; -7.243468e+08 + i 5.124134e+06 ; -5.821983e+09 + i 1.787254e+09 ; -1.245823e+08 + i 3.040777e+09 ; 2.175704e+08 + i -3.292950e+09 ; -2.266711e+09 + i 1.357340e+10 ; -1.396299e+08 + i 6.641363e+08 ; -1.154272e+09 + i -3.031541e+08 ; -7.773976e+09 + i -5.147786e+09 ; -1.348667e+09 + i 1.208755e+08 ; 3.236740e+09 + i -8.190023e+09 ; 
9.850059e+08 + i -4.203997e+08 ; -5.373826e+08 + i 7.840832e+08 ; -2.819842e+07 + i 9.350762e+07 ; 9.953942e+08 + i -2.655773e+09 ; -1.739824e+09 + i 2.691573e+08 ; -2.205030e+08 + i 5.341906e+07 ; -1.568163e+07 + i -3.946602e+08 ; -2.556851e+06 + i 7.433899e+08 ; 7.343556e+07 + i 1.083289e+08 ; -5.378572e+08 + i -2.325825e+08 ; -7.692350e+08 + i 2.605132e+09 ; 2.651007e+07 + i 2.157618e+08 ; 6.521294e+08 + i -5.384388e+08 ; -3.661060e+08 + i 7.977156e+08 ; 1.131590e+08 + i 2.143692e+08 ; 3.090967e+08 + i -1.636154e+09 ; -1.400349e+09 + i 8.194795e+08 ; -1.084370e+08 + i 9.231009e+08 ; -9.297003e+07 + i -3.738452e+08 ; -5.597457e+06 + i 6.181634e+08 ; 1.269549e+08 + i 4.984166e+06 ; -4.639373e+08 + i -1.478852e+08 ; -2.272705e+08 + i 1.760797e+09 ; 2.891893e+08 + i 7.643466e+07 ; -2.400694e+09 + i -1.159311e+09 ; 1.145682e+10 + i -2.867225e+10 ; -2.503463e+09 + i -1.048210e+09 ; -3.140888e+09 + i 8.245809e+09 ; -7.907378e+09 + i -5.212153e+09 ; -1.360878e+09 + i 1.513831e+08 ; -4.031923e+08 + i 8.105471e+08 ; -3.976402e+10 + i 4.024389e+10 ; -4.863491e+08 + i 8.174549e+08 ; 1.445651e+09 + i 5.402532e+08 ; -2.621823e+09 + i 1.356510e+10 ; -1.047881e+08 + i 7.516528e+08 ; -1.237528e+09 + i 1.861769e+08 ; -7.901933e+09 + i -5.166739e+09 ; -3.181060e+09 + i 8.188836e+09 ; -1.213724e+08 + i 3.345442e+09 ; -5.974034e+09 + i 1.724842e+09 ; -1.809306e+08 + i 3.294620e+09 ; -1.676822e+07 + i 7.514890e+08 ; -2.577195e+09 + i 1.360311e+10 ; 1.294624e+09 + i 3.277102e+08 ; 9.292037e+08 + i 6.848114e+07 ; 1.972883e+09 + i 4.538665e+09 ; 8.201187e+08 + i 1.729963e+07 ; 
9.517825e+07 + i 3.814835e+08 ; 1.195044e+08 + i 3.017071e+06 ; -4.249400e+05 + i 6.196512e+08 ; 4.725380e+08 + i 1.665976e+08 ; 2.719822e+08 + i 6.544156e+07 ; -2.235922e+08 + i 1.761024e+09 ; 1.473718e+07 + i 4.070929e+08 ; 7.111531e+07 + i 1.012223e+08 ; 2.108098e+06 + i 7.461634e+08 ; 5.503818e+08 + i 2.734165e+08 ; 3.019373e+07 + i 1.999737e+08 ; -7.635618e+08 + i 2.603654e+09 ; -6.467942e+08 + i 5.481769e+08 ; 1.081532e+08 + i 2.013073e+08 ; -3.678633e+08 + i 8.022230e+08 ; -3.073228e+08 + i 1.649754e+09 ; -8.262893e+07 + i 8.682411e+08 ; -1.397678e+09 + i 8.252959e+08 ; -9.846500e+08 + i 4.369435e+08 ; -2.734707e+07 + i 9.255305e+07 ; -5.409985e+08 + i 7.902402e+08 ; -9.949760e+08 + i 2.673251e+09 ; -2.007090e+08 + i 6.615693e+07 ; -1.738178e+09 + i 2.832244e+08 ; 4.029539e+06 + i -7.157503e+08 ; 1.213890e+09 + i 2.846797e+08 ; -2.588489e+09 + i 1.362042e+10 ; -8.828236e+08 + i -4.440100e+07 ; 7.657831e+08 + i 6.956468e+04 ; 1.971750e+09 + i 4.561673e+09 ; 3.597396e+08 + i -7.932245e+08 ; -4.421561e+08 + i 7.732344e+08 ; -3.976422e+10 + i 4.024281e+10 ; -1.357966e+09 + i -3.350937e+08 ; -9.071819e+07 + i 7.045689e+08 ; -2.645422e+09 + i 1.357662e+10 ; 1.194488e+09 + i -1.633980e+08 ; -2.819986e+09 + i 7.678806e+09 ; -7.905828e+09 + i -5.162993e+09 ; 1.280495e+08 + i -3.357775e+09 ; -1.012960e+08 + i 3.058393e+09 ; -5.987553e+09 + i 1.717030e+09 ; 2.315244e+09 + i 9.497139e+08 ; -2.359762e+09 + i -9.345171e+08 ; 1.145779e+10 + i -2.865580e+10 ; 3.179273e+09 + i -8.256229e+09 ; -1.275258e+09 + i 1.249386e+08 ; -7.923428e+09 + i -5.243265e+09 ; 
8.876896e+08 + i -5.032316e+08 ; -1.171259e+08 + i -2.053611e+08 ; 1.789505e+05 + i 1.183112e+08 ; 9.239300e+08 + i -1.544397e+09 ; -9.427671e+07 + i -6.476349e+08 ; -1.191065e+08 + i 1.771659e+08 ; 8.882617e+08 + i -2.191941e+08 ; 1.313550e+07 + i -1.071348e+08 ; -1.880488e+07 + i 1.220950e+08 ; 1.899644e+09 + i -1.116719e+09 ; 1.702913e+08 + i -1.289380e+08 ; -1.842519e+08 + i 1.586568e+08 ; 7.872687e+08 + i -7.292272e+08 ; -1.119041e+08 + i -1.716425e+08 ; 1.179360e+08 + i 1.955361e+08 ; 2.459398e+08 + i -1.528077e+09 ; -1.275389e+08 + i -4.938884e+08 ; 1.354690e+08 + i 5.446686e+08 ; 8.888317e+08 + i -5.044496e+08 ; -2.306733e+06 + i -1.030444e+08 ; 1.203183e+08 + i 2.324390e+08 ; 9.192668e+08 + i -1.542900e+09 ; 1.146444e+08 + i -1.550642e+08 ; 9.524487e+07 + i 7.168159e+08 ; -7.736778e+09 + i -5.102132e+09 ; 2.785178e+09 + i -7.529034e+09 ; -1.320523e+09 + i 1.603317e+08 ; -2.615449e+09 + i 1.367530e+10 ; -1.418233e+09 + i -5.790266e+08 ; -9.915945e+07 + i 7.353591e+08 ; 1.156067e+10 + i -2.860192e+10 ; 2.534687e+09 + i 1.214263e+09 ; -2.434185e+09 + i -1.018159e+09 ; -3.982441e+10 + i 4.030913e+10 ; 4.309964e+08 + i -7.591490e+08 ; -4.782116e+08 + i 7.912686e+08 ; -5.806196e+09 + i 1.794601e+09 ; 8.336095e+07 + i -2.981909e+09 ; -1.532586e+08 + i 3.218833e+09 ; 1.998938e+09 + i 4.654322e+09 ; -8.336617e+08 + i -1.954257e+07 ; 8.026528e+08 + i 1.710844e+07 ; -7.772691e+09 + i -5.137858e+09 ; 1.314851e+09 + i -1.603035e+08 ; -3.097026e+09 + i 7.993924e+09 ; -2.615631e+09 + i 1.367578e+10 ; 9.134102e+07 + i -7.313871e+08 ; 1.251073e+09 + i 3.199123e+08 ; 
3.514960e+08 + i 4.263819e+07 ; -6.170785e+07 + i 4.347228e+08 ; 3.362637e+07 + i 3.434533e+07 ; 7.141335e+08 + i -3.718087e+08 ; -5.428240e+08 + i 7.955025e+08 ; 1.232541e+07 + i 8.456008e+07 ; 1.533470e+08 + i 1.453269e+07 ; -1.937150e+07 + i 3.480770e+08 ; 5.537383e+07 + i 3.442001e+07 ; 1.614284e+08 + i -7.792312e+07 ; -1.128930e+06 + i 7.461669e+08 ; 7.235220e+07 + i 9.957422e+07 ; 3.312444e+08 + i -8.290268e+06 ; -2.312910e+07 + i 4.137570e+08 ; 5.395600e+07 + i 5.997694e+07 ; 5.062392e+08 + i -3.687707e+08 ; -3.666925e+08 + i 8.070069e+08 ; 7.100456e+07 + i 2.054993e+08 ; 1.471007e+08 + i -1.654914e+07 ; -1.289264e+07 + i 3.326992e+08 ; 6.038083e+07 + i 6.994996e+06 ; 1.029758e+08 + i -9.595847e+07 ; -3.537334e+06 + i 6.197864e+08 ; 1.283925e+08 + i 2.752326e+07 ; 2.841472e+09 + i -7.465498e+09 ; -7.880664e+09 + i -5.206895e+09 ; -1.335001e+09 + i 1.442052e+08 ; 2.538593e+09 + i 1.266016e+09 ; 1.141917e+10 + i -2.877743e+10 ; -2.450770e+09 + i -1.038555e+09 ; -1.370574e+09 + i -5.397765e+08 ; -2.618100e+09 + i 1.356252e+10 ; -1.047036e+08 + i 7.315971e+08 ; 4.466723e+08 + i -7.263775e+08 ; -3.984297e+10 + i 4.019277e+10 ; -4.897887e+08 + i 7.871952e+08 ; 1.438417e+08 + i -2.923792e+09 ; -5.963207e+09 + i 1.721418e+09 ; -1.768489e+08 + i 3.216694e+09 ; 1.330796e+09 + i -1.079156e+08 ; -7.939877e+09 + i -5.279097e+09 ; -3.128044e+09 + i 7.992787e+09 ; -7.950029e+08 + i 1.428906e+07 ; 1.972621e+09 + i 4.540524e+09 ; 7.995083e+08 + i 1.600648e+07 ; 1.096744e+08 + i -6.984178e+08 ; -2.650232e+09 + i 1.355195e+10 ; 1.241120e+09 + i 3.235099e+08 ; 
