-5.933399e+09 + i 5.993348e+08 ; -1.927911e+07 + i -5.750600e+05 ; -1.928346e+07 + i -5.749579e+05 ; 1.645769e+09 + i -2.861832e+08 ; 1.059343e+08 + i -1.000782e+07 ; 1.059293e+08 + i -1.000963e+07 ; -7.760450e+08 + i 1.323979e+08 ; -5.648451e+07 + i 5.122394e+06 ; -1.156601e+07 + i 5.940971e+05 ; -2.474199e+08 + i 7.935530e+06 ; 4.049514e+08 + i -7.552480e+07 ; 2.336040e+07 + i -4.388568e+06 ; -7.760422e+08 + i 1.323993e+08 ; -1.156513e+07 + i 5.930765e+05 ; -5.648486e+07 + i 5.121774e+06 ; -2.474193e+08 + i 7.937673e+06 ; 2.338897e+07 + i -4.379525e+06 ; 4.049525e+08 + i -7.552440e+07 ; -1.097399e+08 + i 3.729859e+07 ; -2.733933e+07 + i 3.515762e+06 ; -2.732879e+07 + i 3.518871e+06 ; -7.148518e+07 + i 1.923966e+07 ; 1.001523e+08 + i -2.351841e+07 ; 1.001533e+08 + i -2.351810e+07 ; 1.447832e+08 + i -1.907460e+07 ; -1.611779e+05 + i -4.649236e+05 ; -1.602165e+05 + i -4.648819e+05 ; 7.171373e+07 + i -7.795095e+06 ; -8.399790e+05 + i 5.762328e+03 ; -8.400752e+05 + i 5.774737e+03 ; 4.315737e+07 + i -1.113736e+07 ; 1.488904e+07 + i -4.235334e+06 ; -1.002236e+06 + i -2.152484e+05 ; 2.988965e+07 + i -6.622143e+06 ; 3.179679e+06 + i -1.038664e+06 ; -8.793059e+05 + i 4.212792e+04 ; 4.315951e+07 + i -1.113640e+07 ; -9.996566e+05 + i -2.143817e+05 ; 1.488926e+07 + i -4.235278e+06 ; 2.989024e+07 + i -6.621764e+06 ; -8.786619e+05 + i 4.224557e+04 ; 3.179639e+06 + i -1.038684e+06 ; 1.146362e+07 + i -5.450263e+06 ; 9.729094e+06 + i -2.918378e+06 ; 9.728684e+06 + i -2.918538e+06 ; 1.262557e+07 + i -4.383130e+06 ; 2.432899e+06 + i -8.226520e+05 ; 2.432869e+06 + i -8.226415e+05 ; 
1.084371e+08 + i -2.381805e+07 ; 1.113581e+08 + i -2.403169e+07 ; -7.436217e+07 + i 1.978288e+07 ; 1.934502e+07 + i -3.810993e+06 ; 4.494028e+08 + i -7.501073e+07 ; -2.502698e+08 + i 8.148650e+06 ; 4.461293e+08 + i -7.488275e+07 ; 2.504081e+07 + i -4.370964e+06 ; -2.538389e+08 + i 8.294191e+06 ; 1.009964e+08 + i -9.417265e+06 ; 1.089904e+08 + i -1.008981e+07 ; 1.639910e+09 + i -2.859917e+08 ; -3.131006e+07 + i 3.279178e+06 ; -3.060190e+07 + i 3.082209e+06 ; -1.109087e+08 + i 3.751932e+07 ; -1.308490e+07 + i 7.241554e+05 ; -5.457179e+07 + i 5.689058e+06 ; -7.738394e+08 + i 1.322753e+08 ; -5.542950e+07 + i 5.870294e+06 ; -1.253737e+07 + i 4.511166e+05 ; -7.782536e+08 + i 1.325812e+08 ; -2.208837e+07 + i -6.305627e+05 ; -2.110222e+07 + i -9.716506e+05 ; -5.932187e+09 + i 5.990376e+08 ; -6.359546e+07 + i 1.226113e+07 ; 3.499693e+07 + i -6.783619e+06 ; -5.092594e+07 + i 9.213660e+06 ; -3.419074e+07 + i 5.641513e+06 ; 2.033515e+06 + i -8.975089e+05 ; -1.413455e+07 + i 3.785026e+06 ; -1.309770e+08 + i 2.311897e+07 ; 5.712826e+06 + i -6.427137e+05 ; -8.469914e+07 + i 1.024229e+07 ; -6.058781e+07 + i 8.202932e+06 ; -9.672746e+05 + i -6.540984e+04 ; -1.912076e+07 + i 4.893407e+06 ; 1.690371e+07 + i -1.675198e+06 ; -1.227059e+07 + i 1.078465e+06 ; -7.477781e+07 + i 1.595061e+07 ; 1.103381e+07 + i -6.686793e+05 ; -3.485550e+06 + i 4.936154e+05 ; -1.531372e+07 + i 4.309050e+06 ; 2.638089e+07 + i -1.795762e+06 ; -6.347359e+06 + i 2.077812e+05 ; -1.516525e+08 + i 2.624322e+07 ; 1.491720e+07 + i -3.283368e+05 ; -2.256896e+06 + i 2.499697e+05 ; -1.951035e+07 + i 5.582716e+06 ; 
1.448020e+08 + i -1.906147e+07 ; -1.787631e+06 + i 1.010424e+06 ; -1.786351e+06 + i 1.010532e+06 ; 3.192602e+08 + i -5.406857e+07 ; -3.170686e+07 + i 3.445871e+06 ; -3.170610e+07 + i 3.446356e+06 ; 4.316862e+07 + i -1.113460e+07 ; -1.149970e+07 + i 3.936189e+06 ; -1.001354e+06 + i 6.005294e+05 ; 5.786779e+07 + i -1.752555e+07 ; -1.188155e+08 + i 2.288120e+07 ; -1.470079e+07 + i 2.220986e+06 ; 4.316955e+07 + i -1.113453e+07 ; -1.002432e+06 + i 6.005155e+05 ; -1.150004e+07 + i 3.936250e+06 ; 5.786852e+07 + i -1.752542e+07 ; -1.470732e+07 + i 2.218861e+06 ; -1.188165e+08 + i 2.288087e+07 ; 1.146514e+07 + i -5.451867e+06 ; -8.780009e+06 + i 2.779126e+06 ; -8.783756e+06 + i 2.778038e+06 ; 1.154525e+06 + i -4.548186e+06 ; -5.642502e+07 + i 1.213911e+07 ; -5.642629e+07 + i 1.213867e+07 ; -5.917487e+09 + i 5.977205e+08 ; -1.684768e+07 + i -7.858612e+05 ; -1.685233e+07 + i -7.857932e+05 ; 1.645844e+09 + i -2.861820e+08 ; 1.076748e+08 + i -1.013752e+07 ; 1.076696e+08 + i -1.013936e+07 ; -7.693555e+08 + i 1.312257e+08 ; -5.283619e+07 + i 4.639308e+06 ; -9.195518e+06 + i 4.067351e+05 ; -2.476003e+08 + i 7.940284e+06 ; 4.068740e+08 + i -7.574050e+07 ; 2.421727e+07 + i -4.554173e+06 ; -7.693495e+08 + i 1.312275e+08 ; -9.194543e+06 + i 4.057476e+05 ; -5.283636e+07 + i 4.638723e+06 ; -2.475989e+08 + i 7.942388e+06 ; 2.424607e+07 + i -4.544975e+06 ; 4.068750e+08 + i -7.574010e+07 ; -1.073470e+08 + i 3.655330e+07 ; -2.366155e+07 + i 3.104858e+06 ; -2.365052e+07 + i 3.108146e+06 ; -7.154703e+07 + i 1.924882e+07 ; 1.014106e+08 + i -2.375752e+07 ; 1.014119e+08 + i -2.375712e+07 ; 
1.297547e+07 + i -6.468865e+05 ; -1.947223e+07 + i 5.598982e+06 ; -2.006412e+06 + i 2.729890e+05 ; 2.268088e+07 + i -2.255991e+06 ; -1.517033e+08 + i 2.623954e+07 ; -5.703404e+06 + i 3.111921e+05 ; -5.501106e+07 + i 8.435883e+06 ; -1.919756e+07 + i 4.885984e+06 ; -9.544669e+05 + i -4.755954e+04 ; -1.187145e+08 + i 2.313493e+07 ; -8.517142e+07 + i 1.017714e+07 ; 4.768496e+06 + i -7.384802e+05 ; 9.771498e+06 + i -8.137596e+05 ; -1.528324e+07 + i 4.318541e+06 ; -3.115617e+06 + i 5.139679e+05 ; 1.494831e+07 + i -1.832505e+06 ; -7.476940e+07 + i 1.595803e+07 ; -1.111767e+07 + i 1.200661e+06 ; -3.095992e+07 + i 5.695596e+06 ; -1.417974e+07 + i 3.779128e+06 ; 1.762666e+06 + i -8.502791e+05 ; -5.747407e+07 + i 1.219909e+07 ; -5.102038e+07 + i 9.205024e+06 ; 3.122995e+07 + i -6.783300e+06 ; -1.988111e+07 + i -2.489056e+05 ; -5.932189e+09 + i 5.990341e+08 ; -1.921984e+07 + i -5.555894e+05 ; -5.648692e+07 + i 5.270066e+06 ; -7.783851e+08 + i 1.325389e+08 ; -1.155629e+07 + i 5.795938e+05 ; 9.793489e+07 + i -9.223602e+06 ; 1.640538e+09 + i -2.858537e+08 ; 1.058574e+08 + i -1.002760e+07 ; 4.030155e+08 + i -7.540757e+07 ; -2.522153e+08 + i 8.512645e+06 ; 2.365647e+07 + i -4.416489e+06 ; -1.203850e+07 + i 8.215419e+05 ; -7.740027e+08 + i 1.322501e+08 ; -5.647036e+07 + i 5.159807e+06 ; -2.798640e+07 + i 3.671043e+06 ; -1.110460e+08 + i 3.749201e+07 ; -2.732029e+07 + i 3.503713e+06 ; 1.816348e+07 + i -3.786510e+06 ; -2.488284e+08 + i 8.357529e+06 ; 4.052150e+08 + i -7.555446e+07 ; 9.811949e+07 + i -2.338054e+07 ; -7.397324e+07 + i 1.975727e+07 ; 1.007550e+08 + i -2.360297e+07 ; 
1.297868e+07 + i -6.465669e+05 ; -2.006514e+06 + i 2.729779e+05 ; -1.946738e+07 + i 5.599834e+06 ; 2.268158e+07 + i -2.255763e+06 ; -5.703360e+06 + i 3.112135e+05 ; -1.516958e+08 + i 2.624069e+07 ; 9.772579e+06 + i -8.138576e+05 ; -3.115553e+06 + i 5.139950e+05 ; -1.528029e+07 + i 4.319105e+06 ; 1.494640e+07 + i -1.832944e+06 ; -1.111813e+07 + i 1.200437e+06 ; -7.476680e+07 + i 1.595873e+07 ; -5.501105e+07 + i 8.435702e+06 ; -9.548305e+05 + i -4.766346e+04 ; -1.919900e+07 + i 4.885822e+06 ; -1.187151e+08 + i 2.313471e+07 ; 4.767375e+06 + i -7.389157e+05 ; -8.517722e+07 + i 1.017532e+07 ; -3.095256e+07 + i 5.697009e+06 ; 1.763147e+06 + i -8.500807e+05 ; -1.418131e+07 + i 3.778683e+06 ; -5.747225e+07 + i 1.219961e+07 ; 3.123050e+07 + i -6.783176e+06 ; -5.101624e+07 + i 9.205889e+06 ; -1.989153e+07 + i -2.497887e+05 ; -1.922004e+07 + i -5.555434e+05 ; -5.932208e+09 + i 5.990268e+08 ; -5.648721e+07 + i 5.269815e+06 ; -1.155693e+07 + i 5.795617e+05 ; -7.784008e+08 + i 1.325396e+08 ; -1.204258e+07 + i 8.220184e+05 ; -5.647626e+07 + i 5.157273e+06 ; -7.740914e+08 + i 1.322183e+08 ; -2.797792e+07 + i 3.673802e+06 ; -2.732337e+07 + i 3.502675e+06 ; -1.110570e+08 + i 3.749449e+07 ; 9.793454e+07 + i -9.223157e+06 ; 1.058537e+08 + i -1.002918e+07 ; 1.640493e+09 + i -2.858687e+08 ; 4.030169e+08 + i -7.540697e+07 ; 2.365317e+07 + i -4.417658e+06 ; -2.522340e+08 + i 8.507907e+06 ; 1.813893e+07 + i -3.791328e+06 ; 4.052144e+08 + i -7.555481e+07 ; -2.488315e+08 + i 8.355060e+06 ; 9.811235e+07 + i -2.338242e+07 ; 1.007529e+08 + i -2.360346e+07 ; -7.398275e+07 + i 1.975817e+07 ; 
7.171368e+07 + i -7.791230e+06 ; 8.611702e+05 + i -4.131403e+03 ; 8.607371e+05 + i -4.206160e+03 ; 1.448479e+08 + i -1.905871e+07 ; 1.930412e+05 + i 4.771659e+05 ; 1.921954e+05 + i 4.772611e+05 ; 2.989561e+07 + i -6.621238e+06 ; -3.233639e+06 + i 1.046425e+06 ; 8.984864e+05 + i -4.098342e+04 ; 4.319724e+07 + i -1.113373e+07 ; -1.513741e+07 + i 4.263661e+06 ; 1.036564e+06 + i 2.237281e+05 ; 2.989648e+07 + i -6.620967e+06 ; 8.984136e+05 + i -4.099747e+04 ; -3.233504e+06 + i 1.046467e+06 ; 4.319832e+07 + i -1.113305e+07 ; 1.034444e+06 + i 2.230021e+05 ; -1.513744e+07 + i 4.263565e+06 ; 1.262955e+07 + i -4.384412e+06 ; -2.474101e+06 + i 8.290920e+05 ; -2.474526e+06 + i 8.289779e+05 ; 1.147836e+07 + i -5.452330e+06 ; -9.891510e+06 + i 2.939314e+06 ; -9.891927e+06 + i 2.939070e+06 ; 1.646067e+09 + i -2.861096e+08 ; -1.076698e+08 + i 9.850068e+06 ; -1.076627e+08 + i 9.852787e+06 ; -5.933508e+09 + i 5.992928e+08 ; 1.948566e+07 + i 6.188166e+05 ; 1.949048e+07 + i 6.190001e+05 ; -2.472948e+08 + i 7.955097e+06 ; -4.118289e+08 + i 7.558685e+07 ; -2.376569e+07 + i 4.388019e+06 ; -7.761360e+08 + i 1.323782e+08 ; 5.736629e+07 + i -5.036139e+06 ; 1.171280e+07 + i -5.765807e+05 ; -2.473006e+08 + i 7.955534e+06 ; -2.378771e+07 + i 4.380419e+06 ; -4.118297e+08 + i 7.558653e+07 ; -7.761212e+08 + i 1.323830e+08 ; 1.171079e+07 + i -5.760731e+05 ; 5.736596e+07 + i -5.035953e+06 ; -7.145420e+07 + i 1.924162e+07 ; -1.018642e+08 + i 2.361361e+07 ; -1.018667e+08 + i 2.361278e+07 ; -1.097651e+08 + i 3.729596e+07 ; 2.779389e+07 + i -3.493017e+06 ; 2.779126e+07 + i -3.494091e+06 ; 
-2.827374e+05 + i 5.158586e+05 ; -7.865569e+06 + i 1.998579e+06 ; -9.846911e+05 + i 1.469918e+05 ; 8.752806e+05 + i 5.778837e+05 ; -1.955028e+07 + i 5.571609e+06 ; -2.685540e+06 + i 2.719157e+05 ; -2.982376e+07 + i 3.060262e+06 ; -7.046304e+06 + i 1.798192e+06 ; -7.101259e+05 + i 8.408580e+04 ; -5.854702e+07 + i 7.674975e+06 ; -1.916799e+07 + i 4.891204e+06 ; -1.243897e+06 + i 7.663477e+04 ; 7.884217e+05 + i 3.670730e+05 ; -6.445951e+06 + i 1.733779e+06 ; -1.313230e+06 + i 2.166424e+05 ; 2.618002e+06 + i 2.705073e+05 ; -1.532618e+07 + i 4.306709e+06 ; -4.141421e+06 + i 5.334206e+05 ; -2.068766e+07 + i 2.720895e+06 ; -5.866546e+06 + i 1.568764e+06 ; 2.502937e+05 + i -1.592099e+05 ; -3.647580e+07 + i 5.691202e+06 ; -1.416182e+07 + i 3.782146e+06 ; 3.388142e+06 + i -9.897476e+05 ; 5.943045e+07 + i -4.534115e+06 ; -7.787964e+08 + i 1.324478e+08 ; -1.158907e+07 + i 5.519017e+05 ; 1.963510e+07 + i 9.667529e+05 ; -5.938562e+09 + i 5.994294e+08 ; -1.950423e+07 + i -6.627797e+05 ; -4.392627e+08 + i 7.573929e+07 ; -2.523229e+08 + i 8.519474e+06 ; 2.394767e+07 + i -4.456877e+06 ; -1.161155e+08 + i 9.376804e+06 ; 1.635561e+09 + i -2.856226e+08 ; 1.079286e+08 + i -9.920410e+06 ; 2.829367e+07 + i -3.222134e+06 ; -1.110884e+08 + i 3.749610e+07 ; -2.760725e+07 + i 3.480811e+06 ; 1.155734e+07 + i -3.754438e+05 ; -7.793276e+08 + i 1.326991e+08 ; -5.732151e+07 + i 5.014292e+06 ; -1.113338e+08 + i 2.415273e+07 ; -7.400297e+07 + i 1.975399e+07 ; 1.023833e+08 + i -2.370328e+07 ; -2.708334e+07 + i 4.495187e+06 ; -2.532716e+08 + i 8.629465e+06 ; 4.124124e+08 + i -7.569702e+07 ; 
-2.815407e+05 + i 5.160583e+05 ; -9.847728e+05 + i 1.469780e+05 ; -7.867089e+06 + i 1.998443e+06 ; 8.741194e+05 + i 5.778653e+05 ; -2.685595e+06 + i 2.719070e+05 ; -1.955367e+07 + i 5.571522e+06 ; 7.884513e+05 + i 3.669026e+05 ; -1.313228e+06 + i 2.166500e+05 ; -6.448697e+06 + i 1.733053e+06 ; 2.614987e+06 + i 2.697377e+05 ; -4.141575e+06 + i 5.333879e+05 ; -1.533294e+07 + i 4.305153e+06 ; -2.982381e+07 + i 3.060197e+06 ; -7.103206e+05 + i 8.402391e+04 ; -7.047724e+06 + i 1.797997e+06 ; -5.854796e+07 + i 7.674751e+06 ; -1.244526e+06 + i 7.640146e+04 ; -1.917108e+07 + i 4.890570e+06 ; -2.068428e+07 + i 2.721864e+06 ; 2.504151e+05 + i -1.591606e+05 ; -5.868729e+06 + i 1.568273e+06 ; -3.647604e+07 + i 5.691539e+06 ; 3.388182e+06 + i -9.897314e+05 ; -1.416482e+07 + i 3.781165e+06 ; 5.943260e+07 + i -4.533515e+06 ; -1.158948e+07 + i 5.519308e+05 ; -7.788077e+08 + i 1.324504e+08 ; 1.964033e+07 + i 9.671079e+05 ; -1.950447e+07 + i -6.626898e+05 ; -5.938575e+09 + i 5.994253e+08 ; 2.828907e+07 + i -3.223622e+06 ; -2.761036e+07 + i 3.479723e+06 ; -1.110969e+08 + i 3.749994e+07 ; 1.155622e+07 + i -3.767967e+05 ; -5.732743e+07 + i 5.011766e+06 ; -7.794447e+08 + i 1.326600e+08 ; -4.392629e+08 + i 7.573900e+07 ; 2.394502e+07 + i -4.457774e+06 ; -2.523433e+08 + i 8.513375e+06 ; -1.161158e+08 + i 9.376324e+06 ; 1.079239e+08 + i -9.922419e+06 ; 1.635517e+09 + i -2.856373e+08 ; -1.113258e+08 + i 2.415528e+07 ; 1.023826e+08 + i -2.370317e+07 ; -7.397885e+07 + i 1.976453e+07 ; -2.707276e+07 + i 4.497498e+06 ; 4.124110e+08 + i -7.569770e+07 ; -2.532791e+08 + i 8.625589e+06 ; 
4.310138e+07 + i -1.115238e+07 ; 1.237795e+07 + i -4.052595e+06 ; -1.020517e+06 + i 6.083843e+05 ; 5.792713e+07 + i -1.749941e+07 ; 1.274793e+08 + i -2.287878e+07 ; -1.496187e+07 + i 2.217542e+06 ; 1.448006e+08 + i -1.906626e+07 ; 2.039579e+06 + i -1.019080e+06 ; -1.832145e+06 + i 1.021003e+06 ; 3.192847e+08 + i -5.405564e+07 ; 3.420878e+07 + i -3.177473e+06 ; -3.228815e+07 + i 3.409024e+06 ; 1.143571e+07 + i -5.457850e+06 ; 9.444117e+06 + i -2.853144e+06 ; -8.947822e+06 + i 2.799142e+06 ; 1.163971e+06 + i -4.543445e+06 ; 6.056112e+07 + i -1.222484e+07 ; -5.744011e+07 + i 1.217833e+07 ; 4.317335e+07 + i -1.113430e+07 ; 1.135317e+06 + i -6.137924e+05 ; -1.171248e+07 + i 3.969457e+06 ; 5.787443e+07 + i -1.752031e+07 ; 1.585125e+07 + i -2.147676e+06 ; -1.209264e+08 + i 2.292093e+07 ; -7.696003e+08 + i 1.311474e+08 ; 5.532289e+07 + i -4.738209e+06 ; -9.334771e+06 + i 3.894413e+05 ; -2.477462e+08 + i 7.876750e+06 ; -4.357696e+08 + i 7.582079e+07 ; 2.448877e+07 + i -4.584459e+06 ; -5.917662e+09 + i 5.976545e+08 ; 1.747913e+07 + i 8.666795e+05 ; -1.710056e+07 + i -8.414176e+05 ; 1.645691e+09 + i -2.862231e+08 ; -1.140518e+08 + i 9.900146e+06 ; 1.094392e+08 + i -1.000659e+07 ; -1.073976e+08 + i 3.654751e+07 ; 2.526848e+07 + i -3.024685e+06 ; -2.396976e+07 + i 3.101905e+06 ; -7.159552e+07 + i 1.923217e+07 ; -1.087126e+08 + i 2.409173e+07 ; 1.032055e+08 + i -2.386512e+07 ; -7.693472e+08 + i 1.312347e+08 ; 9.726515e+06 + i -3.384336e+05 ; -5.365838e+07 + i 4.571366e+06 ; -2.475686e+08 + i 7.950415e+06 ; -2.589110e+07 + i 4.561564e+06 ; 4.140192e+08 + i -7.584274e+07 ; 
5.587078e+07 + i -8.422440e+06 ; -1.910173e+07 + i 4.916143e+06 ; 9.664565e+05 + i 5.060803e+04 ; 1.205419e+08 + i -2.319860e+07 ; -8.503650e+07 + i 1.022000e+07 ; -4.863806e+06 + i 7.350428e+05 ; -1.324567e+07 + i 5.898262e+05 ; -1.952475e+07 + i 5.579494e+06 ; 2.038821e+06 + i -2.719144e+05 ; -2.330877e+07 + i 2.124439e+06 ; -1.517661e+08 + i 2.621417e+07 ; 5.788705e+06 + i -3.021911e+05 ; 3.144660e+07 + i -5.702784e+06 ; -1.412618e+07 + i 3.793925e+06 ; -1.796656e+06 + i 8.596738e+05 ; 5.835998e+07 + i -1.224648e+07 ; -5.096568e+07 + i 9.221649e+06 ; -3.178611e+07 + i 6.807886e+06 ; -9.958699e+06 + i 7.862415e+05 ; -1.531406e+07 + i 4.308204e+06 ; 3.171271e+06 + i -5.132308e+05 ; -1.530485e+07 + i 1.778192e+06 ; -7.479864e+07 + i 1.594644e+07 ; 1.131416e+07 + i -1.187458e+06 ; -9.849007e+07 + i 9.535250e+06 ; 1.640893e+09 + i -2.857824e+08 ; -1.078043e+08 + i 9.868994e+06 ; -4.098105e+08 + i 7.551985e+07 ; -2.523098e+08 + i 8.461348e+06 ; -2.407338e+07 + i 4.421715e+06 ; 2.021859e+07 + i 2.157792e+05 ; -5.932332e+09 + i 5.989859e+08 ; 1.949102e+07 + i 6.067055e+05 ; 5.633058e+07 + i -5.652175e+06 ; -7.784154e+08 + i 1.325520e+08 ; 1.171283e+07 + i -5.642243e+05 ; -1.842869e+07 + i 3.809009e+06 ; -2.487176e+08 + i 8.388171e+06 ; -4.124073e+08 + i 7.565005e+07 ; -9.974694e+07 + i 2.348633e+07 ; -7.398755e+07 + i 1.975388e+07 ; -1.024900e+08 + i 2.371878e+07 ; 1.216119e+07 + i -8.267502e+05 ; -7.740489e+08 + i 1.322339e+08 ; 5.748849e+07 + i -5.074723e+06 ; 2.837077e+07 + i -3.670458e+06 ; -1.110710e+08 + i 3.748346e+07 ; 2.780973e+07 + i -3.481883e+06 ; 
9.919354e+06 + i -8.001337e+05 ; 3.343208e+06 + i -5.071297e+05 ; -1.527291e+07 + i 4.320950e+06 ; 1.515385e+07 + i -1.820973e+06 ; 1.191925e+07 + i -1.133208e+06 ; -7.477440e+07 + i 1.595799e+07 ; 1.317470e+07 + i -6.207411e+05 ; 2.153430e+06 + i -2.619349e+05 ; -1.946922e+07 + i 5.599354e+06 ; 2.302137e+07 + i -2.227560e+06 ; 6.101266e+06 + i -2.548181e+05 ; -1.517048e+08 + i 2.623758e+07 ; -3.145473e+07 + i 5.700797e+06 ; -1.914097e+06 + i 8.789612e+05 ; -1.417880e+07 + i 3.779091e+06 ; -5.846865e+07 + i 1.221456e+07 ; -3.352880e+07 + i 6.830991e+06 ; -5.100703e+07 + i 9.208199e+06 ; -5.592248e+07 + i 8.412453e+06 ; 9.817288e+05 + i 4.899442e+04 ; -1.919501e+07 + i 4.886555e+06 ; -1.206881e+08 + i 2.316153e+07 ; -5.182923e+06 + i 7.006763e+05 ; -8.516710e+07 + i 1.017766e+07 ; -1.230470e+07 + i 8.088497e+05 ; 6.044161e+07 + i -4.768408e+06 ; -7.744076e+08 + i 1.321457e+08 ; -2.856205e+07 + i 3.657299e+06 ; 2.927024e+07 + i -3.391801e+06 ; -1.111098e+08 + i 3.749294e+07 ; -2.024261e+07 + i -3.120179e+05 ; 2.045170e+07 + i 8.251652e+05 ; -5.932335e+09 + i 5.989864e+08 ; -5.750889e+07 + i 5.189428e+06 ; 1.229803e+07 + i -4.903451e+05 ; -7.784548e+08 + i 1.325334e+08 ; 1.826353e+07 + i -3.915275e+06 ; -4.344287e+08 + i 7.546586e+07 ; -2.487895e+08 + i 8.367017e+06 ; 9.970396e+07 + i -2.352841e+07 ; -1.079306e+08 + i 2.398269e+07 ; -7.397345e+07 + i 1.976016e+07 ; 9.966491e+07 + i -9.071427e+06 ; -1.133758e+08 + i 9.304311e+06 ; 1.640519e+09 + i -2.858573e+08 ; 4.097360e+08 + i -7.544127e+07 ; -2.513837e+07 + i 4.498916e+06 ; -2.522345e+08 + i 8.510941e+06 ; 
2.985058e+07 + i -6.630727e+06 ; 3.338708e+06 + i -1.090167e+06 ; 9.134197e+05 + i -3.923274e+04 ; 4.315356e+07 + i -1.112909e+07 ; 1.603269e+07 + i -4.373009e+06 ; 1.059041e+06 + i 2.311118e+05 ; 7.171677e+07 + i -7.791496e+06 ; -1.198338e+06 + i -6.843149e+04 ; 8.717275e+05 + i -2.318957e+03 ; 1.448441e+08 + i -1.905327e+07 ; -7.747107e+05 + i -6.240977e+05 ; 1.894684e+05 + i 4.849086e+05 ; 1.259690e+07 + i -4.389914e+06 ; 2.567490e+06 + i -8.613753e+05 ; -2.515932e+06 + i 8.352146e+05 ; 1.142446e+07 + i -5.457251e+06 ; 1.048222e+07 + i -3.021553e+06 ; -1.005512e+07 + i 2.958251e+06 ; 2.989793e+07 + i -6.620144e+06 ; -1.125440e+06 + i 3.605622e+03 ; -3.286656e+06 + i 1.054183e+06 ; 4.318910e+07 + i -1.113120e+07 ; -1.395859e+06 + i -2.987146e+05 ; -1.538337e+07 + i 4.289984e+06 ; -2.487190e+08 + i 7.706794e+06 ; 4.419538e+08 + i -7.518041e+07 ; -2.407961e+07 + i 4.409851e+06 ; -7.760198e+08 + i 1.323974e+08 ; -5.355000e+07 + i 5.868040e+06 ; 1.190730e+07 + i -5.542869e+05 ; 1.645532e+09 + i -2.862540e+08 ; 1.074311e+08 + i -1.033544e+07 ; -1.093641e+08 + i 9.728133e+06 ; -5.933472e+09 + i 5.993060e+08 ; -2.087904e+07 + i -9.407034e+05 ; 1.979743e+07 + i 6.799801e+05 ; -7.165335e+07 + i 1.924053e+07 ; 1.091794e+08 + i -2.387916e+07 ; -1.035116e+08 + i 2.371185e+07 ; -1.098458e+08 + i 3.727520e+07 ; -2.930656e+07 + i 3.344698e+06 ; 2.823630e+07 + i -3.476050e+06 ; -2.472713e+08 + i 7.975681e+06 ; 2.499320e+07 + i -4.360458e+06 ; -4.183939e+08 + i 7.568597e+07 ; -7.760986e+08 + i 1.323903e+08 ; -1.235948e+07 + i 4.683368e+05 ; 5.827608e+07 + i -4.965558e+06 ; 
3.049673e+07 + i -2.985348e+06 ; -7.130018e+06 + i 1.775559e+06 ; 7.217193e+05 + i -8.338465e+04 ; 5.983068e+07 + i -7.570981e+06 ; -1.934555e+07 + i 4.850117e+06 ; 1.263686e+06 + i -7.452128e+04 ; 5.815891e+05 + i -4.595835e+05 ; -7.852046e+06 + i 2.006455e+06 ; 1.000432e+06 + i -1.465328e+05 ; -3.212358e+05 + i -4.857552e+05 ; -1.950901e+07 + i 5.587761e+06 ; 2.725769e+06 + i -2.692817e+05 ; 2.115413e+07 + i -2.682068e+06 ; -5.914609e+06 + i 1.558701e+06 ; -2.539323e+05 + i 1.611845e+05 ; 3.728314e+07 + i -5.641890e+06 ; -1.424264e+07 + i 3.768464e+06 ; -3.441396e+06 + i 9.967563e+05 ; -6.191564e+05 + i -3.451479e+05 ; -6.433520e+06 + i 1.738671e+06 ; 1.334888e+06 + i -2.163771e+05 ; -2.349146e+06 + i -2.389742e+05 ; -1.529641e+07 + i 4.314977e+06 ; 4.209073e+06 + i -5.302710e+05 ; 4.472380e+08 + i -7.541969e+07 ; -2.537633e+08 + i 8.266780e+06 ; -2.434626e+07 + i 4.460994e+06 ; 1.103707e+08 + i -1.038199e+07 ; 1.635362e+09 + i -2.856759e+08 ; -1.096512e+08 + i 9.785788e+06 ; -5.260323e+07 + i 5.689137e+06 ; -7.782872e+08 + i 1.325802e+08 ; 1.172629e+07 + i -5.383377e+05 ; -1.989303e+07 + i -1.043442e+06 ; -5.938482e+09 + i 5.994594e+08 ; 1.972009e+07 + i 7.048390e+05 ; 1.132047e+08 + i -2.417127e+07 ; -7.416740e+07 + i 1.976414e+07 ; -1.040278e+08 + i 2.380596e+07 ; 2.707932e+07 + i -4.466729e+06 ; -2.531235e+08 + i 8.677168e+06 ; -4.189770e+08 + i 7.580133e+07 ; -2.827500e+07 + i 3.176281e+06 ; -1.111381e+08 + i 3.747047e+07 ; 2.805180e+07 + i -3.460451e+06 ; -1.155729e+07 + i 3.586312e+05 ; -7.793640e+08 + i 1.326807e+08 ; 5.823613e+07 + i -4.939216e+06 ; 
