2.439083e+07 + i 1.198262e+10 ; -1.352906e+09 + i -3.227570e+08 ; -1.333980e+09 + i -3.337475e+08 ; -5.119519e+09 + i -6.336211e+09 ; 1.039153e+09 + i -1.829578e+09 ; 1.065084e+09 + i -1.809226e+09 ; 1.939638e+09 + i 1.178721e+09 ; -4.137193e+08 + i 4.881614e+08 ; -1.114888e+09 + i 4.049268e+08 ; -2.557073e+09 + i 3.372512e+09 ; -2.687157e+09 + i -1.917892e+09 ; -5.407769e+08 + i -1.114785e+09 ; 1.939508e+09 + i 1.161682e+09 ; -1.124287e+09 + i 4.213060e+08 ; -4.331418e+08 + i 4.919129e+08 ; -2.549771e+09 + i 3.361594e+09 ; -5.832348e+08 + i -1.114825e+09 ; -2.694744e+09 + i -1.920323e+09 ; -4.818537e+08 + i 9.009928e+08 ; -4.609895e+08 + i 7.573792e+07 ; -4.785203e+08 + i 5.959168e+07 ; 1.816798e+09 + i 2.716609e+09 ; -1.234468e+09 + i -1.847464e+08 ; -1.247356e+09 + i -1.993127e+08 ; -2.517174e+08 + i -7.999917e+08 ; -2.971049e+08 + i -4.092104e+07 ; -2.912229e+08 + i -3.796630e+07 ; -1.559095e+08 + i -3.214365e+08 ; -1.833646e+08 + i 1.469951e+08 ; -1.796115e+08 + i 1.455815e+08 ; -8.400566e+08 + i -6.186876e+08 ; -3.834326e+08 + i 8.994555e+07 ; -3.094667e+08 + i 5.429139e+07 ; -4.119222e+08 + i -7.119262e+08 ; -1.951129e+08 + i 1.543406e+08 ; -1.599045e+08 + i 1.666661e+08 ; -8.356741e+08 + i -6.196140e+08 ; -3.162155e+08 + i 5.679675e+07 ; -3.872947e+08 + i 9.581796e+07 ; -4.032795e+08 + i -7.117190e+08 ; -1.617883e+08 + i 1.698854e+08 ; -1.950164e+08 + i 1.608125e+08 ; -9.973344e+08 + i -2.506855e+08 ; -3.365722e+08 + i 1.134384e+08 ; -3.414246e+08 + i 1.168800e+08 ; -8.944120e+08 + i -8.821662e+08 ; -1.908177e+08 + i 1.689460e+08 ; -1.952203e+08 + i 1.714766e+08 ; 
-7.068016e+08 + i -1.586547e+08 ; -6.483671e+08 + i -2.290851e+08 ; 1.695088e+09 + i 2.890659e+09 ; -4.235429e+08 + i -6.890551e+08 ; -1.277706e+09 + i -1.226705e+09 ; -2.509580e+09 + i 3.416006e+09 ; -1.352674e+09 + i -1.195329e+09 ; -3.938243e+08 + i -8.126176e+08 ; -2.596317e+09 + i 3.405255e+09 ; 9.446864e+08 + i -1.429091e+09 ; 1.007447e+09 + i -1.544177e+09 ; -4.895662e+09 + i -6.113690e+09 ; -9.681383e+07 + i 1.627243e+08 ; -4.573881e+07 + i 5.512994e+07 ; -7.250332e+08 + i 1.204563e+09 ; -7.082943e+08 + i 2.371146e+08 ; -4.932477e+08 + i 8.464682e+08 ; 1.751486e+09 + i 1.345285e+09 ; -5.455771e+08 + i 9.316885e+08 ; -7.049415e+08 + i 1.365418e+08 ; 1.680682e+09 + i 1.318661e+09 ; -7.271334e+08 + i -2.123658e+08 ; -7.251834e+08 + i -3.015491e+08 ; -5.219411e+07 + i 1.211152e+10 ; 3.689283e+08 + i 1.465125e+08 ; -2.227127e+08 + i -2.391096e+07 ; 4.837041e+08 + i 7.615095e+08 ; 2.040450e+08 + i 3.069714e+08 ; -8.189146e+07 + i 9.367065e+07 ; 5.114574e+08 + i 1.857086e+08 ; 4.962984e+08 + i 4.202384e+08 ; -9.183262e+07 + i -1.452385e+07 ; 6.218131e+07 + i 8.443282e+08 ; -2.115150e+07 + i 4.150905e+08 ; -7.600146e+07 + i 5.864247e+07 ; 5.056721e+08 + i 3.063983e+08 ; 1.903888e+08 + i -1.141860e+08 ; -7.470632e+07 + i 1.447598e+08 ; 3.951124e+08 + i 4.776562e+08 ; 3.564148e+08 + i -9.536622e+07 ; -4.356138e+07 + i 9.918245e+07 ; 4.685808e+08 + i 3.252291e+08 ; 1.826748e+08 + i -9.806160e+07 ; -1.833985e+08 + i 1.120034e+08 ; 5.214731e+08 + i 5.196123e+08 ; 3.172417e+08 + i -1.104601e+07 ; -6.310747e+07 + i 1.348870e+08 ; 3.923628e+08 + i 2.643220e+08 ; 
-2.359470e+08 + i -8.548081e+08 ; 4.244548e+08 + i 3.752019e+08 ; 4.175761e+08 + i 3.768472e+08 ; -1.168031e+09 + i -1.014286e+09 ; -2.072530e+08 + i 8.338201e+08 ; -2.121403e+08 + i 8.261320e+08 ; -8.455664e+08 + i -6.585864e+08 ; 3.682210e+08 + i 1.590134e+08 ; 4.231700e+08 + i 1.999579e+08 ; -9.927237e+08 + i -2.777194e+08 ; 7.979502e+08 + i 7.075366e+08 ; 1.283146e+08 + i 6.518008e+08 ; -8.392576e+08 + i -6.525385e+08 ; 4.315187e+08 + i 1.964981e+08 ; 3.790595e+08 + i 1.613711e+08 ; -9.806126e+08 + i -2.740656e+08 ; 1.414929e+08 + i 6.523583e+08 ; 8.046863e+08 + i 7.099681e+08 ; -9.906480e+08 + i -2.723854e+08 ; 3.500366e+08 + i 1.907437e+08 ; 3.553233e+08 + i 2.005916e+08 ; -8.884908e+08 + i -2.079518e+08 ; 4.984237e+08 + i 3.672663e+08 ; 5.022925e+08 + i 3.772650e+08 ; -4.772321e+07 + i 1.177436e+10 ; -1.155929e+09 + i -4.689976e+08 ; -1.140940e+09 + i -4.798261e+08 ; -5.103968e+09 + i -6.322483e+09 ; 1.108900e+09 + i -1.898796e+09 ; 1.131560e+09 + i -1.879560e+09 ; 1.789549e+09 + i 9.751622e+08 ; -3.757544e+08 + i 3.147291e+08 ; -1.008760e+09 + i 2.695210e+08 ; -2.571632e+09 + i 3.368094e+09 ; -2.679730e+09 + i -1.988908e+09 ; -5.106526e+08 + i -1.255224e+09 ; 1.788179e+09 + i 9.615260e+08 ; -1.016106e+09 + i 2.824419e+08 ; -3.944805e+08 + i 3.172247e+08 ; -2.563903e+09 + i 3.361041e+09 ; -5.510899e+08 + i -1.256238e+09 ; -2.688396e+09 + i -1.992471e+09 ; -6.936260e+08 + i 7.445688e+08 ; -3.814151e+08 + i -3.979028e+07 ; -3.967882e+08 + i -5.616406e+07 ; 1.807426e+09 + i 2.726563e+09 ; -1.171559e+09 + i -3.044913e+08 ; -1.182089e+09 + i -3.218602e+08 ; 
6.983097e+08 + i -2.120072e+08 ; 3.764444e+08 + i 1.976430e+08 ; -1.258832e+08 + i 2.246770e+08 ; 3.867937e+08 + i -4.729259e+08 ; 4.930226e+08 + i 4.687763e+08 ; -3.184399e+08 + i 1.728040e+08 ; 7.564650e+07 + i 5.894757e+08 ; 4.913741e+08 + i 3.120598e+08 ; -1.323635e+08 + i 8.445889e+07 ; 9.821498e+08 + i 5.049921e+08 ; 5.492676e+07 + i 8.310085e+08 ; -1.237044e+08 + i -7.264645e+07 ; 6.633525e+08 + i -4.437927e+08 ; 4.159763e+08 + i 2.603226e+08 ; -1.095224e+08 + i 1.795630e+08 ; 3.075253e+08 + i -4.264672e+08 ; 3.599625e+08 + i 4.179090e+08 ; -1.720059e+08 + i 2.295694e+08 ; 4.036551e+08 + i 3.424521e+08 ; 4.955395e+08 + i 1.949946e+08 ; -1.362919e+08 + i 1.632106e+08 ; 6.859476e+08 + i 4.196925e+07 ; 4.609721e+08 + i 7.511040e+08 ; -4.018491e+08 + i 3.753901e+06 ; -1.222278e+09 + i 5.014322e+06 ; -8.901043e+07 + i 1.216991e+10 ; -1.337395e+09 + i -2.942317e+08 ; -2.996665e+08 + i 7.146731e+08 ; 1.885438e+09 + i 1.396265e+09 ; -1.101652e+09 + i 3.890971e+08 ; 9.206612e+08 + i -1.599556e+09 ; -5.102044e+09 + i -6.119738e+09 ; 1.051069e+09 + i -1.816279e+09 ; -2.588564e+09 + i -1.942916e+09 ; -2.638916e+09 + i 3.596211e+09 ; -5.032282e+08 + i -1.120190e+09 ; -9.497425e+08 + i 5.809349e+08 ; 1.915207e+09 + i 1.319881e+09 ; -4.235003e+08 + i 5.089436e+08 ; -4.266183e+08 + i 2.923095e+08 ; -5.936096e+08 + i 1.012463e+09 ; -4.742387e+08 + i 4.774528e+07 ; -5.299935e+08 + i -9.548379e+08 ; -2.559648e+09 + i 3.619421e+09 ; -2.632940e+09 + i -1.933209e+09 ; -1.250700e+09 + i -1.260520e+08 ; 1.699655e+09 + i 2.998482e+09 ; -1.222932e+09 + i -2.408401e+08 ; 
6.949864e+08 + i -2.069851e+08 ; -1.276136e+08 + i 2.263985e+08 ; 3.611580e+08 + i 2.080997e+08 ; 3.841241e+08 + i -4.731466e+08 ; -3.211477e+08 + i 1.753895e+08 ; 5.007359e+08 + i 4.884356e+08 ; 6.593386e+08 + i -4.419086e+08 ; -1.072867e+08 + i 1.764638e+08 ; 4.032578e+08 + i 2.719934e+08 ; 3.069792e+08 + i -4.265962e+08 ; -1.698186e+08 + i 2.286693e+08 ; 3.653084e+08 + i 4.246807e+08 ; 6.341791e+07 + i 5.898249e+08 ; -1.321106e+08 + i 8.788267e+07 ; 5.082089e+08 + i 3.222549e+08 ; 9.746798e+08 + i 5.045120e+08 ; -1.231347e+08 + i -6.757371e+07 ; 7.521700e+07 + i 8.338300e+08 ; 3.979574e+08 + i 3.353558e+08 ; -1.316603e+08 + i 1.622766e+08 ; 5.075900e+08 + i 2.099735e+08 ; 6.866046e+08 + i 3.478745e+07 ; -3.983606e+08 + i 1.460530e+06 ; 4.695054e+08 + i 7.665696e+08 ; -1.218017e+09 + i -6.257980e+06 ; -1.335954e+09 + i -2.897795e+08 ; -4.344048e+07 + i 1.219918e+10 ; -2.993538e+08 + i 7.139056e+08 ; -1.100188e+09 + i 3.865054e+08 ; 1.934825e+09 + i 1.334973e+09 ; -9.403851e+08 + i 5.726535e+08 ; -4.174578e+08 + i 5.247768e+08 ; 2.020925e+09 + i 1.342516e+09 ; -4.253957e+08 + i 2.820337e+08 ; -4.578380e+08 + i 5.621504e+07 ; -5.728885e+08 + i 9.450321e+08 ; 9.379288e+08 + i -1.600128e+09 ; 1.051522e+09 + i -1.805758e+09 ; -5.091919e+09 + i -6.117127e+09 ; -2.577518e+09 + i -1.941164e+09 ; -5.108588e+08 + i -1.114160e+09 ; -2.668059e+09 + i 3.594971e+09 ; -5.187562e+08 + i -9.414195e+08 ; -2.632923e+09 + i -1.931296e+09 ; -2.585543e+09 + i 3.585869e+09 ; -1.254618e+09 + i -1.135272e+08 ; -1.219399e+09 + i -2.269053e+08 ; 1.663046e+09 + i 2.951070e+09 ; 
-1.318417e+08 + i -3.234537e+08 ; 1.534257e+08 + i -9.435070e+07 ; 1.519498e+08 + i -9.736430e+07 ; -2.575490e+08 + i -8.287541e+08 ; 2.362452e+08 + i 5.706474e+07 ; 2.275576e+08 + i 4.889365e+07 ; -4.018045e+08 + i -7.161887e+08 ; 1.660512e+08 + i -1.118943e+08 ; 1.405951e+08 + i -1.164338e+08 ; -8.512326e+08 + i -6.455050e+08 ; 3.126732e+08 + i -5.592275e+07 ; 2.466052e+08 + i -2.397968e+07 ; -3.969320e+08 + i -7.100845e+08 ; 1.425557e+08 + i -1.161039e+08 ; 1.640110e+08 + i -1.173393e+08 ; -8.489981e+08 + i -6.380069e+08 ; 2.539375e+08 + i -2.296104e+07 ; 3.098762e+08 + i -5.947504e+07 ; -9.087356e+08 + i -8.625825e+08 ; 1.651980e+08 + i -1.246069e+08 ; 1.654718e+08 + i -1.264056e+08 ; -9.980541e+08 + i -2.618201e+08 ; 2.713744e+08 + i -7.554499e+07 ; 2.733356e+08 + i -7.683170e+07 ; -5.086021e+09 + i -6.347692e+09 ; -9.052079e+08 + i 1.380155e+09 ; -9.253603e+08 + i 1.364785e+09 ; 2.167753e+07 + i 1.200873e+10 ; 1.031642e+09 + i 3.237387e+08 ; 1.019819e+09 + i 3.341664e+08 ; -2.540983e+09 + i 3.372569e+09 ; 2.017457e+09 + i 1.662162e+09 ; 3.650783e+08 + i 9.116465e+08 ; 1.917043e+09 + i 1.199919e+09 ; 3.448336e+08 + i -3.560167e+08 ; 8.888807e+08 + i -2.551787e+08 ; -2.535031e+09 + i 3.358184e+09 ; 4.026511e+08 + i 9.156626e+08 ; 2.027012e+09 + i 1.664782e+09 ; 1.910900e+09 + i 1.181234e+09 ; 8.960799e+08 + i -2.677269e+08 ; 3.633601e+08 + i -3.640523e+08 ; 1.863458e+09 + i 2.695471e+09 ; 9.719933e+08 + i 2.145370e+08 ; 9.805100e+08 + i 2.309032e+08 ; -5.412888e+08 + i 9.536734e+08 ; 3.628663e+08 + i -3.625570e+07 ; 3.825949e+08 + i -1.487268e+07 ; 
-3.834960e+07 + i 1.677129e+08 ; 3.506819e+08 + i 4.217576e+07 ; -2.455702e+07 + i 1.249194e+08 ; -5.741848e+06 + i 1.697344e+08 ; 3.766486e+08 + i 2.695790e+08 ; -1.068873e+08 + i 1.540492e+08 ; -1.490492e+08 + i 1.731855e+08 ; 3.803963e+08 + i 2.471546e+07 ; -2.547070e+07 + i 1.043694e+08 ; -6.999394e+07 + i 3.142825e+08 ; 5.272498e+08 + i 3.265509e+08 ; -1.015417e+08 + i 1.038620e+08 ; -6.643569e+06 + i 1.715174e+08 ; 3.896052e+08 + i 1.968755e+07 ; -2.232264e+07 + i 1.327607e+08 ; -8.035273e+05 + i 1.634257e+08 ; 4.528507e+08 + i 3.164336e+08 ; -9.963687e+07 + i 1.503665e+08 ; -1.057681e+08 + i 2.114951e+08 ; 3.722888e+08 + i 2.497785e+07 ; -3.498060e+07 + i 1.182989e+08 ; -1.315633e+07 + i 2.665597e+08 ; 5.253344e+08 + i 1.944134e+08 ; -1.236957e+08 + i 1.035500e+08 ; 1.672231e+08 + i -1.628384e+08 ; 1.845051e+09 + i 1.362839e+09 ; -9.025479e+08 + i 2.568057e+08 ; 5.536087e+08 + i 2.640565e+08 ; -1.882594e+08 + i 1.213923e+10 ; -1.032159e+09 + i -3.601224e+08 ; 1.095909e+09 + i 1.137070e+09 ; -2.643710e+09 + i 3.591265e+09 ; -3.569003e+08 + i -9.428462e+08 ; -7.008277e+08 + i 7.965251e+08 ; -5.236927e+09 + i -6.096641e+09 ; 9.580786e+08 + i -1.408865e+09 ; 1.469311e+08 + i 1.393855e+07 ; -6.395142e+08 + i 1.039527e+09 ; -3.792220e+08 + i 1.633546e+07 ; 5.083201e+08 + i -9.430413e+07 ; 1.775217e+09 + i 1.294685e+09 ; -3.675381e+08 + i 3.368615e+08 ; 5.049334e+08 + i 1.899922e+08 ; 1.690278e+09 + i 2.999473e+09 ; -9.563460e+08 + i -2.643071e+08 ; 1.332928e+08 + i 5.916398e+08 ; -2.702504e+09 + i 3.610642e+09 ; -1.997455e+09 + i -1.711772e+09 ; 
-3.892699e+07 + i 1.666476e+08 ; -2.461979e+07 + i 1.258038e+08 ; 3.531383e+08 + i 4.640792e+07 ; -5.568230e+06 + i 1.681383e+08 ; -1.083787e+08 + i 1.546731e+08 ; 3.869404e+08 + i 2.556177e+08 ; -7.951171e+06 + i 1.712669e+08 ; -2.288354e+07 + i 1.301114e+08 ; 3.887153e+08 + i 2.191787e+07 ; -2.143405e+06 + i 1.632376e+08 ; -9.949159e+07 + i 1.486491e+08 ; 4.521258e+08 + i 3.090865e+08 ; -1.484031e+08 + i 1.705134e+08 ; -2.422473e+07 + i 1.055624e+08 ; 3.906487e+08 + i 1.642789e+07 ; -6.866155e+07 + i 3.116417e+08 ; -1.009440e+08 + i 1.060645e+08 ; 5.334543e+08 + i 3.149610e+08 ; -1.057282e+08 + i 2.099944e+08 ; -3.332861e+07 + i 1.160563e+08 ; 3.790326e+08 + i 2.323701e+07 ; -1.112099e+07 + i 2.654249e+08 ; -1.216202e+08 + i 1.014454e+08 ; 5.310954e+08 + i 1.947394e+08 ; 1.687476e+08 + i -1.659568e+08 ; -9.037280e+08 + i 2.568160e+08 ; 1.899469e+09 + i 1.313737e+09 ; 5.502260e+08 + i 2.727591e+08 ; -1.031153e+09 + i -3.591297e+08 ; -1.641162e+08 + i 1.217675e+10 ; 1.500573e+08 + i 1.468476e+07 ; -3.651919e+08 + i 2.421008e+07 ; -6.189255e+08 + i 9.685398e+08 ; 5.039288e+08 + i -9.200114e+07 ; -3.583858e+08 + i 3.478025e+08 ; 1.861805e+09 + i 1.313602e+09 ; 1.094587e+09 + i 1.130563e+09 ; -3.630914e+08 + i -9.379256e+08 ; -2.654079e+09 + i 3.580988e+09 ; -7.083132e+08 + i 7.961400e+08 ; 9.570769e+08 + i -1.400818e+09 ; -5.210835e+09 + i -6.097007e+09 ; 5.110676e+08 + i 1.838577e+08 ; -9.524140e+08 + i -2.546454e+08 ; 1.660757e+09 + i 2.981266e+09 ; 1.290662e+08 + i 5.928642e+08 ; -1.994772e+09 + i -1.704737e+09 ; -2.729903e+09 + i 3.604871e+09 ; 
-8.367115e+08 + i -6.450974e+08 ; -2.578882e+08 + i 2.129132e+07 ; 3.354874e+08 + i 1.994470e+08 ; -9.997717e+08 + i -2.520700e+08 ; -4.242707e+08 + i -3.393058e+08 ; 4.905349e+07 + i 5.452258e+08 ; -2.606075e+08 + i -8.257686e+08 ; -2.974939e+08 + i -1.921345e+08 ; 3.107533e+08 + i 3.448577e+08 ; -1.190190e+09 + i -1.007958e+09 ; 6.333677e+07 + i -2.803096e+08 ; -2.505078e+08 + i 6.499220e+08 ; -9.904710e+08 + i -2.783779e+08 ; -1.795841e+08 + i -7.319980e+05 ; 2.755522e+08 + i 1.933582e+08 ; -8.926883e+08 + i -1.964735e+08 ; -2.734586e+08 + i -1.477492e+08 ; 3.816562e+08 + i 3.575090e+08 ; -8.477637e+08 + i -6.131476e+08 ; -2.730675e+08 + i -5.125525e+07 ; 2.985098e+08 + i 1.628027e+08 ; -9.933927e+08 + i -2.400481e+08 ; -7.547274e+07 + i -2.652769e+08 ; 5.969538e+08 + i 6.552701e+08 ; 1.783682e+09 + i 9.964732e+08 ; 6.508536e+08 + i -6.653328e+08 ; -8.700183e+08 + i 1.436452e+08 ; -2.457861e+09 + i 3.271869e+09 ; 8.852760e+08 + i 1.007877e+09 ; -2.919670e+08 + i -1.104088e+09 ; -1.166213e+08 + i 1.187741e+10 ; 9.596107e+08 + i 6.217937e+08 ; -9.236011e+08 + i -5.021159e+08 ; -4.978977e+09 + i -6.258363e+09 ; -1.216528e+09 + i 1.437565e+09 ; 1.122147e+09 + i -1.463797e+09 ; -6.420044e+08 + i 7.488685e+08 ; 1.866747e+08 + i 1.643853e+07 ; -3.372798e+08 + i -5.921243e+07 ; 1.765051e+09 + i 2.699882e+09 ; 3.914211e+08 + i 3.795556e+08 ; -9.308573e+08 + i -3.959414e+08 ; 1.891744e+09 + i 9.908102e+08 ; 7.482082e+08 + i -1.966867e+08 ; -3.597940e+08 + i 2.474456e+08 ; -2.548640e+09 + i 3.332559e+09 ; 1.499885e+08 + i 7.428448e+08 ; -1.977625e+09 + i -1.895894e+09 ; 
6.117281e+07 + i -6.043781e+08 ; 4.641835e+08 + i 3.066433e+08 ; 1.220505e+08 + i -5.735381e+07 ; -7.387072e+08 + i -5.551293e+08 ; 2.383020e+07 + i 8.716059e+08 ; 9.981506e+07 + i 6.859427e+07 ; -5.479517e+08 + i 1.241306e+08 ; 3.773134e+08 + i 2.906597e+08 ; 1.276910e+08 + i -1.727617e+08 ; -2.612413e+08 + i 3.190931e+08 ; 5.301884e+08 + i 5.437135e+08 ; 2.809786e+08 + i -1.107173e+08 ; -3.025070e+08 + i -4.138343e+08 ; 4.807442e+08 + i 2.043468e+08 ; 1.317633e+08 + i -1.236504e+08 ; -5.418963e+08 + i -1.322944e+08 ; 4.566125e+08 + i 7.833146e+08 ; 3.355035e+08 + i 3.210270e+07 ; -5.652295e+08 + i 3.116928e+08 ; 4.565657e+08 + i 3.403176e+08 ; 1.086702e+08 + i -1.385703e+08 ; -2.281359e+08 + i 3.207572e+08 ; 3.876114e+08 + i 4.679309e+08 ; 1.660531e+08 + i -1.735216e+08 ; -1.298487e+09 + i 1.854861e+09 ; -5.004536e+09 + i -6.033697e+09 ; -1.029244e+09 + i 1.379919e+09 ; 2.220331e+09 + i 1.796884e+09 ; -2.551454e+09 + i 3.433238e+09 ; 3.021524e+08 + i 9.811898e+08 ; 1.106299e+09 + i 2.154832e+08 ; -5.744198e+07 + i 1.214466e+10 ; 1.048911e+09 + i 3.843838e+08 ; 6.991629e+08 + i -1.044508e+09 ; 1.662022e+09 + i 1.283317e+09 ; 9.327288e+08 + i -2.017576e+08 ; 4.923140e+08 + i 9.647848e+08 ; -2.569896e+09 + i 3.544963e+09 ; 2.007458e+09 + i 1.841172e+09 ; 1.001912e+09 + i 2.806577e+08 ; 1.694891e+09 + i 2.879301e+09 ; 9.812051e+08 + i 3.251746e+08 ; 1.042553e+09 + i -5.320269e+08 ; 1.848233e+09 + i 1.343925e+09 ; 4.020926e+08 + i -3.738454e+08 ; 3.605781e+08 + i -2.744453e+08 ; -6.820302e+08 + i 1.129808e+09 ; 3.941007e+08 + i 1.593595e+07 ; 
6.322133e+08 + i -3.447894e+08 ; 6.667556e+07 + i -1.068331e+08 ; 4.141142e+08 + i 2.774746e+08 ; 3.102257e+08 + i -3.702693e+08 ; 1.166200e+08 + i -1.206736e+08 ; 3.757127e+08 + i 4.332799e+08 ; 6.327663e+08 + i -1.523720e+08 ; 1.007285e+08 + i -1.397057e+08 ; 3.662560e+08 + i 2.139416e+08 ; 3.837041e+08 + i -4.146392e+08 ; 1.936011e+08 + i -7.812798e+07 ; 5.072950e+08 + i 4.872619e+08 ; 3.287304e+08 + i 3.291520e+08 ; 1.154196e+08 + i -8.906426e+07 ; 5.117675e+08 + i 2.105704e+08 ; 6.219091e+08 + i 7.736646e+07 ; 2.460385e+08 + i 9.028480e+06 ; 4.735426e+08 + i 7.708724e+08 ; 2.246542e+07 + i 5.084488e+08 ; 1.272110e+08 + i -3.696437e+07 ; 5.107613e+08 + i 3.212777e+08 ; 8.506227e+08 + i 5.043227e+08 ; 1.093052e+08 + i 8.838899e+06 ; 7.724671e+07 + i 8.320047e+08 ; -8.690272e+08 + i 3.880087e+08 ; 3.015128e+08 + i -2.376757e+08 ; 1.979084e+09 + i 1.350842e+09 ; -3.710156e+08 + i 1.287625e+08 ; 2.095777e+08 + i 4.725526e+07 ; -6.171491e+08 + i 9.769131e+08 ; -1.059306e+09 + i -1.353359e+08 ; 7.258559e+08 + i 3.053655e+08 ; -7.018719e+07 + i 1.217692e+10 ; -3.374235e+08 + i 5.691979e+08 ; 6.487904e+08 + i -7.949785e+07 ; 1.921592e+09 + i 1.355878e+09 ; -2.980149e+08 + i -8.757947e+08 ; 1.257782e+09 + i 1.296252e+09 ; -2.558033e+09 + i 3.590963e+09 ; -1.053897e+09 + i -1.421673e+08 ; 5.323837e+08 + i 1.554192e+08 ; 1.663437e+09 + i 2.961120e+09 ; 9.375533e+08 + i -1.336744e+09 ; -6.826581e+08 + i 9.656872e+08 ; -5.065372e+09 + i -6.103997e+09 ; -2.175932e+09 + i -1.889951e+09 ; 5.906136e+07 + i 7.540584e+08 ; -2.643649e+09 + i 3.574253e+09 ; 
-3.933512e+08 + i -7.227482e+08 ; -1.592274e+07 + i 4.822898e+07 ; 1.458339e+08 + i -9.848048e+07 ; -8.429951e+08 + i -6.590421e+08 ; -1.062159e+08 + i -5.974181e+07 ; 2.379369e+08 + i 3.088023e+05 ; -1.484470e+08 + i -3.345209e+08 ; -5.787731e+07 + i 5.238469e+07 ; 1.533736e+08 + i -7.722223e+07 ; -2.383831e+08 + i -8.481657e+08 ; -3.615180e+07 + i -6.527498e+07 ; 2.098889e+08 + i 6.972123e+07 ; -8.997373e+08 + i -8.833161e+08 ; -3.587025e+07 + i 1.493711e+07 ; 1.708117e+08 + i -1.047096e+08 ; -9.892170e+08 + i -2.848869e+08 ; -1.211673e+08 + i -3.113788e+07 ; 2.685847e+08 + i -4.632388e+07 ; -4.101801e+08 + i -6.906657e+08 ; -4.697656e+07 + i 3.556386e+07 ; 1.670446e+08 + i -9.501645e+07 ; -8.461231e+08 + i -6.378962e+08 ; -9.396264e+07 + i -4.186531e+07 ; 2.998178e+08 + i -2.526144e+07 ; -2.472705e+09 + i 3.278828e+09 ; -1.293054e+09 + i -1.256801e+09 ; 2.635785e+08 + i 9.015210e+08 ; 1.908107e+09 + i 1.187094e+09 ; -6.987269e+08 + i 8.551004e+08 ; 8.842334e+08 + i -1.529174e+08 ; -4.966023e+09 + i -6.270916e+09 ; 1.156130e+09 + i -1.448574e+09 ; -1.026720e+09 + i 1.203105e+09 ; -1.244068e+07 + i 1.202131e+10 ; -6.719660e+08 + i -2.476992e+08 ; 9.356766e+08 + i 4.179226e+08 ; 1.811346e+09 + i 2.664267e+09 ; -5.085546e+08 + i -2.765786e+08 ; 9.053564e+08 + i 3.212570e+08 ; -4.928747e+08 + i 9.604267e+08 ; -1.573154e+08 + i 1.538275e+08 ; 3.720847e+08 + i 2.511109e+07 ; -2.505967e+09 + i 3.315716e+09 ; -2.803278e+08 + i -7.333533e+08 ; 1.755926e+09 + i 1.792530e+09 ; 1.958114e+09 + i 1.180704e+09 ; -7.634348e+08 + i 2.446169e+08 ; 3.839214e+08 + i -3.048588e+08 ; 
9.312708e+07 + i -1.683402e+08 ; 3.716754e+08 + i 1.385416e+07 ; 3.566292e+07 + i -9.734520e+07 ; -1.176851e+07 + i -2.804922e+08 ; 5.312274e+08 + i 3.160261e+08 ; 1.086427e+08 + i -8.888496e+07 ; -7.298742e+06 + i -1.912845e+08 ; 3.880306e+08 + i 4.259785e+07 ; 3.696997e+07 + i -1.154739e+08 ; -1.001416e+08 + i -1.843909e+08 ; 3.929237e+08 + i 2.464982e+08 ; 1.182056e+08 + i -1.342682e+08 ; 5.215450e+07 + i -1.750729e+08 ; 3.565476e+08 + i 9.517986e+06 ; 4.648176e+07 + i -1.097170e+08 ; -3.109944e+07 + i -2.351802e+08 ; 5.225471e+08 + i 1.835314e+08 ; 1.298881e+08 + i -8.628460e+07 ; -5.291401e+07 + i -1.631935e+08 ; 4.169714e+08 + i -1.460374e+06 ; 3.559183e+07 + i -1.235933e+08 ; -7.411445e+07 + i -1.434534e+08 ; 4.520916e+08 + i 2.978956e+08 ; 1.111505e+08 + i -1.323895e+08 ; -1.240270e+09 + i -1.296043e+09 ; -2.587420e+09 + i 3.508402e+09 ; 2.454373e+08 + i 9.369606e+08 ; 1.183026e+09 + i -1.495167e+09 ; -5.158578e+09 + i -6.048855e+09 ; -1.060134e+09 + i 1.252636e+09 ; -5.993193e+08 + i 7.321553e+08 ; 1.673712e+09 + i 1.290123e+09 ; 8.811886e+08 + i -1.458332e+08 ; -6.088811e+08 + i -2.792087e+08 ; -1.707897e+08 + i 1.213515e+10 ; 9.369239e+08 + i 4.528549e+08 ; -4.414702e+08 + i -3.426906e+08 ; 1.716487e+09 + i 2.921660e+09 ; 8.866846e+08 + i 3.495341e+08 ; -2.266495e+08 + i -7.835115e+08 ; -2.693206e+09 + i 3.558655e+09 ; 1.737270e+09 + i 1.836368e+09 ; -1.120364e+08 + i 6.922923e+07 ; -7.006664e+08 + i 1.157765e+09 ; 3.635015e+08 + i 2.682583e+07 ; -6.999650e+08 + i 2.027514e+08 ; 1.717425e+09 + i 1.332011e+09 ; 3.885194e+08 + i -2.878705e+08 ; 
