-7.600953e+09 + i 1.437948e+10 ; -3.419512e+07 + i 1.274955e+08 ; -3.405072e+07 + i 1.275454e+08 ; -1.344160e+09 + i -3.199671e+09 ; -6.274635e+07 + i -3.523852e+08 ; -6.291976e+07 + i -3.522804e+08 ; 4.647615e+08 + i 1.605758e+09 ; 1.762246e+07 + i 1.954024e+08 ; 3.058338e+07 + i 5.089526e+07 ; -1.111292e+08 + i 1.132131e+09 ; -3.981411e+08 + i -6.744122e+08 ; -6.550426e+07 + i -1.932819e+07 ; 4.649503e+08 + i 1.605664e+09 ; 3.023782e+07 + i 5.071460e+07 ; 1.744782e+07 + i 1.953843e+08 ; -1.106805e+08 + i 1.132180e+09 ; -6.471138e+07 + i -1.980065e+07 ; -3.981171e+08 + i -6.744137e+08 ; 4.150749e+08 + i -1.439296e+08 ; 5.138180e+07 + i 6.942751e+07 ; 5.168652e+07 + i 6.924971e+07 ; 3.991758e+08 + i -7.897867e+07 ; -1.452542e+08 + i -7.441497e+07 ; -1.452736e+08 + i -7.457582e+07 ; -4.475964e+07 + i -3.956996e+08 ; -7.277467e+06 + i 1.305420e+07 ; -7.256086e+06 + i 1.306805e+07 ; 1.522355e+07 + i -2.314954e+08 ; 2.767268e+06 + i 3.900466e+06 ; 2.775800e+06 + i 3.897705e+06 ; -1.219273e+08 + i -5.684550e+06 ; -2.331659e+07 + i 2.341394e+06 ; 6.562600e+04 + i 1.149492e+07 ; -8.883235e+07 + i -2.520845e+07 ; -1.219460e+06 + i 1.084636e+06 ; 2.525871e+06 + i 2.456046e+06 ; -1.217948e+08 + i -5.737672e+06 ; 1.112569e+05 + i 1.140593e+07 ; -2.330425e+07 + i 2.348180e+06 ; -8.875355e+07 + i -2.520478e+07 ; 2.514053e+06 + i 2.445187e+06 ; -1.220055e+06 + i 1.086237e+06 ; -6.079424e+04 + i 6.665635e+07 ; -1.106720e+07 + i 3.603470e+06 ; -1.109476e+07 + i 3.630054e+06 ; -1.313681e+07 + i 4.651646e+07 ; -7.913146e+05 + i 1.906193e+05 ; -7.876952e+05 + i 1.949760e+05 ; 
-1.602591e+08 + i -1.200156e+08 ; -1.612189e+08 + i -1.315238e+08 ; 4.171849e+08 + i -7.482944e+07 ; -5.928309e+07 + i -9.433240e+06 ; -2.894766e+08 + i -9.467742e+08 ; -1.162069e+08 + i 1.142853e+09 ; -2.927619e+08 + i -9.314036e+08 ; -6.125330e+07 + i -2.798355e+07 ; -1.169532e+08 + i 1.160538e+09 ; -7.004192e+07 + i -3.463899e+08 ; -7.002776e+07 + i -3.753133e+08 ; -1.365473e+09 + i -3.172854e+09 ; 1.687076e+07 + i 9.496472e+07 ; 1.251566e+07 + i 9.745237e+07 ; 4.233727e+08 + i -1.444437e+08 ; 3.096093e+07 + i 6.300920e+07 ; 5.667519e+07 + i 1.722598e+08 ; 4.695593e+08 + i 1.594392e+09 ; 6.246734e+07 + i 1.723992e+08 ; 2.591478e+07 + i 6.819798e+07 ; 4.703101e+08 + i 1.613328e+09 ; -6.331849e+07 + i 1.430756e+08 ; -7.210277e+07 + i 1.458835e+08 ; -7.609454e+09 + i 1.437803e+10 ; 6.012033e+07 + i 1.015530e+08 ; -2.935744e+07 + i -5.521337e+07 ; 9.032214e+07 + i 7.909158e+07 ; 3.351248e+07 + i 6.817263e+07 ; -5.488354e+06 + i 5.050243e+06 ; 1.620258e+07 + i -7.408102e+06 ; 1.113462e+08 + i 2.485242e+08 ; -3.610892e+05 + i -1.609642e+07 ; 4.099748e+07 + i 2.424505e+08 ; 3.626873e+07 + i 1.606436e+08 ; -2.766925e+06 + i 6.428515e+06 ; 4.671399e+07 + i -2.031492e+05 ; -1.711526e+07 + i -5.617096e+07 ; 1.049945e+06 + i 4.301267e+07 ; 1.118685e+08 + i 8.902024e+07 ; -9.067926e+06 + i -4.752762e+07 ; 7.156833e+06 + i 7.641954e+06 ; 1.589144e+07 + i -7.162181e+06 ; 1.314610e+07 + i -1.071815e+08 ; -5.085343e+06 + i 3.062292e+07 ; 1.090736e+08 + i 3.020284e+08 ; 2.178452e+07 + i -7.788180e+07 ; 5.641182e+06 + i 6.253390e+06 ; 4.474883e+07 + i -5.203020e+06 ; 
-4.212350e+07 + i -3.946558e+08 ; 1.404097e+07 + i -1.690176e+07 ; 1.403455e+07 + i -1.690666e+07 ; -2.108204e+08 + i -6.539954e+08 ; 2.934468e+07 + i 9.250900e+07 ; 2.941651e+07 + i 9.250216e+07 ; -1.213539e+08 + i -6.095689e+06 ; 2.187128e+07 + i -1.487816e+07 ; 5.317312e+05 + i -1.004600e+07 ; -1.521168e+08 + i 2.738907e+07 ; 1.262317e+08 + i 1.825950e+08 ; 2.600912e+07 + i 2.518799e+07 ; -1.213028e+08 + i -6.069410e+06 ; 6.223173e+05 + i -9.987488e+06 ; 2.192042e+07 + i -1.486519e+07 ; -1.520122e+08 + i 2.748134e+07 ; 2.585240e+07 + i 2.530900e+07 ; 1.262044e+08 + i 1.826064e+08 ; -1.464526e+05 + i 6.663754e+07 ; 7.641171e+06 + i -5.827705e+06 ; 7.539777e+06 + i -5.747859e+06 ; 2.340339e+07 + i 9.327474e+07 ; 7.093366e+07 + i 6.109606e+07 ; 7.089395e+07 + i 6.115129e+07 ; -7.606303e+09 + i 1.432893e+10 ; -3.815993e+07 + i 1.194956e+08 ; -3.802105e+07 + i 1.195513e+08 ; -1.344319e+09 + i -3.200219e+09 ; -6.346159e+07 + i -3.588710e+08 ; -6.363399e+07 + i -3.587534e+08 ; 4.499500e+08 + i 1.596696e+09 ; 1.180034e+07 + i 1.873288e+08 ; 2.858030e+07 + i 4.263752e+07 ; -1.111380e+08 + i 1.133037e+09 ; -3.992659e+08 + i -6.798674e+08 ; -6.913664e+07 + i -1.920043e+07 ; 4.501546e+08 + i 1.596572e+09 ; 2.825238e+07 + i 4.245840e+07 ; 1.162532e+07 + i 1.873013e+08 ; -1.106960e+08 + i 1.133096e+09 ; -6.830635e+07 + i -1.966458e+07 ; -3.992451e+08 + i -6.798704e+08 ; 4.093751e+08 + i -1.364227e+08 ; 4.789756e+07 + i 5.910168e+07 ; 4.823388e+07 + i 5.892354e+07 ; 3.995426e+08 + i -7.882683e+07 ; -1.492143e+08 + i -7.496894e+07 ; -1.492241e+08 + i -7.513980e+07 ; 
-4.597142e+06 + i -5.846382e+07 ; 4.707243e+07 + i -5.061808e+06 ; 6.258247e+06 + i 3.033359e+06 ; -2.052156e+07 + i -7.250168e+07 ; 1.091144e+08 + i 3.028504e+08 ; 3.944178e+06 + i 2.460316e+07 ; 5.801265e+07 + i 1.208338e+08 ; 4.639455e+07 + i 7.632297e+05 ; -7.590587e+05 + i 6.498657e+06 ; 1.321232e+08 + i 1.762995e+08 ; 3.574028e+07 + i 2.467692e+08 ; -7.915161e+06 + i -8.529490e+06 ; -1.541418e+07 + i -3.207060e+07 ; 1.681669e+07 + i -8.085682e+06 ; 7.456565e+06 + i 3.767074e+06 ; -2.269374e+07 + i -3.603701e+07 ; 1.129782e+08 + i 8.866120e+07 ; 1.125330e+07 + i 3.336052e+07 ; 4.016708e+07 + i 4.637940e+07 ; 1.570924e+07 + i -6.907170e+06 ; -3.114428e+06 + i 5.779923e+06 ; 6.692551e+07 + i 6.660114e+07 ; 8.980464e+07 + i 7.985203e+07 ; -3.687695e+07 + i -3.423933e+07 ; -2.998881e+07 + i 1.214033e+08 ; -7.609844e+09 + i 1.437810e+10 ; -3.297891e+07 + i 1.265308e+08 ; 1.933936e+07 + i 1.908593e+08 ; 4.674099e+08 + i 1.616925e+09 ; 2.984364e+07 + i 5.119412e+07 ; -5.565955e+07 + i -3.266864e+08 ; -1.352516e+09 + i -3.179794e+09 ; -6.363847e+07 + i -3.513098e+08 ; -3.980815e+08 + i -6.658179e+08 ; -1.007475e+08 + i 1.146024e+09 ; -6.582318e+07 + i -1.997124e+07 ; 3.176728e+07 + i 4.705547e+07 ; 4.687025e+08 + i 1.597895e+09 ; 1.852803e+07 + i 1.942195e+08 ; 5.312068e+07 + i 6.829009e+07 ; 4.218159e+08 + i -1.445413e+08 ; 5.113544e+07 + i 6.957095e+07 ; -5.922849e+07 + i -4.915177e+06 ; -1.004028e+08 + i 1.130407e+09 ; -3.991652e+08 + i -6.750970e+08 ; -1.438483e+08 + i -6.610793e+07 ; 4.082538e+08 + i -8.252240e+07 ; -1.460571e+08 + i -7.555754e+07 ; 
-4.595674e+06 + i -5.850199e+07 ; 6.263583e+06 + i 3.035896e+06 ; 4.711056e+07 + i -5.170709e+06 ; -2.049143e+07 + i -7.252224e+07 ; 3.954792e+06 + i 2.461441e+07 ; 1.092377e+08 + i 3.027908e+08 ; -1.545550e+07 + i -3.206438e+07 ; 7.463555e+06 + i 3.765545e+06 ; 1.684772e+07 + i -8.186904e+06 ; -2.273668e+07 + i -3.598947e+07 ; 1.122795e+07 + i 3.337097e+07 ; 1.132076e+08 + i 8.879847e+07 ; 5.795248e+07 + i 1.208433e+08 ; -7.580007e+05 + i 6.523311e+06 ; 4.646573e+07 + i 8.037117e+05 ; 1.320840e+08 + i 1.763146e+08 ; -7.966187e+06 + i -8.495197e+06 ; 3.567625e+07 + i 2.468870e+08 ; 4.025203e+07 + i 4.622943e+07 ; -3.080038e+06 + i 5.775926e+06 ; 1.567704e+07 + i -6.903155e+06 ; 6.696421e+07 + i 6.653820e+07 ; -3.687004e+07 + i -3.425882e+07 ; 8.992031e+07 + i 7.987300e+07 ; -2.997110e+07 + i 1.215034e+08 ; -3.295421e+07 + i 1.265444e+08 ; -7.610902e+09 + i 1.437833e+10 ; 1.924588e+07 + i 1.908240e+08 ; 2.987629e+07 + i 5.120775e+07 ; 4.679658e+08 + i 1.617076e+09 ; 3.195693e+07 + i 4.708370e+07 ; 1.818193e+07 + i 1.943149e+08 ; 4.657280e+08 + i 1.598895e+09 ; 5.346282e+07 + i 6.811317e+07 ; 5.106732e+07 + i 6.967173e+07 ; 4.231494e+08 + i -1.435646e+08 ; -5.548789e+07 + i -3.266676e+08 ; -6.384036e+07 + i -3.512807e+08 ; -1.353886e+09 + i -3.178948e+09 ; -3.979687e+08 + i -6.658530e+08 ; -6.595232e+07 + i -1.983557e+07 ; -1.008679e+08 + i 1.146487e+09 ; -5.960987e+07 + i -4.474528e+06 ; -3.992404e+08 + i -6.751705e+08 ; -1.010303e+08 + i 1.129797e+09 ; -1.440634e+08 + i -6.594372e+07 ; -1.461021e+08 + i -7.549053e+07 ; 4.083733e+08 + i -8.206258e+07 ; 
1.624546e+07 + i -2.302045e+08 ; -3.009796e+06 + i -4.307402e+06 ; -3.018485e+06 + i -4.298005e+06 ; -4.283337e+07 + i -3.962282e+08 ; 8.266367e+06 + i -1.379351e+07 ; 8.277181e+06 + i -1.379543e+07 ; -8.850903e+07 + i -2.532745e+07 ; 1.285778e+06 + i -1.103059e+06 ; -2.747435e+06 + i -2.672717e+06 ; -1.220005e+08 + i -6.785034e+06 ; 2.463017e+07 + i -1.839406e+06 ; 3.427994e+05 + i -1.221005e+07 ; -8.844292e+07 + i -2.531422e+07 ; -2.729398e+06 + i -2.668277e+06 ; 1.289512e+06 + i -1.107056e+06 ; -1.218668e+08 + i -6.741922e+06 ; 3.204218e+05 + i -1.214511e+07 ; 2.460844e+07 + i -1.841538e+06 ; -1.328781e+07 + i 4.654027e+07 ; 8.207833e+05 + i -1.825267e+05 ; 8.161217e+05 + i -1.695386e+05 ; -8.712972e+05 + i 6.640057e+07 ; 1.177908e+07 + i -3.544664e+06 ; 1.174366e+07 + i -3.540031e+06 ; -1.334753e+09 + i -3.199668e+09 ; 5.357179e+07 + i 3.684102e+08 ; 5.392093e+07 + i 3.683090e+08 ; -7.607493e+09 + i 1.437783e+10 ; 3.672110e+07 + i -1.310629e+08 ; 3.663469e+07 + i -1.311397e+08 ; -1.087147e+08 + i 1.131056e+09 ; 3.956062e+08 + i 7.138796e+08 ; 6.721686e+07 + i 2.230211e+07 ; 4.620579e+08 + i 1.606330e+09 ; -1.212226e+07 + i -2.036357e+08 ; -3.089495e+07 + i -5.315009e+07 ; -1.085891e+08 + i 1.131068e+09 ; 6.658823e+07 + i 2.268402e+07 ; 3.955724e+08 + i 7.138897e+08 ; 4.626817e+08 + i 1.606134e+09 ; -3.062804e+07 + i -5.302956e+07 ; -1.204789e+07 + i -2.036252e+08 ; 3.994203e+08 + i -8.037308e+07 ; 1.492735e+08 + i 8.167061e+07 ; 1.492032e+08 + i 8.176039e+07 ; 4.145739e+08 + i -1.424788e+08 ; -5.147072e+07 + i -7.373875e+07 ; -5.153010e+07 + i -7.367210e+07 ; 
1.929495e+07 + i -1.205347e+07 ; 3.745773e+06 + i 2.519373e+06 ; 1.758653e+06 + i 1.431843e+06 ; 2.132728e+07 + i -2.050692e+07 ; 4.328642e+07 + i -5.279269e+06 ; 3.807440e+06 + i 7.201959e+06 ; 1.305149e+06 + i 1.014478e+08 ; 4.382185e+06 + i 2.155288e+06 ; 8.161395e+05 + i 1.362934e+06 ; 2.538534e+07 + i 1.629772e+08 ; 4.714188e+07 + i 8.188632e+05 ; 2.111252e+06 + i 4.820796e+06 ; 9.235760e+06 + i -1.928749e+07 ; 4.057289e+06 + i 4.361018e+06 ; 2.262680e+06 + i 1.695530e+06 ; 7.656111e+06 + i -2.760006e+07 ; 1.558544e+07 + i -6.919382e+06 ; 5.860361e+06 + i 9.188186e+06 ; 2.205617e+07 + i 5.759943e+07 ; 4.226188e+06 + i 3.699501e+06 ; 6.555752e+04 + i 7.739655e+05 ; 4.028863e+07 + i 8.261676e+07 ; 1.623255e+07 + i -7.117537e+06 ; -2.400252e+06 + i 1.995465e+05 ; 1.664477e+07 + i -2.308244e+08 ; 4.560436e+08 + i 1.617974e+09 ; 3.026032e+07 + i 5.372314e+07 ; 6.129082e+07 + i -1.419529e+08 ; -7.617232e+09 + i 1.440220e+10 ; -3.914357e+07 + i 1.320883e+08 ; 3.609120e+08 + i 8.763205e+08 ; -9.946793e+07 + i 1.146897e+09 ; -7.062179e+07 + i -2.167530e+07 ; 1.459677e+07 + i 4.367893e+08 ; -1.352018e+09 + i -3.155223e+09 ; -5.700793e+07 + i -3.683404e+08 ; -4.471749e+07 + i -8.978075e+07 ; 4.234941e+08 + i -1.417363e+08 ; 5.196889e+07 + i 7.311075e+07 ; -2.471650e+07 + i -6.289527e+07 ; 4.741778e+08 + i 1.620236e+09 ; 1.237600e+07 + i 2.039867e+08 ; 1.621438e+08 + i 1.247352e+08 ; 4.076186e+08 + i -8.259657e+07 ; -1.502606e+08 + i -8.218443e+07 ; 7.402790e+07 + i 4.228203e+07 ; -9.716218e+07 + i 1.149492e+09 ; -3.965671e+08 + i -7.135946e+08 ; 
1.929928e+07 + i -1.206695e+07 ; 1.760350e+06 + i 1.437234e+06 ; 3.785441e+06 + i 2.593353e+06 ; 2.135498e+07 + i -2.046595e+07 ; 3.812060e+06 + i 7.208890e+06 ; 4.338932e+07 + i -5.190524e+06 ; 9.174745e+06 + i -1.931847e+07 ; 2.263643e+06 + i 1.697054e+06 ; 3.934804e+06 + i 4.408654e+06 ; 7.536694e+06 + i -2.758639e+07 ; 5.863027e+06 + i 9.196732e+06 ; 1.539751e+07 + i -6.873565e+06 ; 1.271144e+06 + i 1.014197e+08 ; 8.112097e+05 + i 1.367733e+06 ; 4.401650e+06 + i 2.176134e+06 ; 2.535101e+07 + i 1.629824e+08 ; 2.086936e+06 + i 4.833014e+06 ; 4.712991e+07 + i 8.820728e+05 ; 2.219663e+07 + i 5.755638e+07 ; 7.029522e+04 + i 7.731344e+05 ; 4.182000e+06 + i 3.775631e+06 ; 4.038733e+07 + i 8.263634e+07 ; -2.398037e+06 + i 1.981198e+05 ; 1.609472e+07 + i -7.086472e+06 ; 1.671861e+07 + i -2.308419e+08 ; 3.030902e+07 + i 5.373278e+07 ; 4.570247e+08 + i 1.618105e+09 ; 6.131397e+07 + i -1.419300e+08 ; -3.910553e+07 + i 1.321370e+08 ; -7.617597e+09 + i 1.440262e+10 ; -4.495337e+07 + i -8.975210e+07 ; 5.188871e+07 + i 7.319659e+07 ; 4.250047e+08 + i -1.403488e+08 ; -2.501280e+07 + i -6.291461e+07 ; 1.201802e+07 + i 2.040685e+08 ; 4.701822e+08 + i 1.621519e+09 ; 3.607837e+08 + i 8.762587e+08 ; -7.071413e+07 + i -2.148995e+07 ; -9.995447e+07 + i 1.147225e+09 ; 1.445001e+07 + i 4.367762e+08 ; -5.729012e+07 + i -3.683556e+08 ; -1.353503e+09 + i -3.154436e+09 ; 1.625144e+08 + i 1.246002e+08 ; -1.501944e+08 + i -8.206267e+07 ; 4.090817e+08 + i -8.241302e+07 ; 7.428625e+07 + i 4.212851e+07 ; -3.966863e+08 + i -7.137190e+08 ; -9.795078e+07 + i 1.148514e+09 ; 
-1.235880e+08 + i -6.031732e+06 ; -2.893272e+07 + i 1.319140e+07 ; 9.411132e+05 + i -1.050956e+07 ; -1.499631e+08 + i 2.682572e+07 ; -1.178465e+08 + i -2.354993e+08 ; 2.675244e+07 + i 2.708629e+07 ; -4.338007e+07 + i -3.954769e+08 ; -1.680850e+07 + i 1.526555e+07 ; 1.498713e+07 + i -1.707610e+07 ; -2.092534e+08 + i -6.538465e+08 ; -1.497036e+07 + i -1.179766e+08 ; 2.793601e+07 + i 9.754675e+07 ; -9.237018e+05 + i 6.735879e+07 ; -1.024569e+07 + i 5.554640e+06 ; 7.989635e+06 + i -5.740838e+06 ; 2.325484e+07 + i 9.292887e+07 ; -7.286871e+07 + i -8.376409e+07 ; 7.202148e+07 + i 6.584412e+07 ; -1.214775e+08 + i -5.725709e+06 ; -2.143579e+06 + i 1.045141e+07 ; 2.324986e+07 + i -1.482494e+07 ; -1.513863e+08 + i 2.741842e+07 ; -2.539306e+07 + i -3.590494e+07 ; 1.262603e+08 + i 1.938275e+08 ; 4.398766e+08 + i 1.596494e+09 ; -1.014146e+07 + i -1.964109e+08 ; 2.875085e+07 + i 4.525619e+07 ; -1.129450e+08 + i 1.137140e+09 ; 3.783343e+08 + i 8.532608e+08 ; -7.368644e+07 + i -2.076482e+07 ; -7.616603e+09 + i 1.432791e+10 ; 4.337829e+07 + i -1.262783e+08 ; -4.226648e+07 + i 1.230393e+08 ; -1.347582e+09 + i -3.196967e+09 ; 4.398413e+07 + i 4.056279e+08 ; -5.698058e+07 + i -3.746632e+08 ; 4.103955e+08 + i -1.330668e+08 ; -4.383071e+07 + i -7.377868e+07 ; 4.927209e+07 + i 6.188162e+07 ; 3.987502e+08 + i -7.788694e+07 ; 1.614569e+08 + i 1.077540e+08 ; -1.531845e+08 + i -8.228846e+07 ; 4.523470e+08 + i 1.599114e+09 ; -2.539849e+07 + i -4.986441e+07 ; 7.342990e+06 + i 1.943812e+08 ; -1.092029e+08 + i 1.133031e+09 ; 7.414947e+07 + i 3.040055e+07 ; -3.971365e+08 + i -7.187397e+08 ; 
-5.552042e+07 + i -1.257708e+08 ; 4.945903e+07 + i -3.279111e+04 ; 9.369290e+05 + i -6.692781e+06 ; -1.328607e+08 + i -1.843686e+08 ; 3.934298e+07 + i 2.453600e+08 ; 7.800614e+06 + i 9.188302e+06 ; 9.931219e+05 + i 6.215582e+07 ; 4.452151e+07 + i -4.911120e+06 ; -6.413697e+06 + i -3.282428e+06 ; 1.249639e+07 + i 8.090559e+07 ; 1.060379e+08 + i 3.031742e+08 ; -3.661611e+06 + i -2.562305e+07 ; -3.971421e+07 + i -4.917753e+07 ; 1.691038e+07 + i -8.015475e+06 ; 3.437356e+06 + i -5.926284e+06 ; -6.793989e+07 + i -7.027008e+07 ; 9.096418e+07 + i 7.876801e+07 ; 3.759768e+07 + i 3.676094e+07 ; 1.470807e+07 + i 3.474498e+07 ; 1.569086e+07 + i -7.270348e+06 ; -7.605302e+06 + i -4.147866e+06 ; 2.052545e+07 + i 4.084083e+07 ; 1.117092e+08 + i 8.941167e+07 ; -1.063800e+07 + i -3.506661e+07 ; 7.165476e+07 + i 3.184730e+08 ; -1.343558e+09 + i -3.179938e+09 ; 5.461218e+07 + i 3.686313e+08 ; 4.013745e+08 + i 7.049415e+08 ; -1.012614e+08 + i 1.149143e+09 ; 6.798607e+07 + i 2.282730e+07 ; 2.272722e+07 + i -1.246856e+08 ; -7.616957e+09 + i 1.437669e+10 ; 3.600874e+07 + i -1.306579e+08 ; -4.013134e+07 + i -1.759269e+08 ; 4.676063e+08 + i 1.615772e+09 ; -3.056720e+07 + i -5.350321e+07 ; 5.895184e+07 + i 4.745053e+06 ; -9.723762e+07 + i 1.128526e+09 ; 3.970485e+08 + i 7.151491e+08 ; 1.464771e+08 + i 7.074270e+07 ; 4.092509e+08 + i -8.351454e+07 ; 1.508829e+08 + i 8.213497e+07 ; -3.150875e+07 + i -4.622903e+07 ; 4.663445e+08 + i 1.598489e+09 ; -1.307328e+07 + i -2.031524e+08 ; -5.104393e+07 + i -6.964669e+07 ; 4.201649e+08 + i -1.429801e+08 ; -5.127032e+07 + i -7.409849e+07 ; 
-1.516306e+07 + i -3.370862e+07 ; -8.063853e+06 + i -5.802334e+06 ; 1.709944e+07 + i -8.321041e+06 ; -2.237616e+07 + i -3.769098e+07 ; -7.478190e+06 + i -4.115038e+07 ; 1.131772e+08 + i 8.901435e+07 ; -2.947302e+06 + i -6.082805e+07 ; -6.263901e+06 + i -4.543512e+06 ; 4.701727e+07 + i -5.203890e+06 ; -1.879277e+07 + i -7.571596e+07 ; -3.510176e+05 + i -2.953149e+07 ; 1.087566e+08 + i 3.028193e+08 ; 4.046215e+07 + i 4.913046e+07 ; 4.175763e+06 + i -5.890123e+06 ; 1.573122e+07 + i -7.010213e+06 ; 6.617981e+07 + i 7.188688e+07 ; 3.738066e+07 + i 4.681133e+07 ; 9.024223e+07 + i 7.991038e+07 ; 5.650805e+07 + i 1.275312e+08 ; 8.826316e+05 + i -6.707442e+06 ; 4.652456e+07 + i 7.519060e+05 ; 1.314239e+08 + i 1.875144e+08 ; 6.588741e+06 + i 1.273698e+07 ; 3.601290e+07 + i 2.468742e+08 ; 3.370569e+07 + i 5.123608e+07 ; 1.046969e+07 + i -2.295677e+08 ; 4.569305e+08 + i 1.599706e+09 ; 5.526044e+07 + i 7.393300e+07 ; -5.008950e+07 + i -9.027202e+07 ; 4.238501e+08 + i -1.406766e+08 ; -3.489515e+07 + i 1.252318e+08 ; 5.667718e+07 + i -1.419447e+08 ; -7.616807e+09 + i 1.437769e+10 ; 1.394388e+07 + i 1.989599e+08 ; -2.917299e+07 + i -6.354953e+07 ; 4.680414e+08 + i 1.619431e+09 ; -7.081266e+07 + i -2.524744e+06 ; 3.606355e+08 + i 8.548387e+08 ; -9.937275e+07 + i 1.129596e+09 ; -1.524675e+08 + i -7.159462e+07 ; 1.647954e+08 + i 1.084291e+08 ; 4.084780e+08 + i -8.261997e+07 ; -4.573675e+07 + i -3.422294e+08 ; 1.566535e+07 + i 4.221710e+08 ; -1.351820e+09 + i -3.178119e+09 ; -3.903015e+08 + i -7.041573e+08 ; 7.878345e+07 + i 2.941168e+07 ; -1.002168e+08 + i 1.145766e+09 ; 
-8.954346e+07 + i -2.549679e+07 ; -1.120751e+06 + i 4.072754e+06 ; -2.792403e+06 + i -2.860161e+06 ; -1.204956e+08 + i -5.850991e+06 ; -2.721026e+07 + i 2.203612e+06 ; 7.759125e+05 + i -1.274057e+07 ; 1.594610e+07 + i -2.309197e+08 ; -3.743006e+06 + i 7.505594e+06 ; -3.029432e+06 + i -4.494884e+06 ; -4.142297e+07 + i -3.954060e+08 ; -2.200864e+07 + i 2.037068e+07 ; 8.959827e+06 + i -1.401204e+07 ; -1.393994e+07 + i 4.711655e+07 ; -4.318774e+05 + i 1.177959e+06 ; 8.289562e+05 + i -1.361500e+05 ; -1.030994e+06 + i 6.690737e+07 ; -1.362057e+07 + i 3.396519e+06 ; 1.218266e+07 + i -3.368574e+06 ; -8.843701e+07 + i -2.507856e+07 ; 5.563635e+05 + i 5.783370e+06 ; 1.355829e+06 + i -1.109920e+06 ; -1.211011e+08 + i -6.465081e+06 ; -5.714709e+06 + i 1.745942e+07 ; 2.550031e+07 + i -1.304349e+06 ; -1.303936e+08 + i 1.143395e+09 ; -3.226574e+08 + i -9.067185e+08 ; 7.092537e+07 + i 2.450855e+07 ; 4.641382e+08 + i 1.605078e+09 ; 7.332457e+07 + i 1.559771e+08 ; -3.069132e+07 + i -5.632462e+07 ; -1.351099e+09 + i -3.195211e+09 ; -9.183012e+07 + i -3.551850e+08 ; 4.713718e+07 + i 3.833651e+08 ; -7.605415e+09 + i 1.437839e+10 ; -6.901844e+07 + i 1.468602e+08 ; 4.125635e+07 + i -1.352367e+08 ; 4.023575e+08 + i -7.581512e+07 ; -1.546843e+08 + i -1.162639e+08 ; 1.523651e+08 + i 8.864637e+07 ; 4.129044e+08 + i -1.407883e+08 ; 3.716639e+07 + i 8.722312e+07 ; -5.152201e+07 + i -7.765849e+07 ; -1.046378e+08 + i 1.133005e+09 ; -6.538839e+07 + i -3.006966e+07 ; 3.916726e+08 + i 7.496296e+08 ; 4.639877e+08 + i 1.605904e+09 ; 2.180581e+07 + i 6.053695e+07 ; -7.553304e+06 + i -2.113173e+08 ; 
5.259535e+06 + i -1.076010e+08 ; 1.554294e+06 + i 2.239498e+06 ; -7.751431e+05 + i -1.425261e+06 ; -1.734493e+07 + i -1.750666e+08 ; 4.268576e+07 + i 1.893597e+06 ; -2.028854e+06 + i -5.038022e+06 ; -1.409935e+07 + i 9.258998e+06 ; 5.288558e+06 + i 3.300294e+06 ; -1.744710e+06 + i -1.529776e+06 ; -1.462146e+07 + i 1.374013e+07 ; 4.580598e+07 + i -4.721014e+06 ; -3.729679e+06 + i -7.530581e+06 ; -1.954250e+07 + i -6.172956e+07 ; 3.168349e+06 + i 4.651352e+06 ; -3.117185e+04 + i -8.190388e+05 ; -3.713652e+07 + i -8.940670e+07 ; 1.515111e+07 + i -5.734353e+06 ; 2.561104e+06 + i -1.693937e+05 ; -8.437691e+06 + i 1.660652e+07 ; 4.952690e+06 + i 3.915476e+06 ; -2.275441e+06 + i -1.822049e+06 ; -7.236301e+06 + i 2.335454e+07 ; 1.661210e+07 + i -7.700631e+06 ; -5.744595e+06 + i -9.682400e+06 ; -3.158320e+08 + i -9.311733e+08 ; -1.218166e+08 + i 1.159371e+09 ; 7.244704e+07 + i 2.450872e+07 ; -8.646043e+07 + i -3.717412e+08 ; -1.358213e+09 + i -3.152813e+09 ; 4.877244e+07 + i 3.832157e+08 ; 7.040659e+07 + i 1.563960e+08 ; 4.706243e+08 + i 1.614223e+09 ; -3.081135e+07 + i -5.581985e+07 ; -7.148759e+07 + i 1.438552e+08 ; -7.612148e+09 + i 1.440246e+10 ; 4.172288e+07 + i -1.354936e+08 ; -1.561175e+08 + i -1.328682e+08 ; 4.121421e+08 + i -7.957783e+07 ; 1.540064e+08 + i 8.898875e+07 ; -6.541954e+07 + i -3.989552e+07 ; -9.113956e+07 + i 1.149425e+09 ; 3.935572e+08 + i 7.496931e+08 ; 3.298021e+07 + i 8.634552e+07 ; 4.188601e+08 + i -1.423368e+08 ; -5.163379e+07 + i -7.706510e+07 ; 1.865488e+07 + i 5.933061e+07 ; 4.709472e+08 + i 1.618321e+09 ; -7.164273e+06 + i -2.118193e+08 ; 
