-1.309147e+10 + i 4.310186e+09 ; -1.387812e+07 + i 1.845984e+08 ; -1.384906e+07 + i 1.846191e+08 ; 7.622680e+09 + i -3.745728e+09 ; -2.792208e+08 + i 4.463210e+08 ; -2.793463e+08 + i 4.463206e+08 ; -4.071717e+09 + i 2.626383e+09 ; 1.421654e+08 + i -2.908889e+08 ; 1.072753e+07 + i 1.430605e+08 ; 1.635984e+09 + i -2.195393e+09 ; 2.034793e+09 + i -8.793386e+08 ; -1.188970e+08 + i 2.958945e+08 ; -4.071733e+09 + i 2.626449e+09 ; 1.050860e+07 + i 1.429491e+08 ; 1.422425e+08 + i -2.909186e+08 ; 1.636058e+09 + i -2.195340e+09 ; -1.191242e+08 + i 2.956399e+08 ; 2.034843e+09 + i -8.793490e+08 ; -1.765893e+09 + i 1.846036e+09 ; 8.346431e+07 + i -2.271116e+08 ; 8.359254e+07 + i -2.271180e+08 ; 4.683274e+08 + i -1.502559e+09 ; 8.513774e+08 + i -5.306336e+08 ; 8.514313e+08 + i -5.306293e+08 ; 2.430978e+08 + i 1.531972e+08 ; -1.055337e+07 + i 6.472374e+07 ; -1.058869e+07 + i 6.472114e+07 ; 5.174157e+07 + i 2.481659e+07 ; 2.802837e+06 + i 3.375349e+07 ; 2.792604e+06 + i 3.375781e+07 ; 2.464886e+08 + i 8.024605e+07 ; 1.871043e+08 + i -1.385881e+08 ; -4.532771e+06 + i 5.700724e+07 ; 4.832318e+07 + i 2.960018e+07 ; 6.825291e+07 + i -7.197826e+07 ; 4.289346e+06 + i 3.115071e+07 ; 2.465463e+08 + i 8.023904e+07 ; -4.585493e+06 + i 5.696209e+07 ; 1.871244e+08 + i -1.385981e+08 ; 4.832425e+07 + i 2.959875e+07 ; 4.255433e+06 + i 3.112965e+07 ; 6.826572e+07 + i -7.198627e+07 ; 2.300944e+08 + i 3.861472e+07 ; 1.470866e+08 + i -1.219901e+08 ; 1.470940e+08 + i -1.219952e+08 ; 4.624957e+07 + i 3.090347e+07 ; 5.891312e+07 + i -6.685781e+07 ; 5.892289e+07 + i -6.686023e+07 ; 
8.380427e+08 + i -6.064393e+08 ; 8.297609e+08 + i -6.076264e+08 ; 4.752847e+08 + i -1.521511e+09 ; -1.152982e+08 + i 2.534173e+08 ; 2.025920e+09 + i -1.055653e+09 ; 1.642354e+09 + i -2.221796e+09 ; 2.032890e+09 + i -1.049407e+09 ; -1.296954e+08 + i 2.867265e+08 ; 1.648184e+09 + i -2.213838e+09 ; -2.725076e+08 + i 3.864007e+08 ; -2.897438e+08 + i 4.261526e+08 ; 7.640034e+09 + i -3.759850e+09 ; 9.659384e+07 + i -2.245755e+08 ; 8.925726e+07 + i -2.244212e+08 ; -1.763817e+09 + i 1.859775e+09 ; 2.423612e+07 + i 1.225030e+08 ; 1.633444e+08 + i -2.580013e+08 ; -4.075207e+09 + i 2.658333e+09 ; 1.701934e+08 + i -2.543664e+08 ; 1.938827e+07 + i 1.451606e+08 ; -4.068736e+09 + i 2.640560e+09 ; 5.652232e+06 + i 1.652642e+08 ; 4.156522e+05 + i 1.915236e+08 ; -1.309475e+10 + i 4.344132e+09 ; -3.863852e+08 + i 2.192003e+08 ; 2.266801e+08 + i -1.555725e+08 ; -4.858607e+07 + i -2.750059e+08 ; -7.726696e+07 + i -4.762481e+07 ; 5.623211e+07 + i -6.521380e+07 ; -9.645322e+07 + i -1.103728e+08 ; -6.278778e+08 + i 3.071767e+08 ; -1.466245e+07 + i 6.511159e+07 ; 2.979571e+07 + i -3.346698e+08 ; -7.966184e+07 + i -6.883811e+07 ; 3.504240e+06 + i 2.833167e+07 ; -9.121128e+07 + i -1.257016e+08 ; -4.120147e+07 + i 8.858657e+07 ; 2.686151e+07 + i -6.955494e+07 ; -5.184126e+08 + i 4.342184e+08 ; -1.904689e+07 + i -2.764224e+07 ; 7.804171e+06 + i -3.731244e+07 ; -1.700987e+08 + i 2.083407e+08 ; -5.133898e+07 + i 1.056891e+08 ; 1.258523e+07 + i 3.064262e+07 ; -7.507288e+08 + i 5.089108e+08 ; -1.652817e+07 + i -3.472590e+07 ; 1.163620e+07 + i 1.451684e+07 ; -2.077672e+08 + i 2.289940e+08 ; 
2.448171e+08 + i 1.533157e+08 ; 3.140017e+07 + i -1.001061e+08 ; 3.139469e+07 + i -1.001097e+08 ; 1.480051e+09 + i -8.356929e+08 ; 9.917509e+07 + i -1.580513e+08 ; 9.919878e+07 + i -1.580436e+08 ; 2.472811e+08 + i 8.007770e+07 ; -1.998464e+08 + i 1.607342e+08 ; 2.168868e+07 + i -8.732445e+07 ; 7.252883e+08 + i -6.244025e+08 ; -6.397386e+08 + i 2.878808e+08 ; 6.519913e+07 + i -1.263419e+08 ; 2.471906e+08 + i 8.011227e+07 ; 2.176907e+07 + i -8.727195e+07 ; -1.998821e+08 + i 1.607408e+08 ; 7.251513e+08 + i -6.243562e+08 ; 6.527898e+07 + i -1.262648e+08 ; -6.397669e+08 + i 2.878831e+08 ; 2.299778e+08 + i 3.844192e+07 ; -1.541538e+08 + i 1.378763e+08 ; -1.541950e+08 + i 1.378742e+08 ; 3.915958e+08 + i -4.908760e+08 ; -3.943533e+08 + i 2.151385e+08 ; -3.943722e+08 + i 2.151349e+08 ; -1.313260e+10 + i 4.428094e+09 ; -1.973403e+07 + i 1.761135e+08 ; -1.969458e+07 + i 1.761342e+08 ; 7.623224e+09 + i -3.745201e+09 ; -2.846806e+08 + i 4.424428e+08 ; -2.848027e+08 + i 4.424432e+08 ; -4.097698e+09 + i 2.729528e+09 ; 1.303290e+08 + i -2.664559e+08 ; 4.397188e+06 + i 1.353252e+08 ; 1.636336e+09 + i -2.194051e+09 ; 2.030462e+09 + i -8.639770e+08 ; -1.253358e+08 + i 2.920725e+08 ; -4.097748e+09 + i 2.729588e+09 ; 4.189930e+06 + i 1.352237e+08 ; 1.304044e+08 + i -2.664849e+08 ; 1.636385e+09 + i -2.194002e+09 ; -1.255535e+08 + i 2.918219e+08 ; 2.030510e+09 + i -8.639851e+08 ; -1.781343e+09 + i 1.937790e+09 ; 7.383120e+07 + i -2.039562e+08 ; 7.395952e+07 + i -2.039632e+08 ; 4.687074e+08 + i -1.501362e+09 ; 8.474407e+08 + i -5.150037e+08 ; 8.474931e+08 + i -5.149988e+08 ; 
-1.268351e+07 + i -3.688227e+07 ; -2.071309e+08 + i 2.288638e+08 ; 1.073657e+07 + i 1.470337e+07 ; -6.346858e+07 + i 8.703878e+07 ; -7.500846e+08 + i 5.088805e+08 ; 1.087741e+07 + i 3.055394e+07 ; -7.204650e+07 + i -7.401496e+07 ; -9.213742e+07 + i -1.264870e+08 ; 1.786597e+06 + i 2.717145e+07 ; -6.329813e+08 + i 2.500093e+08 ; 2.744391e+07 + i -3.376671e+08 ; -1.783523e+07 + i 6.129882e+07 ; -1.599582e+07 + i -3.010866e+07 ; -1.695690e+08 + i 2.082028e+08 ; 9.325472e+06 + i -3.601752e+07 ; -5.085158e+07 + i 7.651446e+07 ; -5.180054e+08 + i 4.341617e+08 ; 2.848399e+07 + i -6.772978e+07 ; -7.128344e+07 + i -5.292160e+07 ; -9.680617e+07 + i -1.107081e+08 ; 5.834731e+07 + i -5.968545e+07 ; -3.917032e+08 + i 1.842123e+08 ; -4.934269e+07 + i -2.757885e+08 ; 2.290053e+08 + i -1.361709e+08 ; -3.901130e+06 + i 1.631735e+08 ; -1.309505e+10 + i 4.344195e+09 ; -1.329478e+07 + i 1.858575e+08 ; 1.485260e+08 + i -2.962265e+08 ; -4.066626e+09 + i 2.642146e+09 ; 1.043129e+07 + i 1.429849e+08 ; -2.586792e+08 + i 4.165408e+08 ; 7.636156e+09 + i -3.761898e+09 ; -2.801032e+08 + i 4.463560e+08 ; 2.040229e+09 + i -8.786893e+08 ; 1.653259e+09 + i -2.204668e+09 ; -1.199847e+08 + i 2.941351e+08 ; 1.824623e+07 + i 1.224247e+08 ; -4.073944e+09 + i 2.659172e+09 ; 1.431451e+08 + i -2.937371e+08 ; 8.927890e+07 + i -2.279222e+08 ; -1.760644e+09 + i 1.861062e+09 ; 8.341571e+07 + i -2.264468e+08 ; -1.027477e+08 + i 2.656745e+08 ; 1.647983e+09 + i -2.212382e+09 ; 2.034834e+09 + i -8.795005e+08 ; 8.564053e+08 + i -5.263319e+08 ; 4.843076e+08 + i -1.512891e+09 ; 8.496315e+08 + i -5.257448e+08 ; 
-1.270595e+07 + i -3.689229e+07 ; 1.073511e+07 + i 1.470481e+07 ; -2.071117e+08 + i 2.288523e+08 ; -6.345803e+07 + i 8.703672e+07 ; 1.088027e+07 + i 3.055082e+07 ; -7.501699e+08 + i 5.088826e+08 ; -1.600987e+07 + i -3.011835e+07 ; 9.312548e+06 + i -3.601138e+07 ; -1.694852e+08 + i 2.081797e+08 ; -5.084400e+07 + i 7.650726e+07 ; 2.846129e+07 + i -6.772715e+07 ; -5.178701e+08 + i 4.342372e+08 ; -7.203156e+07 + i -7.401375e+07 ; 1.773160e+06 + i 2.717336e+07 ; -9.200771e+07 + i -1.264621e+08 ; -6.329799e+08 + i 2.500146e+08 ; -1.785361e+07 + i 6.129592e+07 ; 2.763522e+07 + i -3.375676e+08 ; -7.127455e+07 + i -5.292694e+07 ; 5.834408e+07 + i -5.968264e+07 ; -9.678951e+07 + i -1.107295e+08 ; -3.916904e+08 + i 1.842157e+08 ; 2.290076e+08 + i -1.361717e+08 ; -4.937325e+07 + i -2.757964e+08 ; -3.797564e+06 + i 1.632041e+08 ; -1.329876e+07 + i 1.858591e+08 ; -1.309528e+10 + i 4.344149e+09 ; 1.485505e+08 + i -2.962313e+08 ; 1.042472e+07 + i 1.429819e+08 ; -4.066577e+09 + i 2.642286e+09 ; 1.832737e+07 + i 1.224432e+08 ; 1.430326e+08 + i -2.937389e+08 ; -4.072878e+09 + i 2.660054e+09 ; 8.935368e+07 + i -2.279194e+08 ; 8.331811e+07 + i -2.264418e+08 ; -1.759707e+09 + i 1.861591e+09 ; -2.587312e+08 + i 4.165596e+08 ; -2.801691e+08 + i 4.463541e+08 ; 7.637043e+09 + i -3.761482e+09 ; 2.040218e+09 + i -8.786825e+08 ; -1.200436e+08 + i 2.941330e+08 ; 1.654093e+09 + i -2.204383e+09 ; -1.027583e+08 + i 2.657057e+08 ; 2.034834e+09 + i -8.794957e+08 ; 1.648147e+09 + i -2.212438e+09 ; 8.563958e+08 + i -5.263347e+08 ; 8.496263e+08 + i -5.257458e+08 ; 4.845844e+08 + i -1.512837e+09 ; 
5.156104e+07 + i 2.508807e+07 ; -3.266697e+06 + i -3.393158e+07 ; -3.262632e+06 + i -3.393079e+07 ; 2.431815e+08 + i 1.532029e+08 ; 9.912086e+06 + i -6.524452e+07 ; 9.954194e+06 + i -6.524248e+07 ; 4.828907e+07 + i 2.976557e+07 ; -6.795438e+07 + i 7.305605e+07 ; -4.739188e+06 + i -3.128885e+07 ; 2.467050e+08 + i 8.022577e+07 ; -1.868216e+08 + i 1.411865e+08 ; 3.942553e+06 + i -5.742288e+07 ; 4.831031e+07 + i 2.972995e+07 ; -4.694232e+06 + i -3.127381e+07 ; -6.796591e+07 + i 7.306411e+07 ; 2.467904e+08 + i 8.017902e+07 ; 3.999654e+06 + i -5.737693e+07 ; -1.868310e+08 + i 1.411901e+08 ; 4.635080e+07 + i 3.092120e+07 ; -5.860130e+07 + i 6.780881e+07 ; -5.862139e+07 + i 6.781461e+07 ; 2.304550e+08 + i 3.850424e+07 ; -1.467196e+08 + i 1.240986e+08 ; -1.467343e+08 + i 1.240976e+08 ; 7.621375e+09 + i -3.745794e+09 ; 2.766716e+08 + i -4.518606e+08 ; 2.767746e+08 + i -4.518446e+08 ; -1.309256e+10 + i 4.310367e+09 ; 1.248742e+07 + i -1.858076e+08 ; 1.248357e+07 + i -1.858367e+08 ; 1.635565e+09 + i -2.195471e+09 ; -2.038524e+09 + i 9.040349e+08 ; 1.167249e+08 + i -2.988147e+08 ; -4.072272e+09 + i 2.626256e+09 ; -1.403302e+08 + i 2.942026e+08 ; -1.190757e+07 + i -1.438278e+08 ; 1.635789e+09 + i -2.195490e+09 ; 1.169633e+08 + i -2.985774e+08 ; -2.038580e+09 + i 9.040532e+08 ; -4.072149e+09 + i 2.626240e+09 ; -1.171143e+07 + i -1.437118e+08 ; -1.403944e+08 + i 2.942230e+08 ; 4.685289e+08 + i -1.502845e+09 ; -8.513904e+08 + i 5.419631e+08 ; -8.514475e+08 + i 5.419660e+08 ; -1.766050e+09 + i 1.845584e+09 ; -8.181013e+07 + i 2.293334e+08 ; -8.189933e+07 + i 2.293239e+08 ; 
1.532749e+07 + i -1.254624e+07 ; -7.141562e+07 + i 9.717674e+07 ; 7.631737e+06 + i 3.305026e+06 ; 8.404368e+06 + i -4.321213e+07 ; -2.072999e+08 + i 2.290324e+08 ; 1.113601e+07 + i 1.087100e+07 ; -9.599910e+06 + i -1.306326e+07 ; -7.465463e+07 + i -3.702503e+07 ; 5.634533e+06 + i 6.476551e+06 ; -9.456276e+07 + i -3.611462e+07 ; -9.219692e+07 + i -1.264062e+08 ; 5.086308e+06 + i 1.895253e+07 ; 1.364887e+07 + i -1.266057e+07 ; -6.351263e+07 + i 9.215963e+07 ; 2.978974e+06 + i -1.589278e+07 ; 1.918010e+06 + i -3.450278e+07 ; -1.697166e+08 + i 2.083996e+08 ; 1.030441e+07 + i -3.350829e+07 ; -8.477816e+06 + i -1.312760e+07 ; -7.318809e+07 + i -3.364072e+07 ; 1.603301e+07 + i -2.237363e+07 ; -8.106980e+07 + i -2.597692e+07 ; -9.683476e+07 + i -1.106322e+08 ; 5.388479e+07 + i -5.146855e+07 ; -1.294728e+08 + i 3.009806e+08 ; -4.065539e+09 + i 2.642240e+09 ; 1.159377e+07 + i 1.437080e+08 ; 9.901914e+06 + i -1.879833e+08 ; -1.308678e+10 + i 4.318051e+09 ; -1.350835e+07 + i 1.855480e+08 ; -2.038689e+09 + i 9.703078e+08 ; 1.653091e+09 + i -2.204670e+09 ; -1.182938e+08 + i 2.969765e+08 ; 2.718207e+08 + i -4.634920e+08 ; 7.645606e+09 + i -3.750624e+09 ; -2.792548e+08 + i 4.493173e+08 ; -7.234032e+07 + i 2.335832e+08 ; -1.759893e+09 + i 1.860932e+09 ; 8.175420e+07 + i -2.281694e+08 ; -1.356721e+07 + i -1.444853e+08 ; -4.066692e+09 + i 2.634451e+09 ; 1.400305e+08 + i -2.915672e+08 ; -8.422493e+08 + i 5.674689e+08 ; 4.841503e+08 + i -1.512870e+09 ; 8.496846e+08 + i -5.359848e+08 ; 1.139766e+08 + i -3.034256e+08 ; 1.658014e+09 + i -2.202094e+09 ; 2.036321e+09 + i -8.963059e+08 ; 
1.532996e+07 + i -1.254938e+07 ; 7.631338e+06 + i 3.305803e+06 ; -7.141037e+07 + i 9.717474e+07 ; 8.421601e+06 + i -4.321016e+07 ; 1.113788e+07 + i 1.086830e+07 ; -2.073346e+08 + i 2.290722e+08 ; 1.365825e+07 + i -1.266832e+07 ; 2.974564e+06 + i -1.588843e+07 ; -6.348351e+07 + i 9.213802e+07 ; 1.941795e+06 + i -3.450970e+07 ; 1.029321e+07 + i -3.350489e+07 ; -1.696688e+08 + i 2.084275e+08 ; -9.603988e+06 + i -1.305590e+07 ; 5.627610e+06 + i 6.478155e+06 ; -7.459419e+07 + i -3.702472e+07 ; -9.457468e+07 + i -3.610484e+07 ; 5.075743e+06 + i 1.895091e+07 ; -9.208455e+07 + i -1.263654e+08 ; -8.473566e+06 + i -1.312634e+07 ; 1.603132e+07 + i -2.237178e+07 ; -7.318764e+07 + i -3.365751e+07 ; -8.106075e+07 + i -2.597068e+07 ; 5.388480e+07 + i -5.146923e+07 ; -9.684607e+07 + i -1.106335e+08 ; -1.294685e+08 + i 3.009794e+08 ; 1.158455e+07 + i 1.437120e+08 ; -4.065375e+09 + i 2.642318e+09 ; 9.842892e+06 + i -1.880105e+08 ; -1.351107e+07 + i 1.855438e+08 ; -1.308711e+10 + i 4.318086e+09 ; -7.235269e+07 + i 2.335758e+08 ; 8.165486e+07 + i -2.281598e+08 ; -1.758864e+09 + i 1.861418e+09 ; -1.359646e+07 + i -1.445054e+08 ; 1.399152e+08 + i -2.915705e+08 ; -4.065674e+09 + i 2.635408e+09 ; -2.038694e+09 + i 9.703200e+08 ; -1.183545e+08 + i 2.969792e+08 ; 1.653987e+09 + i -2.204435e+09 ; 2.718427e+08 + i -4.634955e+08 ; -2.793185e+08 + i 4.493117e+08 ; 7.646485e+09 + i -3.750165e+09 ; -8.422423e+08 + i 5.674787e+08 ; 8.496732e+08 + i -5.359787e+08 ; 4.846019e+08 + i -1.512889e+09 ; 1.139779e+08 + i -3.034385e+08 ; 2.036325e+09 + i -8.963075e+08 ; 1.658125e+09 + i -2.202102e+09 ; 
2.482874e+08 + i 8.074441e+07 ; 1.970951e+08 + i -1.719887e+08 ; 2.072534e+07 + i -8.814811e+07 ; 7.262575e+08 + i -6.227626e+08 ; 6.424528e+08 + i -3.188348e+08 ; 6.405815e+07 + i -1.279842e+08 ; 2.440704e+08 + i 1.531772e+08 ; -2.838005e+07 + i 1.044796e+08 ; 3.047744e+07 + i -1.011533e+08 ; 1.479229e+09 + i -8.360226e+08 ; -9.383685e+07 + i 1.710450e+08 ; 9.810797e+07 + i -1.602917e+08 ; 2.308852e+08 + i 3.890797e+07 ; 1.514765e+08 + i -1.467795e+08 ; -1.535973e+08 + i 1.406126e+08 ; 3.924701e+08 + i -4.897887e+08 ; 3.943907e+08 + i -2.351973e+08 ; -3.944396e+08 + i 2.211959e+08 ; 2.464714e+08 + i 8.008670e+07 ; -1.884630e+07 + i 9.090164e+07 ; -1.992827e+08 + i 1.641384e+08 ; 7.243420e+08 + i -6.245681e+08 ; -6.055474e+07 + i 1.346758e+08 ; -6.405610e+08 + i 2.972923e+08 ; -4.095926e+09 + i 2.730409e+09 ; -1.276186e+08 + i 2.503255e+08 ; 6.195060e+06 + i 1.360664e+08 ; 1.635255e+09 + i -2.199000e+09 ; -2.046672e+09 + i 9.616640e+08 ; -1.222645e+08 + i 2.953464e+08 ; -1.313349e+10 + i 4.428101e+09 ; 1.866424e+07 + i -1.761069e+08 ; -1.777667e+07 + i 1.774873e+08 ; 7.624022e+09 + i -3.744246e+09 ; 2.785146e+08 + i -4.368203e+08 ; -2.815722e+08 + i 4.485571e+08 ; -1.779764e+09 + i 1.938311e+09 ; -7.126372e+07 + i 2.044369e+08 ; 7.196917e+07 + i -2.060748e+08 ; 4.673613e+08 + i -1.503825e+09 ; -8.495897e+08 + i 5.589962e+08 ; 8.470585e+08 + i -5.283266e+08 ; -4.098379e+09 + i 2.729891e+09 ; -5.643209e+06 + i -1.356974e+08 ; 1.279871e+08 + i -2.695479e+08 ; 1.637028e+09 + i -2.193711e+09 ; 1.205861e+08 + i -2.964550e+08 ; 2.033658e+09 + i -8.934310e+08 ; 
7.391028e+07 + i 7.310582e+07 ; -9.269164e+07 + i -1.263863e+08 ; -2.120042e+06 + i -2.732107e+07 ; 6.332880e+08 + i -2.603677e+08 ; 2.762916e+07 + i -3.362248e+08 ; 1.718932e+07 + i -6.190108e+07 ; 1.323625e+07 + i 3.590636e+07 ; -2.073751e+08 + i 2.290474e+08 ; -1.093432e+07 + i -1.468775e+07 ; 6.165812e+07 + i -9.341264e+07 ; -7.496891e+08 + i 5.093143e+08 ; -1.123738e+07 + i -3.063157e+07 ; 7.276163e+07 + i 5.188298e+07 ; -9.721332e+07 + i -1.106435e+08 ; -5.802975e+07 + i 6.077295e+07 ; 3.913915e+08 + i -1.907526e+08 ; -4.893364e+07 + i -2.749373e+08 ; -2.289155e+08 + i 1.397732e+08 ; 1.636270e+07 + i 2.912996e+07 ; -1.697377e+08 + i 2.083126e+08 ; -8.953938e+06 + i 3.635494e+07 ; 4.928002e+07 + i -8.027161e+07 ; -5.175638e+08 + i 4.343444e+08 ; -2.786560e+07 + i 6.850543e+07 ; 2.609434e+08 + i -3.945233e+08 ; 7.634609e+09 + i -3.761553e+09 ; 2.766850e+08 + i -4.525954e+08 ; -2.045997e+09 + i 9.036824e+08 ; 1.651823e+09 + i -2.209441e+09 ; 1.172698e+08 + i -2.973978e+08 ; 6.836246e+06 + i -1.601333e+08 ; -1.309609e+10 + i 4.344528e+09 ; 1.154853e+07 + i -1.871851e+08 ; -1.515364e+08 + i 2.723585e+08 ; -4.067938e+09 + i 2.641052e+09 ; -1.187314e+07 + i -1.437970e+08 ; 1.042597e+08 + i -2.612998e+08 ; 1.647200e+09 + i -2.212843e+09 ; -2.037885e+09 + i 9.092509e+08 ; -8.586845e+08 + i 5.371893e+08 ; 4.834203e+08 + i -1.515586e+09 ; -8.491228e+08 + i 5.392793e+08 ; -1.577365e+07 + i -1.205763e+08 ; -4.074300e+09 + i 2.659104e+09 ; -1.406175e+08 + i 2.973488e+08 ; -9.124358e+07 + i 2.232566e+08 ; -1.761120e+09 + i 1.860465e+09 ; -8.127837e+07 + i 2.289150e+08 ; 
-1.658691e+07 + i -3.018446e+07 ; -7.960629e+06 + i 3.717942e+07 ; -1.694392e+08 + i 2.081094e+08 ; -5.029781e+07 + i 7.739404e+07 ; -2.650558e+07 + i 7.032470e+07 ; -5.177331e+08 + i 4.341580e+08 ; -1.313315e+07 + i -3.694703e+07 ; -1.139645e+07 + i -1.461543e+07 ; -2.071251e+08 + i 2.289020e+08 ; -6.289449e+07 + i 8.818651e+07 ; -1.247677e+07 + i -3.094580e+07 ; -7.503219e+08 + i 5.089738e+08 ; -7.251903e+07 + i -5.264905e+07 ; -5.707068e+07 + i 6.331453e+07 ; -9.678453e+07 + i -1.107608e+08 ; -3.917836e+08 + i 1.893765e+08 ; -2.289142e+08 + i 1.477787e+08 ; -4.935987e+07 + i -2.758256e+08 ; -7.311481e+07 + i -7.352793e+07 ; -2.636937e+06 + i -2.779745e+07 ; -9.200287e+07 + i -1.264356e+08 ; -6.337161e+08 + i 2.588606e+08 ; 1.552111e+07 + i -6.482907e+07 ; 2.761138e+07 + i -3.375052e+08 ; 2.005349e+07 + i 1.225040e+08 ; -1.343656e+08 + i 3.060076e+08 ; -4.071564e+09 + i 2.660063e+09 ; 8.693000e+07 + i -2.309704e+08 ; -7.601619e+07 + i 2.349322e+08 ; -1.758689e+09 + i 1.861374e+09 ; -2.100805e+06 + i 1.640624e+08 ; 6.775565e+06 + i -1.903765e+08 ; -1.309589e+10 + i 4.344397e+09 ; 1.455524e+08 + i -3.002463e+08 ; -1.570178e+07 + i -1.453357e+08 ; -4.066829e+09 + i 2.642670e+09 ; -9.959339e+07 + i 2.649936e+08 ; -2.045532e+09 + i 9.824728e+08 ; 1.648269e+09 + i -2.212554e+09 ; 8.556109e+08 + i -5.399744e+08 ; -8.479852e+08 + i 5.733167e+08 ; 4.847352e+08 + i -1.512962e+09 ; -2.557170e+08 + i 4.220926e+08 ; 2.689888e+08 + i -4.672170e+08 ; 7.636880e+09 + i -3.761285e+09 ; 2.041798e+09 + i -9.072350e+08 ; 1.113665e+08 + i -3.010849e+08 ; 1.654003e+09 + i -2.204216e+09 ; 
4.783551e+07 + i 2.962655e+07 ; 6.639341e+07 + i -7.802303e+07 ; -5.244035e+06 + i -3.140357e+07 ; 2.458177e+08 + i 7.939156e+07 ; 1.853717e+08 + i -1.534601e+08 ; 3.092800e+06 + i -5.782576e+07 ; 5.184527e+07 + i 2.497702e+07 ; 4.495093e+06 + i 3.405312e+07 ; -3.726012e+06 + i -3.411102e+07 ; 2.438460e+08 + i 1.532713e+08 ; -7.444586e+06 + i 6.565054e+07 ; 9.188067e+06 + i -6.580779e+07 ; 4.594348e+07 + i 3.082879e+07 ; 5.708603e+07 + i -7.226427e+07 ; -5.805390e+07 + i 6.906821e+07 ; 2.297253e+08 + i 3.795873e+07 ; 1.448482e+08 + i -1.342335e+08 ; -1.459395e+08 + i 1.269299e+08 ; 4.856941e+07 + i 2.959606e+07 ; 5.906026e+06 + i 3.129622e+07 ; -6.736888e+07 + i 7.445642e+07 ; 2.474444e+08 + i 8.018021e+07 ; -2.092385e+06 + i 5.737297e+07 ; -1.860236e+08 + i 1.446578e+08 ; 1.631742e+09 + i -2.203339e+09 ; 2.043872e+09 + i -1.013830e+09 ; 1.129609e+08 + i -3.023929e+08 ; -4.071900e+09 + i 2.626554e+09 ; 1.467096e+08 + i -2.617652e+08 ; -1.419097e+07 + i -1.445178e+08 ; 7.623536e+09 + i -3.744150e+09 ; -2.793161e+08 + i 4.289931e+08 ; 2.724391e+08 + i -4.586074e+08 ; -1.309232e+10 + i 4.310307e+09 ; -6.675623e+06 + i 1.901089e+08 ; 1.004100e+07 + i -1.872388e+08 ; 4.654761e+08 + i -1.506507e+09 ; 8.498502e+08 + i -5.896852e+08 ; -8.492831e+08 + i 5.572316e+08 ; -1.765079e+09 + i 1.846168e+09 ; 8.131314e+07 + i -2.269252e+08 ; -7.925520e+07 + i 2.319781e+08 ; 1.637081e+09 + i -2.195360e+09 ; -1.142550e+08 + i 2.992512e+08 ; -2.038738e+09 + i 9.380564e+08 ; -4.072197e+09 + i 2.626209e+09 ; 1.387778e+07 + i 1.444071e+08 ; -1.371535e+08 + i 2.980437e+08 ; 
9.543708e+06 + i 1.331052e+07 ; -7.475978e+07 + i -3.702124e+07 ; -5.763519e+06 + i -6.431642e+06 ; 9.466520e+07 + i 3.585618e+07 ; -9.204732e+07 + i -1.266951e+08 ; -5.400752e+06 + i -1.898032e+07 ; -1.503828e+07 + i 1.323505e+07 ; -7.141003e+07 + i 9.730726e+07 ; -7.709430e+06 + i -3.227784e+06 ; -7.945408e+06 + i 4.509416e+07 ; -2.070890e+08 + i 2.290319e+08 ; -1.132082e+07 + i -1.078981e+07 ; 8.439574e+06 + i 1.337824e+07 ; -7.325033e+07 + i -3.368319e+07 ; -1.582379e+07 + i 2.274306e+07 ; 8.120880e+07 + i 2.583152e+07 ; -9.672526e+07 + i -1.110598e+08 ; -5.351251e+07 + i 5.255576e+07 ; -1.338837e+07 + i 1.327047e+07 ; -6.348823e+07 + i 9.222497e+07 ; -2.774524e+06 + i 1.602901e+07 ; -1.490016e+06 + i 3.600213e+07 ; -1.695536e+08 + i 2.082417e+08 ; -9.899616e+06 + i 3.385971e+07 ; 2.035517e+09 + i -1.004808e+09 ; 1.648818e+09 + i -2.212393e+09 ; 1.149147e+08 + i -3.004568e+08 ; -2.824492e+08 + i 4.251170e+08 ; 7.645371e+09 + i -3.749968e+09 ; 2.746455e+08 + i -4.559339e+08 ; 1.421096e+08 + i -2.598403e+08 ; -4.068196e+09 + i 2.640945e+09 ; -1.332210e+07 + i -1.444826e+08 ; -9.210542e+06 + i 1.888360e+08 ; -1.308676e+10 + i 4.318279e+09 ; 1.139896e+07 + i -1.868619e+08 ; 8.419174e+08 + i -5.807950e+08 ; 4.815199e+08 + i -1.516689e+09 ; -8.475878e+08 + i 5.511922e+08 ; -1.178136e+08 + i 2.955928e+08 ; 1.657832e+09 + i -2.202707e+09 ; -2.036673e+09 + i 9.303217e+08 ; 7.729942e+07 + i -2.249255e+08 ; -1.760948e+09 + i 1.860547e+09 ; -7.904775e+07 + i 2.306947e+08 ; 1.135367e+07 + i 1.431318e+08 ; -4.066466e+09 + i 2.634109e+09 ; -1.368226e+08 + i 2.953434e+08 ; 
