-4.626949e+09 + i 7.747018e+08 ; -1.819270e+07 + i 7.496502e+05 ; -1.819630e+07 + i 7.506886e+05 ; 1.122463e+09 + i -3.335737e+08 ; 8.218081e+07 + i -1.606310e+07 ; 8.217331e+07 + i -1.606557e+07 ; -5.335606e+08 + i 1.534957e+08 ; -4.416526e+07 + i 8.252436e+06 ; -9.508828e+06 + i 1.599323e+06 ; -2.114474e+08 + i 2.519271e+07 ; 2.696716e+08 + i -8.614689e+07 ; 1.513259e+07 + i -5.614076e+06 ; -5.335556e+08 + i 1.534981e+08 ; -9.509988e+06 + i 1.596314e+06 ; -4.416669e+07 + i 8.251012e+06 ; -2.114431e+08 + i 2.519707e+07 ; 1.517293e+07 + i -5.602632e+06 ; 2.696733e+08 + i -8.614632e+07 ; -5.182420e+07 + i 3.685884e+07 ; -1.990198e+07 + i 5.115402e+06 ; -1.988737e+07 + i 5.119523e+06 ; -3.819777e+07 + i 2.310747e+07 ; 6.076166e+07 + i -2.481313e+07 ; 6.076302e+07 + i -2.481308e+07 ; 1.062971e+08 + i -2.478229e+07 ; -7.649611e+05 + i -3.942955e+05 ; -7.640336e+05 + i -3.942647e+05 ; 5.482850e+07 + i -1.081214e+07 ; -7.313396e+05 + i 9.961888e+04 ; -7.313971e+05 + i 9.967541e+04 ; 2.458432e+07 + i -1.206027e+07 ; 8.158157e+06 + i -4.166986e+06 ; -1.172781e+06 + i -7.953337e+04 ; 1.828769e+07 + i -7.715631e+06 ; 1.618876e+06 + i -9.182662e+05 ; -7.193320e+05 + i 1.294006e+05 ; 2.458786e+07 + i -1.205879e+07 ; -1.169089e+06 + i -7.862228e+04 ; 8.158439e+06 + i -4.166907e+06 ; 1.828888e+07 + i -7.714904e+06 ; -7.185911e+05 + i 1.294274e+05 ; 1.618806e+06 + i -9.182957e+05 ; 3.631979e+06 + i -4.582394e+06 ; 5.181321e+06 + i -2.767785e+06 ; 5.180676e+06 + i -2.768016e+06 ; 5.816248e+06 + i -4.190766e+06 ; 1.213017e+06 + i -7.114582e+05 ; 1.213007e+06 + i -7.114356e+05 ; 
6.777746e+07 + i -2.578806e+07 ; 7.012514e+07 + i -2.617993e+07 ; -4.002388e+07 + i 2.388220e+07 ; 1.228702e+07 + i -4.819329e+06 ; 3.107066e+08 + i -8.820678e+07 ; -2.137558e+08 + i 2.552600e+07 ; 3.079164e+08 + i -8.788892e+07 ; 1.668312e+07 + i -5.688110e+06 ; -2.167819e+08 + i 2.589839e+07 ; 7.848710e+07 + i -1.529249e+07 ; 8.481396e+07 + i -1.640093e+07 ; 1.117367e+09 + i -3.331584e+08 ; -2.389697e+07 + i 4.952433e+06 ; -2.353421e+07 + i 4.708340e+06 ; -5.255229e+07 + i 3.719414e+07 ; -1.072285e+07 + i 1.798741e+06 ; -4.157093e+07 + i 8.868960e+06 ; -5.317076e+08 + i 1.532897e+08 ; -4.208600e+07 + i 9.121858e+06 ; -1.060221e+07 + i 1.507040e+06 ; -5.352857e+08 + i 1.538547e+08 ; -2.089325e+07 + i 6.791199e+05 ; -2.047542e+07 + i 2.754660e+05 ; -4.626264e+09 + i 7.743260e+08 ; -4.192070e+07 + i 1.372488e+07 ; 2.305234e+07 + i -7.529544e+06 ; -3.392333e+07 + i 1.119850e+07 ; -2.360750e+07 + i 6.844719e+06 ; 7.368822e+05 + i -7.812803e+05 ; -7.972802e+06 + i 3.840042e+06 ; -8.890788e+07 + i 2.680363e+07 ; 4.315249e+06 + i -9.121582e+05 ; -6.311363e+07 + i 1.415181e+07 ; -4.412198e+07 + i 1.070139e+07 ; -9.594174e+05 + i 6.412101e+03 ; -1.095160e+07 + i 5.274328e+06 ; 1.299623e+07 + i -2.669900e+06 ; -9.649230e+06 + i 1.742900e+06 ; -4.727486e+07 + i 1.751730e+07 ; 9.029806e+06 + i -1.414254e+06 ; -2.476837e+06 + i 6.924721e+05 ; -8.460402e+06 + i 4.209059e+06 ; 2.147347e+07 + i -3.225540e+06 ; -5.454583e+06 + i 5.999783e+05 ; -1.037046e+08 + i 3.044881e+07 ; 1.306961e+07 + i -1.196764e+06 ; -1.684023e+06 + i 4.116827e+05 ; -1.056832e+07 + i 5.641281e+06 ; 
1.063370e+08 + i -2.475523e+07 ; -2.593709e+05 + i 1.012306e+06 ; -2.580673e+05 + i 1.012306e+06 ; 2.197780e+08 + i -6.321581e+07 ; -2.397531e+07 + i 5.242113e+06 ; -2.397381e+07 + i 5.242929e+06 ; 2.459947e+07 + i -1.205580e+07 ; -5.495182e+06 + i 3.680023e+06 ; -1.304876e+05 + i 5.292071e+05 ; 3.013567e+07 + i -1.749617e+07 ; -7.821569e+07 + i 2.583842e+07 ; -1.026703e+07 + i 3.007095e+06 ; 2.460043e+07 + i -1.205562e+07 ; -1.313771e+05 + i 5.297202e+05 ; -5.495353e+06 + i 3.680316e+06 ; 3.013658e+07 + i -1.749563e+07 ; -1.027631e+07 + i 3.004519e+06 ; -7.821710e+07 + i 2.583798e+07 ; 3.631032e+06 + i -4.584280e+06 ; -4.514257e+06 + i 2.570503e+06 ; -4.519417e+06 + i 2.569106e+06 ; -4.252322e+06 + i -2.768122e+06 ; -3.558315e+07 + i 1.318864e+07 ; -3.558502e+07 + i 1.318809e+07 ; -4.614726e+09 + i 7.722489e+08 ; -1.629526e+07 + i 3.690641e+05 ; -1.629919e+07 + i 3.700707e+05 ; 1.122531e+09 + i -3.335790e+08 ; 8.357513e+07 + i -1.630086e+07 ; 8.356735e+07 + i -1.630333e+07 ; -5.290985e+08 + i 1.519905e+08 ; -4.152786e+07 + i 7.562314e+06 ; -7.628807e+06 + i 1.257494e+06 ; -2.116035e+08 + i 2.520995e+07 ; 2.711196e+08 + i -8.646408e+07 ; 1.567334e+07 + i -5.838829e+06 ; -5.290901e+08 + i 1.519930e+08 ; -7.629808e+06 + i 1.254592e+06 ; -4.152907e+07 + i 7.560914e+06 ; -2.115986e+08 + i 2.521416e+07 ; 1.571416e+07 + i -5.827063e+06 ; 2.711212e+08 + i -8.646353e+07 ; -5.065025e+07 + i 3.607065e+07 ; -1.713569e+07 + i 4.498189e+06 ; -1.712035e+07 + i 4.502608e+06 ; -3.823999e+07 + i 2.312259e+07 ; 6.157044e+07 + i -2.512308e+07 ; 6.157223e+07 + i -2.512292e+07 ; 
1.081454e+07 + i -1.515542e+06 ; -1.050670e+07 + i 5.668017e+06 ; -1.423519e+06 + i 4.187917e+05 ; 1.742105e+07 + i -3.587946e+06 ; -1.037556e+08 + i 3.044974e+07 ; -4.709308e+06 + i 7.057985e+05 ; -3.872039e+07 + i 1.064682e+07 ; -1.103202e+07 + i 5.271331e+06 ; -9.184236e+05 + i 3.543692e+04 ; -7.778319e+07 + i 2.606346e+07 ; -6.364142e+07 + i 1.409439e+07 ; 3.314069e+06 + i -9.784900e+05 ; 7.670216e+06 + i -1.498402e+06 ; -8.417367e+06 + i 4.220936e+06 ; -2.113318e+06 + i 6.861340e+05 ; 1.099834e+07 + i -2.706848e+06 ; -4.725473e+07 + i 1.752943e+07 ; -8.416621e+06 + i 1.835730e+06 ; -2.060460e+07 + i 6.699597e+06 ; -8.022766e+06 + i 3.835234e+06 ; 5.635367e+05 + i -7.035120e+05 ; -3.647280e+07 + i 1.326750e+07 ; -3.402164e+07 + i 1.119413e+07 ; 1.964033e+07 + i -7.304752e+06 ; -1.829491e+07 + i 1.081839e+06 ; -4.626272e+09 + i 7.743197e+08 ; -1.810963e+07 + i 7.700971e+05 ; -4.396725e+07 + i 8.383426e+06 ; -5.354717e+08 + i 1.538065e+08 ; -9.521431e+06 + i 1.581470e+06 ; 7.602133e+07 + i -1.480724e+07 ; 1.118155e+09 + i -3.329957e+08 ; 8.208254e+07 + i -1.608027e+07 ; 2.680801e+08 + i -8.591347e+07 ; -2.149779e+08 + i 2.608272e+07 ; 1.536055e+07 + i -5.661712e+06 ; -9.634525e+06 + i 1.819718e+06 ; -5.318936e+08 + i 1.532730e+08 ; -4.410065e+07 + i 8.287725e+06 ; -2.027312e+07 + i 5.302194e+06 ; -5.271838e+07 + i 3.716488e+07 ; -1.990123e+07 + i 5.102817e+06 ; 1.125502e+07 + i -4.715873e+06 ; -2.121309e+08 + i 2.571242e+07 ; 2.698665e+08 + i -8.619805e+07 ; 5.911622e+07 + i -2.454338e+07 ; -3.972566e+07 + i 2.377180e+07 ; 6.119138e+07 + i -2.493015e+07 ; 
1.081790e+07 + i -1.515450e+06 ; -1.423627e+06 + i 4.187966e+05 ; -1.050099e+07 + i 5.668743e+06 ; 1.742206e+07 + i -3.587631e+06 ; -4.709231e+06 + i 7.058618e+05 ; -1.037470e+08 + i 3.045092e+07 ; 7.670986e+06 + i -1.498767e+06 ; -2.113211e+06 + i 6.861907e+05 ; -8.413828e+06 + i 4.221333e+06 ; 1.099591e+07 + i -2.707361e+06 ; -8.417411e+06 + i 1.835395e+06 ; -4.725110e+07 + i 1.753119e+07 ; -3.872072e+07 + i 1.064639e+07 ; -9.189176e+05 + i 3.535438e+04 ; -1.103348e+07 + i 5.271598e+06 ; -7.778411e+07 + i 2.606311e+07 ; 3.312332e+06 + i -9.791093e+05 ; -6.364948e+07 + i 1.409250e+07 ; -2.059570e+07 + i 6.700969e+06 ; 5.643083e+05 + i -7.031773e+05 ; -8.024913e+06 + i 3.834608e+06 ; -3.647032e+07 + i 1.326811e+07 ; 1.964103e+07 + i -7.304630e+06 ; -3.401649e+07 + i 1.119536e+07 ; -1.830557e+07 + i 1.081788e+06 ; -1.810972e+07 + i 7.702801e+05 ; -4.626302e+09 + i 7.743084e+08 ; -4.396796e+07 + i 8.382814e+06 ; -9.522035e+06 + i 1.581579e+06 ; -5.354841e+08 + i 1.538108e+08 ; -9.637249e+06 + i 1.821374e+06 ; -4.411022e+07 + i 8.283785e+06 ; -5.320251e+08 + i 1.532300e+08 ; -2.026089e+07 + i 5.306080e+06 ; -1.990570e+07 + i 5.101553e+06 ; -5.272303e+07 + i 3.717573e+07 ; 7.602184e+07 + i -1.480606e+07 ; 8.207660e+07 + i -1.608278e+07 ; 1.118091e+09 + i -3.330148e+08 ; 2.680825e+08 + i -8.591247e+07 ; 1.535563e+07 + i -5.663251e+06 ; -2.150021e+08 + i 2.607834e+07 ; 1.122517e+07 + i -4.720908e+06 ; 2.698654e+08 + i -8.619884e+07 ; -2.121380e+08 + i 2.570632e+07 ; 5.910667e+07 + i -2.454580e+07 ; 6.118869e+07 + i -2.493065e+07 ; -3.973251e+07 + i 2.377541e+07 ; 
5.483538e+07 + i -1.080118e+07 ; 7.525502e+05 + i -1.008549e+05 ; 7.520387e+05 + i -1.009345e+05 ; 1.063815e+08 + i -2.476092e+07 ; 8.133853e+05 + i 4.097956e+05 ; 8.127983e+05 + i 4.100428e+05 ; 1.829469e+07 + i -7.714245e+06 ; -1.656396e+06 + i 9.297936e+05 ; 7.380017e+05 + i -1.306953e+05 ; 2.462572e+07 + i -1.206046e+07 ; -8.339338e+06 + i 4.219330e+06 ; 1.217023e+06 + i 8.800040e+04 ; 1.829593e+07 + i -7.713759e+06 ; 7.379381e+05 + i -1.306237e+05 ; -1.656204e+06 + i 9.298515e+05 ; 2.462786e+07 + i -1.205918e+07 ; 1.213981e+06 + i 8.726644e+04 ; -8.339538e+06 + i 4.219130e+06 ; 5.817650e+06 + i -4.193340e+06 ; -1.241005e+06 + i 7.206440e+05 ; -1.241569e+06 + i 7.205306e+05 ; 3.641464e+06 + i -4.588564e+06 ; -5.296581e+06 + i 2.803346e+06 ; -5.297369e+06 + i 2.802939e+06 ; 1.122852e+09 + i -3.334690e+08 ; -8.398749e+07 + i 1.598633e+07 ; -8.397661e+07 + i 1.599041e+07 ; -4.627119e+09 + i 7.746301e+08 ; 1.844786e+07 + i -7.061684e+05 ; 1.845236e+07 + i -7.067418e+05 ; -2.113026e+08 + i 2.521524e+07 ; -2.757901e+08 + i 8.668719e+07 ; -1.549473e+07 + i 5.654750e+06 ; -5.336750e+08 + i 1.534690e+08 ; 4.509327e+07 + i -8.203029e+06 ; 9.666959e+06 + i -1.593213e+06 ; -2.113070e+08 + i 2.521685e+07 ; -1.552683e+07 + i 5.645073e+06 ; -2.757913e+08 + i 8.668674e+07 ; -5.336538e+08 + i 1.534758e+08 ; 9.666243e+06 + i -1.591154e+06 ; 4.509334e+07 + i -8.202454e+06 ; -3.816657e+07 + i 2.310625e+07 ; -6.216268e+07 + i 2.504964e+07 ; -6.216628e+07 + i 2.504861e+07 ; -5.185143e+07 + i 3.685815e+07 ; 2.034435e+07 + i -5.127376e+06 ; 2.034021e+07 + i -5.128803e+06 ; 
4.828242e+05 + i 5.768521e+05 ; -4.635957e+06 + i 1.966611e+06 ; -6.870114e+05 + i 2.048968e+05 ; 1.608950e+06 + i 5.500523e+05 ; -1.062258e+07 + i 5.624939e+06 ; -2.045817e+06 + i 4.471727e+05 ; -2.298740e+07 + i 4.449860e+06 ; -4.129158e+06 + i 1.787776e+06 ; -5.249212e+05 + i 1.274576e+05 ; -4.300606e+07 + i 1.005779e+07 ; -1.099673e+07 + i 5.278662e+06 ; -1.008421e+06 + i 1.747667e+05 ; 1.227147e+06 + i 3.065891e+05 ; -3.688847e+06 + i 1.679381e+06 ; -8.934342e+05 + i 2.833930e+05 ; 2.741111e+06 + i 8.066315e+04 ; -8.475350e+06 + i 4.206778e+06 ; -3.016492e+06 + i 7.649319e+05 ; -1.511662e+07 + i 3.696597e+06 ; -3.358616e+06 + i 1.534414e+06 ; 4.368704e+04 + i -1.112379e+05 ; -2.557815e+07 + i 7.108514e+06 ; -8.001571e+06 + i 3.839096e+06 ; 1.848366e+06 + i -9.260034e+05 ; 4.771035e+07 + i -7.727042e+06 ; -5.359913e+08 + i 1.536834e+08 ; -9.590169e+06 + i 1.560372e+06 ; 1.912043e+07 + i -2.488000e+05 ; -4.631518e+09 + i 7.750414e+08 ; -1.852972e+07 + i 6.542126e+05 ; -3.004175e+08 + i 8.855647e+07 ; -2.150632e+08 + i 2.610399e+07 ; 1.555730e+07 + i -5.749166e+06 ; -9.236234e+07 + i 1.590770e+07 ; 1.113975e+09 + i -3.324448e+08 ; 8.411741e+07 + i -1.608781e+07 ; 2.118405e+07 + i -4.885063e+06 ; -5.274860e+07 + i 3.718404e+07 ; -2.019061e+07 + i 5.107983e+06 ; 9.822978e+06 + i -1.361823e+06 ; -5.360920e+08 + i 1.540535e+08 ; -4.508081e+07 + i 8.184117e+06 ; -6.994406e+07 + i 2.627399e+07 ; -3.975819e+07 + i 2.376690e+07 ; 6.250978e+07 + i -2.516617e+07 ; -1.833027e+07 + i 6.025756e+06 ; -2.157660e+08 + i 2.627852e+07 ; 2.761680e+08 + i -8.682417e+07 ; 
4.842148e+05 + i 5.770250e+05 ; -6.871067e+05 + i 2.048930e+05 ; -4.637515e+06 + i 1.966737e+06 ; 1.607902e+06 + i 5.502572e+05 ; -2.045880e+06 + i 4.471818e+05 ; -1.062566e+07 + i 5.625545e+06 ; 1.226865e+06 + i 3.061462e+05 ; -8.934195e+05 + i 2.834098e+05 ; -3.692538e+06 + i 1.678346e+06 ; 2.737119e+06 + i 7.954160e+04 ; -3.016680e+06 + i 7.649223e+05 ; -8.483969e+06 + i 4.204744e+06 ; -2.298755e+07 + i 4.449665e+06 ; -5.251970e+05 + i 1.273845e+05 ; -4.130705e+06 + i 1.787758e+06 ; -4.300728e+07 + i 1.005749e+07 ; -1.009375e+06 + i 1.744338e+05 ; -1.100047e+07 + i 5.278206e+06 ; -1.511198e+07 + i 3.697982e+06 ; 4.387956e+04 + i -1.111588e+05 ; -3.361381e+06 + i 1.533919e+06 ; -2.557777e+07 + i 7.109306e+06 ; 1.848430e+06 + i -9.259790e+05 ; -8.005907e+06 + i 3.837608e+06 ; 4.771327e+07 + i -7.726195e+06 ; -9.590471e+06 + i 1.560559e+06 ; -5.359965e+08 + i 1.536910e+08 ; 1.912563e+07 + i -2.487720e+05 ; -1.852977e+07 + i 6.545596e+05 ; -4.631536e+09 + i 7.750364e+08 ; 2.117742e+07 + i -4.887344e+06 ; -2.019520e+07 + i 5.106586e+06 ; -5.274862e+07 + i 3.719784e+07 ; 9.819609e+06 + i -1.364500e+06 ; -4.509039e+07 + i 8.180174e+06 ; -5.362612e+08 + i 1.540003e+08 ; -3.004181e+08 + i 8.855568e+07 ; 1.555343e+07 + i -5.750171e+06 ; -2.150913e+08 + i 2.609666e+07 ; -9.236347e+07 + i 1.590662e+07 ; 8.410977e+07 + i -1.609112e+07 ; 1.113912e+09 + i -3.324636e+08 ; -6.993253e+07 + i 2.627772e+07 ; 6.250934e+07 + i -2.516555e+07 ; -3.971878e+07 + i 2.378444e+07 ; -1.831699e+07 + i 6.028535e+06 ; 2.761655e+08 + i -8.682557e+07 ; -2.157794e+08 + i 2.626970e+07 ; 
2.450931e+07 + i -1.208212e+07 ; 6.109104e+06 + i -3.893364e+06 ; -1.351891e+05 + i 5.411123e+05 ; 3.022982e+07 + i -1.746353e+07 ; 8.605030e+07 + i -2.640993e+07 ; -1.050552e+07 + i 3.027872e+06 ; 1.063271e+08 + i -2.476739e+07 ; 4.678545e+05 + i -1.057061e+06 ; -2.820324e+05 + i 1.032020e+06 ; 2.198213e+08 + i -6.319563e+07 ; 2.664059e+07 + i -5.086924e+06 ; -2.455432e+07 + i 5.241751e+06 ; 3.594572e+06 + i -4.591193e+06 ; 5.002425e+06 + i -2.703428e+06 ; -4.636447e+06 + i 2.603446e+06 ; -4.237431e+06 + i -2.765413e+06 ; 3.918895e+07 + i -1.357782e+07 ; -3.644081e+07 + i 1.330508e+07 ; 2.460394e+07 + i -1.205566e+07 ; 2.275030e+05 + i -5.630500e+05 ; -5.637226e+06 + i 3.734658e+06 ; 3.015017e+07 + i -1.748803e+07 ; 1.140933e+07 + i -3.019329e+06 ; -8.006277e+07 + i 2.602821e+07 ; -5.294480e+08 + i 1.518735e+08 ; 4.363186e+07 + i -7.825219e+06 ; -7.779903e+06 + i 1.251477e+06 ; -2.118296e+08 + i 2.514945e+07 ; -2.971073e+08 + i 8.849947e+07 ; 1.586548e+07 + i -5.916068e+06 ; -4.614994e+09 + i 7.721395e+08 ; 1.699082e+07 + i -3.061087e+05 ; -1.661150e+07 + i 3.086862e+05 ; 1.122328e+09 + i -3.336267e+08 ; -8.970154e+07 + i 1.642329e+07 ; 8.536428e+07 + i -1.626824e+07 ; -5.070362e+07 + i 3.607675e+07 ; 1.870863e+07 + i -4.513646e+06 ; -1.741527e+07 + i 4.526226e+06 ; -3.830828e+07 + i 2.310710e+07 ; -6.765791e+07 + i 2.603538e+07 ; 6.302883e+07 + i -2.537701e+07 ; -5.290751e+08 + i 1.520136e+08 ; 8.213310e+06 + i -1.210364e+06 ; -4.237388e+07 + i 7.531995e+06 ; -2.115575e+08 + i 2.522726e+07 ; -1.716128e+07 + i 5.999482e+06 ; 2.774214e+08 + i -8.706328e+07 ; 
3.951860e+07 + i -1.068260e+07 ; -1.089700e+07 + i 5.311517e+06 ; 9.339965e+05 + i -3.227727e+04 ; 7.933872e+07 + i -2.625959e+07 ; -6.345235e+07 + i 1.414640e+07 ; -3.404926e+06 + i 9.817447e+05 ; -1.114691e+07 + i 1.459029e+06 ; -1.058644e+07 + i 5.637867e+06 ; 1.453989e+06 + i -4.210007e+05 ; -1.818956e+07 + i 3.462546e+06 ; -1.038541e+08 + i 3.041159e+07 ; 4.799837e+06 + i -7.015596e+05 ; 2.103372e+07 + i -6.739939e+06 ; -7.951091e+06 + i 3.851672e+06 ; -5.803233e+05 + i 7.164894e+05 ; 3.720233e+07 + i -1.338242e+07 ; -3.394670e+07 + i 1.121157e+07 ; -2.010564e+07 + i 7.372134e+06 ; -7.880041e+06 + i 1.481580e+06 ; -8.462128e+06 + i 4.207356e+06 ; 2.164178e+06 + i -6.904889e+05 ; -1.140143e+07 + i 2.669193e+06 ; -4.730002e+07 + i 1.751386e+07 ; 8.613673e+06 + i -1.834068e+06 ; -7.604826e+07 + i 1.523418e+07 ; 1.118591e+09 + i -3.329005e+08 ; -8.408050e+07 + i 1.601932e+07 ; -2.740434e+08 + i 8.652789e+07 ; -2.151378e+08 + i 2.603701e+07 ; -1.572396e+07 + i 5.711485e+06 ; 1.853936e+07 + i -1.179829e+06 ; -4.626482e+09 + i 7.742412e+08 ; 1.843437e+07 + i -7.216303e+05 ; 4.324318e+07 + i -8.853429e+06 ; -5.354782e+08 + i 1.538248e+08 ; 9.684484e+06 + i -1.580600e+06 ; -1.146253e+07 + i 4.753949e+06 ; -2.119812e+08 + i 2.575135e+07 ; -2.762208e+08 + i 8.679438e+07 ; -6.042718e+07 + i 2.477623e+07 ; -3.974102e+07 + i 2.377361e+07 ; -6.258259e+07 + i 2.519191e+07 ; 9.736659e+06 + i -1.832942e+06 ; -5.319623e+08 + i 1.532484e+08 ; 4.514963e+07 + i -8.249845e+06 ; 2.062478e+07 + i -5.315821e+06 ; -5.275578e+07 + i 3.715244e+07 ; 2.037355e+07 + i -5.118694e+06 ; 
7.823854e+06 + i -1.494117e+06 ; 2.327394e+06 + i -6.994352e+05 ; -8.404137e+06 + i 4.223734e+06 ; 1.120061e+07 + i -2.708958e+06 ; 9.242918e+06 + i -1.808153e+06 ; -4.725906e+07 + i 1.753121e+07 ; 1.103496e+07 + i -1.495287e+06 ; 1.572215e+06 + i -4.184716e+05 ; -1.050344e+07 + i 5.667969e+06 ; 1.777168e+07 + i -3.576193e+06 ; 5.156226e+06 + i -6.593393e+05 ; -1.037604e+08 + i 3.044614e+07 ; -2.104249e+07 + i 6.742349e+06 ; -6.577131e+05 + i 7.468795e+05 ; -8.021988e+06 + i 3.834917e+06 ; -3.734932e+07 + i 1.334902e+07 ; -2.164556e+07 + i 7.517617e+06 ; -3.400437e+07 + i 1.119882e+07 ; -3.957849e+07 + i 1.068218e+07 ; 9.454060e+05 + i -3.521221e+04 ; -1.102871e+07 + i 5.272377e+06 ; -7.952682e+07 + i 2.622657e+07 ; -3.743829e+06 + i 9.658319e+05 ; -6.363650e+07 + i 1.409581e+07 ; -9.890526e+06 + i 1.837950e+06 ; 4.829219e+07 + i -8.036660e+06 ; -5.324288e+08 + i 1.531314e+08 ; -2.080825e+07 + i 5.343819e+06 ; 2.182368e+07 + i -5.131945e+06 ; -5.277211e+07 + i 3.718536e+07 ; -1.872074e+07 + i 1.017877e+06 ; 1.965238e+07 + i -4.604665e+05 ; -4.626483e+09 + i 7.742445e+08 ; -4.501268e+07 + i 8.350347e+06 ; 1.032437e+07 + i -1.541837e+06 ; -5.355421e+08 + i 1.538113e+08 ; 1.113940e+07 + i -4.914460e+06 ; -2.964172e+08 + i 8.798987e+07 ; -2.120803e+08 + i 2.572400e+07 ; 6.031929e+07 + i -2.484686e+07 ; -6.709038e+07 + i 2.591190e+07 ; -3.972095e+07 + i 2.377673e+07 ; 7.781599e+07 + i -1.473190e+07 ; -8.998355e+07 + i 1.566078e+07 ; 1.118133e+09 + i -3.329936e+08 ; 2.741081e+08 + i -8.638272e+07 ; -1.655367e+07 + i 5.927244e+06 ; -2.149973e+08 + i 2.608309e+07 ; 
1.823873e+07 + i -7.727072e+06 ; 1.688086e+06 + i -9.774381e+05 ; 7.539686e+05 + i -1.302243e+05 ; 2.459539e+07 + i -1.204407e+07 ; 8.985629e+06 + i -4.401301e+06 ; 1.248884e+06 + i 9.612471e+04 ; 5.483753e+07 + i -1.080394e+07 ; -1.172549e+06 + i 1.636440e+04 ; 7.647107e+05 + i -9.992867e+04 ; 1.063879e+08 + i -2.474722e+07 ; -1.573207e+06 + i -5.883365e+05 ; 8.227271e+05 + i 4.217962e+05 ; 5.779452e+06 + i -4.198638e+06 ; 1.279550e+06 + i -7.567077e+05 ; -1.270160e+06 + i 7.293111e+05 ; 3.585616e+06 + i -4.590145e+06 ; 5.708779e+06 + i -2.934511e+06 ; -5.416629e+06 + i 2.834905e+06 ; 1.829857e+07 + i -7.712106e+06 ; -1.000609e+06 + i 9.885802e+04 ; -1.693192e+06 + i 9.410664e+05 ; 2.462316e+07 + i -1.205313e+07 ; -1.658839e+06 + i -1.646273e+05 ; -8.522335e+06 + i 4.266538e+06 ; -2.129785e+08 + i 2.495693e+07 ; 3.036811e+08 + i -8.804234e+07 ; -1.573904e+07 + i 5.721747e+06 ; -5.335392e+08 + i 1.534902e+08 ; -4.035645e+07 + i 9.063646e+06 ; 9.875584e+06 + i -1.584598e+06 ; 1.122134e+09 + i -3.336633e+08 ; 8.301395e+07 + i -1.664585e+07 ; -8.570035e+07 + i 1.595759e+07 ; -4.627064e+09 + i 7.746525e+08 ; -2.022416e+07 + i 3.127584e+05 ; 1.882577e+07 + i -6.429521e+05 ; -3.834257e+07 + i 2.314062e+07 ; 6.837427e+07 + i -2.585511e+07 ; -6.350414e+07 + i 2.527728e+07 ; -5.195736e+07 + i 3.683480e+07 ; -2.194774e+07 + i 5.011307e+06 ; 2.076716e+07 + i -5.144519e+06 ; -2.112458e+08 + i 2.525801e+07 ; 1.664355e+07 + i -5.707397e+06 ; -2.815787e+08 + i 8.722780e+07 ; -5.336211e+08 + i 1.534873e+08 ; -1.042227e+07 + i 1.483571e+06 ; 4.602212e+07 + i -8.176045e+06 ; 
2.371328e+07 + i -4.389576e+06 ; -4.241690e+06 + i 1.755446e+06 ; 5.364045e+05 + i -1.274566e+05 ; 4.432775e+07 + i -1.000550e+07 ; -1.122315e+07 + i 5.226263e+06 ; 1.029432e+06 + i -1.737817e+05 ; -1.235004e+05 + i -5.141940e+05 ; -4.610252e+06 + i 1.982438e+06 ; 7.018087e+05 + i -2.056813e+05 ; -9.646995e+05 + i -4.630126e+05 ; -1.055825e+07 + i 5.652392e+06 ; 2.085944e+06 + i -4.472282e+05 ; 1.559777e+07 + i -3.678008e+06 ; -3.418088e+06 + i 1.523540e+06 ; -4.416484e+04 + i 1.134482e+05 ; 2.638316e+07 + i -7.100358e+06 ; -8.095836e+06 + i 3.827019e+06 ; -1.886234e+06 + i 9.371461e+05 ; -1.041137e+06 + i -2.935769e+05 ; -3.669335e+06 + i 1.686839e+06 ; 9.132462e+05 + i -2.849060e+05 ; -2.451770e+06 + i -6.738480e+04 ; -8.434938e+06 + i 4.217145e+06 ; 3.082102e+06 + i -7.662880e+05 ; 3.081512e+08 + i -8.856498e+07 ; -2.167612e+08 + i 2.583897e+07 ; -1.590661e+07 + i 5.794260e+06 ; 8.561915e+07 + i -1.685655e+07 ; 1.113709e+09 + i -3.325154e+08 ; -8.587695e+07 + i 1.603838e+07 ; -3.975094e+07 + i 8.825749e+06 ; -5.353167e+08 + i 1.538596e+08 ; 9.733298e+06 + i -1.559319e+06 ; -1.947925e+07 + i 1.388431e+05 ; -4.631395e+09 + i 7.750913e+08 ; 1.879036e+07 + i -6.138295e+05 ; 7.161610e+07 + i -2.638923e+07 ; -3.988413e+07 + i 2.381587e+07 ; -6.384118e+07 + i 2.540128e+07 ; 1.838330e+07 + i -5.945716e+06 ; -2.155538e+08 + i 2.635007e+07 ; -2.819474e+08 + i 8.737529e+07 ; -2.125329e+07 + i 4.770230e+06 ; -5.283724e+07 + i 3.713722e+07 ; 2.062100e+07 + i -5.119512e+06 ; -9.854576e+06 + i 1.312986e+06 ; -5.361562e+08 + i 1.540176e+08 ; 4.602156e+07 + i -8.149815e+06 ; 
