-2.569414e+10 + i 4.602957e+10 ; -6.678327e+08 + i -1.331268e+09 ; -6.645445e+08 + i -1.330079e+09 ; -9.716572e+08 + i -2.863145e+10 ; 3.422147e+09 + i -1.080125e+09 ; 3.420709e+09 + i -1.074810e+09 ; 2.399062e+09 + i 1.101460e+10 ; -1.449803e+09 + i 5.797307e+08 ; -1.001733e+09 + i -6.972503e+08 ; -9.910837e+09 + i 1.288779e+09 ; -1.131516e+09 + i -8.769650e+09 ; 9.214721e+08 + i -1.465127e+09 ; 2.403306e+09 + i 1.101229e+10 ; -1.008080e+09 + i -6.970240e+08 ; -1.452618e+09 + i 5.772016e+08 ; -9.906192e+09 + i 1.287352e+09 ; 9.156136e+08 + i -1.476253e+09 ; -1.131612e+09 + i -8.771118e+09 ; 2.228818e+09 + i 2.409912e+09 ; -7.668253e+08 + i 4.723957e+08 ; -7.654402e+08 + i 4.668464e+08 ; -2.665547e+09 + i 6.428372e+09 ; -1.601741e+09 + i -2.759402e+09 ; -1.600451e+09 + i -2.762059e+09 ; 1.259556e+09 + i -2.013801e+09 ; -6.619494e+07 + i -3.261935e+08 ; -6.669612e+07 + i -3.250320e+08 ; 7.350657e+08 + i -7.022127e+08 ; -1.645318e+08 + i -9.054506e+07 ; -1.641967e+08 + i -9.019368e+07 ; -2.429464e+08 + i -1.998462e+09 ; -5.297419e+08 + i -5.229270e+08 ; -1.578212e+08 + i -2.630507e+08 ; 4.513075e+08 + i -1.264909e+09 ; -2.725691e+08 + i -8.890796e+07 ; -1.744034e+08 + i -5.971706e+07 ; -2.421194e+08 + i -1.999207e+09 ; -1.591383e+08 + i -2.645509e+08 ; -5.304375e+08 + i -5.231420e+08 ; 4.519750e+08 + i -1.264109e+09 ; -1.753917e+08 + i -5.979679e+07 ; -2.731080e+08 + i -8.878140e+07 ; -1.042605e+09 + i -1.502611e+09 ; -4.715060e+08 + i -3.493059e+08 ; -4.721056e+08 + i -3.494985e+08 ; -1.253559e+07 + i -1.576112e+09 ; -2.522584e+08 + i -5.940646e+07 ; -2.525203e+08 + i -5.966715e+07 ; 
-1.179875e+09 + i -2.327126e+09 ; -1.061817e+09 + i -2.323296e+09 ; -2.877111e+09 + i 6.458374e+09 ; 7.006802e+08 + i -1.277160e+09 ; -3.651164e+08 + i -7.005884e+09 ; -9.926787e+09 + i 1.364918e+09 ; -4.656095e+08 + i -7.048853e+09 ; 8.685948e+08 + i -1.375665e+09 ; -1.003550e+10 + i 1.284273e+09 ; 3.198411e+09 + i -8.942651e+08 ; 3.406288e+09 + i -9.688919e+08 ; -1.049350e+09 + i -2.846778e+10 ; -6.722360e+08 + i 5.746978e+08 ; -5.686739e+08 + i 5.201080e+08 ; 1.983097e+09 + i 2.376535e+09 ; -8.440486e+08 + i -5.329010e+08 ; -1.770816e+09 + i 7.184029e+08 ; 2.292348e+09 + i 1.095164e+10 ; -1.868952e+09 + i 7.454700e+08 ; -7.844071e+08 + i -6.417722e+08 ; 2.204765e+09 + i 1.092398e+10 ; -5.243596e+08 + i -1.013451e+09 ; -4.576891e+08 + i -1.114397e+09 ; -2.572815e+10 + i 4.596919e+10 ; 4.364964e+08 + i 1.263667e+09 ; -2.998813e+08 + i -6.630135e+08 ; -6.072851e+08 + i 1.748651e+09 ; -2.315486e+08 + i 8.235448e+08 ; -1.991986e+08 + i -6.615168e+07 ; 3.527213e+08 + i 9.179230e+08 ; 2.133064e+08 + i 2.333730e+09 ; 6.347622e+07 + i -1.786917e+08 ; -1.425106e+09 + i 1.423845e+09 ; -7.066574e+08 + i 8.732409e+08 ; -8.792744e+07 + i -6.736628e+07 ; 1.528305e+08 + i 1.062704e+09 ; 4.779242e+08 + i -1.267950e+08 ; -3.007331e+08 + i 1.276406e+08 ; 3.932617e+08 + i 1.592831e+09 ; 4.705681e+08 + i 2.329698e+08 ; -1.189426e+08 + i 8.304507e+07 ; 3.037496e+08 + i 6.772613e+08 ; 5.460742e+08 + i -6.435839e+07 ; -2.579085e+08 + i -1.313411e+08 ; 2.420315e+08 + i 2.410673e+09 ; 3.905774e+08 + i 3.328979e+08 ; -1.739407e+08 + i 1.698150e+07 ; 3.265369e+08 + i 7.240452e+08 ; 
1.282166e+09 + i -2.023408e+09 ; -5.119277e+07 + i 6.089085e+08 ; -5.187548e+07 + i 6.085328e+08 ; -4.011413e+08 + i -5.182509e+09 ; -1.138273e+09 + i 5.829645e+08 ; -1.137418e+09 + i 5.818575e+08 ; -2.334253e+08 + i -2.008487e+09 ; 5.229731e+08 + i 5.033776e+08 ; 9.535826e+07 + i 4.902116e+08 ; -1.515473e+09 + i -2.022964e+09 ; 4.179730e+08 + i 2.687587e+09 ; -5.965719e+08 + i 6.545876e+08 ; -2.334307e+08 + i -2.006716e+09 ; 9.785265e+07 + i 4.909373e+08 ; 5.238331e+08 + i 5.048798e+08 ; -1.514881e+09 + i -2.020002e+09 ; -5.944841e+08 + i 6.577129e+08 ; 4.179617e+08 + i 2.688660e+09 ; -1.037573e+09 + i -1.504479e+09 ; 3.991605e+08 + i 3.556743e+08 ; 3.983837e+08 + i 3.577430e+08 ; -1.402177e+09 + i -7.664895e+08 ; 5.023919e+08 + i 1.448576e+09 ; 5.015249e+08 + i 1.449641e+09 ; -2.533915e+10 + i 4.570765e+10 ; -4.977000e+08 + i -1.284534e+09 ; -4.944721e+08 + i -1.283729e+09 ; -9.736732e+08 + i -2.862004e+10 ; 3.510179e+09 + i -1.073662e+09 ; 3.508728e+09 + i -1.068539e+09 ; 2.562502e+09 + i 1.063385e+10 ; -1.284947e+09 + i 4.802393e+08 ; -8.523980e+08 + i -6.781981e+08 ; -9.917980e+09 + i 1.281171e+09 ; -1.068518e+09 + i -8.814533e+09 ; 1.028261e+09 + i -1.508796e+09 ; 2.565693e+09 + i 1.063179e+10 ; -8.581632e+08 + i -6.778579e+08 ; -1.287618e+09 + i 4.776791e+08 ; -9.914037e+09 + i 1.280357e+09 ; 1.022759e+09 + i -1.519835e+09 ; -1.068537e+09 + i -8.816130e+09 ; 2.243624e+09 + i 2.028537e+09 ; -6.322685e+08 + i 4.143028e+08 ; -6.307276e+08 + i 4.088973e+08 ; -2.676427e+09 + i 6.428394e+09 ; -1.520608e+09 + i -2.810962e+09 ; -1.519085e+09 + i -2.813598e+09 ; 
5.974626e+08 + i 3.861903e+08 ; 3.371823e+08 + i 7.096594e+08 ; -2.159145e+08 + i 2.255579e+07 ; 8.252817e+08 + i -2.110689e+08 ; 2.536455e+08 + i 2.402936e+09 ; -3.207275e+08 + i -1.549337e+08 ; -7.524384e+08 + i 1.121616e+09 ; 1.549781e+08 + i 1.057403e+09 ; -1.028635e+08 + i -8.828740e+07 ; 5.161951e+08 + i 2.840224e+09 ; -1.398809e+09 + i 1.404527e+09 ; 1.077162e+08 + i -2.307050e+08 ; 6.686781e+08 + i 2.166398e+08 ; 3.083492e+08 + i 6.588571e+08 ; -1.486467e+08 + i 1.027014e+08 ; 6.414336e+08 + i -2.711683e+08 ; 4.018689e+08 + i 1.578959e+09 ; -3.638250e+08 + i 1.489663e+08 ; -1.855061e+08 + i 1.003927e+09 ; 3.533217e+08 + i 9.156594e+08 ; -2.477161e+08 + i -7.107102e+07 ; 6.646875e+08 + i 1.503937e+09 ; -6.037201e+08 + i 1.739080e+09 ; -4.189009e+08 + i -8.079289e+08 ; -7.692127e+08 + i -1.124243e+09 ; -2.573760e+10 + i 4.597210e+10 ; -6.824362e+08 + i -1.322795e+09 ; -1.515337e+09 + i 7.103970e+08 ; 2.236909e+09 + i 1.098486e+10 ; -9.944712e+08 + i -6.984842e+08 ; 3.117147e+09 + i -1.012323e+09 ; -1.123400e+09 + i -2.854232e+10 ; 3.427955e+09 + i -1.086183e+09 ; -1.172816e+09 + i -8.761398e+09 ; -1.016977e+10 + i 1.361099e+09 ; 9.463586e+08 + i -1.458973e+09 ; -1.041768e+09 + i -5.238975e+08 ; 2.335106e+09 + i 1.097829e+10 ; -1.459092e+09 + i 5.955432e+08 ; -8.655650e+08 + i 5.531358e+08 ; 2.052215e+09 + i 2.378133e+09 ; -7.591581e+08 + i 4.614101e+08 ; 7.335513e+08 + i -1.350949e+09 ; -1.005298e+10 + i 1.434048e+09 ; -1.107555e+09 + i -8.755307e+09 ; -1.690360e+09 + i -2.774887e+09 ; -2.913651e+09 + i 6.556978e+09 ; -1.567702e+09 + i -2.778973e+09 ; 
5.963117e+08 + i 3.861272e+08 ; -2.159812e+08 + i 2.255434e+07 ; 3.361392e+08 + i 7.079207e+08 ; 8.253322e+08 + i -2.113517e+08 ; -3.210036e+08 + i -1.549143e+08 ; 2.518625e+08 + i 2.404366e+09 ; 6.676534e+08 + i 2.165713e+08 ; -1.482901e+08 + i 1.028674e+08 ; 3.068624e+08 + i 6.565774e+08 ; 6.411317e+08 + i -2.708294e+08 ; -3.638740e+08 + i 1.495405e+08 ; 4.038192e+08 + i 1.580089e+09 ; -7.532834e+08 + i 1.120288e+09 ; -1.030569e+08 + i -8.783203e+07 ; 1.567822e+08 + i 1.058830e+09 ; 5.158761e+08 + i 2.839609e+09 ; 1.070615e+08 + i -2.299649e+08 ; -1.395247e+09 + i 1.407722e+09 ; -1.855378e+08 + i 1.001761e+09 ; -2.473672e+08 + i -7.087767e+07 ; 3.523466e+08 + i 9.168659e+08 ; 6.655775e+08 + i 1.503038e+09 ; -4.187126e+08 + i -8.080028e+08 ; -6.046174e+08 + i 1.740104e+09 ; -7.655524e+08 + i -1.124712e+09 ; -6.824596e+08 + i -1.322283e+09 ; -2.574358e+10 + i 4.598265e+10 ; -1.515609e+09 + i 7.095522e+08 ; -9.941294e+08 + i -6.976886e+08 ; 2.252163e+09 + i 1.098716e+10 ; -1.038303e+09 + i -5.240886e+08 ; -1.461831e+09 + i 5.988945e+08 ; 2.351322e+09 + i 1.101296e+10 ; -8.631604e+08 + i 5.503464e+08 ; -7.596343e+08 + i 4.650968e+08 ; 2.079830e+09 + i 2.379450e+09 ; 3.119131e+09 + i -1.009830e+09 ; 3.426103e+09 + i -1.084249e+09 ; -1.115883e+09 + i -2.852967e+10 ; -1.171817e+09 + i -8.760625e+09 ; 9.449355e+08 + i -1.457307e+09 ; -1.016251e+10 + i 1.360263e+09 ; 7.344192e+08 + i -1.345959e+09 ; -1.107683e+09 + i -8.755692e+09 ; -1.005399e+10 + i 1.427636e+09 ; -1.692158e+09 + i -2.773589e+09 ; -1.568427e+09 + i -2.778048e+09 ; -2.907482e+09 + i 6.548565e+09 ; 
7.421315e+08 + i -6.956667e+08 ; 1.513044e+08 + i 8.960322e+07 ; 1.514016e+08 + i 8.943705e+07 ; 1.262390e+09 + i -2.022702e+09 ; 5.546400e+07 + i 3.092343e+08 ; 5.619495e+07 + i 3.078199e+08 ; 4.550813e+08 + i -1.263102e+09 ; 2.569977e+08 + i 8.789881e+07 ; 1.623014e+08 + i 6.105891e+07 ; -2.445597e+08 + i -2.005017e+09 ; 4.961931e+08 + i 5.013002e+08 ; 1.436302e+08 + i 2.509580e+08 ; 4.545180e+08 + i -1.262112e+09 ; 1.628943e+08 + i 6.097414e+07 ; 2.574308e+08 + i 8.771884e+07 ; -2.452729e+08 + i -2.005021e+09 ; 1.449244e+08 + i 2.523992e+08 ; 4.961860e+08 + i 5.011300e+08 ; -1.529686e+07 + i -1.574870e+09 ; 2.381459e+08 + i 5.963840e+07 ; 2.383927e+08 + i 6.005696e+07 ; -1.046062e+09 + i -1.504246e+09 ; 4.427157e+08 + i 3.356173e+08 ; 4.425064e+08 + i 3.360502e+08 ; -9.744031e+08 + i -2.863856e+10 ; -3.254975e+09 + i 9.847446e+08 ; -3.252386e+09 + i 9.800457e+08 ; -2.571144e+10 + i 4.604531e+10 ; 6.183184e+08 + i 1.271361e+09 ; 6.152233e+08 + i 1.270267e+09 ; -9.910379e+09 + i 1.288569e+09 ; 9.502451e+08 + i 8.324167e+09 ; -8.917855e+08 + i 1.377453e+09 ; 2.391435e+09 + i 1.101730e+10 ; 1.378673e+09 + i -5.351362e+08 ; 9.418672e+08 + i 6.734100e+08 ; -9.906775e+09 + i 1.286119e+09 ; -8.865546e+08 + i 1.388058e+09 ; 9.506454e+08 + i 8.325252e+09 ; 2.394653e+09 + i 1.101301e+10 ; 9.481812e+08 + i 6.736067e+08 ; 1.380902e+09 + i -5.330919e+08 ; -2.660612e+09 + i 6.427527e+09 ; 1.479583e+09 + i 2.637476e+09 ; 1.478319e+09 + i 2.639895e+09 ; 2.211476e+09 + i 2.408282e+09 ; 7.316797e+08 + i -4.367538e+08 ; 7.300631e+08 + i -4.322551e+08 ; 
-1.709087e+08 + i 1.586048e+08 ; 2.484880e+08 + i 3.468785e+08 ; -8.989914e+07 + i 5.047753e+07 ; -1.084527e+08 + i 2.213759e+08 ; 3.272523e+08 + i 7.236317e+08 ; -1.935771e+08 + i 1.400264e+07 ; -4.752829e+08 + i 1.583807e+08 ; 2.994955e+08 + i 3.688776e+08 ; -7.188506e+07 + i 2.580570e+07 ; -6.025730e+08 + i 7.062297e+08 ; 1.566933e+08 + i 1.061349e+09 ; -1.249375e+08 + i -3.598575e+07 ; -1.278961e+08 + i 1.952338e+08 ; 2.725649e+08 + i 3.344517e+08 ; -7.639033e+07 + i 6.310612e+07 ; -4.001119e+07 + i 2.052303e+08 ; 3.064976e+08 + i 6.743237e+08 ; -1.705336e+08 + i 8.233005e+07 ; -4.034323e+08 + i 2.425541e+08 ; 3.155873e+08 + i 3.185911e+08 ; -9.681402e+07 + i 1.488535e+07 ; -3.577581e+08 + i 6.249335e+08 ; 3.564873e+08 + i 9.180606e+08 ; -2.015157e+08 + i -9.859519e+07 ; 1.121162e+09 + i -4.131961e+08 ; 2.250276e+09 + i 1.098916e+10 ; -9.311404e+08 + i -6.779789e+08 ; 4.325096e+08 + i 1.096734e+09 ; -2.589244e+10 + i 4.595518e+10 ; -5.966261e+08 + i -1.281515e+09 ; 4.665647e+08 + i 7.176433e+09 ; -1.016474e+10 + i 1.351018e+09 ; 9.306652e+08 + i -1.382031e+09 ; -2.903457e+09 + i 6.982007e+08 ; -1.280570e+09 + i -2.862914e+10 ; 3.292861e+09 + i -9.812865e+08 ; 5.625319e+08 + i -3.584689e+08 ; 2.058638e+09 + i 2.375035e+09 ; -7.254491e+08 + i 4.292254e+08 ; 7.350065e+08 + i 5.973945e+08 ; 2.201891e+09 + i 1.095361e+10 ; -1.372175e+09 + i 5.137306e+08 ; 1.078173e+09 + i 2.297776e+09 ; -2.918742e+09 + i 6.557577e+09 ; -1.446937e+09 + i -2.660936e+09 ; -8.822755e+08 + i 1.131958e+09 ; -1.022031e+10 + i 1.352175e+09 ; -9.112807e+08 + i -8.353661e+09 ; 
-1.710127e+08 + i 1.582712e+08 ; -8.998347e+07 + i 5.049010e+07 ; 2.482797e+08 + i 3.474918e+08 ; -1.080785e+08 + i 2.212483e+08 ; -1.937432e+08 + i 1.406864e+07 ; 3.297523e+08 + i 7.247824e+08 ; -1.281733e+08 + i 1.948819e+08 ; -7.624273e+07 + i 6.301596e+07 ; 2.714631e+08 + i 3.343572e+08 ; -4.022077e+07 + i 2.050118e+08 ; -1.703803e+08 + i 8.255840e+07 ; 3.073560e+08 + i 6.739899e+08 ; -4.749073e+08 + i 1.581067e+08 ; -7.192371e+07 + i 2.606099e+07 ; 3.009103e+08 + i 3.695942e+08 ; -6.021501e+08 + i 7.062944e+08 ; -1.252216e+08 + i -3.551411e+07 ; 1.589506e+08 + i 1.061721e+09 ; -4.030166e+08 + i 2.421512e+08 ; -9.660855e+07 + i 1.491011e+07 ; 3.154378e+08 + i 3.197272e+08 ; -3.569711e+08 + i 6.251314e+08 ; -2.014011e+08 + i -9.851305e+07 ; 3.558884e+08 + i 9.185961e+08 ; 1.121584e+09 + i -4.134387e+08 ; -9.309078e+08 + i -6.774714e+08 ; 2.264529e+09 + i 1.099233e+10 ; 4.294371e+08 + i 1.097781e+09 ; -5.965648e+08 + i -1.280872e+09 ; -2.589513e+10 + i 4.596630e+10 ; 5.620409e+08 + i -3.576544e+08 ; -7.259062e+08 + i 4.326361e+08 ; 2.084640e+09 + i 2.375281e+09 ; 7.327037e+08 + i 5.973598e+08 ; -1.374380e+09 + i 5.171982e+08 ; 2.218313e+09 + i 1.098796e+10 ; 4.671413e+08 + i 7.175201e+09 ; 9.292943e+08 + i -1.380498e+09 ; -1.015831e+10 + i 1.349415e+09 ; -2.904599e+09 + i 6.966252e+08 ; 3.291083e+09 + i -9.794884e+08 ; -1.270682e+09 + i -2.861924e+10 ; 1.080469e+09 + i 2.297041e+09 ; -1.447233e+09 + i -2.659957e+09 ; -2.912759e+09 + i 6.546148e+09 ; -8.828388e+08 + i 1.130557e+09 ; -9.116489e+08 + i -8.353725e+09 ; -1.022042e+10 + i 1.346551e+09 ; 
-2.321732e+08 + i -1.997347e+09 ; -4.527782e+08 + i -4.307108e+08 ; 8.096983e+07 + i 4.668610e+08 ; -1.531067e+09 + i -2.017994e+09 ; -2.748816e+08 + i -2.227123e+09 ; -5.776742e+08 + i 6.061933e+08 ; 1.268564e+09 + i -2.023685e+09 ; 2.895447e+07 + i -5.184663e+08 ; -6.123336e+07 + i 5.753375e+08 ; -4.077182e+08 + i -5.190132e+09 ; 8.679777e+08 + i -4.291000e+08 ; -1.086597e+09 + i 5.245873e+08 ; -1.034978e+09 + i -1.499483e+09 ; -3.439633e+08 + i -2.937875e+08 ; 3.711800e+08 + i 3.475108e+08 ; -1.410703e+09 + i -7.596720e+08 ; -3.811483e+08 + i -1.209868e+09 ; 4.444357e+08 + i 1.385110e+09 ; -2.420612e+08 + i -2.002165e+09 ; -9.413522e+07 + i -4.088845e+08 ; 4.859697e+08 + i 4.895456e+08 ; -1.522652e+09 + i -2.021091e+09 ; 4.733563e+08 + i -5.081687e+08 ; 3.373659e+08 + i 2.555934e+09 ; 2.569241e+09 + i 1.065861e+10 ; 1.543329e+09 + i -3.604950e+08 ; -7.984283e+08 + i -6.635186e+08 ; -9.832233e+09 + i 1.278204e+09 ; 4.665777e+08 + i 7.131666e+09 ; 1.020724e+09 + i -1.407601e+09 ; -2.537986e+10 + i 4.572758e+10 ; 4.098403e+08 + i 1.269515e+09 ; -4.433230e+08 + i -1.233440e+09 ; -9.575237e+08 + i -2.856900e+10 ; -3.402869e+09 + i 7.466003e+08 ; 3.358798e+09 + i -9.364746e+08 ; 2.266033e+09 + i 2.046367e+09 ; 5.818510e+08 + i -3.707831e+08 ; -6.184258e+08 + i 3.760764e+08 ; -2.663949e+09 + i 6.407325e+09 ; 1.052979e+09 + i 2.337765e+09 ; -1.371207e+09 + i -2.698578e+09 ; 2.575379e+09 + i 1.065621e+10 ; 7.687847e+08 + i 6.394600e+08 ; -1.240453e+09 + i 4.281946e+08 ; -9.901689e+09 + i 1.277952e+09 ; -9.539551e+08 + i 1.256666e+09 ; -8.086159e+08 + i -8.367290e+09 ; 
7.816604e+08 + i -1.056585e+09 ; 1.447795e+08 + i 1.043846e+09 ; 9.606287e+07 + i 8.635758e+07 ; -3.990729e+08 + i -2.720986e+09 ; -1.425808e+09 + i 1.400552e+09 ; -1.061490e+08 + i 2.169868e+08 ; -5.385930e+08 + i -3.664422e+08 ; 3.263395e+08 + i 7.241652e+08 ; 2.054622e+08 + i -1.651870e+07 ; -7.104850e+08 + i 1.971537e+08 ; 2.509013e+08 + i 2.423979e+09 ; 3.011890e+08 + i 1.546695e+08 ; 2.249741e+08 + i -9.666836e+08 ; 3.431249e+08 + i 9.089367e+08 ; 2.337843e+08 + i 7.288252e+07 ; -5.827811e+08 + i -1.450218e+09 ; -6.176359e+08 + i 1.740800e+09 ; 3.803619e+08 + i 7.744051e+08 ; -6.152870e+08 + i -2.191579e+08 ; 3.027139e+08 + i 6.747183e+08 ; 1.433574e+08 + i -9.394797e+07 ; -5.792693e+08 + i 2.506767e+08 ; 4.014737e+08 + i 1.592335e+09 ; 3.484882e+08 + i -1.330960e+08 ; -3.443730e+09 + i 9.361622e+08 ; -1.138456e+09 + i -2.852437e+10 ; -3.263766e+09 + i 9.565849e+08 ; 9.668928e+08 + i 8.342073e+09 ; -1.007710e+10 + i 1.346654e+09 ; -9.290977e+08 + i 1.362936e+09 ; 7.178998e+08 + i 1.192616e+09 ; -2.574587e+10 + i 4.599053e+10 ; 6.154455e+08 + i 1.270374e+09 ; 1.894828e+09 + i -6.641938e+08 ; 2.224972e+09 + i 1.092803e+10 ; 9.262291e+08 + i 6.853617e+08 ; -7.655741e+08 + i 1.343880e+09 ; -1.005363e+10 + i 1.413276e+09 ; 8.615475e+08 + i 8.321177e+09 ; 1.510019e+09 + i 2.659134e+09 ; -2.884413e+09 + i 6.523325e+09 ; 1.419994e+09 + i 2.666367e+09 ; 1.058930e+09 + i 5.666691e+08 ; 2.320657e+09 + i 1.098529e+10 ; 1.394150e+09 + i -5.325154e+08 ; 8.795077e+08 + i -5.662864e+08 ; 2.018193e+09 + i 2.382931e+09 ; 7.274355e+08 + i -4.203688e+08 ; 
6.357606e+08 + i 2.219873e+08 ; 1.284860e+08 + i -8.289050e+07 ; 3.067896e+08 + i 6.569082e+08 ; 6.242710e+08 + i -2.502395e+08 ; 3.062992e+08 + i -1.114897e+08 ; 4.042705e+08 + i 1.581316e+09 ; 5.678155e+08 + i 3.795039e+08 ; 1.850432e+08 + i -1.294454e+07 ; 3.362663e+08 + i 7.075897e+08 ; 8.006123e+08 + i -1.894227e+08 ; 2.592566e+08 + i 1.373842e+08 ; 2.517705e+08 + i 2.406346e+09 ; -1.991942e+08 + i 9.543476e+08 ; 2.106833e+08 + i 7.331354e+07 ; 3.525904e+08 + i 9.173215e+08 ; 6.177552e+08 + i 1.457216e+09 ; 3.287030e+08 + i 6.843124e+08 ; -6.044980e+08 + i 1.740454e+09 ; -7.374777e+08 + i 1.059189e+09 ; 9.314818e+07 + i 8.792180e+07 ; 1.563827e+08 + i 1.058142e+09 ; 4.449192e+08 + i 2.735478e+09 ; -6.901679e+07 + i 1.873524e+08 ; -1.394687e+09 + i 1.407282e+09 ; -9.672347e+08 + i -5.391813e+08 ; 1.235412e+09 + i -4.327249e+08 ; 2.356755e+09 + i 1.102130e+10 ; -8.135431e+08 + i 4.904174e+08 ; 6.350250e+08 + i -3.538858e+08 ; 2.080472e+09 + i 2.377812e+09 ; -7.042637e+08 + i -1.095052e+09 ; 5.156712e+08 + i 1.134447e+09 ; -2.575046e+10 + i 4.599407e+10 ; -1.456641e+09 + i 6.309310e+08 ; 7.956196e+08 + i 6.364161e+08 ; 2.260866e+09 + i 1.099602e+10 ; 8.023621e+08 + i -1.237567e+09 ; 5.431085e+08 + i 7.275248e+09 ; -1.005005e+10 + i 1.426642e+09 ; -1.550774e+09 + i -2.654390e+09 ; 1.151764e+09 + i 2.315179e+09 ; -2.908180e+09 + i 6.545479e+09 ; 2.995644e+09 + i -9.061662e+08 ; -2.879282e+09 + i 7.812369e+08 ; -1.107885e+09 + i -2.852603e+10 ; -9.598746e+08 + i -8.423668e+09 ; -9.305814e+08 + i 1.159019e+09 ; -1.015197e+10 + i 1.356969e+09 ; 
4.574926e+08 + i -1.262397e+09 ; -1.833710e+08 + i -7.312026e+07 ; 1.544318e+08 + i 6.346912e+07 ; -2.357571e+08 + i -2.015361e+09 ; -3.393310e+08 + i -4.489039e+08 ; 1.306446e+08 + i 2.453328e+08 ; 7.416648e+08 + i -7.026948e+08 ; -1.075944e+08 + i -6.583107e+07 ; 1.431687e+08 + i 9.034531e+07 ; 1.274899e+09 + i -2.024099e+09 ; 1.950550e+07 + i -2.390853e+08 ; 4.585788e+07 + i 2.970876e+08 ; -1.230297e+07 + i -1.574470e+09 ; -1.696923e+08 + i -6.036287e+07 ; 2.277959e+08 + i 6.452877e+07 ; -1.039996e+09 + i -1.509108e+09 ; -3.230084e+08 + i -3.157436e+08 ; 4.160977e+08 + i 3.360067e+08 ; 4.513379e+08 + i -1.264440e+09 ; -1.127342e+08 + i -5.189603e+07 ; 2.449471e+08 + i 9.180955e+07 ; -2.376901e+08 + i -2.007344e+09 ; -7.527825e+07 + i -2.189776e+08 ; 4.624195e+08 + i 4.960887e+08 ; -9.798341e+09 + i 1.263332e+09 ; -4.615858e+08 + i -7.145705e+09 ; -8.994235e+08 + i 1.295839e+09 ; 2.393035e+09 + i 1.101136e+10 ; -1.933192e+09 + i 5.877186e+08 ; 8.864442e+08 + i 6.764770e+08 ; -9.507961e+08 + i -2.855839e+10 ; 3.540817e+09 + i -8.807405e+08 ; -3.152715e+09 + i 8.441996e+08 ; -2.570924e+10 + i 4.603923e+10 ; -4.919187e+08 + i -1.089910e+09 ; 5.534269e+08 + i 1.237698e+09 ; -2.637089e+09 + i 6.384705e+09 ; -1.063856e+09 + i -2.278335e+09 ; 1.345195e+09 + i 2.582181e+09 ; 2.225939e+09 + i 2.426806e+09 ; -7.011705e+08 + i 4.810352e+08 ; 7.150651e+08 + i -3.921612e+08 ; -9.882552e+09 + i 1.281285e+09 ; 8.672415e+08 + i -1.270780e+09 ; 6.724173e+08 + i 8.032888e+09 ; 2.400405e+09 + i 1.101720e+10 ; -8.760656e+08 + i -6.363746e+08 ; 1.340477e+09 + i -4.706064e+08 ; 
4.403427e+08 + i -1.566213e+08 ; 3.006245e+08 + i 3.728690e+08 ; 7.006554e+07 + i -2.263962e+07 ; 5.450855e+08 + i -6.867480e+08 ; 1.673881e+08 + i 1.067937e+09 ; 1.194044e+08 + i 3.861356e+07 ; 1.513933e+08 + i -1.720778e+08 ; 2.560700e+08 + i 3.503277e+08 ; 8.809494e+07 + i -4.587476e+07 ; 5.576069e+07 + i -2.399745e+08 ; 3.356090e+08 + i 7.187170e+08 ; 1.870381e+08 + i -7.659255e+06 ; 3.698809e+08 + i -2.321213e+08 ; 3.188196e+08 + i 3.201552e+08 ; 9.372858e+07 + i -1.157493e+07 ; 3.219050e+08 + i -5.984847e+08 ; 3.643687e+08 + i 9.171101e+08 ; 1.913622e+08 + i 1.004857e+08 ; 1.032746e+08 + i -2.010298e+08 ; 2.804342e+08 + i 3.337256e+08 ; 7.538353e+07 + i -5.840511e+07 ; -2.582694e+06 + i -2.049498e+08 ; 3.082978e+08 + i 6.671650e+08 ; 1.666461e+08 + i -7.426860e+07 ; -3.483745e+08 + i -7.119256e+09 ; -1.005600e+10 + i 1.325104e+09 ; -9.334704e+08 + i 1.303424e+09 ; 3.597485e+09 + i -8.317726e+08 ; -1.276286e+09 + i -2.859153e+10 ; -3.195652e+09 + i 8.525307e+08 ; -1.822727e+09 + i 5.600050e+08 ; 2.220597e+09 + i 1.091624e+10 ; 8.770652e+08 + i 6.795582e+08 ; -4.300205e+08 + i -1.074596e+09 ; -2.587250e+10 + i 4.595158e+10 ; 5.390812e+08 + i 1.252256e+09 ; -9.430774e+08 + i -2.266980e+09 ; -2.881713e+09 + i 6.509188e+09 ; 1.316989e+09 + i 2.600234e+09 ; 9.458165e+08 + i -1.239515e+09 ; -1.021501e+10 + i 1.331232e+09 ; 6.381090e+08 + i 8.060433e+09 ; -6.157500e+08 + i 4.653941e+08 ; 2.019951e+09 + i 2.385269e+09 ; 7.097257e+08 + i -3.921662e+08 ; -8.097369e+08 + i -6.269129e+08 ; 2.184595e+09 + i 1.094989e+10 ; 1.335646e+09 + i -4.556643e+08 ; 
