-2.014301e+10 + i 5.542990e+09 ; -9.152102e+07 + i 1.951689e+07 ; -9.152834e+07 + i 1.953123e+07 ; 3.843894e+09 + i -1.998416e+09 ; 3.268452e+08 + i -1.297378e+08 ; 3.267817e+08 + i -1.297474e+08 ; -1.869535e+09 + i 9.259074e+08 ; -1.789931e+08 + i 6.769835e+07 ; -3.789365e+07 + i 1.646772e+07 ; -9.458308e+08 + i 2.838797e+08 ; 8.859307e+08 + i -4.968940e+08 ; 4.150879e+07 + i -3.329665e+07 ; -1.869485e+09 + i 9.259201e+08 ; -3.793381e+07 + i 1.643355e+07 ; -1.790164e+08 + i 6.768520e+07 ; -9.457625e+08 + i 2.839157e+08 ; 4.183126e+07 + i -3.325759e+07 ; 8.859446e+08 + i -4.968911e+08 ; -4.096317e+07 + i 1.580623e+08 ; -7.007076e+07 + i 3.665818e+07 ; -6.995324e+07 + i 3.667370e+07 ; -3.995971e+07 + i 1.201704e+08 ; 1.674213e+08 + i -1.256052e+08 ; 1.674277e+08 + i -1.256125e+08 ; 4.048993e+08 + i -1.705608e+08 ; -6.696797e+06 + i -4.428591e+05 ; -6.691198e+06 + i -4.424726e+05 ; 2.219502e+08 + i -8.118474e+07 ; -3.013777e+06 + i 1.277835e+06 ; -3.013404e+06 + i 1.278453e+06 ; 5.163031e+07 + i -6.001304e+07 ; 1.781958e+07 + i -1.853472e+07 ; -6.519847e+06 + i 1.231746e+06 ; 4.504004e+07 + i -4.247117e+07 ; 3.376721e+06 + i -3.480926e+06 ; -2.783901e+06 + i 1.287300e+06 ; 5.166391e+07 + i -6.000529e+07 ; -6.492504e+06 + i 1.231734e+06 ; 1.782190e+07 + i -1.853414e+07 ; 4.505412e+07 + i -4.246543e+07 ; -2.780161e+06 + i 1.286030e+06 ; 3.376065e+06 + i -3.481017e+06 ; -6.657710e+06 + i -1.170805e+07 ; 1.098453e+07 + i -1.161234e+07 ; 1.097879e+07 + i -1.161297e+07 ; 5.262429e+06 + i -1.492815e+07 ; 2.449669e+06 + i -2.632946e+06 ; 2.449845e+06 + i -2.632686e+06 ; 
1.970828e+08 + i -1.368296e+08 ; 2.068274e+08 + i -1.403503e+08 ; -4.372978e+07 + i 1.251941e+08 ; 3.185261e+07 + i -2.793302e+07 ; 1.092074e+09 + i -5.388980e+08 ; -9.559591e+08 + i 2.867024e+08 ; 1.079361e+09 + i -5.353776e+08 ; 4.933678e+07 + i -3.478329e+07 ; -9.694857e+08 + i 2.908392e+08 ; 3.118849e+08 + i -1.247612e+08 ; 3.380653e+08 + i -1.340999e+08 ; 3.818960e+09 + i -1.993596e+09 ; -9.364261e+07 + i 3.802012e+07 ; -9.348730e+07 + i 3.680165e+07 ; -4.214957e+07 + i 1.601965e+08 ; -4.304869e+07 + i 1.837561e+07 ; -1.596668e+08 + i 6.918426e+07 ; -1.860711e+09 + i 9.237677e+08 ; -1.604882e+08 + i 7.073363e+07 ; -4.444432e+07 + i 1.729477e+07 ; -1.875899e+09 + i 9.290205e+08 ; -1.075576e+08 + i 2.006157e+07 ; -1.082706e+08 + i 1.809726e+07 ; -2.014197e+10 + i 5.540751e+09 ; -1.362415e+08 + i 7.756182e+07 ; 7.527016e+07 + i -4.223716e+07 ; -1.061684e+08 + i 6.707256e+07 ; -8.108481e+07 + i 4.229825e+07 ; -7.134785e+05 + i -2.611984e+06 ; -1.882231e+07 + i 1.733499e+07 ; -3.021265e+08 + i 1.593153e+08 ; 1.691694e+07 + i -6.657179e+06 ; -2.424847e+08 + i 1.021071e+08 ; -1.647060e+08 + i 7.318424e+07 ; -5.076126e+06 + i 8.914294e+05 ; -2.420291e+07 + i 2.604911e+07 ; 5.054182e+07 + i -2.133372e+07 ; -3.963400e+07 + i 1.443648e+07 ; -1.400383e+08 + i 9.483610e+07 ; 3.779853e+07 + i -1.377034e+07 ; -8.356118e+06 + i 4.742056e+06 ; -1.965078e+07 + i 1.838108e+07 ; 9.281665e+07 + i -2.963625e+07 ; -2.494887e+07 + i 6.981779e+06 ; -3.587865e+08 + i 1.827173e+08 ; 6.170036e+07 + i -1.547104e+07 ; -5.951917e+06 + i 3.193439e+06 ; -2.086408e+07 + i 2.586404e+07 ; 
4.054015e+08 + i -1.703150e+08 ; 5.392048e+06 + i 3.350900e+06 ; 5.398799e+06 + i 3.349498e+06 ; 7.672155e+08 + i -3.827207e+08 ; -9.142931e+07 + i 3.981364e+07 ; -9.141306e+07 + i 3.981889e+07 ; 5.175904e+07 + i -5.999658e+07 ; -6.995928e+06 + i 1.446154e+07 ; 2.438699e+06 + i 1.201440e+06 ; 4.981262e+07 + i -7.785246e+07 ; -2.516397e+08 + i 1.464650e+08 ; -3.389781e+07 + i 1.958183e+07 ; 5.176678e+07 + i -5.999398e+07 ; 2.440684e+06 + i 1.210225e+06 ; -6.993292e+06 + i 1.446535e+07 ; 4.982445e+07 + i -7.784405e+07 ; -3.397085e+07 + i 1.957453e+07 ; -2.516515e+08 + i 1.464632e+08 ; -6.677407e+06 + i -1.171656e+07 ; -8.878645e+06 + i 1.023751e+07 ; -8.919432e+06 + i 1.023319e+07 ; -3.480882e+07 + i 3.001806e+06 ; -1.059810e+08 + i 7.014629e+07 ; -1.059960e+08 + i 7.014537e+07 ; -2.009455e+10 + i 5.523948e+09 ; -8.419407e+07 + i 1.628792e+07 ; -8.420351e+07 + i 1.630232e+07 ; 3.844208e+09 + i -1.998515e+09 ; 3.326124e+08 + i -1.318540e+08 ; 3.325475e+08 + i -1.318629e+08 ; -1.856170e+09 + i 9.167422e+08 ; -1.697494e+08 + i 6.288835e+07 ; -3.031322e+07 + i 1.349181e+07 ; -9.465337e+08 + i 2.840895e+08 ; 8.914983e+08 + i -4.992510e+08 ; 4.275601e+07 + i -3.464403e+07 ; -1.856100e+09 + i 9.167525e+08 ; -3.035123e+07 + i 1.345875e+07 ; -1.697714e+08 + i 6.287489e+07 ; -9.464633e+08 + i 2.841241e+08 ; 4.308447e+07 + i -3.460214e+07 ; 8.915121e+08 + i -4.992482e+08 ; -3.987140e+07 + i 1.548150e+08 ; -5.958853e+07 + i 3.202966e+07 ; -5.946399e+07 + i 3.204719e+07 ; -4.006478e+07 + i 1.202804e+08 ; 1.695514e+08 + i -1.274428e+08 ; 1.695611e+08 + i -1.274498e+08 ; 
4.664105e+07 + i -1.566962e+07 ; -2.026367e+07 + i 2.604485e+07 ; -4.509859e+06 + i 2.943146e+06 ; 6.775593e+07 + i -2.845812e+07 ; -3.590439e+08 + i 1.827929e+08 ; -1.994710e+07 + i 7.082733e+06 ; -1.358314e+08 + i 6.868835e+07 ; -2.465708e+07 + i 2.611613e+07 ; -4.573192e+06 + i 1.081802e+06 ; -2.478025e+08 + i 1.468747e+08 ; -2.458522e+08 + i 1.021743e+08 ; 1.091710e+07 + i -6.278764e+06 ; 2.984008e+07 + i -1.286163e+07 ; -1.930973e+07 + i 1.840820e+07 ; -6.478465e+06 + i 4.323793e+06 ; 3.959862e+07 + i -1.954532e+07 ; -1.398114e+08 + i 9.490488e+07 ; -3.211730e+07 + i 1.405415e+07 ; -6.603710e+07 + i 3.909293e+07 ; -1.913536e+07 + i 1.734952e+07 ; -1.000057e+06 + i -2.050315e+06 ; -1.104199e+08 + i 7.095669e+07 ; -1.067365e+08 + i 6.712910e+07 ; 5.855434e+07 + i -3.853568e+07 ; -8.983367e+07 + i 2.061154e+07 ; -2.014208e+10 + i 5.540706e+09 ; -9.089948e+07 + i 1.955407e+07 ; -1.770832e+08 + i 6.786948e+07 ; -1.877320e+09 + i 9.289478e+08 ; -3.810635e+07 + i 1.638787e+07 ; 3.028231e+08 + i -1.197276e+08 ; 3.824723e+09 + i -1.993148e+09 ; 3.261812e+08 + i -1.297304e+08 ; 8.790771e+08 + i -4.946268e+08 ; -9.581130e+08 + i 2.905029e+08 ; 4.237894e+07 + i -3.367294e+07 ; -3.716165e+07 + i 1.713220e+07 ; -1.861830e+09 + i 9.239255e+08 ; -1.783947e+08 + i 6.776554e+07 ; -7.075332e+07 + i 3.759009e+07 ; -4.330581e+07 + i 1.601068e+08 ; -7.015500e+07 + i 3.661229e+07 ; 2.711434e+07 + i -2.664721e+07 ; -9.455285e+08 + i 2.865597e+08 ; 8.865789e+08 + i -4.972968e+08 ; 1.605972e+08 + i -1.230979e+08 ; -4.329896e+07 + i 1.238051e+08 ; 1.689020e+08 + i -1.263886e+08 ; 
4.665944e+07 + i -1.567303e+07 ; -4.510316e+06 + i 2.943413e+06 ; -2.022695e+07 + i 2.604219e+07 ; 6.776440e+07 + i -2.845696e+07 ; -1.994593e+07 + i 7.083652e+06 ; -3.589862e+08 + i 1.827945e+08 ; 2.984029e+07 + i -1.286536e+07 ; -6.477250e+06 + i 4.324240e+06 ; -1.928781e+07 + i 1.840414e+07 ; 3.958079e+07 + i -1.954606e+07 ; -3.212475e+07 + i 1.405247e+07 ; -1.397714e+08 + i 9.492464e+07 ; -1.358378e+08 + i 6.868466e+07 ; -4.576391e+06 + i 1.082545e+06 ; -2.466063e+07 + i 2.612293e+07 ; -2.478109e+08 + i 1.468728e+08 ; 1.090181e+07 + i -6.281255e+06 ; -2.459110e+08 + i 1.021727e+08 ; -6.597738e+07 + i 3.909136e+07 ; -9.924634e+05 + i -2.048113e+06 ; -1.915292e+07 + i 1.734618e+07 ; -1.104011e+08 + i 7.095739e+07 ; 5.855916e+07 + i -3.853594e+07 ; -1.066963e+08 + i 6.713673e+07 ; -8.988968e+07 + i 2.062361e+07 ; -9.089782e+07 + i 1.955652e+07 ; -2.014235e+10 + i 5.540645e+09 ; -1.770938e+08 + i 6.786303e+07 ; -3.810805e+07 + i 1.639011e+07 ; -1.877338e+09 + i 9.290027e+08 ; -3.715837e+07 + i 1.715005e+07 ; -1.784850e+08 + i 6.774367e+07 ; -1.862942e+09 + i 9.237321e+08 ; -7.064988e+07 + i 3.760662e+07 ; -7.019028e+07 + i 3.660984e+07 ; -4.320335e+07 + i 1.602529e+08 ; 3.028390e+08 + i -1.197160e+08 ; 3.261243e+08 + i -1.297457e+08 ; 3.824199e+09 + i -1.993212e+09 ; 8.791000e+08 + i -4.946209e+08 ; 4.233801e+07 + i -3.367680e+07 ; -9.582774e+08 + i 2.905090e+08 ; 2.690824e+07 + i -2.664873e+07 ; 8.865642e+08 + i -4.973054e+08 ; -9.456344e+08 + i 2.864876e+08 ; 1.605228e+08 + i -1.231048e+08 ; 1.688832e+08 + i -1.263879e+08 ; -4.329781e+07 + i 1.238559e+08 ; 
2.221101e+08 + i -8.104357e+07 ; 3.108624e+06 + i -1.324281e+06 ; 3.105097e+06 + i -1.324307e+06 ; 4.055611e+08 + i -1.704668e+08 ; 7.098730e+06 + i 4.927911e+05 ; 7.097901e+06 + i 4.948690e+05 ; 4.509387e+07 + i -4.246615e+07 ; -3.492943e+06 + i 3.553223e+06 ; 2.866668e+06 + i -1.323661e+06 ; 5.184039e+07 + i -6.008703e+07 ; -1.836483e+07 + i 1.894894e+07 ; 6.829537e+06 + i -1.233444e+06 ; 4.510576e+07 + i -4.246220e+07 ; 2.867414e+06 + i -1.322418e+06 ; -3.491351e+06 + i 3.553411e+06 ; 5.186525e+07 + i -6.007639e+07 ; 6.807377e+06 + i -1.233263e+06 ; -1.836800e+07 + i 1.894725e+07 ; 5.245178e+06 + i -1.494810e+07 ; -2.532882e+06 + i 2.688576e+06 ; -2.536830e+06 + i 2.688732e+06 ; -6.673337e+06 + i -1.177394e+07 ; -1.132129e+07 + i 1.186816e+07 ; -1.132959e+07 + i 1.186554e+07 ; 3.847030e+09 + i -1.997830e+09 ; -3.372182e+08 + i 1.308974e+08 ; -3.371196e+08 + i 1.309189e+08 ; -2.014465e+10 + i 5.542452e+09 ; 9.326908e+07 + i -1.952382e+07 ; 9.328599e+07 + i -1.953582e+07 ; -9.448284e+08 + i 2.839338e+08 ; -9.145497e+08 + i 5.047162e+08 ; -4.305747e+07 + i 3.392417e+07 ; -1.870419e+09 + i 9.257822e+08 ; 1.844211e+08 + i -6.821740e+07 ; 3.876470e+07 + i -1.664614e+07 ; -9.448355e+08 + i 2.839509e+08 ; -4.331877e+07 + i 3.389027e+07 ; -9.145604e+08 + i 5.047140e+08 ; -1.870237e+09 + i 9.258161e+08 ; 3.878492e+07 + i -1.662054e+07 ; 1.844281e+08 + i -6.821117e+07 ; -3.980771e+07 + i 1.200929e+08 ; -1.730313e+08 + i 1.279847e+08 ; -1.730600e+08 + i 1.279829e+08 ; -4.111402e+07 + i 1.581215e+08 ; 7.231202e+07 + i -3.718892e+07 ; 7.227684e+07 + i -3.719397e+07 ; 
7.060071e+06 + i 2.129557e+06 ; -1.303869e+07 + i 9.053094e+06 ; -2.235835e+06 + i 1.340553e+06 ; 1.282967e+07 + i 9.399447e+05 ; -2.131821e+07 + i 2.576623e+07 ; -7.708718e+06 + i 3.509771e+06 ; -9.301059e+07 + i 3.464422e+07 ; -1.131781e+07 + i 8.255070e+06 ; -1.917702e+06 + i 9.160829e+05 ; -1.632156e+08 + i 6.976490e+07 ; -2.439081e+07 + i 2.615857e+07 ; -4.061728e+06 + i 1.681571e+06 ; 8.762772e+06 + i -1.629905e+05 ; -9.720106e+06 + i 7.624003e+06 ; -2.828061e+06 + i 1.758391e+06 ; 1.516715e+07 + i -2.464222e+06 ; -1.975180e+07 + i 1.838375e+07 ; -1.077607e+07 + i 5.376700e+06 ; -5.549775e+07 + i 2.598095e+07 ; -8.772532e+06 + i 6.996535e+06 ; -3.245501e+05 + i -2.037217e+05 ; -8.923385e+07 + i 4.562797e+07 ; -1.898123e+07 + i 1.736170e+07 ; 4.369772e+06 + i -3.884606e+06 ; 2.024565e+08 + i -6.796259e+07 ; -1.881334e+09 + i 9.283400e+08 ; -3.859032e+07 + i 1.646959e+07 ; 1.008618e+08 + i -1.745910e+07 ; -2.016541e+10 + i 5.547458e+09 ; -9.413535e+07 + i 1.931580e+07 ; -1.032782e+09 + i 5.336212e+08 ; -9.583707e+08 + i 2.907390e+08 ; 4.262896e+07 + i -3.445565e+07 ; -3.832680e+08 + i 1.371629e+08 ; 3.806318e+09 + i -1.987240e+09 ; 3.370932e+08 + i -1.315254e+08 ; 7.856940e+07 + i -3.720487e+07 ; -4.325273e+07 + i 1.603954e+08 ; -7.160125e+07 + i 3.701848e+07 ; 4.138113e+07 + i -1.594682e+07 ; -1.878700e+09 + i 9.307448e+08 ; -1.844597e+08 + i 6.817881e+07 ; -2.052612e+08 + i 1.402652e+08 ; -4.352931e+07 + i 1.237744e+08 ; 1.740758e+08 + i -1.286918e+08 ; -5.517531e+07 + i 3.841584e+07 ; -9.608559e+08 + i 2.920651e+08 ; 9.156323e+08 + i -5.054762e+08 ; 
7.068968e+06 + i 2.129209e+06 ; -2.236331e+06 + i 1.340792e+06 ; -1.304487e+07 + i 9.058225e+06 ; 1.282650e+07 + i 9.439166e+05 ; -7.708879e+06 + i 3.510183e+06 ; -2.132698e+07 + i 2.577787e+07 ; 8.756324e+06 + i -1.678494e+05 ; -2.827797e+06 + i 1.758564e+06 ; -9.750267e+06 + i 7.619590e+06 ; 1.513436e+07 + i -2.470320e+06 ; -1.077702e+07 + i 5.377207e+06 ; -1.981781e+07 + i 1.837497e+07 ; -9.301373e+07 + i 3.464160e+07 ; -1.919833e+06 + i 9.159699e+05 ; -1.132553e+07 + i 8.257671e+06 ; -1.632251e+08 + i 6.976350e+07 ; -4.070046e+06 + i 1.680065e+06 ; -2.441401e+07 + i 2.616144e+07 ; -5.545904e+07 + i 2.598755e+07 ; -3.227246e+05 + i -2.032261e+05 ; -8.791711e+06 + i 6.997513e+06 ; -8.922328e+07 + i 4.563539e+07 ; 4.370370e+06 + i -3.884505e+06 ; -1.901933e+07 + i 1.735336e+07 ; 2.024805e+08 + i -6.795844e+07 ; -3.858961e+07 + i 1.647200e+07 ; -1.881280e+09 + i 9.284163e+08 ; 1.008898e+08 + i -1.746225e+07 ; -9.413162e+07 + i 1.932091e+07 ; -2.016555e+10 + i 5.547450e+09 ; 7.851080e+07 + i -3.721806e+07 ; -7.163867e+07 + i 3.701437e+07 ; -4.309402e+07 + i 1.605769e+08 ; 4.133503e+07 + i -1.596832e+07 ; -1.845503e+08 + i 6.815652e+07 ; -1.880115e+09 + i 9.305040e+08 ; -1.032794e+09 + i 5.336121e+08 ; 4.259927e+07 + i -3.445400e+07 ; -9.585882e+08 + i 2.907167e+08 ; -3.832859e+08 + i 1.371532e+08 ; 3.370188e+08 + i -1.315478e+08 ; 3.805804e+09 + i -1.987306e+09 ; -2.051622e+08 + i 1.402833e+08 ; 1.740808e+08 + i -1.286812e+08 ; -4.314131e+07 + i 1.238974e+08 ; -5.507725e+07 + i 3.842312e+07 ; 9.156044e+08 + i -5.054909e+08 ; -9.610241e+08 + i 2.919625e+08 ; 
5.101201e+07 + i -6.014846e+07 ; 8.503120e+06 + i -1.612634e+07 ; 2.514095e+06 + i 1.258958e+06 ; 5.061347e+07 + i -7.771498e+07 ; 2.892705e+08 + i -1.558262e+08 ; -3.497721e+07 + i 1.994816e+07 ; 4.052140e+08 + i -1.704481e+08 ; -4.720660e+06 + i -3.888266e+06 ; 5.448852e+06 + i 3.490127e+06 ; 7.676456e+08 + i -3.825904e+08 ; 1.070331e+08 + i -4.139113e+07 ; -9.452686e+07 + i 4.035408e+07 ; -6.938777e+06 + i -1.172057e+07 ; 1.043982e+07 + i -1.124304e+07 ; -9.284609e+06 + i 1.047100e+07 ; -3.471841e+07 + i 2.979444e+06 ; 1.222199e+08 + i -7.515909e+07 ; -1.096610e+08 + i 7.143865e+07 ; 5.178394e+07 + i -5.998678e+07 ; -2.233248e+06 + i -1.486734e+06 ; -7.319234e+06 + i 1.484156e+07 ; 4.996979e+07 + i -7.780123e+07 ; 3.982661e+07 + i -2.083782e+07 ; -2.600685e+08 + i 1.489403e+08 ; -1.859208e+09 + i 9.160404e+08 ; 1.790675e+08 + i -6.565778e+07 ; -3.114412e+07 + i 1.367803e+07 ; -9.482095e+08 + i 2.840805e+08 ; -1.015081e+09 + i 5.311314e+08 ; 4.304906e+07 + i -3.537962e+07 ; -2.009711e+10 + i 5.523187e+09 ; 8.847749e+07 + i -1.653281e+07 ; -8.643820e+07 + i 1.619809e+07 ; 3.842685e+09 + i -1.998604e+09 ; -3.646852e+08 + i 1.375065e+08 ; 3.424835e+08 + i -1.333004e+08 ; -4.005686e+07 + i 1.550557e+08 ; 6.791161e+07 + i -3.354925e+07 ; -6.081137e+07 + i 3.251327e+07 ; -4.055288e+07 + i 1.202755e+08 ; -1.948835e+08 + i 1.371225e+08 ; 1.753468e+08 + i -1.299290e+08 ; -1.855786e+09 + i 9.170218e+08 ; 3.383886e+07 + i -1.382248e+07 ; -1.745766e+08 + i 6.342860e+07 ; -9.461051e+08 + i 2.842086e+08 ; -4.925970e+07 + i 3.702626e+07 ; 9.206712e+08 + i -5.074230e+08 ; 
1.398812e+08 + i -6.946703e+07 ; -2.354986e+07 + i 2.629863e+07 ; 4.684576e+06 + i -1.078996e+06 ; 2.546307e+08 + i -1.490819e+08 ; -2.443621e+08 + i 1.023616e+08 ; -1.137449e+07 + i 6.377873e+06 ; -4.891876e+07 + i 1.564507e+07 ; -2.099206e+07 + i 2.586164e+07 ; 4.649497e+06 + i -2.991461e+06 ; -7.296297e+07 + i 2.845083e+07 ; -3.599459e+08 + i 1.825737e+08 ; 2.046462e+07 + i -7.154530e+06 ; 6.803347e+07 + i -3.964169e+07 ; -1.860420e+07 + i 1.737493e+07 ; 1.011795e+06 + i 2.120496e+06 ; 1.134381e+08 + i -7.210845e+07 ; -1.061851e+08 + i 6.715076e+07 ; -6.051654e+07 + i 3.925637e+07 ; -3.108458e+07 + i 1.301327e+07 ; -1.967826e+07 + i 1.836495e+07 ; 6.710079e+06 + i -4.400456e+06 ; -4.205515e+07 + i 1.976659e+07 ; -1.402008e+08 + i 9.484724e+07 ; 3.318822e+07 + i -1.422497e+07 ; -2.994225e+08 + i 1.218573e+08 ; 3.828018e+09 + i -1.992666e+09 ; -3.374456e+08 + i 1.311481e+08 ; -9.061507e+08 + i 5.028827e+08 ; -9.592914e+08 + i 2.905282e+08 ; -4.385396e+07 + i 3.435486e+07 ; 9.015898e+07 + i -2.164510e+07 ; -2.014400e+10 + i 5.540152e+09 ; 9.306587e+07 + i -1.959124e+07 ; 1.692576e+08 + i -6.960930e+07 ; -1.877208e+09 + i 9.290136e+08 ; 3.895089e+07 + i -1.661366e+07 ; -2.796048e+07 + i 2.692107e+07 ; -9.443566e+08 + i 2.866881e+08 ; -9.160468e+08 + i 5.055380e+08 ; -1.658129e+08 + i 1.252394e+08 ; -4.333977e+07 + i 1.238311e+08 ; -1.742604e+08 + i 1.288683e+08 ; 3.761683e+07 + i -1.722494e+07 ; -1.862447e+09 + i 9.237897e+08 ; 1.843785e+08 + i -6.844680e+07 ; 7.260107e+07 + i -3.783606e+07 ; -4.363208e+07 + i 1.600773e+08 ; 7.252411e+07 + i -3.719107e+07 ; 
3.068953e+07 + i -1.300084e+07 ; 7.491840e+06 + i -4.633382e+06 ; -1.921215e+07 + i 1.841215e+07 ; 4.066071e+07 + i -1.974628e+07 ; 3.679248e+07 + i -1.464733e+07 ; -1.398117e+08 + i 9.493976e+07 ; 4.800291e+07 + i -1.575469e+07 ; 5.297340e+06 + i -3.103610e+06 ; -2.024830e+07 + i 2.603640e+07 ; 6.974390e+07 + i -2.870399e+07 ; 2.275661e+07 + i -7.224954e+06 ; -3.591060e+08 + i 1.827662e+08 ; -6.803705e+07 + i 3.969205e+07 ; 8.387550e+05 + i 2.325001e+06 ; -1.913453e+07 + i 1.734289e+07 ; -1.145110e+08 + i 7.205552e+07 ; -6.762809e+07 + i 4.127656e+07 ; -1.065959e+08 + i 6.715857e+07 ; -1.401606e+08 + i 6.961939e+07 ; 4.724011e+06 + i -1.102307e+06 ; -2.462774e+07 + i 2.612379e+07 ; -2.558992e+08 + i 1.491338e+08 ; -1.330254e+07 + i 6.637056e+06 ; -2.458077e+08 + i 1.021905e+08 ; -3.830495e+07 + i 1.763383e+07 ; 2.032476e+08 + i -6.971662e+07 ; -1.866086e+09 + i 9.232388e+08 ; -7.319464e+07 + i 3.845385e+07 ; 8.009566e+07 + i -3.881229e+07 ; -4.334844e+07 + i 1.604785e+08 ; -9.270770e+07 + i 2.056402e+07 ; 1.020592e+08 + i -1.884051e+07 ; -2.014397e+10 + i 5.540221e+09 ; -1.830130e+08 + i 6.854115e+07 ; 4.264111e+07 + i -1.719806e+07 ; -1.877623e+09 + i 9.291441e+08 ; 2.468692e+07 + i -2.782324e+07 ; -1.015491e+09 + i 5.279778e+08 ; -9.451473e+08 + i 2.865866e+08 ; 1.645307e+08 + i -1.257505e+08 ; -1.925251e+08 + i 1.365057e+08 ; -4.322718e+07 + i 1.238361e+08 ; 3.131515e+08 + i -1.208313e+08 ; -3.723820e+08 + i 1.340850e+08 ; 3.824650e+09 + i -1.993031e+09 ; 9.079277e+08 + i -5.017913e+08 ; -4.629855e+07 + i 3.657444e+07 ; -9.582060e+08 + i 2.905190e+08 ; 
4.466667e+07 + i -4.253820e+07 ; 3.344282e+06 + i -3.642953e+06 ; 2.953332e+06 + i -1.342081e+06 ; 5.185302e+07 + i -5.989502e+07 ; 2.042909e+07 + i -2.022099e+07 ; 7.070944e+06 + i -1.222009e+06 ; 2.220876e+08 + i -8.109809e+07 ; -6.158169e+06 + i 1.087424e+06 ; 3.179049e+06 + i -1.337517e+06 ; 4.057448e+08 + i -1.703204e+08 ; -1.285140e+07 + i -1.070311e+06 ; 7.259458e+06 + i 5.604362e+05 ; 4.991627e+06 + i -1.494139e+07 ; 2.498349e+06 + i -2.802032e+06 ; -2.627255e+06 + i 2.742846e+06 ; -6.982366e+06 + i -1.172760e+07 ; 1.252152e+07 + i -1.276127e+07 ; -1.172449e+07 + i 1.209819e+07 ; 4.513670e+07 + i -4.244237e+07 ; -4.548540e+06 + i 1.398687e+06 ; -3.608022e+06 + i 3.623528e+06 ; 5.190787e+07 + i -6.000861e+07 ; -9.884428e+06 + i 1.184542e+06 ; -1.897440e+07 + i 1.932051e+07 ; -9.562441e+08 + i 2.835513e+08 ; 1.054828e+09 + i -5.334553e+08 ; -4.373068e+07 + i 3.463518e+07 ; -1.869483e+09 + i 9.258195e+08 ; -1.513063e+08 + i 6.929989e+07 ; 3.992904e+07 + i -1.686710e+07 ; 3.841289e+09 + i -1.998703e+09 ; 3.261023e+08 + i -1.340751e+08 ; -3.466606e+08 + i 1.322718e+08 ; -2.014413e+10 + i 5.542620e+09 ; -1.065396e+08 + i 1.827670e+07 ; 9.587004e+07 + i -1.947461e+07 ; -4.036068e+07 + i 1.206828e+08 ; 2.000250e+08 + i -1.370545e+08 ; -1.784326e+08 + i 1.302171e+08 ; -4.189235e+07 + i 1.580871e+08 ; -8.209428e+07 + i 3.767404e+07 ; 7.441293e+07 + i -3.771318e+07 ; -9.440701e+08 + i 2.843326e+08 ; 4.879704e+07 + i -3.516070e+07 ; -9.415076e+08 + i 5.120613e+08 ; -1.869943e+09 + i 9.258825e+08 ; -4.383853e+07 + i 1.658603e+07 ; 1.896660e+08 + i -6.884817e+07 ; 
9.748582e+07 + i -3.484298e+07 ; -1.224161e+07 + i 8.075050e+06 ; 1.979801e+06 + i -9.254330e+05 ; 1.708266e+08 + i -7.056554e+07 ; -2.611255e+07 + i 2.594154e+07 ; 4.182375e+06 + i -1.697907e+06 ; -4.543826e+06 + i -1.991430e+06 ; -1.273318e+07 + i 9.199968e+06 ; 2.308348e+06 + i -1.358590e+06 ; -8.592204e+06 + i -9.804448e+05 ; -2.069183e+07 + i 2.597000e+07 ; 7.922283e+06 + i -3.548654e+06 ; 5.825164e+07 + i -2.628072e+07 ; -9.191637e+06 + i 6.989003e+06 ; 3.382597e+05 + i 2.116428e+05 ; 9.364814e+07 + i -4.626256e+07 ; -1.959232e+07 + i 1.738956e+07 ; -4.487749e+06 + i 3.961658e+06 ; -7.671814e+06 + i 1.982647e+04 ; -9.540480e+06 + i 7.657212e+06 ; 2.921173e+06 + i -1.784822e+06 ; -1.354344e+07 + i 2.177085e+06 ; -1.943652e+07 + i 1.840825e+07 ; 1.111619e+07 + i -5.443118e+06 ; 1.075189e+09 + i -5.390082e+08 ; -9.699700e+08 + i 2.903186e+08 ; -4.407737e+07 + i 3.508727e+07 ; 3.385895e+08 + i -1.370246e+08 ; 3.804208e+09 + i -1.987526e+09 ; -3.469931e+08 + i 1.327620e+08 ; -1.497897e+08 + i 6.791173e+07 ; -1.876007e+09 + i 9.291224e+08 ; 3.933555e+07 + i -1.666549e+07 ; -1.038819e+08 + i 1.688957e+07 ; -2.016423e+10 + i 5.547802e+09 ; 9.588723e+07 + i -1.933893e+07 ; 2.135229e+08 + i -1.419032e+08 ; -4.367386e+07 + i 1.243924e+08 ; -1.793499e+08 + i 1.309700e+08 ; 5.634802e+07 + i -3.761809e+07 ; -9.590061e+08 + i 2.924920e+08 ; -9.424327e+08 + i 5.129145e+08 ; -8.018951e+07 + i 3.610383e+07 ; -4.421463e+07 + i 1.600353e+08 ; 7.379670e+07 + i -3.750661e+07 ; -4.211079e+07 + i 1.537572e+07 ; -1.879423e+09 + i 9.304136e+08 ; 1.898398e+08 + i -6.876602e+07 ; 
