-8.637692e+09 + i 3.748809e+10 ; -1.105750e+09 + i 4.578262e+08 ; -1.110302e+09 + i 4.550830e+08 ; -1.030946e+10 + i -1.573058e+10 ; 5.117097e+08 + i -2.682034e+09 ; 5.137164e+08 + i -2.687918e+09 ; 3.489308e+09 + i 5.753953e+09 ; -3.589751e+08 + i 1.187027e+09 ; -5.092715e+08 + i 8.227747e+08 ; -3.407442e+09 + i 6.005192e+09 ; -3.899532e+09 + i -3.589327e+09 ; -7.404238e+08 + i -8.038079e+08 ; 3.482756e+09 + i 5.756217e+09 ; -5.027246e+08 + i 8.257297e+08 ; -3.544978e+08 + i 1.190722e+09 ; -3.414447e+09 + i 6.003463e+09 ; -7.430183e+08 + i -7.902889e+08 ; -3.899448e+09 + i -3.587675e+09 ; 2.704243e+09 + i 1.697733e+09 ; -8.538883e+07 + i 8.817469e+08 ; -8.935501e+07 + i 8.877668e+08 ; 3.245630e+09 + i 3.452772e+09 ; -1.724675e+09 + i -4.228876e+08 ; -1.726762e+09 + i -4.194346e+08 ; -2.378107e+07 + i -1.665038e+09 ; -2.034428e+08 + i 2.992152e+07 ; -2.028775e+08 + i 2.866494e+07 ; 2.902398e+08 + i -6.658437e+08 ; -2.959397e+07 + i 1.150160e+08 ; -3.016804e+07 + i 1.146476e+08 ; -1.171452e+09 + i -5.691416e+08 ; -3.822786e+08 + i 8.598592e+07 ; -1.596197e+08 + i 1.118922e+08 ; -6.388444e+08 + i -6.754623e+08 ; -6.350992e+07 + i 1.292671e+08 ; -4.050485e+06 + i 1.221355e+08 ; -1.174107e+09 + i -5.690325e+08 ; -1.594058e+08 + i 1.139068e+08 ; -3.814103e+08 + i 8.572421e+07 ; -6.405618e+08 + i -6.767598e+08 ; -3.152845e+06 + i 1.224780e+08 ; -6.313311e+07 + i 1.287045e+08 ; -1.320878e+09 + i 3.617921e+08 ; -2.736150e+08 + i 1.454262e+08 ; -2.725036e+08 + i 1.455476e+08 ; -1.260359e+09 + i -1.551191e+08 ; -3.323064e+07 + i 1.328869e+08 ; -3.278203e+07 + i 1.328884e+08 ; 
-1.297401e+09 + i -7.622186e+08 ; -1.267237e+09 + i -8.411280e+08 ; 3.242677e+09 + i 3.652721e+09 ; -6.048285e+08 + i -7.081874e+08 ; -2.089156e+09 + i -3.875796e+09 ; -3.386478e+09 + i 5.997516e+09 ; -2.153089e+09 + i -3.818520e+09 ; -6.131066e+08 + i -8.289084e+08 ; -3.495174e+09 + i 6.072666e+09 ; 7.017441e+08 + i -2.512477e+09 ; 7.440051e+08 + i -2.660373e+09 ; -1.024259e+10 + i -1.581335e+10 ; -7.549197e+07 + i 6.419067e+08 ; -1.316719e+08 + i 5.509927e+08 ; 2.753606e+09 + i 1.884961e+09 ; -5.366608e+08 + i 6.300968e+08 ; -2.194734e+08 + i 1.473822e+09 ; 3.538989e+09 + i 5.843984e+09 ; -1.983384e+08 + i 1.555879e+09 ; -6.271168e+08 + i 5.622685e+08 ; 3.448291e+09 + i 5.918783e+09 ; -9.590686e+08 + i 1.606054e+08 ; -1.023163e+09 + i 8.484107e+07 ; -8.606898e+09 + i 3.746244e+10 ; 5.963896e+08 + i 4.356006e+08 ; -3.195704e+08 + i -2.007749e+08 ; 7.187536e+08 + i 9.611387e+08 ; 2.925662e+08 + i 4.557886e+08 ; -6.962500e+07 + i 6.875518e+07 ; 6.202715e+08 + i -6.417179e+06 ; 8.491752e+08 + i 1.194555e+09 ; -3.107017e+07 + i -6.549548e+07 ; 3.767367e+07 + i 1.386291e+09 ; 2.245981e+07 + i 8.797964e+08 ; -4.064676e+07 + i 4.249847e+07 ; 6.310082e+08 + i 2.114991e+08 ; 1.668906e+08 + i -4.337221e+08 ; -6.745912e+07 + i 2.327815e+08 ; 8.993388e+08 + i 7.275648e+08 ; 3.068912e+08 + i -3.659376e+08 ; 2.124659e+07 + i 1.185184e+08 ; 5.813871e+08 + i -1.755974e+07 ; 3.172218e+08 + i -3.799855e+08 ; -1.476759e+08 + i 1.515489e+08 ; 8.347909e+08 + i 1.275406e+09 ; 4.098704e+08 + i -2.029779e+08 ; -7.440933e+05 + i 1.229686e+08 ; 5.605635e+08 + i 1.032956e+08 ; 
-5.290912e+07 + i -1.674465e+09 ; 4.044439e+08 + i 3.156332e+07 ; 4.055439e+08 + i 3.209880e+07 ; -1.680853e+09 + i -2.655015e+09 ; 6.247390e+07 + i 8.858520e+08 ; 6.162366e+07 + i 8.868836e+08 ; -1.186880e+09 + i -5.634133e+08 ; 4.677376e+08 + i -1.377216e+08 ; 3.181185e+08 + i -1.053811e+08 ; -1.571893e+09 + i -1.503483e+08 ; 1.307013e+09 + i 1.051480e+09 ; 3.160200e+08 + i 4.730620e+08 ; -1.186828e+09 + i -5.659009e+08 ; 3.155447e+08 + i -1.073843e+08 ; 4.661624e+08 + i -1.397297e+08 ; -1.572087e+09 + i -1.541777e+08 ; 3.158282e+08 + i 4.689223e+08 ; 1.307034e+09 + i 1.050374e+09 ; -1.326403e+09 + i 3.629894e+08 ; 3.495153e+08 + i -1.700940e+08 ; 3.512505e+08 + i -1.726016e+08 ; -1.172111e+09 + i 7.604246e+08 ; 8.612656e+08 + i 3.988097e+08 ; 8.625577e+08 + i 3.974397e+08 ; -8.635243e+09 + i 3.721311e+10 ; -1.081902e+09 + i 3.213207e+08 ; -1.086142e+09 + i 3.188980e+08 ; -1.029924e+10 + i -1.573315e+10 ; 5.232618e+08 + i -2.742502e+09 ; 5.256048e+08 + i -2.748257e+09 ; 3.319440e+09 + i 5.589880e+09 ; -4.046057e+08 + i 1.056822e+09 ; -4.951950e+08 + i 7.180945e+08 ; -3.414742e+09 + i 6.011854e+09 ; -3.915665e+09 + i -3.634546e+09 ; -7.849823e+08 + i -8.773027e+08 ; 3.314046e+09 + i 5.592288e+09 ; -4.892283e+08 + i 7.209207e+08 ; -4.004013e+08 + i 1.060675e+09 ; -3.420755e+09 + i 6.009509e+09 ; -7.880356e+08 + i -8.641016e+08 ; -3.915590e+09 + i -3.632681e+09 ; 2.457146e+09 + i 1.651208e+09 ; -9.843376e+07 + i 7.689093e+08 ; -1.027856e+08 + i 7.746771e+08 ; 3.248416e+09 + i 3.459603e+09 ; -1.770519e+09 + i -4.962358e+08 ; -1.773017e+09 + i -4.926137e+08 ; 
3.540472e+08 + i -4.701049e+08 ; 5.382122e+08 + i 1.108578e+08 ; 3.776261e+07 + i 1.578437e+08 ; 9.279792e+07 + i -6.720087e+08 ; 8.266047e+08 + i 1.273879e+09 ; -1.353575e+08 + i 2.372912e+08 ; 3.006651e+08 + i 9.774329e+08 ; 6.282929e+08 + i 2.049235e+08 ; -4.625840e+07 + i 6.024319e+07 ; 1.354264e+09 + i 1.029997e+09 ; 2.286835e+07 + i 1.352112e+09 ; -8.127891e+07 + i -1.082936e+08 ; 1.441659e+08 + i -5.528625e+08 ; 5.658565e+08 + i 2.524618e+06 ; 6.823597e+07 + i 1.449182e+08 ; -6.369089e+07 + i -5.690841e+08 ; 8.831020e+08 + i 7.370679e+08 ; -1.768648e+07 + i 3.143379e+08 ; 4.484716e+08 + i 4.347385e+08 ; 6.212796e+08 + i -1.022341e+07 ; -6.327801e+07 + i 1.006712e+08 ; 8.030507e+08 + i 3.058249e+08 ; 7.125625e+08 + i 9.585274e+08 ; -4.472058e+08 + i -1.340593e+08 ; -9.294649e+08 + i 4.945938e+08 ; -8.589164e+09 + i 3.745885e+10 ; -1.099059e+09 + i 4.658214e+08 ; -2.415017e+08 + i 1.196472e+09 ; 3.465013e+09 + i 5.828380e+09 ; -5.115154e+08 + i 8.159725e+08 ; 4.781113e+08 + i -2.446446e+09 ; -1.027150e+10 + i -1.568087e+10 ; 5.035397e+08 + i -2.694632e+09 ; -3.948519e+09 + i -3.571342e+09 ; -3.392365e+09 + i 6.196222e+09 ; -7.405362e+08 + i -8.287371e+08 ; -3.780729e+08 + i 8.211747e+08 ; 3.516705e+09 + i 5.784298e+09 ; -3.406987e+08 + i 1.198499e+09 ; -2.800882e+06 + i 9.274769e+08 ; 2.688036e+09 + i 1.858825e+09 ; -9.525287e+07 + i 8.836755e+08 ; -7.235847e+08 + i -6.614596e+08 ; -3.292733e+09 + i 6.107558e+09 ; -3.895271e+09 + i -3.613458e+09 ; -1.763410e+09 + i -3.666193e+08 ; 3.365176e+09 + i 3.670387e+09 ; -1.741567e+09 + i -4.469612e+08 ; 
3.552004e+08 + i -4.695745e+08 ; 3.797228e+07 + i 1.576172e+08 ; 5.384742e+08 + i 1.124292e+08 ; 9.257443e+07 + i -6.720760e+08 ; -1.348746e+08 + i 2.369333e+08 ; 8.269755e+08 + i 1.272054e+09 ; 1.458769e+08 + i -5.521443e+08 ; 6.784377e+07 + i 1.448987e+08 ; 5.668341e+08 + i 4.460393e+06 ; -6.267817e+07 + i -5.694382e+08 ; -1.738778e+07 + i 3.139343e+08 ; 8.815708e+08 + i 7.331166e+08 ; 3.025754e+08 + i 9.792852e+08 ; -4.583705e+07 + i 5.951233e+07 ; 6.253298e+08 + i 2.016423e+08 ; 1.355388e+09 + i 1.030761e+09 ; -8.010781e+07 + i -1.091101e+08 ; 2.022348e+07 + i 1.346794e+09 ; 4.471713e+08 + i 4.384093e+08 ; -6.404155e+07 + i 1.004444e+08 ; 6.216281e+08 + i -1.191873e+07 ; 8.012581e+08 + i 3.073099e+08 ; -4.477621e+08 + i -1.336990e+08 ; 7.124919e+08 + i 9.569938e+08 ; -9.333881e+08 + i 4.927681e+08 ; -1.099297e+09 + i 4.646579e+08 ; -8.579161e+09 + i 3.745202e+10 ; -2.416903e+08 + i 1.198377e+09 ; -5.117810e+08 + i 8.146455e+08 ; 3.445506e+09 + i 5.821288e+09 ; -3.831611e+08 + i 8.189897e+08 ; -3.354647e+08 + i 1.196164e+09 ; 3.528845e+09 + i 5.740846e+09 ; -8.795701e+06 + i 9.297778e+08 ; -9.404446e+07 + i 8.796860e+08 ; 2.662931e+09 + i 1.841488e+09 ; 4.749025e+08 + i -2.450656e+09 ; 5.070691e+08 + i -2.696386e+09 ; -1.026128e+10 + i -1.570000e+10 ; -3.951071e+09 + i -3.572803e+09 ; -7.366296e+08 + i -8.305477e+08 ; -3.390665e+09 + i 6.188672e+09 ; -7.199605e+08 + i -6.696651e+08 ; -3.895505e+09 + i -3.612711e+09 ; -3.292178e+09 + i 6.120278e+09 ; -1.759069e+09 + i -3.684238e+08 ; -1.740730e+09 + i -4.487016e+08 ; 3.361379e+09 + i 3.678773e+09 ; 
2.876795e+08 + i -6.810323e+08 ; 4.204299e+07 + i -1.085023e+08 ; 4.223678e+07 + i -1.081929e+08 ; -3.803507e+07 + i -1.655568e+09 ; 1.998366e+08 + i -9.063469e+06 ; 1.994564e+08 + i -7.612869e+06 ; -6.427169e+08 + i -6.798568e+08 ; 7.227732e+07 + i -1.203160e+08 ; 1.675702e+07 + i -1.185346e+08 ; -1.175559e+09 + i -5.530049e+08 ; 3.759162e+08 + i -5.220218e+07 ; 1.653633e+08 + i -9.289666e+07 ; -6.425908e+08 + i -6.816017e+08 ; 1.610079e+07 + i -1.187843e+08 ; 7.206104e+07 + i -1.199116e+08 ; -1.175469e+09 + i -5.542490e+08 ; 1.648174e+08 + i -9.519625e+07 ; 3.763254e+08 + i -5.173390e+07 ; -1.254062e+09 + i -1.566026e+08 ; 4.289609e+07 + i -1.261889e+08 ; 4.288308e+07 + i -1.266223e+08 ; -1.316809e+09 + i 3.729375e+08 ; 2.759083e+08 + i -1.180603e+08 ; 2.763565e+08 + i -1.182062e+08 ; -1.034432e+10 + i -1.572949e+10 ; -7.005444e+08 + i 2.573765e+09 ; -7.048346e+08 + i 2.577622e+09 ; -8.599773e+09 + i 3.750022e+10 ; 1.124603e+09 + i -3.617737e+08 ; 1.128310e+09 + i -3.595048e+08 ; -3.419522e+09 + i 6.006957e+09 ; 3.516723e+09 + i 3.809285e+09 ; 6.622308e+08 + i 8.403911e+08 ; 3.509839e+09 + i 5.756194e+09 ; 4.373855e+08 + i -1.127764e+09 ; 5.660365e+08 + i -7.664671e+08 ; -3.425652e+09 + i 6.007876e+09 ; 6.640556e+08 + i 8.268951e+08 ; 3.516062e+09 + i 3.808539e+09 ; 3.502232e+09 + i 5.759549e+09 ; 5.593319e+08 + i -7.699283e+08 ; 4.339608e+08 + i -1.129762e+09 ; 3.229043e+09 + i 3.455000e+09 ; 1.647652e+09 + i 5.483337e+08 ; 1.649515e+09 + i 5.450267e+08 ; 2.733218e+09 + i 1.700124e+09 ; 1.549443e+08 + i -8.527755e+08 ; 1.567064e+08 + i -8.585355e+08 ; 
1.258842e+08 + i 1.844602e+08 ; 2.249443e+08 + i -1.090808e+08 ; 4.797992e+07 + i 5.327817e+07 ; 1.919205e+08 + i 1.631139e+08 ; 5.653365e+08 + i 1.047715e+08 ; 1.041961e+07 + i 1.421813e+08 ; -2.090858e+08 + i 4.083285e+08 ; 2.162663e+08 + i -1.337118e+08 ; 2.932160e+07 + i 3.837361e+07 ; -5.910153e+07 + i 7.595006e+08 ; 6.233407e+08 + i 1.999840e+08 ; -1.462413e+07 + i 8.382753e+07 ; 1.925884e+08 + i 1.537168e+08 ; 2.126311e+08 + i -1.657121e+08 ; 5.421762e+07 + i 5.178890e+07 ; 2.408602e+08 + i 1.034141e+08 ; 5.805727e+08 + i -1.568026e+07 ; 3.513525e+07 + i 1.559600e+08 ; -4.548904e+07 + i 4.100379e+08 ; 1.915592e+08 + i -1.727496e+08 ; 1.769096e+07 + i 4.065950e+07 ; 1.185701e+08 + i 5.716032e+08 ; 6.148338e+08 + i -1.353721e+07 ; -6.943156e+07 + i 7.349088e+07 ; 6.043259e+08 + i -8.223769e+08 ; 3.497366e+09 + i 5.827502e+09 ; -5.610425e+08 + i 7.547424e+08 ; 1.041284e+09 + i -3.249204e+07 ; -8.659025e+09 + i 3.760037e+10 ; -1.133363e+09 + i 3.462221e+08 ; 2.268939e+09 + i 4.116646e+09 ; -3.414581e+09 + i 6.189225e+09 ; -6.628316e+08 + i -8.742034e+08 ; -1.192456e+09 + i 2.174095e+09 ; -1.040448e+10 + i -1.559186e+10 ; 7.020273e+08 + i -2.611528e+09 ; 2.935601e+08 + i -6.233721e+08 ; 2.692108e+09 + i 1.838108e+09 ; -1.585157e+08 + i 8.535348e+08 ; 6.282970e+08 + i -5.052376e+08 ; 3.423073e+09 + i 5.902488e+09 ; -4.567754e+08 + i 1.127899e+09 ; 1.278072e+09 + i 9.119849e+08 ; 3.370655e+09 + i 3.673161e+09 ; -1.670246e+09 + i -5.750538e+08 ; 3.710216e+08 + i 9.217560e+08 ; -3.415027e+09 + i 6.243064e+09 ; -3.545547e+09 + i -3.847821e+09 ; 
1.257774e+08 + i 1.852388e+08 ; 4.814272e+07 + i 5.316363e+07 ; 2.258013e+08 + i -1.105168e+08 ; 1.918168e+08 + i 1.630498e+08 ; 1.072791e+07 + i 1.419102e+08 ; 5.633911e+08 + i 1.027362e+08 ; 1.926874e+08 + i 1.545795e+08 ; 5.420774e+07 + i 5.198476e+07 ; 2.143951e+08 + i -1.653103e+08 ; 2.414988e+08 + i 1.040597e+08 ; 3.512684e+07 + i 1.557095e+08 ; 5.809685e+08 + i -1.501668e+07 ; -2.098391e+08 + i 4.090561e+08 ; 2.931862e+07 + i 3.802441e+07 ; 2.147385e+08 + i -1.346249e+08 ; -5.948584e+07 + i 7.597764e+08 ; -1.413005e+07 + i 8.325641e+07 ; 6.219634e+08 + i 1.990119e+08 ; -4.666353e+07 + i 4.099736e+08 ; 1.735720e+07 + i 4.080140e+07 ; 1.922325e+08 + i -1.737208e+08 ; 1.176005e+08 + i 5.704741e+08 ; -6.964604e+07 + i 7.355084e+07 ; 6.162312e+08 + i -1.323036e+07 ; 6.032260e+08 + i -8.219564e+08 ; -5.610581e+08 + i 7.535486e+08 ; 3.477699e+09 + i 5.815745e+09 ; 1.045913e+09 + i -3.275852e+07 ; -1.133266e+09 + i 3.450133e+08 ; -8.651765e+09 + i 3.758670e+10 ; 2.946873e+08 + i -6.229720e+08 ; -1.571925e+08 + i 8.499357e+08 ; 2.670619e+09 + i 1.822730e+09 ; 6.319714e+08 + i -5.026231e+08 ; -4.524443e+08 + i 1.125761e+09 ; 3.442386e+09 + i 5.862585e+09 ; 2.267772e+09 + i 4.119647e+09 ; -6.588059e+08 + i -8.758173e+08 ; -3.413472e+09 + i 6.187605e+09 ; -1.190616e+09 + i 2.177289e+09 ; 7.055092e+08 + i -2.612695e+09 ; -1.039978e+10 + i -1.560495e+10 ; 1.272724e+09 + i 9.114871e+08 ; -1.669642e+09 + i -5.771917e+08 ; 3.357659e+09 + i 3.678361e+09 ; 3.697804e+08 + i 9.230672e+08 ; -3.545963e+09 + i -3.847540e+09 ; -3.418195e+09 + i 6.252149e+09 ; 
-1.173564e+09 + i -5.723182e+08 ; -3.856585e+08 + i 1.802870e+07 ; 3.184306e+08 + i -7.906830e+07 ; -1.566520e+09 + i -1.419160e+08 ; -8.187719e+08 + i -1.189213e+09 ; 2.684580e+08 + i 4.886265e+08 ; -3.894223e+07 + i -1.662935e+09 ; -3.246225e+08 + i -7.766395e+07 ; 3.955196e+08 + i 6.276403e+07 ; -1.683443e+09 + i -2.649041e+09 ; 2.121791e+08 + i -6.843864e+08 ; -1.349939e+07 + i 8.742495e+08 ; -1.319251e+09 + i 3.584478e+08 ; -3.041980e+08 + i 5.273714e+07 ; 3.572621e+08 + i -1.419779e+08 ; -1.161321e+09 + i 7.647397e+08 ; -6.113899e+08 + i -5.402376e+08 ; 8.155856e+08 + i 4.577452e+08 ; -1.175466e+09 + i -5.680647e+08 ; -2.672781e+08 + i 3.616880e+07 ; 4.685692e+08 + i -1.000304e+08 ; -1.568992e+09 + i -1.549044e+08 ; -1.204245e+08 + i -4.435258e+08 ; 1.200290e+09 + i 1.137405e+09 ; 3.364419e+09 + i 5.577388e+09 ; 4.048263e+08 + i -1.234230e+09 ; -5.383647e+08 + i 6.708269e+08 ; -3.468802e+09 + i 5.927909e+09 ; 2.292144e+09 + i 4.253172e+09 ; -7.054913e+08 + i -9.381538e+08 ; -8.548940e+09 + i 3.723443e+10 ; 1.142221e+09 + i -2.268817e+08 ; -1.094730e+09 + i 2.354772e+08 ; -1.026900e+10 + i -1.580590e+10 ; -9.253275e+08 + i 2.643421e+09 ; 7.271511e+08 + i -2.670442e+09 ; 2.456509e+09 + i 1.606112e+09 ; 2.065657e+08 + i -6.563443e+08 ; -1.521004e+08 + i 7.622184e+08 ; 3.238196e+09 + i 3.460917e+09 ; 1.429610e+09 + i 9.516818e+08 ; -1.709818e+09 + i -6.301948e+08 ; 3.312075e+09 + i 5.550596e+09 ; 5.464796e+08 + i -5.937376e+08 ; -4.700311e+08 + i 1.019073e+09 ; -3.437689e+09 + i 6.003621e+09 ; 5.239269e+08 + i 9.687115e+08 ; -3.564138e+09 + i -3.901780e+09 ; 
-2.709522e+08 + i -1.009684e+09 ; 6.165867e+08 + i 2.251923e+08 ; 4.990434e+07 + i -5.645380e+07 ; -1.286633e+09 + i -1.144344e+09 ; 2.626002e+07 + i 1.377667e+09 ; 7.114094e+07 + i 1.117258e+08 ; -3.823294e+08 + i 4.022437e+08 ; 5.643628e+08 + i 9.877491e+07 ; -2.495893e+07 + i -1.591154e+08 ; -1.536057e+08 + i 5.598143e+08 ; 8.497759e+08 + i 1.253909e+09 ; 1.527536e+08 + i -2.244998e+08 ; -4.455499e+08 + i -4.623721e+08 ; 6.177528e+08 + i 5.014033e+06 ; 6.917871e+07 + i -9.438017e+07 ; -7.888820e+08 + i -3.736096e+08 ; 7.163632e+08 + i 9.692860e+08 ; 4.267528e+08 + i 1.667180e+08 ; -1.917785e+08 + i 5.148826e+08 ; 5.816781e+08 + i -1.584943e+07 ; -5.624219e+07 + i -1.483612e+08 ; 9.287212e+06 + i 5.150652e+08 ; 8.956340e+08 + i 7.213068e+08 ; 4.117530e+07 + i -3.083477e+08 ; -4.331822e+08 + i 2.768918e+09 ; -1.028465e+10 + i -1.569944e+10 ; -7.095470e+08 + i 2.599731e+09 ; 3.533505e+09 + i 3.767275e+09 ; -3.464087e+09 + i 6.128627e+09 ; 6.647596e+08 + i 8.717720e+08 ; 1.072134e+09 + i -4.900775e+08 ; -8.557754e+09 + i 3.746852e+10 ; 1.131503e+09 + i -3.715445e+08 ; 1.472452e+08 + i -1.570369e+09 ; 3.455103e+09 + i 5.900188e+09 ; 5.776292e+08 + i -7.663127e+08 ; 7.237905e+08 + i 6.969546e+08 ; -3.324782e+09 + i 6.136923e+09 ; 3.534898e+09 + i 3.855332e+09 ; 1.726640e+09 + i 5.294175e+08 ; 3.311186e+09 + i 3.680985e+09 ; 1.674660e+09 + i 5.842595e+08 ; 3.964828e+08 + i -8.688729e+08 ; 3.552439e+09 + i 5.785498e+09 ; 4.279216e+08 + i -1.149686e+09 ; 5.617202e+06 + i -9.304164e+08 ; 2.742965e+09 + i 1.861625e+09 ; 1.652415e+08 + i -8.601512e+08 ; 
1.750739e+08 + i -5.343506e+08 ; -2.668560e+07 + i -1.338117e+08 ; 5.640375e+08 + i 3.443279e+06 ; -3.402126e+07 + i -5.645575e+08 ; 8.601794e+07 + i -2.571171e+08 ; 8.807725e+08 + i 7.300682e+08 ; 3.721982e+08 + i -4.382578e+08 ; -3.723743e+06 + i -1.417227e+08 ; 5.376815e+08 + i 1.127544e+08 ; 1.229473e+08 + i -6.552061e+08 ; 1.665735e+08 + i -1.651115e+08 ; 8.289586e+08 + i 1.272009e+09 ; 4.111703e+08 + i 4.595447e+08 ; 7.427433e+07 + i -8.028043e+07 ; 6.202491e+08 + i -1.249839e+07 ; 7.687503e+08 + i 3.373779e+08 ; 3.355027e+08 + i 2.073447e+08 ; 7.109835e+08 + i 9.557615e+08 ; 2.319054e+08 + i 9.747310e+08 ; 5.375869e+07 + i -5.934749e+07 ; 6.250246e+08 + i 2.028328e+08 ; 1.263500e+09 + i 1.085801e+09 ; 2.709997e+07 + i 8.415052e+07 ; 1.878337e+07 + i 1.346784e+09 ; -4.571388e+08 + i 7.750355e+08 ; 5.694166e+08 + i -9.446201e+08 ; 3.564126e+09 + i 5.729909e+09 ; -1.094669e+08 + i 9.041887e+08 ; 3.102081e+08 + i -7.136330e+08 ; 2.677733e+09 + i 1.825076e+09 ; -9.578968e+08 + i 4.254432e+08 ; 1.056600e+09 + i -1.521260e+08 ; -8.547218e+09 + i 3.746097e+10 ; -3.336979e+08 + i 1.167868e+09 ; 6.545451e+08 + i -5.906627e+08 ; 3.454541e+09 + i 5.799038e+09 ; -6.435940e+08 + i -7.990232e+08 ; 2.425841e+09 + i 4.012431e+09 ; -3.307796e+09 + i 6.116696e+09 ; -1.664976e+09 + i -5.163358e+08 ; 1.333744e+09 + i 8.790683e+08 ; 3.355111e+09 + i 3.682155e+09 ; 6.201343e+08 + i -2.359756e+09 ; -1.053105e+09 + i 2.141410e+09 ; -1.027353e+10 + i -1.571622e+10 ; -3.658342e+09 + i -3.734045e+09 ; 4.641119e+08 + i 9.710713e+08 ; -3.411295e+09 + i 6.186440e+09 ; 
-6.437378e+08 + i -6.814446e+08 ; -1.077233e+08 + i 3.804805e+07 ; 2.356784e+07 + i -1.160273e+08 ; -1.195251e+09 + i -5.609016e+08 ; -3.874473e+08 + i -9.602122e+07 ; 1.687368e+08 + i -8.107310e+07 ; 2.833793e+08 + i -6.704100e+08 ; -4.234678e+07 + i 5.393483e+07 ; 4.845199e+07 + i -1.050969e+08 ; -5.232443e+07 + i -1.667304e+09 ; -1.679947e+08 + i -1.169275e+08 ; 1.974540e+08 + i 3.628664e+06 ; -1.253956e+09 + i -1.565624e+08 ; -9.719883e+07 + i 7.319686e+07 ; 4.995298e+07 + i -1.226332e+08 ; -1.326076e+09 + i 3.701658e+08 ; -3.077760e+08 + i 1.775806e+07 ; 2.809727e+08 + i -1.004177e+08 ; -6.395824e+08 + i -6.798410e+08 ; -4.698513e+07 + i 7.192153e+07 ; 7.877681e+07 + i -1.145459e+08 ; -1.184827e+09 + i -5.625801e+08 ; -1.820997e+08 + i 4.939547e+06 ; 3.762736e+08 + i -2.833646e+07 ; -3.447121e+09 + i 5.878489e+09 ; -2.287073e+09 + i -3.900975e+09 ; 5.972290e+08 + i 8.766234e+08 ; 3.496758e+09 + i 5.765943e+09 ; -2.860755e+08 + i 1.720366e+09 ; 6.036195e+08 + i -7.247819e+08 ; -1.025407e+10 + i -1.581761e+10 ; 8.056124e+08 + i -2.911586e+09 ; -8.582914e+08 + i 2.509827e+09 ; -8.604703e+09 + i 3.749571e+10 ; -9.931675e+08 + i 9.014225e+07 ; 1.139230e+09 + i -2.848824e+08 ; 3.186726e+09 + i 3.436799e+09 ; -1.345637e+09 + i -8.953596e+08 ; 1.604316e+09 + i 6.377402e+08 ; 2.741077e+09 + i 1.670559e+09 ; -1.425682e+08 + i 7.102691e+08 ; 2.074758e+08 + i -8.431598e+08 ; -3.456324e+09 + i 5.986517e+09 ; -5.443000e+08 + i -8.635606e+08 ; 3.257078e+09 + i 3.986700e+09 ; 3.487850e+09 + i 5.749136e+09 ; -5.636243e+08 + i 6.591219e+08 ; 5.029873e+08 + i -1.092319e+09 ; 
2.258470e+08 + i -3.512573e+08 ; 2.286024e+08 + i -1.348057e+08 ; -2.693540e+07 + i -4.006577e+07 ; 1.111419e+08 + i -6.638481e+08 ; 6.358748e+08 + i 1.855173e+08 ; 1.946628e+07 + i -8.287867e+07 ; -1.353293e+08 + i -1.431814e+08 ; 2.145959e+08 + i -1.220615e+08 ; -4.478963e+07 + i -5.623460e+07 ; -1.862337e+08 + i -6.770322e+07 ; 5.483655e+08 + i 1.001103e+08 ; -2.274169e+06 + i -1.427307e+08 ; 8.312968e+07 + i -3.695132e+08 ; 1.991475e+08 + i -1.763151e+08 ; -1.559378e+07 + i -4.130042e+07 ; -6.355420e+07 + i -5.205626e+08 ; 6.163037e+08 + i -2.301618e+07 ; 7.219993e+07 + i -6.879281e+07 ; -1.771549e+08 + i -1.157326e+08 ; 1.974792e+08 + i -1.695467e+08 ; -5.106552e+07 + i -5.477439e+07 ; -2.074976e+08 + i -4.317288e+07 ; 5.686985e+08 + i -9.338265e+06 ; -2.637104e+07 + i -1.570761e+08 ; -2.208890e+09 + i -3.957230e+09 ; -3.433819e+09 + i 6.065469e+09 ; 6.053941e+08 + i 9.024811e+08 ; 8.766892e+08 + i -2.913634e+09 ; -1.036405e+10 + i -1.562654e+10 ; -8.452115e+08 + i 2.542353e+09 ; -3.362907e+08 + i 1.623382e+09 ; 3.433013e+09 + i 5.915329e+09 ; 6.063988e+08 + i -7.181046e+08 ; -9.784279e+08 + i 3.302623e+07 ; -8.697064e+09 + i 3.757599e+10 ; 1.153102e+09 + i -2.799555e+08 ; -1.285761e+09 + i -9.761235e+08 ; 3.290701e+09 + i 3.657496e+09 ; 1.616127e+09 + i 6.672273e+08 ; -5.019105e+08 + i -9.092099e+08 ; -3.456920e+09 + i 6.257467e+09 ; 3.276999e+09 + i 4.020662e+09 ; -1.521446e+08 + i 6.371875e+08 ; 2.750616e+09 + i 1.852907e+09 ; 2.069697e+08 + i -8.372653e+08 ; -5.556423e+08 + i 5.963534e+08 ; 3.445026e+09 + i 5.920707e+09 ; 5.156470e+08 + i -1.089748e+09 ; 
