1.141061e+09 + i 7.084587e+09 ; -1.064994e+08 + i 4.813395e+08 ; -1.121203e+08 + i 4.853488e+08 ; -4.032947e+09 + i -1.651675e+09 ; -5.013751e+08 + i -7.319796e+08 ; -5.094023e+08 + i -7.352569e+08 ; 1.042810e+09 + i 7.070784e+08 ; 1.492247e+08 + i 3.782930e+08 ; 1.774418e+08 + i 4.331453e+08 ; 3.745074e+08 + i 1.912406e+09 ; -1.192060e+09 + i 4.152048e+07 ; -3.621135e+08 + i 6.842574e+07 ; 1.039259e+09 + i 7.185661e+08 ; 1.824741e+08 + i 4.279277e+08 ; 1.587147e+08 + i 3.740662e+08 ; 3.678492e+08 + i 1.918384e+09 ; -3.545528e+08 + i 7.388162e+07 ; -1.189501e+09 + i 4.195091e+07 ; 1.253762e+09 + i 3.522388e+08 ; 2.165273e+08 + i 3.525065e+08 ; 2.206680e+08 + i 3.588037e+08 ; 1.654263e+09 + i 2.299584e+08 ; -3.485355e+08 + i 2.566645e+08 ; -3.464275e+08 + i 2.604137e+08 ; -9.735611e+07 + i -3.143562e+08 ; -3.037105e+07 + i 6.887635e+07 ; -3.154131e+07 + i 6.724782e+07 ; 1.297344e+08 + i -1.332158e+08 ; 4.962216e+07 + i 3.062043e+07 ; 4.871638e+07 + i 3.128259e+07 ; -3.364797e+08 + i 1.576729e+08 ; -3.517352e+07 + i 9.827417e+07 ; 1.062995e+07 + i 7.854505e+07 ; -2.694257e+08 + i 2.382507e+07 ; 5.010348e+07 + i 3.496905e+07 ; 6.271438e+07 + i 2.616757e+07 ; -3.403067e+08 + i 1.611203e+08 ; 1.192546e+07 + i 7.883759e+07 ; -3.537264e+07 + i 9.611337e+07 ; -2.739077e+08 + i 2.587383e+07 ; 6.329421e+07 + i 2.515516e+07 ; 4.853662e+07 + i 3.386197e+07 ; -3.294445e+08 + i 4.925537e+08 ; 3.568534e+06 + i 9.656225e+07 ; 4.466126e+06 + i 9.498264e+07 ; -4.717471e+08 + i 3.941135e+08 ; 6.349168e+07 + i 2.927163e+07 ; 6.342151e+07 + i 2.815077e+07 ; 
-3.178248e+08 + i 1.275237e+07 ; -3.320881e+08 + i -6.064492e+06 ; 1.709142e+09 + i 2.923211e+08 ; -3.130122e+08 + i -2.608314e+07 ; -7.150321e+08 + i -4.767457e+08 ; 3.705261e+08 + i 1.878134e+09 ; -7.171750e+08 + i -4.568749e+08 ; -3.443874e+08 + i -3.035626e+07 ; 3.547041e+08 + i 1.932668e+09 ; -3.412901e+08 + i -7.854575e+08 ; -3.585831e+08 + i -8.065557e+08 ; -4.064750e+09 + i -1.798981e+09 ; 8.279490e+07 + i 1.989364e+08 ; 2.102373e+07 + i 1.899024e+08 ; 1.363694e+09 + i 3.544241e+08 ; 6.858549e+06 + i 3.507665e+08 ; 2.752360e+08 + i 4.272165e+08 ; 1.126752e+09 + i 7.109825e+08 ; 3.125724e+08 + i 4.420857e+08 ; -5.113571e+07 + i 3.590450e+08 ; 1.110582e+09 + i 7.578498e+08 ; -2.390449e+08 + i 2.582226e+08 ; -2.783294e+08 + i 2.590867e+08 ; 1.172477e+09 + i 7.026150e+09 ; 1.517642e+08 + i -2.615415e+07 ; -7.274781e+07 + i 1.294573e+07 ; 3.313564e+08 + i 4.735875e+07 ; 1.327487e+08 + i 2.326595e+07 ; 1.110096e+07 + i 2.293751e+07 ; 1.498755e+08 + i -1.924465e+08 ; 2.831629e+08 + i 1.261930e+08 ; -6.027021e+06 + i -3.950325e+06 ; 2.034937e+08 + i 2.699161e+08 ; 1.125031e+08 + i 2.095367e+08 ; 8.855349e+06 + i 1.530578e+07 ; 1.732442e+08 + i -1.240951e+08 ; -3.000266e+07 + i -1.870604e+08 ; 2.373576e+07 + i 5.834754e+07 ; 3.001641e+08 + i 6.913607e+06 ; 1.127628e+06 + i -2.145764e+08 ; 3.622803e+07 + i 2.517824e+07 ; 1.449627e+08 + i -1.969739e+08 ; 3.666294e+07 + i -1.482272e+08 ; 3.747469e+06 + i 6.243585e+07 ; 2.553793e+08 + i 1.237947e+08 ; 7.225561e+07 + i -1.400588e+08 ; 3.800053e+07 + i 2.739046e+07 ; 1.382747e+08 + i -1.209980e+08 ; 
-1.198844e+08 + i -3.000428e+08 ; 8.389171e+07 + i -1.647806e+08 ; 8.524213e+07 + i -1.664757e+08 ; -4.865209e+08 + i -2.273237e+08 ; 2.385958e+08 + i 1.508193e+08 ; 2.406762e+08 + i 1.512328e+08 ; -3.394014e+08 + i 1.765132e+08 ; 4.362959e+07 + i -1.875741e+08 ; 2.081848e+07 + i -1.841359e+08 ; -3.105129e+08 + i 3.097320e+08 ; 4.033545e+08 + i -6.808006e+07 ; 2.062621e+08 + i -2.231447e+07 ; -3.439322e+08 + i 1.744395e+08 ; 1.734532e+07 + i -1.817523e+08 ; 3.912800e+07 + i -1.858758e+08 ; -3.156442e+08 + i 3.075870e+08 ; 2.026015e+08 + i -2.293648e+07 ; 4.020621e+08 + i -6.813913e+07 ; -3.295378e+08 + i 5.032638e+08 ; 4.496861e+06 + i -1.901478e+08 ; 2.315932e+06 + i -1.930473e+08 ; -2.095347e+08 + i 5.885870e+08 ; 2.353476e+08 + i -1.187045e+08 ; 2.344385e+08 + i -1.202918e+08 ; 1.118218e+09 + i 7.045199e+09 ; -1.584623e+08 + i 4.490625e+08 ; -1.632237e+08 + i 4.524921e+08 ; -4.031166e+09 + i -1.656739e+09 ; -5.204044e+08 + i -7.403062e+08 ; -5.276953e+08 + i -7.444030e+08 ; 9.742182e+08 + i 7.307504e+08 ; 9.813726e+07 + i 3.714975e+08 ; 1.410720e+08 + i 4.132685e+08 ; 3.759278e+08 + i 1.917454e+09 ; -1.206928e+09 + i 4.568551e+07 ; -4.038999e+08 + i 7.375277e+07 ; 9.715299e+08 + i 7.403634e+08 ; 1.461149e+08 + i 4.086717e+08 ; 1.076186e+08 + i 3.678738e+08 ; 3.688250e+08 + i 1.921416e+09 ; -3.966965e+08 + i 7.932337e+07 ; -1.203965e+09 + i 4.620869e+07 ; 1.169722e+09 + i 4.233091e+08 ; 1.763830e+08 + i 3.384602e+08 ; 1.799892e+08 + i 3.450696e+08 ; 1.659749e+09 + i 2.274990e+08 ; -3.920880e+08 + i 2.616075e+08 ; -3.896685e+08 + i 2.661464e+08 ; 
-8.194312e+07 + i -2.264207e+08 ; 1.351365e+08 + i -1.026266e+08 ; 7.706147e+07 + i 1.629217e+07 ; -1.684465e+08 + i -1.764447e+08 ; 2.616710e+08 + i 1.232141e+08 ; 4.996691e+07 + i 9.254041e+07 ; 2.702950e+08 + i 1.832237e+08 ; 1.671488e+08 + i -1.331107e+08 ; 1.673049e+07 + i 1.665830e+07 ; 4.015396e+08 + i -4.286156e+07 ; 1.876979e+08 + i 2.520374e+08 ; -3.701495e+07 + i -9.065634e+06 ; -1.955377e+08 + i -1.931254e+08 ; 1.549351e+08 + i -1.752924e+08 ; 7.405951e+07 + i 7.737563e+06 ; -2.162002e+08 + i -1.310936e+08 ; 3.029460e+08 + i 1.963112e+07 ; 7.799510e+07 + i 7.364462e+07 ; 1.693808e+08 + i -8.824332e+06 ; 1.462552e+08 + i -2.010092e+08 ; 2.431078e+07 + i 1.764198e+07 ; 1.638674e+08 + i -8.443834e+07 ; 3.287667e+08 + i 4.238874e+07 ; -8.469428e+07 + i 5.432303e+07 ; -5.651559e+07 + i 3.925435e+08 ; 1.182319e+09 + i 6.996819e+09 ; -1.069538e+08 + i 4.810582e+08 ; 1.778388e+08 + i 3.130261e+08 ; 1.041425e+09 + i 6.957248e+08 ; 1.757997e+08 + i 4.318171e+08 ; -4.544924e+08 + i -6.727868e+08 ; -4.003440e+09 + i -1.715277e+09 ; -5.179717e+08 + i -7.359727e+08 ; -1.225973e+09 + i 7.630903e+07 ; 4.372173e+08 + i 1.938654e+09 ; -3.803122e+08 + i 5.968115e+07 ; 2.052947e+08 + i 3.639024e+08 ; 1.069274e+09 + i 7.123060e+08 ; 1.646685e+08 + i 3.744101e+08 ; 2.568709e+08 + i 3.141409e+08 ; 1.305624e+09 + i 4.309217e+08 ; 2.180234e+08 + i 3.628128e+08 ; -3.341773e+08 + i 9.053595e+07 ; 4.403890e+08 + i 1.875244e+09 ; -1.204578e+09 + i 3.787164e+07 ; -3.562416e+08 + i 2.830330e+08 ; 1.782121e+09 + i 2.539763e+08 ; -3.636180e+08 + i 2.619913e+08 ; 
-8.133932e+07 + i -2.274661e+08 ; 7.685115e+07 + i 1.530851e+07 ; 1.334390e+08 + i -1.029479e+08 ; -1.694902e+08 + i -1.779032e+08 ; 4.950229e+07 + i 9.090310e+07 ; 2.550339e+08 + i 1.224736e+08 ; -1.924389e+08 + i -1.945229e+08 ; 7.423248e+07 + i 8.277398e+06 ; 1.565006e+08 + i -1.763669e+08 ; -2.148716e+08 + i -1.328936e+08 ; 7.801176e+07 + i 7.319407e+07 ; 2.967409e+08 + i 1.700315e+07 ; 2.753537e+08 + i 1.815369e+08 ; 1.586341e+07 + i 1.561227e+07 ; 1.592530e+08 + i -1.292635e+08 ; 4.041050e+08 + i -4.464539e+07 ; -3.745388e+07 + i -1.068687e+07 ; 1.793826e+08 + i 2.545035e+08 ; 1.731511e+08 + i -4.136742e+06 ; 2.356899e+07 + i 1.889496e+07 ; 1.434451e+08 + i -1.998735e+08 ; 1.645687e+08 + i -8.030640e+07 ; -8.442785e+07 + i 5.582585e+07 ; 3.252080e+08 + i 4.323660e+07 ; -6.052850e+07 + i 3.947707e+08 ; -1.098655e+08 + i 4.804321e+08 ; 1.180402e+09 + i 6.991055e+09 ; 1.795974e+08 + i 3.174247e+08 ; 1.734918e+08 + i 4.297434e+08 ; 1.022986e+09 + i 7.165836e+08 ; 1.984422e+08 + i 3.673208e+08 ; 1.660930e+08 + i 3.694511e+08 ; 1.037060e+09 + i 6.842430e+08 ; 2.531568e+08 + i 3.225512e+08 ; 2.138244e+08 + i 3.608598e+08 ; 1.276510e+09 + i 4.406256e+08 ; -4.635345e+08 + i -6.723180e+08 ; -5.180507e+08 + i -7.413324e+08 ; -4.009101e+09 + i -1.742172e+09 ; -1.231462e+09 + i 7.965522e+07 ; -3.791571e+08 + i 5.235468e+07 ; 4.365884e+08 + i 1.921944e+09 ; -3.393365e+08 + i 8.095653e+07 ; -1.204667e+09 + i 3.959922e+07 ; 4.591747e+08 + i 1.885283e+09 ; -3.545187e+08 + i 2.761552e+08 ; -3.670647e+08 + i 2.608474e+08 ; 1.800765e+09 + i 2.633356e+08 ; 
1.184534e+08 + i -1.461822e+08 ; -4.172669e+07 + i -3.990852e+07 ; -4.033500e+07 + i -4.030606e+07 ; -9.940829e+07 + i -2.959335e+08 ; 4.055950e+07 + i -5.710177e+07 ; 4.344647e+07 + i -5.700315e+07 ; -2.769797e+08 + i 2.214504e+07 ; -4.129448e+07 + i -4.150635e+07 ; -5.588371e+07 + i -3.698910e+07 ; -3.248259e+08 + i 1.804836e+08 ; 5.065150e+07 + i -8.606472e+07 ; 5.256004e+06 + i -7.621220e+07 ; -2.804181e+08 + i 2.001606e+07 ; -5.634737e+07 + i -3.605011e+07 ; -4.035295e+07 + i -4.154309e+07 ; -3.271747e+08 + i 1.782621e+08 ; 2.719741e+06 + i -7.656221e+07 ; 5.218134e+07 + i -8.677737e+07 ; -4.686823e+08 + i 3.837507e+08 ; -5.560984e+07 + i -3.788867e+07 ; -5.604271e+07 + i -3.844034e+07 ; -3.139479e+08 + i 5.089254e+08 ; 1.332600e+07 + i -9.234948e+07 ; 1.378004e+07 + i -9.282685e+07 ; -4.075168e+09 + i -1.644121e+09 ; 3.886219e+08 + i 8.188528e+08 ; 3.903674e+08 + i 8.230253e+08 ; 1.179619e+09 + i 7.084033e+09 ; 2.057275e+08 + i -4.681804e+08 ; 2.104017e+08 + i -4.722062e+08 ; 3.541524e+08 + i 1.920816e+09 ; 1.194993e+09 + i 1.593322e+08 ; 3.794934e+08 + i -8.860628e+06 ; 1.069540e+09 + i 6.949547e+08 ; -9.184827e+07 + i -4.043749e+08 ; -9.556101e+07 + i -4.736616e+08 ; 3.504522e+08 + i 1.930097e+09 ; 3.678634e+08 + i -1.502213e+07 ; 1.193518e+09 + i 1.627216e+08 ; 1.066955e+09 + i 7.036696e+08 ; -1.038548e+08 + i -4.683988e+08 ; -9.666700e+07 + i -3.986678e+08 ; 1.632465e+09 + i 2.550047e+08 ; 3.902077e+08 + i -1.963319e+08 ; 3.855705e+08 + i -1.999643e+08 ; 1.290390e+09 + i 3.134987e+08 ; -1.529028e+08 + i -3.933864e+08 ; -1.618023e+08 + i -3.980193e+08 ; 
1.104599e+08 + i 3.413254e+07 ; -3.091716e+07 + i -1.134401e+08 ; 3.864109e+07 + i -2.251865e+07 ; 1.305974e+08 + i 1.271092e+07 ; 1.425155e+08 + i -1.183137e+08 ; 6.293361e+07 + i 2.522655e+07 ; -7.013776e+06 + i 1.190844e+08 ; -5.258252e+07 + i -1.153049e+08 ; 2.363611e+07 + i -1.916418e+07 ; 7.114287e+07 + i 1.752965e+08 ; 1.555377e+08 + i -1.256904e+08 ; 3.298454e+07 + i 1.458632e+07 ; 1.426870e+08 + i 2.041437e+07 ; -4.809676e+07 + i -1.464410e+08 ; 3.485253e+07 + i -2.522595e+07 ; 1.576894e+08 + i -8.886991e+06 ; 1.475113e+08 + i -1.930038e+08 ; 6.713495e+07 + i 2.429762e+07 ; 6.088001e+07 + i 1.155600e+08 ; -6.558706e+07 + i -1.360432e+08 ; 1.933312e+07 + i -1.864022e+07 ; 1.180152e+08 + i 1.237869e+08 ; 1.369766e+08 + i -1.923845e+08 ; 1.826852e+07 + i 2.321796e+07 ; 1.253334e+08 + i -3.090924e+08 ; 1.096633e+09 + i 7.028113e+08 ; 1.028582e+08 + i 4.593126e+08 ; 3.648247e+08 + i -2.393082e+08 ; 1.242359e+09 + i 7.080923e+09 ; -2.075469e+08 + i 4.700996e+08 ; 8.348949e+08 + i 6.341733e+08 ; 4.016033e+08 + i 1.937601e+09 ; -3.851434e+08 + i -4.695165e+06 ; -4.124119e+07 + i 8.078101e+08 ; -4.040731e+09 + i -1.690657e+09 ; -4.009597e+08 + i -8.286033e+08 ; 7.523059e+07 + i -3.030673e+08 ; 1.302185e+09 + i 3.878138e+08 ; 1.558009e+08 + i 3.952206e+08 ; 1.224460e+08 + i -3.688903e+08 ; 1.076856e+09 + i 7.558306e+08 ; 8.193301e+07 + i 4.131044e+08 ; 3.866255e+08 + i 6.592014e+07 ; 1.787810e+09 + i 2.495789e+08 ; -4.120378e+08 + i 2.009543e+08 ; 2.902908e+08 + i 1.750664e+08 ; 4.418799e+08 + i 1.953448e+09 ; -1.227569e+09 + i -1.629543e+08 ; 
1.112886e+08 + i 3.561486e+07 ; 3.859248e+07 + i -2.304911e+07 ; -3.061096e+07 + i -1.165582e+08 ; 1.319704e+08 + i 1.350963e+07 ; 6.248021e+07 + i 2.403656e+07 ; 1.425819e+08 + i -1.188797e+08 ; 1.430983e+08 + i 2.132717e+07 ; 3.554724e+07 + i -2.534058e+07 ; -4.630974e+07 + i -1.483825e+08 ; 1.593739e+08 + i -8.077680e+06 ; 6.696333e+07 + i 2.387566e+07 ; 1.505164e+08 + i -1.921913e+08 ; -7.259867e+06 + i 1.215224e+08 ; 2.282376e+07 + i -1.917182e+07 ; -5.312929e+07 + i -1.143130e+08 ; 7.159884e+07 + i 1.771500e+08 ; 3.230059e+07 + i 1.366875e+07 ; 1.566629e+08 + i -1.256068e+08 ; 5.971164e+07 + i 1.155168e+08 ; 1.950569e+07 + i -1.774821e+07 ; -6.521932e+07 + i -1.370109e+08 ; 1.164716e+08 + i 1.229845e+08 ; 1.838708e+07 + i 2.375742e+07 ; 1.402033e+08 + i -1.922530e+08 ; 1.246409e+08 + i -3.068904e+08 ; 1.012814e+08 + i 4.572730e+08 ; 1.071805e+09 + i 7.134756e+08 ; 3.709333e+08 + i -2.465444e+08 ; -2.093424e+08 + i 4.679649e+08 ; 1.226401e+09 + i 7.062484e+09 ; 7.615150e+07 + i -3.006873e+08 ; 1.525520e+08 + i 3.932293e+08 ; 1.286841e+09 + i 3.971899e+08 ; 1.296624e+08 + i -3.682799e+08 ; 8.244928e+07 + i 4.096184e+08 ; 1.063232e+09 + i 7.287764e+08 ; 8.369432e+08 + i 6.417782e+08 ; -3.825097e+08 + i -1.204746e+07 ; 4.124819e+08 + i 1.938467e+09 ; -3.412353e+07 + i 8.103091e+08 ; -4.008491e+08 + i -8.335639e+08 ; -4.042792e+09 + i -1.692784e+09 ; 3.794672e+08 + i 7.075065e+07 ; -4.145650e+08 + i 1.989079e+08 ; 1.783429e+09 + i 2.590979e+08 ; 2.890198e+08 + i 1.750444e+08 ; -1.229777e+09 + i -1.607106e+08 ; 4.402697e+08 + i 1.964412e+09 ; 
-3.350262e+08 + i 1.630247e+08 ; -8.757356e+07 + i 6.906055e+07 ; 4.657629e+07 + i -1.803111e+08 ; -3.080950e+08 + i 3.016129e+08 ; -2.910262e+08 + i -1.664586e+08 ; 2.061415e+08 + i 1.289999e+07 ; -1.044836e+08 + i -3.009948e+08 ; -1.021393e+08 + i 8.595233e+07 ; 1.131921e+08 + i -1.549022e+08 ; -4.826668e+08 + i -2.319527e+08 ; -3.615734e+07 + i -2.190511e+08 ; 2.177167e+08 + i 1.915045e+08 ; -3.210080e+08 + i 4.952593e+08 ; -9.164658e+07 + i 8.594691e+07 ; 3.177226e+07 + i -1.920136e+08 ; -1.995678e+08 + i 5.812077e+08 ; -2.160286e+08 + i -5.194331e+07 ; 2.539470e+08 + i -8.382911e+07 ; -3.427324e+08 + i 1.608715e+08 ; -7.473430e+07 + i 1.040729e+08 ; 7.017564e+07 + i -1.807667e+08 ; -3.211641e+08 + i 2.942744e+08 ; -1.253255e+08 + i -9.082977e+07 ; 4.185138e+08 + i -3.305160e+06 ; 1.008724e+09 + i 7.140899e+08 ; -2.051508e+08 + i -3.889771e+08 ; 8.529247e+07 + i 4.361003e+08 ; 2.858647e+08 + i 1.906969e+09 ; 9.379430e+08 + i 7.477993e+08 ; -4.231646e+08 + i 5.609998e+06 ; 1.217265e+09 + i 7.009280e+09 ; 2.489008e+08 + i -4.554325e+08 ; -2.328218e+08 + i 4.343592e+08 ; -4.066861e+09 + i -1.736110e+09 ; 3.247269e+08 + i 8.518355e+08 ; -4.239271e+08 + i -8.368779e+08 ; 1.141207e+09 + i 3.823978e+08 ; -2.054982e+07 + i -3.118025e+08 ; 1.365041e+08 + i 3.718142e+08 ; 1.668501e+09 + i 2.336002e+08 ; 5.058346e+08 + i 1.688216e+07 ; -4.424230e+08 + i 2.085336e+08 ; 9.350433e+08 + i 7.099724e+08 ; -1.139633e+07 + i -3.802770e+08 ; 5.394696e+07 + i 3.897179e+08 ; 3.496447e+08 + i 1.928768e+09 ; 3.882531e+08 + i 1.298382e+08 ; -1.244283e+09 + i -1.505388e+08 ; 
-2.960503e+08 + i -1.946211e+08 ; 1.703315e+08 + i -1.172711e+08 ; -1.475315e+07 + i -1.918741e+07 ; -4.479840e+08 + i -1.311864e+07 ; 1.963690e+08 + i 2.560841e+08 ; 3.581859e+07 + i 1.513778e+07 ; 2.443947e+07 + i 2.237337e+08 ; 1.338212e+08 + i -1.300483e+08 ; -7.641181e+07 + i -2.938084e+07 ; 9.166620e+07 + i 1.617785e+08 ; 2.531360e+08 + i 1.002678e+08 ; -3.653539e+07 + i -1.036435e+08 ; -1.954309e+08 + i 1.795447e+07 ; 1.495504e+08 + i -1.892909e+08 ; -2.311060e+07 + i -2.073383e+07 ; -2.022928e+08 + i 7.062876e+07 ; 3.298363e+08 + i 4.497512e+07 ; 9.162793e+07 + i -3.970685e+07 ; 1.481982e+08 + i 2.228583e+08 ; 1.415724e+08 + i -1.959791e+08 ; -7.547231e+07 + i -1.983798e+07 ; 1.619412e+08 + i 1.418210e+08 ; 2.937107e+08 + i 4.092316e+06 ; -6.984787e+07 + i -8.678210e+07 ; 6.564202e+08 + i 7.791742e+08 ; -4.066327e+09 + i -1.735750e+09 ; 4.045725e+08 + i 8.237151e+08 ; 1.128150e+09 + i 1.552667e+08 ; 3.514540e+08 + i 1.958018e+09 ; 3.938000e+08 + i -4.218810e+06 ; 1.636629e+08 + i -5.018083e+08 ; 1.224494e+09 + i 7.009335e+09 ; 2.003444e+08 + i -4.826103e+08 ; -4.213363e+08 + i -4.233765e+08 ; 1.126094e+09 + i 7.407189e+08 ; -9.855126e+07 + i -4.800104e+08 ; 3.535110e+08 + i -6.596554e+07 ; 4.337045e+08 + i 1.924754e+09 ; 1.210485e+09 + i 1.556708e+08 ; 4.337623e+08 + i -2.167154e+08 ; 1.753491e+09 + i 3.117020e+08 ; 4.049121e+08 + i -2.002086e+08 ; -2.380697e+08 + i -4.102360e+08 ; 1.109883e+09 + i 6.696227e+08 ; -1.110569e+08 + i -4.021009e+08 ; -2.545278e+08 + i -3.304472e+08 ; 1.358934e+09 + i 3.651324e+08 ; -1.635878e+08 + i -4.017203e+08 ; 
-1.735041e+08 + i -2.088733e+08 ; -4.391922e+07 + i -3.086195e+07 ; 1.495449e+08 + i -1.735796e+08 ; -2.022070e+08 + i -1.487935e+08 ; -2.052821e+07 + i -7.695232e+07 ; 2.909388e+08 + i 1.729392e+07 ; -5.598699e+07 + i -2.270639e+08 ; -4.862819e+07 + i -3.472625e+07 ; 1.319378e+08 + i -9.985648e+07 ; -1.531547e+08 + i -1.869098e+08 ; 8.207177e+06 + i -7.856991e+07 ; 2.567391e+08 + i 1.240552e+08 ; 1.709676e+08 + i 1.682629e+07 ; -1.779843e+07 + i -2.334295e+07 ; 1.393110e+08 + i -1.989117e+08 ; 1.663301e+08 + i -6.886002e+07 ; 6.795130e+07 + i 3.646944e+06 ; 3.200766e+08 + i 4.336073e+07 ; 2.469342e+08 + i 2.092656e+08 ; -1.708384e+07 + i -2.603199e+07 ; 1.606362e+08 + i -1.277460e+08 ; 3.949509e+08 + i -1.867900e+06 ; -1.217611e+06 + i 2.466622e+07 ; 1.787108e+08 + i 2.551809e+08 ; 1.368736e+08 + i 4.004183e+08 ; 4.271317e+07 + i -3.383384e+08 ; 1.074627e+09 + i 6.554722e+08 ; 1.858732e+08 + i 3.707450e+08 ; 3.700840e+07 + i -3.565229e+08 ; 1.291794e+09 + i 3.956493e+08 ; -1.103291e+08 + i 3.947896e+08 ; 2.880498e+08 + i -3.101168e+08 ; 1.224989e+09 + i 6.984923e+09 ; 1.338660e+08 + i 3.546329e+08 ; 8.472377e+07 + i -4.145727e+08 ; 1.021865e+09 + i 6.858565e+08 ; -3.740305e+08 + i -2.226981e+07 ; 8.446981e+08 + i 5.287637e+08 ; 4.308165e+08 + i 1.899379e+09 ; -3.794129e+08 + i 1.769406e+08 ; 4.025776e+08 + i 6.027357e+07 ; 1.787190e+09 + i 2.755300e+08 ; -3.774741e+08 + i -7.042662e+08 ; 1.155722e+07 + i 7.214142e+08 ; -4.040355e+09 + i -1.749391e+09 ; -1.216551e+09 + i -4.988232e+07 ; 3.594923e+08 + i 1.509310e+08 ; 4.093777e+08 + i 1.942762e+09 ; 
-2.785286e+08 + i 2.606511e+07 ; -3.699513e+07 + i 2.484928e+07 ; -5.060099e+07 + i -4.138702e+07 ; -3.442753e+08 + i 1.828084e+08 ; -1.467482e+08 + i 3.758940e+07 ; 1.348304e+07 + i -7.272167e+07 ; 1.219893e+08 + i -1.299581e+08 ; 1.606809e+07 + i 2.881494e+07 ; -3.570509e+07 + i -4.501161e+07 ; -1.169599e+08 + i -2.965502e+08 ; -8.629885e+07 + i -1.455232e+07 ; 4.780978e+07 + i -5.247882e+07 ; -4.610939e+08 + i 3.899576e+08 ; -2.212981e+07 + i 6.451066e+07 ; -5.023691e+07 + i -4.275312e+07 ; -3.185601e+08 + i 5.148940e+08 ; -9.992864e+07 + i 8.315843e+07 ; 2.435515e+07 + i -8.917691e+07 ; -2.789990e+08 + i 1.888286e+07 ; 9.579659e+06 + i 4.860248e+07 ; -3.527745e+07 + i -4.574614e+07 ; -3.436825e+08 + i 1.737342e+08 ; -6.602157e+07 + i 5.283306e+07 ; 6.118378e+07 + i -8.016268e+07 ; 3.141781e+08 + i 1.877357e+09 ; -8.197477e+08 + i -4.507413e+08 ; 3.667048e+08 + i 4.020675e+07 ; 1.058367e+09 + i 7.102012e+08 ; 3.389451e+08 + i 6.313423e+08 ; -5.173703e+07 + i -4.698084e+08 ; -4.047144e+09 + i -1.739920e+09 ; -4.294869e+08 + i -1.036236e+09 ; 2.934426e+08 + i 8.513497e+08 ; 1.173220e+09 + i 7.065436e+09 ; -2.522172e+08 + i 2.530541e+08 ; 2.605752e+08 + i -4.397876e+08 ; 1.608168e+09 + i 2.455835e+08 ; -4.420853e+08 + i -3.614489e+07 ; 4.042089e+08 + i -1.604945e+08 ; 1.277634e+09 + i 2.931223e+08 ; 6.733297e+07 + i 2.764490e+08 ; -1.182398e+08 + i -4.106779e+08 ; 3.163036e+08 + i 1.930654e+09 ; -3.535619e+08 + i -8.066474e+07 ; 1.162256e+09 + i 2.881161e+08 ; 1.035905e+09 + i 7.086901e+08 ; 4.068756e+07 + i 4.078668e+08 ; -4.671821e+07 + i -4.056880e+08 ; 
4.794098e+07 + i -9.590068e+07 ; -3.743808e+07 + i -1.216688e+08 ; -2.539951e+07 + i 1.606654e+07 ; 4.621943e+06 + i -1.337381e+08 ; 1.653334e+08 + i -1.378205e+08 ; -3.122162e+07 + i -1.894079e+07 ; -9.399352e+07 + i -4.550600e+06 ; -4.977672e+07 + i -1.155524e+08 ; -4.195532e+07 + i 1.762444e+07 ; -7.383607e+07 + i 5.270222e+07 ; 1.291010e+08 + i -1.132567e+08 ; -6.137589e+07 + i -3.278523e+07 ; -6.865174e+06 + i -1.154508e+08 ; -5.260427e+07 + i -1.456769e+08 ; -2.177553e+07 + i 1.684418e+07 ; -5.018138e+07 + i -1.135091e+08 ; 1.403086e+08 + i -2.009913e+08 ; -1.708825e+07 + i -2.413411e+07 ; -1.054252e+08 + i -5.913375e+06 ; -6.694484e+07 + i -1.365937e+08 ; -3.856863e+07 + i 2.151126e+07 ; -9.300129e+07 + i 3.587614e+07 ; 1.417582e+08 + i -1.817255e+08 ; -6.592946e+07 + i -3.096076e+07 ; -8.094653e+08 + i -4.669869e+08 ; 3.822898e+08 + i 1.895987e+09 ; 3.787420e+08 + i 4.179415e+07 ; -3.893745e+08 + i -1.028877e+09 ; -4.024259e+09 + i -1.718148e+09 ; 3.104267e+08 + i 8.512957e+08 ; 2.628329e+08 + i 6.254123e+08 ; 1.100179e+09 + i 7.694620e+08 ; -4.590668e+07 + i -4.709147e+08 ; -2.713902e+08 + i 2.280421e+08 ; 1.173070e+09 + i 7.066193e+09 ; 2.639443e+08 + i -4.510079e+08 ; -4.316117e+08 + i -5.777604e+07 ; 1.724295e+09 + i 2.910931e+08 ; 4.190020e+08 + i -1.539361e+08 ; -3.496638e+08 + i -9.200014e+07 ; 4.150008e+08 + i 1.995030e+09 ; 1.179764e+09 + i 2.918866e+08 ; 4.477355e+07 + i 2.593591e+08 ; 1.356811e+09 + i 3.501091e+08 ; -1.149366e+08 + i -4.082205e+08 ; 2.162057e+07 + i 3.837704e+08 ; 1.103359e+09 + i 7.469096e+08 ; -4.227590e+07 + i -4.121941e+08 ; 
