-6.382300e+09 + i 1.650403e+10 ; -2.630832e+07 + i 1.714301e+08 ; -2.604866e+07 + i 1.715287e+08 ; -2.365520e+09 + i -3.486569e+09 ; -1.544364e+08 + i -4.270131e+08 ; -1.546900e+08 + i -4.268534e+08 ; 8.785581e+08 + i 1.790970e+09 ; 5.951590e+07 + i 2.391321e+08 ; 5.691945e+07 + i 6.535228e+07 ; 4.233317e+07 + i 1.433923e+09 ; -6.571631e+08 + i -6.950294e+08 ; -9.929940e+07 + i -7.758744e+06 ; 8.788616e+08 + i 1.790809e+09 ; 5.640473e+07 + i 6.500957e+07 ; 5.922252e+07 + i 2.390853e+08 ; 4.304426e+07 + i 1.434068e+09 ; -9.814670e+07 + i -8.458165e+06 ; -6.571442e+08 + i -6.950346e+08 ; 5.690281e+08 + i -2.701982e+08 ; 8.861873e+07 + i 7.970301e+07 ; 8.907022e+07 + i 7.942743e+07 ; 5.735656e+08 + i -1.743274e+08 ; -2.107706e+08 + i -4.212627e+07 ; -2.107604e+08 + i -4.241206e+07 ; -1.263655e+08 + i -4.672427e+08 ; -7.932959e+06 + i 1.914601e+07 ; -7.900455e+06 + i 1.918149e+07 ; -1.481923e+07 + i -2.823446e+08 ; 5.132240e+06 + i 4.747541e+06 ; 5.149768e+06 + i 4.741607e+06 ; -1.717705e+08 + i 1.932666e+07 ; -3.046560e+07 + i 1.247666e+07 ; 2.620855e+06 + i 1.616784e+07 ; -1.300421e+08 + i -1.705066e+07 ; -4.357349e+05 + i 2.891459e+06 ; 4.678523e+06 + i 2.335251e+06 ; -1.715542e+08 + i 1.924807e+07 ; 2.695093e+06 + i 1.602251e+07 ; -3.044711e+07 + i 1.249552e+07 ; -1.299162e+08 + i -1.703593e+07 ; 4.654648e+06 + i 2.316160e+06 ; -4.346223e+05 + i 2.894356e+06 ; 1.393361e+07 + i 1.100543e+08 ; -1.304242e+07 + i 1.095100e+07 ; -1.309675e+07 + i 1.099332e+07 ; -1.144200e+07 + i 8.399303e+07 ; 4.664577e+04 + i 8.847711e+05 ; 5.135746e+04 + i 8.953018e+05 ; 
-2.407749e+08 + i -1.043060e+08 ; -2.441095e+08 + i -1.187747e+08 ; 6.008292e+08 + i -1.698535e+08 ; -8.975424e+07 + i 3.729488e+06 ; -5.453104e+08 + i -1.058012e+09 ; 3.629838e+07 + i 1.447110e+09 ; -5.473874e+08 + i -1.038256e+09 ; -9.558952e+07 + i -1.864888e+07 ; 3.825543e+07 + i 1.470344e+09 ; -1.627190e+08 + i -4.251347e+08 ; -1.675693e+08 + i -4.608475e+08 ; -2.392958e+09 + i -3.452896e+09 ; 4.215717e+07 + i 1.125399e+08 ; 3.579141e+07 + i 1.173146e+08 ; 5.816223e+08 + i -2.723924e+08 ; 5.723103e+07 + i 8.421431e+07 ; 1.129177e+08 + i 2.079574e+08 ; 8.841057e+08 + i 1.775505e+09 ; 1.215711e+08 + i 2.074236e+08 ; 5.045105e+07 + i 9.277848e+07 ; 8.883083e+08 + i 1.800034e+09 ; -6.753468e+07 + i 1.910236e+08 ; -7.991823e+07 + i 1.958654e+08 ; -6.394900e+09 + i 1.650226e+10 ; 9.806080e+07 + i 1.039120e+08 ; -4.850995e+07 + i -5.612352e+07 ; 1.422466e+08 + i 7.717231e+07 ; 5.820205e+07 + i 7.383736e+07 ; -6.208084e+06 + i 7.905879e+06 ; 2.034063e+07 + i -2.256418e+07 ; 1.933705e+08 + i 2.691618e+08 ; -3.186994e+06 + i -1.865167e+07 ; 9.906950e+07 + i 2.868534e+08 ; 7.776433e+07 + i 1.884570e+08 ; -2.660291e+06 + i 8.341595e+06 ; 6.522589e+07 + i -1.392729e+07 ; -3.521652e+07 + i -6.888504e+07 ; 8.969537e+06 + i 5.268166e+07 ; 1.701432e+08 + i 7.957812e+07 ; -2.251220e+07 + i -6.106771e+07 ; 1.185930e+07 + i 8.309128e+06 ; 1.947655e+07 + i -2.206193e+07 ; 1.377775e+06 + i -1.351855e+08 ; -1.779145e+06 + i 3.939662e+07 ; 1.973611e+08 + i 3.324215e+08 ; 1.846087e+07 + i -1.017289e+08 ; 9.580469e+06 + i 7.171485e+06 ; 6.063923e+07 + i -1.976090e+07 ; 
-1.226269e+08 + i -4.651642e+08 ; 1.696231e+07 + i -2.683445e+07 ; 1.694301e+07 + i -2.683932e+07 ; -3.923487e+08 + i -7.248341e+08 ; 5.941513e+07 + i 1.082546e+08 ; 5.952442e+07 + i 1.082532e+08 ; -1.707275e+08 + i 1.871406e+07 ; 2.612833e+07 + i -2.821935e+07 ; -2.257434e+06 + i -1.596798e+07 ; -2.043922e+08 + i 7.198719e+07 ; 2.034687e+08 + i 1.819496e+08 ; 4.256818e+07 + i 2.357911e+07 ; -1.706435e+08 + i 1.877546e+07 ; -2.110136e+06 + i -1.585851e+07 ; 2.621602e+07 + i -2.819279e+07 ; -2.042390e+08 + i 7.217552e+07 ; 4.234863e+07 + i 2.376507e+07 ; 2.034343e+08 + i 1.819665e+08 ; 1.382106e+07 + i 1.099773e+08 ; 7.211890e+06 + i -1.360303e+07 ; 7.056886e+06 + i -1.347522e+07 ; 5.357696e+07 + i 1.387525e+08 ; 1.073304e+08 + i 4.986527e+07 ; 1.072594e+08 + i 4.995832e+07 ; -6.398589e+09 + i 1.644320e+10 ; -3.385918e+07 + i 1.619378e+08 ; -3.361038e+07 + i 1.620460e+08 ; -2.365881e+09 + i -3.487358e+09 ; -1.566701e+08 + i -4.349751e+08 ; -1.569255e+08 + i -4.347916e+08 ; 8.558154e+08 + i 1.783176e+09 ; 4.947837e+07 + i 2.305775e+08 ; 5.233012e+07 + i 5.544649e+07 ; 4.250375e+07 + i 1.435105e+09 ; -6.596944e+08 + i -7.013451e+08 ; -1.047884e+08 + i -6.571650e+06 ; 8.561369e+08 + i 1.782976e+09 ; 5.184548e+07 + i 5.510897e+07 ; 4.918565e+07 + i 2.305128e+08 ; 4.319999e+07 + i 1.435271e+09 ; -1.035771e+08 + i -7.250383e+06 ; -6.596813e+08 + i -7.013539e+08 ; 5.620989e+08 + i -2.562554e+08 ; 8.166346e+07 + i 6.781107e+07 ; 8.216457e+07 + i 6.754025e+07 ; 5.741086e+08 + i -1.741416e+08 ; -2.167892e+08 + i -4.165843e+07 ; -2.167623e+08 + i -4.196063e+07 ; 
-1.781248e+07 + i -7.498994e+07 ; 6.398016e+07 + i -1.923515e+07 ; 1.021816e+07 + i 2.257934e+06 ; -4.307033e+07 + i -8.708647e+07 ; 1.974009e+08 + i 3.337071e+08 ; 1.061414e+07 + i 3.124809e+07 ; 1.031416e+08 + i 1.341516e+08 ; 6.479074e+07 + i -1.245347e+07 ; 1.469008e+05 + i 8.639531e+06 ; 2.108266e+08 + i 1.730256e+08 ; 9.193013e+07 + i 2.926874e+08 ; -1.291088e+07 + i -8.463352e+06 ; -3.018450e+07 + i -3.780543e+07 ; 2.102631e+07 + i -2.352563e+07 ; 1.187210e+07 + i 2.508676e+06 ; -4.074266e+07 + i -3.921401e+07 ; 1.719712e+08 + i 7.913099e+07 ; 2.241733e+07 + i 3.955052e+07 ; 6.464906e+07 + i 4.404048e+07 ; 1.962804e+07 + i -2.187554e+07 ; -2.738067e+06 + i 8.867187e+06 ; 1.022615e+08 + i 5.741789e+07 ; 1.416588e+08 + i 7.823236e+07 ; -5.554605e+07 + i -2.874270e+07 ; -2.141039e+07 + i 1.615387e+08 ; -6.395468e+09 + i 1.650248e+10 ; -2.458184e+07 + i 1.700669e+08 ; 6.103715e+07 + i 2.321806e+08 ; 8.838308e+08 + i 1.805790e+09 ; 5.586407e+07 + i 6.577933e+07 ; -1.393445e+08 + i -3.961300e+08 ; -2.374442e+09 + i -3.462276e+09 ; -1.555855e+08 + i -4.254575e+08 ; -6.555646e+08 + i -6.838605e+08 ; 5.947336e+07 + i 1.450539e+09 ; -9.997169e+07 + i -8.314598e+06 ; 5.764969e+07 + i 5.898732e+07 ; 8.827175e+08 + i 1.781087e+09 ; 6.062922e+07 + i 2.373567e+08 ; 9.088060e+07 + i 7.713252e+07 ; 5.804753e+08 + i -2.729557e+08 ; 8.832039e+07 + i 7.988894e+07 ; -8.753100e+07 + i 9.015433e+06 ; 5.699155e+07 + i 1.430450e+09 ; -6.588734e+08 + i -6.958055e+08 ; -2.071405e+08 + i -3.154108e+07 ; 5.877819e+08 + i -1.829890e+08 ; -2.121154e+08 + i -4.321509e+07 ; 
-1.781791e+07 + i -7.504731e+07 ; 1.022919e+07 + i 2.264843e+06 ; 6.404330e+07 + i -1.941933e+07 ; -4.301684e+07 + i -8.711819e+07 ; 1.062934e+07 + i 3.127152e+07 ; 1.975832e+08 + i 3.336372e+08 ; -3.026396e+07 + i -3.779329e+07 ; 1.188422e+07 + i 2.506163e+06 ; 2.108984e+07 + i -2.368010e+07 ; -4.081628e+07 + i -3.913652e+07 ; 2.237849e+07 + i 3.956619e+07 ; 1.723010e+08 + i 7.940367e+07 ; 1.030301e+08 + i 1.341628e+08 ; 1.456511e+05 + i 8.684833e+06 ; 6.492079e+07 + i -1.238268e+07 ; 2.107576e+08 + i 1.730478e+08 ; -1.299494e+07 + i -8.409099e+06 ; 9.186495e+07 + i 2.928798e+08 ; 6.477570e+07 + i 4.379475e+07 ; -2.683236e+06 + i 8.864673e+06 ; 1.959575e+07 + i -2.186370e+07 ; 1.023269e+08 + i 5.730838e+07 ; -5.553333e+07 + i -2.877688e+07 ; 1.418151e+08 + i 7.828777e+07 ; -2.134531e+07 + i 1.616845e+08 ; -2.453994e+07 + i 1.700912e+08 ; -6.397111e+09 + i 1.650268e+10 ; 6.088409e+07 + i 2.320950e+08 ; 5.592620e+07 + i 6.581147e+07 ; 8.848154e+08 + i 1.806090e+09 ; 5.798438e+07 + i 5.904835e+07 ; 6.008790e+07 + i 2.374801e+08 ; 8.785783e+08 + i 1.782449e+09 ; 9.143253e+07 + i 7.687110e+07 ; 8.821592e+07 + i 8.006294e+07 ; 5.824395e+08 + i -2.711721e+08 ; -1.390426e+08 + i -3.960699e+08 ; -1.558812e+08 + i -4.254210e+08 ; -2.376491e+09 + i -3.461030e+09 ; -6.553694e+08 + i -6.839060e+08 ; -1.002013e+08 + i -8.093037e+06 ; 5.932591e+07 + i 1.451357e+09 ; -8.811576e+07 + i 9.702080e+06 ; -6.589636e+08 + i -6.959427e+08 ; 5.619649e+07 + i 1.429329e+09 ; -2.074981e+08 + i -3.128836e+07 ; -2.121967e+08 + i -4.311292e+07 ; 5.877512e+08 + i -1.822946e+08 ; 
-1.365486e+07 + i -2.800643e+08 ; -5.547445e+06 + i -5.422816e+06 ; -5.563566e+06 + i -5.407467e+06 ; -1.235282e+08 + i -4.677963e+08 ; 9.399056e+06 + i -2.029336e+07 ; 9.415082e+06 + i -2.029915e+07 ; -1.294413e+08 + i -1.714078e+07 ; 5.247726e+05 + i -3.012561e+06 ; -5.107151e+06 + i -2.686786e+06 ; -1.717536e+08 + i 1.748248e+07 ; 3.260927e+07 + i -1.201962e+07 ; -2.073480e+06 + i -1.731966e+07 ; -1.293342e+08 + i -1.710136e+07 ; -5.075451e+06 + i -2.676792e+06 ; 5.301674e+05 + i -3.019578e+06 ; -1.715571e+08 + i 1.758447e+07 ; -2.100334e+06 + i -1.721050e+07 ; 3.257404e+07 + i -1.202567e+07 ; -1.168485e+07 + i 8.406392e+07 ; -3.943071e+04 + i -9.343211e+05 ; -4.605103e+04 + i -9.128524e+05 ; 1.255293e+07 + i 1.094048e+08 ; 1.421603e+07 + i -1.112358e+07 ; 1.416122e+07 + i -1.111922e+07 ; -2.352446e+09 + i -3.484945e+09 ; 1.435026e+08 + i 4.497432e+08 ; 1.440365e+08 + i 4.496159e+08 ; -6.391392e+09 + i 1.650028e+10 ; 2.974080e+07 + i -1.770238e+08 ; 2.958886e+07 + i -1.771562e+08 ; 4.595449e+07 + i 1.432652e+09 ; 6.611122e+08 + i 7.477128e+08 ; 1.024949e+08 + i 1.200119e+07 ; 8.744925e+08 + i 1.791427e+09 ; -5.263731e+07 + i -2.507708e+08 ; -5.785137e+07 + i -6.899891e+07 ; 4.617313e+07 + i 1.432655e+09 ; 1.016012e+08 + i 1.257722e+07 ; 6.610612e+08 + i 7.477243e+08 ; 8.754611e+08 + i 1.791187e+09 ; -5.742652e+07 + i -6.877186e+07 ; -5.250908e+07 + i -2.507520e+08 ; 5.744343e+08 + i -1.765663e+08 ; 2.184298e+08 + i 5.133552e+07 ; 2.183143e+08 + i 5.148226e+07 ; 5.676506e+08 + i -2.678795e+08 ; -8.951205e+07 + i -8.610933e+07 ; -8.957796e+07 + i -8.598436e+07 ; 
2.649570e+07 + i -1.805707e+07 ; 4.601476e+06 + i -1.667047e+06 ; 2.733180e+06 + i 1.049049e+06 ; 2.795047e+07 + i -2.959336e+07 ; 5.858786e+07 + i -2.014039e+07 ; 7.242719e+06 + i 7.844970e+06 ; 1.822143e+07 + i 1.254395e+08 ; 5.317716e+06 + i -1.425684e+06 ; 1.513725e+06 + i 1.215756e+06 ; 6.194513e+07 + i 1.939677e+08 ; 6.581633e+07 + i -1.223105e+07 ; 4.114849e+06 + i 5.895199e+06 ; 1.168957e+07 + i -2.949489e+07 ; 3.574802e+06 + i 3.158700e+06 ; 3.499656e+06 + i 1.209966e+06 ; 7.796461e+06 + i -4.032321e+07 ; 1.893481e+07 + i -2.177644e+07 ; 1.049849e+07 + i 9.599082e+06 ; 4.115652e+07 + i 6.901333e+07 ; 4.123272e+06 + i 2.559780e+06 ; 4.578755e+05 + i 9.580073e+05 ; 7.060876e+07 + i 9.416830e+07 ; 2.049581e+07 + i -2.209516e+07 ; -2.599945e+06 + i 2.147854e+06 ; -1.387093e+07 + i -2.896879e+08 ; 8.678081e+08 + i 1.805404e+09 ; 5.663484e+07 + i 7.010362e+07 ; 6.572133e+07 + i -1.931266e+08 ; -6.401598e+09 + i 1.653131e+10 ; -3.312476e+07 + i 1.784122e+08 ; 6.386073e+08 + i 9.662520e+08 ; 6.161247e+07 + i 1.451945e+09 ; -1.075013e+08 + i -1.099770e+07 ; 9.596503e+07 + i 5.457003e+08 ; -2.369546e+09 + i -3.429640e+09 ; -1.485882e+08 + i -4.495519e+08 ; -8.077934e+07 + i -1.116291e+08 ; 5.823072e+08 + i -2.680530e+08 ; 9.012390e+07 + i 8.539726e+07 ; -4.875895e+07 + i -8.552621e+07 ; 8.938086e+08 + i 1.810390e+09 ; 5.320855e+07 + i 2.513923e+08 ; 2.458476e+08 + i 1.077012e+08 ; 5.869081e+08 + i -1.832286e+08 ; -2.198958e+08 + i -5.153735e+07 ; 1.163226e+08 + i 4.003247e+07 ; 6.552418e+07 + i 1.455023e+09 ; -6.626393e+08 + i -7.464974e+08 ; 
2.649306e+07 + i -1.807980e+07 ; 2.735127e+06 + i 1.059670e+06 ; 4.656783e+06 + i -1.523185e+06 ; 2.798823e+07 + i -2.951515e+07 ; 7.249984e+06 + i 7.859258e+06 ; 5.876060e+07 + i -1.997075e+07 ; 1.159486e+07 + i -2.956423e+07 ; 3.500032e+06 + i 1.212792e+06 ; 3.368284e+06 + i 3.212254e+06 ; 7.611704e+06 + i -4.032532e+07 ; 1.050259e+07 + i 9.614141e+06 ; 1.865450e+07 + i -2.173405e+07 ; 1.817048e+07 + i 1.253776e+08 ; 1.506824e+06 + i 1.222368e+06 ; 5.358938e+06 + i -1.391523e+06 ; 6.189061e+07 + i 1.939666e+08 ; 4.078747e+06 + i 5.914552e+06 ; 6.580729e+07 + i -1.213330e+07 ; 4.138268e+07 + i 6.896690e+07 ; 4.634508e+05 + i 9.556775e+05 ; 4.038443e+06 + i 2.680851e+06 ; 7.077271e+07 + i 9.422106e+07 ; -2.596776e+06 + i 2.145596e+06 ; 2.027781e+07 + i -2.205816e+07 ; -1.376393e+07 + i -2.897067e+08 ; 5.672516e+07 + i 7.013868e+07 ; 8.695111e+08 + i 1.805790e+09 ; 6.572790e+07 + i -1.930477e+08 ; -3.307587e+07 + i 1.784986e+08 ; -6.402194e+09 + i 1.653198e+10 ; -8.115113e+07 + i -1.116280e+08 ; 9.000585e+07 + i 8.554554e+07 ; 5.843321e+08 + i -2.655557e+08 ; -4.924151e+07 + i -8.560547e+07 ; 5.264914e+07 + i 2.514811e+08 ; 8.880630e+08 + i 1.812040e+09 ; 6.383979e+08 + i 9.661068e+08 ; -1.077010e+08 + i -1.068981e+07 ; 6.089324e+07 + i 1.452455e+09 ; 9.571224e+07 + i 5.456525e+08 ; -1.489911e+08 + i -4.496072e+08 ; -2.371838e+09 + i -3.428578e+09 ; 2.464548e+08 + i 1.075276e+08 ; -2.198259e+08 + i -5.132090e+07 ; 5.889550e+08 + i -1.827713e+08 ; 1.167301e+08 + i 3.982437e+07 ; -6.627687e+08 + i -7.467252e+08 ; 6.468993e+07 + i 1.453251e+09 ; 
-1.738133e+08 + i 1.853792e+07 ; -3.754148e+07 + i 2.654195e+07 ; -1.608165e+06 + i -1.681309e+07 ; -2.013941e+08 + i 7.142220e+07 ; -2.008618e+08 + i -2.534559e+08 ; 4.413202e+07 + i 2.626504e+07 ; -1.243733e+08 + i -4.666915e+08 ; -2.162971e+07 + i 2.448680e+07 ; 1.842730e+07 + i -2.719763e+07 ; -3.901762e+08 + i -7.243615e+08 ; -4.195482e+07 + i -1.450144e+08 ; 5.824212e+07 + i 1.154331e+08 ; 1.244947e+07 + i 1.109998e+08 ; -1.177961e+07 + i 1.445288e+07 ; 7.792666e+06 + i -1.376870e+07 ; 5.328148e+07 + i 1.381813e+08 ; -1.147965e+08 + i -8.012330e+07 ; 1.099692e+08 + i 5.595238e+07 ; -1.711298e+08 + i 1.931088e+07 ; -5.620676e+05 + i 1.702828e+07 ; 2.828927e+07 + i -2.843802e+07 ; -2.032816e+08 + i 7.220784e+07 ; -4.371476e+07 + i -3.923035e+07 ; 2.058086e+08 + i 1.967024e+08 ; 8.416338e+08 + i 1.781253e+09 ; -4.919714e+07 + i -2.407397e+08 ; 5.277109e+07 + i 5.968994e+07 ; 4.034239e+07 + i 1.441699e+09 ; 6.613082e+08 + i 9.350735e+08 ; -1.120035e+08 + i -8.938969e+06 ; -6.413641e+09 + i 1.643994e+10 ; 4.061055e+07 + i -1.717675e+08 ; -3.955158e+07 + i 1.672036e+08 ; -2.370860e+09 + i -3.482239e+09 ; 1.355788e+08 + i 4.996090e+08 ; -1.497303e+08 + i -4.574657e+08 ; 5.629668e+08 + i -2.504829e+08 ; -7.752524e+07 + i -8.936466e+07 ; 8.420363e+07 + i 7.202079e+07 ; 5.729498e+08 + i -1.727891e+08 ; 2.424111e+08 + i 8.357972e+07 ; -2.242800e+08 + i -5.081280e+07 ; 8.588013e+08 + i 1.787638e+09 ; -4.832616e+07 + i -6.661102e+07 ; 4.407347e+07 + i 2.404335e+08 ; 4.552698e+07 + i 1.435443e+09 ; 1.148704e+08 + i 2.230634e+07 ; -6.643637e+08 + i -7.525361e+08 ; 
-1.003984e+08 + i -1.404861e+08 ; 6.914133e+07 + i -1.335134e+07 ; 9.065184e+04 + i -8.928968e+06 ; -2.138116e+08 + i -1.830225e+08 ; 9.695096e+07 + i 2.909356e+08 ; 1.288988e+07 + i 9.354329e+06 ; 1.295167e+07 + i 8.044842e+07 ; 6.028312e+07 + i -1.928405e+07 ; -1.054387e+07 + i -2.611768e+06 ; 3.219665e+07 + i 9.936281e+07 ; 1.929585e+08 + i 3.338600e+08 ; -1.034534e+07 + i -3.278974e+07 ; -6.429687e+07 + i -4.775540e+07 ; 2.150846e+07 + i -2.351006e+07 ; 3.212883e+06 + i -9.138490e+06 ; -1.044338e+08 + i -6.193057e+07 ; 1.434261e+08 + i 7.668414e+07 ; 5.715188e+07 + i 3.196527e+07 ; 2.950176e+07 + i 4.189649e+07 ; 1.918837e+07 + i -2.230928e+07 ; -1.219815e+07 + i -3.034729e+06 ; 3.809004e+07 + i 4.645555e+07 ; 1.699336e+08 + i 8.019244e+07 ; -2.180484e+07 + i -4.197185e+07 ; 1.628598e+08 + i 3.824330e+08 ; -2.362170e+09 + i -3.460747e+09 ; 1.451779e+08 + i 4.499402e+08 ; 6.681343e+08 + i 7.368222e+08 ; 5.937878e+07 + i 1.455682e+09 ; 1.038499e+08 + i 1.237259e+07 ; 9.739215e+06 + i -1.670914e+08 ; -6.405337e+09 + i 1.649899e+10 ; 2.866731e+07 + i -1.763877e+08 ; -9.070754e+07 + i -2.089533e+08 ; 8.840845e+08 + i 1.803513e+09 ; -5.744948e+07 + i -6.952158e+07 ; 8.742807e+07 + i -9.936284e+06 ; 6.188273e+07 + i 1.427725e+09 ; 6.635394e+08 + i 7.489393e+08 ; 2.126571e+08 + i 3.621256e+07 ; 5.900862e+08 + i -1.846376e+08 ; 2.209381e+08 + i 5.132244e+07 ; -5.767633e+07 + i -5.712667e+07 ; 8.789838e+08 + i 1.781779e+09 ; -5.400310e+07 + i -2.498844e+08 ; -8.827220e+07 + i -7.845635e+07 ; 5.771941e+08 + i -2.705499e+08 ; -8.929099e+07 + i -8.659309e+07 ; 
-3.012543e+07 + i -4.029509e+07 ; -1.322120e+07 + i -5.576480e+06 ; 2.151024e+07 + i -2.385707e+07 ; -4.065843e+07 + i -4.155740e+07 ; -1.788070e+07 + i -5.083906e+07 ; 1.722118e+08 + i 7.972360e+07 ; -1.560880e+07 + i -7.847750e+07 ; -1.057507e+07 + i -4.530801e+06 ; 6.391123e+07 + i -1.950778e+07 ; -4.092065e+07 + i -9.166297e+07 ; -5.769852e+06 + i -3.856960e+07 ; 1.968507e+08 + i 3.335802e+08 ; 6.573131e+07 + i 4.769880e+07 ; 4.370605e+06 + i -9.205625e+06 ; 1.972007e+07 + i -2.202971e+07 ; 1.021754e+08 + i 6.432885e+07 ; 5.872269e+07 + i 4.551545e+07 ; 1.422584e+08 + i 7.840406e+07 ; 1.020144e+08 + i 1.435161e+08 ; -6.607421e+03 + i -8.912947e+06 ; 6.500389e+07 + i -1.246048e+07 ; 2.118427e+08 + i 1.880113e+08 ; 1.161287e+07 + i 1.460447e+07 ; 9.235097e+07 + i 2.929345e+08 ; 6.088586e+07 + i 6.580462e+07 ; -2.306403e+07 + i -2.865706e+08 ; 8.663113e+08 + i 1.782283e+09 ; 9.499175e+07 + i 8.575202e+07 ; -8.935537e+07 + i -1.113628e+08 ; 5.826980e+08 + i -2.662929e+08 ; -2.803186e+07 + i 1.669006e+08 ; 5.849612e+07 + i -1.919607e+08 ; -6.405506e+09 + i 1.650064e+10 ; 5.467464e+07 + i 2.432309e+08 ; -5.598540e+07 + i -8.572813e+07 ; 8.843879e+08 + i 1.810008e+09 ; -1.048988e+08 + i 1.237606e+07 ; 6.341365e+08 + i 9.384699e+08 ; 5.867621e+07 + i 1.429238e+09 ; -2.214660e+08 + i -3.842618e+07 ; 2.473935e+08 + i 8.632080e+07 ; 5.880651e+08 + i -1.832321e+08 ; -1.270342e+08 + i -4.180026e+08 ; 9.469707e+07 + i 5.261951e+08 ; -2.373606e+09 + i -3.459320e+09 ; -6.512837e+08 + i -7.346309e+08 ; 1.215036e+08 + i 2.225111e+07 ; 6.073252e+07 + i 1.450252e+09 ; 
-1.307028e+08 + i -1.757879e+07 ; -3.727021e+05 + i 8.427253e+06 ; -5.232310e+06 + i -2.979936e+06 ; -1.694519e+08 + i 1.917033e+07 ; -3.721119e+07 + i 1.433528e+07 ; -1.451798e+06 + i -1.815278e+07 ; -1.391422e+07 + i -2.813212e+08 ; -3.943042e+06 + i 9.509055e+06 ; -5.614737e+06 + i -5.715978e+06 ; -1.215033e+08 + i -4.662255e+08 ; -2.911973e+07 + i 2.904355e+07 ; 1.043304e+07 + i -2.062539e+07 ; -1.280784e+07 + i 8.481077e+07 ; 1.059548e+06 + i 2.896063e+06 ; -5.830329e+04 + i -9.222678e+05 ; 1.241846e+07 + i 1.101280e+08 ; -1.702148e+07 + i 1.194251e+07 ; 1.490943e+07 + i -1.110164e+07 ; -1.294794e+08 + i -1.675430e+07 ; 2.119573e+06 + i 7.300262e+06 ; 6.291530e+05 + i -3.106614e+06 ; -1.703034e+08 + i 1.818837e+07 ; -5.598205e+06 + i 2.506784e+07 ; 3.406296e+07 + i -1.151188e+07 ; 1.617014e+07 + i 1.448510e+09 ; -5.846800e+08 + i -1.007832e+09 ; 1.084641e+08 + i 1.536293e+07 ; 8.776205e+08 + i 1.789736e+09 ; 1.384809e+08 + i 1.835337e+08 ; -5.775903e+07 + i -7.404997e+07 ; -2.376218e+09 + i -3.480012e+09 ; -1.998709e+08 + i -4.316229e+08 ; 1.364217e+08 + i 4.710355e+08 ; -6.388500e+09 + i 1.650158e+10 ; -7.694375e+07 + i 1.981311e+08 ; 3.608101e+07 + i -1.831630e+08 ; 5.784369e+08 + i -1.689706e+08 ; -2.338638e+08 + i -9.582652e+07 ; 2.244139e+08 + i 6.024164e+07 ; 5.650416e+08 + i -2.652820e+08 ; 6.971994e+07 + i 1.048479e+08 ; -9.020645e+07 + i -9.184617e+07 ; 5.161981e+07 + i 1.436454e+09 ; -1.016063e+08 + i -2.236230e+07 ; 6.621027e+08 + i 7.948759e+08 ; 8.776015e+08 + i 1.791059e+09 ; 4.499105e+07 + i 7.951465e+07 ; -4.719029e+07 + i -2.615211e+08 ; 
-9.198778e+06 + i -1.338859e+08 ; 1.336626e+06 + i -1.740592e+06 ; -1.475923e+06 + i -1.284353e+06 ; -5.127352e+07 + i -2.112446e+08 ; 5.953004e+07 + i -1.122344e+07 ; -4.023520e+06 + i -6.203826e+06 ; -1.921047e+07 + i 1.436003e+07 ; 6.732259e+06 + i -1.286295e+05 ; -2.729479e+06 + i -1.166739e+06 ; -1.861136e+07 + i 1.966835e+07 ; 6.213547e+07 + i -1.882730e+07 ; -7.202069e+06 + i -8.296041e+06 ; -3.816790e+07 + i -7.488826e+07 ; 2.339741e+06 + i 3.917312e+06 ; -4.166906e+05 + i -1.032908e+06 ; -6.710674e+07 + i -1.038903e+08 ; 1.874712e+07 + i -2.007139e+07 ; 2.870488e+06 + i -2.178186e+06 ; -1.060405e+07 + i 2.530744e+07 ; 5.185990e+06 + i 2.582577e+06 ; -3.550258e+06 + i -1.372252e+06 ; -7.486171e+06 + i 3.354709e+07 ; 2.070572e+07 + i -2.288497e+07 ; -1.044129e+07 + i -1.027635e+07 ; -5.785835e+08 + i -1.039248e+09 ; 3.076374e+07 + i 1.467953e+09 ; 1.108048e+08 + i 1.508533e+07 ; -1.945194e+08 + i -4.537718e+08 ; -2.378981e+09 + i -3.426614e+09 ; 1.388968e+08 + i 4.704650e+08 ; 1.341115e+08 + i 1.855071e+08 ; 8.886266e+08 + i 1.801386e+09 ; -5.783392e+07 + i -7.351891e+07 ; -8.118004e+07 + i 1.945699e+08 ; -6.393851e+09 + i 1.653265e+10 ; 3.670444e+07 + i -1.836179e+08 ; -2.386886e+08 + i -1.171627e+08 ; 5.939140e+08 + i -1.779758e+08 ; 2.269515e+08 + i 6.022626e+07 ; -1.032240e+08 + i -3.522665e+07 ; 7.399961e+07 + i 1.455707e+09 ; 6.649576e+08 + i 7.943392e+08 ; 6.299303e+07 + i 1.045918e+08 ; 5.753188e+08 + i -2.696906e+08 ; -9.026349e+07 + i -9.117356e+07 ; 3.975543e+07 + i 7.855023e+07 ; 8.896400e+08 + i 1.806771e+09 ; -4.672473e+07 + i -2.623099e+08 ; 
