-6.224204e+09 + i 3.316988e+10 ; -6.617204e+08 + i 6.482965e+08 ; -6.657087e+08 + i 6.496186e+08 ; -9.914213e+09 + i -1.158085e+10 ; -1.829075e+08 + i -2.150088e+09 ; -1.850701e+08 + i -2.153797e+09 ; 3.182642e+09 + i 4.656134e+09 ; -4.181861e+07 + i 1.018104e+09 ; -7.997937e+07 + i 7.342964e+08 ; -1.586090e+09 + i 5.334990e+09 ; -3.347094e+09 + i -2.307534e+09 ; -7.000257e+08 + i -3.848546e+08 ; 3.180877e+09 + i 4.661494e+09 ; -7.468962e+07 + i 7.324526e+08 ; -3.731887e+07 + i 1.016820e+09 ; -1.591326e+09 + i 5.338180e+09 ; -6.952421e+08 + i -3.752612e+08 ; -3.346121e+09 + i -2.306895e+09 ; 2.827316e+09 + i 8.516020e+08 ; 1.917259e+08 + i 7.207813e+08 ; 1.928432e+08 + i 7.263080e+08 ; 3.326716e+09 + i 1.794605e+09 ; -1.310702e+09 + i -8.073496e+07 ; -1.309683e+09 + i -7.763519e+07 ; -1.869502e+08 + i -1.427750e+09 ; -1.300000e+08 + i 7.449817e+07 ; -1.305287e+08 + i 7.359291e+07 ; 2.182547e+08 + i -6.692918e+08 ; 1.758358e+07 + i 7.915045e+07 ; 1.710768e+07 + i 7.937372e+07 ; -9.667571e+08 + i -2.064325e+08 ; -2.482217e+08 + i 1.200735e+08 ; -7.269302e+07 + i 1.198160e+08 ; -6.071597e+08 + i -3.762350e+08 ; -6.190158e+06 + i 8.871898e+07 ; 3.876196e+07 + i 7.462437e+07 ; -9.682062e+08 + i -2.044318e+08 ; -7.161899e+07 + i 1.209345e+08 ; -2.481459e+08 + i 1.194129e+08 ; -6.088178e+08 + i -3.755773e+08 ; 3.936104e+07 + i 7.432926e+07 ; -6.452367e+06 + i 8.834101e+07 ; -8.529683e+08 + i 6.624108e+08 ; -1.511542e+08 + i 1.469478e+08 ; -1.505574e+08 + i 1.462477e+08 ; -9.333737e+08 + i 3.079798e+08 ; 1.840163e+07 + i 8.222575e+07 ; 1.851990e+07 + i 8.193413e+07 ; 
-1.104195e+09 + i -4.734905e+08 ; -1.097505e+09 + i -5.378817e+08 ; 3.386889e+09 + i 1.946914e+09 ; -6.106819e+08 + i -3.689662e+08 ; -1.995886e+09 + i -3.060808e+09 ; -1.591054e+09 + i 5.320958e+09 ; -2.035624e+09 + i -3.002361e+09 ; -6.329827e+08 + i -4.529868e+08 ; -1.654235e+09 + i 5.412374e+09 ; -2.869171e+06 + i -2.121208e+09 ; 1.017079e+07 + i -2.243297e+09 ; -9.949755e+09 + i -1.167830e+10 ; 6.819561e+07 + i 5.373417e+08 ; -4.525936e+06 + i 4.964228e+08 ; 2.923421e+09 + i 9.492680e+08 ; -2.031536e+08 + i 6.395275e+08 ; 1.633033e+08 + i 1.188361e+09 ; 3.262798e+09 + i 4.685957e+09 ; 2.046436e+08 + i 1.238835e+09 ; -2.922246e+08 + i 6.226301e+08 ; 3.208913e+09 + i 4.775765e+09 ; -7.153339e+08 + i 3.877922e+08 ; -7.840916e+08 + i 3.500102e+08 ; -6.214475e+09 + i 3.311821e+10 ; 4.873622e+08 + i 2.819180e+08 ; -2.545110e+08 + i -1.301201e+08 ; 7.120403e+08 + i 5.920540e+08 ; 2.831717e+08 + i 3.041988e+08 ; -3.537699e+07 + i 5.449304e+07 ; 4.230051e+08 + i -1.634532e+08 ; 7.966496e+08 + i 8.891488e+08 ; -2.333689e+07 + i -4.821839e+07 ; 2.323663e+08 + i 1.103192e+09 ; 1.589787e+08 + i 7.285286e+08 ; -1.860952e+07 + i 3.575408e+07 ; 4.889305e+08 + i 2.098926e+07 ; 1.924407e+07 + i -3.965478e+08 ; -1.420388e+07 + i 1.973881e+08 ; 8.146135e+08 + i 4.429019e+08 ; 1.203934e+08 + i -3.723529e+08 ; 4.597830e+07 + i 8.320701e+07 ; 3.981779e+08 + i -1.688074e+08 ; 1.963104e+08 + i -3.897293e+08 ; -7.828007e+07 + i 1.476232e+08 ; 7.704401e+08 + i 9.802895e+08 ; 2.801238e+08 + i -2.675291e+08 ; 3.301380e+07 + i 8.607482e+07 ; 4.280150e+08 + i -3.667417e+07 ; 
-2.111011e+08 + i -1.417813e+09 ; 2.704438e+08 + i -9.689530e+07 ; 2.712261e+08 + i -9.733725e+07 ; -1.522508e+09 + i -2.057340e+09 ; 2.289623e+08 + i 6.291417e+08 ; 2.290121e+08 + i 6.299440e+08 ; -9.719630e+08 + i -1.942743e+08 ; 2.883460e+08 + i -2.004642e+08 ; 1.618104e+08 + i -1.719884e+08 ; -1.189432e+09 + i 1.403599e+08 ; 1.107035e+09 + i 6.255956e+08 ; 3.234986e+08 + i 2.456137e+08 ; -9.735769e+08 + i -1.953548e+08 ; 1.593376e+08 + i -1.715532e+08 ; 2.863902e+08 + i -2.002761e+08 ; -1.191918e+09 + i 1.385920e+08 ; 3.213916e+08 + i 2.434047e+08 ; 1.106476e+09 + i 6.251045e+08 ; -8.542622e+08 + i 6.660666e+08 ; 1.801038e+08 + i -2.063209e+08 ; 1.795918e+08 + i -2.086391e+08 ; -6.580556e+08 + i 9.373434e+08 ; 6.869878e+08 + i 1.617106e+08 ; 6.868692e+08 + i 1.602514e+08 ; -6.251301e+09 + i 3.295034e+10 ; -6.858023e+08 + i 5.515691e+08 ; -6.894847e+08 + i 5.527765e+08 ; -9.908398e+09 + i -1.158658e+10 ; -1.881519e+08 + i -2.193256e+09 ; -1.901165e+08 + i -2.197212e+09 ; 3.034589e+09 + i 4.576589e+09 ; -1.045083e+08 + i 9.404845e+08 ; -9.718016e+07 + i 6.615259e+08 ; -1.589043e+09 + i 5.341845e+09 ; -3.365013e+09 + i -2.334276e+09 ; -7.521266e+08 + i -4.177915e+08 ; 3.033391e+09 + i 4.581416e+09 ; -9.222923e+07 + i 6.599143e+08 ; -1.000137e+08 + i 9.394730e+08 ; -1.594210e+09 + i 5.344173e+09 ; -7.478167e+08 + i -4.081163e+08 ; -3.363904e+09 + i -2.333554e+09 ; 2.645361e+09 + i 8.941155e+08 ; 1.565031e+08 + i 6.456464e+08 ; 1.572410e+08 + i 6.513059e+08 ; 3.330263e+09 + i 1.797408e+09 ; -1.364391e+09 + i -1.145400e+08 ; -1.363432e+09 + i -1.111086e+08 ; 
1.198255e+08 + i -4.338568e+08 ; 4.177024e+08 + i -2.023370e+07 ; 7.444276e+07 + i 9.014079e+07 ; -8.992802e+07 + i -5.177408e+08 ; 7.646666e+08 + i 9.807281e+08 ; -3.066032e+07 + i 2.035137e+08 ; 4.205539e+08 + i 7.037265e+08 ; 4.822509e+08 + i 1.654125e+07 ; -1.655190e+07 + i 4.880898e+07 ; 1.142637e+09 + i 6.139431e+08 ; 2.054354e+08 + i 1.080123e+09 ; -7.811897e+07 + i -6.437051e+07 ; -7.527850e+07 + i -4.165459e+08 ; 4.004095e+08 + i -1.483479e+08 ; 9.048694e+07 + i 7.856419e+07 ; -2.032770e+08 + i -3.867457e+08 ; 8.095750e+08 + i 4.568545e+08 ; 5.866892e+07 + i 2.380478e+08 ; 4.003350e+08 + i 2.439895e+08 ; 4.207814e+08 + i -1.673097e+08 ; -2.342299e+07 + i 7.233668e+07 ; 6.164430e+08 + i 1.361479e+08 ; 7.057161e+08 + i 5.916269e+08 ; -3.353843e+08 + i -4.939591e+07 ; -5.411227e+08 + i 6.110704e+08 ; -6.208449e+09 + i 3.310473e+10 ; -6.548926e+08 + i 6.531116e+08 ; 3.271094e+07 + i 9.810967e+08 ; 3.169982e+09 + i 4.712647e+09 ; -8.382495e+07 + i 7.300285e+08 ; -1.547186e+08 + i -1.967198e+09 ; -9.905128e+09 + i -1.157200e+10 ; -1.953720e+08 + i -2.154860e+09 ; -3.383265e+09 + i -2.268570e+09 ; -1.530923e+09 + i 5.465319e+09 ; -7.100037e+08 + i -3.997856e+08 ; -8.945077e+04 + i 6.878222e+08 ; 3.219330e+09 + i 4.661216e+09 ; -2.441455e+07 + i 1.018433e+09 ; 2.562088e+08 + i 7.185376e+08 ; 2.879755e+09 + i 9.725253e+08 ; 1.880202e+08 + i 7.255821e+08 ; -6.606984e+08 + i -2.819483e+08 ; -1.482901e+09 + i 5.367266e+09 ; -3.352344e+09 + i -2.324088e+09 ; -1.327452e+09 + i -2.488828e+07 ; 3.486983e+09 + i 1.901734e+09 ; -1.327773e+09 + i -9.029378e+07 ; 
1.206708e+08 + i -4.341407e+08 ; 7.432228e+07 + i 8.988504e+07 ; 4.184323e+08 + i -1.915037e+07 ; -9.029136e+07 + i -5.175580e+08 ; -3.077051e+07 + i 2.030300e+08 ; 7.634943e+08 + i 9.803726e+08 ; -7.391626e+07 + i -4.173566e+08 ; 9.032483e+07 + i 7.876794e+07 ; 4.016891e+08 + i -1.478150e+08 ; -2.029425e+08 + i -3.877378e+08 ; 5.864912e+07 + i 2.376470e+08 ; 8.059573e+08 + i 4.556461e+08 ; 4.226429e+08 + i 7.031813e+08 ; -1.681876e+07 + i 4.818455e+07 ; 4.788517e+08 + i 1.702196e+07 ; 1.143635e+09 + i 6.134320e+08 ; -7.797084e+07 + i -6.549532e+07 ; 2.013589e+08 + i 1.079016e+09 ; 4.019222e+08 + i 2.468351e+08 ; -2.391625e+07 + i 7.273816e+07 ; 4.200544e+08 + i -1.681148e+08 ; 6.165572e+08 + i 1.380796e+08 ; -3.353615e+08 + i -4.883189e+07 ; 7.046516e+08 + i 5.912460e+08 ; -5.442953e+08 + i 6.121824e+08 ; -6.558394e+08 + i 6.528252e+08 ; -6.205207e+09 + i 3.309581e+10 ; 3.418917e+07 + i 9.822866e+08 ; -8.493622e+07 + i 7.295440e+08 ; 3.156042e+09 + i 4.720426e+09 ; -4.322498e+06 + i 6.898267e+08 ; -2.257231e+07 + i 1.014024e+09 ; 3.205211e+09 + i 4.629389e+09 ; 2.541448e+08 + i 7.238363e+08 ; 1.864884e+08 + i 7.229306e+08 ; 2.855345e+09 + i 9.760783e+08 ; -1.591650e+08 + i -1.967037e+09 ; -1.945129e+08 + i -2.157888e+09 ; -9.909467e+09 + i -1.159063e+10 ; -3.385501e+09 + i -2.267367e+09 ; -7.091258e+08 + i -4.034186e+08 ; -1.535268e+09 + i 5.457968e+09 ; -6.634106e+08 + i -2.892216e+08 ; -3.351876e+09 + i -2.323369e+09 ; -1.473832e+09 + i 5.373496e+09 ; -1.326215e+09 + i -2.884260e+07 ; -1.328375e+09 + i -9.150369e+07 ; 3.490668e+09 + i 1.905853e+09 ; 
2.066624e+08 + i -6.778581e+08 ; -7.644498e+06 + i -8.176127e+07 ; -7.345903e+06 + i -8.185689e+07 ; -1.909423e+08 + i -1.413048e+09 ; 1.379054e+08 + i -5.962694e+07 ; 1.385089e+08 + i -5.895883e+07 ; -6.124700e+08 + i -3.760528e+08 ; 1.420400e+07 + i -8.796337e+07 ; -3.022224e+07 + i -7.926319e+07 ; -9.579889e+08 + i -1.935611e+08 ; 2.567465e+08 + i -9.638197e+07 ; 8.535911e+07 + i -1.116638e+08 ; -6.137109e+08 + i -3.768163e+08 ; -3.068470e+07 + i -7.902085e+07 ; 1.434787e+07 + i -8.772586e+07 ; -9.591081e+08 + i -1.942092e+08 ; 8.383018e+07 + i -1.126012e+08 ; 2.572515e+08 + i -9.650553e+07 ; -9.312234e+08 + i 3.031441e+08 ; -1.093770e+07 + i -8.338730e+07 ; -1.119652e+07 + i -8.362615e+07 ; -8.412341e+08 + i 6.665145e+08 ; 1.630817e+08 + i -1.316608e+08 ; 1.633071e+08 + i -1.320248e+08 ; -9.944713e+09 + i -1.155454e+10 ; 1.530124e+07 + i 2.156520e+09 ; 1.475841e+07 + i 2.160888e+09 ; -6.186798e+09 + i 3.315562e+10 ; 7.218092e+08 + i -6.044616e+08 ; 7.249303e+08 + i -6.054437e+08 ; -1.594359e+09 + i 5.346990e+09 ; 3.152924e+09 + i 2.583293e+09 ; 6.697433e+08 + i 4.377220e+08 ; 3.198341e+09 + i 4.642451e+09 ; 1.201302e+08 + i -1.009360e+09 ; 1.401110e+08 + i -7.348145e+08 ; -1.596864e+09 + i 5.351129e+09 ; 6.640919e+08 + i 4.290942e+08 ; 3.152503e+09 + i 2.583450e+09 ; 3.195574e+09 + i 4.649067e+09 ; 1.344659e+08 + i -7.327887e+08 ; 1.175254e+08 + i -1.008055e+09 ; 3.319465e+09 + i 1.809534e+09 ; 1.302293e+09 + i 1.890015e+08 ; 1.301253e+09 + i 1.864104e+08 ; 2.843259e+09 + i 8.313284e+08 ; -1.314362e+08 + i -7.373214e+08 ; -1.340564e+08 + i -7.407882e+08 ; 
1.608700e+08 + i 9.423629e+07 ; 1.060221e+08 + i -1.179419e+08 ; 4.437305e+07 + i 1.530628e+07 ; 2.073379e+08 + i 5.805800e+07 ; 4.336459e+08 + i -3.916959e+07 ; 4.833633e+07 + i 8.991190e+07 ; -1.075802e+08 + i 3.920474e+08 ; 8.915285e+07 + i -1.273224e+08 ; 2.705312e+07 + i 1.234397e+07 ; 5.971405e+07 + i 6.570899e+08 ; 4.765216e+08 + i 1.795562e+07 ; 1.333486e+07 + i 5.728153e+07 ; 2.105132e+08 + i 3.933531e+07 ; 6.947301e+07 + i -1.591716e+08 ; 4.745244e+07 + i 1.438720e+07 ; 2.361593e+08 + i -1.727049e+07 ; 3.996370e+08 + i -1.680743e+08 ; 6.787463e+07 + i 9.796457e+07 ; 4.956802e+07 + i 3.438613e+08 ; 5.349952e+07 + i -1.527386e+08 ; 1.827186e+07 + i 1.526116e+07 ; 1.976437e+08 + i 4.486508e+08 ; 4.152533e+08 + i -1.643218e+08 ; -2.875446e+07 + i 5.618067e+07 ; 3.787720e+08 + i -8.516473e+08 ; 3.203197e+09 + i 4.684137e+09 ; -1.422865e+08 + i 7.210100e+08 ; 8.261143e+08 + i -3.401891e+08 ; -6.216621e+09 + i 3.322007e+10 ; -7.320372e+08 + i 5.947732e+08 ; 2.285548e+09 + i 3.234034e+09 ; -1.552208e+09 + i 5.474727e+09 ; -6.820318e+08 + i -4.641297e+08 ; -5.370304e+08 + i 2.071586e+09 ; -9.996622e+09 + i -1.146084e+10 ; -2.713812e+07 + i -2.184353e+09 ; 8.469105e+07 + i -6.438860e+08 ; 2.864932e+09 + i 9.523433e+08 ; 1.307408e+08 + i 7.388611e+08 ; 3.101657e+08 + i -5.997459e+08 ; 3.172830e+09 + i 4.781189e+09 ; -1.326482e+08 + i 1.017811e+09 ; 1.152822e+09 + i 5.838517e+08 ; 3.491838e+09 + i 1.899984e+09 ; -1.325616e+09 + i -1.977001e+08 ; 5.000627e+08 + i 6.198039e+08 ; -1.535037e+09 + i 5.508782e+09 ; -3.187236e+09 + i -2.597789e+09 ; 
1.613923e+08 + i 9.472297e+07 ; 4.435297e+07 + i 1.513633e+07 ; 1.053989e+08 + i -1.194438e+08 ; 2.072768e+08 + i 5.782762e+07 ; 4.823884e+07 + i 8.958464e+07 ; 4.313406e+08 + i -3.952936e+07 ; 2.112215e+08 + i 3.984333e+07 ; 4.756980e+07 + i 1.442365e+07 ; 7.075096e+07 + i -1.601480e+08 ; 2.371337e+08 + i -1.742221e+07 ; 6.770810e+07 + i 9.781261e+07 ; 4.006703e+08 + i -1.683711e+08 ; -1.073291e+08 + i 3.929962e+08 ; 2.685120e+07 + i 1.222171e+07 ; 8.792852e+07 + i -1.269719e+08 ; 5.989010e+07 + i 6.574300e+08 ; 1.324478e+07 + i 5.672193e+07 ; 4.753519e+08 + i 1.786451e+07 ; 4.860628e+07 + i 3.446311e+08 ; 1.825559e+07 + i 1.552993e+07 ; 5.343808e+07 + i -1.537915e+08 ; 1.962082e+08 + i 4.485781e+08 ; -2.877563e+07 + i 5.633698e+07 ; 4.165465e+08 + i -1.652107e+08 ; 3.784929e+08 + i -8.506803e+08 ; -1.432450e+08 + i 7.203673e+08 ; 3.184726e+09 + i 4.689677e+09 ; 8.280163e+08 + i -3.434403e+08 ; -7.328741e+08 + i 5.940941e+08 ; -6.221030e+09 + i 3.320910e+10 ; 8.618861e+07 + i -6.443169e+08 ; 1.294975e+08 + i 7.362909e+08 ; 2.843876e+09 + i 9.532381e+08 ; 3.143309e+08 + i -6.007470e+08 ; -1.310176e+08 + i 1.014163e+09 ; 3.166728e+09 + i 4.745117e+09 ; 2.287469e+09 + i 3.236423e+09 ; -6.809497e+08 + i -4.679046e+08 ; -1.551369e+09 + i 5.470834e+09 ; -5.337164e+08 + i 2.071826e+09 ; -2.582834e+07 + i -2.186960e+09 ; -9.998324e+09 + i -1.147265e+10 ; 1.149205e+09 + i 5.873936e+08 ; -1.326744e+09 + i -1.992219e+08 ; 3.485794e+09 + i 1.910021e+09 ; 4.995867e+08 + i 6.216397e+08 ; -3.187126e+09 + i -2.596941e+09 ; -1.530595e+09 + i 5.517310e+09 ; 
-9.671181e+08 + i -2.079061e+08 ; -2.900642e+08 + i 8.229790e+07 ; 1.744688e+08 + i -1.584764e+08 ; -1.185330e+09 + i 1.451321e+08 ; -7.959295e+08 + i -8.972718e+08 ; 3.015591e+08 + i 2.748072e+08 ; -1.953739e+08 + i -1.418416e+09 ; -2.456753e+08 + i 3.441487e+07 ; 2.796787e+08 + i -7.681975e+07 ; -1.523789e+09 + i -2.052746e+09 ; 4.301883e+07 + i -6.065236e+08 ; 1.762506e+08 + i 6.513372e+08 ; -8.514444e+08 + i 6.575317e+08 ; -2.123001e+08 + i 1.140929e+08 ; 1.963872e+08 + i -1.945220e+08 ; -6.494291e+08 + i 9.346205e+08 ; -5.639314e+08 + i -3.537097e+08 ; 6.765330e+08 + i 2.155888e+08 ; -9.690001e+08 + i -2.030347e+08 ; -1.699423e+08 + i 1.096669e+08 ; 3.037739e+08 + i -1.779800e+08 ; -1.193313e+09 + i 1.371588e+08 ; -1.868343e+08 + i -3.106055e+08 ; 1.062305e+09 + i 7.181128e+08 ; 3.066645e+09 + i 4.539450e+09 ; 4.938684e+07 + i -1.036464e+09 ; -1.455637e+08 + i 6.562057e+08 ; -1.664820e+09 + i 5.315533e+09 ; 2.395175e+09 + i 3.328339e+09 ; -7.305117e+08 + i -4.895906e+08 ; -6.177983e+09 + i 3.290825e+10 ; 7.685250e+08 + i -5.198210e+08 ; -7.346988e+08 + i 5.067480e+08 ; -9.931584e+09 + i -1.164955e+10 ; -1.528384e+08 + i 2.272283e+09 ; -2.536309e+07 + i -2.227794e+09 ; 2.617013e+09 + i 8.637742e+08 ; -1.284477e+07 + i -6.213590e+08 ; 1.162508e+08 + i 6.683821e+08 ; 3.326044e+09 + i 1.798924e+09 ; 1.290564e+09 + i 5.365538e+08 ; -1.368115e+09 + i -2.206965e+08 ; 3.005028e+09 + i 4.557659e+09 ; 1.962964e+08 + i -6.109600e+08 ; -1.666213e+08 + i 9.394956e+08 ; -1.608618e+09 + i 5.351398e+09 ; 6.307051e+08 + i 5.861228e+08 ; -3.207439e+09 + i -2.625040e+09 ; 
-4.110602e+08 + i -7.271222e+08 ; 4.833474e+08 + i 3.736057e+07 ; 1.991752e+07 + i -4.812668e+07 ; -1.137198e+09 + i -7.073246e+08 ; 2.166642e+08 + i 1.097941e+09 ; 7.289926e+07 + i 7.018404e+07 ; -1.687983e+08 + i 4.042661e+08 ; 4.270275e+08 + i -4.195263e+07 ; -6.848146e+07 + i -9.695428e+07 ; -5.956322e+05 + i 4.654439e+08 ; 7.696389e+08 + i 9.563323e+08 ; 4.660326e+07 + i -2.040332e+08 ; -4.045641e+08 + i -2.555628e+08 ; 4.258525e+08 + i -1.539611e+08 ; 2.853456e+07 + i -7.043047e+07 ; -6.287523e+08 + i -1.795022e+08 ; 7.121269e+08 + i 5.990125e+08 ; 3.314974e+08 + i 7.754613e+07 ; 2.982142e+07 + i 4.169559e+08 ; 3.993595e+08 + i -1.674970e+08 ; -8.545873e+07 + i -8.595925e+07 ; 1.426903e+08 + i 3.754312e+08 ; 8.090331e+08 + i 4.404657e+08 ; -4.121815e+07 + i -2.435597e+08 ; 3.215706e+08 + i 2.159154e+09 ; -9.934808e+09 + i -1.156575e+10 ; 2.020604e+07 + i 2.174720e+09 ; 3.149561e+09 + i 2.563762e+09 ; -1.607035e+09 + i 5.459488e+09 ; 6.821079e+08 + i 4.560119e+08 ; 6.357394e+08 + i -6.888376e+08 ; -6.173764e+09 + i 3.309174e+10 ; 7.197673e+08 + i -6.149476e+08 ; -2.580406e+08 + i -1.190532e+09 ; 3.205610e+09 + i 4.753592e+09 ; 1.458587e+08 + i -7.381341e+08 ; 6.783296e+08 + i 3.048357e+08 ; -1.486115e+09 + i 5.407065e+09 ; 3.175701e+09 + i 2.605526e+09 ; 1.364563e+09 + i 1.383667e+08 ; 3.462851e+09 + i 1.939210e+09 ; 1.329598e+09 + i 2.042011e+08 ; -1.568233e+07 + i -7.242821e+08 ; 3.240982e+09 + i 4.637030e+09 ; 1.049161e+08 + i -1.018669e+09 ; -2.563536e+08 + i -7.225935e+08 ; 2.910386e+09 + i 9.368566e+08 ; -1.296786e+08 + i -7.441942e+08 ; 
-4.806678e+07 + i -4.197413e+08 ; -5.776920e+07 + i -9.248562e+07 ; 3.992179e+08 + i -1.458858e+08 ; -1.824368e+08 + i -3.969016e+08 ; 1.649015e+07 + i -2.269562e+08 ; 8.038077e+08 + i 4.545966e+08 ; 1.462617e+08 + i -4.214606e+08 ; -4.602368e+07 + i -9.733870e+07 ; 4.184699e+08 + i -1.821856e+07 ; -6.245735e+07 + i -5.172758e+08 ; 8.599968e+07 + i -1.707537e+08 ; 7.655787e+08 + i 9.792232e+08 ; 3.847355e+08 + i 2.736989e+08 ; 3.554597e+07 + i -6.317123e+07 ; 4.188597e+08 + i -1.671259e+08 ; 5.998059e+08 + i 1.670463e+08 ; 2.764875e+08 + i 1.394471e+08 ; 7.026972e+08 + i 5.918454e+08 ; 3.697214e+08 + i 7.272981e+08 ; 2.002476e+07 + i -5.176673e+07 ; 4.794033e+08 + i 1.790691e+07 ; 1.092674e+09 + i 6.817346e+08 ; 3.028188e+07 + i 7.087624e+07 ; 2.002040e+08 + i 1.079869e+09 ; -7.252470e+07 + i 6.990955e+08 ; 3.065802e+08 + i -9.199431e+08 ; 3.227778e+09 + i 4.595542e+09 ; 1.737982e+08 + i 7.554793e+08 ; 5.869659e+07 + i -7.165050e+08 ; 2.850748e+09 + i 9.509978e+08 ; -5.884954e+08 + i 5.806096e+08 ; 7.811337e+08 + i -4.241788e+08 ; -6.173706e+09 + i 3.308002e+10 ; -3.966285e+07 + i 9.962744e+08 ; 2.921944e+08 + i -6.685634e+08 ; 3.147307e+09 + i 4.697742e+09 ; -6.722518e+08 + i -4.128491e+08 ; 2.365406e+09 + i 3.099680e+09 ; -1.486284e+09 + i 5.383376e+09 ; -1.317418e+09 + i -1.683975e+08 ; 1.199323e+09 + i 5.426272e+08 ; 3.489161e+09 + i 1.913597e+09 ; -2.025722e+07 + i -1.958704e+09 ; -4.473158e+08 + i 1.988885e+09 ; -9.928959e+09 + i -1.159191e+10 ; -3.218779e+09 + i -2.467973e+09 ; 5.923597e+08 + i 6.132783e+08 ; -1.548557e+09 + i 5.471304e+09 ; 
-6.127113e+08 + i -3.765351e+08 ; -7.781079e+07 + i 5.524210e+07 ; -2.516463e+07 + i -8.114788e+07 ; -9.770633e+08 + i -1.880389e+08 ; -3.264113e+08 + i 1.015868e+07 ; 9.288191e+07 + i -1.056535e+08 ; 2.114171e+08 + i -6.685326e+08 ; -1.431516e+07 + i 4.299576e+07 ; -2.572173e+06 + i -8.309126e+07 ; -2.076810e+08 + i -1.412434e+09 ; -1.742385e+08 + i -4.591874e+07 ; 1.417792e+08 + i -5.091445e+07 ; -9.293003e+08 + i 3.015807e+08 ; -4.595542e+07 + i 8.250379e+07 ; -5.850469e+06 + i -8.458084e+07 ; -8.481019e+08 + i 6.689809e+08 ; -2.234633e+08 + i 8.763205e+07 ; 1.725063e+08 + i -1.225622e+08 ; -6.111679e+08 + i -3.778098e+08 ; -9.056687e+06 + i 6.436818e+07 ; 1.988197e+07 + i -8.739160e+07 ; -9.710849e+08 + i -1.936498e+08 ; -1.373318e+08 + i 6.077819e+07 ; 2.647751e+08 + i -8.098413e+07 ; -1.666425e+09 + i 5.251808e+09 ; -2.176091e+09 + i -3.021109e+09 ; 6.413728e+08 + i 4.903136e+08 ; 3.194914e+09 + i 4.659109e+09 ; 2.463558e+08 + i 1.403057e+09 ; 1.852755e+08 + i -7.255044e+08 ; -9.924320e+09 + i -1.167016e+10 ; -8.466815e+07 + i -2.467772e+09 ; -1.243288e+08 + i 2.172685e+09 ; -6.196791e+09 + i 3.315485e+10 ; -7.643212e+08 + i 3.372085e+08 ; 7.677420e+08 + i -5.607008e+08 ; 3.276307e+09 + i 1.812794e+09 ; -1.205359e+09 + i -5.286328e+08 ; 1.296320e+09 + i 2.650141e+08 ; 2.833234e+09 + i 8.070228e+08 ; 5.597825e+07 + i 6.257632e+08 ; -8.936730e+07 + i -7.537332e+08 ; -1.631257e+09 + i 5.354602e+09 ; -6.046169e+08 + i -5.007269e+08 ; 3.009231e+09 + i 2.790538e+09 ; 3.179673e+09 + i 4.654249e+09 ; -1.930438e+08 + i 6.561277e+08 ; 1.845497e+08 + i -1.007865e+09 ; 
1.477774e+08 + i -3.563416e+08 ; 9.907860e+07 + i -1.371808e+08 ; -2.674371e+07 + i -1.415779e+07 ; 2.925876e+07 + i -6.081051e+08 ; 4.805201e+08 + i -2.185177e+06 ; -1.038882e+07 + i -5.876449e+07 ; -1.466163e+08 + i -5.842794e+07 ; 9.075209e+07 + i -1.193225e+08 ; -4.434220e+07 + i -1.808490e+07 ; -1.517317e+08 + i 8.009238e+06 ; 4.183742e+08 + i -3.224472e+07 ; -4.416525e+07 + i -9.368697e+07 ; -3.401640e+06 + i -3.351984e+08 ; 5.720851e+07 + i -1.623282e+08 ; -1.764729e+07 + i -1.604474e+07 ; -1.303974e+08 + i -4.387671e+08 ; 4.116748e+08 + i -1.743435e+08 ; 3.164783e+07 + i -5.398627e+07 ; -1.793866e+08 + i -2.233555e+07 ; 5.770099e+07 + i -1.508052e+08 ; -4.716687e+07 + i -1.709310e+07 ; -1.792583e+08 + i 3.973586e+07 ; 3.951731e+08 + i -1.560937e+08 ; -6.303686e+07 + i -1.021187e+08 ; -2.116160e+09 + i -3.082684e+09 ; -1.615530e+09 + i 5.375526e+09 ; 6.549705e+08 + i 5.051948e+08 ; -1.456039e+07 + i -2.491136e+09 ; -9.984255e+09 + i -1.150938e+10 ; -1.049710e+08 + i 2.189445e+09 ; 1.761520e+08 + i 1.361716e+09 ; 3.198837e+09 + i 4.781021e+09 ; 1.889381e+08 + i -7.226665e+08 ; -7.731477e+08 + i 2.926314e+08 ; -6.261551e+09 + i 3.323168e+10 ; 7.767428e+08 + i -5.625858e+08 ; -1.171678e+09 + i -6.093698e+08 ; 3.429161e+09 + i 1.932007e+09 ; 1.314594e+09 + i 2.819961e+08 ; -5.793927e+08 + i -5.461692e+08 ; -1.556162e+09 + i 5.544433e+09 ; 3.034341e+09 + i 2.807907e+09 ; 2.586814e+07 + i 5.758415e+08 ; 2.910054e+09 + i 9.257207e+08 ; -8.770652e+07 + i -7.498733e+08 ; -2.096958e+08 + i 6.084068e+08 ; 3.197863e+09 + i 4.780108e+09 ; 1.933994e+08 + i -1.010600e+09 ; 
