-8.930637e+09 + i 1.261893e+10 ; -4.352559e+07 + i 9.818082e+07 ; -4.344199e+07 + i 9.821778e+07 ; -5.106938e+08 + i -3.004028e+09 ; 9.476380e+06 + i -3.024293e+08 ; 9.344986e+06 + i -3.023632e+08 ; 1.090501e+08 + i 1.476635e+09 ; -1.705520e+07 + i 1.657732e+08 ; 1.317063e+07 + i 4.282773e+07 ; -2.525313e+08 + i 9.235771e+08 ; -1.911265e+08 + i -6.599989e+08 ; -4.297550e+07 + i -2.740387e+07 ; 1.091847e+08 + i 1.476583e+09 ; 1.293609e+07 + i 4.271209e+07 ; -1.716857e+07 + i 1.657584e+08 ; -2.522308e+08 + i 9.236109e+08 ; -4.236668e+07 + i -2.770942e+07 ; -1.911031e+08 + i -6.599998e+08 ; 3.192908e+08 + i -5.021226e+07 ; 2.543946e+07 + i 6.381147e+07 ; 2.567102e+07 + i 6.370018e+07 ; 2.921394e+08 + i -8.015710e+06 ; -9.548725e+07 + i -9.666140e+07 ; -9.550377e+07 + i -9.675720e+07 ; 2.622978e+07 + i -3.460166e+08 ; -7.168512e+06 + i 9.070725e+06 ; -7.154578e+06 + i 9.076882e+06 ; 4.505970e+07 + i -1.957273e+08 ; 1.246594e+06 + i 3.386126e+06 ; 1.251549e+06 + i 3.385279e+06 ; -8.773392e+07 + i -2.480804e+07 ; -1.773689e+07 + i -4.434795e+06 ; -1.764385e+06 + i 8.634346e+06 ; -6.052760e+07 + i -3.294298e+07 ; -1.386736e+06 + i -1.134230e+05 ; 1.205205e+06 + i 2.460880e+06 ; -8.764197e+07 + i -2.483932e+07 ; -1.728001e+06 + i 8.578433e+06 ; -1.772892e+07 + i -4.431911e+06 ; -6.047439e+07 + i -3.294003e+07 ; 1.199824e+06 + i 2.453262e+06 ; -1.387680e+06 + i -1.123519e+05 ; -9.589535e+06 + i 4.190658e+07 ; -9.058305e+06 + i -1.121966e+06 ; -9.075254e+06 + i -1.106256e+06 ; -1.491989e+07 + i 2.531966e+07 ; -9.933415e+05 + i -3.836078e+05 ; -9.911067e+05 + i -3.815209e+05 ; 
-9.959610e+07 + i -1.328029e+08 ; -9.857668e+07 + i -1.423586e+08 ; 3.042742e+08 + i -3.282885e+06 ; -3.963390e+07 + i -1.845743e+07 ; -7.364434e+07 + i -8.698180e+08 ; -2.576269e+08 + i 9.323327e+08 ; -7.830844e+07 + i -8.574782e+08 ; -3.829282e+07 + i -3.435805e+07 ; -2.607549e+08 + i 9.464413e+08 ; 2.570820e+06 + i -2.951930e+08 ; 6.918649e+06 + i -3.194522e+08 ; -5.296974e+08 + i -2.982877e+09 ; -2.937649e+06 + i 8.288397e+07 ; -6.190542e+06 + i 8.396148e+07 ; 3.250236e+08 + i -4.953482e+07 ; 1.261189e+07 + i 5.126356e+07 ; 1.414861e+07 + i 1.495931e+08 ; 1.139737e+08 + i 1.467944e+09 ; 1.817826e+07 + i 1.503293e+08 ; 8.437198e+06 + i 5.433250e+07 ; 1.117656e+08 + i 1.483324e+09 ; -6.627661e+07 + i 1.096601e+08 ; -7.290480e+07 + i 1.108962e+08 ; -8.936543e+09 + i 1.261724e+10 ; 2.929373e+07 + i 9.993503e+07 ; -1.350805e+07 + i -5.438055e+07 ; 5.284741e+07 + i 8.147034e+07 ; 1.406880e+07 + i 6.432371e+07 ; -4.959602e+06 + i 2.989595e+06 ; 1.274889e+07 + i 1.477395e+06 ; 4.474727e+07 + i 2.346250e+08 ; 2.206480e+06 + i -1.414142e+07 ; -7.010154e+06 + i 2.119804e+08 ; 2.263446e+06 + i 1.419149e+08 ; -3.028332e+06 + i 5.024659e+06 ; 3.383450e+07 + i 9.275649e+06 ; -3.566541e+06 + i -4.822965e+07 ; -5.786393e+06 + i 3.634085e+07 ; 6.831809e+07 + i 9.673785e+07 ; 9.173714e+05 + i -3.912532e+07 ; 3.882564e+06 + i 7.315507e+06 ; 1.269457e+07 + i 1.672885e+06 ; 2.523373e+07 + i -8.782943e+07 ; -8.316279e+06 + i 2.461303e+07 ; 3.560316e+07 + i 2.811161e+08 ; 2.704210e+07 + i -6.144086e+07 ; 2.976558e+06 + i 5.762996e+06 ; 3.356050e+07 + i 5.003128e+06 ; 
2.810764e+07 + i -3.453716e+08 ; 1.247972e+07 + i -1.051477e+07 ; 1.247873e+07 + i -1.051991e+07 ; -5.838804e+07 + i -6.046920e+08 ; 6.488978e+06 + i 8.188285e+07 ; 6.539449e+06 + i 8.187847e+07 ; -8.736631e+07 + i -2.505806e+07 ; 1.859106e+07 + i -6.030571e+06 ; 2.136391e+06 + i -6.618629e+06 ; -1.159523e+08 + i -5.455153e+06 ; 6.513931e+07 + i 1.829008e+08 ; 1.431114e+07 + i 2.605790e+07 ; -8.733415e+07 + i -2.504388e+07 ; 2.192866e+06 + i -6.580490e+06 ; 1.862083e+07 + i -6.021047e+06 ; -1.158837e+08 + i -5.402321e+06 ; 1.418627e+07 + i 2.613614e+07 ; 6.511706e+07 + i 1.829084e+08 ; -9.651234e+06 + i 4.190328e+07 ; 7.087832e+06 + i -9.874935e+05 ; 7.011072e+06 + i -9.380149e+05 ; 2.653019e+06 + i 6.726705e+07 ; 4.276695e+07 + i 6.852691e+07 ; 4.273874e+07 + i 6.855993e+07 ; -8.926812e+09 + i 1.257546e+10 ; -4.500414e+07 + i 9.112397e+07 ; -4.492421e+07 + i 9.116439e+07 ; -5.107191e+08 + i -3.004446e+09 ; 9.972567e+06 + i -3.079100e+08 ; 9.841883e+06 + i -3.078365e+08 ; 9.984551e+07 + i 1.466603e+09 ; -1.987589e+07 + i 1.580383e+08 ; 1.308334e+07 + i 3.569420e+07 ; -2.526809e+08 + i 9.243058e+08 ; -1.911009e+08 + i -6.648310e+08 ; -4.546656e+07 + i -2.795529e+07 ; 9.999544e+07 + i 1.466529e+09 ; 1.285995e+07 + i 3.557969e+07 ; -1.998916e+07 + i 1.580181e+08 ; -2.523841e+08 + i 9.243429e+08 ; -4.483271e+07 + i -2.825590e+07 ; -1.910793e+08 + i -6.648328e+08 ; 3.143002e+08 + i -4.647683e+07 ; 2.458204e+07 + i 5.457518e+07 ; 2.483530e+07 + i 5.446342e+07 ; 2.923841e+08 + i -7.870166e+06 ; -9.812768e+07 + i -9.786975e+07 ; -9.813752e+07 + i -9.797159e+07 ; 
5.724396e+06 + i -4.777453e+07 ; 3.525151e+07 + i 5.076892e+06 ; 3.748088e+06 + i 3.529590e+06 ; -3.404039e+06 + i -6.294179e+07 ; 3.558080e+07 + i 2.816750e+08 ; -1.054085e+06 + i 2.034755e+07 ; 2.340998e+07 + i 1.120782e+08 ; 3.351783e+07 + i 9.940043e+06 ; -1.537459e+06 + i 5.075836e+06 ; 7.031143e+07 + i 1.785117e+08 ; -1.132763e+07 + i 2.150864e+08 ; -4.306870e+06 + i -8.575317e+06 ; -5.364299e+06 + i -2.838695e+07 ; 1.335808e+07 + i 1.102216e+06 ; 4.538976e+06 + i 4.554057e+06 ; -1.004065e+07 + i -3.384775e+07 ; 6.906499e+07 + i 9.651986e+07 ; 2.849041e+06 + i 2.932703e+07 ; 2.179877e+07 + i 4.779490e+07 ; 1.235568e+07 + i 1.831457e+06 ; -3.321914e+06 + i 3.679743e+06 ; 3.916399e+07 + i 7.264258e+07 ; 5.235300e+07 + i 8.203139e+07 ; -2.210025e+07 + i -3.791598e+07 ; -3.966865e+07 + i 9.442768e+07 ; -8.936847e+09 + i 1.261725e+10 ; -4.256012e+07 + i 9.752321e+07 ; -1.515418e+07 + i 1.626954e+08 ; 1.095096e+08 + i 1.485595e+09 ; 1.260881e+07 + i 4.301119e+07 ; 1.051558e+07 + i -2.801317e+08 ; -5.196889e+08 + i -2.987642e+09 ; 8.699625e+06 + i -3.016788e+08 ; -1.923590e+08 + i -6.530476e+08 ; -2.470599e+08 + i 9.359511e+08 ; -4.306224e+07 + i -2.805963e+07 ; 1.461971e+07 + i 4.044935e+07 ; 1.131622e+08 + i 1.470240e+09 ; -1.624558e+07 + i 1.649769e+08 ; 2.681728e+07 + i 6.348112e+07 ; 3.235015e+08 + i -4.942623e+07 ; 2.523271e+07 + i 6.390794e+07 ; -4.076020e+07 + i -1.449907e+07 ; -2.444023e+08 + i 9.232803e+08 ; -1.917180e+08 + i -6.606567e+08 ; -9.576958e+07 + i -8.978220e+07 ; 2.983832e+08 + i -8.493983e+06 ; -9.588035e+07 + i -9.780763e+07 ; 
5.730829e+06 + i -4.780170e+07 ; 3.750633e+06 + i 3.531007e+06 ; 3.528570e+07 + i 5.008723e+06 ; -3.383717e+06 + i -6.295411e+07 ; -1.047134e+06 + i 2.035386e+07 ; 3.567412e+07 + i 2.816312e+08 ; -5.388481e+06 + i -2.838626e+07 ; 4.543568e+06 + i 4.553382e+06 ; 1.337955e+07 + i 1.036016e+06 ; -1.007173e+07 + i -3.381859e+07 ; 2.830589e+06 + i 2.933330e+07 ; 6.922424e+07 + i 9.660180e+07 ; 2.337321e+07 + i 1.120821e+08 ; -1.537590e+06 + i 5.090377e+06 ; 3.355870e+07 + i 9.969034e+06 ; 7.028565e+07 + i 1.785203e+08 ; -4.342913e+06 + i -8.554736e+06 ; -1.139222e+07 + i 2.151632e+08 ; 2.187028e+07 + i 4.769925e+07 ; -3.298318e+06 + i 3.677365e+06 ; 1.232595e+07 + i 1.833274e+06 ; 3.919367e+07 + i 7.260497e+07 ; -2.209470e+07 + i -3.792772e+07 ; 5.244090e+07 + i 8.204101e+07 ; -3.967607e+07 + i 9.450275e+07 ; -4.254444e+07 + i 9.753258e+07 ; -8.937586e+09 + i 1.261740e+10 ; -1.521326e+07 + i 1.626755e+08 ; 1.262629e+07 + i 4.301968e+07 ; 1.098380e+08 + i 1.485712e+09 ; 1.473505e+07 + i 4.047483e+07 ; -1.649019e+07 + i 1.650349e+08 ; 1.108653e+08 + i 1.470898e+09 ; 2.705956e+07 + i 6.337207e+07 ; 2.517769e+07 + i 6.396873e+07 ; 3.243972e+08 + i -4.880112e+07 ; 1.062121e+07 + i -2.801182e+08 ; 8.550925e+06 + i -3.016625e+08 ; -5.207187e+08 + i -2.987097e+09 ; -1.922850e+08 + i -6.530682e+08 ; -4.315105e+07 + i -2.797817e+07 ; -2.471966e+08 + i 9.362382e+08 ; -4.105836e+07 + i -1.421385e+07 ; -1.917743e+08 + i -6.607003e+08 ; -2.448610e+08 + i 9.229108e+08 ; -9.592214e+07 + i -8.968020e+07 ; -9.591131e+07 + i -9.776476e+07 ; 2.985131e+08 + i -8.192416e+06 ; 
4.583408e+07 + i -1.949327e+08 ; -1.372562e+06 + i -3.662868e+06 ; -1.378576e+06 + i -3.657157e+06 ; 2.764850e+07 + i -3.463920e+08 ; 7.927162e+06 + i -9.537357e+06 ; 7.934663e+06 + i -9.537168e+06 ; -6.033604e+07 + i -3.302807e+07 ; 1.431755e+06 + i 1.441205e+05 ; -1.312991e+06 + i -2.620585e+06 ; -8.775330e+07 + i -2.550976e+07 ; 1.854706e+07 + i 4.987589e+06 ; 2.126983e+06 + i -9.098354e+06 ; -6.029276e+07 + i -3.302143e+07 ; -1.302189e+06 + i -2.617495e+06 ; 1.434718e+06 + i 1.417472e+05 ; -8.766095e+07 + i -2.548591e+07 ; 2.104491e+06 + i -9.057162e+06 ; 1.853267e+07 + i 4.986012e+06 ; -1.502620e+07 + i 2.531974e+07 ; 1.020833e+06 + i 4.169140e+05 ; 1.016617e+06 + i 4.251670e+05 ; -1.007376e+07 + i 4.175509e+07 ; 9.503733e+06 + i 1.312903e+06 ; 9.478760e+06 + i 1.315476e+06 ; -5.036415e+08 + i -3.004278e+09 ; -1.819563e+07 + i 3.140296e+08 ; -1.794516e+07 + i 3.139657e+08 ; -8.935420e+09 + i 1.261800e+10 ; 4.569137e+07 + i -1.005306e+08 ; 4.564345e+07 + i -1.005840e+08 ; -2.507405e+08 + i 9.228075e+08 ; 1.832879e+08 + i 6.910136e+08 ; 4.372920e+07 + i 2.970550e+07 ; 1.070939e+08 + i 1.477059e+09 ; 2.206450e+07 + i -1.717082e+08 ; -1.307153e+07 + i -4.437109e+07 ; -2.506622e+08 + i 9.228279e+08 ; 4.323939e+07 + i 2.995112e+07 ; 1.832630e+08 + i 6.910202e+08 ; 1.075383e+08 + i 1.476932e+09 ; -1.289797e+07 + i -4.429022e+07 ; 2.211191e+07 + i -1.716984e+08 ; 2.922298e+08 + i -8.887696e+06 ; 9.710126e+07 + i 1.028000e+08 ; 9.704929e+07 + i 1.028553e+08 ; 3.190568e+08 + i -4.931922e+07 ; -2.490717e+07 + i -6.694356e+07 ; -2.496222e+07 + i -6.690443e+07 ; 
1.534438e+07 + i -7.638295e+06 ; 2.515623e+06 + i 4.943642e+06 ; 1.030032e+06 + i 1.610939e+06 ; 1.803656e+07 + i -1.408192e+07 ; 3.247537e+07 + i 4.990225e+06 ; 1.428666e+06 + i 6.690636e+06 ; -1.396939e+07 + i 8.526452e+07 ; 3.108974e+06 + i 4.325803e+06 ; 3.163606e+05 + i 1.401145e+06 ; -5.646972e+06 + i 1.420791e+08 ; 3.408306e+07 + i 9.951633e+06 ; 7.104485e+05 + i 4.144862e+06 ; 8.701631e+06 + i -1.304185e+07 ; 3.239013e+06 + i 5.197137e+06 ; 1.346684e+06 + i 1.950938e+06 ; 8.850091e+06 + i -1.982180e+07 ; 1.249600e+07 + i 1.843766e+06 ; 2.590413e+06 + i 8.824017e+06 ; 7.345215e+06 + i 5.060305e+07 ; 3.312836e+06 + i 4.560285e+06 ; -1.622258e+05 + i 6.076682e+05 ; 1.687767e+07 + i 7.556900e+07 ; 1.270892e+07 + i 1.683181e+06 ; -1.974906e+06 + i -1.042348e+06 ; 4.600551e+07 + i -1.905634e+08 ; 1.009983e+08 + i 1.486609e+09 ; 1.268620e+07 + i 4.461919e+07 ; 6.414223e+07 + i -1.072157e+08 ; -8.945987e+09 + i 1.263743e+10 ; -4.756695e+07 + i 1.012044e+08 ; 1.348277e+08 + i 8.168428e+08 ; -2.462956e+08 + i 9.366110e+08 ; -4.620302e+07 + i -2.946242e+07 ; -5.500330e+07 + i 3.640419e+08 ; -5.229072e+08 + i -2.968082e+09 ; 1.575858e+07 + i -3.141973e+08 ; -1.849760e+07 + i -7.747228e+07 ; 3.247368e+08 + i -4.768127e+07 ; 2.536554e+07 + i 6.641213e+07 ; -7.999009e+06 + i -5.023072e+07 ; 1.140652e+08 + i 1.488430e+09 ; -2.197500e+07 + i 1.719351e+08 ; 9.958754e+07 + i 1.380067e+08 ; 2.979049e+08 + i -8.518216e+06 ; -9.773072e+07 + i -1.034745e+08 ; 4.563879e+07 + i 4.524515e+07 ; -2.450935e+08 + i 9.389773e+08 ; -1.839105e+08 + i -6.912261e+08 ; 
1.535129e+07 + i -7.647694e+06 ; 1.030946e+06 + i 1.613995e+06 ; 2.538643e+06 + i 4.987075e+06 ; 1.805371e+07 + i -1.405718e+07 ; 1.431314e+06 + i 6.694577e+06 ; 3.253514e+07 + i 5.047122e+06 ; 8.662246e+06 + i -1.305953e+07 ; 1.347568e+06 + i 1.951808e+06 ; 3.157717e+06 + i 5.228980e+06 ; 8.766567e+06 + i -1.981045e+07 ; 2.591803e+06 + i 8.829385e+06 ; 1.235799e+07 + i 1.877122e+06 ; -1.399101e+07 + i 8.524912e+07 ; 3.125926e+05 + i 1.404436e+06 ; 3.117423e+06 + i 4.340955e+06 ; -5.670489e+06 + i 1.420837e+08 ; 6.921837e+05 + i 4.152256e+06 ; 3.406808e+07 + i 9.994842e+06 ; 7.442391e+06 + i 5.057431e+07 ; -1.582268e+05 + i 6.073632e+05 ; 3.282791e+06 + i 4.607872e+06 ; 1.694042e+07 + i 7.558106e+07 ; -1.973300e+06 + i -1.043260e+06 ; 1.261146e+07 + i 1.701987e+06 ; 4.606008e+07 + i -1.905756e+08 ; 1.271302e+07 + i 4.462370e+07 ; 1.015978e+08 + i 1.486703e+09 ; 6.416543e+07 + i -1.072135e+08 ; -4.753979e+07 + i 1.012348e+08 ; -8.946253e+09 + i 1.263770e+10 ; -1.866027e+07 + i -7.745058e+07 ; 2.530124e+07 + i 6.646363e+07 ; 3.258010e+08 + i -4.681171e+07 ; -8.194463e+06 + i -5.024364e+07 ; -2.222610e+07 + i 1.719869e+08 ; 1.110493e+08 + i 1.489283e+09 ; 1.347476e+08 + i 8.168084e+08 ; -4.626003e+07 + i -2.935109e+07 ; -2.466745e+08 + i 9.368190e+08 ; -5.509570e+07 + i 3.640330e+08 ; 1.555172e+07 + i -3.142061e+08 ; -5.239885e+08 + i -2.967563e+09 ; 9.984284e+07 + i 1.379217e+08 ; -9.768143e+07 + i -1.034002e+08 ; 2.989874e+08 + i -8.408149e+06 ; 4.582597e+07 + i 4.514291e+07 ; -1.840039e+08 + i -6.913000e+08 ; -2.457100e+08 + i 9.383925e+08 ; 
-8.905886e+07 + i -2.498289e+07 ; -2.310528e+07 + i 4.090489e+06 ; 2.441117e+06 + i -6.869506e+06 ; -1.143041e+08 + i -5.867081e+06 ; -5.131413e+07 + i -2.238580e+08 ; 1.452812e+07 + i 2.752426e+07 ; 2.721927e+07 + i -3.458844e+08 ; -1.412350e+07 + i 9.166037e+06 ; 1.313807e+07 + i -1.055456e+07 ; -5.722487e+07 + i -6.046191e+08 ; 7.063643e+06 + i -1.000574e+08 ; 4.769209e+06 + i 8.558880e+07 ; -1.017231e+07 + i 4.237298e+07 ; -8.619934e+06 + i 1.350910e+05 ; 7.289643e+06 + i -7.829649e+05 ; 2.596274e+06 + i 6.703278e+07 ; -4.061409e+07 + i -8.652052e+07 ; 4.276414e+07 + i 7.243600e+07 ; -8.739670e+07 + i -2.483962e+07 ; -3.150364e+06 + i 6.648749e+06 ; 1.950870e+07 + i -5.795446e+06 ; -1.154479e+08 + i -5.454789e+06 ; -1.232434e+07 + i -3.390534e+07 ; 6.339175e+07 + i 1.918710e+08 ; 9.238152e+07 + i 1.466670e+09 ; 2.268848e+07 + i -1.659590e+08 ; 1.295646e+07 + i 3.744470e+07 ; -2.544373e+08 + i 9.269900e+08 ; 1.502456e+08 + i 7.996522e+08 ; -4.841937e+07 + i -2.928311e+07 ; -8.934194e+09 + i 1.257494e+10 ; 4.958243e+07 + i -9.588939e+07 ; -4.833297e+07 + i 9.349997e+07 ; -5.132349e+08 + i -3.002378e+09 ; -3.036030e+07 + i 3.428604e+08 ; 1.675920e+07 + i -3.194268e+08 ; 3.150300e+08 + i -4.439131e+07 ; -1.987535e+07 + i -6.512889e+07 ; 2.517367e+07 + i 5.662548e+07 ; 2.917432e+08 + i -7.229551e+06 ; 1.013222e+08 + i 1.251694e+08 ; -9.972780e+07 + i -1.041081e+08 ; 1.015975e+08 + i 1.468063e+09 ; -1.003019e+07 + i -4.060846e+07 ; -2.403343e+07 + i 1.631899e+08 ; -2.513547e+08 + i 9.242790e+08 ; 4.720890e+07 + i 3.669153e+07 ; -1.835180e+08 + i -6.957051e+08 ; 
-2.087695e+07 + i -1.159506e+08 ; 3.584001e+07 + i 9.385559e+06 ; 1.687246e+06 + i -5.206864e+06 ; -6.944938e+07 + i -1.852505e+08 ; -8.536014e+06 + i 2.140974e+08 ; 4.119794e+06 + i 9.083005e+06 ; -8.738075e+06 + i 5.028839e+07 ; 3.338002e+07 + i 5.186313e+06 ; -3.806833e+06 + i -3.724866e+06 ; -3.308226e+06 + i 6.871151e+07 ; 3.331430e+07 + i 2.819032e+08 ; 1.383790e+06 + i -2.106162e+07 ; -2.112225e+07 + i -4.997591e+07 ; 1.325323e+07 + i 1.105859e+06 ; 3.559877e+06 + i -3.744000e+06 ; -3.931677e+07 + i -7.574279e+07 ; 5.323463e+07 + i 8.130409e+07 ; 2.220163e+07 + i 4.000446e+07 ; 4.541539e+06 + i 3.023426e+07 ; 1.256008e+07 + i 1.614936e+06 ; -4.577663e+06 + i -4.853228e+06 ; 7.941589e+06 + i 3.716743e+07 ; 6.816790e+07 + i 9.699849e+07 ; -2.171813e+06 + i -3.057911e+07 ; 1.461923e+06 + i 2.756314e+08 ; -5.128949e+08 + i -2.988066e+09 ; -1.752855e+07 + i 3.143004e+08 ; 1.887267e+08 + i 6.837937e+08 ; -2.478775e+08 + i 9.380009e+08 ; 4.413835e+07 + i 3.030413e+07 ; 3.504219e+07 + i -9.689985e+07 ; -8.942081e+09 + i 1.261649e+10 ; 4.516114e+07 + i -1.002895e+08 ; -1.102269e+06 + i -1.533783e+08 ; 1.097392e+08 + i 1.484969e+09 ; -1.278403e+07 + i -4.460762e+07 ; 4.044393e+07 + i 1.464877e+07 ; -2.420727e+08 + i 9.220687e+08 ; 1.840726e+08 + i 6.922970e+08 ; 9.660364e+07 + i 9.422405e+07 ; 2.988695e+08 + i -9.027997e+06 ; 9.812501e+07 + i 1.035409e+08 ; -1.433611e+07 + i -4.010863e+07 ; 1.115133e+08 + i 1.470613e+09 ; 2.134761e+07 + i -1.714848e+08 ; -2.504486e+07 + i -6.466316e+07 ; 3.225050e+08 + i -4.849016e+07 ; -2.471049e+07 + i -6.720712e+07 ; 
-4.951481e+06 + i -2.954603e+07 ; -4.657598e+06 + i -6.051247e+06 ; 1.355202e+07 + i 9.484282e+05 ; -9.548256e+06 + i -3.508343e+07 ; 8.176612e+05 + i -3.490010e+07 ; 6.920724e+07 + i 9.674655e+07 ; 7.163079e+06 + i -4.941229e+07 ; -3.517986e+06 + i -4.619278e+06 ; 3.522080e+07 + i 4.993610e+06 ; -1.777533e+06 + i -6.525758e+07 ; 4.153961e+06 + i -2.373635e+07 ; 3.533861e+07 + i 2.816606e+08 ; 2.154799e+07 + i 4.998949e+07 ; 4.049172e+06 + i -3.621822e+06 ; 1.235669e+07 + i 1.766353e+06 ; 3.781928e+07 + i 7.684224e+07 ; 2.053874e+07 + i 4.787264e+07 ; 5.268118e+07 + i 8.205621e+07 ; 2.141097e+07 + i 1.171002e+08 ; 1.656090e+06 + i -5.233844e+06 ; 3.360621e+07 + i 9.934527e+06 ; 6.814624e+07 + i 1.873177e+08 ; 2.805977e+06 + i 1.159919e+07 ; -1.114822e+07 + i 2.151431e+08 ; 1.557655e+07 + i 4.331007e+07 ; 4.160425e+07 + i -1.905290e+08 ; 1.042249e+08 + i 1.471659e+09 ; 2.758630e+07 + i 6.757939e+07 ; -2.200174e+07 + i -7.857309e+07 ; 3.249726e+08 + i -4.700088e+07 ; -4.368654e+07 + i 9.710614e+07 ; 6.105181e+07 + i -1.079325e+08 ; -8.941893e+09 + i 1.261711e+10 ; -2.021984e+07 + i 1.687144e+08 ; -1.085107e+07 + i -5.129056e+07 ; 1.099193e+08 + i 1.487188e+09 ; -4.911596e+07 + i -1.326238e+07 ; 1.379302e+08 + i 7.994086e+08 ; -2.436645e+08 + i 9.227633e+08 ; -1.008589e+08 + i -9.474138e+07 ; 1.037166e+08 + i 1.250728e+08 ; 2.985717e+08 + i -8.532592e+06 ; 1.965086e+07 + i -2.913987e+08 ; -5.200592e+07 + i 3.525195e+08 ; -5.192302e+08 + i -2.986607e+09 ; -1.810228e+08 + i -6.830958e+08 ; 5.072579e+07 + i 3.557897e+07 ; -2.468408e+08 + i 9.358091e+08 ; 
-6.116949e+07 + i -3.309664e+07 ; -1.470437e+06 + i 1.585130e+06 ; -1.311032e+06 + i -2.754324e+06 ; -8.677081e+07 + i -2.488082e+07 ; -2.005242e+07 + i -5.619951e+06 ; 2.480069e+06 + i -9.441059e+06 ; 4.560120e+07 + i -1.953677e+08 ; -3.874015e+06 + i 5.921189e+06 ; -1.361153e+06 + i -3.792778e+06 ; 2.862483e+07 + i -3.458779e+08 ; -1.846053e+07 + i 1.403520e+07 ; 8.433287e+06 + i -9.658388e+06 ; -1.546952e+07 + i 2.571569e+07 ; -9.501957e+05 + i 1.501373e+05 ; 1.029812e+06 + i 4.743159e+05 ; -1.026234e+07 + i 4.212593e+07 ; -1.072021e+07 + i -1.934710e+06 ; 9.729825e+06 + i 1.566082e+06 ; -6.024479e+07 + i -3.287189e+07 ; -5.670859e+05 + i 4.751373e+06 ; 1.476125e+06 + i 1.801055e+05 ; -8.717973e+07 + i -2.530938e+07 ; -6.447073e+06 + i 1.263164e+07 ; 1.905089e+07 + i 5.543873e+06 ; -2.680093e+08 + i 9.317200e+08 ; -1.041874e+08 + i -8.382586e+08 ; 4.603313e+07 + i 3.144512e+07 ; 1.086616e+08 + i 1.476199e+09 ; 2.691010e+07 + i 1.388915e+08 ; -1.262434e+07 + i -4.651242e+07 ; -5.158253e+08 + i -3.001166e+09 ; -1.015209e+07 + i -3.058334e+08 ; -2.481953e+07 + i 3.249341e+08 ; -8.933904e+09 + i 1.261831e+10 ; -7.018104e+07 + i 1.112715e+08 ; 4.937035e+07 + i -1.033550e+08 ; 2.941284e+08 + i -5.859094e+06 ; -9.532433e+07 + i -1.311231e+08 ; 9.818624e+07 + i 1.086440e+08 ; 3.177891e+08 + i -4.823269e+07 ; 1.314264e+07 + i 7.654319e+07 ; -2.442268e+07 + i -6.981837e+07 ; -2.478202e+08 + i 9.240043e+08 ; -4.114978e+07 + i -3.574478e+07 ; 1.750407e+08 + i 7.192872e+08 ; 1.084135e+08 + i 1.476772e+09 ; 5.808390e+06 + i 4.945285e+07 ; 2.639745e+07 + i -1.773324e+08 ; 
1.937833e+07 + i -8.966745e+07 ; 9.979353e+05 + i 4.441403e+06 ; -2.737973e+05 + i -1.453556e+06 ; 1.276006e+07 + i -1.507001e+08 ; 3.069863e+07 + i 1.076133e+07 ; -6.253002e+05 + i -4.301557e+06 ; -1.126813e+07 + i 5.672463e+06 ; 3.624618e+06 + i 5.414787e+06 ; -1.005960e+06 + i -1.690341e+06 ; -1.252326e+07 + i 9.453421e+06 ; 3.430778e+07 + i 5.305106e+06 ; -1.321811e+06 + i -6.938771e+06 ; -4.972519e+06 + i -5.359273e+07 ; 2.568374e+06 + i 5.185928e+06 ; 1.933616e+05 + i -6.349159e+05 ; -1.368094e+07 + i -8.051330e+07 ; 1.189276e+07 + i 2.610272e+06 ; 2.071379e+06 + i 1.106552e+06 ; -7.905377e+06 + i 1.123765e+07 ; 3.807114e+06 + i 4.918634e+06 ; -1.333839e+06 + i -2.053292e+06 ; -8.131278e+06 + i 1.696039e+07 ; 1.319115e+07 + i 1.342514e+06 ; -2.427976e+06 + i -9.200450e+06 ; -9.578376e+07 + i -8.578134e+08 ; -2.640351e+08 + i 9.456060e+08 ; 4.706590e+07 + i 3.165360e+07 ; -4.012198e+06 + i -3.186367e+08 ; -5.274207e+08 + i -2.966467e+09 ; -2.368498e+07 + i 3.250665e+08 ; 2.489147e+07 + i 1.384540e+08 ; 1.119934e+08 + i 1.483935e+09 ; -1.279583e+07 + i -4.605529e+07 ; -7.145328e+07 + i 1.085736e+08 ; -8.942444e+09 + i 1.263754e+10 ; 4.973829e+07 + i -1.034788e+08 ; -9.393090e+07 + i -1.447255e+08 ; 3.008139e+08 + i -6.434705e+06 ; 9.925824e+07 + i 1.092204e+08 ; -3.976916e+07 + i -4.362650e+07 ; -2.406043e+08 + i 9.388525e+08 ; 1.763178e+08 + i 7.197231e+08 ; 1.048342e+07 + i 7.519693e+07 ; 3.214998e+08 + i -4.804629e+07 ; -2.459589e+07 + i -6.930236e+07 ; 3.909716e+06 + i 4.803305e+07 ; 1.116571e+08 + i 1.487275e+09 ; 2.674674e+07 + i -1.776502e+08 ; 
