-3.875975e+09 + i 9.347585e+08 ; -1.690927e+07 + i 2.217666e+06 ; -1.691186e+07 + i 2.219680e+06 ; 8.319710e+08 + i -3.689332e+08 ; 6.670809e+07 + i -2.117495e+07 ; 6.669876e+07 + i -2.117750e+07 ; -3.996173e+08 + i 1.699233e+08 ; -3.616314e+07 + i 1.094682e+07 ; -7.862549e+06 + i 2.487503e+06 ; -1.834914e+08 + i 4.089701e+07 ; 1.954789e+08 + i -9.349005e+07 ; 1.023897e+07 + i -6.318437e+06 ; -3.996105e+08 + i 1.699261e+08 ; -7.866073e+06 + i 2.482453e+06 ; -3.616570e+07 + i 1.094466e+07 ; -1.834837e+08 + i 4.090319e+07 ; 1.028743e+07 + i -6.307212e+06 ; 1.954810e+08 + i -9.348943e+07 ; -2.273624e+07 + i 3.489797e+07 ; -1.520215e+07 + i 6.335209e+06 ; -1.518460e+07 + i 6.339416e+06 ; -1.891890e+07 + i 2.452500e+07 ; 4.018112e+07 + i -2.522098e+07 ; 4.018259e+07 + i -2.522150e+07 ; 8.368576e+07 + i -2.956162e+07 ; -1.032563e+06 + i -2.673975e+05 ; -1.031658e+06 + i -2.673507e+05 ; 4.464156e+07 + i -1.351191e+07 ; -6.187358e+05 + i 1.816475e+05 ; -6.187411e+05 + i 1.817452e+05 ; 1.464973e+07 + i -1.229606e+07 ; 4.812055e+06 + i -3.977022e+06 ; -1.178587e+06 + i 7.430350e+04 ; 1.176799e+07 + i -8.301445e+06 ; 9.085685e+05 + i -8.039746e+05 ; -5.846867e+05 + i 1.994541e+05 ; 1.465439e+07 + i -1.229434e+07 ; -1.174236e+06 + i 7.493614e+04 ; 4.812387e+06 + i -3.976921e+06 ; 1.176974e+07 + i -8.300436e+06 ; -5.839544e+05 + i 1.993497e+05 ; 9.084740e+05 + i -8.040041e+05 ; 2.147287e+05 + i -3.531961e+06 ; 2.985925e+06 + i -2.561679e+06 ; 2.985091e+06 + i -2.561911e+06 ; 2.500108e+06 + i -3.699685e+06 ; 6.685350e+05 + i -6.135892e+05 ; 6.685414e+05 + i -6.135527e+05 ; 
1.755494e+07 + i -6.876108e+06 ; 1.736136e+07 + i -6.626169e+06 ; -2.337668e+07 + i 3.536479e+07 ; 8.625926e+06 + i -2.836208e+06 ; 4.168377e+07 + i -1.088805e+07 ; -3.987855e+08 + i 1.694870e+08 ; 4.204230e+07 + i -1.116493e+07 ; 8.652077e+06 + i -2.580568e+06 ; -4.018043e+08 + i 1.702882e+08 ; 1.935183e+07 + i -2.199933e+06 ; 1.911551e+07 + i -1.818505e+06 ; -3.876080e+09 + i 9.341623e+08 ; -4.373506e+07 + i 2.679105e+07 ; -4.566498e+07 + i 2.734099e+07 ; -1.982445e+07 + i 2.528131e+07 ; -6.335980e+06 + i 5.918979e+06 ; -2.268154e+08 + i 9.781693e+07 ; -1.836503e+08 + i 4.146185e+07 ; -2.243996e+08 + i 9.730725e+07 ; -9.837951e+06 + i 7.045110e+06 ; -1.862653e+08 + i 4.206017e+07 ; -7.206391e+07 + i 1.959186e+07 ; -7.722670e+07 + i 2.108507e+07 ; 8.283041e+08 + i -3.680828e+08 ; -9.726535e+06 + i 3.427901e+06 ; 7.803819e+06 + i -2.347599e+06 ; -3.246776e+07 + i 1.842936e+07 ; -7.068714e+06 + i 2.071136e+06 ; 1.784589e+06 + i -8.343839e+05 ; -5.040854e+06 + i 3.980231e+06 ; -1.591009e+07 + i 4.677816e+06 ; 4.672922e+06 + i -1.003814e+06 ; -7.713619e+07 + i 3.366119e+07 ; -1.044140e+07 + i 2.241518e+06 ; 1.251536e+06 + i -5.366905e+05 ; -5.989004e+06 + i 5.489204e+06 ; 2.952977e+07 + i -1.457118e+07 ; -1.624591e+07 + i 7.945969e+06 ; -2.425643e+07 + i 1.249872e+07 ; 1.724434e+07 + i -7.665428e+06 ; -1.585187e+05 + i 6.426147e+05 ; -4.888361e+06 + i 3.701331e+06 ; 6.399100e+07 + i -2.936893e+07 ; -3.564274e+06 + i 1.113218e+06 ; -5.047525e+07 + i 1.736021e+07 ; 3.365082e+07 + i -1.273310e+07 ; 8.756644e+05 + i -8.993959e+04 ; -6.659283e+06 + i 5.347960e+06 ; 
-4.001839e+08 + i 1.697832e+08 ; -8.049078e+06 + i 2.501620e+06 ; 3.743177e+07 + i -1.128721e+07 ; -1.839365e+08 + i 4.086872e+07 ; 1.006219e+07 + i -6.444708e+06 ; -2.185180e+08 + i 9.755150e+07 ; -2.273651e+07 + i 3.494561e+07 ; -1.565537e+07 + i 6.391015e+06 ; 1.687862e+07 + i -6.487001e+06 ; -1.896330e+07 + i 2.455607e+07 ; 4.136458e+07 + i -2.557935e+07 ; -4.494842e+07 + i 2.667139e+07 ; -3.876294e+09 + i 9.346304e+08 ; -1.707714e+07 + i 2.167508e+06 ; 1.765911e+07 + i -2.200460e+06 ; 8.317861e+08 + i -3.689744e+08 ; 6.788675e+07 + i -2.121753e+07 ; -7.170619e+07 + i 2.161415e+07 ; -3.997434e+08 + i 1.699466e+08 ; -3.663615e+07 + i 1.089165e+07 ; 8.640906e+06 + i -2.482032e+06 ; -1.836319e+08 + i 4.092278e+07 ; 2.009503e+08 + i -9.457440e+07 ; -1.098329e+07 + i 6.640105e+06 ; 1.478412e+07 + i -1.226783e+07 ; -1.249202e+06 + i 6.906332e+04 ; -5.438934e+06 + i 4.229013e+06 ; 1.183693e+07 + i -8.280166e+06 ; -6.120630e+05 + i 2.016317e+05 ; -1.023196e+06 + i 8.577558e+05 ; 2.523469e+05 + i -3.531234e+06 ; 3.056692e+06 + i -2.607088e+06 ; -3.345348e+06 + i 2.733661e+06 ; 2.527414e+06 + i -3.697018e+06 ; 6.828189e+05 + i -6.239289e+05 ; -7.432750e+05 + i 6.556735e+05 ; 8.369067e+07 + i -2.956122e+07 ; -1.042903e+06 + i -2.722314e+05 ; 1.191287e+06 + i 3.147543e+05 ; 4.463989e+07 + i -1.351171e+07 ; -6.319007e+05 + i 1.844376e+05 ; 7.053866e+05 + i -1.840970e+05 ; 1.466330e+07 + i -1.229311e+07 ; 4.976300e+06 + i -4.037851e+06 ; 1.381742e+06 + i -4.984199e+04 ; 1.177106e+07 + i -8.298806e+06 ; 9.416315e+05 + i -8.162944e+05 ; 6.760763e+05 + i -2.039617e+05 ; 
-7.673587e+06 + i 2.289468e+06 ; -4.021914e+08 + i 1.705403e+08 ; 3.740304e+07 + i -1.125714e+07 ; -1.522186e+07 + i 6.102230e+06 ; -2.334905e+07 + i 3.532969e+07 ; 1.675996e+07 + i -6.450955e+06 ; 1.127789e+07 + i -6.805596e+06 ; -1.872677e+08 + i 4.224791e+07 ; -2.187640e+08 + i 9.772089e+07 ; 4.362632e+07 + i -2.631640e+07 ; -1.991896e+07 + i 2.529191e+07 ; -4.519240e+07 + i 2.681476e+07 ; -1.656476e+07 + i 1.933158e+06 ; -3.880198e+09 + i 9.353214e+08 ; 1.762601e+07 + i -2.172879e+06 ; -3.595777e+07 + i 1.054381e+07 ; -4.014075e+08 + i 1.704129e+08 ; 8.515626e+06 + i -2.446299e+06 ; 6.945381e+07 + i -2.158480e+07 ; 8.244624e+08 + i -3.673352e+08 ; -7.177794e+07 + i 2.169988e+07 ; 2.039784e+08 + i -9.539759e+07 ; -1.864135e+08 + i 4.207787e+07 ; -1.111203e+07 + i 6.723677e+06 ; -2.441693e+06 + i 2.115716e+05 ; -5.076925e+06 + i 3.978450e+06 ; 2.515918e+06 + i -9.577793e+05 ; -1.263887e+06 + i -1.257439e+05 ; -2.322604e+06 + i 1.604221e+06 ; 6.987338e+05 + i -3.357241e+05 ; 1.765135e+07 + i -7.976334e+06 ; -4.888716e+06 + i 3.706115e+06 ; -1.178878e+06 + i 9.027114e+05 ; 1.077893e+07 + i -4.389458e+06 ; -2.128341e+06 + i 1.466020e+06 ; 3.956043e+04 + i 7.979133e+04 ; -1.754605e+06 + i -3.535987e+05 ; -6.058202e+06 + i 5.473162e+06 ; 1.737413e+06 + i -5.975480e+05 ; -7.853810e+05 + i -4.769956e+05 ; -3.000740e+06 + i 1.910344e+06 ; 5.405476e+05 + i -2.507074e+05 ; 3.098814e+07 + i -1.185968e+07 ; -6.672108e+06 + i 5.346355e+06 ; 9.282732e+05 + i -2.602546e+05 ; 1.723396e+07 + i -5.650461e+06 ; -2.676431e+06 + i 1.724312e+06 ; 4.408856e+05 + i -1.651071e+05 ; 
-6.725352e+07 + i 2.191619e+07 ; -6.572907e+07 + i 2.163951e+07 ; 8.248872e+08 + i -3.672254e+08 ; -2.038490e+08 + i 9.551141e+07 ; -1.043635e+07 + i 6.444649e+06 ; -1.866441e+08 + i 4.204052e+07 ; -1.157972e+07 + i 6.712840e+06 ; -2.010363e+08 + i 9.485323e+07 ; -1.871344e+08 + i 4.227302e+07 ; -4.351742e+07 + i 2.635329e+07 ; -4.148415e+07 + i 2.575050e+07 ; -1.988278e+07 + i 2.531499e+07 ; 1.619824e+07 + i -2.094487e+06 ; 1.668887e+07 + i -2.299175e+06 ; -3.880153e+09 + i 9.353412e+08 ; 3.353333e+07 + i -1.095122e+07 ; 7.740862e+06 + i -2.483236e+06 ; -4.012196e+08 + i 1.704000e+08 ; 7.466481e+06 + i -2.309291e+06 ; 3.421301e+07 + i -1.125853e+07 ; -4.016892e+08 + i 1.706434e+08 ; 1.500514e+07 + i -6.082466e+06 ; 1.534721e+07 + i -6.330194e+06 ; -2.333226e+07 + i 3.527719e+07 ; -3.109420e+07 + i 1.185543e+07 ; 8.283430e+05 + i -2.644765e+05 ; -6.784274e+06 + i 5.323944e+06 ; -1.730771e+07 + i 5.644623e+06 ; 3.985261e+05 + i -1.622646e+05 ; -2.682746e+06 + i 1.725648e+06 ; -1.766186e+07 + i 7.987193e+06 ; -1.098787e+06 + i 8.543949e+05 ; -4.946655e+06 + i 3.699689e+06 ; -1.079762e+07 + i 4.396480e+06 ; 3.404377e+04 + i 7.307046e+04 ; -2.135517e+06 + i 1.466284e+06 ; 1.507758e+06 + i 2.900631e+05 ; 1.608243e+06 + i -5.853615e+05 ; -6.068040e+06 + i 5.472297e+06 ; 6.536874e+05 + i 4.388980e+05 ; 4.988810e+05 + i -2.427149e+05 ; -3.005091e+06 + i 1.911364e+06 ; 2.340964e+06 + i -2.283020e+05 ; 2.319487e+06 + i -9.350382e+05 ; -5.087344e+06 + i 3.974860e+06 ; 1.203640e+06 + i 1.152168e+05 ; 6.448186e+05 + i -3.242252e+05 ; -2.327583e+06 + i 1.604606e+06 ; 
-1.853566e+08 + i 4.074483e+07 ; -1.061984e+07 + i 6.817548e+06 ; 2.274160e+08 + i -9.823204e+07 ; -3.963856e+08 + i 1.681844e+08 ; 6.521146e+06 + i -2.031246e+06 ; -2.846249e+07 + i 1.061295e+07 ; -1.904040e+07 + i 2.463125e+07 ; -4.285881e+07 + i 2.624858e+07 ; 4.727891e+07 + i -2.725081e+07 ; -2.210795e+07 + i 3.415539e+07 ; 1.368710e+07 + i -5.631750e+06 ; -1.449767e+07 + i 5.564555e+06 ; 8.315993e+08 + i -3.690038e+08 ; -7.010139e+07 + i 2.148616e+07 ; 6.753498e+07 + i -2.205013e+07 ; -3.866231e+09 + i 9.315431e+08 ; 1.555841e+07 + i -1.635665e+06 ; -1.690777e+07 + i 1.360929e+06 ; -1.836462e+08 + i 4.099236e+07 ; -2.066398e+08 + i 9.582302e+07 ; 1.152874e+07 + i -6.834739e+06 ; -3.966049e+08 + i 1.681851e+08 ; 3.478139e+07 + i -9.944362e+06 ; -7.196234e+06 + i 1.934147e+06 ; 1.661342e+07 + i -1.676309e+07 ; 7.811687e+06 + i -3.666298e+06 ; -6.626048e+07 + i 2.902309e+07 ; 1.492142e+07 + i -1.225731e+07 ; -2.624954e+05 + i -4.309376e+05 ; -3.343373e+06 + i 3.708675e+06 ; -5.685573e+06 + i -1.073983e+06 ; 2.571619e+07 + i -1.411500e+07 ; -2.876961e+07 + i 1.458253e+07 ; 3.559803e+05 + i -3.531791e+06 ; 2.641899e+06 + i -2.400321e+06 ; -3.070582e+06 + i 2.544684e+06 ; 1.643166e+08 + i -7.027531e+07 ; 2.026423e+07 + i -6.793499e+06 ; -2.421517e+07 + i 6.617072e+06 ; 8.366386e+07 + i -2.955814e+07 ; -4.382774e+05 + i -9.438750e+05 ; 2.533577e+05 + i 1.079671e+06 ; 1.612857e+07 + i -1.679891e+07 ; 5.921126e+07 + i -2.840947e+07 ; -9.370498e+06 + i 3.728661e+06 ; 1.465847e+07 + i -1.229661e+07 ; 2.818599e+06 + i -3.455963e+06 ; 1.022756e+05 + i 4.879818e+05 ; 
1.780570e+07 + i -6.773024e+06 ; -2.334460e+07 + i 3.536721e+07 ; 1.767404e+07 + i -6.451082e+06 ; 8.730201e+06 + i -2.756332e+06 ; -3.987106e+08 + i 1.695074e+08 ; 3.893040e+07 + i -1.125365e+07 ; -4.487634e+07 + i 2.652366e+07 ; -1.986462e+07 + i 2.530705e+07 ; -4.585651e+07 + i 2.720575e+07 ; -7.039744e+06 + i 5.655726e+06 ; -1.841171e+08 + i 4.141009e+07 ; -2.257326e+08 + i 9.809896e+07 ; 4.094171e+07 + i -1.109509e+07 ; -4.018346e+08 + i 1.703029e+08 ; 8.800763e+06 + i -2.458362e+06 ; 1.889359e+07 + i -2.281728e+06 ; -3.876152e+09 + i 9.341248e+08 ; 1.819827e+07 + i -2.073676e+06 ; -2.238048e+08 + i 9.763210e+07 ; -1.863370e+08 + i 4.210562e+07 ; -1.045764e+07 + i 6.777421e+06 ; -7.005890e+07 + i 1.973706e+07 ; 8.281696e+08 + i -3.681359e+08 ; -7.449756e+07 + i 2.143530e+07 ; -9.833163e+06 + i 3.445630e+06 ; -3.247370e+07 + i 1.842563e+07 ; 7.785160e+06 + i -2.342633e+06 ; -7.140189e+06 + i 2.079375e+06 ; -5.041488e+06 + i 3.980651e+06 ; 1.789989e+06 + i -8.327998e+05 ; 2.940741e+07 + i -1.464312e+07 ; -2.426929e+07 + i 1.249487e+07 ; -1.621215e+07 + i 7.956842e+06 ; 1.718784e+07 + i -7.705166e+06 ; -4.882711e+06 + i 3.702035e+06 ; -1.553180e+05 + i 6.429574e+05 ; -1.613703e+07 + i 4.708262e+06 ; -7.712819e+07 + i 3.366123e+07 ; 4.655957e+06 + i -1.004293e+06 ; -1.056130e+07 + i 2.249472e+06 ; -5.987989e+06 + i 5.489487e+06 ; 1.254788e+06 + i -5.354840e+05 ; 6.416816e+07 + i -2.936900e+07 ; -5.043277e+07 + i 1.735866e+07 ; -3.521368e+06 + i 1.122600e+06 ; 3.372287e+07 + i -1.272466e+07 ; -6.648683e+06 + i 5.347894e+06 ; 8.790466e+05 + i -8.930854e+04 ; 
2.246905e+08 + i -9.746320e+07 ; -1.099553e+07 + i 6.375545e+06 ; -1.881089e+08 + i 4.188669e+07 ; 6.153294e+07 + i -2.028708e+07 ; -6.743920e+07 + i 2.168863e+07 ; 8.279200e+08 + i -3.681725e+08 ; 4.479435e+07 + i -2.661338e+07 ; -4.257599e+07 + i 2.601888e+07 ; -1.994185e+07 + i 2.539509e+07 ; 7.929511e+06 + i -5.475872e+06 ; -2.056609e+08 + i 9.560498e+07 ; -1.840810e+08 + i 4.146018e+07 ; -3.164567e+07 + i 1.181129e+07 ; 8.131100e+06 + i -2.482187e+06 ; -4.010505e+08 + i 1.704210e+08 ; -1.924806e+07 + i 2.230905e+06 ; 1.706905e+07 + i -2.288443e+06 ; -3.875751e+09 + i 9.342868e+08 ; -1.716718e+07 + i 6.660663e+06 ; 1.631214e+07 + i -6.266024e+06 ; -2.326652e+07 + i 3.528258e+07 ; -8.392948e+06 + i 2.806108e+06 ; 3.531489e+07 + i -1.139238e+07 ; -3.982242e+08 + i 1.695795e+08 ; -6.376681e+07 + i 2.933943e+07 ; -2.640899e+06 + i 1.165338e+06 ; -4.998919e+07 + i 1.737677e+07 ; -3.343476e+07 + i 1.271230e+07 ; 8.627258e+05 + i -1.147298e+05 ; -6.607192e+06 + i 5.341234e+06 ; -2.913675e+07 + i 1.461345e+07 ; -1.426470e+07 + i 7.763997e+06 ; -2.412410e+07 + i 1.249034e+07 ; -1.697466e+07 + i 7.694084e+06 ; -6.711212e+04 + i 5.861869e+05 ; -4.855651e+06 + i 3.698430e+06 ; 1.800840e+07 + i -4.561720e+06 ; 4.140918e+06 + i -1.067965e+06 ; -7.719797e+07 + i 3.364510e+07 ; 1.151854e+07 + i -2.113902e+06 ; 1.099814e+06 + i -5.276965e+05 ; -6.030039e+06 + i 5.478625e+06 ; 1.051578e+07 + i -3.439135e+06 ; 7.012269e+06 + i -2.370501e+06 ; -3.250168e+07 + i 1.841759e+07 ; 7.559317e+06 + i -2.065578e+06 ; 1.592745e+06 + i -8.128073e+05 ; -5.079944e+06 + i 3.972856e+06 ; 
-2.272714e+07 + i 3.499295e+07 ; 1.785879e+07 + i -6.390440e+06 ; 1.786148e+07 + i -6.390236e+06 ; -1.894794e+07 + i 2.457037e+07 ; -4.661923e+07 + i 2.690921e+07 ; -4.661215e+07 + i 2.691243e+07 ; -4.001461e+08 + i 1.698275e+08 ; 8.842039e+06 + i -2.455949e+06 ; 3.847895e+07 + i -1.118699e+07 ; -1.838466e+08 + i 4.089339e+07 ; -1.071819e+07 + i 6.599958e+06 ; -2.257828e+08 + i 9.830762e+07 ; -4.001395e+08 + i 1.698301e+08 ; 3.847691e+07 + i -1.118784e+07 ; 8.838695e+06 + i -2.454029e+06 ; -1.838416e+08 + i 4.089878e+07 ; -2.257785e+08 + i 9.831197e+07 ; -1.075856e+07 + i 6.589088e+06 ; -3.876582e+09 + i 9.345202e+08 ; 1.804545e+07 + i -2.122793e+06 ; 1.803825e+07 + i -2.120069e+06 ; 8.316395e+08 + i -3.689995e+08 ; -7.329495e+07 + i 2.157997e+07 ; -7.331220e+07 + i 2.157191e+07 ; 2.651038e+05 + i -3.540554e+06 ; -3.429330e+06 + i 2.779003e+06 ; -3.429402e+06 + i 2.778774e+06 ; 2.543722e+06 + i -3.700162e+06 ; -7.599056e+05 + i 6.660480e+05 ; -7.597487e+05 + i 6.661241e+05 ; 1.478717e+07 + i -1.226986e+07 ; 1.477177e+06 + i -4.292012e+04 ; -5.686120e+06 + i 4.289630e+06 ; 1.183935e+07 + i -8.280214e+06 ; 7.134812e+05 + i -2.047819e+05 ; -1.079609e+06 + i 8.704770e+05 ; 1.479179e+07 + i -1.226812e+07 ; -5.687064e+06 + i 4.289502e+06 ; 1.473410e+06 + i -4.400995e+04 ; 1.184098e+07 + i -8.279248e+06 ; -1.079482e+06 + i 8.705110e+05 ; 7.128785e+05 + i -2.047166e+05 ; 8.370684e+07 + i -2.955919e+07 ; 1.177547e+06 + i 3.235641e+05 ; 1.180471e+06 + i 3.237718e+05 ; 4.464526e+07 + i -1.350988e+07 ; 7.111219e+05 + i -1.853043e+05 ; 7.111885e+05 + i -1.851953e+05 ; 
-1.180502e+07 + i 6.774881e+06 ; -1.886118e+08 + i 4.215491e+07 ; 2.274515e+08 + i -9.812128e+07 ; -4.473927e+07 + i 2.662682e+07 ; -2.004728e+07 + i 2.538035e+07 ; 4.709646e+07 + i -2.713388e+07 ; 7.812162e+06 + i -2.279929e+06 ; -4.016440e+08 + i 1.706361e+08 ; -3.151822e+07 + i 1.139772e+07 ; 1.581588e+07 + i -6.009973e+06 ; -2.328783e+07 + i 3.528038e+07 ; -1.695469e+07 + i 6.374611e+06 ; -6.924838e+07 + i 2.197743e+07 ; 8.241528e+08 + i -3.673695e+08 ; 6.683671e+07 + i -2.183954e+07 ; -2.089634e+08 + i 9.636685e+07 ; -1.867716e+08 + i 4.209271e+07 ; 1.114968e+07 + i -6.697137e+06 ; 1.665385e+07 + i -2.032735e+06 ; -3.880012e+09 + i 9.353838e+08 ; -1.919345e+07 + i 1.785856e+06 ; 3.483765e+07 + i -1.093148e+07 ; -4.011634e+08 + i 1.704168e+08 ; -8.794872e+06 + i 2.472501e+06 ; -1.811243e+07 + i 8.049609e+06 ; -4.933267e+06 + i 3.707590e+06 ; 1.191048e+06 + i -9.243781e+05 ; -1.106384e+07 + i 4.423480e+06 ; -2.131984e+06 + i 1.467043e+06 ; -4.539393e+04 + i -8.185609e+04 ; 2.462742e+06 + i -1.978749e+05 ; -5.073528e+06 + i 3.980353e+06 ; -2.608563e+06 + i 9.574444e+05 ; 1.265336e+06 + i 1.378053e+05 ; -2.324172e+06 + i 1.604922e+06 ; -7.270002e+05 + i 3.376387e+05 ; -3.181459e+07 + i 1.193186e+07 ; -6.783691e+06 + i 5.329403e+06 ; -1.019534e+06 + i 2.483845e+05 ; -1.769637e+07 + i 5.667773e+06 ; -2.681898e+06 + i 1.726303e+06 ; -4.619935e+05 + i 1.668365e+05 ; 1.621265e+06 + i 3.237600e+05 ; -6.060867e+06 + i 5.475515e+06 ; -1.813066e+06 + i 5.941388e+05 ; 7.130841e+05 + i 4.644398e+05 ; -3.001263e+06 + i 1.911764e+06 ; -5.634689e+05 + i 2.520925e+05 ; 
-1.181096e+07 + i 6.777846e+06 ; 2.274518e+08 + i -9.812208e+07 ; -1.886135e+08 + i 4.215160e+07 ; -4.473917e+07 + i 2.662602e+07 ; 4.709671e+07 + i -2.713476e+07 ; -2.004711e+07 + i 2.537725e+07 ; -6.926155e+07 + i 2.197540e+07 ; 6.684288e+07 + i -2.183800e+07 ; 8.242487e+08 + i -3.673399e+08 ; -2.089619e+08 + i 9.636723e+07 ; 1.115333e+07 + i -6.695813e+06 ; -1.867381e+08 + i 4.208731e+07 ; 7.811443e+06 + i -2.277055e+06 ; -3.150345e+07 + i 1.140303e+07 ; -4.014778e+08 + i 1.706771e+08 ; 1.583256e+07 + i -6.006318e+06 ; -1.694833e+07 + i 6.375549e+06 ; -2.327422e+07 + i 3.527152e+07 ; 1.662103e+07 + i -2.036282e+06 ; -1.919372e+07 + i 1.785928e+06 ; -3.879981e+09 + i 9.354055e+08 ; 3.484208e+07 + i -1.092978e+07 ; -8.794619e+06 + i 2.472340e+06 ; -4.011443e+08 + i 1.704056e+08 ; -1.811065e+07 + i 8.048900e+06 ; 1.190744e+06 + i -9.245536e+05 ; -4.932401e+06 + i 3.706916e+06 ; -1.106318e+07 + i 4.423232e+06 ; -4.556036e+04 + i -8.192332e+04 ; -2.131782e+06 + i 1.466885e+06 ; -3.181505e+07 + i 1.193204e+07 ; -1.018861e+06 + i 2.485814e+05 ; -6.779286e+06 + i 5.329466e+06 ; -1.769643e+07 + i 5.667962e+06 ; -4.617326e+05 + i 1.668818e+05 ; -2.681156e+06 + i 1.726105e+06 ; 2.468279e+06 + i -1.974630e+05 ; -2.608167e+06 + i 9.575201e+05 ; -5.073741e+06 + i 3.979025e+06 ; 1.269218e+06 + i 1.385501e+05 ; -7.270698e+05 + i 3.375877e+05 ; -2.324951e+06 + i 1.604732e+06 ; 1.624293e+06 + i 3.232417e+05 ; -1.812843e+06 + i 5.942829e+05 ; -6.058800e+06 + i 5.475272e+06 ; 7.138525e+05 + i 4.642616e+05 ; -5.632870e+05 + i 2.521179e+05 ; -3.001980e+06 + i 1.911551e+06 ; 
-1.910016e+07 + i 2.472242e+07 ; 4.847945e+07 + i -2.759753e+07 ; 4.847116e+07 + i -2.760109e+07 ; -2.198289e+07 + i 3.418802e+07 ; -1.637407e+07 + i 5.269818e+06 ; -1.637705e+07 + i 5.269464e+06 ; -1.852489e+08 + i 4.080855e+07 ; 1.199314e+07 + i -6.708923e+06 ; 2.341636e+08 + i -9.881084e+07 ; -3.963207e+08 + i 1.682016e+08 ; -7.100533e+06 + i 2.035780e+06 ; -2.988985e+07 + i 1.052265e+07 ; -1.852548e+08 + i 4.081012e+07 ; 2.341604e+08 + i -9.881549e+07 ; 1.203977e+07 + i -6.696288e+06 ; -3.962932e+08 + i 1.682091e+08 ; -2.988902e+07 + i 1.052202e+07 ; -7.094713e+06 + i 2.034607e+06 ; 8.308288e+08 + i -3.691624e+08 ; 6.949533e+07 + i -2.203549e+07 ; 6.951461e+07 + i -2.202720e+07 ; -3.866141e+09 + i 9.315688e+08 ; -1.729033e+07 + i 1.280251e+06 ; -1.727918e+07 + i 1.279170e+06 ; -5.593551e+06 + i -1.095366e+06 ; -2.906650e+07 + i 1.481561e+07 ; -2.906348e+07 + i 1.481656e+07 ; 4.266454e+05 + i -3.539959e+06 ; -3.082022e+06 + i 2.577216e+06 ; -3.080763e+06 + i 2.577456e+06 ; 1.656363e+07 + i -1.677301e+07 ; -8.778781e+06 + i 3.874320e+06 ; -6.818527e+07 + i 2.921805e+07 ; 1.489425e+07 + i -1.226344e+07 ; 1.947981e+05 + i 4.907784e+05 ; -3.455648e+06 + i 3.774911e+06 ; 1.657434e+07 + i -1.677231e+07 ; -6.818578e+07 + i 2.921895e+07 ; -8.791296e+06 + i 3.870521e+06 ; 1.489930e+07 + i -1.226287e+07 ; -3.454972e+06 + i 3.775170e+06 ; 1.904308e+05 + i 4.903911e+05 ; 1.643356e+08 + i -7.027806e+07 ; -2.475182e+07 + i 6.610377e+06 ; -2.475542e+07 + i 6.607901e+06 ; 8.366451e+07 + i -2.955917e+07 ; 2.618499e+05 + i 1.107738e+06 ; 2.576823e+05 + i 1.107398e+06 ; 
4.615383e+07 + i -2.683712e+07 ; -2.006920e+07 + i 2.545562e+07 ; 4.811248e+07 + i -2.738592e+07 ; 8.108373e+06 + i -5.365588e+06 ; -1.854588e+08 + i 4.135018e+07 ; 2.334104e+08 + i -9.844873e+07 ; -1.919319e+07 + i 6.332725e+06 ; -2.317692e+07 + i 3.531088e+07 ; -1.904579e+07 + i 6.071927e+06 ; -8.883854e+06 + i 2.772528e+06 ; -3.981302e+08 + i 1.695853e+08 ; -3.317940e+07 + i 1.147345e+07 ; 2.309707e+08 + i -9.794470e+07 ; -1.881103e+08 + i 4.194816e+07 ; 1.167004e+07 + i -6.497526e+06 ; 6.373368e+07 + i -2.028342e+07 ; 8.272591e+08 + i -3.683055e+08 ; 6.897180e+07 + i -2.177693e+07 ; -3.346504e+07 + i 1.177324e+07 ; -4.009827e+08 + i 1.704494e+08 ; -8.993437e+06 + i 2.499230e+06 ; -1.960968e+07 + i 2.188252e+06 ; -3.875640e+09 + i 9.343133e+08 ; -1.950418e+07 + i 1.770794e+06 ; -3.017326e+07 + i 1.471976e+07 ; -2.418398e+07 + i 1.249751e+07 ; 1.661935e+07 + i -8.036853e+06 ; -1.758081e+07 + i 7.727530e+06 ; -4.844430e+06 + i 3.703421e+06 ; 1.521425e+05 + i -6.574462e+05 ; 1.044666e+07 + i -3.503967e+06 ; -3.250712e+07 + i 1.841805e+07 ; -7.951625e+06 + i 2.320326e+06 ; 7.582910e+06 + i -2.094483e+06 ; -5.070076e+06 + i 3.975908e+06 ; -1.849739e+06 + i 8.369862e+05 ; -6.562576e+07 + i 2.952381e+07 ; -5.001124e+07 + i 1.737611e+07 ; 3.456888e+06 + i -1.130955e+06 ; -3.439982e+07 + i 1.274396e+07 ; -6.603751e+06 + i 5.342700e+06 ; -9.163299e+05 + i 8.549381e+04 ; 1.820768e+07 + i -4.550564e+06 ; -7.716686e+07 + i 3.364954e+07 ; -4.783978e+06 + i 9.843869e+05 ; 1.166625e+07 + i -2.092373e+06 ; -6.015967e+06 + i 5.480498e+06 ; -1.297714e+06 + i 5.369914e+05 ; 
