-1.030071e+10 + i 1.116796e+10 ; -5.206501e+07 + i 7.786434e+07 ; -5.201424e+07 + i 7.789663e+07 ; 1.868730e+08 + i -2.850063e+09 ; 6.716856e+07 + i -2.660779e+08 ; 6.706050e+07 + i -2.660376e+08 ; -1.978963e+08 + i 1.378707e+09 ; -4.558013e+07 + i 1.443356e+08 ; 1.205754e+06 + i 3.738522e+07 ; -3.742436e+08 + i 7.735946e+08 ; -1.920464e+07 + i -6.453703e+08 ; -2.663108e+07 + i -3.238296e+07 ; -1.977908e+08 + i 1.378680e+09 ; 1.039021e+06 + i 3.729780e+07 ; -4.566032e+07 + i 1.443197e+08 ; -3.740264e+08 + i 7.736306e+08 ; -2.612321e+07 + i -3.257533e+07 ; -1.918328e+07 + i -6.453705e+08 ; 2.527813e+08 + i 1.559351e+07 ; 6.400694e+06 + i 5.969293e+07 ; 6.592203e+06 + i 5.962489e+07 ; 2.203998e+08 + i 4.023653e+07 ; -5.480497e+07 + i -1.112360e+08 ; -5.481440e+07 + i -1.112978e+08 ; 8.724834e+07 + i -3.094086e+08 ; -7.184236e+06 + i 6.377761e+06 ; -7.174326e+06 + i 6.381007e+06 ; 7.233892e+07 + i -1.697064e+08 ; 2.141566e+05 + i 3.002564e+06 ; 2.174134e+05 + i 3.002640e+06 ; -6.246722e+07 + i -3.821101e+07 ; -1.291888e+07 + i -9.024652e+06 ; -3.035255e+06 + i 6.726105e+06 ; -3.997392e+07 + i -3.856438e+07 ; -1.208526e+06 + i -9.745176e+05 ; 3.051349e+05 + i 2.375611e+06 ; -6.239650e+07 + i -3.822774e+07 ; -3.002261e+06 + i 6.689622e+06 ; -1.291331e+07 + i -9.023052e+06 ; -3.993496e+07 + i -3.856017e+07 ; 3.032060e+05 + i 2.369684e+06 ; -1.209489e+06 + i -9.738054e+05 ; -1.476894e+07 + i 2.648719e+07 ; -6.927528e+06 + i -4.305985e+06 ; -6.939853e+06 + i -4.296668e+06 ; -1.506146e+07 + i 1.248822e+07 ; -8.953303e+05 + i -8.726982e+05 ; -8.939410e+05 + i -8.714779e+05 ; 
-5.113016e+07 + i -1.413055e+08 ; -4.850416e+07 + i -1.494851e+08 ; 2.286605e+08 + i 4.553637e+07 ; -2.564419e+07 + i -2.406218e+07 ; 1.103314e+08 + i -8.113518e+08 ; -3.797664e+08 + i 7.808848e+08 ; 1.043712e+08 + i -8.011702e+08 ; -2.152441e+07 + i -3.802664e+07 ; -3.848475e+08 + i 7.925393e+08 ; 5.995647e+07 + i -2.586967e+08 ; 6.801021e+07 + i -2.795895e+08 ; 1.683675e+08 + i -2.833161e+09 ; -1.890679e+07 + i 7.383500e+07 ; -2.144449e+07 + i 7.404762e+07 ; 2.568472e+08 + i 1.702478e+07 ; -2.772200e+05 + i 4.372706e+07 ; -1.874866e+07 + i 1.333719e+08 ; -1.925721e+08 + i 1.371809e+09 ; -1.587707e+07 + i 1.345237e+08 ; -3.909424e+06 + i 4.544383e+07 ; -1.971859e+08 + i 1.384760e+09 ; -7.146831e+07 + i 8.614529e+07 ; -7.670487e+07 + i 8.627962e+07 ; -1.030492e+10 + i 1.116597e+10 ; 3.389065e+06 + i 9.819028e+07 ; 3.729949e+04 + i -5.339869e+07 ; 2.417074e+07 + i 8.259421e+07 ; -1.795516e+06 + i 6.118986e+07 ; -4.499734e+06 + i 1.493515e+06 ; 9.235969e+06 + i 6.973893e+06 ; -1.084774e+07 + i 2.235986e+08 ; 4.496161e+06 + i -1.262173e+07 ; -4.689479e+07 + i 1.894920e+08 ; -2.587014e+07 + i 1.281709e+08 ; -3.330530e+06 + i 3.993997e+06 ; 2.400262e+07 + i 1.562008e+07 ; 6.818974e+06 + i -4.262630e+07 ; -1.156289e+07 + i 3.148652e+07 ; 3.375781e+07 + i 1.016904e+08 ; 8.422481e+06 + i -3.333633e+07 ; 1.470699e+06 + i 7.046218e+06 ; 9.289360e+06 + i 7.222563e+06 ; 3.621611e+07 + i -7.400258e+07 ; -1.116698e+07 + i 2.033577e+07 ; -2.665324e+07 + i 2.649528e+08 ; 3.240803e+07 + i -4.984417e+07 ; 1.076461e+06 + i 5.396610e+06 ; 2.486712e+07 + i 1.201317e+07 ; 
8.865209e+07 + i -3.089183e+08 ; 1.140244e+07 + i -6.292359e+06 ; 1.140409e+07 + i -6.297220e+06 ; 7.146763e+07 + i -5.667484e+08 ; -1.146268e+07 + i 7.388824e+07 ; -1.142432e+07 + i 7.388714e+07 ; -6.219607e+07 + i -3.835949e+07 ; 1.560582e+07 + i 1.107614e+04 ; 2.974918e+06 + i -4.417478e+06 ; -8.856273e+07 + i -2.868851e+07 ; 1.461879e+07 + i 1.817433e+08 ; 5.422779e+06 + i 2.620828e+07 ; -6.217414e+07 + i -3.835003e+07 ; 3.011605e+06 + i -4.388778e+06 ; 1.562535e+07 + i 1.939487e+04 ; -8.851598e+07 + i -2.865315e+07 ; 5.315537e+06 + i 2.625858e+07 ; 1.459987e+07 + i 1.817480e+08 ; -1.481616e+07 + i 2.648608e+07 ; 5.908472e+06 + i 2.261927e+06 ; 5.844516e+06 + i 2.292626e+06 ; -1.075966e+07 + i 5.067725e+07 ; 1.954792e+07 + i 7.300816e+07 ; 1.952466e+07 + i 7.302853e+07 ; -1.028924e+10 + i 1.112967e+10 ; -5.172841e+07 + i 7.151195e+07 ; -5.168055e+07 + i 7.154640e+07 ; 1.869364e+08 + i -2.850399e+09 ; 6.863597e+07 + i -2.708270e+08 ; 6.852801e+07 + i -2.707819e+08 ; -2.028848e+08 + i 1.368108e+09 ; -4.612744e+07 + i 1.369324e+08 ; 2.592070e+06 + i 3.109233e+07 ; -3.745026e+08 + i 7.741992e+08 ; -1.822765e+07 + i -6.497242e+08 ; -2.833860e+07 + i -3.334567e+07 ; -2.027636e+08 + i 1.368065e+09 ; 2.433036e+06 + i 3.100620e+07 ; -4.620705e+07 + i 1.369130e+08 ; -3.742877e+08 + i 7.742359e+08 ; -2.781269e+07 + i -3.353391e+07 ; -1.820736e+07 + i -6.497250e+08 ; 2.484478e+08 + i 1.700356e+07 ; 7.609360e+06 + i 5.129870e+07 ; 7.817100e+06 + i 5.123096e+07 ; 2.205606e+08 + i 4.038228e+07 ; -5.650567e+07 + i -1.128360e+08 ; -5.650972e+07 + i -1.129016e+08 ; 
1.375288e+07 + i -4.030160e+07 ; 2.617851e+07 + i 1.210913e+07 ; 2.000601e+06 + i 3.767072e+06 ; 9.930909e+06 + i -5.597610e+07 ; -2.673531e+07 + i 2.653582e+08 ; -4.851171e+06 + i 1.735724e+07 ; -4.198565e+06 + i 1.052430e+08 ; 2.366498e+07 + i 1.609976e+07 ; -2.161501e+06 + i 4.083382e+06 ; 1.941233e+07 + i 1.787060e+08 ; -5.073971e+07 + i 1.917184e+08 ; -1.535844e+06 + i -8.504325e+06 ; 1.915868e+06 + i -2.557038e+07 ; 9.830211e+06 + i 6.866314e+06 ; 2.415745e+06 + i 4.970887e+06 ; -5.511265e+05 + i -3.190285e+07 ; 3.431426e+07 + i 1.015787e+08 ; -3.678447e+06 + i 2.636286e+07 ; 7.115565e+06 + i 4.822807e+07 ; 8.888230e+06 + i 7.225483e+06 ; -3.355599e+06 + i 2.192970e+06 ; 1.605568e+07 + i 7.617615e+07 ; 2.367969e+07 + i 8.301694e+07 ; -9.743417e+06 + i -4.015871e+07 ; -4.847441e+07 + i 7.561694e+07 ; -1.030517e+10 + i 1.116595e+10 ; -5.122928e+07 + i 7.742060e+07 ; -4.356386e+07 + i 1.422079e+08 ; -1.991401e+08 + i 1.386225e+09 ; 7.486939e+05 + i 3.748341e+07 ; 6.350580e+07 + i -2.462642e+08 ; 1.767664e+08 + i -2.836320e+09 ; 6.644581e+07 + i -2.655471e+08 ; -2.148219e+07 + i -6.395482e+08 ; -3.724117e+08 + i 7.849467e+08 ; -2.654184e+07 + i -3.301865e+07 ; 2.755137e+06 + i 3.592682e+07 ; -1.934409e+08 + i 1.373396e+09 ; -4.482172e+07 + i 1.437971e+08 ; 7.473669e+06 + i 5.984311e+07 ; 2.554310e+08 + i 1.717057e+07 ; 6.220811e+06 + i 5.975026e+07 ; -2.753658e+07 + i -2.060352e+07 ; -3.678936e+08 + i 7.743483e+08 ; -1.950633e+07 + i -6.460078e+08 ; -5.637841e+07 + i -1.053468e+08 ; 2.247599e+08 + i 4.154886e+07 ; -5.487007e+07 + i -1.123606e+08 ; 
1.376266e+07 + i -4.032192e+07 ; 2.001828e+06 + i 3.768119e+06 ; 2.621286e+07 + i 1.206370e+07 ; 9.946617e+06 + i -5.598336e+07 ; -4.846451e+06 + i 1.736136e+07 ; -2.665745e+07 + i 2.653275e+08 ; 1.900357e+06 + i -2.557280e+07 ; 2.419091e+06 + i 4.970737e+06 ; 9.849730e+06 + i 6.821435e+06 ; -5.769227e+05 + i -3.188448e+07 ; -3.693098e+06 + i 2.636630e+07 ; 3.443028e+07 + i 1.016366e+08 ; -4.223695e+06 + i 1.052430e+08 ; -2.162830e+06 + i 4.092721e+06 ; 2.368941e+07 + i 1.612288e+07 ; 1.939322e+07 + i 1.787105e+08 ; -1.564327e+06 + i -8.492235e+06 ; -5.080407e+07 + i 1.917704e+08 ; 7.181931e+06 + i 4.816432e+07 ; -3.337892e+06 + i 2.192267e+06 ; 8.861479e+06 + i 7.225964e+06 ; 1.608153e+07 + i 7.615265e+07 ; -9.738179e+06 + i -4.016623e+07 ; 2.375033e+07 + i 8.302367e+07 ; -4.849643e+07 + i 7.567562e+07 ; -5.121864e+07 + i 7.742787e+07 ; -1.030573e+10 + i 1.116603e+10 ; -4.360415e+07 + i 1.421932e+08 ; 7.584504e+05 + i 3.749010e+07 ; -1.989354e+08 + i 1.386333e+09 ; 2.830540e+06 + i 3.595365e+07 ; -4.501094e+07 + i 1.438267e+08 ; -1.953358e+08 + i 1.373788e+09 ; 7.664445e+06 + i 5.977893e+07 ; 6.171967e+06 + i 5.978834e+07 ; 2.560526e+08 + i 1.762990e+07 ; 6.357703e+07 + i -2.462497e+08 ; 6.632841e+07 + i -2.655417e+08 ; 1.759185e+08 + i -2.835978e+09 ; -2.142777e+07 + i -6.395585e+08 ; -2.661231e+07 + i -3.296905e+07 ; -3.725617e+08 + i 7.851377e+08 ; -2.779654e+07 + i -2.041440e+07 ; -1.954876e+07 + i -6.460376e+08 ; -3.682333e+08 + i 7.740933e+08 ; -5.650070e+07 + i -1.052837e+08 ; -5.489542e+07 + i -1.123326e+08 ; 2.248659e+08 + i 4.176017e+07 ; 
7.291745e+07 + i -1.691598e+08 ; -2.673271e+05 + i -3.208262e+06 ; -2.722327e+05 + i -3.204663e+06 ; 8.838439e+07 + i -3.096414e+08 ; 7.819993e+06 + i -6.669314e+06 ; 7.825309e+06 + i -6.667959e+06 ; -3.984400e+07 + i -3.861773e+07 ; 1.231745e+06 + i 1.030126e+06 ; -3.486106e+05 + i -2.503842e+06 ; -6.242352e+07 + i -3.869376e+07 ; 1.339913e+07 + i 9.602747e+06 ; 3.379049e+06 + i -7.038539e+06 ; -3.981302e+07 + i -3.861250e+07 ; -3.416748e+05 + i -2.501127e+06 ; 1.234276e+06 + i 1.028687e+06 ; -6.235566e+07 + i -3.867595e+07 ; 3.356071e+06 + i -7.011114e+06 ; 1.338882e+07 + i 9.601014e+06 ; -1.514146e+07 + i 1.247641e+07 ; 9.119404e+05 + i 9.191534e+05 ; 9.078074e+05 + i 9.246401e+05 ; -1.507666e+07 + i 2.636334e+07 ; 7.197138e+06 + i 4.566009e+06 ; 7.178026e+06 + i 4.566690e+06 ; 1.925098e+08 + i -2.850167e+09 ; -7.589888e+07 + i 2.747019e+08 ; -7.570289e+07 + i 2.746672e+08 ; -1.030440e+10 + i 1.116724e+10 ; 5.406447e+07 + i -7.945804e+07 ; 5.403885e+07 + i -7.949952e+07 ; -3.727787e+08 + i 7.730740e+08 ; 7.200506e+06 + i 6.705951e+08 ; 2.675940e+07 + i 3.426955e+07 ; -1.994422e+08 + i 1.378968e+09 ; 5.044967e+07 + i -1.487142e+08 ; -8.548751e+05 + i -3.851534e+07 ; -3.727274e+08 + i 7.730984e+08 ; 2.634765e+07 + i 3.442352e+07 ; 7.180611e+06 + i 6.705988e+08 ; -1.990947e+08 + i 1.378895e+09 ; -7.357174e+05 + i -3.845150e+07 ; 5.048245e+07 + i -1.487042e+08 ; 2.204714e+08 + i 3.965941e+07 ; 5.475698e+07 + i 1.166055e+08 ; 5.471349e+07 + i 1.166403e+08 ; 2.526210e+08 + i 1.616956e+07 ; -5.432528e+06 + i -6.209325e+07 ; -5.483374e+06 + i -6.206952e+07 ; 
1.301240e+07 + i -4.569085e+06 ; 9.904923e+05 + i 6.435429e+06 ; 4.506382e+05 + i 1.684560e+06 ; 1.628783e+07 + i -9.640495e+06 ; 2.400859e+07 + i 1.199127e+07 ; -3.469231e+05 + i 6.222455e+06 ; -2.711957e+07 + i 7.373337e+07 ; 1.617254e+06 + i 5.711867e+06 ; -7.649351e+04 + i 1.382084e+06 ; -3.178122e+07 + i 1.269270e+08 ; 2.411950e+07 + i 1.610889e+07 ; -3.071256e+05 + i 3.655764e+06 ; 8.661713e+06 + i -9.098687e+06 ; 1.958387e+06 + i 5.884466e+06 ; 6.203697e+05 + i 2.073678e+06 ; 1.010339e+07 + i -1.483840e+07 ; 9.138193e+06 + i 7.338710e+06 ; 1.060339e+05 + i 8.427860e+06 ; -4.175731e+06 + i 4.570877e+07 ; 2.059110e+06 + i 5.265447e+06 ; -2.973761e+05 + i 4.584933e+05 ; -1.722118e+06 + i 7.045927e+07 ; 9.157189e+06 + i 7.129685e+06 ; -1.401969e+06 + i -1.884014e+06 ; 7.193927e+07 + i -1.618446e+08 ; -2.059825e+08 + i 1.386859e+09 ; 6.012764e+05 + i 3.858075e+07 ; 6.902511e+07 + i -8.319844e+07 ; -1.031622e+10 + i 1.118308e+10 ; -5.562025e+07 + i 7.986152e+07 ; -5.361001e+07 + i 7.713824e+08 ; -3.719594e+08 + i 7.855002e+08 ; -2.866320e+07 + i -3.431360e+07 ; -1.128482e+08 + i 3.123283e+08 ; 1.705935e+08 + i -2.820130e+09 ; 7.408920e+07 + i -2.750679e+08 ; 9.791840e+05 + i -6.926860e+07 ; 2.563013e+08 + i 1.837731e+07 ; 5.891920e+06 + i 6.164484e+07 ; 3.659048e+06 + i -4.208513e+07 ; -1.960861e+08 + i 1.388872e+09 ; -5.044293e+07 + i 1.488688e+08 ; 4.972375e+07 + i 1.465465e+08 ; 2.243767e+08 + i 4.153375e+07 ; -5.509859e+07 + i -1.173634e+08 ; 2.527940e+07 + i 4.702275e+07 ; -3.715419e+08 + i 7.877121e+08 ; -7.560574e+06 + i -6.710773e+08 ; 
1.302025e+07 + i -4.575948e+06 ; 4.510010e+05 + i 1.686511e+06 ; 1.002702e+06 + i 6.464436e+06 ; 1.629797e+07 + i -9.623366e+06 ; -3.454172e+05 + i 6.225030e+06 ; 2.404358e+07 + i 1.203339e+07 ; 8.634729e+06 + i -9.111367e+06 ; 6.210918e+05 + i 2.074248e+06 ; 1.897700e+06 + i 5.903753e+06 ; 1.003937e+07 + i -1.483211e+07 ; 1.065777e+05 + i 8.431527e+06 ; 9.027553e+06 + i 7.359610e+06 ; -2.713396e+07 + i 7.372320e+07 ; -7.964474e+04 + i 1.384289e+06 ; 1.619799e+06 + i 5.723750e+06 ; -3.179909e+07 + i 1.269299e+08 ; -3.219997e+05 + i 3.660032e+06 ; 2.410214e+07 + i 1.613964e+07 ; -4.101077e+06 + i 4.569195e+07 ; -2.939784e+05 + i 4.584807e+05 ; 2.034279e+06 + i 5.296228e+06 ; -1.678889e+06 + i 7.047002e+07 ; -1.400723e+06 + i -1.884575e+06 ; 9.081433e+06 + i 7.138877e+06 ; 7.198277e+07 + i -1.618518e+08 ; 6.171747e+05 + i 3.858459e+07 ; -2.055860e+08 + i 1.386958e+09 ; 6.904742e+07 + i -8.320317e+07 ; -5.560086e+07 + i 7.988258e+07 ; -1.031644e+10 + i 1.118325e+10 ; 8.559641e+05 + i -6.925789e+07 ; 5.836038e+06 + i 6.167651e+07 ; 2.570622e+08 + i 1.899653e+07 ; 3.518667e+06 + i -4.210200e+07 ; -5.063570e+07 + i 1.488949e+08 ; -1.985401e+08 + i 1.389380e+09 ; -5.366372e+07 + i 7.713579e+08 ; -2.870777e+07 + i -3.424401e+07 ; -3.722813e+08 + i 7.856318e+08 ; -1.129121e+08 + i 3.123182e+08 ; 7.392796e+07 + i -2.750798e+08 ; 1.697237e+08 + i -2.819806e+09 ; 4.991958e+07 + i 1.464982e+08 ; -5.506349e+07 + i -1.173132e+08 ; 2.252230e+08 + i 4.163792e+07 ; 2.543093e+07 + i 4.695662e+07 ; -7.633028e+06 + i -6.711273e+08 ; -3.720150e+08 + i 7.873188e+08 ; 
-6.355768e+07 + i -3.833666e+07 ; -1.852374e+07 + i -2.130110e+06 ; 3.221792e+06 + i -4.548050e+06 ; -8.721027e+07 + i -2.894624e+07 ; 3.741258e+06 + i -2.145718e+08 ; 5.295600e+06 + i 2.740016e+07 ; 8.800237e+07 + i -3.092908e+08 ; -1.235799e+07 + i 5.101433e+06 ; 1.188753e+07 + i -6.247355e+06 ; 7.238111e+07 + i -5.666727e+08 ; 2.496323e+07 + i -8.723892e+07 ; -1.345568e+07 + i 7.671714e+07 ; -1.522290e+07 + i 2.679058e+07 ; -6.745062e+06 + i -3.387758e+06 ; 5.999369e+06 + i 2.520184e+06 ; -1.076198e+07 + i 5.050654e+07 ; -1.437428e+07 + i -8.783730e+07 ; 1.875331e+07 + i 7.633010e+07 ; -6.219639e+07 + i -3.822656e+07 ; -3.645027e+06 + i 4.250194e+06 ; 1.622426e+07 + i 3.536012e+05 ; -8.818569e+07 + i -2.867774e+07 ; -2.459097e+06 + i -3.222969e+07 ; 1.151142e+07 + i 1.891441e+08 ; -2.087808e+08 + i 1.368030e+09 ; 4.997699e+07 + i -1.438239e+08 ; 2.249743e+06 + i 3.234397e+07 ; -3.762601e+08 + i 7.760224e+08 ; -3.878811e+07 + i 7.582965e+08 ; -3.031289e+07 + i -3.458764e+07 ; -1.029490e+10 + i 1.112914e+10 ; 5.603554e+07 + i -7.493246e+07 ; -5.464604e+07 + i 7.311127e+07 ; 1.847886e+08 + i -2.849066e+09 ; -9.059103e+07 + i 2.977700e+08 ; 7.588788e+07 + i -2.795076e+08 ; 2.488960e+08 + i 1.841679e+07 ; -2.229941e+06 + i -5.923788e+07 ; 7.691313e+06 + i 5.292178e+07 ; 2.199856e+08 + i 4.082323e+07 ; 5.332270e+07 + i 1.363261e+08 ; -5.644164e+07 + i -1.183185e+08 ; -2.015929e+08 + i 1.369112e+09 ; 4.984419e+05 + i -3.458053e+07 ; -5.023844e+07 + i 1.407848e+08 ; -3.735130e+08 + i 7.742163e+08 ; 2.792872e+07 + i 4.052162e+07 ; -6.365076e+06 + i -6.750438e+08 ; 
6.888224e+06 + i -1.083314e+08 ; 2.555684e+07 + i 1.576514e+07 ; 2.296914e+06 + i -4.172790e+06 ; -1.734911e+07 + i -1.844561e+08 ; -4.841318e+07 + i 1.910763e+08 ; 1.292822e+06 + i 8.907447e+06 ; -1.646715e+07 + i 4.203342e+07 ; 2.470714e+07 + i 1.213240e+07 ; -2.001070e+06 + i -3.927768e+06 ; -1.599627e+07 + i 5.998319e+07 ; -2.852598e+07 + i 2.654526e+08 ; 5.223271e+06 + i -1.788016e+07 ; -6.212944e+06 + i -4.998886e+07 ; 9.640465e+06 + i 6.749772e+06 ; 3.539968e+06 + i -2.205489e+06 ; -1.555672e+07 + i -7.886351e+07 ; 2.442837e+07 + i 8.253037e+07 ; 9.397450e+06 + i 4.194513e+07 ; -2.843323e+06 + i 2.690474e+07 ; 9.194684e+06 + i 7.182999e+06 ; -2.383127e+06 + i -5.216496e+06 ; -1.583222e+06 + i 3.428361e+07 ; 3.360680e+07 + i 1.018713e+08 ; 4.423237e+06 + i -2.731355e+07 ; -5.390804e+07 + i 2.441587e+08 ; 1.822605e+08 + i -2.836605e+09 ; -7.546653e+07 + i 2.750063e+08 ; 1.274914e+07 + i 6.647070e+08 ; -3.734043e+08 + i 7.863642e+08 ; 2.691763e+07 + i 3.489090e+07 ; 4.542842e+07 + i -7.773950e+07 ; -1.030924e+10 + i 1.116535e+10 ; 5.363551e+07 + i -7.932425e+07 ; 2.986625e+07 + i -1.365702e+08 ; -1.988957e+08 + i 1.385870e+09 ; -5.914020e+05 + i -3.867182e+07 ; 2.717977e+07 + i 2.088227e+07 ; -3.659976e+08 + i 7.735884e+08 ; 7.512280e+06 + i 6.718597e+08 ; 5.594950e+07 + i 1.095056e+08 ; 2.250288e+08 + i 4.127038e+07 ; 5.535255e+07 + i 1.174977e+08 ; -2.476048e+06 + i -3.581048e+07 ; -1.947083e+08 + i 1.373591e+09 ; 4.988328e+07 + i -1.486558e+08 ; -5.840498e+06 + i -6.082293e+07 ; 2.547179e+08 + i 1.773099e+07 ; -5.233029e+06 + i -6.228676e+07 ; 
2.442392e+06 + i -2.643283e+07 ; -2.219494e+06 + i -6.144355e+06 ; 9.983224e+06 + i 6.766835e+06 ; 6.855110e+04 + i -3.286107e+07 ; 7.428093e+06 + i -3.048818e+07 ; 3.441203e+07 + i 1.017376e+08 ; 1.510971e+07 + i -4.146674e+07 ; -1.617171e+06 + i -4.595379e+06 ; 2.616475e+07 + i 1.205408e+07 ; 1.156339e+07 + i -5.769445e+07 ; 7.746737e+06 + i -1.974872e+07 ; -2.691203e+07 + i 2.653410e+08 ; 6.475703e+06 + i 5.004149e+07 ; 3.869013e+06 + i -2.028033e+06 ; 8.884532e+06 + i 7.182608e+06 ; 1.420723e+07 + i 7.961348e+07 ; 6.616618e+06 + i 4.834238e+07 ; 2.394044e+07 + i 8.303623e+07 ; -6.639328e+06 + i 1.091558e+08 ; 2.281299e+06 + i -4.204298e+06 ; 2.373112e+07 + i 1.609964e+07 ; 1.607481e+07 + i 1.858701e+08 ; -1.386661e+05 + i 1.076375e+07 ; -5.061335e+07 + i 1.917582e+08 ; 3.064567e+06 + i 3.805853e+07 ; 6.870514e+07 + i -1.625750e+08 ; -2.006977e+08 + i 1.374252e+09 ; 7.340324e+06 + i 6.303430e+07 ; -1.326918e+06 + i -7.074982e+07 ; 2.564344e+08 + i 1.885017e+07 ; -5.201881e+07 + i 7.748181e+07 ; 6.693118e+07 + i -8.433601e+07 ; -1.030908e+10 + i 1.116576e+10 ; -4.857856e+07 + i 1.467610e+08 ; 1.823419e+06 + i -4.339595e+07 ; -1.989405e+08 + i 1.387326e+09 ; -3.400723e+07 + i -2.025168e+07 ; -4.782576e+07 + i 7.567568e+08 ; -3.672969e+08 + i 7.740201e+08 ; -5.917297e+07 + i -1.099928e+08 ; 5.526318e+07 + i 1.359304e+08 ; 2.249202e+08 + i 4.153962e+07 ; 7.247224e+07 + i -2.546311e+08 ; -1.083210e+08 + i 3.029180e+08 ; 1.770445e+08 + i -2.835618e+09 ; -7.024112e+06 + i -6.638220e+08 ; 3.088236e+07 + i 3.950480e+07 ; -3.723282e+08 + i 7.848833e+08 ; 
-4.053795e+07 + i -3.866132e+07 ; -1.416947e+06 + i 3.359023e+04 ; -3.191354e+05 + i -2.605320e+06 ; -6.176220e+07 + i -3.820301e+07 ; -1.418726e+07 + i -1.072461e+07 ; 3.693131e+06 + i -7.264204e+06 ; 7.275000e+07 + i -1.694502e+08 ; -4.143126e+06 + i 4.726018e+06 ; -2.365137e+05 + i -3.303392e+06 ; 8.908820e+07 + i -3.092615e+08 ; -1.658258e+07 + i 9.599406e+06 ; 8.217163e+06 + i -6.721645e+06 ; -1.549280e+07 + i 1.274460e+07 ; -9.852206e+05 + i -5.809715e+05 ; 9.117160e+05 + i 9.809090e+05 ; -1.528991e+07 + i 2.664402e+07 ; -7.946665e+06 + i -5.425761e+06 ; 7.297531e+06 + i 4.853239e+06 ; -3.975924e+07 + i -3.851342e+07 ; -1.405149e+06 + i 3.999485e+06 ; 1.252981e+06 + i 1.087908e+06 ; -6.203425e+07 + i -3.853344e+07 ; -7.180781e+06 + i 9.439789e+06 ; 1.365283e+07 + i 1.016154e+07 ; -3.876465e+08 + i 7.793148e+08 ; 8.043846e+07 + i -7.863884e+08 ; 2.818565e+07 + i 3.577651e+07 ; -1.981363e+08 + i 1.378390e+09 ; -7.829696e+06 + i 1.262504e+08 ; -2.090147e+05 + i -4.005077e+07 ; 1.826779e+08 + i -2.848267e+09 ; 5.320877e+07 + i -2.702916e+08 ; -8.291214e+07 + i 2.829193e+08 ; -1.030323e+10 + i 1.116748e+10 ; -7.432121e+07 + i 8.644068e+07 ; 5.730745e+07 + i -8.138363e+07 ; 2.216250e+08 + i 4.188111e+07 ; -4.767983e+07 + i -1.405342e+08 ; 5.441032e+07 + i 1.216781e+08 ; 2.515437e+08 + i 1.687673e+07 ; -5.134324e+06 + i 6.899428e+07 ; -4.555677e+06 + i -6.431354e+07 ; -3.705973e+08 + i 7.739605e+08 ; -2.357675e+07 + i -3.909307e+07 ; -4.586944e+06 + i 6.936824e+08 ; -1.984448e+08 + i 1.378812e+09 ; -5.478327e+06 + i 4.201384e+07 ; 5.478607e+07 + i -1.529372e+08 ; 
3.198078e+07 + i -7.690257e+07 ; -6.715684e+04 + i 5.762421e+06 ; 1.211910e+05 + i -1.425076e+06 ; 3.861405e+07 + i -1.332446e+08 ; 2.135133e+07 + i 1.663351e+07 ; 3.979640e+05 + i -3.772155e+06 ; -9.548441e+06 + i 3.229930e+06 ; 1.822165e+06 + i 6.777532e+06 ; -4.173534e+05 + i -1.749477e+06 ; -1.135422e+07 + i 6.429461e+06 ; 2.541866e+07 + i 1.224192e+07 ; 4.764019e+05 + i -6.415209e+06 ; 6.532663e+06 + i -4.793144e+07 ; 1.456677e+06 + i 5.676354e+06 ; 3.260633e+05 + i -4.745012e+05 ; 5.065414e+06 + i -7.418455e+07 ; 8.449586e+06 + i 7.763031e+06 ; 1.454425e+06 + i 1.965561e+06 ; -7.811987e+06 + i 7.822812e+06 ; 2.369848e+06 + i 5.722452e+06 ; -5.893089e+05 + i -2.158530e+06 ; -9.137867e+06 + i 1.278834e+07 ; 9.677900e+06 + i 7.022685e+06 ; 9.271097e+04 + i -8.723462e+06 ; 9.057115e+07 + i -8.024567e+08 ; -3.871911e+08 + i 7.917811e+08 ; 2.889873e+07 + i 3.611785e+07 ; 6.026866e+07 + i -2.805134e+08 ; 1.669822e+08 + i -2.819132e+09 ; -8.210893e+07 + i 2.832262e+08 ; -9.191424e+06 + i 1.253326e+08 ; -1.970454e+08 + i 1.385204e+09 ; -4.360104e+05 + i -3.964090e+07 ; -7.474321e+07 + i 8.396069e+07 ; -1.031355e+10 + i 1.118324e+10 ; 5.760675e+07 + i -8.141904e+07 ; -4.401683e+07 + i -1.520774e+08 ; 2.262886e+08 + i 4.317422e+07 ; 5.508158e+07 + i 1.223930e+08 ; -2.103711e+07 + i -4.564893e+07 ; -3.679774e+08 + i 7.877166e+08 ; -3.740244e+06 + i 6.943401e+08 ; -6.778992e+06 + i 6.736953e+07 ; 2.538759e+08 + i 1.802611e+07 ; -4.791551e+06 + i -6.386223e+07 ; -6.549788e+06 + i 4.047999e+07 ; -1.979309e+08 + i 1.388049e+09 ; 5.510863e+07 + i -1.531333e+08 ; 
