-5.375132e+09 + i 1.903491e+10 ; -2.682107e+07 + i 2.380443e+08 ; -2.636885e+07 + i 2.383184e+08 ; -3.626784e+09 + i -3.960797e+09 ; -2.679768e+08 + i -5.469864e+08 ; -2.683863e+08 + i -5.467599e+08 ; 1.348252e+09 + i 2.068668e+09 ; 1.071450e+08 + i 3.067995e+08 ; 9.594240e+07 + i 9.572926e+07 ; 1.768811e+08 + i 1.875984e+09 ; -9.911589e+08 + i -7.383840e+08 ; -1.533600e+08 + i 4.886305e+06 ; 1.348824e+09 + i 2.068432e+09 ; 9.523640e+07 + i 9.499882e+07 ; 1.066325e+08 + i 3.066153e+08 ; 1.779903e+08 + i 1.876482e+09 ; -1.514871e+08 + i 3.966384e+06 ; -9.911550e+08 + i -7.384135e+08 ; 8.311401e+08 + i -4.137041e+08 ; 1.427084e+08 + i 1.033289e+08 ; 1.434749e+08 + i 1.029427e+08 ; 8.699722e+08 + i -2.733927e+08 ; -3.038191e+08 + i 7.402007e+05 ; -3.036532e+08 + i 2.490675e+05 ; -2.143120e+08 + i -5.739471e+08 ; -1.033299e+07 + i 2.855709e+07 ; -1.029890e+07 + i 2.864925e+07 ; -3.792353e+07 + i -3.546543e+08 ; 8.920293e+06 + i 6.504374e+06 ; 8.961703e+06 + i 6.498855e+06 ; -2.473135e+08 + i 4.647291e+07 ; -4.106063e+07 + i 2.762933e+07 ; 5.657489e+06 + i 2.434445e+07 ; -1.906443e+08 + i -1.444414e+07 ; 1.400323e+06 + i 5.957217e+06 ; 8.567835e+06 + i 2.312663e+06 ; -2.469219e+08 + i 4.640026e+07 ; 5.816463e+06 + i 2.411579e+07 ; -4.104428e+07 + i 2.768076e+07 ; -1.904362e+08 + i -1.438037e+07 ; 8.524503e+06 + i 2.270134e+06 ; 1.406712e+06 + i 5.966557e+06 ; 2.477576e+07 + i 1.893003e+08 ; -1.566263e+07 + i 2.288763e+07 ; -1.578173e+07 + i 2.293744e+07 ; -1.989385e+07 + i 1.512099e+08 ; 2.294490e+06 + i 1.974829e+06 ; 2.293653e+06 + i 1.999515e+06 ; 
-3.516464e+08 + i -9.250914e+07 ; -3.575106e+08 + i -1.116157e+08 ; 9.113433e+08 + i -2.650195e+08 ; -1.406901e+08 + i 1.866839e+07 ; -8.438058e+08 + i -1.229159e+09 ; 1.679937e+08 + i 1.891524e+09 ; -8.455531e+08 + i -1.203080e+09 ; -1.506960e+08 + i -9.320851e+06 ; 1.722083e+08 + i 1.923634e+09 ; -2.755866e+08 + i -5.553953e+08 ; -2.851637e+08 + i -6.011915e+08 ; -3.667360e+09 + i -3.921408e+09 ; 7.458742e+07 + i 1.408158e+08 ; 6.401979e+07 + i 1.489881e+08 ; 8.513372e+08 + i -4.176415e+08 ; 9.153785e+07 + i 1.261267e+08 ; 1.856051e+08 + i 2.701051e+08 ; 1.357046e+09 + i 2.047148e+09 ; 1.989913e+08 + i 2.693502e+08 ; 8.078162e+07 + i 1.398221e+08 ; 1.364390e+09 + i 2.080802e+09 ; -8.976508e+07 + i 2.574592e+08 ; -1.082904e+08 + i 2.642897e+08 ; -5.393878e+09 + i 1.903074e+10 ; 1.458837e+08 + i 1.090697e+08 ; -7.240768e+07 + i -5.769694e+07 ; 2.166784e+08 + i 8.188400e+07 ; 9.019640e+07 + i 8.375750e+07 ; -7.322305e+06 + i 1.185158e+07 ; 2.866677e+07 + i -4.899384e+07 ; 2.953949e+08 + i 3.044064e+08 ; -6.215831e+06 + i -2.194501e+07 ; 1.670272e+08 + i 3.552311e+08 ; 1.269421e+08 + i 2.325978e+08 ; -2.887781e+06 + i 1.088870e+07 ; 9.415464e+07 + i -3.245381e+07 ; -5.867480e+07 + i -9.154511e+07 ; 1.736846e+07 + i 6.715296e+07 ; 2.513636e+08 + i 7.349460e+07 ; -3.950346e+07 + i -8.496277e+07 ; 1.879327e+07 + i 1.016913e+07 ; 2.659015e+07 + i -4.791740e+07 ; -5.833550e+06 + i -1.755380e+08 ; 5.482021e+05 + i 5.238924e+07 ; 3.030911e+08 + i 3.807410e+08 ; 2.162160e+07 + i -1.357206e+08 ; 1.551228e+07 + i 9.378508e+06 ; 8.531716e+07 + i -3.944325e+07 ; 
-2.094523e+08 + i -5.694488e+08 ; 2.356344e+07 + i -4.232652e+07 ; 2.351300e+07 + i -4.233977e+07 ; -6.067323e+08 + i -8.345875e+08 ; 9.942227e+07 + i 1.343425e+08 ; 9.958794e+07 + i 1.343741e+08 ; -2.452594e+08 + i 4.584979e+07 ; 3.328967e+07 + i -4.869845e+07 ; -6.225955e+06 + i -2.727076e+07 ; -2.844655e+08 + i 1.273895e+08 ; 3.050808e+08 + i 1.849146e+08 ; 6.774157e+07 + i 2.219820e+07 ; -2.451392e+08 + i 4.601118e+07 ; -6.003332e+06 + i -2.702995e+07 ; 3.344988e+07 + i -4.861698e+07 ; -2.843015e+08 + i 1.277983e+08 ; 6.738898e+07 + i 2.247521e+07 ; 3.050367e+08 + i 1.849426e+08 ; 2.470342e+07 + i 1.890707e+08 ; 5.814235e+06 + i -2.723543e+07 ; 5.533694e+06 + i -2.704602e+07 ; 8.859719e+07 + i 2.232955e+08 ; 1.577942e+08 + i 3.482302e+07 ; 1.576371e+08 + i 3.496598e+07 ; -5.403721e+09 + i 1.895843e+10 ; -3.967854e+07 + i 2.257041e+08 ; -3.925240e+07 + i 2.259907e+08 ; -3.627405e+09 + i -3.962077e+09 ; -2.720541e+08 + i -5.572288e+08 ; -2.724821e+08 + i -5.569600e+08 ; 1.313822e+09 + i 2.061803e+09 ; 9.086929e+07 + i 2.971405e+08 ; 8.777934e+07 + i 8.313785e+07 ; 1.772560e+08 + i 1.877621e+09 ; -9.954082e+08 + i -7.459257e+08 ; -1.621708e+08 + i 7.494421e+06 ; 1.314414e+09 + i 2.061521e+09 ; 8.712444e+07 + i 8.242862e+07 ; 9.036698e+07 + i 2.969223e+08 ; 1.783237e+08 + i 1.878160e+09 ; -1.602111e+08 + i 6.633645e+06 ; -9.954138e+08 + i -7.459657e+08 ; 8.206364e+08 + i -3.886607e+08 ; 1.310350e+08 + i 8.890030e+07 ; 1.318796e+08 + i 8.854148e+07 ; 8.707449e+08 + i -2.731077e+08 ; -3.133764e+08 + i 2.573240e+06 ; -3.131758e+08 + i 2.058477e+06 ; 
-3.347740e+07 + i -1.021807e+08 ; 9.005484e+07 + i -3.769847e+07 ; 1.697002e+07 + i 1.612538e+06 ; -7.253738e+07 + i -1.116272e+08 ; 3.028447e+08 + i 3.827698e+08 ; 1.913715e+07 + i 4.252076e+07 ; 1.632726e+08 + i 1.581741e+08 ; 9.322360e+07 + i -3.020451e+07 ; 9.887448e+05 + i 1.193049e+07 ; 3.154096e+08 + i 1.726875e+08 ; 1.563124e+08 + i 3.624102e+08 ; -2.018836e+07 + i -8.818323e+06 ; -5.278611e+07 + i -4.904180e+07 ; 2.962749e+07 + i -4.994542e+07 ; 1.919013e+07 + i 1.032942e+06 ; -6.800520e+07 + i -4.603634e+07 ; 2.544962e+08 + i 7.339439e+07 ; 3.723764e+07 + i 5.020899e+07 ; 9.940544e+07 + i 4.209428e+07 ; 2.751799e+07 + i -4.814598e+07 ; -2.347188e+06 + i 1.352835e+07 ; 1.502085e+08 + i 4.529845e+07 ; 2.158893e+08 + i 8.341283e+07 ; -8.060673e+07 + i -2.134161e+07 ; -2.003305e+07 + i 2.218283e+08 ; -5.394992e+09 + i 1.903127e+10 ; -2.409371e+07 + i 2.363382e+08 ; 1.088147e+08 + i 2.956691e+08 ; 1.355911e+09 + i 2.089581e+09 ; 9.434488e+07 + i 9.621149e+07 ; -2.423377e+08 + i -5.073209e+08 ; -3.638746e+09 + i -3.931828e+09 ; -2.696990e+08 + i -5.447532e+08 ; -9.880585e+08 + i -7.229524e+08 ; 2.030869e+08 + i 1.897927e+09 ; -1.546999e+08 + i 4.540643e+06 ; 9.634163e+07 + i 8.468541e+07 ; 1.353540e+09 + i 2.055968e+09 ; 1.087415e+08 + i 3.041149e+08 ; 1.460814e+08 + i 9.811663e+07 ; 8.519776e+08 + i -4.184384e+08 ; 1.423887e+08 + i 1.035320e+08 ; -1.341163e+08 + i 2.596590e+07 ; 1.974974e+08 + i 1.870661e+09 ; -9.939640e+08 + i -7.395062e+08 ; -2.974677e+08 + i 1.528408e+07 ; 8.949246e+08 + i -2.895307e+08 ; -3.059562e+08 + i -1.909599e+05 ; 
-3.349003e+07 + i -1.022742e+08 ; 1.698857e+07 + i 1.635488e+06 ; 9.022134e+07 + i -3.800220e+07 ; -7.242917e+07 + i -1.116599e+08 ; 1.915030e+07 + i 4.257303e+07 ; 3.031341e+08 + i 3.827297e+08 ; -5.295182e+07 + i -4.904497e+07 ; 1.921364e+07 + i 1.031670e+06 ; 2.977393e+07 + i -5.016083e+07 ; -6.815978e+07 + i -4.592503e+07 ; 3.717217e+07 + i 5.022704e+07 ; 2.549062e+08 + i 7.398318e+07 ; 1.630515e+08 + i 1.581480e+08 ; 9.668633e+05 + i 1.201440e+07 ; 9.346285e+07 + i -3.003541e+07 ; 3.152751e+08 + i 1.727004e+08 ; -2.034687e+07 + i -8.747731e+06 ; 1.562245e+08 + i 3.627509e+08 ; 9.966553e+07 + i 4.169191e+07 ; -2.255880e+06 + i 1.354174e+07 ; 2.748186e+07 + i -4.810450e+07 ; 1.503589e+08 + i 4.511374e+07 ; -8.057188e+07 + i -2.140071e+07 ; 2.160871e+08 + i 8.355641e+07 ; -1.987912e+07 + i 2.220844e+08 ; -2.402057e+07 + i 2.363969e+08 ; -5.397574e+09 + i 1.903101e+10 ; 1.085925e+08 + i 2.954316e+08 ; 9.445154e+07 + i 9.630793e+07 ; 1.357624e+09 + i 2.090445e+09 ; 9.693940e+07 + i 8.491089e+07 ; 1.078356e+08 + i 3.041705e+08 ; 1.347401e+09 + i 2.057513e+09 ; 1.470724e+08 + i 9.783719e+07 ; 1.421705e+08 + i 1.038293e+08 ; 8.545384e+08 + i -4.148524e+08 ; -2.418095e+08 + i -5.070734e+08 ; -2.701646e+08 + i -5.447411e+08 ; -3.642157e+09 + i -3.930243e+09 ; -9.876959e+08 + i -7.229542e+08 ; -1.551814e+08 + i 4.852234e+06 ; 2.026309e+08 + i 1.899431e+09 ; -1.352095e+08 + i 2.697099e+07 ; -9.940242e+08 + i -7.397622e+08 ; 1.968023e+08 + i 1.868547e+09 ; -2.981498e+08 + i 1.559965e+07 ; -3.061207e+08 + i -5.592695e+04 ; 8.944180e+08 + i -2.887030e+08 ; 
-3.729245e+07 + i -3.506646e+08 ; -9.513699e+06 + i -7.756761e+06 ; -9.550351e+06 + i -7.736554e+06 ; -2.100039e+08 + i -5.739699e+08 ; 1.283779e+07 + i -3.019769e+07 ; 1.286238e+07 + i -3.021208e+07 ; -1.895766e+08 + i -1.420255e+07 ; -1.262581e+06 + i -6.305112e+06 ; -9.337324e+06 + i -3.039321e+06 ; -2.466032e+08 + i 4.338403e+07 ; 4.464018e+07 + i -2.704493e+07 ; -4.658222e+06 + i -2.624143e+07 ; -1.894143e+08 + i -1.407544e+07 ; -9.283004e+06 + i -3.009264e+06 ; -1.252674e+06 + i -6.317938e+06 ; -2.463502e+08 + i 4.364052e+07 ; -4.713563e+06 + i -2.604764e+07 ; 4.458170e+07 + i -2.706692e+07 ; -2.036787e+07 + i 1.513444e+08 ; -2.355844e+06 + i -2.187595e+06 ; -2.369805e+06 + i -2.150870e+06 ; 2.271463e+07 + i 1.874105e+08 ; 1.774121e+07 + i -2.338759e+07 ; 1.765216e+07 + i -2.339551e+07 ; -3.609228e+09 + i -3.954149e+09 ; 2.519332e+08 + i 5.796344e+08 ; 2.527961e+08 + i 5.795690e+08 ; -5.386759e+09 + i 1.902603e+10 ; 3.272983e+07 + i -2.469096e+08 ; 3.248354e+07 + i -2.471838e+08 ; 1.826074e+08 + i 1.875279e+09 ; 1.001588e+09 + i 8.128500e+08 ; 1.586725e+08 + i 2.010760e+06 ; 1.341992e+09 + i 2.067951e+09 ; -9.679569e+07 + i -3.231944e+08 ; -9.745075e+07 + i -1.023446e+08 ; 1.830254e+08 + i 1.875297e+09 ; 1.572482e+08 + i 2.820479e+06 ; 1.001508e+09 + i 8.128491e+08 ; 1.343584e+09 + i 2.067857e+09 ; -9.679521e+07 + i -1.018265e+08 ; -9.655768e+07 + i -3.231274e+08 ; 8.726899e+08 + i -2.764883e+08 ; 3.169422e+08 + i 1.252586e+07 ; 3.167129e+08 + i 1.275320e+07 ; 8.273751e+08 + i -4.106822e+08 ; -1.441878e+08 + i -1.136938e+08 ; -1.442924e+08 + i -1.134305e+08 ; 
3.993110e+07 + i -2.488754e+07 ; 5.403908e+06 + i -9.150279e+06 ; 4.209875e+06 + i 2.388703e+05 ; 4.146002e+07 + i -4.122846e+07 ; 8.256161e+07 + i -4.073181e+07 ; 1.261577e+07 + i 9.020510e+06 ; 3.382730e+07 + i 1.618377e+08 ; 5.910995e+06 + i -7.610925e+06 ; 2.619180e+06 + i 8.937144e+05 ; 1.021789e+08 + i 2.420242e+08 ; 9.458279e+07 + i -2.952341e+07 ; 6.998398e+06 + i 7.851043e+06 ; 2.025140e+07 + i -4.546452e+07 ; -1.355385e+04 + i 1.623405e+05 ; 5.362063e+06 + i 3.087192e+05 ; 1.355600e+07 + i -6.079417e+07 ; 2.564353e+07 + i -4.780797e+07 ; 1.760886e+07 + i 1.051930e+07 ; 6.492550e+07 + i 8.940778e+07 ; 1.397015e+06 + i 1.441533e+05 ; 1.158324e+06 + i 1.178526e+06 ; 1.094237e+08 + i 1.156192e+08 ; 2.898296e+07 + i -4.808459e+07 ; -2.571439e+06 + i 5.406289e+06 ; -3.728800e+07 + i -3.764346e+08 ; 1.333729e+09 + i 2.083649e+09 ; 9.482337e+07 + i 1.040389e+08 ; 9.014379e+07 + i -2.664977e+08 ; -5.400363e+09 + i 1.906514e+10 ; -3.772427e+07 + i 2.483874e+08 ; 9.790796e+08 + i 1.118688e+09 ; 2.064964e+08 + i 1.900779e+09 ; -1.663997e+08 + i -1.086967e+06 ; 1.795761e+08 + i 7.149992e+08 ; -3.630076e+09 + i -3.885628e+09 ; -2.596468e+08 + i -5.799334e+08 ; -1.275396e+08 + i -1.550174e+08 ; 8.523362e+08 + i -4.099792e+08 ; 1.450098e+08 + i 1.129887e+08 ; -7.978572e+07 + i -1.299934e+08 ; 1.370105e+09 + i 2.097262e+09 ; 9.789175e+07 + i 3.245158e+08 ; 3.633581e+08 + i 9.380892e+07 ; 8.937747e+08 + i -2.902045e+08 ; -3.191732e+08 + i -1.210014e+07 ; 1.811405e+08 + i 4.592812e+07 ; 2.126294e+08 + i 1.905010e+09 ; -1.004401e+09 + i -8.099816e+08 ; 
3.991590e+07 + i -2.493995e+07 ; 4.207459e+06 + i 2.600352e+05 ; 5.425366e+06 + i -8.859362e+06 ; 4.147916e+07 + i -4.107423e+07 ; 1.262197e+07 + i 9.052737e+06 ; 8.280478e+07 + i -4.035389e+07 ; 2.013040e+07 + i -4.563532e+07 ; 5.359309e+06 + i 3.130139e+05 ; -3.718181e+05 + i 1.577338e+05 ; 1.327189e+07 + i -6.087690e+07 ; 1.761193e+07 + i 1.054833e+07 ; 2.520938e+07 + i -4.784129e+07 ; 3.377749e+07 + i 1.616928e+08 ; 2.610066e+06 + i 9.026956e+05 ; 5.992985e+06 + i -7.536421e+06 ; 1.020959e+08 + i 2.419912e+08 ; 6.937542e+06 + i 7.878921e+06 ; 9.457046e+07 + i -2.935858e+07 ; 6.530365e+07 + i 8.942390e+07 ; 1.166327e+06 + i 1.170993e+06 ; 1.205504e+06 + i 3.121353e+05 ; 1.096811e+08 + i 1.157888e+08 ; -2.566527e+06 + i 5.401851e+06 ; 2.861089e+07 + i -4.809482e+07 ; -3.712815e+07 + i -3.764407e+08 ; 9.496743e+07 + i 1.041662e+08 ; 1.336585e+09 + i 2.085081e+09 ; 9.004166e+07 + i -2.663016e+08 ; -3.768070e+07 + i 2.485475e+08 ; -5.401489e+09 + i 1.906611e+10 ; -1.281235e+08 + i -1.551775e+08 ; 1.447827e+08 + i 1.132429e+08 ; 8.544389e+08 + i -4.053092e+08 ; -8.056561e+07 + i -1.303250e+08 ; 9.698145e+07 + i 3.244845e+08 ; 1.361337e+09 + i 2.098648e+09 ; 9.787911e+08 + i 1.118302e+09 ; -1.668992e+08 + i -6.413184e+05 ; 2.052287e+08 + i 1.901477e+09 ; 1.791426e+08 + i 7.147961e+08 ; -2.602215e+08 + i -5.801159e+08 ; -3.633858e+09 + i -3.884645e+09 ; 3.644234e+08 + i 9.374195e+07 ; -3.191725e+08 + i -1.171860e+07 ; 8.965890e+08 + i -2.890048e+08 ; 1.818391e+08 + i 4.573930e+07 ; -1.004452e+09 + i -8.103823e+08 ; 2.124208e+08 + i 1.901910e+09 ; 
-2.495271e+08 + i 4.485300e+07 ; -5.226466e+07 + i 4.546114e+07 ; -4.942223e+06 + i -2.874634e+07 ; -2.802599e+08 + i 1.273536e+08 ; -3.057403e+08 + i -2.863860e+08 ; 7.049619e+07 + i 2.651260e+07 ; -2.115451e+08 + i -5.724845e+08 ; -3.134156e+07 + i 3.798739e+07 ; 2.601477e+07 + i -4.286536e+07 ; -6.038851e+08 + i -8.332148e+08 ; -7.271906e+07 + i -1.881196e+08 ; 9.795457e+07 + i 1.450633e+08 ; 2.209981e+07 + i 1.901165e+08 ; -1.463621e+07 + i 2.982646e+07 ; 6.888313e+06 + i -2.792012e+07 ; 8.812669e+07 + i 2.222286e+08 ; -1.720307e+08 + i -7.848207e+07 ; 1.626098e+08 + i 4.330564e+07 ; -2.463634e+08 + i 4.659824e+07 ; 6.884252e+05 + i 2.915621e+07 ; 3.688325e+07 + i -4.920163e+07 ; -2.828997e+08 + i 1.282723e+08 ; -7.025082e+07 + i -4.689291e+07 ; 3.101779e+08 + i 2.055447e+08 ; 1.294457e+09 + i 2.054465e+09 ; -9.289342e+07 + i -3.077719e+08 ; 8.787622e+07 + i 9.041898e+07 ; 1.734490e+08 + i 1.888656e+09 ; 1.014072e+09 + i 1.077955e+09 ; -1.736097e+08 + i 2.598976e+06 ; -5.425104e+09 + i 1.894822e+10 ; 5.008008e+07 + i -2.399196e+08 ; -4.873558e+07 + i 2.332394e+08 ; -3.636508e+09 + i -3.954527e+09 ; 2.419232e+08 + i 6.484327e+08 ; -2.621100e+08 + i -5.902349e+08 ; 8.194004e+08 + i -3.789007e+08 ; -1.236573e+08 + i -1.218987e+08 ; 1.349692e+08 + i 9.612420e+07 ; 8.687768e+08 + i -2.713794e+08 ; 3.586151e+08 + i 5.700442e+07 ; -3.260984e+08 + i -1.023068e+07 ; 1.316173e+09 + i 2.070132e+09 ; -8.050309e+07 + i -1.008991e+08 ; 8.297172e+07 + i 3.109572e+08 ; 1.819179e+08 + i 1.879376e+09 ; 1.795846e+08 + i 1.769612e+07 ; -1.007513e+09 + i -8.172101e+08 ; 
-1.597300e+08 + i -1.661225e+08 ; 9.965095e+07 + i -3.057324e+07 ; -6.209255e+05 + i -1.235471e+07 ; -3.217282e+08 + i -1.858182e+08 ; 1.636248e+08 + i 3.608772e+08 ; 2.027894e+07 + i 1.009422e+07 ; 2.583741e+07 + i 1.100858e+08 ; 8.459421e+07 + i -3.871192e+07 ; -1.759197e+07 + i -2.223039e+06 ; 5.538799e+07 + i 1.289882e+08 ; 2.963272e+08 + i 3.818826e+08 ; -1.869126e+07 + i -4.497093e+07 ; -9.871875e+07 + i -4.701582e+07 ; 3.085376e+07 + i -5.022373e+07 ; 3.113872e+06 + i -1.396309e+07 ; -1.539497e+08 + i -5.111211e+07 ; 2.188865e+08 + i 8.151913e+07 ; 8.345601e+07 + i 2.584244e+07 ; 5.161422e+07 + i 5.560359e+07 ; 2.629270e+07 + i -4.849112e+07 ; -1.979697e+07 + i -1.862918e+06 ; 6.350995e+07 + i 5.719043e+07 ; 2.509637e+08 + i 7.447722e+07 ; -3.639802e+07 + i -5.377223e+07 ; 2.808351e+08 + i 4.869430e+08 ; -3.622720e+09 + i -3.925262e+09 ; 2.547025e+08 + i 5.800089e+08 ; 1.011331e+09 + i 8.006312e+08 ; 2.029868e+08 + i 1.907202e+09 ; 1.611144e+08 + i 2.171741e+06 ; 1.768701e+06 + i -2.338025e+08 ; -5.407678e+09 + i 1.902254e+10 ; 3.091066e+07 + i -2.460450e+08 ; -1.567948e+08 + i -2.619160e+08 ; 1.356981e+09 + i 2.084917e+09 ; -9.691077e+07 + i -1.031092e+08 ; 1.349149e+08 + i -2.840421e+07 ; 2.059161e+08 + i 1.867521e+09 ; 1.005599e+09 + i 8.140731e+08 ; 3.083239e+08 + i -1.046442e+07 ; 9.003543e+08 + i -2.913303e+08 ; 3.210267e+08 + i 1.177975e+07 ; -9.776642e+07 + i -8.093342e+07 ; 1.347268e+09 + i 2.055920e+09 ; -9.897398e+07 + i -3.217330e+08 ; -1.428783e+08 + i -9.882807e+07 ; 8.449137e+08 + i -4.158686e+08 ; -1.439328e+08 + i -1.143090e+08 ; 
-5.274269e+07 + i -5.314260e+07 ; -2.142931e+07 + i -6.284443e+06 ; 3.052562e+07 + i -5.027864e+07 ; -6.814782e+07 + i -4.962995e+07 ; -2.999492e+07 + i -6.685867e+07 ; 2.546680e+08 + i 7.441037e+07 ; -2.985747e+07 + i -1.072743e+08 ; -1.770916e+07 + i -5.424397e+06 ; 9.008356e+07 + i -3.822816e+07 ; -6.914952e+07 + i -1.181308e+08 ; -1.112491e+07 + i -5.328562e+07 ; 3.020664e+08 + i 3.823274e+08 ; 1.015675e+08 + i 4.741374e+07 ; 4.988541e+06 + i -1.405954e+07 ; 2.778522e+07 + i -4.830638e+07 ; 1.506622e+08 + i 5.470840e+07 ; 8.676243e+07 + i 4.533184e+07 ; 2.166641e+08 + i 8.387828e+07 ; 1.617765e+08 + i 1.718361e+08 ; -8.275922e+05 + i -1.227445e+07 ; 9.359978e+07 + i -3.014653e+07 ; 3.179239e+08 + i 1.938134e+08 ; 1.824266e+07 + i 1.817010e+07 ; 1.568838e+08 + i 3.630298e+08 ; 1.004186e+08 + i 9.683174e+07 ; -5.211928e+07 + i -3.709137e+08 ; 1.330498e+09 + i 2.053597e+09 ; 1.522766e+08 + i 1.128304e+08 ; -1.418566e+08 + i -1.545868e+08 ; 8.523465e+08 + i -4.070633e+08 ; -2.991781e+07 + i 2.289163e+08 ; 7.792991e+07 + i -2.638738e+08 ; -5.408933e+09 + i 1.902496e+10 ; 1.001660e+08 + i 3.107658e+08 ; -9.196561e+07 + i -1.304119e+08 ; 1.355079e+09 + i 2.096595e+09 ; -1.616668e+08 + i 2.820337e+07 ; 9.700234e+08 + i 1.080444e+09 ; 2.006168e+08 + i 1.869183e+09 ; -3.209304e+08 + i 4.128777e+06 ; 3.654443e+08 + i 6.501029e+07 ; 8.954320e+08 + i -2.901453e+08 ; -2.238214e+08 + i -5.380070e+08 ; 1.760643e+08 + i 6.872808e+08 ; -3.638556e+09 + i -3.926477e+09 ; -9.854524e+08 + i -7.927113e+08 ; 1.890330e+08 + i 2.083596e+07 ; 2.057744e+08 + i 1.898315e+09 ; 
-1.909241e+08 + i -1.515551e+07 ; -6.913229e+04 + i 1.634013e+07 ; -9.577607e+06 + i -3.571975e+06 ; -2.434158e+08 + i 4.689038e+07 ; -5.393858e+07 + i 3.266599e+07 ; -3.567436e+06 + i -2.751851e+07 ; -3.704821e+07 + i -3.528220e+08 ; -4.614093e+06 + i 1.173421e+07 ; -9.639518e+06 + i -8.263948e+06 ; -2.074637e+08 + i -5.706943e+08 ; -4.322374e+07 + i 3.923946e+07 ; 1.449137e+07 + i -3.057637e+07 ; -2.237689e+07 + i 1.519299e+08 ; 4.254485e+06 + i 6.612932e+06 ; -2.449269e+06 + i -2.296395e+06 ; 2.257179e+07 + i 1.884943e+08 ; -2.249815e+07 + i 2.618729e+07 ; 1.899380e+07 + i -2.362594e+07 ; -1.899256e+08 + i -1.372918e+07 ; 4.387453e+06 + i 9.735289e+06 ; -1.085297e+06 + i -6.579656e+06 ; -2.444597e+08 + i 4.521974e+07 ; -8.051617e+06 + i 3.697077e+07 ; 4.708712e+07 + i -2.647970e+07 ; 1.389711e+08 + i 1.892111e+09 ; -8.943820e+08 + i -1.168558e+09 ; 1.679609e+08 + i 8.354269e+06 ; 1.347165e+09 + i 2.066226e+09 ; 2.313617e+08 + i 2.371967e+08 ; -9.657483e+07 + i -1.107497e+08 ; -3.645224e+09 + i -3.952847e+09 ; -3.402860e+08 + i -5.630497e+08 ; 2.415115e+08 + i 6.107985e+08 ; -5.383133e+09 + i 1.902914e+10 ; -1.072168e+08 + i 2.681597e+08 ; 4.294955e+07 + i -2.555056e+08 ; 8.764165e+08 + i -2.633197e+08 ; -3.460435e+08 + i -7.440617e+07 ; 3.269578e+08 + i 2.516316e+07 ; 8.225771e+08 + i -4.070942e+08 ; 1.128821e+08 + i 1.379184e+08 ; -1.452411e+08 + i -1.227216e+08 ; 1.895627e+08 + i 1.883183e+09 ; -1.589137e+08 + i -1.658515e+07 ; 1.006862e+09 + i 8.781151e+08 ; 1.347131e+09 + i 2.068593e+09 ; 7.686068e+07 + i 1.160472e+08 ; -8.885569e+07 + i -3.383861e+08 ; 
-1.985520e+07 + i -1.725131e+08 ; 3.907896e+05 + i -9.319890e+06 ; -2.601353e+06 + i -9.574838e+05 ; -8.475059e+07 + i -2.662322e+08 ; 8.553710e+07 + i -2.975820e+07 ; -6.870846e+06 + i -8.292291e+06 ; -2.889462e+07 + i 2.085011e+07 ; 7.958133e+06 + i -5.927868e+06 ; -4.226110e+06 + i -3.628001e+05 ; -2.617756e+07 + i 2.728846e+07 ; 8.722250e+07 + i -3.749073e+07 ; -1.262345e+07 + i -9.669938e+06 ; -6.058097e+07 + i -9.795587e+07 ; -1.922474e+06 + i 1.605376e+06 ; -1.096092e+06 + i -1.302480e+06 ; -1.042325e+08 + i -1.300659e+08 ; 2.570997e+07 + i -4.550246e+07 ; 3.055409e+06 + i -5.520509e+06 ; -1.786860e+07 + i 3.882700e+07 ; 3.005875e+06 + i -3.155298e+04 ; -5.471875e+06 + i -5.287287e+05 ; -1.207854e+07 + i 4.943020e+07 ; 2.894442e+07 + i -4.889111e+07 ; -1.761295e+07 + i -1.150353e+07 ; -8.865868e+08 + i -1.209371e+09 ; 1.610270e+08 + i 1.917511e+09 ; 1.717352e+08 + i 7.869057e+06 ; -3.326118e+08 + i -5.932553e+08 ; -3.645326e+09 + i -3.883722e+09 ; 2.455113e+08 + i 6.097273e+08 ; 2.240597e+08 + i 2.419081e+08 ; 1.364499e+09 + i 2.082751e+09 ; -9.658041e+07 + i -1.102667e+08 ; -1.141018e+08 + i 2.633730e+08 ; -5.388825e+09 + i 1.907034e+10 ; 4.383709e+07 + i -2.562457e+08 ; -3.542333e+08 + i -1.035257e+08 ; 9.037454e+08 + i -2.796447e+08 ; 3.310398e+08 + i 2.471697e+07 ; -1.617932e+08 + i -3.429889e+07 ; 2.245135e+08 + i 1.908283e+09 ; 1.011472e+09 + i 8.767269e+08 ; 1.016915e+08 + i 1.379328e+08 ; 8.419758e+08 + i -4.149698e+08 ; -1.452322e+08 + i -1.220059e+08 ; 6.798155e+07 + i 1.148634e+08 ; 1.365738e+09 + i 2.090333e+09 ; -8.821627e+07 + i -3.396261e+08 ; 
