-7.188296e+09 + i 1.452308e+10 ; 6.510787e+08 + i -1.166148e+09 ; 6.416578e+08 + i -1.167958e+09 ; -2.620811e+07 + i -1.094887e+10 ; 1.905959e+09 + i 8.218710e+08 ; 1.899623e+09 + i 8.025859e+08 ; 2.316702e+09 + i 3.778171e+09 ; -7.792133e+08 + i 1.481043e+08 ; 6.616179e+07 + i -1.333068e+09 ; -5.751570e+09 + i -7.027098e+08 ; 4.900080e+08 + i -3.952493e+09 ; 1.291944e+09 + i -4.166021e+08 ; 2.312379e+09 + i 3.802994e+09 ; 7.406170e+07 + i -1.353028e+09 ; -7.621475e+08 + i 1.494339e+08 ; -5.750245e+09 + i -6.894329e+08 ; 1.320730e+09 + i -4.119541e+08 ; 4.926275e+08 + i -3.948755e+09 ; 2.235825e+09 + i -1.494669e+09 ; -2.588989e+08 + i 4.971441e+08 ; -2.477543e+08 + i 5.146312e+08 ; -4.113878e+09 + i 4.313206e+09 ; -4.942142e+08 + i -1.476107e+09 ; -4.959842e+08 + i -1.466001e+09 ; 8.833185e+08 + i -6.578250e+08 ; 2.185899e+08 + i -2.661625e+08 ; 2.176113e+08 + i -2.719932e+08 ; 5.754179e+08 + i -3.034737e+08 ; -7.471601e+06 + i -2.275517e+08 ; -9.083573e+06 + i -2.286924e+08 ; 3.894999e+08 + i -1.034667e+09 ; -1.529011e+08 + i -3.678861e+08 ; 1.383981e+08 + i -3.143138e+08 ; 8.506219e+08 + i -4.620620e+08 ; -6.223361e+07 + i -1.284643e+08 ; -4.645413e+07 + i -2.252937e+08 ; 3.920675e+08 + i -1.036184e+09 ; 1.430682e+08 + i -3.145555e+08 ; -1.488552e+08 + i -3.680565e+08 ; 8.472674e+08 + i -4.667267e+08 ; -4.459328e+07 + i -2.280734e+08 ; -5.880302e+07 + i -1.300843e+08 ; -1.004537e+08 + i -1.144632e+09 ; -1.329879e+08 + i -2.669306e+08 ; -1.307000e+08 + i -2.662097e+08 ; 1.063233e+09 + i -7.044347e+08 ; -3.748359e+07 + i -1.143461e+08 ; -3.596746e+07 + i -1.131941e+08 ; 
-6.083694e+08 + i -1.029391e+09 ; -5.526675e+08 + i -9.498139e+08 ; -4.139458e+09 + i 4.136024e+09 ; 1.071139e+09 + i -7.426865e+08 ; -3.359844e+08 + i -2.819861e+09 ; -5.769741e+09 + i -6.309372e+08 ; -3.639988e+08 + i -2.892080e+09 ; 1.197103e+09 + i -7.218963e+08 ; -5.775110e+09 + i -7.320189e+08 ; 1.883037e+09 + i 6.317546e+08 ; 1.989346e+09 + i 6.619454e+08 ; -2.871398e+08 + i -1.095461e+10 ; -4.019124e+08 + i 6.091140e+08 ; -3.221522e+08 + i 6.643349e+08 ; 2.250219e+09 + i -1.859012e+09 ; -1.955615e+08 + i -9.966811e+08 ; -1.058611e+09 + i -9.391503e+07 ; 2.358252e+09 + i 3.554587e+09 ; -1.125187e+09 + i -1.524570e+08 ; -1.319920e+08 + i -1.010884e+09 ; 2.365078e+09 + i 3.551864e+09 ; 2.290979e+08 + i -9.106434e+08 ; 2.811637e+08 + i -9.229171e+08 ; -7.185170e+09 + i 1.435872e+10 ; 2.188927e+08 + i 6.208511e+08 ; -1.381122e+08 + i -3.349810e+08 ; -8.000796e+08 + i 8.204534e+08 ; -3.255177e+08 + i 3.907187e+08 ; -8.269032e+07 + i -9.753474e+07 ; -8.384600e+06 + i 6.734095e+08 ; 6.090879e+07 + i 1.006843e+09 ; 1.155843e+08 + i -1.744784e+08 ; -1.042801e+09 + i 4.090019e+08 ; -4.504065e+08 + i 2.446387e+08 ; -3.305320e+07 + i -1.238407e+08 ; -1.888554e+08 + i 6.390574e+08 ; 1.880131e+08 + i 2.121962e+06 ; -1.422365e+08 + i -1.504231e+06 ; 4.827318e+07 + i 3.519021e+08 ; 8.344106e+07 + i 4.404473e+08 ; -2.455435e+07 + i -1.592967e+07 ; -2.809400e+08 + i 1.276193e+08 ; 1.941340e+08 + i 1.201708e+07 ; -7.315041e+07 + i -2.606431e+08 ; 7.397706e+07 + i 8.008168e+08 ; 2.784980e+07 + i 4.110294e+08 ; -1.365430e+08 + i -1.251608e+08 ; -1.486366e+08 + i 1.830931e+08 ; 
8.987339e+08 + i -6.062996e+08 ; -4.078305e+08 + i 3.524761e+08 ; -4.060212e+08 + i 3.535313e+08 ; -7.565179e+07 + i -2.067943e+09 ; -7.934491e+08 + i -2.177269e+08 ; -7.943617e+08 + i -2.121614e+08 ; 4.084961e+08 + i -1.008552e+09 ; 1.763858e+08 + i 1.340990e+08 ; -2.713571e+08 + i 4.292171e+08 ; -4.160019e+08 + i -8.428773e+08 ; -5.919445e+07 + i 1.119419e+09 ; -6.613075e+08 + i 6.271667e+07 ; 4.060966e+08 + i -1.011477e+09 ; -2.751100e+08 + i 4.350215e+08 ; 1.696052e+08 + i 1.313763e+08 ; -4.247741e+08 + i -8.469609e+08 ; -6.698356e+08 + i 6.223485e+07 ; -6.132813e+07 + i 1.116062e+09 ; -1.060432e+08 + i -1.132901e+09 ; 9.275068e+07 + i -1.250720e+07 ; 8.974702e+07 + i -1.884912e+07 ; -1.884747e+08 + i -1.564597e+08 ; 1.392744e+08 + i 5.919070e+08 ; 1.414307e+08 + i 5.880015e+08 ; -6.874242e+09 + i 1.439250e+10 ; 6.317039e+08 + i -1.018501e+09 ; 6.229767e+08 + i -1.018289e+09 ; -4.297945e+07 + i -1.095037e+10 ; 1.934730e+09 + i 8.775127e+08 ; 1.928327e+09 + i 8.593368e+08 ; 2.563926e+09 + i 3.573410e+09 ; -6.796314e+08 + i 2.101372e+08 ; 9.961889e+07 + i -1.189285e+09 ; -5.752769e+09 + i -7.042217e+08 ; 5.239681e+08 + i -3.927486e+09 ; 1.371104e+09 + i -3.286881e+08 ; 2.560891e+09 + i 3.595172e+09 ; 1.055314e+08 + i -1.208648e+09 ; -6.633134e+08 + i 2.116154e+08 ; -5.751477e+09 + i -6.936560e+08 ; 1.399164e+09 + i -3.238744e+08 ; 5.263485e+08 + i -3.922888e+09 ; 2.418331e+09 + i -1.757426e+09 ; -2.165300e+08 + i 5.232263e+08 ; -2.060360e+08 + i 5.396630e+08 ; -4.120484e+09 + i 4.299554e+09 ; -4.892133e+08 + i -1.441799e+09 ; -4.918417e+08 + i -1.432452e+09 ; 
-1.327331e+08 + i 6.484827e+08 ; -1.376382e+08 + i 2.132987e+08 ; -1.121665e+08 + i -1.921069e+08 ; 3.694297e+08 + i 2.282571e+08 ; 7.519224e+07 + i 8.403502e+08 ; -6.252682e+06 + i -3.288416e+08 ; -6.587986e+08 + i 2.736310e+08 ; -1.813677e+08 + i 6.356789e+08 ; 1.795493e+07 + i -1.505752e+08 ; -1.912382e+08 + i 1.408070e+09 ; -1.006456e+09 + i 4.195734e+08 ; 2.028127e+08 + i -1.304670e+08 ; -1.627281e+07 + i 7.192458e+08 ; -2.558419e+08 + i 1.642140e+08 ; -1.187698e+07 + i -2.219029e+07 ; 3.284528e+08 + i 1.208740e+08 ; 6.058431e+07 + i 3.925508e+08 ; -1.351838e+08 + i -4.106690e+07 ; -5.081041e+08 + i 4.994043e+08 ; -1.440562e+06 + i 6.760276e+08 ; -8.563066e+07 + i -1.411422e+08 ; 8.478348e+07 + i 9.104929e+08 ; -7.861977e+08 + i 8.224384e+08 ; -6.996010e+07 + i -4.889856e+08 ; 4.893811e+08 + i -1.228802e+09 ; -7.155646e+09 + i 1.436013e+10 ; 6.362198e+08 + i -1.192831e+09 ; -9.106393e+08 + i 7.730358e+07 ; 2.272109e+09 + i 3.536953e+09 ; 6.665837e+07 + i -1.334293e+09 ; 1.790563e+09 + i 6.772499e+08 ; -1.499279e+08 + i -1.104363e+10 ; 1.913431e+09 + i 8.104022e+08 ; 3.974680e+08 + i -3.984253e+09 ; -5.907136e+09 + i -8.732738e+08 ; 1.297441e+09 + i -4.007982e+08 ; -8.677065e+07 + i -1.345714e+09 ; 2.287709e+09 + i 3.606215e+09 ; -7.725162e+08 + i 1.544130e+08 ; -3.467648e+08 + i 3.861517e+08 ; 2.185430e+09 + i -1.700426e+09 ; -2.430331e+08 + i 5.204078e+08 ; 1.152424e+09 + i -4.701411e+08 ; -5.863362e+09 + i -7.524073e+08 ; 4.696505e+08 + i -3.927629e+09 ; -5.352685e+08 + i -1.561611e+09 ; -4.258475e+09 + i 4.187162e+09 ; -4.896429e+08 + i -1.450662e+09 ; 
-1.310287e+08 + i 6.472819e+08 ; -1.122401e+08 + i -1.912048e+08 ; -1.318525e+08 + i 2.219517e+08 ; 3.696991e+08 + i 2.291204e+08 ; -5.492215e+06 + i -3.284939e+08 ; 8.163275e+07 + i 8.339997e+08 ; -1.509734e+07 + i 7.179173e+08 ; -1.405636e+07 + i -2.205199e+07 ; -2.418749e+08 + i 1.700726e+08 ; 3.277149e+08 + i 1.182340e+08 ; -1.373488e+08 + i -4.301243e+07 ; 6.345328e+07 + i 3.980619e+08 ; -6.537480e+08 + i 2.789511e+08 ; 1.744719e+07 + i -1.511107e+08 ; -1.800468e+08 + i 6.355944e+08 ; -1.895640e+08 + i 1.411932e+09 ; 2.032207e+08 + i -1.329669e+08 ; -1.013199e+09 + i 4.212830e+08 ; -5.052648e+08 + i 5.043975e+08 ; -8.623863e+07 + i -1.419055e+08 ; 5.317695e+06 + i 6.685460e+08 ; 8.311420e+07 + i 9.136478e+08 ; -6.977289e+07 + i -4.897007e+08 ; -7.832328e+08 + i 8.188147e+08 ; 4.864051e+08 + i -1.221776e+09 ; 6.368746e+08 + i -1.194832e+09 ; -7.166528e+09 + i 1.430326e+10 ; -9.061664e+08 + i 7.694595e+07 ; 6.135346e+07 + i -1.338383e+09 ; 2.224143e+09 + i 3.554030e+09 ; -9.141966e+07 + i -1.340539e+09 ; -7.737616e+08 + i 1.413780e+08 ; 2.218079e+09 + i 3.592830e+09 ; -3.445796e+08 + i 3.962884e+08 ; -2.513340e+08 + i 5.085098e+08 ; 2.139461e+09 + i -1.614660e+09 ; 1.779176e+09 + i 6.728424e+08 ; 1.913905e+09 + i 8.042288e+08 ; -1.715595e+08 + i -1.104203e+10 ; 3.954213e+08 + i -3.986301e+09 ; 1.291834e+09 + i -4.042507e+08 ; -5.886196e+09 + i -8.303630e+08 ; 1.143798e+09 + i -4.761666e+08 ; 4.732617e+08 + i -3.925588e+09 ; -5.857773e+09 + i -7.479204e+08 ; -5.303229e+08 + i -1.564966e+09 ; -4.855019e+08 + i -1.451461e+09 ; -4.255004e+09 + i 4.234215e+09 ; 
5.573460e+08 + i -2.911831e+08 ; 3.135947e+07 + i 2.074010e+08 ; 3.072601e+07 + i 2.074770e+08 ; 8.930271e+08 + i -6.413422e+08 ; -1.760976e+08 + i 2.689464e+08 ; -1.769690e+08 + i 2.754927e+08 ; 8.449151e+08 + i -4.502555e+08 ; 7.367705e+07 + i 1.153361e+08 ; 6.339195e+07 + i 2.015497e+08 ; 3.974820e+08 + i -1.028227e+09 ; 1.834795e+08 + i 3.394306e+08 ; -9.904657e+07 + i 3.080654e+08 ; 8.438673e+08 + i -4.572634e+08 ; 6.471816e+07 + i 2.040660e+08 ; 7.044605e+07 + i 1.173470e+08 ; 4.023239e+08 + i -1.035320e+09 ; -1.021505e+08 + i 3.090974e+08 ; 1.825181e+08 + i 3.403169e+08 ; 1.072042e+09 + i -7.036877e+08 ; 4.942888e+07 + i 1.031619e+08 ; 4.554805e+07 + i 1.029988e+08 ; -9.809134e+07 + i -1.156814e+09 ; 1.565457e+08 + i 2.458876e+08 ; 1.557614e+08 + i 2.429819e+08 ; -5.028995e+07 + i -1.096765e+10 ; -1.912210e+09 + i -5.982446e+08 ; -1.909709e+09 + i -5.740137e+08 ; -7.220408e+09 + i 1.448380e+10 ; -5.010432e+08 + i 1.197993e+09 ; -4.898577e+08 + i 1.196848e+09 ; -5.759424e+09 + i -6.978976e+08 ; -7.833003e+07 + i 3.808234e+09 ; -1.193566e+09 + i 5.343649e+08 ; 2.326328e+09 + i 3.771824e+09 ; 7.335156e+08 + i -2.211742e+08 ; 8.278796e+07 + i 1.290135e+09 ; -5.758932e+09 + i -6.954632e+08 ; -1.219896e+09 + i 5.259901e+08 ; -7.996424e+07 + i 3.809165e+09 ; 2.324277e+09 + i 3.786366e+09 ; 7.166942e+07 + i 1.310605e+09 ; 7.188160e+08 + i -2.251313e+08 ; -4.127139e+09 + i 4.293791e+09 ; 6.147873e+08 + i 1.354869e+09 ; 6.172801e+08 + i 1.347835e+09 ; 2.275176e+09 + i -1.534711e+09 ; 1.928363e+08 + i -5.012290e+08 ; 1.901022e+08 + i -5.206000e+08 ; 
-1.717714e+08 + i -1.657182e+07 ; -1.158718e+08 + i 2.930736e+08 ; -7.654373e+07 + i -5.012648e+07 ; -1.125521e+08 + i 3.161976e+07 ; -1.379458e+08 + i 1.901089e+08 ; -1.129497e+08 + i -1.495180e+08 ; -2.100372e+08 + i -9.772437e+07 ; 4.122593e+07 + i 2.288835e+08 ; -4.654401e+07 + i -5.570958e+07 ; -3.207828e+08 + i 1.703524e+08 ; -1.876925e+08 + i 6.282759e+08 ; -3.625709e+07 + i -1.383533e+08 ; -1.844881e+08 + i 2.590734e+07 ; -1.512832e+08 + i 3.213898e+08 ; -3.761660e+07 + i -6.279745e+07 ; -5.623382e+07 + i 2.470604e+07 ; -2.709276e+08 + i 1.413832e+08 ; -3.533121e+07 + i -5.615527e+07 ; -2.377562e+08 + i -5.191428e+07 ; 9.130418e+07 + i 1.898073e+08 ; -5.406368e+07 + i -7.967747e+07 ; -2.150435e+08 + i 1.739562e+08 ; -9.919485e+06 + i 6.733610e+08 ; -6.293193e+07 + i -1.385069e+08 ; 5.289071e+08 + i -3.807557e+08 ; 2.279226e+09 + i 3.604410e+09 ; -5.381560e+07 + i -1.280988e+09 ; -1.573363e+08 + i 1.043550e+09 ; -7.176301e+09 + i 1.427401e+10 ; 5.085433e+08 + i -1.166453e+09 ; 7.277324e+08 + i 3.084853e+09 ; -5.908905e+09 + i -8.648923e+08 ; 1.217243e+09 + i -4.856468e+08 ; -1.685687e+09 + i -1.280589e+08 ; -1.979221e+08 + i -1.116533e+10 ; 1.910303e+09 + i 6.037044e+08 ; 4.504673e+07 + i -4.819975e+08 ; 2.217588e+09 + i -1.673938e+09 ; -1.813905e+08 + i 5.144189e+08 ; 3.333237e+08 + i 1.012461e+09 ; 2.278478e+09 + i 3.580552e+09 ; -7.036247e+08 + i 2.397150e+08 ; 7.657053e+08 + i 9.323674e+08 ; -4.265110e+09 + i 4.170762e+09 ; -6.106861e+08 + i -1.334054e+09 ; -8.896731e+08 + i 6.336003e+08 ; -5.898500e+09 + i -8.461049e+08 ; 8.583005e+07 + i -3.790255e+09 ; 
-1.714840e+08 + i -1.654036e+07 ; -7.578741e+07 + i -4.967873e+07 ; -1.143699e+08 + i 2.918418e+08 ; -1.127898e+08 + i 3.243980e+07 ; -1.125012e+08 + i -1.500067e+08 ; -1.483182e+08 + i 1.920957e+08 ; -1.834094e+08 + i 2.577832e+07 ; -3.819766e+07 + i -6.214564e+07 ; -1.465488e+08 + i 3.169282e+08 ; -5.498022e+07 + i 2.448871e+07 ; -3.723857e+07 + i -5.645068e+07 ; -2.698695e+08 + i 1.455543e+08 ; -2.109250e+08 + i -9.636141e+07 ; -4.638015e+07 + i -5.631241e+07 ; 3.507159e+07 + i 2.267572e+08 ; -3.228531e+08 + i 1.715127e+08 ; -3.637508e+07 + i -1.401730e+08 ; -1.919090e+08 + i 6.318092e+08 ; -2.375734e+08 + i -5.052593e+07 ; -5.473153e+07 + i -8.038961e+07 ; 8.729207e+07 + i 1.830139e+08 ; -2.167131e+08 + i 1.750037e+08 ; -6.325991e+07 + i -1.397110e+08 ; -7.932277e+06 + i 6.703140e+08 ; 5.266504e+08 + i -3.817276e+08 ; -5.651190e+07 + i -1.282725e+09 ; 2.236278e+09 + i 3.603870e+09 ; -1.551945e+08 + i 1.031813e+09 ; 5.052320e+08 + i -1.169342e+09 ; -7.201218e+09 + i 1.424644e+10 ; 4.181789e+07 + i -4.861728e+08 ; -1.895247e+08 + i 5.034831e+08 ; 2.182651e+09 + i -1.595961e+09 ; 3.358842e+08 + i 1.007821e+09 ; -7.087235e+08 + i 2.269203e+08 ; 2.204503e+09 + i 3.596483e+09 ; 7.283472e+08 + i 3.091737e+09 ; 1.213321e+09 + i -4.886318e+08 ; -5.887772e+09 + i -8.383581e+08 ; -1.676584e+09 + i -1.252411e+08 ; 1.907691e+09 + i 5.982211e+08 ; -2.112855e+08 + i -1.114197e+10 ; 7.613462e+08 + i 9.382782e+08 ; -6.073423e+08 + i -1.335364e+09 ; -4.235966e+09 + i 4.209321e+09 ; -8.845475e+08 + i 6.352382e+08 ; 9.008648e+07 + i -3.789153e+09 ; -5.888306e+09 + i -8.269341e+08 ; 
3.946705e+08 + i -1.005261e+09 ; -1.235892e+08 + i -1.297944e+08 ; -2.117966e+08 + i 4.211926e+08 ; -4.284532e+08 + i -8.619551e+08 ; -2.274898e+08 + i -9.096927e+08 ; -6.015008e+08 + i 1.237882e+08 ; 9.109375e+08 + i -6.311912e+08 ; 2.680205e+08 + i -4.024841e+08 ; -3.381895e+08 + i 3.619125e+08 ; -6.182181e+07 + i -2.080288e+09 ; 6.587981e+08 + i -1.564677e+08 ; -7.448209e+08 + i -1.095278e+08 ; -1.136706e+08 + i -1.123105e+09 ; -5.986882e+07 + i -4.908993e+07 ; 7.778123e+07 + i -2.051576e+07 ; -1.990841e+08 + i -1.655896e+08 ; -2.418078e+08 + i -4.481530e+08 ; 1.844231e+08 + i 5.246745e+08 ; 4.057705e+08 + i -1.029985e+09 ; 1.288226e+08 + i -4.474455e+08 ; 1.649974e+08 + i 1.036218e+08 ; -4.147249e+08 + i -8.648786e+08 ; 4.889863e+08 + i -2.621500e+08 ; 5.235334e+07 + i 1.025579e+09 ; 2.548774e+09 + i 3.615593e+09 ; 4.961417e+08 + i 3.032445e+08 ; -3.134087e+06 + i -1.111879e+09 ; -5.763004e+09 + i -6.032854e+08 ; 8.790024e+08 + i 3.080914e+09 ; 1.221667e+09 + i -4.118217e+08 ; -6.848636e+09 + i 1.431284e+10 ; -5.071259e+08 + i 8.991359e+08 ; 4.880232e+08 + i -9.780274e+08 ; -1.437314e+08 + i -1.099601e+10 ; -1.685058e+09 + i -7.773018e+08 ; 1.834856e+09 + i 6.150710e+08 ; 2.385247e+09 + i -1.734786e+09 ; 1.740617e+08 + i -4.435251e+08 ; -1.322937e+08 + i 4.904364e+08 ; -4.063427e+09 + i 4.330699e+09 ; 8.943579e+08 + i 7.780384e+08 ; -6.050368e+08 + i -1.249320e+09 ; 2.489775e+09 + i 3.561975e+09 ; 6.000344e+07 + i 1.124821e+09 ; -5.835538e+08 + i 2.432178e+08 ; -5.749897e+09 + i -6.602680e+08 ; -1.075764e+09 + i 6.142744e+08 ; 7.255032e+07 + i -3.635539e+09 ; 
5.428995e+08 + i -2.363470e+08 ; -1.597012e+08 + i 6.305993e+08 ; -1.537905e+06 + i 1.383324e+08 ; 4.790525e+07 + i -1.267330e+09 ; -9.916269e+08 + i 3.869376e+08 ; -1.765042e+08 + i 1.395049e+08 ; 4.705847e+07 + i -5.984374e+08 ; -1.282102e+08 + i 1.862580e+08 ; 1.226500e+08 + i 1.632999e+08 ; -3.628354e+08 + i -9.931274e+07 ; 6.678733e+07 + i 8.190554e+08 ; 3.842879e+07 + i 2.992081e+08 ; 4.235703e+08 + i -4.300858e+08 ; 1.187900e+07 + i 6.642650e+08 ; 9.158200e+07 + i 1.201416e+08 ; -1.688034e+08 + i -8.086257e+08 ; -7.853747e+08 + i 8.037389e+08 ; 1.115711e+08 + i 4.426234e+08 ; -4.317565e+07 + i -6.473173e+08 ; -2.588055e+08 + i 1.295644e+08 ; 1.182689e+07 + i 1.787577e+07 ; -3.171766e+08 + i -6.805834e+07 ; 5.196329e+07 + i 3.778248e+08 ; 1.273014e+08 + i 2.395943e+07 ; -1.764717e+09 + i -1.117133e+09 ; -1.857682e+08 + i -1.113432e+10 ; -1.847954e+09 + i -5.393532e+08 ; -4.412871e+07 + i 3.569442e+09 ; -5.925637e+09 + i -7.177098e+08 ; -1.145234e+09 + i 5.028989e+08 ; -5.000196e+08 + i 1.231760e+09 ; -7.214539e+09 + i 1.432083e+10 ; -4.523463e+08 + i 1.158775e+09 ; 9.232353e+08 + i 4.503186e+08 ; 2.362229e+09 + i 3.634051e+09 ; 8.594226e+07 + i 1.226303e+09 ; -1.161647e+09 + i 4.680713e+08 ; -5.874066e+09 + i -7.488954e+08 ; -5.226189e+07 + i 3.639071e+09 ; 6.802452e+08 + i 1.237584e+09 ; -4.242469e+09 + i 4.227083e+09 ; 5.967781e+08 + i 1.276186e+09 ; 3.230909e+07 + i 1.385027e+09 ; 2.274362e+09 + i 3.583172e+09 ; 6.924421e+08 + i -2.210467e+08 ; 4.204483e+08 + i -3.608521e+08 ; 2.236819e+09 + i -1.781244e+09 ; 1.781346e+08 + i -5.042578e+08 ; 
2.007165e+07 + i 6.435253e+08 ; 1.847764e+07 + i 2.304742e+07 ; -2.420335e+08 + i 1.631009e+08 ; 3.062613e+08 + i 9.394777e+07 ; 1.137092e+08 + i -6.667295e+06 ; 6.295382e+07 + i 3.901979e+08 ; -8.328978e+07 + i 6.091705e+08 ; 1.271085e+08 + i 1.251925e+08 ; -1.228368e+08 + i 2.242859e+08 ; 3.445635e+08 + i 1.955005e+08 ; 9.165710e+07 + i 2.398919e+08 ; 7.759715e+07 + i 8.332985e+08 ; -4.254311e+08 + i 4.797581e+08 ; 8.687286e+07 + i 9.210628e+07 ; 1.497137e+06 + i 6.672750e+08 ; 1.265245e+08 + i 8.363689e+08 ; 1.690454e+08 + i 3.647152e+08 ; -7.840717e+08 + i 8.194967e+08 ; -5.879186e+08 + i 3.053452e+08 ; 3.038138e+06 + i 1.194483e+08 ; -1.738371e+08 + i 6.319515e+08 ; -1.100903e+08 + i 1.301496e+09 ; -1.269210e+08 + i 1.820761e+08 ; -1.010071e+09 + i 4.233142e+08 ; -1.426891e+08 + i -1.183579e+09 ; 5.414831e+08 + i -3.211807e+08 ; 2.229062e+09 + i 3.610689e+09 ; -2.934295e+08 + i 4.154295e+08 ; 9.094422e+07 + i -4.479651e+08 ; 2.180893e+09 + i -1.618700e+09 ; 3.476673e+08 + i -1.140462e+09 ; -1.848386e+08 + i 1.044648e+09 ; -7.208970e+09 + i 1.430298e+10 ; -7.947908e+08 + i 1.573601e+08 ; 2.724818e+08 + i 1.008105e+09 ; 2.207899e+09 + i 3.613566e+09 ; 9.897354e+08 + i -4.035262e+08 ; 6.375548e+08 + i 3.015172e+09 ; -5.871213e+09 + i -7.486788e+08 ; -6.211219e+08 + i -1.390975e+09 ; 7.743909e+08 + i 9.746979e+08 ; -4.244604e+09 + i 4.228232e+09 ; 1.660107e+09 + i 4.865669e+08 ; -1.647853e+09 + i -1.458505e+08 ; -1.809155e+08 + i -1.102833e+10 ; 1.485377e+08 + i -3.649589e+09 ; -8.364870e+08 + i 5.164856e+08 ; -5.886516e+09 + i -7.992802e+08 ; 
8.371372e+08 + i -4.477417e+08 ; -1.166011e+08 + i -6.488649e+07 ; 6.162602e+07 + i 1.727518e+08 ; 4.087428e+08 + i -1.024521e+09 ; -2.113989e+08 + i -1.394461e+08 ; -7.485275e+07 + i 2.711709e+08 ; 5.742421e+08 + i -2.822516e+08 ; -9.100684e+07 + i -1.411563e+08 ; 3.510246e+07 + i 1.783276e+08 ; 8.928978e+08 + i -6.171859e+08 ; 3.594348e+07 + i -1.846544e+08 ; -1.386277e+08 + i 2.476033e+08 ; 1.060498e+09 + i -6.997364e+08 ; -8.962371e+07 + i -3.990295e+07 ; 4.398443e+07 + i 8.882499e+07 ; -1.045725e+08 + i -1.153970e+09 ; -1.441644e+08 + i -1.065064e+08 ; 1.444572e+08 + i 2.048436e+08 ; 8.645967e+08 + i -4.641959e+08 ; -1.163875e+08 + i -1.120431e+08 ; 6.505432e+07 + i 9.829447e+07 ; 4.150516e+08 + i -1.019085e+09 ; 8.505024e+06 + i -2.171386e+08 ; 1.726461e+08 + i 2.854214e+08 ; -5.691811e+09 + i -6.041302e+08 ; -3.624117e+08 + i -2.818924e+09 ; -1.011197e+09 + i 5.036912e+08 ; 2.342043e+09 + i 3.796646e+09 ; -1.000687e+09 + i -4.793234e+08 ; 1.144403e+08 + i 1.111541e+09 ; -1.867361e+08 + i -1.097206e+10 ; 1.991452e+09 + i 8.974951e+08 ; -1.660835e+09 + i -4.038840e+08 ; -7.198394e+09 + i 1.451828e+10 ; 1.221851e+08 + i -9.985431e+08 ; -3.690335e+08 + i 1.048300e+09 ; -4.041621e+09 + i 4.325382e+09 ; -7.081062e+08 + i -7.306835e+08 ; 5.909810e+08 + i 1.140671e+09 ; 2.241813e+09 + i -1.524140e+09 ; -3.291476e+08 + i 4.052756e+08 ; 1.331638e+08 + i -4.568333e+08 ; -5.764422e+09 + i -6.488967e+08 ; 1.082865e+09 + i -5.993256e+08 ; 9.821675e+07 + i 3.295944e+09 ; 2.297625e+09 + i 3.772927e+09 ; -1.598582e+08 + i -1.182906e+09 ; 6.102619e+08 + i -2.360909e+08 ; 
2.075293e+08 + i 6.676487e+07 ; 3.424237e+07 + i 2.346472e+08 ; 4.203348e+07 + i 4.614527e+07 ; 3.173136e+08 + i -2.169375e+08 ; -1.952642e+08 + i 6.448255e+08 ; 3.598591e+07 + i 1.187346e+08 ; 1.879496e+08 + i 9.664848e+06 ; -1.287525e+08 + i 2.975201e+08 ; 6.873309e+07 + i 4.006477e+07 ; 1.426680e+08 + i -5.545761e+07 ; -1.367278e+08 + i 2.062913e+08 ; 1.042439e+08 + i 1.246552e+08 ; 2.398585e+08 + i 1.529489e+07 ; 8.394348e+07 + i 2.078186e+08 ; 4.989284e+07 + i 6.677223e+07 ; 1.870388e+08 + i -2.067412e+08 ; -4.962098e+06 + i 6.869461e+08 ; 6.099101e+07 + i 1.184753e+08 ; 2.098168e+08 + i -4.487379e+07 ; -1.652471e+08 + i 3.371114e+08 ; 3.485036e+07 + i 5.243955e+07 ; 6.845151e+07 + i -6.422848e+07 ; -2.615788e+08 + i 1.474024e+08 ; 3.279382e+07 + i 4.742606e+07 ; -3.347833e+08 + i -2.761899e+09 ; -5.819459e+09 + i -7.571120e+08 ; -1.032739e+09 + i 4.770743e+08 ; 1.982158e+09 + i 9.626716e+08 ; -2.712075e+08 + i -1.117990e+10 ; -1.684359e+09 + i -4.359698e+08 ; -9.851257e+08 + i -3.932711e+08 ; 2.403444e+09 + i 3.622841e+09 ; 1.106027e+08 + i 1.105619e+09 ; 1.176474e+08 + i -9.531288e+08 ; -7.191080e+09 + i 1.434394e+10 ; -3.835210e+08 + i 1.040350e+09 ; -6.840554e+08 + i -6.692609e+08 ; -4.206277e+09 + i 4.195412e+09 ; 5.859447e+08 + i 1.134557e+09 ; 1.089524e+09 + i -5.230722e+08 ; -5.906536e+09 + i -8.442711e+08 ; 8.770649e+07 + i 3.289250e+09 ; -3.066118e+08 + i 4.751757e+08 ; 2.250052e+09 + i -1.766616e+09 ; 1.353559e+08 + i -4.575397e+08 ; -1.564181e+08 + i -1.129538e+09 ; 2.308350e+09 + i 3.552227e+09 ; 5.990896e+08 + i -2.354411e+08 ; 
