-4.639477e+10 + i 2.783578e+10 ; 4.161689e+08 + i -1.087019e+08 ; 4.160553e+08 + i -1.086806e+08 ; 1.959368e+10 + i -2.069757e+10 ; 1.021485e+09 + i 1.313885e+09 ; 1.021552e+09 + i 1.313684e+09 ; -8.097540e+09 + i 1.126477e+10 ; -6.147680e+08 + i -6.369341e+08 ; 2.617554e+08 + i -1.844121e+08 ; -2.243544e+09 + i -6.172290e+09 ; 5.469750e+09 + i -5.714480e+09 ; 6.929569e+08 + i 4.311519e+08 ; -8.097676e+09 + i 1.126482e+10 ; 2.621678e+08 + i -1.844799e+08 ; -6.147139e+08 + i -6.368378e+08 ; -2.243732e+09 + i -6.172163e+09 ; 6.936925e+08 + i 4.315766e+08 ; 5.469744e+09 + i -5.714413e+09 ; -1.116010e+09 + i 5.284815e+09 ; -4.632646e+08 + i -3.441511e+08 ; -4.633057e+08 + i -3.439346e+08 ; -3.310241e+09 + i -1.507481e+09 ; 1.531728e+09 + i -2.590625e+09 ; 1.531685e+09 + i -2.590534e+09 ; 1.623939e+09 + i -3.835187e+08 ; 1.357047e+08 + i 1.582217e+07 ; 1.357355e+08 + i 1.577187e+07 ; 6.269324e+08 + i -4.186147e+06 ; 5.341574e+07 + i -2.686673e+07 ; 5.341012e+07 + i -2.687957e+07 ; 1.065448e+09 + i -7.197247e+08 ; 2.557515e+08 + i -5.997745e+08 ; 1.117636e+08 + i -1.116176e+07 ; 6.013522e+08 + i -1.129153e+08 ; 3.291746e+07 + i -2.285966e+08 ; 4.501186e+07 + i -3.151949e+07 ; 1.065423e+09 + i -7.196522e+08 ; 1.118991e+08 + i -1.110542e+07 ; 2.557638e+08 + i -5.997541e+08 ; 6.013433e+08 + i -1.129222e+08 ; 4.508191e+07 + i -3.151996e+07 ; 3.292848e+07 + i -2.285869e+08 ; 6.658486e+08 + i -7.946447e+08 ; 1.581371e+08 + i -4.785096e+08 ; 1.581471e+08 + i -4.785029e+08 ; 5.476531e+08 + i -1.974175e+08 ; 1.768980e+07 + i -1.990216e+08 ; 1.769091e+07 + i -1.990094e+08 ; 
1.398326e+09 + i -2.490706e+09 ; 1.404575e+09 + i -2.451921e+09 ; -3.345992e+09 + i -1.560024e+09 ; 6.190121e+08 + i 3.719578e+08 ; 5.034999e+09 + i -5.481799e+09 ; -2.293722e+09 + i -6.195236e+09 ; 5.041406e+09 + i -5.516187e+09 ; 6.896108e+08 + i 4.406784e+08 ; -2.280074e+09 + i -6.230205e+09 ; 9.184097e+08 + i 1.254677e+09 ; 9.979803e+08 + i 1.340858e+09 ; 1.954288e+10 + i -2.075797e+10 ; -4.806590e+08 + i -3.626576e+08 ; -4.664688e+08 + i -3.343709e+08 ; -1.092283e+09 + i 5.247197e+09 ; 1.993458e+08 + i -1.972662e+08 ; -6.113034e+08 + i -7.115978e+08 ; -8.042145e+09 + i 1.126744e+10 ; -6.169998e+08 + i -7.389077e+08 ; 2.473048e+08 + i -1.771264e+08 ; -8.070365e+09 + i 1.122948e+10 ; 3.381658e+08 + i -1.357658e+08 ; 3.907689e+08 + i -1.118489e+08 ; -4.633546e+10 + i 2.784529e+10 ; -8.123166e+08 + i 1.116809e+09 ; 4.196778e+08 + i -6.661708e+08 ; -1.047288e+09 + i 3.711020e+07 ; -5.171047e+08 + i 1.738477e+08 ; 2.187257e+07 + i -1.898150e+08 ; -4.929454e+08 + i 3.089479e+08 ; -1.589250e+09 + i 1.726726e+09 ; 1.239712e+08 + i 5.689069e+07 ; -1.100858e+09 + i -3.455811e+08 ; -6.906821e+08 + i 8.850977e+07 ; 4.246147e+07 + i -1.865554e+07 ; -5.785107e+08 + i 2.686269e+08 ; 1.807686e+08 + i 1.956538e+08 ; -1.365067e+08 + i -1.305176e+08 ; -8.928261e+08 + i 1.513522e+09 ; -4.325247e+07 + i 1.318882e+08 ; -6.791817e+07 + i -4.325766e+07 ; -2.108320e+08 + i 5.506831e+08 ; 2.037881e+08 + i 2.506320e+08 ; 4.397801e+07 + i -7.428414e+07 ; -1.635876e+09 + i 2.080836e+09 ; -7.017435e+07 + i 1.260328e+08 ; 5.109395e+06 + i -5.074615e+07 ; -2.765444e+08 + i 6.586391e+08 ; 
1.622298e+09 + i -3.824215e+08 ; -2.369675e+08 + i -7.426393e+07 ; -2.369451e+08 + i -7.426573e+07 ; 3.588998e+09 + i -4.048177e+09 ; -3.841212e+08 + i -4.377177e+08 ; -3.841544e+08 + i -4.376759e+08 ; 1.064756e+09 + i -7.187796e+08 ; -2.051915e+08 + i 6.310021e+08 ; -1.958915e+08 + i -3.243531e+07 ; 9.302929e+08 + i -2.275643e+09 ; -1.640394e+09 + i 1.809723e+09 ; -3.135541e+08 + i -2.503291e+08 ; 1.064764e+09 + i -7.188782e+08 ; -1.960672e+08 + i -3.244277e+07 ; -2.052026e+08 + i 6.309502e+08 ; 9.302941e+08 + i -2.275800e+09 ; -3.137839e+08 + i -2.504441e+08 ; -1.640387e+09 + i 1.809680e+09 ; 6.656187e+08 + i -7.941874e+08 ; -1.238210e+08 + i 4.824137e+08 ; -1.238007e+08 + i 4.823385e+08 ; 5.280885e+07 + i -1.338573e+09 ; -8.283232e+08 + i 1.159665e+09 ; -8.283011e+08 + i 1.159630e+09 ; -4.615633e+10 + i 2.801452e+10 ; 4.055430e+08 + i -7.021239e+07 ; 4.054240e+08 + i -7.017650e+07 ; 1.959268e+10 + i -2.069874e+10 ; 1.021300e+09 + i 1.339855e+09 ; 1.021363e+09 + i 1.339659e+09 ; -7.887653e+09 + i 1.136128e+10 ; -5.586738e+08 + i -5.806782e+08 ; 2.550910e+08 + i -1.467694e+08 ; -2.241420e+09 + i -6.174345e+09 ; 5.499415e+09 + i -5.691135e+09 ; 6.989724e+08 + i 4.593494e+08 ; -7.887737e+09 + i 1.136130e+10 ; 2.554720e+08 + i -1.468423e+08 ; -5.586210e+08 + i -5.805829e+08 ; -2.241578e+09 + i -6.174253e+09 ; 6.996901e+08 + i 4.597768e+08 ; 5.499406e+09 + i -5.691069e+09 ; -9.332817e+08 + i 5.327193e+09 ; -4.152973e+08 + i -2.967966e+08 ; -4.153393e+08 + i -2.965810e+08 ; -3.308914e+09 + i -1.509733e+09 ; 1.562389e+09 + i -2.568598e+09 ; 1.562344e+09 + i -2.568509e+09 ; 
-8.159679e+07 + i 1.392224e+08 ; -2.768154e+08 + i 6.595410e+08 ; 6.585134e+06 + i -5.309969e+07 ; 2.101709e+08 + i 2.971807e+08 ; -1.636525e+09 + i 2.081659e+09 ; 4.765268e+07 + i -7.705457e+07 ; -7.356664e+08 + i 8.491653e+07 ; -5.777139e+08 + i 2.700351e+08 ; 4.519610e+07 + i -1.712224e+07 ; -1.719514e+09 + i 1.806673e+09 ; -1.099422e+09 + i -3.390504e+08 ; 1.282276e+08 + i 6.662162e+07 ; -5.064253e+07 + i 1.453825e+08 ; -2.108751e+08 + i 5.515248e+08 ; -7.003049e+07 + i -4.686725e+07 ; 1.903220e+08 + i 2.249159e+08 ; -8.930402e+08 + i 1.514302e+09 ; -1.391820e+08 + i -1.373706e+08 ; -5.521235e+08 + i 1.777667e+08 ; -4.926621e+08 + i 3.095995e+08 ; 2.778071e+07 + i -1.998818e+08 ; -8.825851e+08 + i 1.169766e+09 ; -1.046463e+09 + i 3.872675e+07 ; 4.607012e+08 + i -6.947724e+08 ; 3.564732e+08 + i -1.436952e+08 ; -4.633523e+10 + i 2.784498e+10 ; 4.166084e+08 + i -1.117376e+08 ; -6.408829e+08 + i -6.581302e+08 ; -8.075191e+09 + i 1.122743e+10 ; 2.622249e+08 + i -1.828893e+08 ; 9.526763e+08 + i 1.210071e+09 ; 1.955124e+10 + i -2.075750e+10 ; 1.023656e+09 + i 1.315855e+09 ; 5.464211e+09 + i -5.737735e+09 ; -2.281444e+09 + i -6.253272e+09 ; 6.912738e+08 + i 4.369086e+08 ; 2.087816e+08 + i -2.069059e+08 ; -8.045360e+09 + i 1.126745e+10 ; -6.216026e+08 + i -6.394909e+08 ; -4.773246e+08 + i -3.697804e+08 ; -1.097514e+09 + i 5.248151e+09 ; -4.616970e+08 + i -3.425931e+08 ; 6.228495e+08 + i 3.585026e+08 ; -2.294738e+09 + i -6.217704e+09 ; 5.467862e+09 + i -5.711066e+09 ; 1.534532e+09 + i -2.617930e+09 ; -3.355451e+09 + i -1.576142e+09 ; 1.541885e+09 + i -2.581141e+09 ; 
-8.154331e+07 + i 1.391995e+08 ; 6.583823e+06 + i -5.310082e+07 ; -2.767800e+08 + i 6.595853e+08 ; 2.101686e+08 + i 2.971955e+08 ; 4.765739e+07 + i -7.705314e+07 ; -1.636432e+09 + i 2.081570e+09 ; -5.060280e+07 + i 1.453643e+08 ; -7.003653e+07 + i -4.688039e+07 ; -2.108537e+08 + i 5.516315e+08 ; 1.903249e+08 + i 2.249126e+08 ; -1.391743e+08 + i -1.374015e+08 ; -8.932705e+08 + i 1.514286e+09 ; -7.356577e+08 + i 8.494690e+07 ; 4.520054e+07 + i -1.714155e+07 ; -5.778787e+08 + i 2.700481e+08 ; -1.719517e+09 + i 1.806682e+09 ; 1.282463e+08 + i 6.659026e+07 ; -1.099779e+09 + i -3.391262e+08 ; -5.520907e+08 + i 1.778108e+08 ; 2.777482e+07 + i -1.998848e+08 ; -4.926364e+08 + i 3.095951e+08 ; -8.826017e+08 + i 1.169794e+09 ; 4.607014e+08 + i -6.947681e+08 ; -1.046416e+09 + i 3.868814e+07 ; 3.562866e+08 + i -1.435803e+08 ; 4.166061e+08 + i -1.117461e+08 ; -4.633499e+10 + i 2.784456e+10 ; -6.408774e+08 + i -6.580960e+08 ; 2.622213e+08 + i -1.829090e+08 ; -8.075711e+09 + i 1.122750e+10 ; 2.086402e+08 + i -2.068127e+08 ; -6.215136e+08 + i -6.396612e+08 ; -8.047968e+09 + i 1.126610e+10 ; -4.773791e+08 + i -3.696498e+08 ; -4.616617e+08 + i -3.427426e+08 ; -1.099399e+09 + i 5.248338e+09 ; 9.526346e+08 + i 1.209997e+09 ; 1.023711e+09 + i 1.315755e+09 ; 1.954976e+10 + i -2.075788e+10 ; 5.464193e+09 + i -5.737747e+09 ; 6.913132e+08 + i 4.368161e+08 ; -2.282565e+09 + i -6.253085e+09 ; 6.227100e+08 + i 3.584065e+08 ; 5.467861e+09 + i -5.711059e+09 ; -2.294696e+09 + i -6.217490e+09 ; 1.534545e+09 + i -2.617969e+09 ; 1.541890e+09 + i -2.581159e+09 ; -3.355793e+09 + i -1.575749e+09 ; 
6.265343e+08 + i -4.440286e+06 ; -5.261867e+07 + i 2.669504e+07 ; -5.262385e+07 + i 2.670016e+07 ; 1.624036e+09 + i -3.832900e+08 ; -1.342624e+08 + i -1.508090e+07 ; -1.343008e+08 + i -1.502186e+07 ; 6.010918e+08 + i -1.130512e+08 ; -3.148572e+07 + i 2.264667e+08 ; -4.431727e+07 + i 3.125831e+07 ; 1.065449e+09 + i -7.196831e+08 ; -2.503005e+08 + i 5.950789e+08 ; -1.104645e+08 + i 1.152843e+07 ; 6.011249e+08 + i -1.130539e+08 ; -4.437722e+07 + i 3.127147e+07 ; -3.149566e+07 + i 2.264591e+08 ; 1.065468e+09 + i -7.196101e+08 ; -1.106017e+08 + i 1.147965e+07 ; -2.502990e+08 + i 5.950715e+08 ; 5.475618e+08 + i -1.975069e+08 ; -1.654949e+07 + i 1.971240e+08 ; -1.655267e+07 + i 1.970986e+08 ; 6.657618e+08 + i -7.946376e+08 ; -1.542404e+08 + i 4.745673e+08 ; -1.542283e+08 + i 4.745452e+08 ; 1.959530e+10 + i -2.069815e+10 ; -1.018778e+09 + i -1.295438e+09 ; -1.018875e+09 + i -1.295255e+09 ; -4.639422e+10 + i 2.783446e+10 ; -4.119522e+08 + i 1.100012e+08 ; -4.118426e+08 + i 1.100040e+08 ; -2.243497e+09 + i -6.172445e+09 ; -5.386540e+09 + i 5.683610e+09 ; -6.883605e+08 + i -4.233377e+08 ; -8.097054e+09 + i 1.126476e+10 ; 6.128135e+08 + i 6.271863e+08 ; -2.584912e+08 + i 1.841774e+08 ; -2.243662e+09 + i -6.172194e+09 ; -6.890504e+08 + i -4.237406e+08 ; -5.386545e+09 + i 5.683547e+09 ; -8.097112e+09 + i 1.126496e+10 ; -2.588997e+08 + i 1.842165e+08 ; 6.127789e+08 + i 6.271030e+08 ; -3.310411e+09 + i -1.507082e+09 ; -1.503622e+09 + i 2.571934e+09 ; -1.503589e+09 + i 2.571845e+09 ; -1.115105e+09 + i 5.285102e+09 ; 4.604431e+08 + i 3.382213e+08 ; 4.605120e+08 + i 3.380685e+08 ; 
-5.323056e+07 + i -5.181167e+07 ; -1.168721e+08 + i 2.611416e+08 ; -8.978267e+06 + i -2.755982e+07 ; -9.343191e+07 + i -3.039633e+07 ; -2.769884e+08 + i 6.588043e+08 ; 1.495992e+06 + i -5.332234e+07 ; -2.167324e+08 + i -6.148206e+07 ; -2.109422e+08 + i 2.253547e+08 ; 2.267252e+05 + i -2.041633e+07 ; -6.099696e+08 + i 1.369747e+08 ; -5.778416e+08 + i 2.698299e+08 ; 2.450989e+07 + i -2.798603e+07 ; -5.529001e+07 + i -3.855687e+07 ; -1.024675e+08 + i 2.418144e+08 ; -3.017675e+07 + i -2.108779e+07 ; -7.162408e+07 + i -1.503233e+06 ; -2.112043e+08 + i 5.509173e+08 ; -6.511856e+07 + i -5.544883e+07 ; -2.011959e+08 + i -3.897807e+07 ; -1.855534e+08 + i 2.227283e+08 ; -3.597045e+06 + i -6.063511e+07 ; -4.615101e+08 + i 1.567050e+08 ; -4.928204e+08 + i 3.094886e+08 ; 4.634150e+07 + i -1.808201e+08 ; 5.936425e+08 + i 5.775669e+08 ; -8.077055e+09 + i 1.122851e+10 ; 2.592880e+08 + i -1.805915e+08 ; -3.978755e+08 + i 9.669792e+07 ; -4.637679e+10 + i 2.778852e+10 ; 4.136141e+08 + i -1.053836e+08 ; -5.166337e+09 + i 5.546379e+09 ; -2.280110e+09 + i -6.252909e+09 ; 6.879985e+08 + i 4.322779e+08 ; -9.985526e+08 + i -1.266048e+09 ; 1.956607e+10 + i -2.081059e+10 ; 1.018452e+09 + i 1.305015e+09 ; 4.433774e+08 + i 3.007231e+08 ; -1.098102e+09 + i 5.249078e+09 ; -4.583745e+08 + i -3.361375e+08 ; -2.489753e+08 + i 1.668877e+08 ; -8.084551e+09 + i 1.121705e+10 ; -6.071861e+08 + i -6.250136e+08 ; -1.442316e+09 + i 2.474272e+09 ; -3.354914e+09 + i -1.576447e+09 ; 1.515745e+09 + i -2.562978e+09 ; -6.695927e+08 + i -4.246733e+08 ; -2.283930e+09 + i -6.271453e+09 ; 5.402315e+09 + i -5.672877e+09 ; 
-5.322051e+07 + i -5.180496e+07 ; -8.978245e+06 + i -2.756001e+07 ; -1.168795e+08 + i 2.611372e+08 ; -9.345418e+07 + i -3.037791e+07 ; 1.499528e+06 + i -5.332246e+07 ; -2.770755e+08 + i 6.587656e+08 ; -5.527815e+07 + i -3.854622e+07 ; -3.018129e+07 + i -2.108991e+07 ; -1.024410e+08 + i 2.418413e+08 ; -7.163098e+07 + i -1.483839e+06 ; -6.512069e+07 + i -5.546260e+07 ; -2.112953e+08 + i 5.509411e+08 ; -2.167414e+08 + i -6.147988e+07 ; 2.280399e+05 + i -2.042588e+07 ; -2.110172e+08 + i 2.253577e+08 ; -6.099832e+08 + i 1.369638e+08 ; 2.451897e+07 + i -2.800443e+07 ; -5.780206e+08 + i 2.698415e+08 ; -2.011984e+08 + i -3.896199e+07 ; -3.600161e+06 + i -6.063626e+07 ; -1.855417e+08 + i 2.227033e+08 ; -4.615409e+08 + i 1.567153e+08 ; 4.634137e+07 + i -1.808212e+08 ; -4.928081e+08 + i 3.094649e+08 ; 5.936426e+08 + i 5.775771e+08 ; 2.592794e+08 + i -1.806062e+08 ; -8.077541e+09 + i 1.122867e+10 ; -3.977449e+08 + i 9.661633e+07 ; 4.136147e+08 + i -1.053971e+08 ; -4.637669e+10 + i 2.778804e+10 ; 4.433922e+08 + i 3.006879e+08 ; -4.583427e+08 + i -3.362837e+08 ; -1.099951e+09 + i 5.249357e+09 ; -2.488898e+08 + i 1.668431e+08 ; -6.071027e+08 + i -6.251897e+08 ; -8.087307e+09 + i 1.121563e+10 ; -5.166350e+09 + i 5.546394e+09 ; 6.880336e+08 + i 4.321883e+08 ; -2.281164e+09 + i -6.252676e+09 ; -9.985312e+08 + i -1.266009e+09 ; 1.018509e+09 + i 1.304915e+09 ; 1.956452e+10 + i -2.081091e+10 ; -1.442352e+09 + i 2.474308e+09 ; 1.515739e+09 + i -2.562998e+09 ; -3.355172e+09 + i -1.575796e+09 ; -6.695359e+08 + i -4.246426e+08 ; 5.402322e+09 + i -5.672873e+09 ; -2.283949e+09 + i -6.271279e+09 ; 
1.063752e+09 + i -7.198067e+08 ; 1.882979e+08 + i -6.122762e+08 ; -1.937321e+08 + i -3.116009e+07 ; 9.311483e+08 + i -2.278988e+09 ; 1.546067e+09 + i -1.772007e+09 ; -3.109640e+08 + i -2.458165e+08 ; 1.623255e+09 + i -3.827402e+08 ; 2.321908e+08 + i 6.463078e+07 ; -2.345713e+08 + i -7.219516e+07 ; 3.590229e+09 + i -4.047836e+09 ; 3.829770e+08 + i 4.011568e+08 ; -3.818148e+08 + i -4.304483e+08 ; 6.648257e+08 + i -7.947835e+08 ; 1.119125e+08 + i -4.678665e+08 ; -1.201575e+08 + i 4.772916e+08 ; 5.279414e+07 + i -1.340705e+09 ; 7.766534e+08 + i -1.131272e+09 ; -8.132461e+08 + i 1.149931e+09 ; 1.065416e+09 + i -7.192819e+08 ; 1.909217e+08 + i 2.523571e+07 ; -1.998756e+08 + i 6.245628e+08 ; 9.312964e+08 + i -2.275783e+09 ; 3.080290e+08 + i 2.286045e+08 ; -1.612752e+09 + i 1.796180e+09 ; -7.890793e+09 + i 1.136035e+10 ; 5.144299e+08 + i 6.117519e+08 ; 2.515803e+08 + i -1.461611e+08 ; -2.246893e+09 + i -6.163093e+09 ; -5.168218e+09 + i 5.572612e+09 ; 6.922769e+08 + i 4.517246e+08 ; -4.615547e+10 + i 2.801295e+10 ; -4.020891e+08 + i 6.665444e+07 ; 4.005820e+08 + i -7.115768e+07 ; 1.958989e+10 + i -2.070043e+10 ; -9.721103e+08 + i -1.332117e+09 ; 1.015540e+09 + i 1.319967e+09 ; -9.357453e+08 + i 5.327172e+09 ; 4.050628e+08 + i 2.918188e+08 ; -4.115924e+08 + i -2.919526e+08 ; -3.308886e+09 + i -1.504884e+09 ; -1.447411e+09 + i 2.496170e+09 ; 1.531861e+09 + i -2.545580e+09 ; -7.888092e+09 + i 1.136040e+10 ; -2.510477e+08 + i 1.446282e+08 ; -5.546679e+08 + i -5.721241e+08 ; -2.242516e+09 + i -6.174078e+09 ; -6.808995e+08 + i -4.430758e+08 ; 5.408000e+09 + i -5.650040e+09 ; 
7.250559e+08 + i -8.458261e+07 ; -5.761547e+08 + i 2.696152e+08 ; -4.461210e+07 + i 1.714153e+07 ; 1.691936e+09 + i -1.789915e+09 ; -1.097325e+09 + i -3.424276e+08 ; -1.270603e+08 + i -6.524048e+07 ; 7.779964e+07 + i -1.356741e+08 ; -2.768915e+08 + i 6.587994e+08 ; -6.288594e+06 + i 5.255131e+07 ; -2.155047e+08 + i -2.816798e+08 ; -1.637595e+09 + i 2.080695e+09 ; -4.682441e+07 + i 7.642133e+07 ; 5.440489e+08 + i -1.758692e+08 ; -4.915140e+08 + i 3.090869e+08 ; -2.654307e+07 + i 1.976828e+08 ; 8.675724e+08 + i -1.158321e+09 ; -1.045636e+09 + i 3.670026e+07 ; -4.520961e+08 + i 6.888165e+08 ; 4.823418e+07 + i -1.417449e+08 ; -2.110019e+08 + i 5.508865e+08 ; 6.942904e+07 + i 4.600259e+07 ; -1.916332e+08 + i -2.159466e+08 ; -8.937795e+08 + i 1.513810e+09 ; 1.381853e+08 + i 1.351284e+08 ; -9.155646e+08 + i -1.256322e+09 ; 1.955260e+10 + i -2.075975e+10 ; -1.018117e+09 + i -1.295349e+09 ; -5.376531e+09 + i 5.703863e+09 ; -2.286823e+09 + i -6.241958e+09 ; -6.853070e+08 + i -4.287206e+08 ; -3.617315e+08 + i 1.361706e+08 ; -4.633512e+10 + i 2.784364e+10 ; -4.116129e+08 + i 1.124106e+08 ; 6.048314e+08 + i 7.108467e+08 ; -8.072258e+09 + i 1.122994e+10 ; -2.586137e+08 + i 1.821292e+08 ; -6.184780e+08 + i -3.661774e+08 ; -2.293181e+09 + i -6.217120e+09 ; -5.377360e+09 + i 5.669750e+09 ; -1.501976e+09 + i 2.597131e+09 ; -3.355507e+09 + i -1.570438e+09 ; -1.511650e+09 + i 2.557752e+09 ; -2.134088e+08 + i 2.040377e+08 ; -8.044963e+09 + i 1.126693e+10 ; 6.173818e+08 + i 6.290076e+08 ; 4.743130e+08 + i 3.776527e+08 ; -1.095986e+09 + i 5.247951e+09 ; 4.579268e+08 + i 3.363748e+08 ; 
-4.935297e+07 + i 1.440212e+08 ; 6.809243e+07 + i 4.397212e+07 ; -2.107944e+08 + i 5.516642e+08 ; 1.892347e+08 + i 2.222708e+08 ; 1.364330e+08 + i 1.296499e+08 ; -8.933108e+08 + i 1.514375e+09 ; -8.028172e+07 + i 1.381977e+08 ; -5.555280e+06 + i 5.138729e+07 ; -2.768155e+08 + i 6.595953e+08 ; 2.090853e+08 + i 2.936150e+08 ; -4.412990e+07 + i 7.516057e+07 ; -1.636454e+09 + i 2.081407e+09 ; -5.452235e+08 + i 1.782720e+08 ; -2.394800e+07 + i 1.929477e+08 ; -4.926177e+08 + i 3.095803e+08 ; -8.696744e+08 + i 1.161632e+09 ; -4.311933e+08 + i 6.775238e+08 ; -1.046396e+09 + i 3.867385e+07 ; -7.278461e+08 + i 8.690920e+07 ; -4.438806e+07 + i 1.767368e+07 ; -5.778711e+08 + i 2.700655e+08 ; -1.694721e+09 + i 1.793730e+09 ; -1.263684e+08 + i -5.830113e+07 ; -1.099812e+09 + i -3.391524e+08 ; 2.057938e+08 + i -2.035562e+08 ; 6.085983e+08 + i 6.039583e+08 ; -8.049605e+09 + i 1.126689e+10 ; -4.729732e+08 + i -3.615102e+08 ; 4.498518e+08 + i 3.209032e+08 ; -1.099968e+09 + i 5.249245e+09 ; 3.520678e+08 + i -1.429835e+08 ; -3.994879e+08 + i 1.146257e+08 ; -4.633509e+10 + i 2.784365e+10 ; -6.355763e+08 + i -6.468817e+08 ; -2.501843e+08 + i 1.796757e+08 ; -8.076436e+09 + i 1.122720e+10 ; 6.085174e+08 + i 3.604326e+08 ; -5.150430e+09 + i 5.582676e+09 ; -2.294629e+09 + i -6.217353e+09 ; 1.504396e+09 + i -2.594452e+09 ; -1.431045e+09 + i 2.504697e+09 ; -3.355672e+09 + i -1.575537e+09 ; 9.474673e+08 + i 1.192488e+09 ; -1.008279e+09 + i -1.247480e+09 ; 1.954950e+10 + i -2.075796e+10 ; 5.384687e+09 + i -5.697128e+09 ; -6.653468e+08 + i -4.183099e+08 ; -2.282837e+09 + i -6.252893e+09 ; 
6.012195e+08 + i -1.127642e+08 ; 2.531310e+07 + i -2.164280e+08 ; -4.367011e+07 + i 3.097994e+07 ; 1.066222e+09 + i -7.178570e+08 ; 2.286829e+08 + i -5.712838e+08 ; -1.090184e+08 + i 1.167147e+07 ; 6.265568e+08 + i -4.108090e+06 ; 4.888560e+07 + i -2.513299e+07 ; -5.191136e+07 + i 2.656116e+07 ; 1.623253e+09 + i -3.828207e+08 ; 1.260527e+08 + i 1.695113e+07 ; -1.327517e+08 + i -1.433822e+07 ; 5.476399e+08 + i -1.972814e+08 ; 1.178666e+07 + i -1.879483e+08 ; -1.576233e+07 + i 1.947339e+08 ; 6.662260e+08 + i -7.935194e+08 ; 1.395961e+08 + i -4.548189e+08 ; -1.509056e+08 + i 4.691965e+08 ; 6.011789e+08 + i -1.128282e+08 ; 4.116728e+07 + i -2.924413e+07 ; -3.041194e+07 + i 2.237856e+08 ; 1.064873e+09 + i -7.191360e+08 ; 1.049370e+08 + i -8.866387e+06 ; -2.454017e+08 + i 5.885604e+08 ; -2.245619e+09 + i -6.153380e+09 ; 5.087482e+09 + i -5.541757e+09 ; -6.806981e+08 + i -4.161228e+08 ; -8.097447e+09 + i 1.126446e+10 ; -5.819428e+08 + i -7.078091e+08 ; -2.546668e+08 + i 1.824868e+08 ; 1.958958e+10 + i -2.070052e+10 ; 9.822269e+08 + i 1.342983e+09 ; -1.010433e+09 + i -1.275822e+09 ; -4.639430e+10 + i 2.783483e+10 ; 3.959289e+08 + i -1.133174e+08 ; -4.063621e+08 + i 1.099783e+08 ; -3.307887e+09 + i -1.499386e+09 ; 1.398051e+09 + i -2.492913e+09 ; -1.477339e+09 + i 2.544897e+09 ; -1.117080e+09 + i 5.284653e+09 ; -4.558056e+08 + i -3.404091e+08 ; 4.558014e+08 + i 3.323258e+08 ; -2.245085e+09 + i -6.171261e+09 ; 6.766699e+08 + i 4.186343e+08 ; -5.303171e+09 + i 5.630377e+09 ; -8.097138e+09 + i 1.126489e+10 ; 2.537459e+08 + i -1.821844e+08 ; 6.071821e+08 + i 6.173429e+08 ; 
2.161527e+08 + i 5.879143e+07 ; -2.113106e+08 + i 2.254842e+08 ; -1.696791e+05 + i 2.016258e+07 ; 6.062250e+08 + i -1.407431e+08 ; -5.789199e+08 + i 2.708919e+08 ; -2.414304e+07 + i 2.769090e+07 ; 5.429513e+07 + i 4.984226e+07 ; -1.171608e+08 + i 2.611494e+08 ; 8.944203e+06 + i 2.720663e+07 ; 9.574083e+07 + i 2.502397e+07 ; -2.771625e+08 + i 6.591969e+08 ; -1.350206e+06 + i 5.269850e+07 ; 2.004378e+08 + i 3.655484e+07 ; -1.858662e+08 + i 2.229587e+08 ; 3.733288e+06 + i 5.988202e+07 ; 4.580299e+08 + i -1.593543e+08 ; -4.932626e+08 + i 3.106101e+08 ; -4.523501e+07 + i 1.787484e+08 ; 5.609295e+07 + i 3.664521e+07 ; -1.026725e+08 + i 2.418954e+08 ; 2.987297e+07 + i 2.073697e+07 ; 7.280152e+07 + i -2.791885e+06 ; -2.110414e+08 + i 5.512759e+08 ; 6.448816e+07 + i 5.457553e+07 ; 5.104423e+09 + i -5.495399e+09 ; -2.282058e+09 + i -6.234023e+09 ; -6.810024e+08 + i -4.248564e+08 ; 9.734401e+08 + i 1.364636e+09 ; 1.956460e+10 + i -2.081211e+10 ; -1.010077e+09 + i -1.286131e+09 ; -5.716830e+08 + i -6.830968e+08 ; -8.071473e+09 + i 1.123008e+10 ; -2.558592e+08 + i 1.794306e+08 ; 3.954786e+08 + i -9.793723e+07 ; -4.637732e+10 + i 2.778885e+10 ; -4.087570e+08 + i 1.055645e+08 ; 1.416834e+09 + i -2.449719e+09 ; -3.352547e+09 + i -1.568217e+09 ; -1.489393e+09 + i 2.536278e+09 ; 6.714157e+08 + i 4.416154e+08 ; -2.282686e+09 + i -6.270405e+09 ; -5.318903e+09 + i 5.619861e+09 ; -4.472571e+08 + i -3.186308e+08 ; -1.096376e+09 + i 5.248134e+09 ; 4.538338e+08 + i 3.306742e+08 ; 2.538720e+08 + i -1.666915e+08 ; -8.084000e+09 + i 1.121711e+10 ; 6.016536e+08 + i 6.155442e+08 ; 
