-6.535268e+09 + i 5.535838e+08 ; -1.946078e+07 + i -9.025712e+05 ; -1.946523e+07 + i -9.026854e+05 ; 1.891956e+09 + i -2.735103e+08 ; 1.157547e+08 + i -8.196119e+06 ; 1.157506e+08 + i -8.197660e+06 ; -8.906856e+08 + i 1.270187e+08 ; -6.159766e+07 + i 4.196737e+06 ; -1.225650e+07 + i 3.018658e+05 ; -2.597068e+08 + i 2.779023e+06 ; 4.690494e+08 + i -7.266926e+07 ; 2.697255e+07 + i -3.957042e+06 ; -8.906835e+08 + i 1.270199e+08 ; -1.225520e+07 + i 3.013126e+05 ; -6.159774e+07 + i 4.196321e+06 ; -2.597073e+08 + i 2.780554e+06 ; 2.699671e+07 + i -3.949111e+06 ; 4.690502e+08 + i -7.266892e+07 ; -1.387216e+08 + i 3.755040e+07 ; -3.048039e+07 + i 3.014196e+06 ; -3.047130e+07 + i 3.016879e+06 ; -8.633354e+07 + i 1.773037e+07 ; 1.194034e+08 + i -2.322970e+07 ; 1.194042e+08 + i -2.322939e+07 ; 1.621744e+08 + i -1.747779e+07 ; 1.481077e+05 + i -4.728952e+05 ; 1.490759e+05 + i -4.728442e+05 ; 7.921135e+07 + i -6.967208e+06 ; -8.620439e+05 + i -2.207681e+04 ; -8.621455e+05 + i -2.207491e+04 ; 5.204861e+07 + i -1.083861e+07 ; 1.827897e+07 + i -4.277393e+06 ; -8.796531e+05 + i -2.481243e+05 ; 3.525641e+07 + i -6.267856e+06 ; 4.009567e+06 + i -1.087870e+06 ; -9.276820e+05 + i 1.483111e+04 ; 5.205029e+07 + i -1.083783e+07 ; -8.775252e+05 + i -2.473338e+05 ; 1.827916e+07 + i -4.277344e+06 ; 3.525683e+07 + i -6.267572e+06 ; -9.271021e+05 + i 1.496112e+04 ; 4.009537e+06 + i -1.087886e+06 ; 1.564075e+07 + i -5.700687e+06 ; 1.206081e+07 + i -2.983643e+06 ; 1.206048e+07 + i -2.983774e+06 ; 1.603628e+07 + i -4.401510e+06 ; 3.089612e+06 + i -8.685573e+05 ; 3.089575e+06 + i -8.685497e+05 ; 
1.281082e+08 + i -2.334247e+07 ; 1.312573e+08 + i -2.350432e+07 ; -8.964473e+07 + i 1.819672e+07 ; 2.245306e+07 + i -3.449963e+06 ; 5.145275e+08 + i -7.152671e+07 ; -2.627906e+08 + i 2.958399e+06 ; 5.110700e+08 + i -7.145055e+07 ; 2.869370e+07 + i -3.917135e+06 ; -2.665616e+08 + i 3.041977e+06 ; 1.102625e+08 + i -7.666983e+06 ; 1.189466e+08 + i -8.212106e+06 ; 1.885774e+09 + i -2.733761e+08 ; -3.444215e+07 + i 2.772473e+06 ; -3.358442e+07 + i 2.594945e+06 ; -1.400632e+08 + i 3.773113e+07 ; -1.391109e+07 + i 4.163852e+05 ; -5.997221e+07 + i 4.724593e+06 ; -8.883245e+08 + i 1.269161e+08 ; -6.097141e+07 + i 4.880706e+06 ; -1.316597e+07 + i 1.562191e+05 ; -8.930743e+08 + i 1.271489e+08 ; -2.234764e+07 + i -9.444736e+05 ; -2.110856e+07 + i -1.259781e+06 ; -6.533825e+09 + i 5.533133e+08 ; -7.395820e+07 + i 1.188867e+07 ; 4.073331e+07 + i -6.601367e+06 ; -5.869004e+07 + i 8.591758e+06 ; -3.906728e+07 + i 5.291644e+06 ; 2.724137e+06 + i -9.405063e+05 ; -1.717398e+07 + i 3.760674e+06 ; -1.508084e+08 + i 2.213751e+07 ; 6.318894e+06 + i -5.603613e+05 ; -9.417860e+07 + i 9.096020e+06 ; -6.799246e+07 + i 7.490550e+06 ; -9.512469e+05 + i -8.365673e+04 ; -2.303543e+07 + i 4.762531e+06 ; 1.851791e+07 + i -1.377506e+06 ; -1.336109e+07 + i 8.831062e+05 ; -8.799733e+07 + i 1.555089e+07 ; 1.179360e+07 + i -4.559498e+05 ; -3.916265e+06 + i 4.298206e+05 ; -1.877169e+07 + i 4.356226e+06 ; 2.838277e+07 + i -1.391486e+06 ; -6.674030e+06 + i 1.004839e+05 ; -1.742839e+08 + i 2.514849e+07 ; 1.558909e+07 + i -1.000234e+05 ; -2.484635e+06 + i 1.991745e+05 ; -2.394861e+07 + i 5.582434e+06 ; 
1.621874e+08 + i -1.746829e+07 ; -2.520160e+06 + i 9.850934e+05 ; -2.518916e+06 + i 9.852216e+05 ; 3.660708e+08 + i -5.166142e+07 ; -3.494327e+07 + i 2.893601e+06 ; -3.494275e+07 + i 2.893982e+06 ; 5.205878e+07 + i -1.083647e+07 ; -1.458780e+07 + i 4.032462e+06 ; -1.445720e+06 + i 6.081174e+05 ; 7.170510e+07 + i -1.759416e+07 ; -1.381213e+08 + i 2.208864e+07 ; -1.661677e+07 + i 1.959457e+06 ; 5.205971e+07 + i -1.083641e+07 ; -1.446758e+06 + i 6.079988e+05 ; -1.458816e+07 + i 4.032474e+06 ; 7.170583e+07 + i -1.759409e+07 ; -1.662223e+07 + i 1.957572e+06 ; -1.381221e+08 + i 2.208836e+07 ; 1.564333e+07 + i -5.702154e+06 ; -1.099136e+07 + i 2.861966e+06 ; -1.099459e+07 + i 2.861021e+06 ; 4.478688e+06 + i -5.122854e+06 ; -6.648734e+07 + i 1.187214e+07 ; -6.648839e+07 + i 1.187177e+07 ; -6.517798e+09 + i 5.522216e+08 ; -1.682140e+07 + i -1.061979e+06 ; -1.682615e+07 + i -1.062127e+06 ; 1.892032e+09 + i -2.735075e+08 ; 1.176323e+08 + i -8.293984e+06 ; 1.176279e+08 + i -8.295555e+06 ; -8.830141e+08 + i 1.259604e+08 ; -5.752030e+07 + i 3.780185e+06 ; -9.693448e+06 + i 1.607240e+05 ; -2.598955e+08 + i 2.780367e+06 ; 4.711737e+08 + i -7.285364e+07 ; 2.796242e+07 + i -4.101268e+06 ; -8.830090e+08 + i 1.259620e+08 ; -9.692059e+06 + i 1.601869e+05 ; -5.752021e+07 + i 3.779803e+06 ; -2.598952e+08 + i 2.781893e+06 ; 2.798675e+07 + i -4.093226e+06 ; 4.711745e+08 + i -7.285329e+07 ; -1.357520e+08 + i 3.683306e+07 ; -2.641956e+07 + i 2.667036e+06 ; -2.641006e+07 + i 2.669862e+06 ; -8.640290e+07 + i 1.773757e+07 ; 1.208572e+08 + i -2.344365e+07 ; 1.208583e+08 + i -2.344327e+07 ; 
1.377866e+07 + i -4.023238e+05 ; -2.391809e+07 + i 5.595511e+06 ; -2.241611e+06 + i 2.246129e+05 ; 2.485203e+07 + i -1.853372e+06 ; -1.743336e+08 + i 2.514397e+07 ; -6.071849e+06 + i 1.981342e+05 ; -6.239149e+07 + i 7.784684e+06 ; -2.310977e+07 + i 4.754431e+06 ; -9.479424e+05 + i -6.941923e+04 ; -1.381875e+08 + i 2.234475e+07 ; -9.462577e+07 + i 9.032041e+06 ; 5.404375e+06 + i -6.590425e+05 ; 1.058499e+07 + i -6.074132e+05 ; -1.874579e+07 + i 4.364486e+06 ; -3.548988e+06 + i 4.555275e+05 ; 1.660592e+07 + i -1.556043e+06 ; -8.799272e+07 + i 1.555674e+07 ; -1.224696e+07 + i 1.006724e+06 ; -3.577457e+07 + i 5.393402e+06 ; -1.721693e+07 + i 3.754805e+06 ; 2.416381e+06 + i -9.032530e+05 ; -6.761492e+07 + i 1.192998e+07 ; -5.878192e+07 + i 8.582443e+06 ; 3.685178e+07 + i -6.658452e+06 ; -2.029930e+07 + i -5.874326e+05 ; -6.533826e+09 + i 5.533107e+08 ; -1.941174e+07 + i -8.843042e+05 ; -6.169943e+07 + i 4.343964e+06 ; -8.931845e+08 + i 1.271110e+08 ; -1.223743e+07 + i 2.887968e+05 ; 1.069976e+08 + i -7.554263e+06 ; 1.886341e+09 + i -2.732513e+08 ; 1.156881e+08 + i -8.215742e+06 ; 4.669778e+08 + i -7.258458e+07 ; -2.650218e+08 + i 3.258461e+06 ; 2.729552e+07 + i -3.978722e+06 ; -1.289783e+07 + i 5.254312e+05 ; -8.884765e+08 + i 1.268906e+08 ; -6.160780e+07 + i 4.233517e+06 ; -3.124980e+07 + i 3.156022e+06 ; -1.401883e+08 + i 3.770545e+07 ; -3.045279e+07 + i 3.002629e+06 ; 2.122106e+07 + i -3.446914e+06 ; -2.614323e+08 + i 3.163076e+06 ; 4.693394e+08 + i -7.269222e+07 ; 1.172202e+08 + i -2.312990e+07 ; -8.923608e+07 + i 1.819213e+07 ; 1.200804e+08 + i -2.330356e+07 ; 
1.378176e+07 + i -4.019692e+05 ; -2.241708e+06 + i 2.245995e+05 ; -2.391363e+07 + i 5.596332e+06 ; 2.485262e+07 + i -1.853179e+06 ; -6.071812e+06 + i 1.981479e+05 ; -1.743266e+08 + i 2.514506e+07 ; 1.058614e+07 + i -6.074416e+05 ; -3.548935e+06 + i 4.555468e+05 ; -1.874312e+07 + i 4.365038e+06 ; 1.660421e+07 + i -1.556436e+06 ; -1.224731e+07 + i 1.006540e+06 ; -8.799034e+07 + i 1.555721e+07 ; -6.239140e+07 + i 7.784567e+06 ; -9.482510e+05 + i -6.951658e+04 ; -2.311110e+07 + i 4.754192e+06 ; -1.381880e+08 + i 2.234458e+07 ; 5.403465e+06 + i -6.594058e+05 ; -9.463064e+07 + i 9.030362e+06 ; -3.576784e+07 + i 5.394728e+06 ; 2.416772e+06 + i -9.030957e+05 ; -1.721830e+07 + i 3.754424e+06 ; -6.761335e+07 + i 1.193043e+07 ; 3.685228e+07 + i -6.658338e+06 ; -5.877813e+07 + i 8.583196e+06 ; -2.030943e+07 + i -5.884645e+05 ; -1.941196e+07 + i -8.842875e+05 ; -6.533842e+09 + i 5.533046e+08 ; -6.169961e+07 + i 4.343798e+06 ; -1.223805e+07 + i 2.887385e+05 ; -8.932008e+08 + i 1.271108e+08 ; -1.290221e+07 + i 5.256086e+05 ; -6.161248e+07 + i 4.231455e+06 ; -8.885497e+08 + i 1.268633e+08 ; -3.124261e+07 + i 3.158351e+06 ; -3.045535e+07 + i 3.001723e+06 ; -1.402002e+08 + i 3.770610e+07 ; 1.069970e+08 + i -7.553997e+06 ; 1.156852e+08 + i -8.217024e+06 ; 1.886303e+09 + i -2.732645e+08 ; 4.669790e+08 + i -7.258409e+07 ; 2.729278e+07 + i -3.979718e+06 ; -2.650381e+08 + i 3.253969e+06 ; 2.119864e+07 + i -3.451378e+06 ; 4.693390e+08 + i -7.269247e+07 ; -2.614344e+08 + i 3.161411e+06 ; 1.172140e+08 + i -2.313155e+07 ; 1.200785e+08 + i -2.330401e+07 ; -8.924617e+07 + i 1.819241e+07 ; 
7.920973e+07 + i -6.964873e+06 ; 8.825999e+05 + i 2.423250e+04 ; 8.821977e+05 + i 2.416310e+04 ; 1.622321e+08 + i -1.746399e+07 ; -1.224534e+05 + i 4.835736e+05 ; -1.233709e+05 + i 4.836224e+05 ; 3.526210e+07 + i -6.267105e+06 ; -4.070131e+06 + i 1.094227e+06 ; 9.465150e+05 + i -1.318991e+04 ; 5.208718e+07 + i -1.083445e+07 ; -1.855195e+07 + i 4.298099e+06 ; 9.098366e+05 + i 2.560261e+05 ; 3.526285e+07 + i -6.266889e+06 ; 9.464606e+05 + i -1.322113e+04 ; -4.070016e+06 + i 1.094262e+06 ; 5.208794e+07 + i -1.083393e+07 ; 9.081018e+05 + i 2.553570e+05 ; -1.855193e+07 + i 4.298031e+06 ; 1.604105e+07 + i -4.402403e+06 ; -3.136214e+06 + i 8.739404e+05 ; -3.136582e+06 + i 8.738354e+05 ; 1.565682e+07 + i -5.701726e+06 ; -1.224104e+07 + i 2.999672e+06 ; -1.224134e+07 + i 2.999480e+06 ; 1.892222e+09 + i -2.734470e+08 ; -1.174436e+08 + i 8.026398e+06 ; -1.174378e+08 + i 8.028643e+06 ; -6.535359e+09 + i 5.535502e+08 ; 1.964704e+07 + i 9.435668e+05 ; 1.965181e+07 + i 9.439062e+05 ; -2.595891e+08 + i 2.796968e+06 ; -4.761662e+08 + i 7.260663e+07 ; -2.738725e+07 + i 3.946152e+06 ; -8.907684e+08 + i 1.270016e+08 ; 6.245243e+07 + i -4.105717e+06 ; 1.239605e+07 + i -2.828835e+05 ; -2.595953e+08 + i 2.797091e+06 ; -2.740551e+07 + i 3.939509e+06 ; -4.761668e+08 + i 7.260637e+07 ; -8.907558e+08 + i 1.270056e+08 ; 1.239386e+07 + i -2.827294e+05 ; 6.245203e+07 + i -4.105622e+06 ; -8.630302e+07 + i 1.773274e+07 ; -1.212236e+08 + i 2.328402e+07 ; -1.212256e+08 + i 2.328329e+07 ; -1.387459e+08 + i 3.754769e+07 ; 3.093288e+07 + i -2.984153e+06 ; 3.093078e+07 + i -2.985068e+06 ; 
-6.222734e+05 + i 4.818903e+05 ; -9.496180e+06 + i 2.020905e+06 ; -1.110694e+06 + i 1.271241e+05 ; 5.271858e+05 + i 5.661296e+05 ; -2.398360e+07 + i 5.573006e+06 ; -2.942549e+06 + i 2.170930e+05 ; -3.280037e+07 + i 2.673515e+06 ; -8.508700e+06 + i 1.807857e+06 ; -7.863208e+05 + i 6.971519e+04 ; -6.554238e+07 + i 7.007421e+06 ; -2.308216e+07 + i 4.758993e+06 ; -1.327957e+06 + i 4.728167e+04 ; 5.704050e+05 + i 3.682886e+05 ; -7.849842e+06 + i 1.763697e+06 ; -1.496641e+06 + i 1.936423e+05 ; 2.515699e+06 + i 3.087847e+05 ; -1.878311e+07 + i 4.354012e+06 ; -4.619073e+06 + i 4.595046e+05 ; -2.314312e+07 + i 2.437053e+06 ; -7.135279e+06 + i 1.587594e+06 ; 3.732028e+05 + i -1.777554e+05 ; -4.144216e+07 + i 5.283206e+06 ; -1.720015e+07 + i 3.757481e+06 ; 4.184769e+06 + i -1.018216e+06 ; 6.426620e+07 + i -3.619994e+06 ; -8.935571e+08 + i 1.270313e+08 ; -1.225260e+07 + i 2.613564e+05 ; 1.959185e+07 + i 1.247049e+06 ; -6.540660e+09 + i 5.536134e+08 ; -1.963879e+07 + i -9.837655e+05 ; -5.045217e+08 + i 7.232419e+07 ; -2.651360e+08 + i 3.261467e+06 ; 2.761754e+07 + i -4.005669e+06 ; -1.258542e+08 + i 7.481046e+06 ; 1.881064e+09 + i -2.731083e+08 ; 1.177539e+08 + i -8.085971e+06 ; 3.127150e+07 + i -2.718993e+06 ; -1.402331e+08 + i 3.770634e+07 ; -3.073198e+07 + i 2.974012e+06 ; 1.210820e+07 + i -1.003787e+05 ; -8.942560e+08 + i 1.272443e+08 ; -6.239112e+07 + i 4.083602e+06 ; -1.313152e+08 + i 2.362925e+07 ; -8.926504e+07 + i 1.818931e+07 ; 1.218178e+08 + i -2.336427e+07 ; -3.086607e+07 + i 3.983969e+06 ; -2.661842e+08 + i 3.351199e+06 ; 4.768407e+08 + i -7.270665e+07 ; 
-6.211632e+05 + i 4.820839e+05 ; -1.110769e+06 + i 1.271098e+05 ; -9.497637e+06 + i 2.020730e+06 ; 5.260218e+05 + i 5.660661e+05 ; -2.942598e+06 + i 2.170826e+05 ; -2.398697e+07 + i 5.572780e+06 ; 5.705096e+05 + i 3.681815e+05 ; -1.496643e+06 + i 1.936475e+05 ; -7.852269e+06 + i 1.763084e+06 ; 2.513018e+06 + i 3.081307e+05 ; -4.619209e+06 + i 4.594707e+05 ; -1.878918e+07 + i 4.352640e+06 ; -3.280040e+07 + i 2.673477e+06 ; -7.864848e+05 + i 6.966058e+04 ; -8.510024e+06 + i 1.807636e+06 ; -6.554322e+07 + i 7.007225e+06 ; -1.328475e+06 + i 4.708615e+04 ; -2.308493e+07 + i 4.758362e+06 ; -2.314019e+07 + i 2.437874e+06 ; 3.733012e+05 + i -1.777156e+05 ; -7.137233e+06 + i 1.587144e+06 ; -4.144257e+07 + i 5.283427e+06 ; 4.184801e+06 + i -1.018203e+06 ; -1.720270e+07 + i 3.756667e+06 ; 6.426807e+07 + i -3.619483e+06 ; -1.225303e+07 + i 2.613512e+05 ; -8.935698e+08 + i 1.270327e+08 ; 1.959700e+07 + i 1.247481e+06 ; -1.963908e+07 + i -9.837273e+05 ; -6.540671e+09 + i 5.536099e+08 ; 3.126757e+07 + i -2.720225e+06 ; -3.073456e+07 + i 2.973074e+06 ; -1.402430e+08 + i 3.770800e+07 ; 1.210773e+07 + i -1.013655e+05 ; -6.239584e+07 + i 4.081548e+06 ; -8.943543e+08 + i 1.272106e+08 ; -5.045217e+08 + i 7.232400e+07 ; 2.761534e+07 + i -4.006456e+06 ; -2.651534e+08 + i 3.256008e+06 ; -1.258543e+08 + i 7.480718e+06 ; 1.177501e+08 + i -8.087584e+06 ; 1.881027e+09 + i -2.731211e+08 ; -1.313083e+08 + i 2.363138e+07 ; 1.218170e+08 + i -2.336425e+07 ; -8.924584e+07 + i 1.819773e+07 ; -3.085651e+07 + i 3.986039e+06 ; 4.768396e+08 + i -7.270715e+07 ; -2.661902e+08 + i 3.348425e+06 ; 
5.199927e+07 + i -1.085143e+07 ; 1.556187e+07 + i -4.118368e+06 ; -1.470095e+06 + i 6.143432e+05 ; 7.175067e+07 + i -1.757080e+07 ; 1.470381e+08 + i -2.194115e+07 ; -1.688223e+07 + i 1.950089e+06 ; 1.621880e+08 + i -1.747134e+07 ; 2.782208e+06 + i -9.841509e+05 ; -2.571911e+06 + i 9.926794e+05 ; 3.660889e+08 + i -5.165079e+07 ; 3.735183e+07 + i -2.611268e+06 ; -3.551796e+07 + i 2.849556e+06 ; 1.561648e+07 + i -5.707483e+06 ; 1.172082e+07 + i -2.916759e+06 ; -1.117684e+07 + i 2.877548e+06 ; 4.485122e+06 + i -5.117882e+06 ; 7.079644e+07 + i -1.187672e+07 ; -6.755632e+07 + i 1.188967e+07 ; 5.206345e+07 + i -1.083606e+07 ; 1.590368e+06 + i -6.150357e+05 ; -1.482740e+07 + i 4.058508e+06 ; 7.170901e+07 + i -1.758985e+07 ; 1.775192e+07 + i -1.868762e+06 ; -1.403187e+08 + i 2.208812e+07 ; -8.832230e+08 + i 1.258947e+08 ; 6.014424e+07 + i -3.831116e+06 ; -9.825357e+06 + i 1.420582e+05 ; -2.600054e+08 + i 2.719888e+06 ; -5.009647e+08 + i 7.243447e+07 ; 2.825733e+07 + i -4.118228e+06 ; -6.517943e+09 + i 5.521684e+08 ; 1.742241e+07 + i 1.142739e+06 ; -1.704883e+07 + i -1.113112e+06 ; 1.891899e+09 + i -2.735443e+08 ; -1.240513e+08 + i 7.978140e+06 ; 1.193661e+08 + i -8.145359e+06 ; -1.357994e+08 + i 3.682554e+07 ; 2.802331e+07 + i -2.567733e+06 ; -2.673339e+07 + i 2.656639e+06 ; -8.644227e+07 + i 1.772144e+07 ; -1.285773e+08 + i 2.361342e+07 ; 1.227709e+08 + i -2.350843e+07 ; -8.830095e+08 + i 1.259663e+08 ; 1.019785e+07 + i -9.151637e+04 ; -5.832492e+07 + i 3.706196e+06 ; -2.598681e+08 + i 2.788407e+06 ; -2.968390e+07 + i 4.069771e+06 ; 4.785920e+08 + i -7.282399e+07 ; 
6.326880e+07 + i -7.759100e+06 ; -2.302837e+07 + i 4.780701e+06 ; 9.584379e+05 + i 7.225240e+04 ; 1.401083e+08 + i -2.237110e+07 ; -9.451216e+07 + i 9.070584e+06 ; -5.500180e+06 + i 6.540567e+05 ; -1.402229e+07 + i 3.483165e+05 ; -2.396152e+07 + i 5.579460e+06 ; 2.274103e+06 + i -2.227888e+05 ; -2.541803e+07 + i 1.727317e+06 ; -1.743843e+08 + i 2.512288e+07 ; 6.153953e+06 + i -1.885184e+05 ; 3.628008e+07 + i -5.391707e+06 ; -1.717063e+07 + i 3.768309e+06 ; -2.457291e+06 + i 9.112349e+05 ; 6.855641e+07 + i -1.195763e+07 ; -5.873576e+07 + i 8.597939e+06 ; -3.743941e+07 + i 6.670870e+06 ; -1.076009e+07 + i 5.789535e+05 ; -1.877161e+07 + i 4.355595e+06 ; 3.605583e+06 + i -4.535408e+05 ; -1.693868e+07 + i 1.500678e+06 ; -8.801618e+07 + i 1.554683e+07 ; 1.244085e+07 + i -9.913160e+05 ; -1.077601e+08 + i 7.819690e+06 ; 1.886666e+09 + i -2.731884e+08 ; -1.175937e+08 + i 8.040927e+06 ; -4.740383e+08 + i 7.256419e+07 ; -2.650860e+08 + i 3.208868e+06 ; -2.772555e+07 + i 3.972426e+06 ; 2.066208e+07 + i 5.715835e+05 ; -6.533947e+09 + i 5.532714e+08 ; 1.966001e+07 + i 9.328802e+05 ; 6.177246e+07 + i -4.683031e+06 ; -8.932236e+08 + i 1.271215e+08 ; 1.238806e+07 + i -2.710947e+05 ; -2.150893e+07 + i 3.463975e+06 ; -2.613358e+08 + i 3.189968e+06 ; -4.768018e+08 + i 7.265561e+07 ; -1.189614e+08 + i 2.319714e+07 ; -8.924786e+07 + i 1.818727e+07 ; -1.219372e+08 + i 2.337621e+07 ; 1.302739e+07 + i -5.277465e+05 ; -8.885154e+08 + i 1.268774e+08 ; 6.260347e+07 + i -4.140916e+06 ; 3.164671e+07 + i -3.151638e+06 ; -1.402093e+08 + i 3.769849e+07 ; 3.094168e+07 + i -2.972680e+06 ; 
1.072842e+07 + i -5.923207e+05 ; 3.778073e+06 + i -4.441172e+05 ; -1.873657e+07 + i 4.366648e+06 ; 1.680999e+07 + i -1.541681e+06 ; 1.303019e+07 + i -9.329744e+05 ; -8.799765e+07 + i 1.555636e+07 ; 1.396786e+07 + i -3.762283e+05 ; 2.385618e+06 + i -2.115895e+05 ; -2.391526e+07 + i 5.595933e+06 ; 2.518490e+07 + i -1.822274e+06 ; 6.447220e+06 + i -1.425913e+05 ; -1.743342e+08 + i 2.514250e+07 ; -3.628658e+07 + i 5.388729e+06 ; -2.590254e+06 + i 9.267052e+05 ; -1.721597e+07 + i 3.754820e+06 ; -6.864879e+07 + i 1.192780e+07 ; -3.924733e+07 + i 6.661875e+06 ; -5.876991e+07 + i 8.585152e+06 ; -6.331470e+07 + i 7.747710e+06 ; 9.751555e+05 + i 7.105245e+04 ; -2.310743e+07 + i 4.754872e+06 ; -1.402356e+08 + i 2.233538e+07 ; -5.806716e+06 + i 6.169788e+05 ; -9.462150e+07 + i 9.032368e+06 ; -1.316180e+07 + i 5.064781e+05 ; 6.545902e+07 + i -3.826561e+06 ; -8.888347e+08 + i 1.268000e+08 ; -3.183097e+07 + i 3.129580e+06 ; 3.238579e+07 + i -2.862691e+06 ; -1.402526e+08 + i 3.770254e+07 ; -2.063402e+07 + i -6.469571e+05 ; 2.052247e+07 + i 1.129312e+06 ; -6.533950e+09 + i 5.532713e+08 ; -6.270186e+07 + i 4.255225e+06 ; 1.294328e+07 + i -1.940004e+05 ; -8.932520e+08 + i 1.271038e+08 ; 2.139850e+07 + i -3.551474e+06 ; -4.993623e+08 + i 7.213187e+07 ; -2.613977e+08 + i 3.171480e+06 ; 1.189401e+08 + i -2.323082e+07 ; -1.276954e+08 + i 2.351149e+07 ; -8.923786e+07 + i 1.819434e+07 ; 1.086850e+08 + i -7.390630e+06 ; -1.229855e+08 + i 7.454365e+06 ; 1.886324e+09 + i -2.732557e+08 ; 4.739194e+08 + i -7.250564e+07 ; -2.886205e+07 + i 4.011201e+06 ; -2.650404e+08 + i 3.256291e+06 ; 
3.522103e+07 + i -6.275484e+06 ; 4.207049e+06 + i -1.133891e+06 ; 9.607089e+05 + i -1.124430e+04 ; 5.204044e+07 + i -1.083274e+07 ; 1.954256e+07 + i -4.382487e+06 ; 9.285217e+05 + i 2.627407e+05 ; 7.921279e+07 + i -6.964721e+06 ; -1.187441e+06 + i -9.027847e+04 ; 8.922677e+05 + i 2.612724e+04 ; 1.622258e+08 + i -1.746056e+07 ; -3.910016e+05 + i -6.152157e+05 ; -1.305604e+05 + i 4.897914e+05 ; 1.601073e+07 + i -4.407632e+06 ; 3.253683e+06 + i -9.032831e+05 ; -3.183299e+06 + i 8.791037e+05 ; 1.560451e+07 + i -5.707233e+06 ; 1.290113e+07 + i -3.064870e+06 ; -1.242151e+07 + i 3.014366e+06 ; 3.526393e+07 + i -6.266257e+06 ; -1.157258e+06 + i -2.334749e+04 ; -4.129757e+06 + i 1.100673e+06 ; 5.207775e+07 + i -1.083310e+07 ; -1.234738e+06 + i -3.263123e+05 ; -1.882159e+07 + i 4.317731e+06 ; -2.609086e+08 + i 2.562689e+06 ; 5.069467e+08 + i -7.177448e+07 ; -2.772102e+07 + i 3.955584e+06 ; -8.906598e+08 + i 1.270194e+08 ; -5.902388e+07 + i 4.887678e+06 ; 1.258176e+07 + i -2.588609e+05 ; 1.891752e+09 + i -2.735723e+08 ; 1.174858e+08 + i -8.443784e+06 ; -1.191112e+08 + i 7.887422e+06 ; -6.535329e+09 + i 5.535609e+08 ; -2.089603e+07 + i -1.231265e+06 ; 1.993160e+07 + i 1.000708e+06 ; -8.650422e+07 + i 1.772368e+07 ; 1.289183e+08 + i -2.339852e+07 ; -1.229804e+08 + i 2.334444e+07 ; -1.388167e+08 + i 3.752887e+07 ; -3.240354e+07 + i 2.835358e+06 ; 3.137657e+07 + i -2.959608e+06 ; -2.595750e+08 + i 2.811837e+06 ; 2.863294e+07 + i -3.899510e+06 ; -4.829878e+08 + i 7.258843e+07 ; -8.907365e+08 + i 1.270116e+08 ; -1.299787e+07 + i 1.807897e+05 ; 6.334547e+07 + i -4.027675e+06 ; 
3.344877e+07 + i -2.598733e+06 ; -8.582315e+06 + i 1.788469e+06 ; 7.978022e+05 + i -6.886212e+04 ; 6.680109e+07 + i -6.896151e+06 ; -2.324152e+07 + i 4.722475e+06 ; 1.346982e+06 + i -4.501230e+04 ; 8.970926e+05 + i -4.299164e+05 ; -9.486164e+06 + i 2.026754e+06 ; 1.126563e+06 + i -1.263639e+05 ; -1.210220e+04 + i -4.777374e+05 ; -2.394965e+07 + i 5.585915e+06 ; 2.982238e+06 + i -2.139221e+05 ; 2.359962e+07 + i -2.395236e+06 ; -7.178818e+06 + i 1.578333e+06 ; -3.782399e+05 + i 1.795743e+05 ; 4.224299e+07 + i -5.226250e+06 ; -1.727502e+07 + i 3.744227e+06 ; -4.244061e+06 + i 1.023799e+06 ; -4.100249e+05 + i -3.456137e+05 ; -7.839718e+06 + i 1.767683e+06 ; 1.518705e+06 + i -1.929268e+05 ; -2.259413e+06 + i -2.748943e+05 ; -1.875721e+07 + i 4.361244e+06 ; 4.686652e+06 + i -4.553643e+05 ; 5.125531e+08 + i -7.193695e+07 ; -2.664699e+08 + i 3.023542e+06 ; -2.802835e+07 + i 3.999225e+06 ; 1.205470e+08 + i -8.448577e+06 ; 1.880890e+09 + i -2.731546e+08 ; -1.194438e+08 + i 7.936774e+06 ; -5.793180e+07 + i 4.730426e+06 ; -8.931079e+08 + i 1.271468e+08 ; 1.238462e+07 + i -2.457901e+05 ; -1.981475e+07 + i -1.312180e+06 ; -6.540593e+09 + i 5.536375e+08 ; 1.983560e+07 + i 1.023615e+06 ; 1.332571e+08 + i -2.362141e+07 ; -8.943692e+07 + i 1.818987e+07 ; -1.235741e+08 + i 2.342815e+07 ; 3.085084e+07 + i -3.969043e+06 ; -2.660580e+08 + i 3.391152e+06 ; -4.836646e+08 + i 7.269220e+07 ; -3.123220e+07 + i 2.691450e+06 ; -1.402709e+08 + i 3.768669e+07 ; 3.117601e+07 + i -2.946795e+06 ; -1.210159e+07 + i 9.084649e+04 ; -8.942843e+08 + i 1.272303e+08 ; 6.328667e+07 + i -4.001996e+06 ; 
