-6.773697e+08 + i 2.556483e+09 ; 5.339782e+06 + i 2.380148e+07 ; 5.376871e+06 + i 2.378147e+07 ; -4.066176e+08 + i -3.651719e+08 ; -3.645414e+07 + i -4.736637e+07 ; -3.647447e+07 + i -4.732563e+07 ; 1.709252e+08 + i 2.088589e+08 ; 1.731087e+07 + i 2.850981e+07 ; 1.015268e+07 + i 3.638361e+06 ; 6.800221e+07 + i 1.894414e+08 ; -1.004149e+08 + i -6.471829e+07 ; -1.108968e+07 + i 4.893567e+06 ; 1.709441e+08 + i 2.088147e+08 ; 1.004582e+07 + i 3.648560e+06 ; 1.727297e+07 + i 2.853573e+07 ; 6.810918e+07 + i 1.893815e+08 ; -1.099438e+07 + i 4.710974e+06 ; -1.004099e+08 + i -6.471703e+07 ; 5.245973e+07 + i -7.079242e+07 ; 1.393016e+07 + i 4.373471e+06 ; 1.396414e+07 + i 4.303536e+06 ; 5.730453e+07 + i -6.128574e+07 ; -2.417896e+07 + i 3.431690e+06 ; -2.421607e+07 + i 3.395913e+06 ; -3.350118e+07 + i -5.782884e+07 ; 1.092140e+05 + i 2.830443e+06 ; 1.181984e+05 + i 2.829269e+06 ; -1.323082e+07 + i -3.857203e+07 ; 8.043499e+05 + i 2.094875e+05 ; 8.048238e+05 + i 2.070833e+05 ; -1.940576e+07 + i 1.243682e+07 ; -2.534685e+06 + i 2.625965e+06 ; 1.234282e+06 + i 1.691647e+06 ; -1.674206e+07 + i 5.942879e+06 ; 1.354235e+05 + i 1.257832e+05 ; 5.148121e+05 + i -1.619596e+04 ; -1.938804e+07 + i 1.240609e+07 ; 1.228398e+06 + i 1.667686e+06 ; -2.529544e+06 + i 2.624918e+06 ; -1.672472e+07 + i 5.931775e+06 ; 5.107799e+05 + i -1.524706e+04 ; 1.353245e+05 + i 1.257484e+05 ; 1.055315e+07 + i 1.000957e+07 ; -6.389049e+05 + i 1.468696e+06 ; -6.393215e+05 + i 1.480241e+06 ; 6.301029e+06 + i 8.916029e+06 ; -3.622493e+04 + i -7.153094e+04 ; -3.397560e+04 + i -7.138959e+04 ; 
-3.169738e+07 + i -1.870820e+06 ; -3.278996e+07 + i -3.579767e+06 ; 6.106126e+07 + i -6.285054e+07 ; -9.209148e+06 + i 5.965239e+06 ; -1.042444e+08 + i -1.205086e+08 ; 6.780586e+07 + i 1.918523e+08 ; -1.036120e+08 + i -1.177171e+08 ; -1.086419e+07 + i 3.235133e+06 ; 6.923460e+07 + i 1.947107e+08 ; -3.866427e+07 + i -4.580759e+07 ; -4.078358e+07 + i -5.036885e+07 ; -4.087045e+08 + i -3.582000e+08 ; 9.231472e+06 + i 1.259045e+07 ; 8.914992e+06 + i 1.357990e+07 ; 5.374725e+07 + i -7.195892e+07 ; 1.202800e+07 + i 5.921775e+06 ; 2.283518e+07 + i 2.012984e+07 ; 1.707500e+08 + i 2.064510e+08 ; 2.384791e+07 + i 1.942563e+07 ; 1.186105e+07 + i 7.396488e+06 ; 1.725214e+08 + i 2.093489e+08 ; 8.336054e+05 + i 2.999913e+07 ; -4.229088e+05 + i 3.150375e+07 ; -6.791381e+08 + i 2.557297e+09 ; 1.502305e+07 + i 9.920359e+06 ; -7.423338e+06 + i -5.782128e+06 ; 1.950832e+07 + i 2.109026e+06 ; 9.541976e+06 + i 7.089770e+06 ; -3.954608e+05 + i 1.288324e+06 ; -7.166592e+04 + i -2.756177e+06 ; 3.262270e+07 + i 2.760049e+07 ; -1.000493e+06 + i -2.504639e+06 ; 2.326261e+07 + i 3.348247e+07 ; 1.692690e+07 + i 2.131395e+07 ; -8.470823e+03 + i 1.287822e+06 ; 6.489902e+06 + i -5.116003e+06 ; -7.372547e+06 + i -6.642443e+06 ; 3.255733e+06 + i 6.608004e+06 ; 2.251602e+07 + i 1.935378e+06 ; -5.714122e+06 + i -6.156028e+06 ; 1.739787e+06 + i 3.231633e+05 ; -7.541869e+04 + i -2.607725e+06 ; -5.836810e+06 + i -1.853090e+07 ; 1.538077e+06 + i 5.342072e+06 ; 3.547771e+07 + i 3.653541e+07 ; -2.522900e+06 + i -1.486625e+07 ; 1.452958e+06 + i 2.591594e+05 ; 5.804427e+06 + i -5.525802e+06 ; 
-3.272595e+07 + i -5.792606e+07 ; 3.558728e+05 + i -4.216658e+06 ; 3.551493e+05 + i -4.214800e+06 ; -7.293939e+07 + i -8.190604e+07 ; 1.133642e+07 + i 1.088936e+07 ; 1.135141e+07 + i 1.087797e+07 ; -1.935855e+07 + i 1.223953e+07 ; 1.284249e+06 + i -4.410636e+06 ; -1.298404e+06 + i -1.380206e+06 ; -2.061202e+07 + i 2.029515e+07 ; 2.958515e+07 + i 1.554541e+07 ; 5.451088e+06 + i 7.962461e+05 ; -1.934117e+07 + i 1.223514e+07 ; -1.269125e+06 + i -1.383790e+06 ; 1.295867e+06 + i -4.417582e+06 ; -2.056836e+07 + i 2.029769e+07 ; 5.436615e+06 + i 8.354928e+05 ; 2.958071e+07 + i 1.554954e+07 ; 1.052200e+07 + i 1.001835e+07 ; -1.568156e+05 + i -1.311503e+06 ; -1.640112e+05 + i -1.283325e+06 ; 1.628298e+07 + i 1.125257e+07 ; 1.335370e+07 + i 2.194081e+06 ; 1.335628e+07 + i 2.211819e+06 ; -6.818124e+08 + i 2.549158e+09 ; 4.062286e+06 + i 2.308963e+07 ; 4.099527e+06 + i 2.307187e+07 ; -4.067103e+08 + i -3.652306e+08 ; -3.705901e+07 + i -4.828652e+07 ; -3.707615e+07 + i -4.824304e+07 ; 1.679946e+08 + i 2.091230e+08 ; 1.586196e+07 + i 2.796518e+07 ; 9.219605e+06 + i 2.624236e+06 ; 6.807865e+07 + i 1.895797e+08 ; -1.009528e+08 + i -6.544975e+07 ; -1.158274e+07 + i 5.383233e+06 ; 1.680140e+08 + i 2.090718e+08 ; 9.116765e+06 + i 2.631506e+06 ; 1.582183e+07 + i 2.798935e+07 ; 6.818720e+07 + i 1.895229e+08 ; -1.147742e+07 + i 5.196461e+06 ; -1.009489e+08 + i -6.544806e+07 ; 5.283057e+07 + i -6.895951e+07 ; 1.266403e+07 + i 3.185421e+06 ; 1.270510e+07 + i 3.110626e+06 ; 5.739031e+07 + i -6.130193e+07 ; -2.476309e+07 + i 3.842170e+06 ; -2.480012e+07 + i 3.802799e+06 ; 
-5.728344e+06 + i -8.447691e+06 ; 6.352134e+06 + i -5.768488e+06 ; 1.136538e+06 + i -3.745479e+05 ; -8.852436e+06 + i -8.814684e+06 ; 3.561021e+07 + i 3.669414e+07 ; 2.734453e+06 + i 3.274383e+06 ; 1.725622e+07 + i 1.238427e+07 ; 6.563398e+06 + i -4.901190e+06 ; 4.465414e+05 + i 1.091389e+06 ; 3.005687e+07 + i 1.387509e+07 ; 2.264713e+07 + i 3.483567e+07 ; -1.776456e+06 + i -4.153084e+05 ; -4.948198e+06 + i -2.787289e+06 ; -4.564092e+04 + i -2.937952e+06 ; 1.298444e+06 + i -3.644618e+05 ; -5.992501e+06 + i -2.674594e+06 ; 2.269616e+07 + i 1.677922e+06 ; 4.319484e+06 + i 3.838316e+06 ; 8.649095e+06 + i 2.770441e+06 ; -1.158347e+05 + i -2.598679e+06 ; 1.504809e+05 + i 1.149964e+06 ; 1.310951e+07 + i 3.548310e+06 ; 1.948416e+07 + i 2.278222e+06 ; -7.091937e+06 + i -1.651467e+06 ; 5.257765e+06 + i 2.238095e+07 ; -6.791758e+08 + i 2.557338e+09 ; 5.469128e+06 + i 2.347800e+07 ; 1.705871e+07 + i 2.763142e+07 ; 1.725199e+08 + i 2.104265e+08 ; 1.004067e+07 + i 3.780118e+06 ; -3.335408e+07 + i -4.424066e+07 ; -4.068398e+08 + i -3.610131e+08 ; -3.650597e+07 + i -4.708564e+07 ; -9.966453e+07 + i -6.338781e+07 ; 7.100820e+07 + i 1.905026e+08 ; -1.114774e+07 + i 4.844569e+06 ; 9.792534e+06 + i 2.967275e+06 ; 1.711303e+08 + i 2.072558e+08 ; 1.734156e+07 + i 2.821823e+07 ; 1.396254e+07 + i 4.014303e+06 ; 5.326941e+07 + i -7.204688e+07 ; 1.389128e+07 + i 4.420981e+06 ; -9.003796e+06 + i 6.375697e+06 ; 6.978950e+07 + i 1.880729e+08 ; -1.006498e+08 + i -6.468239e+07 ; -2.323007e+07 + i 4.534589e+06 ; 5.790978e+07 + i -6.323772e+07 ; -2.435835e+07 + i 3.339525e+06 ; 
-5.732814e+06 + i -8.453640e+06 ; 1.138294e+06 + i -3.757352e+05 ; 6.339424e+06 + i -5.794054e+06 ; -8.850270e+06 + i -8.824237e+06 ; 2.739398e+06 + i 3.274928e+06 ; 3.563008e+07 + i 3.666696e+07 ; -4.953514e+06 + i -2.777283e+06 ; 1.299418e+06 + i -3.659288e+05 ; -5.425754e+04 + i -2.966484e+06 ; -5.992392e+06 + i -2.658382e+06 ; 4.315970e+06 + i 3.843704e+06 ; 2.277363e+07 + i 1.676188e+06 ; 1.724688e+07 + i 1.239843e+07 ; 4.520064e+05 + i 1.096139e+06 ; 6.582781e+06 + i -4.907510e+06 ; 3.005197e+07 + i 1.388517e+07 ; -1.780729e+06 + i -4.007197e+05 ; 2.265197e+07 + i 3.485859e+07 ; 8.641152e+06 + i 2.732340e+06 ; 1.571669e+05 + i 1.143991e+06 ; -1.211350e+05 + i -2.598765e+06 ; 1.310496e+07 + i 3.530731e+06 ; -7.094423e+06 + i -1.656288e+06 ; 1.951497e+07 + i 2.271039e+06 ; 5.271167e+06 + i 2.238993e+07 ; 5.475879e+06 + i 2.347651e+07 ; -6.793807e+08 + i 2.557540e+09 ; 1.702997e+07 + i 2.764175e+07 ; 1.005040e+07 + i 3.774670e+06 ; 1.726557e+08 + i 2.103463e+08 ; 9.833805e+06 + i 2.936274e+06 ; 1.728414e+07 + i 2.828610e+07 ; 1.706352e+08 + i 2.077483e+08 ; 1.400364e+07 + i 3.928166e+06 ; 1.389652e+07 + i 4.447965e+06 ; 5.372861e+07 + i -7.202727e+07 ; -3.331486e+07 + i -4.427081e+07 ; -3.654329e+07 + i -4.705704e+07 ; -4.070002e+08 + i -3.606762e+08 ; -9.964770e+07 + i -6.341507e+07 ; -1.114860e+07 + i 4.894383e+06 ; 7.107313e+07 + i 1.905887e+08 ; -9.012305e+06 + i 6.510238e+06 ; -1.006814e+08 + i -6.469124e+07 ; 6.953407e+07 + i 1.880064e+08 ; -2.324604e+07 + i 4.601037e+06 ; -2.435714e+07 + i 3.361990e+06 ; 5.800997e+07 + i -6.310787e+07 ; 
-1.276559e+07 + i -3.837160e+07 ; -9.168776e+05 + i -2.437619e+05 ; -9.167253e+05 + i -2.403171e+05 ; -3.314100e+07 + i -5.817572e+07 ; -2.241295e+04 + i -3.091318e+06 ; -2.096989e+04 + i -3.092970e+06 ; -1.668264e+07 + i 5.842701e+06 ; -1.421632e+05 + i -1.341777e+05 ; -5.869612e+05 + i 2.560260e+04 ; -1.961622e+07 + i 1.221109e+07 ; 2.793087e+06 + i -2.728324e+06 ; -1.263126e+06 + i -1.861883e+06 ; -1.666462e+07 + i 5.833766e+06 ; -5.824004e+05 + i 2.293942e+04 ; -1.421343e+05 + i -1.352975e+05 ; -1.957601e+07 + i 1.220109e+07 ; -1.256885e+06 + i -1.848576e+06 ; 2.788132e+06 + i -2.725301e+06 ; 6.284076e+06 + i 8.939127e+06 ; 3.393026e+04 + i 7.799724e+04 ; 3.508620e+04 + i 8.097480e+04 ; 1.031137e+07 + i 1.012498e+07 ; 7.296094e+05 + i -1.565698e+06 ; 7.229338e+05 + i -1.559874e+06 ; -4.043830e+08 + i -3.661817e+08 ; 3.641287e+07 + i 5.102342e+07 ; 3.647222e+07 + i 5.095614e+07 ; -6.791793e+08 + i 2.556872e+09 ; -5.355094e+06 + i -2.471412e+07 ; -5.384597e+06 + i -2.471223e+07 ; 6.839754e+07 + i 1.889093e+08 ; 1.035655e+08 + i 7.104021e+07 ; 1.175382e+07 + i -4.668003e+06 ; 1.703932e+08 + i 2.093343e+08 ; -1.713276e+07 + i -3.050655e+07 ; -1.054274e+07 + i -3.916545e+06 ; 6.841875e+07 + i 1.888908e+08 ; 1.167982e+07 + i -4.527297e+06 ; 1.035598e+08 + i 7.104677e+07 ; 1.704976e+08 + i 2.092071e+08 ; -1.046669e+07 + i -3.933765e+06 ; -1.711768e+07 + i -3.051709e+07 ; 5.710129e+07 + i -6.170503e+07 ; 2.553454e+07 + i -2.879932e+06 ; 2.553568e+07 + i -2.851752e+06 ; 5.262811e+07 + i -7.030081e+07 ; -1.447791e+07 + i -5.021025e+06 ; -1.447716e+07 + i -5.008269e+06 ; 
2.290071e+06 + i -4.259465e+06 ; -5.794538e+04 + i 1.245722e+05 ; 3.136038e+05 + i 3.924802e+04 ; 1.852378e+06 + i -5.817472e+06 ; 5.445532e+06 + i -5.377395e+06 ; 1.048765e+06 + i 5.966391e+05 ; 7.741422e+06 + i 1.595968e+07 ; 1.960863e+05 + i 2.254535e+04 ; 1.625361e+05 + i 9.783283e+04 ; 1.550648e+07 + i 2.306382e+07 ; 6.749576e+06 + i -4.965800e+06 ; 7.516148e+05 + i 4.679524e+05 ; -8.119532e+05 + i -4.410363e+06 ; 7.671623e+05 + i 7.798485e+05 ; 3.980694e+05 + i 1.891132e+04 ; -1.840768e+06 + i -5.489104e+06 ; -1.153345e+05 + i -2.492651e+06 ; 1.457690e+06 + i 6.726781e+05 ; 8.187341e+06 + i 6.571300e+06 ; 7.782813e+05 + i 5.579021e+05 ; 6.682226e+04 + i 7.381681e+04 ; 1.247088e+07 + i 8.556834e+06 ; -2.633805e+04 + i -2.732975e+06 ; -8.442442e+04 + i 1.751936e+05 ; -1.456181e+07 + i -3.848365e+07 ; 1.699745e+08 + i 2.119153e+08 ; 1.056302e+07 + i 4.167271e+06 ; -1.908119e+06 + i -2.974643e+07 ; -6.791033e+08 + i 2.561924e+09 ; 4.975203e+06 + i 2.517189e+07 ; 1.122326e+08 + i 1.006436e+08 ; 7.138258e+07 + i 1.904535e+08 ; -1.232995e+07 + i 5.203182e+06 ; 3.613731e+07 + i 6.686433e+07 ; -4.044757e+08 + i -3.572358e+08 ; -3.706643e+07 + i -5.058359e+07 ; -1.555217e+07 + i -8.612711e+06 ; 5.416529e+07 + i -7.157992e+07 ; 1.454460e+07 + i 4.864573e+06 ; -1.102600e+07 + i -6.480528e+06 ; 1.742386e+08 + i 2.102498e+08 ; 1.723902e+07 + i 3.049702e+07 ; 3.184399e+07 + i 2.096742e+06 ; 5.774511e+07 + i -6.318709e+07 ; -2.568421e+07 + i 2.896973e+06 ; 1.523046e+07 + i -2.454541e+06 ; 7.200338e+07 + i 1.905535e+08 ; -1.035513e+08 + i -7.085110e+07 ; 
2.289449e+06 + i -4.260268e+06 ; 3.152700e+05 + i 4.001872e+04 ; -3.264095e+04 + i 1.323605e+05 ; 1.867379e+06 + i -5.813586e+06 ; 1.051348e+06 + i 5.970266e+05 ; 5.483961e+06 + i -5.379975e+06 ; -8.327257e+05 + i -4.406146e+06 ; 3.986712e+05 + i 1.929311e+04 ; 7.470313e+05 + i 8.115142e+05 ; -1.866597e+06 + i -5.468598e+06 ; 1.459729e+06 + i 6.738985e+05 ; -1.509344e+05 + i -2.459119e+06 ; 7.726847e+06 + i 1.596012e+07 ; 1.619517e+05 + i 9.941072e+04 ; 2.024354e+05 + i 2.144924e+04 ; 1.549885e+07 + i 2.307060e+07 ; 7.486681e+05 + i 4.731514e+05 ; 6.755251e+06 + i -4.953812e+06 ; 8.211603e+06 + i 6.540295e+06 ; 6.753850e+04 + i 7.359165e+04 ; 7.825655e+05 + i 5.825161e+05 ; 1.249657e+07 + i 8.542713e+06 ; -8.411750e+04 + i 1.746889e+05 ; -4.954340e+04 + i -2.706881e+06 ; -1.454766e+07 + i -3.849580e+07 ; 1.057719e+07 + i 4.156909e+06 ; 1.702096e+08 + i 2.117481e+08 ; -1.889333e+06 + i -2.974240e+07 ; 4.992168e+06 + i 2.517820e+07 ; -6.791110e+08 + i 2.562065e+09 ; -1.560173e+07 + i -8.570205e+06 ; 1.454453e+07 + i 4.889078e+06 ; 5.474878e+07 + i -7.145770e+07 ; -1.109422e+07 + i -6.434965e+06 ; 1.717430e+07 + i 3.056535e+07 ; 1.735594e+08 + i 2.109520e+08 ; 1.121897e+08 + i 1.006558e+08 ; -1.231282e+07 + i 5.263802e+06 ; 7.133792e+07 + i 1.905713e+08 ; 3.610367e+07 + i 6.688949e+07 ; -3.713168e+07 + i -5.055507e+07 ; -4.046812e+08 + i -3.568704e+08 ; 3.190031e+07 + i 2.010352e+06 ; -2.564608e+07 + i 2.917892e+06 ; 5.810191e+07 + i -6.330438e+07 ; 1.526317e+07 + i -2.523191e+06 ; -1.036032e+08 + i -7.087022e+07 ; 7.163214e+07 + i 1.903921e+08 ; 
-1.985703e+07 + i 1.247651e+07 ; -2.686488e+06 + i 5.149279e+06 ; -1.312235e+06 + i -1.523809e+06 ; -2.019605e+07 + i 1.995307e+07 ; -3.302820e+07 + i -2.473611e+07 ; 5.798384e+06 + i 9.729379e+05 ; -3.315077e+07 + i -5.795020e+07 ; -1.074159e+06 + i 4.360276e+06 ; 4.966806e+05 + i -4.376190e+06 ; -7.255063e+07 + i -8.204441e+07 ; -1.146210e+07 + i -1.674647e+07 ; 1.161806e+07 + i 1.183885e+07 ; 1.046552e+07 + i 1.031524e+07 ; -1.044720e+05 + i 1.695542e+06 ; -1.373778e+05 + i -1.345069e+06 ; 1.620081e+07 + i 1.122271e+07 ; -1.582380e+07 + i -5.370844e+06 ; 1.395293e+07 + i 2.765931e+06 ; -1.931278e+07 + i 1.238048e+07 ; 1.148867e+06 + i 1.730271e+06 ; 1.498344e+06 + i -4.590060e+06 ; -2.042802e+07 + i 2.019155e+07 ; -6.588632e+06 + i -2.489000e+06 ; 3.057611e+07 + i 1.723395e+07 ; 1.656054e+08 + i 2.102073e+08 ; -1.596451e+07 + i -2.952071e+07 ; 9.660812e+06 + i 3.056475e+06 ; 6.833631e+07 + i 1.904576e+08 ; 1.133847e+08 + i 9.468236e+07 ; -1.267346e+07 + i 5.743053e+06 ; -6.843456e+08 + i 2.550243e+09 ; -3.825769e+06 + i -2.483091e+07 ; 3.699995e+06 + i 2.418452e+07 ; -4.068539e+08 + i -3.641861e+08 ; 3.805331e+07 + i 5.809565e+07 ; -3.754212e+07 + i -5.156309e+07 ; 5.367720e+07 + i -6.830689e+07 ; -1.366434e+07 + i -6.081984e+06 ; 1.329263e+07 + i 3.436071e+06 ; 5.735176e+07 + i -6.101942e+07 ; 2.979627e+07 + i -5.635691e+05 ; -2.609364e+07 + i 3.245726e+06 ; 1.690002e+08 + i 2.093999e+08 ; -9.599563e+06 + i -4.226440e+06 ; 1.573133e+07 + i 2.961991e+07 ; 6.852131e+07 + i 1.892854e+08 ; 1.374066e+07 + i -4.399173e+06 ; -1.039777e+08 + i -7.159116e+07 ; 
-1.717324e+07 + i -1.345454e+07 ; 7.129035e+06 + i -5.394281e+06 ; -4.358055e+05 + i -1.144942e+06 ; -3.077874e+07 + i -1.495829e+07 ; 2.325802e+07 + i 3.418030e+07 ; 1.815687e+06 + i 5.266864e+05 ; 5.475491e+06 + i 9.493542e+06 ; 5.810595e+06 + i -5.440817e+06 ; -1.191425e+06 + i 3.658426e+05 ; 8.289505e+06 + i 1.119959e+07 ; 3.497266e+07 + i 3.711709e+07 ; -2.811171e+06 + i -3.471094e+06 ; -8.830993e+06 + i -3.303037e+06 ; -2.910660e+04 + i -2.989582e+06 ; -1.166263e+05 + i -1.216954e+06 ; -1.357793e+07 + i -4.001011e+06 ; 1.958026e+07 + i 1.904044e+06 ; 7.436936e+06 + i 1.939038e+06 ; 5.166083e+06 + i 3.308407e+06 ; -1.494007e+05 + i -2.599455e+06 ; -1.364613e+06 + i 3.311648e+05 ; 6.193570e+06 + i 3.740072e+06 ; 2.254169e+07 + i 2.023497e+06 ; -4.385850e+06 + i -4.179335e+06 ; 3.513528e+07 + i 4.077024e+07 ; -4.046807e+08 + i -3.619730e+08 ; 3.661496e+07 + i 5.090986e+07 ; 1.040727e+08 + i 6.890064e+07 ; 7.138397e+07 + i 1.909942e+08 ; 1.188233e+07 + i -4.700942e+06 ; -7.207622e+06 + i -2.189762e+07 ; -6.810909e+08 + i 2.557831e+09 ; -5.433724e+06 + i -2.454607e+07 ; -1.903488e+07 + i -2.247648e+07 ; 1.722959e+08 + i 2.102219e+08 ; -1.052006e+07 + i -4.008422e+06 ; 8.775014e+06 + i -6.421687e+06 ; 7.016330e+07 + i 1.872725e+08 ; 1.038730e+08 + i 7.105055e+07 ; 2.383711e+07 + i -4.274333e+06 ; 5.788751e+07 + i -6.374225e+07 ; 2.576509e+07 + i -3.009851e+06 ; -9.481849e+06 + i -2.770919e+06 ; 1.707225e+08 + i 2.077218e+08 ; -1.722514e+07 + i -3.030693e+07 ; -1.356821e+07 + i -4.443399e+06 ; 5.322391e+07 + i -7.134431e+07 ; -1.447260e+07 + i -5.102935e+06 ; 
-5.110440e+06 + i -3.059284e+06 ; -1.672490e+06 + i 1.523586e+05 ; -2.102972e+04 + i -3.036177e+06 ; -6.105342e+06 + i -2.948032e+06 ; -4.497039e+06 + i -5.573415e+06 ; 2.279698e+07 + i 1.735756e+06 ; -5.699349e+06 + i -9.052961e+06 ; -1.323273e+06 + i 1.643063e+05 ; 6.307647e+06 + i -5.787377e+06 ; -8.877642e+06 + i -9.562272e+06 ; -2.653823e+06 + i -4.557470e+06 ; 3.551852e+07 + i 3.674335e+07 ; 8.953715e+06 + i 3.128656e+06 ; 7.408729e+03 + i -1.315534e+06 ; -1.291109e+05 + i -2.636835e+06 ; 1.342368e+07 + i 4.448329e+06 ; 8.355217e+06 + i 3.509241e+06 ; 1.959793e+07 + i 2.244815e+06 ; 1.767499e+07 + i 1.362650e+07 ; -4.398161e+05 + i -1.139187e+06 ; 6.587403e+06 + i -4.923634e+06 ; 3.096681e+07 + i 1.569676e+07 ; 2.015471e+06 + i 1.247436e+06 ; 2.273363e+07 + i 3.481321e+07 ; 1.083269e+07 + i 3.435798e+06 ; -1.536406e+07 + i -3.748710e+07 ; 1.686834e+08 + i 2.088536e+08 ; 1.513027e+07 + i 4.619142e+06 ; -1.644593e+07 + i -7.915453e+06 ; 5.442144e+07 + i -7.138601e+07 ; 4.695451e+06 + i 2.358525e+07 ; -2.570735e+06 + i -2.912146e+07 ; -6.808754e+08 + i 2.558104e+09 ; 1.678441e+07 + i 2.952077e+07 ; -1.180687e+07 + i -5.927060e+06 ; 1.731045e+08 + i 2.109094e+08 ; -1.099978e+07 + i 8.308031e+06 ; 1.103702e+08 + i 9.736657e+07 ; 6.987329e+07 + i 1.877519e+08 ; -2.532458e+07 + i 4.862400e+06 ; 3.089105e+07 + i -8.898571e+05 ; 5.792377e+07 + i -6.326141e+07 ; -3.309253e+07 + i -4.795664e+07 ; 3.500345e+07 + i 6.450151e+07 ; -4.063760e+08 + i -3.607445e+08 ; -1.016075e+08 + i -7.023762e+07 ; 1.482419e+07 + i -5.135012e+06 ; 7.107117e+07 + i 1.902599e+08 ; 
-1.696133e+07 + i 5.874919e+06 ; 7.770245e+05 + i 6.753705e+05 ; -6.200843e+05 + i 8.835368e+03 ; -1.913860e+07 + i 1.217830e+07 ; -2.857107e+06 + i 3.243871e+06 ; -1.255711e+06 + i -2.011376e+06 ; -1.296946e+07 + i -3.851083e+07 ; -1.561051e+05 + i 1.600999e+06 ; -9.457971e+05 + i -2.691883e+05 ; -3.267978e+07 + i -5.818718e+07 ; -2.058513e+06 + i 5.942063e+06 ; 8.420639e+04 + i -3.219627e+06 ; 6.216871e+06 + i 9.182103e+06 ; 2.407238e+05 + i -5.185108e+04 ; 3.269354e+04 + i 9.373156e+04 ; 1.033536e+07 + i 1.022173e+07 ; -9.067284e+05 + i 1.750930e+06 ; 7.801773e+05 + i -1.598246e+06 ; -1.662486e+07 + i 5.920783e+06 ; 5.514540e+05 + i 7.925142e+05 ; -1.455474e+05 + i -1.432527e+05 ; -1.935514e+07 + i 1.212074e+07 ; 8.758399e+05 + i 3.476558e+06 ; 2.969954e+06 + i -2.763503e+06 ; 6.513155e+07 + i 1.935103e+08 ; -1.078885e+08 + i -1.107167e+08 ; 1.277198e+07 + i -4.805887e+06 ; 1.706660e+08 + i 2.088191e+08 ; 2.383774e+07 + i 1.473044e+07 ; -1.098066e+07 + i -4.495906e+06 ; -4.073806e+08 + i -3.633563e+08 ; -4.252573e+07 + i -4.376582e+07 ; 3.681588e+07 + i 5.417088e+07 ; -6.785899e+08 + i 2.556750e+09 ; 5.790230e+05 + i 3.167944e+07 ; -4.981570e+06 + i -2.599088e+07 ; 5.847911e+07 + i -6.112093e+07 ; -2.943551e+07 + i -1.604393e+06 ; 2.670783e+07 + i -2.206778e+06 ; 5.255136e+07 + i -6.973943e+07 ; 1.311916e+07 + i 9.092701e+06 ; -1.495843e+07 + i -5.633675e+06 ; 6.966731e+07 + i 1.888466e+08 ; -1.209318e+07 + i 3.315376e+06 ; 1.059930e+08 + i 7.700462e+07 ; 1.707553e+08 + i 2.089400e+08 ; 9.609547e+06 + i 6.334673e+06 ; -1.704908e+07 + i -3.226687e+07 ; 
-7.085738e+06 + i -1.782453e+07 ; -4.506300e+05 + i 3.522516e+05 ; -1.566465e+05 + i -1.108387e+05 ; -1.532639e+07 + i -2.612556e+07 ; 5.876175e+06 + i -4.262118e+06 ; -7.594732e+05 + i -5.144451e+05 ; -1.521429e+06 + i 3.161150e+06 ; 4.350689e+05 + i 1.099424e+05 ; -3.176901e+05 + i -5.772590e+04 ; -1.371715e+06 + i 3.824369e+06 ; 6.126193e+06 + i -5.552536e+06 ; -1.065407e+06 + i -6.549144e+05 ; -8.145156e+06 + i -7.518068e+06 ; 6.980304e+05 + i 9.320656e+05 ; -6.724821e+04 + i -8.431041e+04 ; -1.261338e+07 + i -9.991895e+06 ; -5.364457e+04 + i -2.289159e+06 ; 1.033183e+05 + i -1.952281e+05 ; 5.784923e+05 + i 3.819257e+06 ; 8.842266e+05 + i 5.073542e+05 ; -4.107041e+05 + i -3.554927e+04 ; 1.283172e+06 + i 4.706736e+06 ; -2.017952e+04 + i -2.837660e+06 ; -1.482852e+06 + i -7.583510e+05 ; -1.085936e+08 + i -1.154644e+08 ; 6.799923e+07 + i 1.951795e+08 ; 1.301179e+07 + i -5.011491e+06 ; -4.304048e+07 + i -4.709056e+07 ; -4.054723e+08 + i -3.559185e+08 ; 3.704604e+07 + i 5.393342e+07 ; 2.358840e+07 + i 1.515822e+07 ; 1.727122e+08 + i 2.095323e+08 ; -1.098708e+07 + i -4.403769e+06 ; -9.853535e+04 + i 3.151511e+07 ; -6.778894e+08 + i 2.561252e+09 ; -4.934665e+06 + i -2.608511e+07 ; -3.111483e+07 + i -4.072141e+06 ; 5.917770e+07 + i -6.325361e+07 ; 2.696522e+07 + i -2.363651e+06 ; -1.297805e+07 + i 1.741619e+06 ; 7.336591e+07 + i 1.898899e+08 ; 1.062413e+08 + i 7.677572e+07 ; 1.241482e+07 + i 9.548058e+06 ; 5.303034e+07 + i -7.107145e+07 ; -1.494983e+07 + i -5.526377e+06 ; 9.022927e+06 + i 6.606493e+06 ; 1.731521e+08 + i 2.101479e+08 ; -1.704209e+07 + i -3.238939e+07 ; 
