-5.303562e+09 + i 6.696349e+08 ; -1.889853e+07 + i -7.723496e+04 ; -1.890263e+07 + i -7.678262e+04 ; 1.391228e+09 + i -3.060366e+08 ; 9.493851e+07 + i -1.251578e+07 ; 9.493241e+07 + i -1.251792e+07 ; -6.578935e+08 + i 1.411160e+08 ; -5.077449e+07 + i 6.411744e+06 ; -1.068343e+07 + i 1.002854e+06 ; -2.318475e+08 + i 1.496602e+07 ; 3.389492e+08 + i -8.004031e+07 ; 1.945422e+07 + i -4.943593e+06 ; -6.578898e+08 + i 1.411179e+08 ; -1.068329e+07 + i 1.001084e+06 ; -5.077527e+07 + i 6.410810e+06 ; -2.318454e+08 + i 1.496906e+07 ; 1.948808e+07 + i -4.933273e+06 ; 3.389505e+08 + i -8.003983e+07 ; -8.084270e+07 + i 3.725611e+07 ; -2.386599e+07 + i 4.195933e+06 ; -2.385365e+07 + i 4.199553e+06 ; -5.557320e+07 + i 2.110225e+07 ; 8.068892e+07 + i -2.410968e+07 ; 8.069009e+07 + i -2.410943e+07 ; 1.263613e+08 + i -2.142422e+07 ; -4.677132e+05 + i -4.455263e+05 ; -4.667651e+05 + i -4.454928e+05 ; 6.369007e+07 + i -9.016007e+06 ; -7.994765e+05 + i 4.408032e+04 ; -7.995599e+05 + i 4.410962e+04 ; 3.404869e+07 + i -1.158147e+07 ; 1.152176e+07 + i -4.217262e+06 ; -1.104379e+06 + i -1.650160e+05 ; 2.427679e+07 + i -7.115416e+06 ; 2.381591e+06 + i -9.877848e+05 ; -8.126779e+05 + i 7.870734e+04 ; 3.405142e+07 + i -1.158028e+07 ; -1.101281e+06 + i -1.640879e+05 ; 1.152200e+07 + i -4.217197e+06 ; 2.427762e+07 + i -7.114896e+06 ; -8.119763e+05 + i 7.879653e+04 ; 2.381538e+06 + i -9.878095e+05 ; 7.441668e+06 + i -5.128569e+06 ; 7.437355e+06 + i -2.860883e+06 ; 7.436844e+06 + i -2.861079e+06 ; 9.217163e+06 + i -4.347386e+06 ; 1.806079e+06 + i -7.747308e+05 ; 1.806057e+06 + i -7.747158e+05 ; 
2.675298e+07 + i -4.339857e+06 ; 2.618373e+07 + i -4.127850e+06 ; -8.204180e+07 + i 3.752134e+07 ; 1.186033e+07 + i -1.205067e+06 ; 5.606929e+07 + i -5.956870e+06 ; -6.564792e+08 + i 1.408235e+08 ; 5.680997e+07 + i -6.156390e+06 ; 1.145913e+07 + i -9.354460e+05 ; -6.605180e+08 + i 1.412315e+08 ; 2.142906e+07 + i 1.175276e+05 ; 2.061081e+07 + i 4.588033e+05 ; -5.302907e+09 + i 6.691940e+08 ; -8.596543e+07 + i 2.478511e+07 ; -8.859851e+07 + i 2.507263e+07 ; -5.758846e+07 + i 2.170398e+07 ; -1.480537e+07 + i 4.666534e+06 ; -3.747322e+08 + i 8.051360e+07 ; -2.328316e+08 + i 1.544742e+07 ; -3.716976e+08 + i 8.030808e+07 ; -1.983308e+07 + i 5.357741e+06 ; -2.361549e+08 + i 1.568478e+07 ; -9.782513e+07 + i 1.074964e+07 ; -1.049700e+08 + i 1.160439e+07 ; 1.386442e+09 + i -3.055943e+08 ; -1.434612e+07 + i 2.123266e+06 ; 1.093670e+07 + i -1.373551e+06 ; -6.125379e+07 + i 1.663957e+07 ; -9.637922e+06 + i 1.013699e+06 ; 2.947913e+06 + i -5.837271e+05 ; -1.185678e+07 + i 4.287091e+06 ; -2.205692e+07 + i 2.631730e+06 ; 5.862255e+06 + i -3.789035e+05 ; -1.282710e+08 + i 2.800282e+07 ; -1.308229e+07 + i 8.400339e+05 ; 1.951805e+06 + i -3.225229e+05 ; -1.504192e+07 + i 5.633577e+06 ; 5.216992e+07 + i -1.282840e+07 ; -2.865582e+07 + i 7.061354e+06 ; -4.281491e+07 + i 1.007419e+07 ; 2.868126e+07 + i -6.138497e+06 ; -1.354937e+06 + i 8.381037e+05 ; -1.111453e+07 + i 3.824278e+06 ; 1.086662e+08 + i -2.464948e+07 ; -5.130736e+06 + i 7.344808e+05 ; -7.490663e+07 + i 1.181366e+07 ; 5.194874e+07 + i -9.267441e+06 ; 9.394380e+05 + i 3.196362e+04 ; -1.516995e+07 + i 5.078174e+06 ; 
-6.583120e+08 + i 1.410090e+08 ; -1.086715e+07 + i 9.883829e+05 ; 5.248047e+07 + i -6.579101e+06 ; -2.322191e+08 + i 1.489471e+07 ; 1.943639e+07 + i -5.038642e+06 ; -3.662436e+08 + i 8.088764e+07 ; -8.087489e+07 + i 3.727024e+07 ; -2.435141e+07 + i 4.181515e+06 ; 2.563568e+07 + i -4.137090e+06 ; -5.564218e+07 + i 2.110902e+07 ; 8.230143e+07 + i -2.427189e+07 ; -8.713542e+07 + i 2.471814e+07 ; -5.303760e+09 + i 6.695582e+08 ; -1.900816e+07 + i -1.164808e+05 ; 1.959446e+07 + i 1.527047e+05 ; 1.391102e+09 + i -3.060783e+08 ; 9.611419e+07 + i -1.243772e+07 ; -1.002983e+08 + i 1.240160e+07 ; -6.580174e+08 + i 1.411057e+08 ; -5.117351e+07 + i 6.345595e+06 ; 1.140133e+07 + i -9.204283e+05 ; -2.319999e+08 + i 1.496143e+07 ; 3.456148e+08 + i -8.034482e+07 ; -2.054748e+07 + i 5.076658e+06 ; 3.414955e+07 + i -1.155699e+07 ; -1.163582e+06 + i -1.758910e+05 ; -1.246512e+07 + i 4.352556e+06 ; 2.432484e+07 + i -7.101353e+06 ; -8.400449e+05 + i 7.660663e+04 ; -2.573381e+06 + i 1.025328e+06 ; 7.474305e+06 + i -5.123585e+06 ; 7.569043e+06 + i -2.890619e+06 ; -8.023210e+06 + i 2.964815e+06 ; 9.239027e+06 + i -4.343096e+06 ; 1.836202e+06 + i -7.832183e+05 ; -1.943237e+06 + i 8.066902e+05 ; 1.263652e+08 + i -2.142344e+07 ; -4.714268e+05 + i -4.496067e+05 ; 5.588432e+05 + i 4.911762e+05 ; 6.368866e+07 + i -9.016142e+06 ; -8.143604e+05 + i 4.389355e+04 ; 8.791425e+05 + i -3.362953e+04 ; 3.405840e+07 + i -1.157856e+07 ; 1.176300e+07 + i -4.249865e+06 ; 1.260327e+06 + i 2.040013e+05 ; 2.427749e+07 + i -7.114046e+06 ; 2.432322e+06 + i -9.961021e+05 ; 8.998846e+05 + i -6.931676e+04 ; 
-1.020604e+07 + i 8.486445e+05 ; -6.612537e+08 + i 1.414096e+08 ; 5.240241e+07 + i -6.550052e+06 ; -2.351388e+07 + i 3.973409e+06 ; -8.199694e+07 + i 3.751578e+07 ; 2.546919e+07 + i -4.116034e+06 ; 2.110236e+07 + i -5.219122e+06 ; -2.373715e+08 + i 1.574664e+07 ; -3.667352e+08 + i 8.101968e+07 ; 8.552722e+07 + i -2.469308e+07 ; -5.768825e+07 + i 2.169854e+07 ; -8.758500e+07 + i 2.482582e+07 ; -1.819224e+07 + i -2.572867e+05 ; -5.308507e+09 + i 6.698033e+08 ; 1.951746e+07 + i 1.775611e+05 ; -5.003102e+07 + i 6.119940e+06 ; -6.602348e+08 + i 1.413103e+08 ; 1.122886e+07 + i -9.002969e+05 ; 9.813297e+07 + i -1.259854e+07 ; 1.381678e+09 + i -3.053013e+08 ; -1.004907e+08 + i 1.246680e+07 ; 3.497047e+08 + i -8.077610e+07 ; -2.363099e+08 + i 1.567773e+07 ; -2.079183e+07 + i 5.135334e+06 ; -2.497789e+06 + i -1.592016e+05 ; -1.188627e+07 + i 4.281351e+06 ; 3.831012e+06 + i -6.256919e+05 ; -9.093148e+05 + i -3.151068e+05 ; -5.049883e+06 + i 1.716645e+06 ; 1.180645e+06 + i -2.475049e+05 ; 2.943089e+07 + i -6.286910e+06 ; -1.111878e+07 + i 3.826002e+06 ; -2.740447e+06 + i 9.963401e+05 ; 1.701436e+07 + i -3.152750e+06 ; -4.613938e+06 + i 1.556819e+06 ; -1.426064e+05 + i 1.457302e+05 ; -1.088546e+06 + i -5.287995e+05 ; -1.509126e+07 + i 5.619536e+06 ; 2.517221e+06 + i -3.410170e+05 ; -2.079576e+04 + i -5.094757e+05 ; -6.229313e+06 + i 1.998141e+06 ; 8.908049e+05 + i -1.735185e+05 ; 4.814649e+07 + i -8.757805e+06 ; -1.518106e+07 + i 5.076573e+06 ; 1.230352e+06 + i -1.060003e+05 ; 2.508238e+07 + i -3.720961e+06 ; -5.591913e+06 + i 1.798612e+06 ; 6.631529e+05 + i -1.020389e+05 ; 
-9.649678e+07 + i 1.305137e+07 ; -9.464736e+07 + i 1.296043e+07 ; 1.381993e+09 + i -3.052222e+08 ; -3.496855e+08 + i 8.083669e+07 ; -1.982841e+07 + i 5.032951e+06 ; -2.364716e+08 + i 1.562302e+07 ; -2.129284e+07 + i 5.144388e+06 ; -3.460535e+08 + i 8.053798e+07 ; -2.372717e+08 + i 1.577081e+07 ; -8.546199e+07 + i 2.471926e+07 ; -8.266274e+07 + i 2.440334e+07 ; -5.767312e+07 + i 2.170846e+07 ; 1.799949e+07 + i 1.501982e+05 ; 1.874771e+07 + i 3.596831e+04 ; -5.308481e+09 + i 6.698153e+08 ; 4.825707e+07 + i -6.628717e+06 ; 1.055080e+07 + i -9.998156e+05 ; -6.600715e+08 + i 1.413369e+08 ; 1.004265e+07 + i -8.841122e+05 ; 4.934100e+07 + i -6.818472e+06 ; -6.608700e+08 + i 1.414996e+08 ; 2.330930e+07 + i -3.999035e+06 ; 2.400040e+07 + i -4.180899e+06 ; -8.194551e+07 + i 3.750324e+07 ; -4.823370e+07 + i 8.739857e+06 ; 1.143107e+06 + i -1.195139e+05 ; -1.526348e+07 + i 5.054397e+06 ; -2.513998e+07 + i 3.707337e+06 ; 6.206285e+05 + i -1.049947e+05 ; -5.598365e+06 + i 1.798048e+06 ; -2.944656e+07 + i 6.287085e+06 ; -2.596636e+06 + i 9.660101e+05 ; -1.116518e+07 + i 3.816081e+06 ; -1.703379e+07 + i 3.150663e+06 ; -1.365792e+05 + i 1.384849e+05 ; -4.620663e+06 + i 1.555985e+06 ; 9.240385e+05 + i 4.710564e+05 ; 2.383200e+06 + i -3.475316e+05 ; -1.509864e+07 + i 5.617622e+06 ; -6.434860e+04 + i 4.778085e+05 ; 8.426121e+05 + i -1.731756e+05 ; -6.233459e+06 + i 1.997616e+06 ; 2.425635e+06 + i 1.372494e+05 ; 3.620115e+06 + i -6.316193e+05 ; -1.189275e+07 + i 4.278778e+06 ; 8.671337e+05 + i 3.015588e+05 ; 1.116457e+06 + i -2.460300e+05 ; -5.054324e+06 + i 1.715939e+06 ; 
-2.334807e+08 + i 1.472869e+07 ; -2.045914e+07 + i 5.263812e+06 ; 3.758865e+08 + i -8.080312e+07 ; -6.521522e+08 + i 1.397926e+08 ; 8.729895e+06 + i -7.334013e+05 ; -4.275047e+07 + i 6.646714e+06 ; -5.578598e+07 + i 2.113571e+07 ; -8.467488e+07 + i 2.468406e+07 ; 9.020616e+07 + i -2.500782e+07 ; -7.895752e+07 + i 3.649130e+07 ; 2.132463e+07 + i -3.672432e+06 ; -2.206185e+07 + i 3.590793e+06 ; 1.390954e+09 + i -3.061087e+08 ; -9.863313e+07 + i 1.248026e+07 ; 9.683831e+07 + i -1.305082e+07 ; -5.289459e+09 + i 6.676375e+08 ; 1.680163e+07 + i 4.121321e+05 ; -1.781671e+07 + i -6.601260e+05 ; -2.320675e+08 + i 1.498487e+07 ; -3.527789e+08 + i 8.082122e+07 ; 2.138749e+07 + i -5.221089e+06 ; -6.523545e+08 + i 1.397693e+08 ; 4.802222e+07 + i -5.698829e+06 ; -9.271576e+06 + i 6.248129e+05 ; 4.444231e+07 + i -1.750837e+07 ; 1.298926e+07 + i -2.616181e+06 ; -1.103758e+08 + i 2.417825e+07 ; 3.427002e+07 + i -1.153949e+07 ; 6.029068e+05 + i -6.028963e+05 ; -9.629331e+06 + i 4.029900e+06 ; -1.597914e+06 + i -3.800823e+06 ; 4.783940e+07 + i -1.275597e+07 ; -5.135383e+07 + i 1.281324e+07 ; 7.571726e+06 + i -5.113386e+06 ; 6.877308e+06 + i -2.750628e+06 ; -7.477098e+06 + i 2.815206e+06 ; 2.707117e+08 + i -5.790351e+07 ; 2.940491e+07 + i -4.151498e+06 ; -3.299811e+07 + i 3.717392e+06 ; 1.263391e+08 + i -2.142589e+07 ; 1.174490e+06 + i -1.053406e+06 ; -1.477708e+06 + i 1.096307e+06 ; 4.402043e+07 + i -1.757151e+07 ; 1.027710e+08 + i -2.430654e+07 ; -1.452843e+07 + i 2.501837e+06 ; 3.405767e+07 + i -1.158100e+07 ; 8.832376e+06 + i -3.920536e+06 ; -8.208540e+05 + i 6.197495e+05 ; 
2.690270e+07 + i -4.275697e+06 ; -8.201640e+07 + i 3.752687e+07 ; 2.632824e+07 + i -4.031470e+06 ; 1.190084e+07 + i -1.169349e+06 ; -6.564284e+08 + i 1.408403e+08 ; 5.390605e+07 + i -6.454059e+06 ; -8.682129e+07 + i 2.457858e+07 ; -5.764940e+07 + i 2.170940e+07 ; -8.867101e+07 + i 2.500681e+07 ; -1.522997e+07 + i 4.487820e+06 ; -2.332046e+08 + i 1.536586e+07 ; -3.739872e+08 + i 8.074897e+07 ; 5.566939e+07 + i -6.207680e+06 ; -6.605521e+08 + i 1.412310e+08 ; 1.151015e+07 + i -8.830238e+05 ; 2.106399e+07 + i 4.328283e+04 ; -5.302946e+09 + i 6.691738e+08 ; 1.999772e+07 + i 2.510022e+05 ; -3.714674e+08 + i 8.052818e+07 ; -2.362607e+08 + i 1.569560e+07 ; -2.017437e+07 + i 5.188113e+06 ; -9.603161e+07 + i 1.097989e+07 ; 1.386363e+09 + i -3.056296e+08 ; -1.028194e+08 + i 1.209490e+07 ; -1.446373e+07 + i 2.121580e+06 ; -6.125601e+07 + i 1.663746e+07 ; 1.091649e+07 + i -1.374908e+06 ; -9.711764e+06 + i 1.010030e+06 ; -1.185742e+07 + i 4.287031e+06 ; 2.951464e+06 + i -5.825574e+05 ; 5.212236e+07 + i -1.287305e+07 ; -4.282182e+07 + i 1.006994e+07 ; -2.863716e+07 + i 7.071279e+06 ; 2.866157e+07 + i -6.159762e+06 ; -1.110975e+07 + i 3.825010e+06 ; -1.352969e+06 + i 8.390770e+05 ; -2.230510e+07 + i 2.627024e+06 ; -1.282631e+08 + i 2.800341e+07 ; 5.849161e+06 + i -3.823342e+05 ; -1.320299e+07 + i 8.321903e+05 ; -1.504110e+07 + i 5.633697e+06 ; 1.953932e+06 + i -3.218777e+05 ; 1.088481e+08 + i -2.464273e+07 ; -7.486413e+07 + i 1.181641e+07 ; -5.103063e+06 + i 7.455744e+05 ; 5.201503e+07 + i -9.260813e+06 ; -1.516000e+07 + i 5.079178e+06 ; 9.413893e+05 + i 3.303053e+04 ; 
3.721482e+08 + i -8.037307e+07 ; -2.028581e+07 + i 4.943350e+06 ; -2.377461e+08 + i 1.543931e+07 ; 8.851214e+07 + i -1.205018e+07 ; -9.628514e+07 + i 1.280238e+07 ; 1.386164e+09 + i -3.056703e+08 ; 8.683254e+07 + i -2.462623e+07 ; -8.407427e+07 + i 2.451068e+07 ; -5.779404e+07 + i 2.173399e+07 ; 1.590017e+07 + i -4.322553e+06 ; -3.514372e+08 + i 8.064826e+07 ; -2.332077e+08 + i 1.538575e+07 ; -4.757996e+07 + i 7.423810e+06 ; 1.092841e+07 + i -9.707852e+05 ; -6.599323e+08 + i 1.413623e+08 ; -2.135349e+07 + i -9.655735e+04 ; 1.911237e+07 + i 6.162165e+04 ; -5.302696e+09 + i 6.692696e+08 ; -2.620851e+07 + i 4.295661e+06 ; 2.486940e+07 + i -4.074643e+06 ; -8.188888e+07 + i 3.751187e+07 ; -1.163980e+07 + i 1.228218e+06 ; 5.055366e+07 + i -6.812584e+06 ; -6.560435e+08 + i 1.409215e+08 ; -1.084514e+08 + i 2.467410e+07 ; -4.303595e+06 + i 8.428824e+05 ; -7.446603e+07 + i 1.186906e+07 ; -5.174037e+07 + i 9.288254e+06 ; 9.483487e+05 + i 2.115234e+04 ; -1.511541e+07 + i 5.080874e+06 ; -5.184227e+07 + i 1.288877e+07 ; -2.649952e+07 + i 7.085819e+06 ; -4.268100e+07 + i 1.008237e+07 ; -2.845282e+07 + i 6.177618e+06 ; -1.200861e+06 + i 8.105019e+05 ; -1.108132e+07 + i 3.826372e+06 ; 2.393138e+07 + i -2.381141e+06 ; 5.420415e+06 + i -4.573644e+05 ; -1.283153e+08 + i 2.799054e+07 ; 1.397961e+07 + i -6.814529e+05 ; 1.803384e+06 + i -3.346363e+05 ; -1.506988e+07 + i 5.624744e+06 ; 1.509597e+07 + i -2.049414e+06 ; 1.019980e+07 + i -1.451483e+06 ; -6.127534e+07 + i 1.663160e+07 ; 1.008745e+07 + i -9.597571e+05 ; 2.745614e+06 + i -5.913334e+05 ; -1.188499e+07 + i 4.279330e+06 ; 
-8.089451e+07 + i 3.728395e+07 ; 2.646489e+07 + i -4.000085e+06 ; 2.646697e+07 + i -3.999607e+06 ; -5.563637e+07 + i 2.111291e+07 ; -8.905663e+07 + i 2.475600e+07 ; -8.905257e+07 + i 2.475787e+07 ; -6.583031e+08 + i 1.410243e+08 ; 1.156036e+07 + i -8.864213e+05 ; 5.337532e+07 + i -6.436361e+06 ; -2.321556e+08 + i 1.491253e+07 ; -2.023597e+07 + i 5.069688e+06 ; -3.742534e+08 + i 8.085313e+07 ; -6.582994e+08 + i 1.410261e+08 ; 5.337383e+07 + i -6.436792e+06 ; 1.155612e+07 + i -8.863784e+05 ; -2.321554e+08 + i 1.491499e+07 ; -3.742519e+08 + i 8.085465e+07 ; -2.026305e+07 + i 5.060599e+06 ; -5.303942e+09 + i 6.694905e+08 ; 1.988295e+07 + i 2.255722e+05 ; 1.987492e+07 + i 2.254109e+05 ; 1.390997e+09 + i -3.061089e+08 ; -1.017923e+08 + i 1.225318e+07 ; -1.018022e+08 + i 1.224864e+07 ; 7.492451e+06 + i -5.125021e+06 ; -8.162045e+06 + i 2.989569e+06 ; -8.161983e+06 + i 2.989508e+06 ; 9.255535e+06 + i -4.342090e+06 ; -1.974563e+06 + i 8.140854e+05 ; -1.974467e+06 + i 8.141261e+05 ; 3.415352e+07 + i -1.155703e+07 ; 1.345430e+06 + i 2.151323e+05 ; -1.278129e+07 + i 4.374995e+06 ; 2.432682e+07 + i -7.100898e+06 ; 9.362765e+05 + i -6.637143e+04 ; -2.646388e+06 + i 1.031360e+06 ; 3.415621e+07 + i -1.155584e+07 ; -1.278203e+07 + i 4.374827e+06 ; 1.343053e+06 + i 2.141911e+05 ; 2.432758e+07 + i -7.100405e+06 ; -2.646312e+06 + i 1.031390e+06 ; 9.357356e+05 + i -6.646072e+04 ; 1.263774e+08 + i -2.142053e+07 ; 5.371486e+05 + i 4.940915e+05 ; 5.397102e+05 + i 4.944597e+05 ; 6.369196e+07 + i -9.014770e+06 ; 8.852090e+05 + i -3.334361e+04 ; 8.851950e+05 + i -3.330733e+04 ; 
-2.159092e+07 + i 5.170389e+06 ; -2.385905e+08 + i 1.560103e+07 ; 3.757479e+08 + i -8.069022e+07 ; -8.700818e+07 + i 2.482408e+07 ; -5.788404e+07 + i 2.172014e+07 ; 8.979210e+07 + i -2.487168e+07 ; 1.033228e+07 + i -8.332494e+05 ; -6.608154e+08 + i 1.414976e+08 ; -4.687256e+07 + i 7.097825e+06 ; 2.401012e+07 + i -3.892889e+06 ; -8.190575e+07 + i 3.750793e+07 ; -2.557250e+07 + i 4.058975e+06 ; -9.845074e+07 + i 1.289895e+07 ; 1.381425e+09 + i -3.053492e+08 ; 9.587905e+07 + i -1.294315e+07 ; -3.557280e+08 + i 8.102554e+07 ; -2.366287e+08 + i 1.562792e+07 ; 2.078830e+07 + i -5.111647e+06 ; 1.836124e+07 + i 2.262562e+05 ; -5.308386e+09 + i 6.698457e+08 ; -2.062073e+07 + i -5.043457e+05 ; 4.946659e+07 + i -6.495361e+06 ; -6.600358e+08 + i 1.413500e+08 ; -1.149395e+07 + i 8.722771e+05 ; -2.995988e+07 + i 6.292704e+06 ; -1.116022e+07 + i 3.820938e+06 ; 2.779735e+06 + i -1.010049e+06 ; -1.732405e+07 + i 3.146725e+06 ; -4.618541e+06 + i 1.556922e+06 ; 1.410801e+05 + i -1.486468e+05 ; 2.509301e+06 + i 1.636621e+05 ; -1.188457e+07 + i 4.282261e+06 ; -3.918674e+06 + i 6.171856e+05 ; 9.025762e+05 + i 3.181746e+05 ; -5.051758e+06 + i 1.716580e+06 ; -1.209526e+06 + i 2.459229e+05 ; -4.902588e+07 + i 8.733688e+06 ; -1.526788e+07 + i 5.056657e+06 ; -1.304573e+06 + i 9.181177e+04 ; -2.554475e+07 + i 3.691840e+06 ; -5.598436e+06 + i 1.798536e+06 ; -6.843773e+05 + i 1.006219e+05 ; 9.955141e+05 + i 4.988701e+05 ; -1.509478e+07 + i 5.619605e+06 ; -2.584901e+06 + i 3.320379e+05 ; -3.430282e+04 + i 4.957001e+05 ; -6.230491e+06 + i 1.998294e+06 ; -9.137980e+05 + i 1.719712e+05 ; 
-2.159889e+07 + i 5.170833e+06 ; 3.757484e+08 + i -8.069035e+07 ; -2.385896e+08 + i 1.559977e+07 ; -8.700762e+07 + i 2.482390e+07 ; 8.979286e+07 + i -2.487186e+07 ; -5.788039e+07 + i 2.171866e+07 ; -9.846086e+07 + i 1.289662e+07 ; 9.588306e+07 + i -1.294173e+07 ; 1.381488e+09 + i -3.053272e+08 ; -3.557270e+08 + i 8.102588e+07 ; 2.079049e+07 + i -5.110719e+06 ; -2.365982e+08 + i 1.563201e+07 ; 1.032913e+07 + i -8.322510e+05 ; -4.686368e+07 + i 7.101506e+06 ; -6.607017e+08 + i 1.415340e+08 ; 2.402194e+07 + i -3.889527e+06 ; -2.556801e+07 + i 4.060286e+06 ; -8.188778e+07 + i 3.750750e+07 ; 1.833451e+07 + i 2.211662e+05 ; -2.062088e+07 + i -5.044092e+05 ; -5.308372e+09 + i 6.698555e+08 ; 4.946940e+07 + i -6.494331e+06 ; -1.149351e+07 + i 8.722239e+05 ; -6.600112e+08 + i 1.413490e+08 ; -2.995764e+07 + i 6.292640e+06 ; 2.779579e+06 + i -1.010132e+06 ; -1.115906e+07 + i 3.820888e+06 ; -1.732333e+07 + i 3.146749e+06 ; 1.409876e+05 + i -1.486902e+05 ; -4.618181e+06 + i 1.556874e+06 ; -4.902637e+07 + i 8.733668e+06 ; -1.304152e+06 + i 9.197611e+04 ; -1.526418e+07 + i 5.057356e+06 ; -2.554490e+07 + i 3.691871e+06 ; -6.841915e+05 + i 1.006769e+05 ; -5.597605e+06 + i 1.798574e+06 ; 2.514102e+06 + i 1.643851e+05 ; -3.918401e+06 + i 6.172717e+05 ; -1.188372e+07 + i 4.281777e+06 ; 9.055414e+05 + i 3.188593e+05 ; -1.209551e+06 + i 2.458994e+05 ; -5.052216e+06 + i 1.716370e+06 ; 9.986991e+05 + i 4.990266e+05 ; -2.584806e+06 + i 3.321090e+05 ; -1.509269e+07 + i 5.619746e+06 ; -3.348846e+04 + i 4.957388e+05 ; -9.136645e+05 + i 1.720058e+05 ; -6.230903e+06 + i 1.998099e+06 ; 
-5.591110e+07 + i 2.116113e+07 ; 9.176551e+07 + i -2.512577e+07 ; 9.176065e+07 + i -2.512791e+07 ; -7.886499e+07 + i 3.651459e+07 ; -2.357628e+07 + i 3.295056e+06 ; -2.357859e+07 + i 3.294515e+06 ; -2.334261e+08 + i 1.475977e+07 ; 2.169452e+07 + i -5.112736e+06 ; 3.832617e+08 + i -8.074635e+07 ; -6.521070e+08 + i 1.398059e+08 ; -9.253708e+06 + i 6.655813e+05 ; -4.399382e+07 + i 6.462887e+06 ; -2.334334e+08 + i 1.475995e+07 ; 3.832611e+08 + i -8.074772e+07 ; 2.172593e+07 + i -5.102327e+06 ; -6.520881e+08 + i 1.398117e+08 ; -4.399274e+07 + i 6.462860e+06 ; -9.247788e+06 + i 6.660657e+05 ; 1.390368e+09 + i -3.062478e+08 ; 9.868506e+07 + i -1.286801e+07 ; 9.869637e+07 + i -1.286308e+07 ; -5.289395e+09 + i 6.676553e+08 ; -1.810980e+07 + i -7.288592e+05 ; -1.809936e+07 + i -7.277350e+05 ; -1.492120e+06 + i -3.800311e+06 ; -5.190979e+07 + i 1.293107e+07 ; -5.190784e+07 + i 1.293176e+07 ; 7.643919e+06 + i -5.108919e+06 ; -7.541395e+06 + i 2.844253e+06 ; -7.540522e+06 + i 2.844520e+06 ; 4.440511e+07 + i -1.751754e+07 ; -1.410017e+07 + i 2.618891e+06 ; -1.125201e+08 + i 2.418328e+07 ; 3.425046e+07 + i -1.154481e+07 ; -7.441971e+05 + i 6.342941e+05 ; -9.821165e+06 + i 4.066571e+06 ; 4.441454e+07 + i -1.751622e+07 ; -1.125208e+08 + i 2.418333e+07 ; -1.410827e+07 + i 2.615940e+06 ; 3.425479e+07 + i -1.154414e+07 ; -9.820775e+06 + i 4.066728e+06 ; -7.476522e+05 + i 6.335204e+05 ; 2.707297e+08 + i -5.790163e+07 ; -3.352918e+07 + i 3.681770e+06 ; -3.353081e+07 + i 3.680624e+06 ; 1.263404e+08 + i -2.142604e+07 ; -1.499448e+06 + i 1.112294e+06 ; -1.502821e+06 + i 1.111642e+06 ; 
8.843087e+07 + i -2.467831e+07 ; -5.796793e+07 + i 2.174829e+07 ; 9.109172e+07 + i -2.496379e+07 ; 1.598597e+07 + i -4.271488e+06 ; -2.344421e+08 + i 1.522976e+07 ; 3.819996e+08 + i -8.048865e+07 ; -2.784662e+07 + i 3.978808e+06 ; -8.182526e+07 + i 3.752915e+07 ; -2.730803e+07 + i 3.756281e+06 ; -1.205731e+07 + i 1.160278e+06 ; -6.559544e+08 + i 1.409294e+08 ; -4.855164e+07 + i 7.011643e+06 ; 3.789434e+08 + i -8.028562e+07 ; -2.377950e+08 + i 1.546113e+07 ; 2.107804e+07 + i -4.961493e+06 ; 9.059014e+07 + i -1.184634e+07 ; 1.385651e+09 + i -3.057843e+08 ; 9.781291e+07 + i -1.269803e+07 ; -4.924498e+07 + i 7.228074e+06 ; -6.598928e+08 + i 1.413798e+08 ; -1.171569e+07 + i 8.734921e+05 ; -2.165830e+07 + i -1.486434e+05 ; -5.302616e+09 + i 6.692919e+08 ; -2.093030e+07 + i -5.182006e+05 ; -5.298097e+07 + i 1.288183e+07 ; -4.274394e+07 + i 1.007992e+07 ; 2.913909e+07 + i -7.098112e+06 ; -2.908070e+07 + i 6.152749e+06 ; -1.107548e+07 + i 3.829600e+06 ; 1.369776e+06 + i -8.504531e+05 ; 1.509560e+07 + i -2.087657e+06 ; -6.128017e+07 + i 1.663083e+07 ; -1.105560e+07 + i 1.350906e+06 ; 1.013619e+07 + i -9.701515e+05 ; -1.187846e+07 + i 4.281523e+06 ; -3.012439e+06 + i 5.792182e+05 ; -1.104975e+08 + i 2.466469e+07 ; -7.448227e+07 + i 1.186449e+07 ; 5.052319e+06 + i -7.563851e+05 ; -5.272031e+07 + i 9.238344e+06 ; -1.511324e+07 + i 5.081532e+06 ; -9.727178e+05 + i -3.846094e+04 ; 2.412954e+07 + i -2.369564e+06 ; -1.282898e+08 + i 2.799527e+07 ; -5.953402e+06 + i 3.624200e+05 ; 1.410947e+07 + i -6.637032e+05 ; -1.505866e+07 + i 5.627031e+06 ; -1.995599e+06 + i 3.183537e+05 ; 
