-7.123160e+09 + i 5.276290e+08 ; -1.950587e+07 + i -1.148218e+06 ; -1.951033e+07 + i -1.148475e+06 ; 2.134820e+09 + i -2.680441e+08 ; 1.247827e+08 + i -6.863323e+06 ; 1.247793e+08 + i -6.864652e+06 ; -1.004112e+09 + i 1.249837e+08 ; -6.631058e+07 + i 3.519094e+06 ; -1.281270e+07 + i 7.930775e+04 ; -2.695906e+08 + i -1.332094e+06 ; 5.324772e+08 + i -7.159422e+07 ; 3.038728e+07 + i -3.641650e+06 ; -1.004111e+09 + i 1.249846e+08 ; -1.281118e+07 + i 7.905849e+04 ; -6.631046e+07 + i 3.518814e+06 ; -2.695919e+08 + i -1.330990e+06 ; 3.040769e+07 + i -3.634595e+06 ; 5.324780e+08 + i -7.159393e+07 ; -1.681459e+08 + i 3.838339e+07 ; -3.339845e+07 + i 2.647354e+06 ; -3.339059e+07 + i 2.649709e+06 ; -1.004716e+08 + i 1.663555e+07 ; 1.387325e+08 + i -2.338700e+07 ; 1.387331e+08 + i -2.338671e+07 ; 1.789887e+08 + i -1.649919e+07 ; 4.600707e+05 + i -4.802354e+05 ; 4.610399e+05 + i -4.801750e+05 ; 8.640085e+07 + i -6.435108e+06 ; -8.707313e+05 + i -4.410408e+04 ; -8.708340e+05 + i -4.410896e+04 ; 6.087183e+07 + i -1.075156e+07 ; 2.172948e+07 + i -4.384158e+06 ; -7.421879e+05 + i -2.741448e+05 ; 4.049223e+07 + i -6.066885e+06 ; 4.875894e+06 + i -1.149116e+06 ; -9.627747e+05 + i -6.862900e+03 ; 6.087314e+07 + i -1.075091e+07 ; -7.404593e+05 + i -2.734233e+05 ; 2.172965e+07 + i -4.384114e+06 ; 4.049252e+07 + i -6.066668e+06 ; -9.622612e+05 + i -6.727483e+03 ; 4.875871e+06 + i -1.149128e+06 ; 1.997936e+07 + i -5.979552e+06 ; 1.445378e+07 + i -3.088966e+06 ; 1.445351e+07 + i -3.089076e+06 ; 1.947751e+07 + i -4.463346e+06 ; 3.779253e+06 + i -9.236750e+05 ; 3.779211e+06 + i -9.236694e+05 ; 
1.477743e+08 + i -2.335968e+07 ; 1.511286e+08 + i -2.348309e+07 ; -1.041808e+08 + i 1.704478e+07 ; 2.539517e+07 + i -3.186145e+06 ; 5.787304e+08 + i -6.998820e+07 ; -2.728949e+08 + i -1.176704e+06 ; 5.751108e+08 + i -6.995045e+07 ; 3.214037e+07 + i -3.585377e+06 ; -2.768413e+08 + i -1.139008e+06 ; 1.187629e+08 + i -6.379471e+06 ; 1.280824e+08 + i -6.831356e+06 ; 2.128336e+09 + i -2.679513e+08 ; -3.735460e+07 + i 2.403094e+06 ; -3.635709e+07 + i 2.240563e+06 ; -1.696405e+08 + i 3.853302e+07 ; -1.459821e+07 + i 1.845261e+05 ; -6.494795e+07 + i 4.015553e+06 ; -1.001602e+09 + i 1.248942e+08 ; -6.607647e+07 + i 4.152576e+06 ; -1.366220e+07 + i -6.613142e+04 ; -1.006657e+09 + i 1.250737e+08 ; -2.248115e+07 + i -1.178209e+06 ; -2.100167e+07 + i -1.474693e+06 ; -7.121498e+09 + i 5.273772e+08 ; -8.426055e+07 + i 1.179444e+07 ; 4.644954e+07 + i -6.570729e+06 ; -6.621582e+07 + i 8.207893e+06 ; -4.382308e+07 + i 5.093270e+06 ; 3.445156e+06 + i -9.927591e+05 ; -2.022886e+07 + i 3.791929e+06 ; -1.703911e+08 + i 2.173027e+07 ; 6.890005e+06 + i -5.012311e+05 ; -1.031967e+08 + i 8.318358e+06 ; -7.513143e+07 + i 7.044237e+06 ; -9.272048e+05 + i -9.802402e+04 ; -2.691857e+07 + i 4.720429e+06 ; 2.000174e+07 + i -1.159211e+06 ; -1.436765e+07 + i 7.403495e+05 ; -1.011719e+08 + i 1.549340e+07 ; 1.245966e+07 + i -2.974510e+05 ; -4.318481e+06 + i 3.832285e+05 ; -2.229232e+07 + i 4.466259e+06 ; 3.021378e+07 + i -1.096197e+06 ; -6.954585e+06 + i 2.026629e+04 ; -1.966528e+08 + i 2.471328e+07 ; 1.616593e+07 + i 6.878690e+04 ; -2.688869e+06 + i 1.607225e+05 ; -2.843539e+07 + i 5.673773e+06 ; 
1.789974e+08 + i -1.649215e+07 ; -3.239474e+06 + i 9.680977e+05 ; -3.238273e+06 + i 9.682385e+05 ; 4.122647e+08 + i -5.063598e+07 ; -3.793568e+07 + i 2.486958e+06 ; -3.793535e+07 + i 2.487264e+06 ; 6.088124e+07 + i -1.074988e+07 ; -1.775949e+07 + i 4.178384e+06 ; -1.893842e+06 + i 6.160743e+05 ; 8.572899e+07 + i -1.794083e+07 ; -1.572567e+08 + i 2.182030e+07 ; -1.841472e+07 + i 1.767263e+06 ; 6.088218e+07 + i -1.074983e+07 ; -1.894804e+06 + i 6.158937e+05 ; -1.775986e+07 + i 4.178365e+06 ; 8.572974e+07 + i -1.794080e+07 ; -1.841928e+07 + i 1.765574e+06 ; -1.572574e+08 + i 2.182005e+07 ; 1.998293e+07 + i -5.980907e+06 ; -1.327151e+07 + i 2.979605e+06 ; -1.327431e+07 + i 2.978772e+06 ; 8.131454e+06 + i -5.677624e+06 ; -7.653208e+07 + i 1.185490e+07 ; -7.653295e+07 + i 1.185458e+07 ; -7.104240e+09 + i 5.264503e+08 ; -1.668194e+07 + i -1.268880e+06 ; -1.668668e+07 + i -1.269170e+06 ; 2.134896e+09 + i -2.680402e+08 ; 1.267832e+08 + i -6.937376e+06 ; 1.267796e+08 + i -6.938737e+06 ; -9.955098e+08 + i 1.240076e+08 ; -6.183409e+07 + i 3.151643e+06 ; -1.007788e+07 + i -2.705859e+04 ; -2.697862e+08 + i -1.333308e+06 ; 5.347896e+08 + i -7.175570e+07 ; 3.149979e+07 + i -3.769489e+06 ; -9.955054e+08 + i 1.240089e+08 ; -1.007626e+07 + i -2.730245e+04 ; -6.183383e+07 + i 3.151395e+06 ; -2.697866e+08 + i -1.332184e+06 ; 3.152030e+07 + i -3.762352e+06 ; 5.347903e+08 + i -7.175541e+07 ; -1.646125e+08 + i 3.768496e+07 ; -2.898272e+07 + i 2.347067e+06 ; -2.897451e+07 + i 2.349541e+06 ; -1.005475e+08 + i 1.664123e+07 ; 1.403700e+08 + i -2.358235e+07 ; 1.403708e+08 + i -2.358199e+07 ; 
1.447460e+07 + i -2.197332e+05 ; -2.841092e+07 + i 5.684573e+06 ; -2.453840e+06 + i 1.875790e+05 ; 2.684556e+07 + i -1.556403e+06 ; -1.967013e+08 + i 2.470824e+07 ; -6.390016e+06 + i 1.131520e+05 ; -6.952784e+07 + i 7.382152e+06 ; -2.699028e+07 + i 4.711913e+06 ; -9.315921e+05 + i -8.646867e+04 ; -1.574908e+08 + i 2.207930e+07 ; -1.036203e+08 + i 8.255569e+06 ; 6.005029e+06 + i -6.015675e+05 ; 1.130466e+07 + i -4.518619e+05 ; -2.227029e+07 + i 4.473533e+06 ; -3.955701e+06 + i 4.125425e+05 ; 1.813933e+07 + i -1.351538e+06 ; -1.011703e+08 + i 1.549807e+07 ; -1.329090e+07 + i 8.643670e+05 ; -4.048742e+07 + i 5.229845e+06 ; -2.026969e+07 + i 3.786119e+06 ; 3.105338e+06 + i -9.631583e+05 ; -7.773908e+07 + i 1.191278e+07 ; -6.630497e+07 + i 8.198130e+06 ; 4.247727e+07 + i -6.670618e+06 ; -2.057488e+07 + i -8.413085e+05 ; -7.121497e+09 + i 5.273752e+08 ; -1.946627e+07 + i -1.130962e+06 ; -6.651072e+07 + i 3.665741e+06 ; -1.006748e+09 + i 1.250394e+08 ; -1.278504e+07 + i 6.734091e+04 ; 1.153307e+08 + i -6.326548e+06 ; 2.128850e+09 + i -2.678369e+08 ; 1.247261e+08 + i -6.882754e+06 ; 5.302841e+08 + i -7.153349e+07 ; -2.753810e+08 + i -9.252168e+05 ; 3.073425e+07 + i -3.658552e+06 ; -1.362075e+07 + i 3.002434e+05 ; -1.001744e+09 + i 1.248690e+08 ; -6.634451e+07 + i 3.555390e+06 ; -3.428353e+07 + i 2.778798e+06 ; -1.697544e+08 + i 3.850868e+07 ; -3.336255e+07 + i 2.636148e+06 ; 2.412199e+07 + i -3.199122e+06 ; -2.716146e+08 + i -9.762080e+05 ; 5.327907e+08 + i -7.161213e+07 ; 1.364157e+08 + i -2.331557e+07 ; -1.037614e+08 + i 1.705479e+07 ; 1.394788e+08 + i -2.345296e+07 ; 
1.447757e+07 + i -2.193588e+05 ; -2.453932e+06 + i 1.875645e+05 ; -2.840680e+07 + i 5.685358e+06 ; 2.684606e+07 + i -1.556236e+06 ; -6.389984e+06 + i 1.131614e+05 ; -1.966946e+08 + i 2.470928e+07 ; 1.130584e+07 + i -4.518418e+05 ; -3.955655e+06 + i 4.125565e+05 ; -2.226786e+07 + i 4.474063e+06 ; 1.813780e+07 + i -1.351893e+06 ; -1.329116e+07 + i 8.642133e+05 ; -1.011681e+08 + i 1.549840e+07 ; -6.952769e+07 + i 7.382078e+06 ; -9.318522e+05 + i -8.655833e+04 ; -2.699148e+07 + i 4.711631e+06 ; -1.574912e+08 + i 2.207916e+07 ; 6.004291e+06 + i -6.018759e+05 ; -1.036243e+08 + i 8.254019e+06 ; -4.048125e+07 + i 5.231091e+06 ; 3.105658e+06 + i -9.630301e+05 ; -2.027089e+07 + i 3.785786e+06 ; -7.773772e+07 + i 1.191318e+07 ; 4.247771e+07 + i -6.670513e+06 ; -6.630148e+07 + i 8.198807e+06 ; -2.058468e+07 + i -8.424323e+05 ; -1.946650e+07 + i -1.130964e+06 ; -7.121510e+09 + i 5.273701e+08 ; -6.651084e+07 + i 3.665627e+06 ; -1.278564e+07 + i 6.726747e+04 ; -1.006765e+09 + i 1.250387e+08 ; -1.362529e+07 + i 3.002158e+05 ; -6.634823e+07 + i 3.553674e+06 ; -1.001804e+09 + i 1.248451e+08 ; -3.427741e+07 + i 2.780803e+06 ; -3.336468e+07 + i 2.635351e+06 ; -1.697666e+08 + i 3.850818e+07 ; 1.153300e+08 + i -6.326399e+06 ; 1.247238e+08 + i -6.883816e+06 ; 2.128818e+09 + i -2.678486e+08 ; 5.302850e+08 + i -7.153310e+07 ; 3.073199e+07 + i -3.659411e+06 ; -2.753952e+08 + i -9.294582e+05 ; 2.410145e+07 + i -3.203281e+06 ; 5.327903e+08 + i -7.161232e+07 ; -2.716161e+08 + i -9.773668e+05 ; 1.364101e+08 + i -2.331703e+07 ; 1.394772e+08 + i -2.345337e+07 ; -1.037718e+08 + i 1.705465e+07 ; 
8.639824e+07 + i -6.433731e+06 ; 8.904849e+05 + i 4.657255e+04 ; 8.901099e+05 + i 4.650746e+04 ; 1.790405e+08 + i -1.648693e+07 ; -4.397229e+05 + i 4.896607e+05 ; -4.406896e+05 + i 4.896746e+05 ; 4.049771e+07 + i -6.066237e+06 ; -4.942352e+06 + i 1.154340e+06 ; 9.810824e+05 + i 8.819936e+03 ; 6.090899e+07 + i -1.074713e+07 ; -2.202341e+07 + i 4.399009e+06 ; 7.686545e+05 + i 2.815102e+05 ; 4.049837e+07 + i -6.066058e+06 ; 9.810527e+05 + i 8.778705e+03 ; -4.942252e+06 + i 1.154370e+06 ; 6.090951e+07 + i -1.074672e+07 ; 7.672633e+05 + i 2.808945e+05 ; -2.202337e+07 + i 4.398959e+06 ; 1.948290e+07 + i -4.463954e+06 ; -3.830716e+06 + i 9.281992e+05 ; -3.831034e+06 + i 9.281029e+05 ; 1.999633e+07 + i -5.979889e+06 ; -1.464941e+07 + i 3.101163e+06 ; -1.464962e+07 + i 3.101007e+06 ; 2.135059e+09 + i -2.679882e+08 ; -1.264226e+08 + i 6.686170e+06 ; -1.264179e+08 + i 6.688064e+06 ; -7.123236e+09 + i 5.276013e+08 ; 1.967390e+07 + i 1.186689e+06 ; 1.967858e+07 + i 1.187127e+06 ; -2.694793e+08 + i -1.315371e+06 ; -5.397804e+08 + i 7.143912e+07 ; -3.080701e+07 + i 3.623328e+06 ; -1.004188e+09 + i 1.249685e+08 ; 6.713778e+07 + i -3.425251e+06 ; 1.294482e+07 + i -5.962939e+04 ; -2.694857e+08 + i -1.315472e+06 ; -3.082205e+07 + i 3.617442e+06 ; -5.397809e+08 + i 7.143889e+07 ; -1.004177e+09 + i 1.249719e+08 ; 1.294258e+07 + i -5.970193e+04 ; 6.713733e+07 + i -3.425215e+06 ; -1.004415e+08 + i 1.663811e+07 ; -1.406422e+08 + i 2.341043e+07 ; -1.406439e+08 + i 2.340980e+07 ; -1.681694e+08 + i 3.838068e+07 ; 3.384623e+07 + i -2.612322e+06 ; 3.384458e+07 + i -2.613110e+06 ; 
-9.432145e+05 + i 4.559076e+05 ; -1.115775e+07 + i 2.073862e+06 ; -1.227375e+06 + i 1.120284e+05 ; 1.881141e+05 + i 5.572378e+05 ; -2.846630e+07 + i 5.665545e+06 ; -3.174426e+06 + i 1.756188e+05 ; -3.562579e+07 + i 2.414550e+06 ; -9.992179e+06 + i 1.844241e+06 ; -8.557817e+05 + i 5.867456e+04 ; -7.229334e+07 + i 6.594097e+06 ; -2.696430e+07 + i 4.716026e+06 ; -1.398436e+06 + i 2.472884e+04 ; 3.550218e+05 + i 3.679598e+05 ; -9.286330e+06 + i 1.819163e+06 ; -1.669598e+06 + i 1.767252e+05 ; 2.399488e+06 + i 3.364255e+05 ; -2.230280e+07 + i 4.464158e+06 ; -5.063663e+06 + i 4.050908e+05 ; -2.548573e+07 + i 2.249304e+06 ; -8.428220e+06 + i 1.628899e+06 ; 5.077319e+05 + i -1.971208e+05 ; -4.626184e+07 + i 5.041352e+06 ; -2.025387e+07 + i 3.788549e+06 ; 5.006150e+06 + i -1.060179e+06 ; 6.871470e+07 + i -2.954014e+06 ; -1.007088e+09 + i 1.249680e+08 ; -1.278322e+07 + i 4.055210e+04 ; 1.943794e+07 + i 1.455787e+06 ; -7.128754e+09 + i 5.276100e+08 ; -1.964090e+07 + i -1.223993e+06 ; -5.688786e+08 + i 7.083693e+07 ; -2.755001e+08 + i -9.249569e+05 ; 3.108091e+07 + i -3.675707e+06 ; -1.347774e+08 + i 6.092155e+06 ; 2.123311e+09 + i -2.677590e+08 ; 1.267791e+08 + i -6.737566e+06 ; 3.402940e+07 + i -2.353285e+06 ; -1.698003e+08 + i 3.850754e+07 ; -3.363191e+07 + i 2.603690e+06 ; 1.253543e+07 + i 1.073518e+05 ; -1.007936e+09 + i 1.251529e+08 ; -6.705982e+07 + i 3.402910e+06 ; -1.512702e+08 + i 2.361130e+07 ; -1.037898e+08 + i 1.705225e+07 ; 1.413072e+08 + i -2.348373e+07 ; -3.441742e+07 + i 3.610705e+06 ; -2.766386e+08 + i -8.504319e+05 ; 5.405412e+08 + i -7.153156e+07 ; 
-9.421842e+05 + i 4.560941e+05 ; -1.227443e+06 + i 1.120143e+05 ; -1.115914e+07 + i 2.073668e+06 ; 1.869635e+05 + i 5.571461e+05 ; -3.174470e+06 + i 1.756079e+05 ; -2.846959e+07 + i 5.665234e+06 ; 3.551751e+05 + i 3.678935e+05 ; -1.669603e+06 + i 1.767287e+05 ; -9.288497e+06 + i 1.818631e+06 ; 2.397081e+06 + i 3.358540e+05 ; -5.063781e+06 + i 4.050574e+05 ; -2.230829e+07 + i 4.462923e+06 ; -3.562580e+07 + i 2.414527e+06 ; -8.559194e+05 + i 5.862604e+04 ; -9.993401e+06 + i 1.844007e+06 ; -7.229410e+07 + i 6.593922e+06 ; -1.398862e+06 + i 2.456200e+04 ; -2.696678e+07 + i 4.715409e+06 ; -2.548316e+07 + i 2.250016e+06 ; 5.078121e+05 + i -1.970880e+05 ; -8.429973e+06 + i 1.628484e+06 ; -4.626237e+07 + i 5.041493e+06 ; 5.006177e+06 + i -1.060168e+06 ; -2.025605e+07 + i 3.787856e+06 ; 6.871635e+07 + i -2.953568e+06 ; -1.278365e+07 + i 4.052554e+04 ; -1.007102e+09 + i 1.249685e+08 ; 1.944298e+07 + i 1.456275e+06 ; -1.964120e+07 + i -1.223986e+06 ; -7.128763e+09 + i 5.276068e+08 ; 3.402602e+07 + i -2.354333e+06 ; -3.363404e+07 + i 2.602871e+06 ; -1.698108e+08 + i 3.850782e+07 ; 1.253544e+07 + i 1.066191e+05 ; -6.706358e+07 + i 3.401201e+06 ; -1.008019e+09 + i 1.251234e+08 ; -5.688786e+08 + i 7.083681e+07 ; 3.107909e+07 + i -3.676399e+06 ; -2.755149e+08 + i -9.299045e+05 ; -1.347774e+08 + i 6.091928e+06 ; 1.267761e+08 + i -6.738896e+06 ; 2.123281e+09 + i -2.677703e+08 ; -1.512642e+08 + i 2.361312e+07 ; 1.413065e+08 + i -2.348377e+07 ; -1.037745e+08 + i 1.705918e+07 ; -3.440873e+07 + i 3.612589e+06 ; 5.405404e+08 + i -7.153196e+07 ; -2.766434e+08 + i -8.525110e+05 ; 
6.082803e+07 + i -1.076280e+07 ; 1.881479e+07 + i -4.241062e+06 ; -1.922553e+06 + i 6.209835e+05 ; 8.576233e+07 + i -1.791961e+07 ; 1.663664e+08 + i -2.156587e+07 ; -1.868212e+07 + i 1.753655e+06 ; 1.789994e+08 + i -1.649406e+07 ; 3.507344e+06 + i -9.602077e+05 ; -3.296972e+06 + i 9.733919e+05 ; 4.122775e+08 + i -5.062704e+07 ; 4.024957e+07 + i -2.196834e+06 ; -3.850136e+07 + i 2.438016e+06 ; 1.995824e+07 + i -5.985699e+06 ; 1.405702e+07 + i -3.019486e+06 ; -1.347249e+07 + i 2.991685e+06 ; 8.134846e+06 + i -5.672559e+06 ; 8.097907e+07 + i -1.179909e+07 ; -7.764527e+07 + i 1.185609e+07 ; 6.088579e+07 + i -1.074937e+07 ; 2.046105e+06 + i -6.181739e+05 ; -1.802236e+07 + i 4.198809e+06 ; 8.573063e+07 + i -1.793722e+07 ; 1.952847e+07 + i -1.664787e+06 ; -1.595230e+08 + i 2.178972e+07 ; -9.956891e+08 + i 1.239509e+08 ; 6.457354e+07 + i -3.165698e+06 ; -1.020230e+07 + i -4.633760e+04 ; -2.698625e+08 + i -1.390772e+06 ; -5.652671e+08 + i 7.096764e+07 ; 3.181193e+07 + i -3.776675e+06 ; -7.104361e+09 + i 5.264061e+08 ; 1.725398e+07 + i 1.348883e+06 ; -1.688682e+07 + i -1.316303e+06 ; 2.134780e+09 + i -2.680735e+08 ; -1.332156e+08 + i 6.565527e+06 ; 1.284812e+08 + i -6.777004e+06 ; -1.646562e+08 + i 3.767660e+07 ; 3.057688e+07 + i -2.234645e+06 ; -2.929912e+07 + i 2.331408e+06 ; -1.005782e+08 + i 1.662563e+07 ; -1.484341e+08 + i 2.362815e+07 ; 1.423828e+08 + i -2.361465e+07 ; -9.955076e+08 + i 1.240115e+08 ; 1.055670e+07 + i 9.608679e+04 ; -6.261970e+07 + i 3.073699e+06 ; -2.697621e+08 + i -1.326720e+06 ; -3.325240e+07 + i 3.709837e+06 ; 5.424244e+08 + i -7.162772e+07 ; 
7.041782e+07 + i -7.347539e+06 ; -2.692122e+07 + i 4.735250e+06 ; 9.407442e+05 + i 8.911022e+04 ; 1.594883e+08 + i -2.207742e+07 ; -1.035255e+08 + i 8.290753e+06 ; -6.100719e+06 + i 5.954697e+05 ; -1.469394e+07 + i 1.684593e+05 ; -2.844697e+07 + i 5.671012e+06 ; 2.486120e+06 + i -1.852391e+05 ; -2.735418e+07 + i 1.435452e+06 ; -1.967419e+08 + i 2.469030e+07 ; 6.468844e+06 + i -1.032105e+05 ; 4.100793e+07 + i -5.221479e+06 ; -2.022983e+07 + i 3.798545e+06 ; -3.152432e+06 + i 9.700080e+05 ; 7.872715e+07 + i -1.192540e+07 ; -6.626660e+07 + i 8.212657e+06 ; -4.309091e+07 + i 6.673849e+06 ; -1.146779e+07 + i 4.230932e+05 ; -2.229191e+07 + i 4.465772e+06 ; 4.012717e+06 + i -4.096596e+05 ; -1.844882e+07 + i 1.295994e+06 ; -1.011889e+08 + i 1.548947e+07 ; 1.348148e+07 + i -8.474670e+05 ; -1.162761e+08 + i 6.555229e+06 ; 2.129150e+09 + i -2.677800e+08 ; -1.265861e+08 + i 6.697399e+06 ; -5.375529e+08 + i 7.141474e+07 ; -2.754164e+08 + i -9.728601e+05 ; -3.117241e+07 + i 3.643907e+06 ; 2.095526e+07 + i 8.377753e+05 ; -7.121602e+09 + i 5.273421e+08 ; 1.969372e+07 + i 1.177117e+06 ; 6.678875e+07 + i -3.969860e+06 ; -1.006795e+09 + i 1.250479e+08 ; 1.292916e+07 + i -4.832131e+04 ; -2.442987e+07 + i 3.211820e+06 ; -2.715304e+08 + i -9.522294e+05 ; -5.404667e+08 + i 7.147710e+07 ; -1.382526e+08 + i 2.335317e+07 ; -1.037700e+08 + i 1.704887e+07 ; -1.414376e+08 + i 2.349284e+07 ; 1.375570e+07 + i -3.001890e+05 ; -1.001776e+09 + i 1.248578e+08 ; 6.731597e+07 + i -3.457914e+06 ; 3.469145e+07 + i -2.771429e+06 ; -1.697724e+08 + i 3.850293e+07 ; 3.384787e+07 + i -2.600594e+06 ; 
1.144332e+07 + i -4.358956e+05 ; 4.184494e+06 + i -3.979470e+05 ; -2.226200e+07 + i 4.475495e+06 ; 1.834093e+07 + i -1.335221e+06 ; 1.405431e+07 + i -7.866215e+05 ; -1.011751e+08 + i 1.549750e+07 ; 1.465426e+07 + i -1.939263e+05 ; 2.594227e+06 + i -1.732963e+05 ; -2.840827e+07 + i 5.685014e+06 ; 2.717018e+07 + i -1.523593e+06 ; 6.744316e+06 + i -5.876182e+04 ; -1.967011e+08 + i 2.470710e+07 ; -4.101238e+07 + i 5.217857e+06 ; -3.299033e+06 + i 9.824975e+05 ; -2.026872e+07 + i 3.786166e+06 ; -7.880465e+07 + i 1.189738e+07 ; -4.495037e+07 + i 6.641039e+06 ; -6.629407e+07 + i 8.200513e+06 ; -7.045760e+07 + i 7.335453e+06 ; 9.587130e+05 + i 8.822502e+04 ; -2.698809e+07 + i 4.712267e+06 ; -1.595980e+08 + i 2.204316e+07 ; -6.394109e+06 + i 5.567777e+05 ; -1.036160e+08 + i 8.255793e+06 ; -1.388026e+07 + i 2.772551e+05 ; 7.007566e+07 + i -3.139550e+06 ; -1.002062e+09 + i 1.247885e+08 ; -3.486521e+07 + i 2.743528e+06 ; 3.526905e+07 + i -2.477412e+06 ; -1.698179e+08 + i 3.850343e+07 ; -2.088546e+07 + i -8.977582e+05 ; 2.047105e+07 + i 1.356267e+06 ; -7.121604e+09 + i 5.273418e+08 ; -6.749147e+07 + i 3.571574e+06 ; 1.345476e+07 + i 2.982762e+04 ; -1.006813e+09 + i 1.250313e+08 ; 2.436448e+07 + i -3.285247e+06 ; -5.634284e+08 + i 7.070398e+07 ; -2.715837e+08 + i -9.686596e+05 ; 1.382490e+08 + i -2.338092e+07 ; -1.474557e+08 + i 2.353174e+07 ; -1.037644e+08 + i 1.705649e+07 ; 1.169732e+08 + i -6.155665e+06 ; -1.317988e+08 + i 6.099071e+06 ; 2.128835e+09 + i -2.678416e+08 ; 5.373993e+08 + i -7.137079e+07 ; -3.236301e+07 + i 3.654518e+06 ; -2.753988e+08 + i -9.276915e+05 ; 
4.046004e+07 + i -6.073832e+06 ; 5.108566e+06 + i -1.190255e+06 ; 9.944920e+05 + i 1.087198e+04 ; 6.086048e+07 + i -1.074745e+07 ; 2.309705e+07 + i -4.463711e+06 ; 7.839819e+05 + i 2.876458e+05 ; 8.640116e+07 + i -6.433355e+06 ; -1.166932e+06 + i -1.075164e+05 ; 8.992700e+05 + i 4.848860e+04 ; 1.790324e+08 + i -1.648484e+07 ; -1.441790e+04 + i -6.093875e+05 ; -4.515716e+05 + i 4.947017e+05 ; 1.945468e+07 + i -4.468942e+06 ; 3.970503e+06 + i -9.548926e+05 ; -3.882574e+06 + i 9.325877e+05 ; 1.994577e+07 + i -5.985777e+06 ; 1.537044e+07 + i -3.152906e+06 ; -1.484469e+07 + i 3.112528e+06 ; 4.049915e+07 + i -6.065552e+06 ; -1.176675e+06 + i -4.435305e+04 ; -5.007927e+06 + i 1.159732e+06 ; 6.089878e+07 + i -1.074657e+07 ; -1.062515e+06 + i -3.477100e+05 ; -2.231355e+07 + i 4.413468e+06 ; -2.707040e+08 + i -1.538320e+06 ; 5.710471e+08 + i -7.029417e+07 ; -3.115501e+07 + i 3.623706e+06 ; -1.004086e+09 + i 1.249851e+08 ; -6.406235e+07 + i 4.165054e+06 ; 1.312152e+07 + i -3.476401e+04 ; 2.134645e+09 + i -2.680992e+08 ; 1.267095e+08 + i -7.050929e+06 ; -1.280584e+08 + i 6.535761e+06 ; -7.123211e+09 + i 5.276101e+08 ; -2.079840e+07 + i -1.447885e+06 ; 1.993408e+07 + i 1.240367e+06 ; -1.006416e+08 + i 1.662371e+07 ; 1.486495e+08 + i -2.341118e+07 ; -1.424912e+08 + i 2.344217e+07 ; -1.682315e+08 + i 3.836350e+07 ; -3.527734e+07 + i 2.463926e+06 ; 3.428830e+07 + i -2.582468e+06 ; -2.694721e+08 + i -1.304369e+06 ; 3.206328e+07 + i -3.562839e+06 ; -5.468084e+08 + i 7.133325e+07 ; -1.004161e+09 + i 1.249770e+08 ; -1.350629e+07 + i -3.724515e+04 ; 6.801206e+07 + i -3.342226e+06 ; 
3.625095e+07 + i -2.340289e+06 ; -1.005736e+07 + i 1.827194e+06 ; 8.670950e+05 + i -5.771340e+04 ; 7.352598e+07 + i -6.478287e+06 ; -2.710798e+07 + i 4.682918e+06 ; 1.416670e+06 + i -2.237257e+04 ; 1.196723e+06 + i -4.073235e+05 ; -1.115035e+07 + i 2.078352e+06 ; 1.243247e+06 + i -1.110505e+05 ; 2.912021e+05 + i -4.722733e+05 ; -2.843812e+07 + i 5.676190e+06 ; 3.213393e+06 + i -1.720843e+05 ; 2.593168e+07 + i -2.205613e+06 ; -8.467765e+06 + i 1.620300e+06 ; -5.140775e+05 + i 1.988063e+05 ; 4.705385e+07 + i -4.979208e+06 ; -2.032323e+07 + i 3.775739e+06 ; -5.070782e+06 + i 1.064640e+06 ; -2.033887e+05 + i -3.450449e+05 ; -9.278040e+06 + i 1.822479e+06 ; 1.691877e+06 + i -1.756800e+05 ; -2.156101e+06 + i -3.013239e+05 ; -2.228018e+07 + i 4.470575e+06 ; 5.130797e+06 + i -4.002495e+05 ; 5.769439e+08 + i -7.040041e+07 ; -2.767376e+08 + i -1.151021e+06 ; -3.149938e+07 + i 3.661598e+06 ; 1.298754e+08 + i -7.025157e+06 ; 2.123157e+09 + i -2.678000e+08 ; -1.284323e+08 + i 6.578705e+06 ; -6.283542e+07 + i 4.024352e+06 ; -1.006690e+09 + i 1.250708e+08 ; 1.290951e+07 + i -2.385353e+04 ; -1.963184e+07 + i -1.512448e+06 ; -7.128697e+09 + i 5.276299e+08 ; 1.982042e+07 + i 1.261767e+06 ; 1.532717e+08 + i -2.358318e+07 ; -1.039650e+08 + i 1.704619e+07 ; -1.431576e+08 + i 2.351820e+07 ; 3.439710e+07 + i -3.605158e+06 ; -2.765303e+08 + i -8.160826e+05 ; -5.475735e+08 + i 7.142847e+07 ; -3.397779e+07 + i 2.338482e+06 ; -1.698292e+08 + i 3.849204e+07 ; 3.407289e+07 + i -2.571700e+06 ; -1.252523e+07 + i -1.122447e+05 ; -1.007958e+09 + i 1.251420e+08 ; 6.793478e+07 + i -3.317008e+06 ; 
