-4.706455e+09 + i 2.198955e+10 ; -5.231468e+07 + i 3.356331e+08 ; -5.168994e+07 + i 3.364142e+08 ; -5.150060e+09 + i -4.782678e+09 ; -3.941561e+08 + i -7.467700e+08 ; -3.948769e+08 + i -7.464904e+08 ; 1.850978e+09 + i 2.477415e+09 ; 1.522021e+08 + i 4.124304e+08 ; 1.455006e+08 + i 1.620834e+08 ; 2.214519e+08 + i 2.504312e+09 ; -1.426338e+09 + i -8.397459e+08 ; -2.404579e+08 + i 8.070807e+06 ; 1.852153e+09 + i 2.477277e+09 ; 1.448018e+08 + i 1.605682e+08 ; 1.514143e+08 + i 4.117584e+08 ; 2.228780e+08 + i 2.505744e+09 ; -2.372427e+08 + i 7.261551e+06 ; -1.426328e+09 + i -8.398639e+08 ; 1.259336e+09 + i -5.056816e+08 ; 2.151171e+08 + i 1.596103e+08 ; 2.165365e+08 + i 1.592595e+08 ; 1.353663e+09 + i -2.977935e+08 ; -4.424675e+08 + i 4.811252e+07 ; -4.418282e+08 + i 4.744385e+07 ; -2.931086e+08 + i -7.311002e+08 ; -1.739413e+07 + i 4.252416e+07 ; -1.743221e+07 + i 4.272383e+07 ; -3.863915e+07 + i -4.515976e+08 ; 1.483341e+07 + i 1.069672e+07 ; 1.492337e+07 + i 1.072459e+07 ; -3.599028e+08 + i 6.463503e+07 ; -5.917770e+07 + i 4.951213e+07 ; 7.381575e+06 + i 3.877562e+07 ; -2.750260e+08 + i -2.969920e+07 ; 4.779196e+06 + i 1.184786e+07 ; 1.583964e+07 + i 3.706597e+06 ; -3.592031e+08 + i 6.474024e+07 ; 7.747947e+06 + i 3.847883e+07 ; -5.921650e+07 + i 4.961859e+07 ; -2.747070e+08 + i -2.947056e+07 ; 1.577927e+07 + i 3.603860e+06 ; 4.787691e+06 + i 1.188592e+07 ; 2.348428e+06 + i 3.247981e+08 ; -2.146236e+07 + i 4.246220e+07 ; -2.170170e+07 + i 4.245162e+07 ; -6.970742e+07 + i 2.603746e+08 ; 7.398862e+06 + i 4.802404e+06 ; 7.365941e+06 + i 4.843248e+06 ; 
-2.011493e+08 + i -2.579851e+08 ; -1.849568e+08 + i -2.691600e+08 ; 1.287047e+09 + i -4.784995e+08 ; -1.343015e+08 + i -2.207532e+08 ; -2.598772e+07 + i -4.909392e+08 ; 1.826371e+09 + i 2.455116e+09 ; -4.266912e+07 + i -4.916753e+08 ; -1.198135e+08 + i -2.394569e+08 ; 1.834419e+09 + i 2.501766e+09 ; 1.377300e+08 + i -3.329746e+08 ; 1.580570e+08 + i -3.407223e+08 ; -4.758567e+09 + i 2.195006e+10 ; 5.624295e+08 + i 8.898809e+07 ; 5.714027e+08 + i 1.159478e+08 ; 1.404567e+09 + i -3.167695e+08 ; 3.334628e+08 + i 2.534575e+07 ; 1.242990e+09 + i 1.407112e+09 ; 2.608566e+08 + i 2.495800e+09 ; 1.247261e+09 + i 1.370455e+09 ; 3.501714e+08 + i 6.162910e+07 ; 2.648886e+08 + i 2.543347e+09 ; 1.332915e+08 + i 8.711539e+08 ; 1.459663e+08 + i 9.332504e+08 ; -5.170169e+09 + i -4.737047e+09 ; 9.401691e+07 + i 1.026437e+08 ; -3.009362e+07 + i -8.895530e+07 ; 3.666648e+08 + i 8.358981e+07 ; 6.942654e+07 + i 1.063052e+08 ; -2.946244e+07 + i -1.330800e+07 ; 5.040125e+07 + i -9.258168e+07 ; 5.967073e+07 + i 1.986837e+08 ; -2.651707e+06 + i -7.199648e+07 ; 4.275515e+08 + i 4.605637e+08 ; 2.650449e+06 + i 1.731933e+08 ; -2.490643e+07 + i -1.351246e+07 ; 1.290748e+08 + i -6.329006e+07 ; -2.120156e+08 + i -1.073584e+08 ; 9.697461e+07 + i 5.622056e+07 ; 3.205229e+08 + i 1.092066e+08 ; -1.389939e+08 + i -9.403818e+07 ; 7.642267e+06 + i -1.572670e+07 ; 4.975596e+07 + i -9.083869e+07 ; -4.337073e+08 + i -3.599811e+08 ; 1.450067e+06 + i 2.798546e+07 ; 2.258097e+08 + i 4.719926e+08 ; -1.899678e+08 + i -3.052050e+08 ; 2.251311e+06 + i -1.253070e+07 ; 1.406701e+08 + i -5.090736e+07 ; 
1.825715e+09 + i 2.461432e+09 ; 1.402095e+08 + i 1.735231e+08 ; -1.611541e+08 + i -4.158829e+08 ; 2.101062e+08 + i 2.521479e+09 ; -2.587898e+08 + i 7.892138e+06 ; 1.427417e+09 + i 1.315486e+09 ; 1.258652e+09 + i -4.901130e+08 ; 2.115289e+08 + i 1.799914e+08 ; -1.931077e+08 + i -2.147859e+08 ; 1.360994e+09 + i -2.927952e+08 ; -4.538359e+08 + i 2.990736e+07 ; 5.219440e+08 + i 4.188032e+07 ; -4.726865e+09 + i 2.196668e+10 ; -6.306388e+07 + i 3.335986e+08 ; 7.133239e+07 + i -3.539262e+08 ; -5.164083e+09 + i -4.775345e+09 ; -3.762082e+08 + i -7.730611e+08 ; 3.313709e+08 + i 8.549134e+08 ; 1.838651e+09 + i 2.496487e+09 ; 1.322583e+08 + i 4.153699e+08 ; -1.236514e+08 + i -1.963876e+08 ; 2.211787e+08 + i 2.516602e+09 ; -1.442097e+09 + i -9.358741e+08 ; 2.738185e+08 + i 1.695708e+07 ; -3.516269e+08 + i 6.581902e+07 ; 5.470069e+06 + i 4.092602e+07 ; 7.400973e+07 + i -4.547351e+07 ; -2.709826e+08 + i -2.643388e+07 ; 1.593028e+07 + i 4.916678e+06 ; -3.943192e+06 + i -1.428216e+07 ; 4.538143e+06 + i 3.211644e+08 ; -2.460946e+07 + i 4.285707e+07 ; 3.171958e+07 + i -4.408950e+07 ; -6.666090e+07 + i 2.588461e+08 ; 7.213934e+06 + i 5.482573e+06 ; -7.617634e+06 + i -7.198898e+06 ; -2.928538e+08 + i -7.305558e+08 ; -1.841237e+07 + i 4.304538e+07 ; 2.826903e+07 + i -4.790929e+07 ; -4.017349e+07 + i -4.512447e+08 ; 1.536256e+07 + i 1.151730e+07 ; -1.490324e+07 + i -1.549570e+07 ; -3.599264e+08 + i 6.324036e+07 ; -6.186759e+07 + i 4.831923e+07 ; -1.384640e+05 + i -4.805406e+07 ; -2.752623e+08 + i -2.917035e+07 ; 4.913428e+06 + i 1.216102e+07 ; -1.674837e+07 + i -7.993862e+06 ; 
1.241581e+08 + i 1.732806e+08 ; 1.856595e+09 + i 2.500449e+09 ; -1.601192e+08 + i -4.182095e+08 ; 1.913376e+08 + i 1.834386e+08 ; 1.294757e+09 + i -4.920224e+08 ; -1.931197e+08 + i -2.131497e+08 ; -2.689780e+08 + i -9.249066e+06 ; 2.565306e+08 + i 2.563734e+09 ; 1.435824e+09 + i 1.313931e+09 ; -4.721822e+08 + i 3.442099e+06 ; 1.408809e+09 + i -3.161272e+08 ; 5.292181e+08 + i 4.093629e+07 ; -7.579708e+07 + i 3.281362e+08 ; -4.745604e+09 + i 2.201521e+10 ; 7.213499e+07 + i -3.557901e+08 ; 1.137230e+08 + i 4.099424e+08 ; 1.846246e+09 + i 2.526936e+09 ; -1.238828e+08 + i -1.948519e+08 ; -3.787262e+08 + i -7.946005e+08 ; -5.174483e+09 + i -4.689745e+09 ; 3.378362e+08 + i 8.529495e+08 ; -1.451941e+09 + i -9.732729e+08 ; 2.637219e+08 + i 2.551218e+09 ; 2.795344e+08 + i 1.575525e+07 ; -1.519707e+07 + i 8.228395e+07 ; 4.764364e+07 + i -8.878071e+07 ; -2.810084e+07 + i -2.055606e+07 ; -2.472469e+07 + i 6.415524e+07 ; -4.877190e+06 + i -9.117385e+06 ; -9.937749e+06 + i -1.575603e+04 ; -1.626017e+08 + i -1.115928e+08 ; 5.040023e+07 + i -8.927026e+07 ; 6.357720e+06 + i -1.213394e+07 ; -9.984002e+07 + i -9.426085e+07 ; -6.133803e+06 + i -8.227274e+06 ; -2.441837e+06 + i -2.421946e+06 ; -4.955429e+07 + i 5.417456e+07 ; 1.242132e+08 + i -6.254319e+07 ; -2.163479e+07 + i -1.713792e+07 ; -4.807209e+07 + i 3.568466e+07 ; 9.309534e+06 + i -1.808988e+07 ; -8.501289e+06 + i 1.306486e+05 ; -1.779633e+08 + i -2.570454e+08 ; 1.401675e+08 + i -5.082438e+07 ; -9.381899e+06 + i -1.664095e+07 ; -7.178176e+07 + i -1.830136e+08 ; 6.864272e+06 + i -1.918560e+07 ; -5.092155e+06 + i -2.415797e+06 ; 
4.630624e+08 + i 7.294663e+08 ; 4.694382e+08 + i 7.058093e+08 ; -5.157592e+09 + i -4.673500e+09 ; 1.470338e+09 + i 9.924078e+08 ; 2.513703e+08 + i -1.126550e+07 ; 2.577500e+08 + i 2.560879e+09 ; 2.522461e+08 + i 9.137624e+06 ; 1.468719e+09 + i 9.523862e+08 ; 2.711599e+08 + i 2.563791e+09 ; 4.907359e+08 + i -4.736976e+06 ; 4.780141e+08 + i -3.462534e+07 ; 1.421703e+09 + i -3.114316e+08 ; 4.203770e+07 + i -3.431662e+08 ; 2.994099e+07 + i -3.502701e+08 ; -4.739621e+09 + i 2.201823e+10 ; -2.162038e+08 + i -3.470112e+08 ; -1.574565e+08 + i -1.612348e+08 ; 1.860932e+09 + i 2.500293e+09 ; -1.426354e+08 + i -1.615275e+08 ; -2.316767e+08 + i -3.532074e+08 ; 1.874162e+09 + i 2.504253e+09 ; -1.952230e+08 + i -1.670880e+08 ; -2.128797e+08 + i -1.628776e+08 ; 1.284134e+09 + i -5.124827e+08 ; 1.747986e+08 + i 2.648199e+08 ; -1.185627e+07 + i -1.267752e+07 ; 1.339483e+08 + i -5.049552e+07 ; 6.766038e+07 + i 1.885702e+08 ; -5.154854e+06 + i -9.944228e+05 ; 6.753783e+06 + i -1.847473e+07 ; 1.671134e+08 + i 1.164926e+08 ; 2.799362e+06 + i -1.142539e+07 ; 4.800367e+07 + i -8.783091e+07 ; 1.021957e+08 + i 9.994551e+07 ; -2.580810e+06 + i -1.528233e+06 ; -6.429737e+06 + i -8.127383e+06 ; 3.454743e+07 + i -5.267424e+07 ; -2.162951e+07 + i -1.141846e+07 ; 1.233097e+08 + i -6.205987e+07 ; 3.907899e+07 + i -3.604679e+07 ; -7.318424e+06 + i 1.429347e+06 ; 9.344590e+06 + i -1.687712e+07 ; 1.027239e+07 + i -7.932586e+07 ; -2.809026e+07 + i -1.325951e+07 ; 4.700475e+07 + i -8.945225e+07 ; 2.160305e+07 + i -6.176930e+07 ; -8.393091e+06 + i 1.475009e+06 ; -4.709376e+06 + i -8.257067e+06 ; 
1.678207e+08 + i 2.521875e+09 ; 2.882170e+08 + i 1.002384e+07 ; -1.254744e+09 + i -1.424322e+09 ; 1.796750e+09 + i 2.459030e+09 ; -1.295095e+08 + i -1.615978e+08 ; 3.278720e+08 + i 3.095007e+08 ; 1.369002e+09 + i -2.769521e+08 ; 4.899269e+08 + i -1.315808e+07 ; -5.180015e+08 + i -7.644606e+07 ; 1.233963e+09 + i -4.646803e+08 ; -1.910236e+08 + i -1.706832e+08 ; 1.647687e+08 + i 1.674027e+08 ; -5.174916e+09 + i -4.775562e+09 ; 3.526446e+08 + i 8.070682e+08 ; -4.811929e+08 + i -7.940460e+08 ; -4.750550e+09 + i 2.187749e+10 ; 8.760450e+07 + i -3.258857e+08 ; -1.681693e+08 + i 3.199427e+08 ; 2.239869e+08 + i 2.535526e+09 ; 1.451186e+09 + i 1.030115e+09 ; -2.814678e+08 + i -8.486836e+06 ; 1.788959e+09 + i 2.472586e+09 ; -8.835408e+07 + i -3.996361e+08 ; 9.422726e+07 + i 1.719197e+08 ; -3.929330e+08 + i 1.822271e+08 ; -1.240194e+08 + i -3.679367e+07 ; 3.547198e+08 + i 3.843796e+08 ; -3.469809e+08 + i 6.354515e+07 ; 2.855076e+06 + i 5.463220e+07 ; 8.072512e+07 + i -5.165641e+07 ; 1.069684e+08 + i 3.679643e+08 ; -2.529913e+08 + i -4.323765e+07 ; 2.381567e+08 + i 1.165855e+08 ; 8.121132e+06 + i 3.176392e+08 ; -1.221074e+07 + i 5.740143e+07 ; 2.987533e+07 + i -5.121540e+07 ; -8.582477e+08 + i -1.006757e+09 ; -1.413961e+08 + i -2.164008e+08 ; 2.316427e+07 + i 2.812850e+08 ; -2.933898e+08 + i -7.275949e+08 ; -4.691872e+07 + i 6.347765e+07 ; 6.287140e+07 + i -3.756479e+07 ; -4.124304e+08 + i 1.889834e+08 ; -4.479889e+08 + i -2.629984e+08 ; 9.593749e+07 + i 8.631413e+07 ; -3.600217e+08 + i 6.403875e+07 ; -6.039889e+07 + i 7.894976e+07 ; 1.147037e+07 + i -4.991357e+07 ; 
-1.879627e+08 + i -2.437661e+08 ; 1.289803e+09 + i -4.790425e+08 ; -1.538485e+08 + i -2.462329e+08 ; -1.298868e+08 + i -2.002195e+08 ; 1.829827e+09 + i 2.455015e+09 ; -1.218074e+08 + i -4.385527e+08 ; 5.003117e+08 + i 6.124873e+07 ; 1.411344e+09 + i -3.121305e+08 ; 5.488197e+08 + i 8.837566e+07 ; 2.815466e+08 + i -2.682751e+06 ; 2.434390e+08 + i 2.506653e+09 ; 1.311223e+09 + i 1.413039e+09 ; -4.683229e+07 + i -4.681238e+08 ; 1.829271e+09 + i 2.510319e+09 ; -1.035420e+08 + i -2.075744e+08 ; 1.209053e+08 + i -3.361257e+08 ; -4.762748e+09 + i 2.194335e+10 ; 9.840289e+07 + i -3.440314e+08 ; 1.307722e+09 + i 1.396613e+09 ; 2.671837e+08 + i 2.555530e+09 ; 2.946978e+08 + i 3.636679e+07 ; 1.961655e+08 + i 8.587227e+08 ; -5.176525e+09 + i -4.742358e+09 ; 2.413162e+08 + i 8.763656e+08 ; 9.256137e+07 + i 1.077783e+08 ; 3.657066e+08 + i 8.319987e+07 ; -2.917398e+07 + i -8.732626e+07 ; 6.741779e+07 + i 1.101229e+08 ; 5.030989e+07 + i -9.218246e+07 ; -2.894958e+07 + i -1.333144e+07 ; -2.225860e+08 + i -1.169196e+08 ; 3.199046e+08 + i 1.095378e+08 ; 9.981610e+07 + i 5.523547e+07 ; -1.431417e+08 + i -1.021642e+08 ; 4.997968e+07 + i -9.092785e+07 ; 7.546514e+06 + i -1.633008e+07 ; 6.068237e+07 + i 2.092954e+08 ; 4.271883e+08 + i 4.604179e+08 ; -3.012793e+06 + i -7.014841e+07 ; 1.629824e+06 + i 1.801640e+08 ; 1.293156e+08 + i -6.292572e+07 ; -2.440385e+07 + i -1.341723e+07 ; -4.317882e+08 + i -3.590763e+08 ; 2.262849e+08 + i 4.706222e+08 ; 4.108799e+06 + i 2.647525e+07 ; -1.891746e+08 + i -3.036455e+08 ; 1.410377e+08 + i -5.132543e+07 ; 2.300048e+06 + i -1.305102e+07 ; 
-1.254859e+09 + i -1.391195e+09 ; 2.324806e+08 + i -7.058903e+06 ; 2.055862e+08 + i 2.555997e+09 ; -4.627023e+08 + i -7.154397e+08 ; 4.408905e+08 + i 7.737591e+08 ; -5.193545e+09 + i -4.739777e+09 ; -5.292927e+08 + i -7.130971e+07 ; 4.863771e+08 + i -2.140776e+07 ; 1.418884e+09 + i -2.908296e+08 ; -2.427466e+08 + i 3.748424e+06 ; 1.461256e+09 + i 1.043339e+09 ; 2.474860e+08 + i 2.519687e+09 ; 3.612206e+08 + i 3.281288e+08 ; -1.479146e+08 + i -1.708762e+08 ; 1.870089e+09 + i 2.497870e+09 ; -1.435790e+08 + i 3.337418e+08 ; 4.932818e+07 + i -3.572870e+08 ; -4.740474e+09 + i 2.197360e+10 ; 1.974508e+08 + i 2.023046e+08 ; -1.806093e+08 + i -1.723622e+08 ; 1.288266e+09 + i -5.130655e+08 ; 1.582448e+08 + i 1.924251e+08 ; -2.184745e+08 + i -3.944266e+08 ; 1.856316e+09 + i 2.447859e+09 ; 4.397009e+08 + i 3.368567e+08 ; 2.995992e+07 + i 1.476625e+07 ; 2.406692e+08 + i 4.599759e+08 ; 1.960935e+08 + i 2.878165e+08 ; -2.314804e+05 + i -1.727380e+07 ; 1.408558e+08 + i -5.422024e+07 ; 2.198740e+08 + i 1.009195e+08 ; 1.226455e+08 + i 2.565449e+07 ; 3.223037e+08 + i 1.046586e+08 ; 1.430125e+08 + i 9.096482e+07 ; 4.549556e+06 + i -2.138687e+07 ; 5.016039e+07 + i -9.290100e+07 ; 1.759653e+06 + i -2.377203e+08 ; -2.566953e+07 + i -6.692373e+07 ; 4.242208e+08 + i 4.593419e+08 ; 4.051019e+07 + i -1.851229e+08 ; -2.928907e+07 + i -5.278393e+06 ; 1.251174e+08 + i -6.298625e+07 ; -7.542372e+07 + i -1.279187e+08 ; -5.148954e+07 + i -7.737733e+07 ; 3.637489e+08 + i 8.283250e+07 ; -5.407742e+07 + i -1.233279e+08 ; -3.278987e+07 + i -4.287366e+06 ; 4.651128e+07 + i -9.080061e+07 ; 
1.250686e+09 + i -4.741072e+08 ; -1.454741e+08 + i -2.328746e+08 ; -1.452802e+08 + i -2.330159e+08 ; 1.363512e+09 + i -2.893614e+08 ; 5.001403e+08 + i 7.809046e+07 ; 5.005454e+08 + i 7.850592e+07 ; 1.822352e+09 + i 2.478592e+09 ; -1.099687e+08 + i -2.017309e+08 ; -1.198606e+08 + i -4.312284e+08 ; 2.189151e+08 + i 2.525379e+09 ; 2.679426e+08 + i 1.914595e+07 ; 1.340727e+09 + i 1.440229e+09 ; 1.823603e+09 + i 2.478304e+09 ; -1.192808e+08 + i -4.311720e+08 ; -1.095656e+08 + i -2.006106e+08 ; 2.200029e+08 + i 2.526692e+09 ; 1.340305e+09 + i 1.441861e+09 ; 2.649944e+08 + i 1.892346e+07 ; -4.742212e+09 + i 2.194952e+10 ; 9.232484e+07 + i -3.556056e+08 ; 9.159984e+07 + i -3.540670e+08 ; -5.172193e+09 + i -4.769468e+09 ; 2.899860e+08 + i 8.791383e+08 ; 2.890094e+08 + i 8.778116e+08 ; 4.365515e+06 + i 3.150285e+08 ; 3.552224e+07 + i -4.108548e+07 ; 3.552717e+07 + i -4.120399e+07 ; -6.511244e+07 + i 2.556754e+08 ; -6.708731e+06 + i -7.746544e+06 ; -6.737131e+06 + i -7.728795e+06 ; -3.520193e+08 + i 6.359085e+07 ; 3.217161e+06 + i -4.831108e+07 ; 7.588998e+07 + i -3.970570e+07 ; -2.712660e+08 + i -2.663759e+07 ; -1.577904e+07 + i -9.163709e+06 ; -3.699483e+06 + i -1.424083e+07 ; -3.513218e+08 + i 6.372905e+07 ; 7.584967e+07 + i -3.965148e+07 ; 2.981548e+06 + i -4.827400e+07 ; -2.709642e+08 + i -2.641723e+07 ; -3.648327e+06 + i -1.427832e+07 ; -1.576571e+07 + i -9.096172e+06 ; -2.904397e+08 + i -7.307035e+08 ; 2.950186e+07 + i -4.602336e+07 ; 2.965281e+07 + i -4.608189e+07 ; -3.979139e+07 + i -4.510491e+08 ; -1.470561e+07 + i -1.636349e+07 ; -1.465248e+07 + i -1.631719e+07 ; 
2.537888e+08 + i 1.240027e+07 ; 2.247608e+08 + i 2.567294e+09 ; -1.259011e+09 + i -1.429889e+09 ; 4.903749e+08 + i 1.347423e+07 ; 1.415713e+09 + i -2.926615e+08 ; -5.083114e+08 + i -1.048701e+08 ; -1.264086e+08 + i -1.747983e+08 ; 1.873025e+09 + i 2.504701e+09 ; 3.206716e+08 + i 3.354895e+08 ; -1.641161e+08 + i -1.771976e+08 ; 1.288257e+09 + i -5.121845e+08 ; 1.726969e+08 + i 2.115546e+08 ; 4.259340e+08 + i 7.920165e+08 ; -5.191104e+09 + i -4.681500e+09 ; -4.775326e+08 + i -7.785918e+08 ; 1.456025e+09 + i 1.079407e+09 ; 2.512924e+08 + i 2.580099e+09 ; -2.709780e+08 + i -2.157215e+07 ; 6.709634e+07 + i -3.545786e+08 ; -4.729464e+09 + i 2.202242e+10 ; -1.708433e+08 + i 3.506180e+08 ; -1.799717e+08 + i -3.868862e+08 ; 1.869336e+09 + i 2.501013e+09 ; 1.092468e+08 + i 2.218561e+08 ; 1.645395e+08 + i 1.239682e+08 ; 5.015830e+07 + i -8.652932e+07 ; -9.653108e+06 + i 1.175801e+07 ; 9.987505e+07 + i 1.040593e+08 ; -5.737287e+06 + i -8.675702e+06 ; 2.112524e+06 + i 3.434786e+06 ; 1.929995e+07 + i -8.010575e+07 ; 4.865657e+07 + i -8.861790e+07 ; 2.590081e+07 + i 2.341715e+07 ; 2.754731e+07 + i -6.127991e+07 ; -4.275799e+06 + i -8.724826e+06 ; 9.989240e+06 + i 9.258972e+05 ; 1.682181e+08 + i 2.764178e+08 ; 1.354176e+08 + i -4.877730e+07 ; 4.450956e+06 + i 1.803409e+07 ; 6.234525e+07 + i 1.942520e+08 ; 7.277548e+06 + i -1.877202e+07 ; 4.857076e+06 + i 3.707575e+06 ; 4.455421e+07 + i -5.356803e+07 ; 1.241416e+08 + i -6.146964e+07 ; 1.944009e+07 + i 1.960851e+07 ; 4.618278e+07 + i -3.536516e+07 ; 9.621787e+06 + i -1.725625e+07 ; 8.607758e+06 + i 7.177099e+05 ; 
2.544502e+08 + i 1.368044e+07 ; -1.258748e+09 + i -1.430315e+09 ; 2.240909e+08 + i 2.567063e+09 ; 4.903306e+08 + i 1.283601e+07 ; -5.084694e+08 + i -1.054671e+08 ; 1.413587e+09 + i -2.935187e+08 ; 4.249667e+08 + i 7.926512e+08 ; -4.766789e+08 + i -7.789741e+08 ; -5.186879e+09 + i -4.680482e+09 ; 1.456528e+09 + i 1.079400e+09 ; -2.706405e+08 + i -2.153620e+07 ; 2.555413e+08 + i 2.574220e+09 ; -1.254195e+08 + i -1.738564e+08 ; 3.227259e+08 + i 3.356905e+08 ; 1.885972e+09 + i 2.503595e+09 ; -1.621712e+08 + i -1.775663e+08 ; 1.735276e+08 + i 2.108292e+08 ; 1.286536e+09 + i -5.169654e+08 ; 6.469397e+07 + i -3.534013e+08 ; -1.710856e+08 + i 3.507869e+08 ; -4.728567e+09 + i 2.202809e+10 ; -1.796179e+08 + i -3.865214e+08 ; 1.089046e+08 + i 2.219979e+08 ; 1.870752e+09 + i 2.496879e+09 ; 1.644029e+08 + i 1.235905e+08 ; -9.715230e+06 + i 1.165037e+07 ; 5.004731e+07 + i -8.704447e+07 ; 9.997042e+07 + i 1.037700e+08 ; 2.060332e+06 + i 3.432498e+06 ; -5.923488e+06 + i -8.679240e+06 ; 1.681607e+08 + i 2.766389e+08 ; 4.507997e+06 + i 1.795983e+07 ; 1.355490e+08 + i -4.938669e+07 ; 6.232950e+07 + i 1.944400e+08 ; 4.847510e+06 + i 3.678640e+06 ; 7.074395e+06 + i -1.880205e+07 ; 1.949946e+07 + i -8.020410e+07 ; 2.595299e+07 + i 2.336948e+07 ; 4.841132e+07 + i -8.904302e+07 ; 2.780523e+07 + i -6.123597e+07 ; 9.973402e+06 + i 9.106106e+05 ; -4.405105e+06 + i -8.657696e+06 ; 4.453952e+07 + i -5.395755e+07 ; 1.949613e+07 + i 1.963818e+07 ; 1.243031e+08 + i -6.174478e+07 ; 4.621513e+07 + i -3.553389e+07 ; 8.633730e+06 + i 6.902803e+05 ; 9.539734e+06 + i -1.720185e+07 ; 
1.365643e+09 + i -2.525674e+08 ; -5.192154e+08 + i -1.255986e+08 ; -5.199149e+08 + i -1.259784e+08 ; 1.240000e+09 + i -4.585745e+08 ; 8.313756e+07 + i 1.676378e+08 ; 8.302766e+07 + i 1.679287e+08 ; 1.734102e+08 + i 2.538060e+09 ; -2.527295e+08 + i -1.340828e+07 ; -1.187372e+09 + i -1.496661e+09 ; 1.804012e+09 + i 2.462458e+09 ; 1.009536e+08 + i 1.983317e+08 ; 2.575237e+08 + i 3.435236e+08 ; 1.740241e+08 + i 2.538005e+09 ; -1.186316e+09 + i -1.498286e+09 ; -2.494088e+08 + i -1.321853e+07 ; 1.806458e+09 + i 2.462866e+09 ; 2.574200e+08 + i 3.430123e+08 ; 1.008038e+08 + i 1.973013e+08 ; -5.209165e+09 + i -4.782028e+09 ; -4.169071e+08 + i -8.384084e+08 ; -4.154088e+08 + i -8.372268e+08 ; -4.747324e+09 + i 2.188000e+10 ; -1.780867e+08 + i 3.175277e+08 ; -1.771425e+08 + i 3.163623e+08 ; 1.046591e+08 + i 3.592598e+08 ; 2.571215e+08 + i 1.361975e+08 ; 2.574758e+08 + i 1.361638e+08 ; 9.117018e+06 + i 3.122067e+08 ; 3.685848e+07 + i -5.587615e+07 ; 3.694320e+07 + i -5.594645e+07 ; -3.971876e+08 + i 1.811864e+08 ; 1.264914e+08 + i 9.465431e+07 ; 3.439145e+08 + i 4.041308e+08 ; -3.496565e+08 + i 6.392459e+07 ; 1.753851e+07 + i -5.647946e+07 ; 8.302580e+07 + i -5.099615e+07 ; -3.965993e+08 + i 1.810783e+08 ; 3.433507e+08 + i 4.044969e+08 ; 1.256562e+08 + i 9.439166e+07 ; -3.494365e+08 + i 6.399482e+07 ; 8.325879e+07 + i -5.076312e+07 ; 1.732013e+07 + i -5.618800e+07 ; -8.562145e+08 + i -1.008810e+09 ; 2.264717e+07 + i 2.802166e+08 ; 2.266892e+07 + i 2.798240e+08 ; -2.937079e+08 + i -7.279270e+08 ; 6.413582e+07 + i -3.832412e+07 ; 6.376049e+07 + i -3.815302e+07 ; 
-5.018484e+08 + i -1.012850e+08 ; 1.415514e+09 + i -2.750804e+08 ; -5.095747e+08 + i -1.265530e+08 ; -2.249612e+08 + i 2.348535e+07 ; 2.074753e+08 + i 2.521445e+09 ; -1.174492e+09 + i -1.492813e+09 ; 1.139523e+08 + i 1.905769e+08 ; 1.295487e+09 + i -5.054127e+08 ; 9.263827e+07 + i 2.027299e+08 ; 1.238906e+08 + i 2.081991e+08 ; 1.858074e+09 + i 2.448420e+09 ; 2.670716e+08 + i 3.807283e+08 ; -1.177179e+09 + i -1.457767e+09 ; 2.063024e+08 + i 2.572639e+09 ; -2.397383e+08 + i -1.304766e+07 ; -3.917016e+08 + i -7.738794e+08 ; -5.217916e+09 + i -4.748296e+09 ; -4.045720e+08 + i -8.344533e+08 ; 2.891684e+08 + i 3.827917e+08 ; 1.876981e+09 + i 2.502975e+09 ; 1.039880e+08 + i 2.274958e+08 ; -1.502529e+08 + i 3.398662e+08 ; -4.732144e+09 + i 2.197193e+10 ; -1.767885e+08 + i 3.468006e+08 ; 2.068645e+08 + i 1.206295e+08 ; 3.207321e+08 + i 1.079291e+08 ; -1.032323e+08 + i -6.120998e+07 ; 1.313382e+08 + i 1.026434e+08 ; 5.192869e+07 + i -9.196010e+07 ; -9.054990e+06 + i 1.745012e+07 ; -8.442483e+07 + i -1.336027e+08 ; 3.636113e+08 + i 8.389558e+07 ; 2.404815e+07 + i 8.854426e+07 ; -5.594622e+07 + i -1.285163e+08 ; 4.754242e+07 + i -9.054613e+07 ; 2.857423e+07 + i 1.531740e+07 ; 4.190631e+08 + i 3.676017e+08 ; 2.376054e+08 + i 4.625320e+08 ; -9.796489e+06 + i -2.606662e+07 ; 1.789289e+08 + i 3.036119e+08 ; 1.418224e+08 + i -5.340449e+07 ; -3.681277e+06 + i 1.430966e+07 ; 1.013310e+06 + i -2.299570e+08 ; 4.251383e+08 + i 4.589894e+08 ; -6.748864e+05 + i 7.093736e+07 ; 4.041053e+07 + i -1.802385e+08 ; 1.260770e+08 + i -6.339966e+07 ; 2.390805e+07 + i 1.491579e+07 ; 
