-4.636633e+10 + i 2.180295e+10 ; 2.593720e+08 + i -5.811835e+06 ; 2.593331e+08 + i -5.809279e+06 ; 2.070222e+10 + i -1.621141e+10 ; 5.960234e+08 + i 1.053051e+09 ; 5.960605e+08 + i 1.052996e+09 ; -9.321553e+09 + i 8.999536e+09 ; -3.673134e+08 + i -5.407514e+08 ; 1.710273e+08 + i -6.790086e+07 ; -5.321287e+08 + i -5.078148e+09 ; 5.662670e+09 + i -4.411219e+09 ; 4.145016e+08 + i 3.990268e+08 ; -9.321593e+09 + i 8.999541e+09 ; 1.711792e+08 + i -6.787793e+07 ; -3.673080e+08 + i -5.407216e+08 ; -5.321970e+08 + i -5.078120e+09 ; 4.147493e+08 + i 3.992502e+08 ; 5.662662e+09 + i -4.411200e+09 ; -2.226182e+09 + i 4.429487e+09 ; -2.832557e+08 + i -3.172982e+08 ; -2.832845e+08 + i -3.172380e+08 ; -2.017474e+09 + i -1.569187e+09 ; 1.786435e+09 + i -2.030666e+09 ; 1.786415e+09 + i -2.030642e+09 ; 1.419616e+09 + i -2.419240e+08 ; 8.437495e+07 + i 3.434025e+07 ; 8.438930e+07 + i 3.432723e+07 ; 5.372338e+08 + i -1.914686e+06 ; 3.588971e+07 + i -5.357552e+06 ; 3.588941e+07 + i -5.361505e+06 ; 9.545113e+08 + i -4.905600e+08 ; 3.307791e+08 + i -4.730391e+08 ; 7.080901e+07 + i 1.375142e+07 ; 4.901063e+08 + i -7.699465e+07 ; 7.712713e+07 + i -1.857310e+08 ; 3.110127e+07 + i -9.394896e+06 ; 9.544963e+08 + i -4.905392e+08 ; 7.085580e+07 + i 1.378614e+07 ; 3.307800e+08 + i -4.730324e+08 ; 4.901037e+08 + i -7.699621e+07 ; 3.112653e+07 + i -9.386996e+06 ; 7.712867e+07 + i -1.857274e+08 ; 6.304655e+08 + i -5.466624e+08 ; 2.284236e+08 + i -3.806154e+08 ; 2.284255e+08 + i -3.806131e+08 ; 4.327489e+08 + i -1.311603e+08 ; 5.897999e+07 + i -1.629301e+08 ; 5.897890e+07 + i -1.629265e+08 ; 
1.697641e+09 + i -1.989902e+09 ; 1.699496e+09 + i -1.963911e+09 ; -2.039611e+09 + i -1.609854e+09 ; 3.672958e+08 + i 3.471831e+08 ; 5.390253e+09 + i -4.311958e+09 ; -5.633419e+08 + i -5.103682e+09 ; 5.396071e+09 + i -4.333418e+09 ; 4.096440e+08 + i 4.056403e+08 ; -5.534914e+08 + i -5.124830e+09 ; 5.296867e+08 + i 9.941138e+08 ; 5.776887e+08 + i 1.066917e+09 ; 2.067532e+10 + i -1.625888e+10 ; -2.895800e+08 + i -3.323218e+08 ; -2.829312e+08 + i -3.133515e+08 ; -2.210515e+09 + i 4.411339e+09 ; 1.357011e+08 + i -8.727800e+07 ; -3.561503e+08 + i -5.786234e+08 ; -9.286054e+09 + i 9.014314e+09 ; -3.575374e+08 + i -5.957144e+08 ; 1.653671e+08 + i -6.609865e+07 ; -9.303797e+09 + i 8.981949e+09 ; 2.173098e+08 + i -3.471581e+07 ; 2.501630e+08 + i -9.697782e+06 ; -4.632803e+10 + i 2.182206e+10 ; -9.066254e+08 + i 8.751419e+08 ; 4.919889e+08 + i -5.297225e+08 ; -8.008860e+08 + i -5.783280e+07 ; -4.450380e+08 + i 1.122299e+08 ; 6.060783e+07 + i -1.563211e+08 ; -4.166673e+08 + i 1.810848e+08 ; -1.684021e+09 + i 1.348529e+09 ; 7.744368e+07 + i 6.253329e+07 ; -8.059079e+08 + i -3.438721e+08 ; -5.896703e+08 + i 4.976722e+07 ; 2.911301e+07 + i -2.653005e+06 ; -4.786434e+08 + i 1.499337e+08 ; 1.088740e+08 + i 1.651080e+08 ; -8.317368e+07 + i -1.138503e+08 ; -1.084025e+09 + i 1.236515e+09 ; -3.183808e+07 + i 7.867781e+07 ; -4.292474e+07 + i -4.206407e+07 ; -2.957116e+08 + i 4.647001e+08 ; 1.225771e+08 + i 2.102420e+08 ; 3.191521e+07 + i -3.958752e+07 ; -1.834258e+09 + i 1.672363e+09 ; -4.788534e+07 + i 7.362689e+07 ; 7.433478e+06 + i -2.918416e+07 ; -3.743619e+08 + i 5.493528e+08 ; 
1.418904e+09 + i -2.417645e+08 ; -1.429431e+08 + i -8.743369e+07 ; -1.429354e+08 + i -8.743357e+07 ; 3.872974e+09 + i -3.201117e+09 ; -2.232183e+08 + i -3.539432e+08 ; -2.232317e+08 + i -3.539329e+08 ; 9.541332e+08 + i -4.902937e+08 ; -3.008717e+08 + i 5.043987e+08 ; -1.196370e+08 + i -5.536716e+07 ; 1.250467e+09 + i -1.836588e+09 ; -1.717462e+09 + i 1.399934e+09 ; -1.842205e+08 + i -2.154276e+08 ; 9.541475e+08 + i -4.903236e+08 ; -1.196998e+08 + i -5.538917e+07 ; -3.008700e+08 + i 5.043837e+08 ; 1.250485e+09 + i -1.836635e+09 ; -1.842988e+08 + i -2.154920e+08 ; -1.717456e+09 + i 1.399922e+09 ; 6.303049e+08 + i -5.464552e+08 ; -2.075265e+08 + i 3.911111e+08 ; -2.075151e+08 + i 3.910907e+08 ; 3.380322e+08 + i -1.115603e+09 ; -9.174031e+08 + i 9.046817e+08 ; -9.173941e+08 + i 9.046725e+08 ; -4.622089e+10 + i 2.196729e+10 ; 2.511787e+08 + i 1.664344e+07 ; 2.511367e+08 + i 1.664986e+07 ; 2.070189e+10 + i -1.621202e+10 ; 5.943256e+08 + i 1.069314e+09 ; 5.943608e+08 + i 1.069261e+09 ; -9.191829e+09 + i 9.101956e+09 ; -3.340137e+08 + i -4.943366e+08 ; 1.649320e+08 + i -4.560983e+07 ; -5.306619e+08 + i -5.079092e+09 ; 5.681024e+09 + i -4.390158e+09 ; 4.160123e+08 + i 4.164332e+08 ; -9.191848e+09 + i 9.101952e+09 ; 1.650732e+08 + i -4.559207e+07 ; -3.340083e+08 + i -4.943071e+08 ; -5.307173e+08 + i -5.079073e+09 ; 4.162534e+08 + i 4.166558e+08 ; 5.681014e+09 + i -4.390139e+09 ; -2.111754e+09 + i 4.491085e+09 ; -2.542247e+08 + i -2.771231e+08 ; -2.542538e+08 + i -2.770631e+08 ; -2.016463e+09 + i -1.570223e+09 ; 1.805554e+09 + i -2.010718e+09 ; 1.805534e+09 + i -2.010695e+09 ; 
-5.325822e+07 + i 7.875827e+07 ; -3.745252e+08 + i 5.496182e+08 ; 8.074805e+06 + i -3.003114e+07 ; 1.210146e+08 + i 2.329321e+08 ; -1.834553e+09 + i 1.672598e+09 ; 3.339883e+07 + i -4.051798e+07 ; -6.141497e+08 + i 4.634337e+07 ; -4.784827e+08 + i 1.507213e+08 ; 3.002975e+07 + i -1.664557e+06 ; -1.766650e+09 + i 1.383051e+09 ; -8.060164e+08 + i -3.405595e+08 ; 7.854535e+07 + i 6.741098e+07 ; -3.554133e+07 + i 8.396365e+07 ; -2.957923e+08 + i 4.649545e+08 ; -4.366925e+07 + i -4.392225e+07 ; 1.103556e+08 + i 1.796698e+08 ; -1.084148e+09 + i 1.236756e+09 ; -8.423825e+07 + i -1.172072e+08 ; -4.641187e+08 + i 1.125354e+08 ; -4.166260e+08 + i 1.814361e+08 ; 6.516646e+07 + i -1.610375e+08 ; -9.522971e+08 + i 8.984979e+08 ; -8.007126e+08 + i -5.698553e+07 ; 5.183925e+08 + i -5.422027e+08 ; 2.245318e+08 + i -3.652180e+07 ; -4.632792e+10 + i 2.182197e+10 ; 2.599498e+08 + i -7.284559e+06 ; -3.813722e+08 + i -5.566042e+08 ; -9.305502e+09 + i 8.980685e+09 ; 1.712299e+08 + i -6.693278e+07 ; 5.561532e+08 + i 9.724038e+08 ; 2.067842e+10 + i -1.625798e+10 ; 5.970948e+08 + i 1.054457e+09 ; 5.660795e+09 + i -4.427112e+09 ; -5.517918e+08 + i -5.135864e+09 ; 4.131017e+08 + i 4.022495e+08 ; 1.396347e+08 + i -9.030816e+07 ; -9.287211e+09 + i 9.014051e+09 ; -3.714595e+08 + i -5.434962e+08 ; -2.900533e+08 + i -3.343611e+08 ; -2.212509e+09 + i 4.411076e+09 ; -2.823129e+08 + i -3.161699e+08 ; 3.732071e+08 + i 3.390719e+08 ; -5.613545e+08 + i -5.114547e+09 ; 5.661672e+09 + i -4.409171e+09 ; 1.789619e+09 + i -2.047564e+09 ; -2.041612e+09 + i -1.618525e+09 ; 1.792630e+09 + i -2.022692e+09 ; 
-5.323842e+07 + i 7.875374e+07 ; 8.074532e+06 + i -3.003163e+07 ; -3.745166e+08 + i 5.496320e+08 ; 1.210126e+08 + i 2.329363e+08 ; 3.339985e+07 + i -4.051726e+07 ; -1.834513e+09 + i 1.672575e+09 ; -3.552713e+07 + i 8.396002e+07 ; -4.366930e+07 + i -4.392649e+07 ; -2.957971e+08 + i 4.649858e+08 ; 1.103553e+08 + i 1.796695e+08 ; -8.423283e+07 + i -1.172159e+08 ; -1.084234e+09 + i 1.236720e+09 ; -6.141495e+08 + i 4.635155e+07 ; 3.003282e+07 + i -1.670008e+06 ; -4.785482e+08 + i 1.507059e+08 ; -1.766651e+09 + i 1.383053e+09 ; 7.855335e+07 + i 6.740278e+07 ; -8.061467e+08 + i -3.406277e+08 ; -4.641088e+08 + i 1.125488e+08 ; 6.516520e+07 + i -1.610386e+08 ; -4.166205e+08 + i 1.814373e+08 ; -9.523035e+08 + i 8.985053e+08 ; 5.183924e+08 + i -5.422013e+08 ; -8.006936e+08 + i -5.699438e+07 ; 2.244593e+08 + i -3.649592e+07 ; 2.599495e+08 + i -7.286974e+06 ; -4.632782e+10 + i 2.182186e+10 ; -3.813739e+08 + i -5.565942e+08 ; 1.712299e+08 + i -6.693788e+07 ; -9.305668e+09 + i 8.980683e+09 ; 1.395802e+08 + i -9.028603e+07 ; -3.714179e+08 + i -5.435422e+08 ; -9.288120e+09 + i 9.013284e+09 ; -2.900789e+08 + i -3.343255e+08 ; -2.822890e+08 + i -3.162111e+08 ; -2.213195e+09 + i 4.410933e+09 ; 5.561479e+08 + i 9.723813e+08 ; 5.971200e+08 + i 1.054430e+09 ; 2.067787e+10 + i -1.625830e+10 ; 5.660791e+09 + i -4.427116e+09 ; 4.131213e+08 + i 4.022243e+08 ; -5.522370e+08 + i -5.135951e+09 ; 3.731624e+08 + i 3.390393e+08 ; 5.661672e+09 + i -4.409170e+09 ; -5.613630e+08 + i -5.114483e+09 ; 1.789623e+09 + i -2.047575e+09 ; 1.792632e+09 + i -2.022697e+09 ; -2.041756e+09 + i -1.618428e+09 ; 
5.371342e+08 + i -2.024317e+06 ; -3.559310e+07 + i 5.380236e+06 ; -3.559528e+07 + i 5.381459e+06 ; 1.419644e+09 + i -2.418636e+08 ; -8.388311e+07 + i -3.390170e+07 ; -8.390061e+07 + i -3.388635e+07 ; 4.900308e+08 + i -7.706906e+07 ; -7.611735e+07 + i 1.847651e+08 ; -3.083573e+07 + i 9.377043e+06 ; 9.544878e+08 + i -4.905838e+08 ; -3.273535e+08 + i 4.709808e+08 ; -7.035652e+07 + i -1.347742e+07 ; 4.900388e+08 + i -7.706606e+07 ; -3.085940e+07 + i 9.373381e+06 ; -7.611876e+07 + i 1.847621e+08 ; 9.544826e+08 + i -4.905589e+08 ; -7.040444e+07 + i -1.351008e+07 ; -3.273518e+08 + i 4.709784e+08 ; 4.327066e+08 + i -1.312120e+08 ; -5.814950e+07 + i 1.620620e+08 ; -5.814771e+07 + i 1.620544e+08 ; 6.303905e+08 + i -5.466972e+08 ; -2.259080e+08 + i 3.788616e+08 ; -2.259023e+08 + i 3.788557e+08 ; 2.070292e+10 + i -1.621148e+10 ; -5.958342e+08 + i -1.044545e+09 ; -5.958772e+08 + i -1.044498e+09 ; -4.636603e+10 + i 2.180258e+10 ; -2.579114e+08 + i 6.620794e+06 ; -2.578770e+08 + i 6.625831e+06 ; -5.321530e+08 + i -5.078170e+09 ; -5.613862e+09 + i 4.399088e+09 ; -4.131223e+08 + i -3.952603e+08 ; -9.321359e+09 + i 8.999639e+09 ; 3.671237e+08 + i 5.361383e+08 ; -1.698691e+08 + i 6.805936e+07 ; -5.322340e+08 + i -5.078101e+09 ; -4.133567e+08 + i -3.954749e+08 ; -5.613856e+09 + i 4.399068e+09 ; -9.321391e+09 + i 8.999696e+09 ; -1.700168e+08 + i 6.802805e+07 ; 3.671224e+08 + i 5.361131e+08 ; -2.017627e+09 + i -1.569029e+09 ; -1.769234e+09 + i 2.022724e+09 ; -1.769217e+09 + i 2.022700e+09 ; -2.225900e+09 + i 4.429699e+09 ; 2.824491e+08 + i 3.143864e+08 ; 2.824820e+08 + i 3.143464e+08 ; 
-2.914840e+07 + i -3.923674e+07 ; -1.482472e+08 + i 2.168575e+08 ; -3.035798e+06 + i -1.759711e+07 ; -5.801043e+07 + i -3.464298e+07 ; -3.745599e+08 + i 5.493515e+08 ; 4.674178e+06 + i -3.194693e+07 ; -1.838722e+08 + i -4.271922e+07 ; -1.994765e+08 + i 1.473961e+08 ; 2.246004e+06 + i -1.163371e+07 ; -5.417243e+08 + i 9.471016e+07 ; -4.785207e+08 + i 1.506359e+08 ; 1.774134e+07 + i -1.194110e+07 ; -3.047195e+07 + i -3.036350e+07 ; -1.309125e+08 + i 2.008157e+08 ; -1.894141e+07 + i -1.919381e+07 ; -4.545827e+07 + i -1.181086e+07 ; -2.958753e+08 + i 4.647291e+08 ; -4.028734e+07 + i -4.886515e+07 ; -1.662392e+08 + i -2.711685e+07 ; -1.796162e+08 + i 1.463966e+08 ; 1.057606e+07 + i -4.968295e+07 ; -4.113873e+08 + i 1.094663e+08 ; -4.166774e+08 + i 1.813836e+08 ; 7.610660e+07 + i -1.450539e+08 ; 3.594031e+08 + i 5.070673e+08 ; -9.306284e+09 + i 8.980988e+09 ; 1.701784e+08 + i -6.580978e+07 ; -2.521692e+08 + i -1.394499e+06 ; -4.635415e+10 + i 2.177460e+10 ; 2.586369e+08 + i -3.727702e+06 ; -5.481761e+09 + i 4.328104e+09 ; -5.511045e+08 + i -5.135662e+09 ; 4.123511e+08 + i 4.004202e+08 ; -5.872606e+08 + i -1.034233e+09 ; 2.069022e+10 + i -1.629041e+10 ; 5.948507e+08 + i 1.050189e+09 ; 2.753566e+08 + i 2.912960e+08 ; -2.212803e+09 + i 4.411359e+09 ; -2.811551e+08 + i -3.126729e+08 ; -1.657940e+08 + i 5.835311e+07 ; -9.312096e+09 + i 8.971223e+09 ; -3.636509e+08 + i -5.339038e+08 ; -1.729932e+09 + i 1.966804e+09 ; -2.041341e+09 + i -1.618611e+09 ; 1.776725e+09 + i -2.014737e+09 ; -4.047623e+08 + i -3.989016e+08 ; -5.519395e+08 + i -5.147689e+09 ; 5.623617e+09 + i -4.389306e+09 ; 
-2.914546e+07 + i -3.923440e+07 ; -3.035811e+06 + i -1.759724e+07 ; -1.482506e+08 + i 2.168563e+08 ; -5.801976e+07 + i -3.463843e+07 ; 4.674996e+06 + i -3.194668e+07 ; -3.745823e+08 + i 5.493359e+08 ; -3.046947e+07 + i -3.035976e+07 ; -1.894224e+07 + i -1.919486e+07 ; -1.309089e+08 + i 2.008265e+08 ; -4.546390e+07 + i -1.180524e+07 ; -4.028646e+07 + i -4.886930e+07 ; -2.959101e+08 + i 4.647277e+08 ; -1.838744e+08 + i -4.271941e+07 ; 2.247289e+06 + i -1.163646e+07 ; -1.995061e+08 + i 1.473897e+08 ; -5.417269e+08 + i 9.470600e+07 ; 1.774548e+07 + i -1.194593e+07 ; -4.785886e+08 + i 1.506188e+08 ; -1.662401e+08 + i -2.711230e+07 ; 1.057539e+07 + i -4.968344e+07 ; -1.796125e+08 + i 1.463913e+08 ; -4.113980e+08 + i 1.094682e+08 ; 7.610662e+07 + i -1.450541e+08 ; -4.166726e+08 + i 1.813772e+08 ; 3.594030e+08 + i 5.070704e+08 ; 1.701770e+08 + i -6.581429e+07 ; -9.306454e+09 + i 8.981020e+09 ; -2.521207e+08 + i -1.412300e+06 ; 2.586375e+08 + i -3.730944e+06 ; -4.635408e+10 + i 2.177446e+10 ; 2.753626e+08 + i 2.912869e+08 ; -2.811322e+08 + i -3.127137e+08 ; -2.213490e+09 + i 4.411246e+09 ; -1.657639e+08 + i 5.834354e+07 ; -3.636103e+08 + i -5.339513e+08 ; -9.313048e+09 + i 8.970424e+09 ; -5.481765e+09 + i 4.328106e+09 ; 4.123695e+08 + i 4.003954e+08 ; -5.515365e+08 + i -5.135731e+09 ; -5.872575e+08 + i -1.034222e+09 ; 5.948762e+08 + i 1.050163e+09 ; 2.068964e+10 + i -1.629071e+10 ; -1.729943e+09 + i 1.966813e+09 ; 1.776724e+09 + i -2.014743e+09 ; -2.041479e+09 + i -1.618432e+09 ; -4.047439e+08 + i -3.988905e+08 ; 5.623618e+09 + i -4.389305e+09 ; -5.519608e+08 + i -5.147642e+09 ; 
9.538847e+08 + i -4.909008e+08 ; 2.891641e+08 + i -4.957773e+08 ; -1.188955e+08 + i -5.462476e+07 ; 1.251369e+09 + i -1.838206e+09 ; 1.660865e+09 + i -1.384786e+09 ; -1.834297e+08 + i -2.132656e+08 ; 1.419286e+09 + i -2.417626e+08 ; 1.419774e+08 + i 8.269689e+07 ; -1.421527e+08 + i -8.635826e+07 ; 3.873440e+09 + i -3.200826e+09 ; 2.258089e+08 + i 3.370332e+08 ; -2.226314e+08 + i -3.505928e+08 ; 6.300901e+08 + i -5.468637e+08 ; 1.989958e+08 + i -3.842846e+08 ; -2.049180e+08 + i 3.887954e+08 ; 3.383583e+08 + i -1.116675e+09 ; 8.856244e+08 + i -8.926950e+08 ; -9.081444e+08 + i 9.005688e+08 ; 9.544339e+08 + i -4.903719e+08 ; 1.183993e+08 + i 5.171568e+07 ; -2.972632e+08 + i 5.015222e+08 ; 1.250882e+09 + i -1.836483e+09 ; 1.837889e+08 + i 2.051409e+08 ; -1.700931e+09 + i 1.394401e+09 ; -9.193012e+09 + i 9.101255e+09 ; 3.076017e+08 + i 5.068976e+08 ; 1.636216e+08 + i -4.571270e+07 ; -5.346523e+08 + i -5.074028e+09 ; -5.486323e+09 + i 4.344235e+09 ; 4.138083e+08 + i 4.125808e+08 ; -4.622053e+10 + i 2.196684e+10 ; -2.498235e+08 + i -1.796759e+07 ; 2.494132e+08 + i 1.586140e+07 ; 2.070094e+10 + i -1.621287e+10 ; -5.674372e+08 + i -1.064343e+09 ; 5.928999e+08 + i 1.060081e+09 ; -2.112698e+09 + i 4.490802e+09 ; 2.489962e+08 + i 2.743159e+08 ; -2.530298e+08 + i -2.746348e+08 ; -2.017200e+09 + i -1.567869e+09 ; -1.735784e+09 + i 1.980461e+09 ; 1.786580e+09 + i -2.000864e+09 ; -9.191873e+09 + i 9.101668e+09 ; -1.634181e+08 + i 4.490747e+07 ; -3.328352e+08 + i -4.901331e+08 ; -5.310751e+08 + i -5.079146e+09 ; -4.083488e+08 + i -4.085145e+08 ; 5.626843e+09 + i -4.373587e+09 ; 
6.086589e+08 + i -4.664126e+07 ; -4.777553e+08 + i 1.506156e+08 ; -2.981254e+07 + i 1.739405e+06 ; 1.749983e+09 + i -1.376036e+09 ; -8.046332e+08 + i -3.420662e+08 ; -7.815886e+07 + i -6.668900e+07 ; 5.130853e+07 + i -7.732205e+07 ; -3.745192e+08 + i 5.493573e+08 ; -7.947038e+06 + i 2.984547e+07 ; -1.252530e+08 + i -2.258599e+08 ; -1.834920e+09 + i 1.672128e+09 ; -3.307894e+07 + i 4.032411e+07 ; 4.598849e+08 + i -1.120668e+08 ; -4.160853e+08 + i 1.812839e+08 ; -6.424578e+07 + i 1.600368e+08 ; 9.429910e+08 + i -8.935912e+08 ; -8.000700e+08 + i -5.792616e+07 ; -5.130789e+08 + i 5.396618e+08 ; 3.421737e+07 + i -8.247909e+07 ; -2.958083e+08 + i 4.647322e+08 ; 4.346876e+07 + i 4.348183e+07 ; -1.119825e+08 + i -1.754786e+08 ; -1.084421e+09 + i 1.236491e+09 ; 8.394048e+07 + i 1.161154e+08 ; -5.318386e+08 + i -9.927128e+08 ; 2.067911e+10 + i -1.625872e+10 ; -5.957462e+08 + i -1.044892e+09 ; -5.609736e+09 + i 4.414145e+09 ; -5.557036e+08 + i -5.130778e+09 ; -4.111980e+08 + i -3.982060e+08 ; -2.262725e+08 + i 3.272524e+07 ; -4.632777e+10 + i 2.182157e+10 ; -2.581902e+08 + i 7.921059e+06 ; 3.572150e+08 + i 5.798875e+08 ; -9.304506e+09 + i 8.981960e+09 ; -1.699257e+08 + i 6.694250e+07 ; -3.697419e+08 + i -3.426747e+08 ; -5.607769e+08 + i -5.114173e+09 ; -5.607793e+09 + i 4.392464e+09 ; -1.770532e+09 + i 2.039221e+09 ; -2.042430e+09 + i -1.615883e+09 ; -1.773742e+09 + i 2.012633e+09 ; -1.412558e+08 + i 8.857962e+07 ; -9.287049e+09 + i 9.013924e+09 ; 3.702643e+08 + i 5.384196e+08 ; 2.870724e+08 + i 3.381143e+08 ; -2.211993e+09 + i 4.411175e+09 ; 2.811247e+08 + i 3.130332e+08 ; 
-3.502990e+07 + i 8.351825e+07 ; 4.301718e+07 + i 4.241125e+07 ; -2.957828e+08 + i 4.650019e+08 ; 1.100467e+08 + i 1.784177e+08 ; 8.346522e+07 + i 1.134488e+08 ; -1.084264e+09 + i 1.236750e+09 ; -5.275101e+07 + i 7.840303e+07 ; -7.628472e+06 + i 2.943443e+07 ; -3.745271e+08 + i 5.496305e+08 ; 1.207462e+08 + i 2.312593e+08 ; -3.203449e+07 + i 4.000036e+07 ; -1.834501e+09 + i 1.672522e+09 ; -4.606531e+08 + i 1.130364e+08 ; -6.221113e+07 + i 1.578275e+08 ; -4.166141e+08 + i 1.814347e+08 ; -9.443394e+08 + i 8.950910e+08 ; -5.002447e+08 + i 5.349209e+08 ; -8.006868e+08 + i -5.699907e+07 ; -6.100407e+08 + i 4.746376e+07 ; -2.985752e+07 + i 2.073803e+06 ; -4.785466e+08 + i 1.507082e+08 ; -1.751664e+09 + i 1.377757e+09 ; -7.862470e+07 + i -6.336159e+07 ; -8.061526e+08 + i -3.406452e+08 ; 1.384086e+08 + i -8.925455e+07 ; 3.678840e+08 + i 5.261440e+08 ; -9.288837e+09 + i 9.013457e+09 ; -2.887160e+08 + i -3.303160e+08 ; 2.786270e+08 + i 3.051919e+08 ; -2.213515e+09 + i 4.411192e+09 ; 2.229068e+08 + i -3.656918e+07 ; -2.538084e+08 + i 9.707428e+06 ; -4.632778e+10 + i 2.182158e+10 ; -3.798089e+08 + i -5.511201e+08 ; -1.667615e+08 + i 6.664962e+07 ; -9.305870e+09 + i 8.980553e+09 ; 3.662469e+08 + i 3.393201e+08 ; -5.471685e+09 + i 4.358037e+09 ; -5.613500e+08 + i -5.114435e+09 ; 1.770760e+09 + i -2.037388e+09 ; -1.723653e+09 + i 1.989854e+09 ; -2.041737e+09 + i -1.618351e+09 ; 5.548687e+08 + i 9.641492e+08 ; -5.937883e+08 + i -1.022332e+09 ; 2.067781e+10 + i -1.625834e+10 ; 5.612564e+09 + i -4.410439e+09 ; -4.026154e+08 + i -3.925394e+08 ; -5.523132e+08 + i -5.135897e+09 ; 
4.900537e+08 + i -7.687342e+07 ; 7.172105e+07 + i -1.801536e+08 ; -3.057344e+07 + i 9.358220e+06 ; 9.546167e+08 + i -4.896402e+08 ; 3.131943e+08 + i -4.605278e+08 ; -6.981768e+07 + i -1.324657e+07 ; 5.371052e+08 + i -1.924895e+06 ; 3.398424e+07 + i -4.928342e+06 ; -3.532094e+07 + i 5.420654e+06 ; 1.419320e+09 + i -2.417852e+08 ; 8.034169e+07 + i 3.428619e+07 ; -8.335452e+07 + i -3.343247e+07 ; 4.327201e+08 + i -1.310542e+08 ; 5.457426e+07 + i -1.578457e+08 ; -5.738220e+07 + i 1.609321e+08 ; 6.304604e+08 + i -5.460870e+08 ; 2.157630e+08 + i -3.700388e+08 ; -2.234209e+08 + i 3.764125e+08 ; 4.900218e+08 + i -7.699441e+07 ; 2.946167e+07 + i -8.746436e+06 ; -7.516565e+07 + i 1.835061e+08 ; 9.542164e+08 + i -4.904661e+08 ; 6.789570e+07 + i 1.428499e+07 ; -3.239044e+08 + i 4.680437e+08 ; -5.351871e+08 + i -5.069078e+09 ; 5.430011e+09 + i -4.341277e+09 ; -4.105488e+08 + i -3.913919e+08 ; -9.321495e+09 + i 8.999405e+09 ; -3.437360e+08 + i -5.724952e+08 ; -1.683754e+08 + i 6.781344e+07 ; 2.070088e+10 + i -1.621283e+10 ; 5.715607e+08 + i 1.065692e+09 ; -5.934817e+08 + i -1.035167e+09 ; -4.636609e+10 + i 2.180269e+10 ; 2.521639e+08 + i -9.068219e+06 ; -2.558703e+08 + i 7.116920e+06 ; -2.017496e+09 + i -1.565137e+09 ; 1.702631e+09 + i -1.988897e+09 ; -1.751651e+09 + i 2.010789e+09 ; -2.226622e+09 + i 4.429327e+09 ; -2.790119e+08 + i -3.150490e+08 ; 2.809323e+08 + i 3.112962e+08 ; -5.328285e+08 + i -5.077944e+09 ; 4.073749e+08 + i 3.927038e+08 ; -5.562150e+09 + i 4.376727e+09 ; -9.321387e+09 + i 8.999681e+09 ; 1.680394e+08 + i -6.753538e+07 ; 3.653945e+08 + i 5.311953e+08 ; 
1.834677e+08 + i 4.150800e+07 ; -1.996484e+08 + i 1.474690e+08 ; -2.207489e+06 + i 1.154723e+07 ; 5.394619e+08 + i -9.646585e+07 ; -4.790822e+08 + i 1.510829e+08 ; -1.758508e+07 + i 1.187472e+07 ; 2.977350e+07 + i 3.829954e+07 ; -1.483356e+08 + i 2.168428e+08 ; 3.043413e+06 + i 1.746006e+07 ; 5.948195e+07 + i 3.217331e+07 ; -3.746378e+08 + i 5.494664e+08 ; -4.590134e+06 + i 3.171809e+07 ; 1.657953e+08 + i 2.604926e+07 ; -1.797643e+08 + i 1.465025e+08 ; -1.039684e+07 + i 4.932424e+07 ; 4.094368e+08 + i -1.107002e+08 ; -4.169847e+08 + i 1.818663e+08 ; -7.523761e+07 + i 1.440976e+08 ; 3.095793e+07 + i 2.948420e+07 ; -1.309761e+08 + i 2.008287e+08 ; 1.883567e+07 + i 1.900933e+07 ; 4.634893e+07 + i 9.861023e+06 ; -2.958435e+08 + i 4.648586e+08 ; 4.007698e+07 + i 4.841238e+07 ; 5.439486e+09 + i -4.306199e+09 ; -5.540367e+08 + i -5.126600e+09 ; -4.100440e+08 + i -3.965277e+08 ; 5.654273e+08 + i 1.079282e+09 ; 2.068979e+10 + i -1.629102e+10 ; -5.924377e+08 + i -1.041050e+09 ; -3.384253e+08 + i -5.556687e+08 ; -9.304218e+09 + i 8.982043e+09 ; -1.688899e+08 + i 6.571509e+07 ; 2.513377e+08 + i 7.242847e+05 ; -4.635431e+10 + i 2.177466e+10 ; -2.568788e+08 + i 4.252618e+06 ; 1.713274e+09 + i -1.956349e+09 ; -2.041304e+09 + i -1.614555e+09 ; -1.759124e+09 + i 2.002938e+09 ; 4.032320e+08 + i 4.069102e+08 ; -5.515291e+08 + i -5.147196e+09 ; -5.571880e+09 + i 4.367047e+09 ; -2.745542e+08 + i -2.999770e+08 ; -2.212148e+09 + i 4.411221e+09 ; 2.796449e+08 + i 3.097419e+08 ; 1.675374e+08 + i -5.777811e+07 ; -9.311957e+09 + i 8.971273e+09 ; 3.619420e+08 + i 5.291051e+08 ; 
