-4.518553e+09 + i 2.535323e+10 ; -1.349412e+08 + i 4.646507e+08 ; -1.346517e+08 + i 4.664130e+08 ; -6.874484e+09 + i -6.176810e+09 ; -4.933808e+08 + i -1.071925e+09 ; -4.947531e+08 + i -1.071771e+09 ; 2.346596e+09 + i 3.041558e+09 ; 1.726145e+08 + i 5.707241e+08 ; 1.812385e+08 + i 2.935772e+08 ; 5.680656e+07 + i 3.337060e+09 ; -1.981558e+09 + i -1.063658e+09 ; -3.712058e+08 + i -2.412425e+07 ; 2.348682e+09 + i 3.042363e+09 ; 1.812943e+08 + i 2.909278e+08 ; 1.720316e+08 + i 5.689037e+08 ; 5.770267e+07 + i 3.340112e+09 ; -3.660355e+08 + i -2.364037e+07 ; -1.981379e+09 + i -1.063925e+09 ; 1.856227e+09 + i -4.014451e+08 ; 2.882719e+08 + i 2.785187e+08 ; 2.907177e+08 + i 2.788855e+08 ; 2.040298e+09 + i -8.270403e+07 ; -6.482300e+08 + i 8.024812e+07 ; -6.467151e+08 + i 7.989528e+07 ; -3.311282e+08 + i -9.438794e+08 ; -3.489532e+07 + i 6.056301e+07 ; -3.520294e+07 + i 6.081467e+07 ; 5.971820e+06 + i -5.614916e+08 ; 2.273746e+07 + i 2.084442e+07 ; 2.285005e+07 + i 2.100284e+07 ; -5.184668e+08 + i 5.346083e+07 ; -9.246978e+07 + i 7.801255e+07 ; 2.378350e+06 + i 6.220843e+07 ; -3.812230e+08 + i -8.002290e+07 ; 9.348601e+06 + i 2.407021e+07 ; 2.789254e+07 + i 1.091355e+07 ; -5.175131e+08 + i 5.421441e+07 ; 3.105952e+06 + i 6.200741e+07 ; -9.268156e+07 + i 7.809852e+07 ; -3.809207e+08 + i -7.937462e+07 ; 2.786396e+07 + i 1.069011e+07 ; 9.295899e+06 + i 2.416700e+07 ; -1.181044e+08 + i 5.115751e+08 ; -3.708649e+07 + i 7.261773e+07 ; -3.741872e+07 + i 7.236380e+07 ; -2.202903e+08 + i 3.932932e+08 ; 1.654937e+07 + i 1.371025e+07 ; 1.644465e+07 + i 1.371836e+07 ; 
-6.892164e+08 + i -1.552684e+08 ; -6.969079e+08 + i -1.912930e+08 ; 2.118215e+09 + i -3.377622e+07 ; -3.519032e+08 + i -1.335654e+07 ; -1.503333e+09 + i -1.881124e+09 ; 3.645427e+07 + i 3.347320e+09 ; -1.513503e+09 + i -1.836647e+09 ; -3.692502e+08 + i -5.941825e+07 ; 3.218802e+07 + i 3.411637e+09 ; -4.557496e+08 + i -1.120058e+09 ; -4.662740e+08 + i -1.198862e+09 ; -6.963399e+09 + i -6.165088e+09 ; 1.452069e+08 + i 2.749335e+08 ; 1.089952e+08 + i 2.859673e+08 ; 1.911801e+09 + i -3.970426e+08 ; 1.185438e+08 + i 3.403180e+08 ; 3.365880e+08 + i 5.707789e+08 ; 2.384119e+09 + i 3.010531e+09 ; 3.674392e+08 + i 5.783425e+08 ; 8.063007e+07 + i 3.639169e+08 ; 2.383956e+09 + i 3.076971e+09 ; -2.683751e+08 + i 4.205387e+08 ; -3.106545e+08 + i 4.229723e+08 ; -4.547848e+09 + i 2.532610e+10 ; 2.829894e+08 + i 1.455578e+08 ; -1.430918e+08 + i -7.023397e+07 ; 4.555005e+08 + i 1.816320e+08 ; 1.815073e+08 + i 1.380221e+08 ; -1.222176e+07 + i 2.546257e+07 ; 1.126615e+08 + i -1.491584e+08 ; 5.580430e+08 + i 4.782048e+08 ; -1.316459e+07 + i -3.133924e+07 ; 2.949667e+08 + i 6.218023e+08 ; 2.198645e+08 + i 4.135120e+08 ; -5.122948e+06 + i 1.888499e+07 ; 2.188899e+08 + i -6.993741e+07 ; -9.848467e+07 + i -2.047090e+08 ; 2.536384e+07 + i 1.187742e+08 ; 5.074676e+08 + i 1.326756e+08 ; -5.488203e+07 + i -2.003260e+08 ; 4.034937e+07 + i 2.726567e+07 ; 1.030586e+08 + i -1.473544e+08 ; 3.090856e+07 + i -2.943171e+08 ; -9.958859e+06 + i 9.592533e+07 ; 5.529136e+08 + i 5.818956e+08 ; 8.461261e+07 + i -2.294608e+08 ; 3.396549e+07 + i 2.742908e+07 ; 1.916002e+08 + i -8.481845e+07 ; 
-3.310484e+08 + i -9.290208e+08 ; 7.524875e+07 + i -9.499285e+07 ; 7.511274e+07 + i -9.524118e+07 ; -1.095820e+09 + i -1.265848e+09 ; 2.089853e+08 + i 2.657076e+08 ; 2.092059e+08 + i 2.659574e+08 ; -5.133863e+08 + i 5.702773e+07 ; 8.189124e+07 + i -1.241329e+08 ; 1.694058e+06 + i -8.943613e+07 ; -5.885408e+08 + i 2.325027e+08 ; 6.243621e+08 + i 2.528483e+08 ; 1.688736e+08 + i 4.510800e+07 ; -5.137173e+08 + i 5.769576e+07 ; 1.637268e+06 + i -8.839889e+07 ; 8.201377e+07 + i -1.234241e+08 ; -5.893752e+08 + i 2.335753e+08 ; 1.676677e+08 + i 4.538460e+07 ; 6.241873e+08 + i 2.529512e+08 ; -1.170143e+08 + i 5.115207e+08 ; 1.772314e+07 + i -9.655750e+07 ; 1.670939e+07 + i -9.663456e+07 ; 2.738305e+07 + i 5.977513e+08 ; 3.419981e+08 + i 1.488894e+07 ; 3.413438e+08 + i 1.481081e+07 ; -4.564889e+09 + i 2.521968e+10 ; -1.644860e+08 + i 4.331212e+08 ; -1.642776e+08 + i 4.348003e+08 ; -6.874701e+09 + i -6.180681e+09 ; -5.014756e+08 + i -1.091423e+09 ; -5.030009e+08 + i -1.091295e+09 ; 2.269979e+09 + i 3.026785e+09 ; 1.336715e+08 + i 5.495808e+08 ; 1.622562e+08 + i 2.668546e+08 ; 5.717840e+07 + i 3.340642e+09 ; -1.990817e+09 + i -1.075547e+09 ; -3.966791e+08 + i -2.202903e+07 ; 2.272020e+09 + i 3.027460e+09 ; 1.623614e+08 + i 2.643669e+08 ; 1.332134e+08 + i 5.477403e+08 ; 5.779353e+07 + i 3.343665e+09 ; -3.915107e+08 + i -2.127041e+07 ; -1.990617e+09 + i -1.075869e+09 ; 1.805996e+09 + i -3.379745e+08 ; 2.618201e+08 + i 2.506084e+08 ; 2.643235e+08 + i 2.511841e+08 ; 2.041667e+09 + i -8.208966e+07 ; -6.748997e+08 + i 8.148296e+07 ; -6.732556e+08 + i 8.116414e+07 ; 
-4.756295e+07 + i -2.209718e+08 ; 1.968847e+08 + i -7.543537e+07 ; 4.676352e+07 + i 1.188168e+07 ; -1.422917e+08 + i -2.311668e+08 ; 5.497988e+08 + i 5.848928e+08 ; 3.253514e+07 + i 9.578991e+07 ; 3.334047e+08 + i 2.986899e+08 ; 2.140640e+08 + i -6.719366e+07 ; 1.454597e+05 + i 2.413883e+07 ; 6.484202e+08 + i 2.364970e+08 ; 2.708873e+08 + i 6.242418e+08 ; -4.603476e+07 + i -1.778265e+07 ; -1.260273e+08 + i -1.341143e+08 ; 1.129683e+08 + i -1.453342e+08 ; 5.160839e+07 + i 7.557616e+06 ; -1.650053e+08 + i -1.126034e+08 ; 5.130396e+08 + i 1.381410e+08 ; 7.397023e+07 + i 1.046064e+08 ; 2.226506e+08 + i 6.661705e+07 ; 1.098466e+08 + i -1.489735e+08 ; -3.749066e+06 + i 3.124600e+07 ; 3.163854e+08 + i 3.126698e+07 ; 4.526466e+08 + i 1.843790e+08 ; -1.674636e+08 + i -7.882864e+06 ; -1.075377e+08 + i 4.239679e+08 ; -4.553226e+09 + i 2.532401e+10 ; -1.288150e+08 + i 4.645740e+08 ; 1.839735e+08 + i 5.407657e+08 ; 2.350103e+09 + i 3.082303e+09 ; 1.779081e+08 + i 2.930514e+08 ; -4.432819e+08 + i -9.885538e+08 ; -6.900045e+09 + i -6.151536e+09 ; -4.989536e+08 + i -1.068398e+09 ; -1.982384e+09 + i -1.031007e+09 ; 1.065128e+08 + i 3.387376e+09 ; -3.769709e+08 + i -2.504517e+07 ; 1.912683e+08 + i 2.599686e+08 ; 2.363432e+09 + i 3.023047e+09 ; 1.781655e+08 + i 5.652019e+08 ; 3.036924e+08 + i 2.624100e+08 ; 1.917909e+09 + i -3.847868e+08 ; 2.885159e+08 + i 2.794237e+08 ; -3.326935e+08 + i 2.081747e+07 ; 1.016885e+08 + i 3.329733e+09 ; -1.987695e+09 + i -1.068272e+09 ; -6.400086e+08 + i 1.128908e+08 ; 2.126838e+09 + i -9.985629e+07 ; -6.544971e+08 + i 7.976707e+07 ; 
-4.750698e+07 + i -2.212720e+08 ; 4.668678e+07 + i 1.198115e+07 ; 1.977905e+08 + i -7.559509e+07 ; -1.420741e+08 + i -2.309199e+08 ; 3.236915e+07 + i 9.590199e+07 ; 5.501493e+08 + i 5.854354e+08 ; -1.263986e+08 + i -1.346643e+08 ; 5.167042e+07 + i 7.620917e+06 ; 1.134717e+08 + i -1.455437e+08 ; -1.655449e+08 + i -1.127830e+08 ; 7.379652e+07 + i 1.045410e+08 ; 5.123197e+08 + i 1.399781e+08 ; 3.330556e+08 + i 2.978996e+08 ; -1.285353e+05 + i 2.424029e+07 ; 2.142303e+08 + i -6.599008e+07 ; 6.481363e+08 + i 2.361205e+08 ; -4.651485e+07 + i -1.796842e+07 ; 2.701124e+08 + i 6.253142e+08 ; 2.240572e+08 + i 6.620446e+07 ; -3.597484e+06 + i 3.146954e+07 ; 1.095645e+08 + i -1.488306e+08 ; 3.172105e+08 + i 3.124591e+07 ; -1.672262e+08 + i -7.911100e+06 ; 4.525806e+08 + i 1.849186e+08 ; -1.074721e+08 + i 4.252228e+08 ; -1.288461e+08 + i 4.649589e+08 ; -4.556710e+09 + i 2.531965e+10 ; 1.844105e+08 + i 5.398336e+08 ; 1.777709e+08 + i 2.935778e+08 ; 2.352035e+09 + i 3.088408e+09 ; 1.919550e+08 + i 2.619907e+08 ; 1.763137e+08 + i 5.636481e+08 ; 2.348468e+09 + i 3.020537e+09 ; 3.061615e+08 + i 2.639061e+08 ; 2.873246e+08 + i 2.796995e+08 ; 1.915863e+09 + i -3.731389e+08 ; -4.430773e+08 + i -9.865706e+08 ; -5.000753e+08 + i -1.069108e+09 ; -6.909493e+09 + i -6.153171e+09 ; -1.981745e+09 + i -1.030038e+09 ; -3.786477e+08 + i -2.560018e+07 ; 1.019311e+08 + i 3.389361e+09 ; -3.366584e+08 + i 2.095657e+07 ; -1.987216e+09 + i -1.068636e+09 ; 1.051629e+08 + i 3.325308e+09 ; -6.419310e+08 + i 1.119978e+08 ; -6.550052e+08 + i 7.976941e+07 ; 2.126170e+09 + i -1.011470e+08 ; 
-7.171667e+05 + i -5.554189e+08 ; -2.197622e+07 + i -2.497210e+07 ; -2.208380e+07 + i -2.506563e+07 ; -3.243105e+08 + i -9.380155e+08 ; 4.292813e+07 + i -6.055563e+07 ; 4.306904e+07 + i -6.064279e+07 ; -3.808700e+08 + i -7.701050e+07 ; -8.099706e+06 + i -2.577021e+07 ; -2.847376e+07 + i -1.462668e+07 ; -5.107756e+08 + i 4.969828e+07 ; 1.018695e+08 + i -7.350905e+07 ; 3.142457e+06 + i -6.550465e+07 ; -3.810497e+08 + i -7.637865e+07 ; -2.842617e+07 + i -1.442749e+07 ; -8.035377e+06 + i -2.579585e+07 ; -5.110648e+08 + i 5.049935e+07 ; 2.607715e+06 + i -6.505689e+07 ; 1.017998e+08 + i -7.370444e+07 ; -2.221278e+08 + i 3.923626e+08 ; -1.617981e+07 + i -1.553013e+07 ; -1.629194e+07 + i -1.545190e+07 ; -1.158529e+08 + i 5.040947e+08 ; 4.429305e+07 + i -7.218096e+07 ; 4.414148e+07 + i -7.235674e+07 ; -6.862427e+09 + i -6.145242e+09 ; 4.370002e+08 + i 1.129873e+09 ; 4.387490e+08 + i 1.131061e+09 ; -4.519474e+09 + i 2.532424e+10 ; 1.622599e+08 + i -4.788653e+08 ; 1.622059e+08 + i -4.801002e+08 ; 6.521454e+07 + i 3.345190e+09 ; 1.976489e+09 + i 1.229169e+09 ; 3.786513e+08 + i 4.719639e+07 ; 2.339255e+09 + i 3.029742e+09 ; -1.397580e+08 + i -5.956332e+08 ; -1.733661e+08 + i -3.153675e+08 ; 6.653656e+07 + i 3.346282e+09 ; 3.743090e+08 + i 4.742483e+07 ; 1.976461e+09 + i 1.229071e+09 ; 2.342172e+09 + i 3.032312e+09 ; -1.730554e+08 + i -3.128201e+08 ; -1.393084e+08 + i -5.947474e+08 ; 2.050116e+09 + i -7.936939e+07 ; 6.745242e+08 + i -3.982885e+07 ; 6.735113e+08 + i -3.969960e+07 ; 1.844400e+09 + i -4.082293e+08 ; -2.799018e+08 + i -3.062127e+08 ; -2.810617e+08 + i -3.054756e+08 ; 
1.005938e+08 + i -1.931075e+07 ; 1.515999e+07 + i -4.509520e+07 ; 1.348662e+07 + i -3.265811e+06 ; 1.115099e+08 + i -5.149412e+07 ; 1.904973e+08 + i -9.037646e+07 ; 3.456998e+07 + i 2.180852e+07 ; 2.303160e+07 + i 2.813584e+08 ; 9.632570e+06 + i -3.995535e+07 ; 8.474872e+06 + i -6.796177e+03 ; 1.535105e+08 + i 4.172134e+08 ; 2.147134e+08 + i -6.404686e+07 ; 1.563822e+07 + i 1.925021e+07 ; 9.339490e+07 + i -7.535070e+07 ; -1.722120e+07 + i -3.872394e+07 ; 1.555320e+07 + i -2.987470e+06 ; 8.655791e+07 + i -1.113606e+08 ; 1.025035e+08 + i -1.489586e+08 ; 4.560103e+07 + i 2.409430e+07 ; 1.061218e+08 + i 1.833081e+08 ; -1.610096e+07 + i -3.218013e+07 ; 4.992915e+06 + i 2.216729e+06 ; 1.972875e+08 + i 2.246211e+08 ; 1.114699e+08 + i -1.458481e+08 ; -4.219899e+06 + i 2.061899e+07 ; 2.452805e+07 + i -6.456311e+08 ; 2.332895e+09 + i 3.044895e+09 ; 1.646041e+08 + i 3.133495e+08 ; 3.051200e+08 + i -4.491809e+08 ; -4.550153e+09 + i 2.537189e+10 ; -1.717428e+08 + i 4.770761e+08 ; 1.783775e+09 + i 1.821410e+09 ; 1.084581e+08 + i 3.400115e+09 ; -3.948485e+08 + i -5.321972e+07 ; 1.851164e+08 + i 1.333985e+09 ; -6.909059e+09 + i -6.056457e+09 ; -4.519278e+08 + i -1.137457e+09 ; -1.829154e+08 + i -3.783384e+08 ; 1.901943e+09 + i -3.747889e+08 ; 2.810218e+08 + i 3.062789e+08 ; -8.357233e+07 + i -3.556918e+08 ; 2.372933e+09 + i 3.106928e+09 ; 1.402950e+08 + i 6.019469e+08 ; 7.369678e+08 + i 1.693398e+08 ; 2.126450e+09 + i -1.027118e+08 ; -6.823069e+08 + i 4.258769e+07 ; 3.908022e+08 + i 1.713246e+08 ; 1.202838e+08 + i 3.410262e+09 ; -1.989855e+09 + i -1.222503e+09 ; 
1.007612e+08 + i -1.955658e+07 ; 1.341597e+07 + i -3.241636e+06 ; 1.437169e+07 + i -4.465109e+07 ; 1.111683e+08 + i -5.134213e+07 ; 3.446134e+07 + i 2.188398e+07 ; 1.899796e+08 + i -8.914108e+07 ; 9.370079e+07 + i -7.583284e+07 ; 1.553953e+07 + i -3.010321e+06 ; -1.770308e+07 + i -3.949658e+07 ; 8.640134e+07 + i -1.120321e+08 ; 4.552772e+07 + i 2.416891e+07 ; 1.020628e+08 + i -1.497868e+08 ; 2.345029e+07 + i 2.810714e+08 ; 8.442944e+06 + i 3.357937e+04 ; 9.672946e+06 + i -3.948329e+07 ; 1.535606e+08 + i 4.170016e+08 ; 1.542987e+07 + i 1.922413e+07 ; 2.144010e+08 + i -6.358731e+07 ; 1.065745e+08 + i 1.840776e+08 ; 5.068454e+06 + i 2.203519e+06 ; -1.673361e+07 + i -3.232163e+07 ; 1.972156e+08 + i 2.254882e+08 ; -4.178739e+06 + i 2.061199e+07 ; 1.109148e+08 + i -1.466872e+08 ; 2.489247e+07 + i -6.454412e+08 ; 1.643618e+08 + i 3.139248e+08 ; 2.334298e+09 + i 3.054349e+09 ; 3.038535e+08 + i -4.495240e+08 ; -1.720367e+08 + i 4.774685e+08 ; -4.554571e+09 + i 2.537236e+10 ; -1.832285e+08 + i -3.796804e+08 ; 2.798786e+08 + i 3.064640e+08 ; 1.897232e+09 + i -3.640976e+08 ; -8.402062e+07 + i -3.580313e+08 ; 1.387937e+08 + i 6.003353e+08 ; 2.354854e+09 + i 3.098945e+09 ; 1.784658e+09 + i 1.820093e+09 ; -3.967652e+08 + i -5.379303e+07 ; 1.049791e+08 + i 3.398880e+09 ; 1.850085e+08 + i 1.332396e+09 ; -4.527460e+08 + i -1.138540e+09 ; -6.916295e+09 + i -6.060263e+09 ; 7.388009e+08 + i 1.715408e+08 ; -6.831445e+08 + i 4.310717e+07 ; 2.129656e+09 + i -9.707303e+07 ; 3.920626e+08 + i 1.722361e+08 ; -1.989116e+09 + i -1.222841e+09 ; 1.263693e+08 + i 3.407182e+09 ; 
-5.190774e+08 + i 5.037545e+07 ; -1.261526e+08 + i 9.328630e+07 ; 8.086880e+06 + i -9.137051e+07 ; -5.835150e+08 + i 2.362347e+08 ; -5.778079e+08 + i -4.658884e+08 ; 1.722789e+08 + i 5.956799e+07 ; -3.288018e+08 + i -9.375755e+08 ; -9.024110e+07 + i 7.314983e+07 ; 8.279549e+07 + i -9.367670e+07 ; -1.094229e+09 + i -1.261018e+09 ; -1.070151e+08 + i -3.584719e+08 ; 1.983577e+08 + i 2.894498e+08 ; -1.223690e+08 + i 5.081032e+08 ; -5.378546e+07 + i 9.162593e+07 ; 2.343710e+07 + i -9.866514e+07 ; 2.801158e+07 + i 5.940493e+08 ; -3.545454e+08 + i -1.235520e+08 ; 3.514370e+08 + i 3.676939e+07 ; -5.169222e+08 + i 5.517478e+07 ; -2.335101e+07 + i 8.403236e+07 ; 9.247127e+07 + i -1.224378e+08 ; -5.891347e+08 + i 2.363162e+08 ; -1.522829e+08 + i -1.100042e+08 ; 6.299790e+08 + i 3.004752e+08 ; 2.254848e+09 + i 2.991361e+09 ; -1.561300e+08 + i -5.634115e+08 ; 1.507868e+08 + i 2.843763e+08 ; 3.118092e+07 + i 3.364455e+09 ; 1.880757e+09 + i 1.788267e+09 ; -4.168813e+08 + i -4.842036e+07 ; -4.578691e+09 + i 2.516873e+10 ; 2.001270e+08 + i -4.548713e+08 ; -1.931838e+08 + i 4.401783e+08 ; -6.907623e+09 + i -6.180119e+09 ; 3.840019e+08 + i 1.251164e+09 ; -4.567504e+08 + i -1.156932e+09 ; 1.784583e+09 + i -3.261489e+08 ; -2.082792e+08 + i -3.126653e+08 ; 2.612854e+08 + i 2.732710e+08 ; 2.037600e+09 + i -8.176163e+07 ; 7.633963e+08 + i 8.793957e+07 ; -7.019963e+08 + i 4.480810e+07 ; 2.256309e+09 + i 3.041881e+09 ; -1.200477e+08 + i -2.984050e+08 ; 1.086431e+08 + i 5.715978e+08 ; 6.052790e+07 + i 3.352571e+09 ; 4.190474e+08 + i 1.062950e+08 ; -1.997621e+09 + i -1.233295e+09 ; 
-3.274944e+08 + i -3.090996e+08 ; 2.251263e+08 + i -6.032261e+07 ; 1.016132e+06 + i -2.482465e+07 ; -6.655905e+08 + i -2.683557e+08 ; 2.838497e+08 + i 6.284216e+08 ; 4.591035e+07 + i 2.100007e+07 ; 2.274260e+07 + i 2.308272e+08 ; 1.887549e+08 + i -8.488049e+07 ; -4.790819e+07 + i -1.479842e+07 ; 9.005751e+07 + i 2.497501e+08 ; 5.399983e+08 + i 5.751916e+08 ; -2.876588e+07 + i -1.013845e+08 ; -2.198920e+08 + i -7.200590e+07 ; 1.186034e+08 + i -1.476517e+08 ; 5.954216e+06 + i -3.172114e+07 ; -3.261876e+08 + i -4.314646e+07 ; 4.595400e+08 + i 1.849094e+08 ; 1.729222e+08 + i 1.955433e+07 ; 1.157505e+08 + i 1.495922e+08 ; 1.041528e+08 + i -1.483918e+08 ; -5.270212e+07 + i -1.060275e+07 ; 1.426738e+08 + i 1.328687e+08 ; 5.051490e+08 + i 1.344401e+08 ; -6.975627e+07 + i -1.119935e+08 ; 5.591707e+08 + i 9.828691e+08 ; -6.893548e+09 + i -6.122732e+09 ; 4.436544e+08 + i 1.133620e+09 ; 1.990075e+09 + i 1.223230e+09 ; 9.043687e+07 + i 3.414393e+09 ; 3.867855e+08 + i 4.907596e+07 ; 8.928502e+07 + i -4.816785e+08 ; -4.555130e+09 + i 2.529450e+10 ; 1.569630e+08 + i -4.797528e+08 ; -3.299300e+08 + i -5.172683e+08 ; 2.366906e+09 + i 3.072010e+09 ; -1.721173e+08 + i -3.170507e+08 ; 3.439726e+08 + i -2.459132e+07 ; 1.224917e+08 + i 3.338312e+09 ; 1.987632e+09 + i 1.232409e+09 ; 6.782386e+08 + i -9.345660e+07 ; 2.141923e+09 + i -8.705412e+07 ; 6.870167e+08 + i -4.087029e+07 ; -2.066697e+08 + i -2.565747e+08 ; 2.352378e+09 + i 3.010235e+09 ; -1.467233e+08 + i -5.935933e+08 ; -3.027156e+08 + i -2.607704e+08 ; 1.900469e+09 + i -3.997241e+08 ; -2.801347e+08 + i -3.073736e+08 ; 
-1.207976e+08 + i -1.448083e+08 ; -4.980240e+07 + i -2.415561e+07 ; 1.147583e+08 + i -1.440934e+08 ; -1.627132e+08 + i -1.222976e+08 ; -4.299876e+07 + i -1.324002e+08 ; 5.115154e+08 + i 1.404502e+08 ; -3.453736e+07 + i -2.277814e+08 ; -4.377161e+07 + i -2.374321e+07 ; 1.983076e+08 + i -7.597115e+07 ; -1.306286e+08 + i -2.409272e+08 ; -3.152154e+06 + i -1.096447e+08 ; 5.497011e+08 + i 5.832408e+08 ; 2.257039e+08 + i 8.100898e+07 ; 1.036916e+07 + i -3.052741e+07 ; 1.103496e+08 + i -1.482708e+08 ; 3.150502e+08 + i 4.970899e+07 ; 1.700267e+08 + i 6.367689e+07 ; 4.528457e+08 + i 1.862050e+08 ; 3.209989e+08 + i 3.261900e+08 ; -1.632725e+05 + i -2.503587e+07 ; 2.146815e+08 + i -6.606616e+07 ; 6.449370e+08 + i 2.812994e+08 ; 3.324373e+07 + i 3.765769e+07 ; 2.703746e+08 + i 6.265229e+08 ; 1.802708e+08 + i 2.932466e+08 ; -1.932878e+07 + i -6.436725e+08 ; 2.331373e+09 + i 2.994085e+09 ; 2.980861e+08 + i 3.058858e+08 ; -2.186954e+08 + i -3.926220e+08 ; 1.897567e+09 + i -3.695176e+08 ; -1.330463e+08 + i 4.304210e+08 ; 2.661051e+08 + i -4.543230e+08 ; -4.561652e+09 + i 2.529439e+10 ; 1.605925e+08 + i 5.671345e+08 ; -1.137608e+08 + i -3.704523e+08 ; 2.336274e+09 + i 3.091349e+09 ; -3.922474e+08 + i -1.069936e+07 ; 1.778078e+09 + i 1.738424e+09 ; 1.100963e+08 + i 3.333202e+09 ; -6.871425e+08 + i 6.234276e+07 ; 7.546035e+08 + i 1.233302e+08 ; 2.131051e+09 + i -1.005458e+08 ; -3.845976e+08 + i -1.034437e+09 ; 1.909366e+08 + i 1.271187e+09 ; -6.911685e+09 + i -6.141485e+09 ; -1.955213e+09 + i -1.166791e+09 ; 4.249247e+08 + i 1.293640e+08 ; 1.090376e+08 + i 3.396271e+09 ; 
-3.810541e+08 + i -7.878262e+07 ; -1.648966e+07 + i 4.645177e+07 ; -2.830233e+07 + i -1.668168e+07 ; -5.116546e+08 + i 6.154274e+07 ; -1.443283e+08 + i 7.748398e+07 ; 7.395922e+06 + i -6.697576e+07 ; 4.512330e+06 + i -5.577669e+08 ; -4.644947e+06 + i 1.750143e+07 ; -2.164525e+07 + i -2.677324e+07 ; -3.266726e+08 + i -9.283390e+08 ; -1.062540e+08 + i 4.121116e+07 ; 4.703728e+07 + i -5.949023e+07 ; -2.246842e+08 + i 3.895703e+08 ; 9.893205e+06 + i 3.522326e+07 ; -1.599939e+07 + i -1.687840e+07 ; -1.168404e+08 + i 5.068440e+08 ; -6.720216e+07 + i 8.021304e+07 ; 4.901128e+07 + i -7.228943e+07 ; -3.818938e+08 + i -7.763350e+07 ; 1.154678e+07 + i 2.385084e+07 ; -6.972600e+06 + i -2.692737e+07 ; -5.116996e+08 + i 5.734220e+07 ; -4.088570e+07 + i 7.177779e+07 ; 1.084671e+08 + i -7.061833e+07 ; -1.755689e+07 + i 3.332180e+09 ; -1.596503e+09 + i -1.803423e+09 ; 3.911985e+08 + i 7.364610e+07 ; 2.349843e+09 + i 3.035299e+09 ; 4.712620e+08 + i 5.816049e+08 ; -1.585079e+08 + i -3.327932e+08 ; -6.921932e+09 + i -6.191470e+09 ; -6.169255e+08 + i -1.208859e+09 ; 3.908989e+08 + i 1.188182e+09 ; -4.521019e+09 + i 2.533359e+10 ; -3.171142e+08 + i 4.177860e+08 ; 1.933480e+08 + i -4.853179e+08 ; 2.036169e+09 + i -5.314792e+07 ; -7.262737e+08 + i -1.149007e+08 ; 6.921732e+08 + i -6.254619e+06 ; 1.829681e+09 + i -4.092650e+08 ; 1.971049e+08 + i 3.132923e+08 ; -2.731445e+08 + i -3.282238e+08 ; 6.193775e+07 + i 3.367921e+09 ; -3.764979e+08 + i -8.357606e+07 ; 1.966143e+09 + i 1.363851e+09 ; 2.345325e+09 + i 3.041316e+09 ; 1.186605e+08 + i 3.166960e+08 ; -1.129690e+08 + i -6.203749e+08 ; 
1.063610e+07 + i -2.859662e+08 ; 4.871376e+06 + i -4.988888e+07 ; -8.768786e+06 + i -1.964104e+05 ; -9.615504e+07 + i -4.437588e+08 ; 2.025385e+08 + i -7.520187e+07 ; -1.524409e+07 + i -2.024272e+07 ; -7.728343e+07 + i 2.452361e+07 ; 1.260831e+07 + i -3.608334e+07 ; -1.395004e+07 + i 3.045854e+06 ; -6.361054e+07 + i 4.259250e+07 ; 1.914800e+08 + i -7.885044e+07 ; -3.454955e+07 + i -2.361242e+07 ; -8.945143e+07 + i -1.989936e+08 ; -2.302437e+07 + i -3.629404e+07 ; -4.786259e+06 + i -2.442189e+06 ; -1.721371e+08 + i -2.515928e+08 ; 1.029731e+08 + i -1.469605e+08 ; 5.772595e+06 + i -2.054779e+07 ; -7.840378e+07 + i 6.476169e+07 ; -1.269567e+07 + i -3.179721e+07 ; -1.594669e+07 + i 2.410164e+06 ; -6.428712e+07 + i 8.858883e+07 ; 1.092467e+08 + i -1.441780e+08 ; -4.528284e+07 + i -2.658156e+07 ; -1.569607e+09 + i -1.863755e+09 ; 2.292681e+07 + i 3.382447e+09 ; 4.006005e+08 + i 7.545480e+07 ; -5.851320e+08 + i -1.255764e+09 ; -6.935589e+09 + i -6.077374e+09 ; 4.021137e+08 + i 1.188436e+09 ; 4.419119e+08 + i 5.916006e+08 ; 2.383147e+09 + i 3.080825e+09 ; -1.575748e+08 + i -3.326347e+08 ; -3.321958e+08 + i 4.035862e+08 ; -4.545072e+09 + i 2.540177e+10 ; 1.955447e+08 + i -4.871413e+08 ; -7.304136e+08 + i -1.725497e+08 ; 2.127815e+09 + i -6.540439e+07 ; 7.034252e+08 + i -5.388109e+06 ; -3.744703e+08 + i -1.173927e+08 ; 1.347220e+08 + i 3.431014e+09 ; 1.979899e+09 + i 1.362738e+09 ; 1.691554e+08 + i 3.036269e+08 ; 1.894159e+09 + i -4.021619e+08 ; -2.723526e+08 + i -3.274290e+08 ; 9.666348e+07 + i 3.054214e+08 ; 2.378168e+09 + i 3.091850e+09 ; -1.108543e+08 + i -6.233244e+08 ; 
